ENTRY            L0063   20111210                             L017L006300000001 
SUBENT        L0063001   20111210                             L017L006300100001 
BIB                 10         15                                 L006300100002 
INSTITUTE  (2UK GLS,2UK EDG,2GERMNZ)                              L006300100003 
REFERENCE  (J,PL/B,179,212,1986)                                  L006300100004 
AUTHOR     (J.C.McGeorge,G.I.Crawford,R.O.Owens,M.R.Sene,         L006300100005 
            D.Branford,A.C.Shotter,B.Schoch,R.Beck,P.Jennewein,   L006300100006 
            F.Klein,J.Vogt,F.Zettl)                               L006300100007 
TITLE      The 12C(gamma,p) reaction at E = 60 and 80 MeV         L006300100008 
FACILITY   (MICRT,2GERMNZ)                                        L006300100009 
INC-SOURCE (TAGD)                                                 L006300100010 
INC-SPECT  Electron beam from the University of Mainz microtron   L006300100011 
DETECTOR   (SCIN) DE,E plastic scintillator with a solid angle of L006300100012 
            70 msr.                                               L006300100013 
ERR-ANALYS (ERR-SYS,,15.) Systematic errors can be as high as 15 %L006300100014 
HISTORY    (20050420C) DR                                         L006300100015 
           (20111210A) OS. ERR-ANALYS, STATUS modified,           L006300100016 
80.         60.         5.726E+01  9.179E-01  3.689E-01           L006300200378 
80.         60.         5.841E+01  1.582E+00  3.213E-01           L006300200379 
80.         60.         5.926E+01  1.985E+00  1.666E-01           L006300200380 
80.         60.         6.025E+01  2.126E+00  2.023E-01           L006300200381 
80.         60.         6.136E+01  1.636E+00  3.332E-01           L006300200382 
80.         60.         6.256E+01  1.713E-01  2.737E-01           L006300200383 
80.         60.         6.342E+01  5.087E-02  1.904E-01           L006300200384 
80.         60.         6.458E+01 -2.604E-01  2.023E-01           L006300200385 
80.         60.         6.581E+01 -5.243E-01  2.380E-01           L006300200386 
80.         60.         6.658E+01 -9.720E-02  2.023E-01           L006300200387 
80.         60.         6.765E+01 -3.607E-01  3.094E-01           L006300200388 
80.         60.         6.867E+01  6.589E-02  2.380E-01           L006300200389 
80.         60.         6.977E+01  5.214E-02  2.618E-01           L006300200390 
80.         75.         2.052E+01  1.549E+00  3.058E-01           L006300200391 
80.         75.         2.155E+01  1.492E+00  3.411E-01           L006300200392 
80.         75.         2.268E+01  1.647E+00  2.823E-01           L006300200393 
80.         75.         2.364E+01  1.731E+00  2.705E-01           L006300200394 
80.         75.         2.455E+01  1.168E+00  3.058E-01           L006300200395 
80.         75.         2.559E+01  1.275E+00  3.293E-01           L006300200396 
80.         75.         2.656E+01  1.653E+00  2.940E-01           L006300200397 
80.         75.         2.752E+01  1.760E+00  3.176E-01           L006300200398 
80.         75.         2.845E+01  1.574E+00  2.705E-01           L006300200399 
80.         75.         2.967E+01  1.811E+00  3.058E-01           L006300200400 
80.         75.         3.079E+01  1.777E+00  1.999E-01           L006300200401 
80.         75.         3.183E+01  1.826E+00  3.646E-01           L006300200402 
80.         75.         3.261E+01  1.863E+00  3.764E-01           L006300200403 
80.         75.         3.363E+01  1.594E+00  2.823E-01           L006300200404 
80.         75.         3.458E+01  1.654E+00  2.705E-01           L006300200405 
80.         75.         3.554E+01  1.809E+00  2.940E-01           L006300200406 
80.         75.         3.691E+01  1.717E+00  3.411E-01           L006300200407 
80.         75.         3.779E+01  1.989E+00  2.587E-01           L006300200408 
80.         75.         3.878E+01  1.249E+00  3.176E-01           L006300200409 
80.         75.         3.994E+01  1.898E+00  1.646E-01           L006300200410 
80.         75.         4.080E+01  1.840E+00  2.234E-01           L006300200411 
80.         75.         4.181E+01  1.583E+00  3.176E-01           L006300200412 
80.         75.         4.285E+01  1.656E+00  1.999E-01           L006300200413 
80.         75.         4.412E+01  1.293E+00  2.940E-01           L006300200414 
80.         75.         4.500E+01  1.494E+00  2.470E-01           L006300200415 
80.         75.         4.584E+01  1.237E+00  3.293E-01           L006300200416 
80.         75.         4.707E+01  1.627E+00  2.234E-01           L006300200417 
80.         75.         4.788E+01  7.349E-01  2.352E-01           L006300200418 
80.         75.         4.912E+01  1.289E+00  2.587E-01           L006300200419 
80.         75.         5.007E+01  1.244E+00  2.470E-01           L006300200420 
80.         75.         5.092E+01  1.186E+00  2.587E-01           L006300200421 
80.         75.         5.213E+01  1.153E+00  2.352E-01           L006300200422 
80.         75.         5.307E+01  1.060E+00  1.764E-01           L006300200423 
80.         75.         5.421E+01  1.415E+00  2.234E-01           L006300200424 
80.         75.         5.543E+01  1.617E+00  2.117E-01           L006300200425 
80.         75.         5.636E+01  1.230E+00  2.470E-01           L006300200426 
80.         75.         5.731E+01  1.314E+00  2.117E-01           L006300200427 
80.         75.         5.833E+01  1.045E+00  2.234E-01           L006300200428 
80.         75.         5.946E+01  1.153E+00  2.117E-01           L006300200429 
80.         75.         6.026E+01  1.684E+00  1.882E-01           L006300200430 
80.         75.         6.136E+01  1.309E+00  1.999E-01           L006300200431 
80.         75.         6.245E+01  8.407E-01  1.646E-01           L006300200432 
80.         75.         6.344E+01  1.130E-01  2.117E-01           L006300200433 
80.         75.         6.422E+01  2.201E-01  1.293E-01           L006300200434 
80.         75.         6.551E+01  8.109E-02  1.293E-01           L006300200435 
80.         75.         6.628E+01 -4.705E-02  1.882E-01           L006300200436 
80.         75.         6.723E+01  8.386E-02  1.529E-01           L006300200437 
80.         75.         6.809E+01  6.172E-02  1.882E-01           L006300200438 
80.         75.         6.939E+01  7.556E-02  1.764E-01           L006300200439 
80.         75.         7.016E+01  2.975E-02  1.646E-01           L006300200440 
80.         90.         2.031E+01  1.000E+00  3.076E-01           L006300200441 
80.         90.         2.138E+01  1.263E+00  2.197E-01           L006300200442 
80.         90.         2.250E+01  1.219E+00  3.076E-01           L006300200443 
80.         90.         2.341E+01  1.450E+00  1.978E-01           L006300200444 
80.         90.         2.428E+01  1.956E+00  2.747E-01           L006300200445 
80.         90.         2.537E+01  1.494E+00  2.087E-01           L006300200446 
80.         90.         2.612E+01  2.219E+00  3.076E-01           L006300200447 
80.         90.         2.741E+01  1.560E+00  1.758E-01           L006300200448 
80.         90.         2.826E+01  1.571E+00  2.197E-01           L006300200449 
80.         90.         2.945E+01  1.637E+00  1.428E-01           L006300200450 
80.         90.         3.052E+01  1.318E+00  2.417E-01           L006300200451 
80.         90.         3.159E+01  1.571E+00  2.527E-01           L006300200452 
80.         90.         3.257E+01  1.307E+00  2.307E-01           L006300200453 
80.         90.         3.368E+01  1.285E+00  1.208E-01           L006300200454 
80.         90.         3.465E+01  1.065E+00  1.648E-01           L006300200455 
80.         90.         3.565E+01  1.230E+00  2.087E-01           L006300200456 
80.         90.         3.643E+01  1.197E+00  1.538E-01           L006300200457 
80.         90.         3.745E+01  1.197E+00  1.208E-01           L006300200458 
80.         90.         3.848E+01  1.219E+00  1.538E-01           L006300200459 
80.         90.         3.946E+01  8.901E-01  1.868E-01           L006300200460 
80.         90.         4.065E+01  9.010E-01  1.758E-01           L006300200461 
80.         90.         4.148E+01  4.945E-01  2.417E-01           L006300200462 
80.         90.         4.262E+01  8.681E-01  1.208E-01           L006300200463 
80.         90.         4.372E+01  9.670E-01  1.758E-01           L006300200464 
80.         90.         4.468E+01  7.912E-01  2.197E-01           L006300200465 
80.         90.         4.570E+01  8.461E-01  1.758E-01           L006300200466 
80.         90.         4.674E+01  7.582E-01  8.791E-02           L006300200467 
80.         90.         4.760E+01  7.362E-01  1.648E-01           L006300200468 
80.         90.         4.844E+01  8.241E-01  1.208E-01           L006300200469 
80.         90.         4.983E+01  6.483E-01  1.758E-01           L006300200470 
80.         90.         5.100E+01  8.351E-01  1.538E-01           L006300200471 
80.         90.         5.165E+01  1.087E+00  1.758E-01           L006300200472 
80.         90.         5.269E+01  1.010E+00  1.538E-01           L006300200473 
80.         90.         5.366E+01  7.692E-01  1.538E-01           L006300200474 
80.         90.         5.464E+01  4.395E-01  1.208E-01           L006300200475 
80.         90.         5.585E+01  3.516E-01  1.428E-01           L006300200476 
80.         90.         5.687E+01  3.956E-01  9.890E-02           L006300200477 
80.         90.         5.771E+01  5.164E-01  9.890E-02           L006300200478 
80.         90.         5.871E+01  6.703E-01  1.318E-01           L006300200479 
80.         90.         5.985E+01  4.835E-01  1.538E-01           L006300200480 
80.         90.         6.138E+01  5.274E-01  1.098E-01           L006300200481 
80.         90.         6.192E+01  3.296E-01  1.208E-01           L006300200482 
80.         90.         6.305E+01  1.978E-01  8.791E-02           L006300200483 
80.         90.         6.399E+01  1.648E-01  1.318E-01           L006300200484 
80.         90.         6.494E+01  1.318E-01  6.593E-02           L006300200485 
80.         90.         6.603E+01  2.527E-01  8.791E-02           L006300200486 
80.         90.         6.700E+01  2.197E-02  1.208E-01           L006300200487 
80.        120.         2.051E+01  1.230E-01  1.410E-01           L006300200488 
80.        120.         2.146E+01  7.977E-01  1.527E-01           L006300200489 
80.        120.         2.207E+01  8.124E-01  1.880E-01           L006300200490 
80.        120.         2.327E+01  9.239E-01  1.762E-01           L006300200491 
80.        120.         2.458E+01  9.184E-01  1.762E-01           L006300200492 
80.        120.         2.537E+01  8.516E-01  2.467E-01           L006300200493 
80.        120.         2.628E+01  1.232E+00  1.997E-01           L006300200494 
80.        120.         2.674E+01  1.022E+00  1.762E-01           L006300200495 
80.        120.         2.738E+01  8.142E-01  1.880E-01           L006300200496 
80.        120.         2.849E+01  9.253E-01  1.292E-01           L006300200497 
80.        120.         2.946E+01  8.594E-01  1.762E-01           L006300200498 
80.        120.         3.056E+01  1.076E+00  2.350E-01           L006300200499 
80.        120.         3.151E+01  1.127E+00  1.997E-01           L006300200500 
80.        120.         3.248E+01  1.026E+00  1.997E-01           L006300200501 
80.        120.         3.346E+01  8.549E-01  1.410E-01           L006300200502 
80.        120.         3.433E+01  8.473E-01  1.527E-01           L006300200503 
80.        120.         3.565E+01  7.126E-01  1.292E-01           L006300200504 
80.        120.         3.670E+01  7.175E-01  1.762E-01           L006300200505 
80.        120.         3.759E+01  5.219E-01  1.762E-01           L006300200506 
80.        120.         3.883E+01  1.009E+00  1.762E-01           L006300200507 
80.        120.         3.984E+01  6.502E-01  1.762E-01           L006300200508 
80.        120.         4.079E+01  6.548E-01  1.410E-01           L006300200509 
80.        120.         4.187E+01  3.542E-01  1.410E-01           L006300200510 
80.        120.         4.271E+01  6.404E-01  1.410E-01           L006300200511 
80.        120.         4.378E+01  4.104E-01  1.527E-01           L006300200512 
80.        120.         4.491E+01  3.923E-01  1.762E-01           L006300200513 
80.        120.         4.594E+01  5.265E-01  1.175E-01           L006300200514 
80.        120.         4.709E+01  3.909E-01  1.175E-01           L006300200515 
80.        120.         4.812E+01  5.016E-01  1.527E-01           L006300200516 
80.        120.         4.891E+01  4.583E-01  1.527E-01           L006300200517 
80.        120.         4.995E+01  4.398E-01  9.400E-02           L006300200518 
80.        120.         5.118E+01  3.869E-01  1.527E-01           L006300200519 
80.        120.         5.221E+01  5.094E-01  1.645E-01           L006300200520 
80.        120.         5.331E+01  7.262E-01  1.880E-01           L006300200521 
80.        120.         5.429E+01  4.958E-01  1.645E-01           L006300200522 
80.        120.         5.535E+01  4.303E-01  1.527E-01           L006300200523 
80.        120.         5.616E+01  1.990E-01  1.175E-01           L006300200524 
80.        120.         5.729E+01  2.162E-01  8.225E-02           L006300200525 
80.        120.         5.806E+01  2.786E-01  8.225E-02           L006300200526 
80.        120.         5.939E+01  1.321E-01  1.057E-01           L006300200527 
80.        120.         6.008E+01  1.472E-01  9.400E-02           L006300200528 
80.        120.         6.137E+01  2.591E-01  9.400E-02           L006300200529 
80.        120.         6.339E+01  1.277E-01  9.400E-02           L006300200530 
80.        120.         6.521E+01  1.716E-01  1.057E-01           L006300200531 
ENDDATA            523          0                                 L006300200532 
ENDSUBENT          531          0                                 L006300299999 
SUBENT        L0063003   20111210                             L017L006300300001 
BIB                  4          4                                 L006300300002 
REACTION   (6-C-12(G,P)5-B-11,PAR,DA)                             L006300300003 
STATUS     (CURVE) Data taken from Fig 2.                         L006300300004 
ERR-ANALYS (ERR-S) Statistical errors given in Fig.               L006300300005 
HISTORY    (20111210A) OS. E-EXC changed to E-LVL, moved to COMMONL006300300006 
ENDBIB               4          0                                 L006300300007 
COMMON               2          3                                 L006300300008 
E-LVL      E-LVL                                                  L006300300009 
MEV        MEV                                                    L006300300010 
 0.          2.12                                                 L006300300011 
ENDCOMMON            3          0                                 L006300300012 
DATA                 4         14                                 L006300300013 
EN         ANG-CM     DATA-CM    ERR-S                            L006300300014 
MEV        ADEG       MU-B/SR    MU-B/SR                          L006300300015 
60.          3.053E+01  7.517E+01                                 L006300300016 
60.          4.660E+01  8.053E+01                                 L006300300017 
60.          6.119E+01  5.971E+01                                 L006300300018 
60.          7.579E+01  4.094E+01                                 L006300300019 
60.          9.076E+01  2.625E+01                                 L006300300020 
60.          1.050E+02  1.472E+01                                 L006300300021 
60.          1.200E+02  5.969E+00  1.168E+00                      L006300300022 
60.          1.344E+02  2.895E+00  6.849E-01                      L006300300023 
80.          3.156E+01  1.260E+01  2.638E+00                      L006300300024 
80.          4.567E+01  1.227E+01                                 L006300300025 
80.          6.148E+01  9.451E+00                                 L006300300026 
80.          7.599E+01  5.628E+00                                 L006300300027 
80.          9.164E+01  2.801E+00                                 L006300300028 
80.          1.202E+02  1.242E-01  1.029E-01                      L006300300029 
ENDDATA             16          0                                 L006300300030 
ENDSUBENT           29          0                                 L006300399999 
SUBENT        L0063004   20111210                             L017L006300400001 
BIB                  4          4                                 L006300400002 
REACTION   (6-C-12(G,P)5-B-11,PAR,DA)                             L006300400003 
STATUS     (CURVE) Data taken from Fig 3.                         L006300400004 
ERR-ANALYS (ERR-S) Statistical errors given in Fig.               L006300400005 
HISTORY    (20111210A) OS.REACTION SF5 and COMMON added           L006300400006 
ENDBIB               4          0                                 L006300400007 
COMMON               2          3                                 L006300400008 
E-EXC-MIN  E-EXC-MAX                                              L006300400009 
MEV        MEV                                                    L006300400010 
  10.        30.                                                  L006300400011 
ENDCOMMON            3          0                                 L006300400012 
DATA                 4         14                                 L006300400013 
EN         ANG        DATA       ERR-S                            L006300400014 
MEV        ADEG       MU-B/SR    MU-B/SR                          L006300400015 
60.          2.332E+01  3.515E+01  7.575E+00                      L006300400016 
60.          4.266E+01  4.830E+01  7.070E+00                      L006300400017 
60.          6.135E+01  4.197E+01  7.091E+00                      L006300400018 
60.          7.345E+01  4.352E+01  5.406E+00                      L006300400019 
60.          8.869E+01  3.500E+01  5.123E+00                      L006300400020 
60.          1.039E+02  2.955E+01  4.658E+00                      L006300400021 
60.          1.234E+02  1.655E+01  3.371E+00                      L006300400022 
60.          1.339E+02  1.469E+01  2.315E+00                      L006300400023 
80.          2.656E+01  3.988E+01                                 L006300400024 
80.          4.252E+01  4.013E+01                                 L006300400025 
80.          5.792E+01  3.593E+01                                 L006300400026 
80.          7.350E+01  3.512E+01                                 L006300400027 
80.          8.819E+01  2.664E+01                                 L006300400028 
80.          1.192E+02  1.502E+01                                 L006300400029 
ENDDATA             16          0                                 L006300400030 
ENDSUBENT           29          0                                 L006300499999 
ENDENTRY             4          0                                 L006399999999 
