EN         E-LVL      ANG-CM     DATA-CM                          F045200200014 
MEV        MEV        ADEG       MB/SR                            F045200200015 
     2.8        0.48     154.         1.849                       F045200200262 
     2.8        0.48     161.7        1.859                       F045200200263 
     2.8        0.48     167.9        1.867                       F045200200264 
     2.95       0.        15.27       5.044                       F045200200265 
     2.95       0.        21.66       4.655                       F045200200266 
     2.95       0.        26.31       4.661                       F045200200267 
     2.95       0.        32.62       4.43                        F045200200268 
     2.95       0.        37.42       4.118                       F045200200269 
     2.95       0.        43.81       3.729                       F045200200270 
     2.95       0.        55.         3.027                       F045200200271 
     2.95       0.        65.99       2.723                       F045200200272 
     2.95       0.        76.68       3.055                       F045200200273 
     2.95       0.        87.41       3.307                       F045200200274 
     2.95       0.        96.74       3.24                        F045200200275 
     2.95       0.       101.5        3.007                       F045200200276 
     2.95       0.       109.3        2.937                       F045200200277 
     2.95       0.       111.         2.542                       F045200200278 
     2.95       0.       117.4        2.232                       F045200200279 
     2.95       0.       122.1        2.079                       F045200200280 
     2.95       0.       126.9        1.688                       F045200200281 
     2.95       0.       131.7        1.535                       F045200200282 
     2.95       0.       139.5        1.385                       F045200200283 
     2.95       0.       145.6        1.552                       F045200200284 
     2.95       0.       156.3        1.804                       F045200200285 
     2.95       0.       162.5        1.812                       F045200200286 
     2.95       0.48      16.12       5.037                       F045200200287 
     2.95       0.48      22.24       5.126                       F045200200288 
     2.95       0.48      28.54       4.895                       F045200200289 
     2.95       0.48      33.43       4.422                       F045200200290 
     2.95       0.48      41.         4.673                       F045200200291 
     2.95       0.48      45.76       4.44                        F045200200292 
     2.95       0.48      56.9        3.816                       F045200200293 
     2.95       0.48      67.96       3.351                       F045200200294 
     2.95       0.48      77.47       2.885                       F045200200295 
     2.95       0.48      88.52       2.42                        F045200200296 
     2.95       0.48      96.41       2.111                       F045200200297 
     2.95       0.48     102.6        2.04                        F045200200298 
     2.95       0.48     107.3        1.967                       F045200200299 
     2.95       0.48     113.5        1.896                       F045200200300 
     2.95       0.48     118.1        1.983                       F045200200301 
     2.95       0.48     122.8        1.75                        F045200200302 
     2.95       0.48     129.1        1.519                       F045200200303 
     2.95       0.48     132.2        1.604                       F045200200304 
     2.95       0.48     139.9        1.535                       F045200200305 
     2.95       0.48     149.1        1.709                       F045200200306 
     2.95       0.48     156.8        1.72                        F045200200307 
     2.95       0.48     164.5        1.732                       F045200200308 
     3.1        0.        13.45       4.726                       F045200200309 
     3.1        0.        19.73       4.576                       F045200200310 
     3.1        0.        25.97       4.505                       F045200200311 
     3.1        0.        32.29       4.276                       F045200200312 
     3.1        0.        38.66       3.967                       F045200200313 
