ENTRY            F0117   20220421                             F089F0117  0    1 
SUBENT        F0117001   20220421                             F089F0117  1    1 
BIB                  9         15                                 F0117  1    2 
TITLE      Backscattering cross section of 5.5 to 8 MeV alpha     F0117  1    3 
           particles from carbon, oxygen and silicon              F0117  1    4 
AUTHOR     (H.Yonezawa,K.Shikano,T.Shigematsu)                    F0117  1    5 
INSTITUTE  (2JPNJPN) NTT Interdisciplinary Research Lab., Tokai   F0117  1    6 
REFERENCE  (J,NIM/B,88,207,1994)                                  F0117  1    7 
FACILITY   (CYCLO,2JPNJPN) NTT  cyclotron                         F0117  1    8 
SAMPLE     The samples were quartz glass, silicon single crystal  F0117  1    9 
           and carbon film deposited on silicon substrates, all   F0117  1   10 
           with a mirror surface.                                 F0117  1   11 
DETECTOR   (SIBAR) The detector had a thickness of 500 mu-m and   F0117  1   12 
           an area of 100 mm**2. Particles were measured with a   F0117  1   13 
           detector at an angle of 169 degr.                      F0117  1   14 
ERR-ANALYS  No information about source of uncertainty            F0117  1   15 
HISTORY    (20030925C)                                            F0117  1   16 
           (20220421A) SD: Corrections in Subent 006.             F0117  1   17 
ENDBIB              15          0                                 F0117  1   18 
COMMON               1          3                                 F0117  1   19 
ANG                                                               F0117  1   20 
ADEG                                                              F0117  1   21 
  169.                                                            F0117  1   22 
ENDCOMMON            3          0                                 F0117  1   23 
ENDSUBENT           22          0                                 F0117  199999 
SUBENT        F0117002   20040209                             0000F011700200001 
BIB                  3          3                                 F011700200002 
REACTION   (6-C-12(A,EL)6-C-12,,DA)                               F011700200003 
 6.9266    0.24231E-01                                            F011700400163 
 6.9325    0.19489E-01                                            F011700400164 
 6.9386    0.25771E-01                                            F011700400165 
 6.9446    0.32053E-01                                            F011700400166 
 6.9536    0.36752E-01                                            F011700400167 
 6.9656    0.41442E-01                                            F011700400168 
 6.9806    0.46123E-01                                            F011700400169 
 6.9926    0.50813E-01                                            F011700400170 
 7.0016    0.57086E-01                                            F011700400171 
 7.0165    0.58618E-01                                            F011700400172 
 7.0224    0.52302E-01                                            F011700400173 
 7.0343    0.44393E-01                                            F011700400174 
 7.0492    0.41200E-01                                            F011700400175 
 7.0640    0.34858E-01                                            F011700400176 
 7.0819    0.31657E-01                                            F011700400177 
 7.0938    0.26898E-01                                            F011700400178 
 7.1087    0.28429E-01                                            F011700400179 
 7.1237    0.29961E-01                                            F011700400180 
 7.1356    0.28352E-01                                            F011700400181 
 7.1475    0.28317E-01                                            F011700400182 
 7.1565    0.33016E-01                                            F011700400183 
 7.1626    0.39298E-01                                            F011700400184 
 7.1656    0.47163E-01                                            F011700400185 
 7.1717    0.56595E-01                                            F011700400186 
 7.1837    0.61284E-01                                            F011700400187 
 7.1956    0.56526E-01                                            F011700400188 
 7.2046    0.62799E-01                                            F011700400189 
 7.2107    0.69081E-01                                            F011700400190 
 7.2226    0.67471E-01                                            F011700400191 
 7.2255    0.58014E-01                                            F011700400192 
 7.2313    0.48548E-01                                            F011700400193 
 7.2372    0.40657E-01                                            F011700400194 
 7.2491    0.35898E-01                                            F011700400195 
 7.2580    0.31147E-01                                            F011700400196 
 7.2610    0.26414E-01                                            F011700400197 
 7.2700    0.31113E-01                                            F011700400198 
 7.2731    0.42128E-01                                            F011700400199 
 7.2791    0.48410E-01                                            F011700400200 
 7.2881    0.56258E-01                                            F011700400201 
 7.3031    0.57790E-01                                            F011700400202 
 7.3181    0.71920E-01                                            F011700400203 
 7.3242    0.84501E-01                                            F011700400204 
 7.3333    0.92349E-01                                            F011700400205 
 7.3391    0.75009E-01                                            F011700400206 
 7.3449    0.62393E-01                                            F011700400207 
 7.3477    0.48212E-01                                            F011700400208 
 7.3536    0.37171E-01                                            F011700400209 
 7.3565    0.27713E-01                                            F011700400210 
 7.3624    0.19822E-01                                            F011700400211 
 7.3713    0.13497E-01                                            F011700400212 
 7.3832    0.11887E-01                                            F011700400213 
 7.3862    0.18178E-01                                            F011700400214 
 7.3953    0.26026E-01                                            F011700400215 
 7.4043    0.32300E-01                                            F011700400216 
 7.4193    0.38556E-01                                            F011700400217 
 7.4283    0.46404E-01                                            F011700400218 
 7.4373    0.52677E-01                                            F011700400219 
 7.4404    0.58968E-01                                            F011700400220 
 7.4494    0.68391E-01                                            F011700400221 
 7.4556    0.88846E-01                                            F011700400222 
 7.4588    0.10459                                                F011700400223 
 7.4648    0.11244                                                F011700400224 
 7.4768    0.11556                                                F011700400225 
 7.4918    0.12024                                                F011700400226 
 7.5038    0.12808                                                F011700400227 
 7.5188    0.13276                                                F011700400228 
 7.5308    0.13902                                                F011700400229 
 7.5398    0.14530                                                F011700400230 
 7.5518    0.15156                                                F011700400231 
 7.5608    0.15784                                                F011700400232 
 7.5669    0.16412                                                F011700400233 
 7.5787    0.15306                                                F011700400234 
 7.5845    0.14044                                                F011700400235 
 7.5903    0.12310                                                F011700400236 
 7.5961    0.10734                                                F011700400237 
 7.6020    0.97872E-01                                            F011700400238 
 7.6079    0.89981E-01                                            F011700400239 
 7.6139    0.97837E-01                                            F011700400240 
 7.6200    0.10884                                                F011700400241 
 7.6231    0.12301                                                F011700400242 
 7.6292    0.13401                                                F011700400243 
 7.6353    0.14660                                                F011700400244 
 7.6384    0.15446                                                F011700400245 
 7.6445    0.16232                                                F011700400246 
 7.6505    0.16860                                                F011700400247 
 7.6624    0.16699                                                F011700400248 
 7.6713    0.15909                                                F011700400249 
 7.6742    0.15278                                                F011700400250 
 7.6801    0.14804                                                F011700400251 
 7.6832    0.15748                                                F011700400252 
 7.6893    0.17164                                                F011700400253 
 7.6955    0.18737                                                F011700400254 
 7.7016    0.20310                                                F011700400255 
 7.7103    0.18103                                                F011700400256 
 7.7158    0.13691                                                F011700400257 
 7.7215    0.10698                                                F011700400258 
 7.7242    0.81770E-01                                            F011700400259 
 7.7269    0.54990E-01                                            F011700400260 
 7.7357    0.39216E-01                                            F011700400261 
 7.7386    0.32908E-01                                            F011700400262 
 7.7506    0.36023E-01                                            F011700400263 
 7.7567    0.43880E-01                                            F011700400264 
 7.7627    0.53311E-01                                            F011700400265 
 7.7689    0.69042E-01                                            F011700400266 
 7.7780    0.87914E-01                                            F011700400267 
 7.7811    0.10208                                                F011700400268 
 7.7872    0.11309                                                F011700400269 
 7.7933    0.12567                                                F011700400270 
 7.7994    0.13982                                                F011700400271 
 7.8058    0.17760                                                F011700400272 
 7.8093    0.22484                                                F011700400273 
 7.8158    0.27994                                                F011700400274 
 7.8193    0.33032                                                F011700400275 
 7.8287    0.37282                                                F011700400276 
 7.8318    0.38541                                                F011700400277 
 7.8377    0.37436                                                F011700400278 
 7.8402    0.33026                                                F011700400279 
 7.8456    0.27198                                                F011700400280 
 7.8510    0.21527                                                F011700400281 
 7.8565    0.17273                                                F011700400282 
 7.8621    0.13964                                                F011700400283 
 7.8678    0.10970                                                F011700400284 
 7.8764    0.78180E-01                                            F011700400285 
 7.8793    0.67148E-01                                            F011700400286 
 7.8821    0.54541E-01                                            F011700400287 
 7.8942    0.70255E-01                                            F011700400288 
 7.8975    0.97018E-01                                            F011700400289 
 7.9037    0.11432                                                F011700400290 
 7.9097    0.12218                                                F011700400291 
 7.9244    0.10166                                                F011700400292 
 7.9335    0.11266                                                F011700400293 
 7.9453    0.96880E-01                                            F011700400294 
 7.9480    0.73249E-01                                            F011700400295 
 7.9537    0.46460E-01                                            F011700400296 
 7.9565    0.30703E-01                                            F011700400297 
 7.9624    0.21237E-01                                            F011700400298 
ENDDATA            283          0                                 F011700400299 
ENDSUBENT          298          0                                 F011700499999 
SUBENT        F0117005   20040209                             0000F011700500001 
BIB                  3          6                                 F011700500002 
REACTION   (14-SI-28(A,INL)14-SI-28,PAR,DA)                       F011700500003 
SAMPLE     The thickness of the quartz glass and silicon were     F011700500004 
           greater than the range of the alpha particles. The     F011700500005 
           quartz glass was coated with 10 nm of gold to prevent  F011700500006 
           charge pile up.                                        F011700500007 
STATUS     (CURVE)Fig.2                                           F011700500008 
ENDBIB               6          0                                 F011700500009 
COMMON               3          3                                 F011700500010 
E-LVL      EN-ERR-DIG ERR-DIG                                     F011700500011 
MEV        MEV        B/SR                                        F011700500012 
 1.779      0.006      0.001                                      F011700500013 
ENDCOMMON            3          0                                 F011700500014 
DATA                 2        136                                 F011700500015 
EN         DATA                                                   F011700500016 
MEV        B/SR                                                   F011700500017 
 6.3055    0.15192E-02                                            F011700500018 
 6.3204    0.45478E-02                                            F011700500019 
 6.3384    0.44901E-02                                            F011700500020 
 6.3533    0.29036E-02                                            F011700500021 
 6.3712    0.13076E-02                                            F011700500022 
 6.3891    0.43266E-02                                            F011700500023 
 6.4071    0.11961E-01                                            F011700500024 
 6.4310    0.10345E-01                                            F011700500025 
 6.4429    0.56918E-02                                            F011700500026 
 6.4578    0.41054E-02                                            F011700500027 
 6.4727    0.40573E-02                                            F011700500028 
 6.4906    0.55380E-02                                            F011700500029 
 6.5055    0.39515E-02                                            F011700500030 
 6.5235    0.69705E-02                                            F011700500031 
 6.5891    0.36822E-02                                            F011700500032 
 6.5952    0.11355E-01                                            F011700500033 
 6.6072    0.15931E-01                                            F011700500034 
 6.6192    0.23585E-01                                            F011700500035 
 6.6341    0.21998E-01                                            F011700500036 
 6.6460    0.15806E-01                                            F011700500037 
 6.6548    0.65474E-02                                            F011700500038 
 6.6637    0.19034E-02                                            F011700500039 
 6.6966    0.64127E-02                                            F011700500040 
 6.7027    0.15624E-01                                            F011700500041 
 6.7176    0.17114E-01                                            F011700500042 
 6.7325    0.17066E-01                                            F011700500043 
 6.7475    0.17018E-01                                            F011700500044 
 6.7654    0.15422E-01                                            F011700500045 
 6.7773    0.16922E-01                                            F011700500046 
 6.7893    0.18421E-01                                            F011700500047 
 6.8012    0.16845E-01                                            F011700500048 
 6.8161    0.16797E-01                                            F011700500049 
 6.8310    0.16748E-01                                            F011700500050 
 6.8489    0.15152E-01                                            F011700500051 
 6.8638    0.12028E-01                                            F011700500052 
 6.8758    0.16604E-01                                            F011700500053 
 6.8908    0.21171E-01                                            F011700500054 
 6.8968    0.25767E-01                                            F011700500055 
 6.9058    0.30353E-01                                            F011700500056 
 6.9148    0.34939E-01                                            F011700500057 
 6.9238    0.33372E-01                                            F011700500058 
 6.9297    0.27200E-01                                            F011700500059 
 6.9356    0.19489E-01                                            F011700500060 
 6.9385    0.14864E-01                                            F011700500061 
 6.9444    0.86912E-02                                            F011700500062 
 6.9653    0.86239E-02                                            F011700500063 
 6.9832    0.70278E-02                                            F011700500064 
 7.0100    0.38645E-02                                            F011700500065 
 7.0220    0.84411E-02                                            F011700500066 
 7.0339    0.68643E-02                                            F011700500067 
 7.0458    0.37491E-02                                            F011700500068 
 7.0608    0.52394E-02                                            F011700500069 
 7.0787    0.67200E-02                                            F011700500070 
 7.0936    0.82103E-02                                            F011700500071 
 7.1027    0.14335E-01                                            F011700500072 
 7.1206    0.14277E-01                                            F011700500073 
 7.1355    0.14229E-01                                            F011700500074 
 7.1445    0.18815E-01                                            F011700500075 
 7.1535    0.24940E-01                                            F011700500076 
 7.1596    0.34151E-01                                            F011700500077 
 7.1686    0.38737E-01                                            F011700500078 
 7.1806    0.41775E-01                                            F011700500079 
 7.1895    0.34055E-01                                            F011700500080 
 7.1953    0.24805E-01                                            F011700500081 
 7.1982    0.18642E-01                                            F011700500082 
 7.2011    0.78641E-02                                            F011700500083 
 7.2309    0.62296E-02                                            F011700500084 
 7.2340    0.16988E-01                                            F011700500085 
 7.2520    0.20007E-01                                            F011700500086 
 7.2639    0.15354E-01                                            F011700500087 
 7.2818    0.15296E-01                                            F011700500088 
 7.2967    0.16786E-01                                            F011700500089 
 7.3087    0.19825E-01                                            F011700500090 
 7.3236    0.19777E-01                                            F011700500091 
 7.3356    0.19738E-01                                            F011700500092 
 7.3535    0.19680E-01                                            F011700500093 
 7.3683    0.88639E-02                                            F011700500094 
 7.3951    0.87773E-02                                            F011700500095 
 7.3983    0.21075E-01                                            F011700500096 
 7.4015    0.37987E-01                                            F011700500097 
 7.4076    0.56428E-01                                            F011700500098 
 7.4138    0.73331E-01                                            F011700500099 
 7.4228    0.71763E-01                                            F011700500100 
 7.4286    0.62514E-01                                            F011700500101 
 7.4315    0.54813E-01                                            F011700500102 
 7.4373    0.42487E-01                                            F011700500103 
 7.4432    0.34776E-01                                            F011700500104 
 7.4491    0.25526E-01                                            F011700500105 
 7.4551    0.34737E-01                                            F011700500106 
 7.4612    0.42410E-01                                            F011700500107 
 7.4702    0.48534E-01                                            F011700500108 
 7.4821    0.42342E-01                                            F011700500109 
 7.4940    0.36150E-01                                            F011700500110 
 7.5059    0.33035E-01                                            F011700500111 
 7.5178    0.28382E-01                                            F011700500112 
 7.5297    0.25266E-01                                            F011700500113 
 7.5417    0.29843E-01                                            F011700500114 
 7.5565    0.23642E-01                                            F011700500115 
 7.5684    0.18988E-01                                            F011700500116 
 7.5773    0.14344E-01                                            F011700500117 
 7.5892    0.14306E-01                                            F011700500118 
 7.6041    0.12719E-01                                            F011700500119 
 7.6160    0.65273E-02                                            F011700500120 
 7.6249    0.34217E-02                                            F011700500121 
 7.6310    0.95559E-02                                            F011700500122 
 7.6430    0.14133E-01                                            F011700500123 
 7.6579    0.12546E-01                                            F011700500124 
 7.6728    0.12498E-01                                            F011700500125 
 7.6907    0.10902E-01                                            F011700500126 
 7.7057    0.15469E-01                                            F011700500127 
 7.7206    0.18498E-01                                            F011700500128 
 7.7385    0.13825E-01                                            F011700500129 
 7.7535    0.21468E-01                                            F011700500130 
 7.7625    0.27593E-01                                            F011700500131 
 7.7714    0.21411E-01                                            F011700500132 
 7.7833    0.16757E-01                                            F011700500133 
 7.7922    0.10575E-01                                            F011700500134 
 7.8041    0.12075E-01                                            F011700500135 
 7.8100    0.59021E-02                                            F011700500136 
 7.8399    0.58060E-02                                            F011700500137 
 7.8459    0.11940E-01                                            F011700500138 
 7.8520    0.19613E-01                                            F011700500139 
 7.8639    0.21113E-01                                            F011700500140 
 7.8759    0.22612E-01                                            F011700500141 
 7.8850    0.31814E-01                                            F011700500142 
 7.8910    0.39486E-01                                            F011700500143 
 7.8941    0.45630E-01                                            F011700500144 
 7.9060    0.45592E-01                                            F011700500145 
 7.9151    0.51716E-01                                            F011700500146 
 7.9211    0.57850E-01                                            F011700500147 
 7.9271    0.62446E-01                                            F011700500148 
 7.9330    0.51659E-01                                            F011700500149 
 7.9388    0.39332E-01                                            F011700500150 
 7.9416    0.25478E-01                                            F011700500151 
 7.9475    0.17767E-01                                            F011700500152 
 7.9624    0.17719E-01                                            F011700500153 
ENDDATA            138          0                                 F011700500154 
ENDSUBENT          153          0                                 F011700599999 
SUBENT        F0117006   20220421                             F089F0117  6    1 
BIB                  4          8                                 F0117  6    2 
REACTION   (14-SI-28(A,P)15-P-31,PAR,DA)                          F0117  6    3 
SAMPLE     The thickness of the quartz glass and silicon were     F0117  6    4 
           greater than the range of the alpha particles. The     F0117  6    5 
           quartz glass was coated with 10 nm of gold to prevent  F0117  6    6 
           charge pile up.                                        F0117  6    7 
STATUS     (CURVE) Fig.3 from Nucl.Instr.Meth.,B88(1994)207       F0117  6    8 
HISTORY    (20220421A) SD: Energy levels corrected (see COMMENT). F0117  6    9 
           E-LVL -> Q-VAL (only Q-val is given in the paper).     F0117  6   10 
ENDBIB               8          0                                 F0117  6   11 
COMMON               2          3                                 F0117  6   12 
EN-ERR-DIG ERR-DIG                                                F0117  6   13 
MEV        B/SR                                                   F0117  6   14 
    0.003     0.20E-03                                            F0117  6   15 
ENDCOMMON            3          0                                 F0117  6   16 
DATA                 3        836                                 F0117  6   17 
Q-VAL      EN         DATA                                        F0117  6   18 
MEV        MEV        B/SR                                        F0117  6   19 
    -1.9158      5.506   3.70E-03                                 F0117  6   20 
    -1.9158      5.509   3.44E-03                                 F0117  6   21 
    -1.9158      5.514   3.29E-03                                 F0117  6   22 
    -1.9158      5.529   3.21E-03                                 F0117  6   23 
    -1.9158      5.537   3.40E-03                                 F0117  6   24 
    -1.9158      5.543   3.62E-03                                 F0117  6   25 
    -1.9158      5.555   3.77E-03                                 F0117  6   26 
    -1.9158      5.569   3.66E-03                                 F0117  6   27 
    -1.9158      5.578   3.43E-03                                 F0117  6   28 
    -1.9158      5.584   3.32E-03                                 F0117  6   29 
    -1.9158      5.586   3.13E-03                                 F0117  6   30 
    -1.9158      5.589   2.76E-03                                 F0117  6   31 
    -1.9158      5.595   2.57E-03                                 F0117  6   32 
    -1.9158      5.601   2.35E-03                                 F0117  6   33 
    -1.9158      5.606   2.05E-03                                 F0117  6   34 
    -1.9158      5.612   1.78E-03                                 F0117  6   35 
    -1.9158      5.614   1.56E-03                                 F0117  6   36 
    -1.9158      5.620   1.37E-03                                 F0117  6   37 
    -1.9158      5.629   1.15E-03                                 F0117  6   38 
    -1.9158      5.637   1.03E-03                                 F0117  6   39 
    -1.9158      5.652   1.11E-03                                 F0117  6   40 
    -1.9158      5.655   1.29E-03                                 F0117  6   41 
    -1.9158      5.661   1.44E-03                                 F0117  6   42 
    -1.9158      5.663   1.59E-03                                 F0117  6   43 
    -1.9158      5.669   1.74E-03                                 F0117  6   44 
    -1.9158      5.678   1.63E-03                                 F0117  6   45 
    -1.9158      5.689   1.52E-03                                 F0117  6   46 
    -1.9158      5.701   1.36E-03                                 F0117  6   47 
    -1.9158      5.710   1.18E-03                                 F0117  6   48 
    -1.9158      5.721   1.06E-03                                 F0117  6   49 
    -1.9158      5.732   1.03E-03                                 F0117  6   50 
    -1.9158      5.744   1.17E-03                                 F0117  6   51 
    -1.9158      5.747   1.32E-03                                 F0117  6   52 
    -1.9158      5.750   1.59E-03                                 F0117  6   53 
    -1.9158      5.759   1.92E-03                                 F0117  6   54 
    -1.9158      5.762   2.30E-03                                 F0117  6   55 
    -1.9158      5.768   2.75E-03                                 F0117  6   56 
    -1.9158      5.774   3.23E-03                                 F0117  6   57 
    -1.9158      5.777   3.76E-03                                 F0117  6   58 
    -1.9158      5.783   4.17E-03                                 F0117  6   59 
    -1.9158      5.789   4.51E-03                                 F0117  6   60 
    -1.9158      5.792   4.84E-03                                 F0117  6   61 
    -1.9158      5.803   4.80E-03                                 F0117  6   62 
    -1.9158      5.806   4.54E-03                                 F0117  6   63 
    -1.9158      5.809   4.43E-03                                 F0117  6   64 
    -1.9158      5.814   4.17E-03                                 F0117  6   65 
    -1.9158      5.817   3.83E-03                                 F0117  6   66 
    -1.9158      5.823   3.30E-03                                 F0117  6   67 
    -1.9158      5.828   2.78E-03                                 F0117  6   68 
    -1.9158      5.834   2.25E-03                                 F0117  6   69 
    -1.9158      5.840   1.92E-03                                 F0117  6   70 
    -1.9158      5.845   1.62E-03                                 F0117  6   71 
    -1.9158      5.851   1.28E-03                                 F0117  6   72 
    -1.9158      5.856   1.05E-03                                 F0117  6   73 
    -1.9158      5.859   8.29E-04                                 F0117  6   74 
    -1.9158      5.871   6.78E-04                                 F0117  6   75 
    -1.9158      5.885   7.52E-04                                 F0117  6   76 
    -1.9158      5.888   9.02E-04                                 F0117  6   77 
    -1.9158      5.894   1.16E-03                                 F0117  6   78 
    -1.9158      5.900   1.54E-03                                 F0117  6   79 
    -1.9158      5.906   2.06E-03                                 F0117  6   80 
    -1.9158      5.909   2.62E-03                                 F0117  6   81 
    -1.9158      5.915   3.26E-03                                 F0117  6   82 
    -1.9158      5.918   3.97E-03                                 F0117  6   83 
    -1.9158      5.924   4.72E-03                                 F0117  6   84 
    -1.9158      5.930   5.32E-03                                 F0117  6   85 
    -1.9158      5.936   6.03E-03                                 F0117  6   86 
    -1.9158      5.940   6.85E-03                                 F0117  6   87 
    -1.9158      5.946   7.56E-03                                 F0117  6   88 
    -1.9158      5.952   7.98E-03                                 F0117  6   89 
    -1.9158      5.957   8.27E-03                                 F0117  6   90 
    -1.9158      5.969   8.27E-03                                 F0117  6   91 
    -1.9158      5.975   8.09E-03                                 F0117  6   92 
    -1.9158      5.977   7.71E-03                                 F0117  6   93 
    -1.9158      5.980   6.96E-03                                 F0117  6   94 
    -1.9158      5.985   6.14E-03                                 F0117  6   95 
    -1.9158      5.991   5.31E-03                                 F0117  6   96 
    -1.9158      5.993   4.45E-03                                 F0117  6   97 
    -1.9158      5.999   3.70E-03                                 F0117  6   98 
    -1.9158      6.004   3.07E-03                                 F0117  6   99 
    -1.9158      6.010   2.69E-03                                 F0117  6  100 
    -1.9158      6.015   2.35E-03                                 F0117  6  101 
    -1.9158      6.021   1.94E-03                                 F0117  6  102 
    -1.9158      6.027   1.57E-03                                 F0117  6  103 
    -1.9158      6.032   1.38E-03                                 F0117  6  104 
    -1.9158      6.038   1.15E-03                                 F0117  6  105 
    -1.9158      6.046   9.65E-04                                 F0117  6  106 
    -1.9158      6.055   8.52E-04                                 F0117  6  107 
    -1.9158      6.067   9.64E-04                                 F0117  6  108 
    -1.9158      6.084   1.08E-03                                 F0117  6  109 
    -1.9158      6.096   1.26E-03                                 F0117  6  110 
    -1.9158      6.113   1.26E-03                                 F0117  6  111 
    -1.9158      6.127   1.18E-03                                 F0117  6  112 
    -1.9158      6.139   1.03E-03                                 F0117  6  113 
    -1.9158      6.147   8.08E-04                                 F0117  6  114 
    -1.9158      6.159   6.57E-04                                 F0117  6  115 
    -1.9158      6.173   5.44E-04                                 F0117  6  116 
    -1.9158      6.185   7.30E-04                                 F0117  6  117 
    -1.9158      6.199   8.79E-04                                 F0117  6  118 
    -1.9158      6.208   1.07E-03                                 F0117  6  119 
    -1.9158      6.214   1.25E-03                                 F0117  6  120 
    -1.9158      6.223   1.44E-03                                 F0117  6  121 
    -1.9158      6.240   1.51E-03                                 F0117  6  122 
    -1.9158      6.251   1.55E-03                                 F0117  6  123 
    -1.9158      6.263   1.36E-03                                 F0117  6  124 
    -1.9158      6.274   1.21E-03                                 F0117  6  125 
    -1.9158      6.283   1.02E-03                                 F0117  6  126 
    -1.9158      6.294   8.72E-04                                 F0117  6  127 
    -1.9158      6.303   7.22E-04                                 F0117  6  128 
    -1.9158      6.311   5.71E-04                                 F0117  6  129 
    -1.9158      6.323   6.45E-04                                 F0117  6  130 
    -1.9158      6.338   7.57E-04                                 F0117  6  131 
    -1.9158      6.349   9.05E-04                                 F0117  6  132 
    -1.9158      6.361   1.02E-03                                 F0117  6  133 
    -1.9158      6.375   9.79E-04                                 F0117  6  134 
    -1.9158      6.387   9.03E-04                                 F0117  6  135 
    -1.9158      6.395   8.27E-04                                 F0117  6  136 
    -1.9158      6.407   7.89E-04                                 F0117  6  137 
    -1.9158      6.418   8.63E-04                                 F0117  6  138 
    -1.9158      6.424   1.05E-03                                 F0117  6  139 
    -1.9158      6.433   1.20E-03                                 F0117  6  140 
    -1.9158      6.439   1.35E-03                                 F0117  6  141 
    -1.9158      6.447   1.46E-03                                 F0117  6  142 
    -1.9158      6.462   1.42E-03                                 F0117  6  143 
    -1.9158      6.476   1.35E-03                                 F0117  6  144 
    -1.9158      6.488   1.20E-03                                 F0117  6  145 
    -1.9158      6.502   1.12E-03                                 F0117  6  146 
    -1.9158      6.513   1.04E-03                                 F0117  6  147 
    -1.9158      6.525   9.30E-04                                 F0117  6  148 
    -1.9158      6.531   7.42E-04                                 F0117  6  149 
    -1.9158      6.539   6.67E-04                                 F0117  6  150 
    -1.9158      6.545   8.16E-04                                 F0117  6  151 
    -1.9158      6.559   9.28E-04                                 F0117  6  152 
    -1.9158      6.568   1.11E-03                                 F0117  6  153 
    -1.9158      6.571   1.30E-03                                 F0117  6  154 
    -1.9158      6.577   1.49E-03                                 F0117  6  155 
    -1.9158      6.583   1.68E-03                                 F0117  6  156 
    -1.9158      6.589   1.90E-03                                 F0117  6  157 
    -1.9158      6.592   2.12E-03                                 F0117  6  158 
    -1.9158      6.603   2.31E-03                                 F0117  6  159 
    -1.9158      6.612   2.42E-03                                 F0117  6  160 
    -1.9158      6.621   2.61E-03                                 F0117  6  161 
    -1.9158      6.627   2.83E-03                                 F0117  6  162 
    -1.9158      6.635   2.95E-03                                 F0117  6  163 
    -1.9158      6.641   2.72E-03                                 F0117  6  164 
    -1.9158      6.649   2.53E-03                                 F0117  6  165 
    -1.9158      6.655   2.34E-03                                 F0117  6  166 
    -1.9158      6.658   2.16E-03                                 F0117  6  167 
    -1.9158      6.667   2.04E-03                                 F0117  6  168 
    -1.9158      6.678   1.89E-03                                 F0117  6  169 
    -1.9158      6.687   1.70E-03                                 F0117  6  170 
    -1.9158      6.698   1.48E-03                                 F0117  6  171 
    -1.9158      6.704   1.22E-03                                 F0117  6  172 
    -1.9158      6.712   9.91E-04                                 F0117  6  173 
    -1.9158      6.721   8.41E-04                                 F0117  6  174 
    -1.9158      6.735   7.65E-04                                 F0117  6  175 
    -1.9158      6.744   6.52E-04                                 F0117  6  176 
    -1.9158      6.755   5.76E-04                                 F0117  6  177 
    -1.9158      6.767   7.63E-04                                 F0117  6  178 
    -1.9158      6.779   9.12E-04                                 F0117  6  179 
    -1.9158      6.790   1.06E-03                                 F0117  6  180 
    -1.9158      6.796   1.25E-03                                 F0117  6  181 
    -1.9158      6.802   1.43E-03                                 F0117  6  182 
    -1.9158      6.811   1.58E-03                                 F0117  6  183 
    -1.9158      6.819   1.77E-03                                 F0117  6  184 
    -1.9158      6.831   1.92E-03                                 F0117  6  185 
    -1.9158      6.842   1.99E-03                                 F0117  6  186 
    -1.9158      6.854   1.96E-03                                 F0117  6  187 
    -1.9158      6.860   1.77E-03                                 F0117  6  188 
    -1.9158      6.871   1.62E-03                                 F0117  6  189 
    -1.9158      6.877   1.39E-03                                 F0117  6  190 
    -1.9158      6.882   1.20E-03                                 F0117  6  191 
    -1.9158      6.888   9.78E-04                                 F0117  6  192 
    -1.9158      6.899   8.65E-04                                 F0117  6  193 
    -1.9158      6.914   8.27E-04                                 F0117  6  194 
    -1.9158      6.923   9.38E-04                                 F0117  6  195 
    -1.9158      6.928   1.20E-03                                 F0117  6  196 
    -1.9158      6.934   1.50E-03                                 F0117  6  197 
    -1.9158      6.937   1.72E-03                                 F0117  6  198 
    -1.9158      6.943   1.87E-03                                 F0117  6  199 
    -1.9158      6.952   2.06E-03                                 F0117  6  200 
    -1.9158      6.961   2.21E-03                                 F0117  6  201 
    -1.9158      6.964   2.36E-03                                 F0117  6  202 
    -1.9158      6.969   2.17E-03                                 F0117  6  203 
    -1.9158      6.978   2.06E-03                                 F0117  6  204 
    -1.9158      6.986   1.87E-03                                 F0117  6  205 
    -1.9158      6.995   1.68E-03                                 F0117  6  206 
    -1.9158      7.003   1.42E-03                                 F0117  6  207 
    -1.9158      7.009   1.19E-03                                 F0117  6  208 
    -1.9158      7.018   1.04E-03                                 F0117  6  209 
    -1.9158      7.026   8.56E-04                                 F0117  6  210 
    -1.9158      7.038   7.43E-04                                 F0117  6  211 
    -1.9158      7.043   5.55E-04                                 F0117  6  212 
    -1.9158      7.055   5.54E-04                                 F0117  6  213 
    -1.9158      7.067   6.66E-04                                 F0117  6  214 
    -1.9158      7.072   8.15E-04                                 F0117  6  215 
    -1.9158      7.075   9.65E-04                                 F0117  6  216 
    -1.9158      7.081   1.19E-03                                 F0117  6  217 
    -1.9158      7.087   1.49E-03                                 F0117  6  218 
    -1.9158      7.093   1.86E-03                                 F0117  6  219 
    -1.9158      7.096   2.39E-03                                 F0117  6  220 
    -1.9158      7.102   2.95E-03                                 F0117  6  221 
    -1.9158      7.108   3.55E-03                                 F0117  6  222 
    -1.9158      7.111   4.11E-03                                 F0117  6  223 
    -1.9158      7.114   4.71E-03                                 F0117  6  224 
    -1.9158      7.123   5.27E-03                                 F0117  6  225 
    -1.9158      7.129   5.72E-03                                 F0117  6  226 
    -1.9158      7.129   5.98E-03                                 F0117  6  227 
    -1.9158      7.144   5.90E-03                                 F0117  6  228 
    -1.9158      7.147   5.68E-03                                 F0117  6  229 
