ENTRY            F0147   19990409                             0000F014700000001 
SUBENT        F0147001   19990409                             0000F014700100001 
BIB                  9         12                                 F014700100002 
TITLE      Heavy-particle stripping in the 9Be(He3,alpha)8Be      F014700100003 
           reaction and energy levels of 8Be                      F014700100004 
AUTHOR     (W.E.DORENBUSCH,C.P.BROWNE)                            F014700100005 
INSTITUTE  (1USANOT)                                              F014700100006 
REFERENCE  (J,PR,131,1212,196308)                                 F014700100007 
MONITOR    ((MONIT)4-BE-9(D,P)4-BE-10,,DA,,,EXP)                  F014700100008 
MONIT-REF  (,FULBRIGHT+,J,PR,88,700,1952)                         F014700100009 
SAMPLE     Thin targets were prepared by evaporating beryllium    F014700100010 
           metal from a tantalum boat onto thin Formvar backings. F014700100011 
DETECTOR   (PLATE)                                                F014700100012 
HISTORY    (19840817C)                                            F014700100013 
           (19990407A) CNPD: corrected 4-dig. year                F014700100014 
ENDBIB              12          0                                 F014700100015 
COMMON               4          3                                 F014700100016 
EN-NRM     ANG-NRM    E-LVL-NRM  MONIT                            F014700100017 
MEV        ADEG       MEV        MB/SR                            F014700100018 
  3.6        90.       0.         1.                              F014700100019 
ENDCOMMON            3          0                                 F014700100020 
ENDSUBENT           19          0                                 F014700199999 
SUBENT        F0147002   19990409                             0000F014700200001 
BIB                  4          5                                 F014700200002 
REACTION   ((4-BE-9(HE3,A)4-BE-8,PAR,DA,,,EXP)/                   F014700200003 
           (4-BE-9(D,P)4-BE-10,,DA,,,EXP))                        F014700200004 
ERR-ANALYS (DATA-ERR) The estimated uncertainty in the yield.     F014700200005 
STATUS     (TABLE) Table 1                                        F014700200006 
EN-SEC     (E-LVL,4-BE-8)                                         F014700200007 
ENDBIB               5          0                                 F014700200008 
NOCOMMON             0          0                                 F014700200009 
DATA                 5        132                                 F014700200010 
EN         E-LVL      ANG        DATA       DATA-ERR              F014700200011 
     3.        16.9       66.58       2.855      0.1669           F014700300070 
     3.        16.9       76.43       2.468      0.1669           F014700300071 
     3.        16.9       87.63       2.471      0.1669           F014700300072 
     3.        16.9       97.56       1.527      0.2222           F014700300073 
     3.        16.9      107.3        1.641      0.2781           F014700300074 
     3.        16.9      118.5        1.81       0.2225           F014700300075 
     3.        16.9      127.         1.144      0.2225           F014700300076 
     3.        17.6       10.18       1.682      0.1203           F014700300077 
     3.        17.6       17.56       1.516      0.1443           F014700300078 
     3.        17.6       23.39       1.806      0.1203           F014700300079 
     3.        17.6       28.26       1.76       0.1443           F014700300080 
     3.        17.6       35.36       1.978      0.1684           F014700300081 
     3.        17.6       47.27       2.222      0.144            F014700300082 
     3.        17.6       58.39       1.913      0.1203           F014700300083 
     3.        17.6       69.62       1.459      0.1203           F014700300084 
     3.        17.6       79.55       1.125      0.1206           F014700300085 
     3.        17.6       99.51       0.3373     0.1447           F014700300086 
     4.         0.         5.437      0.1472     0.0109           F014700300087 
     4.         0.        12.18       0.1445     0.0109           F014700300088 
     4.         0.        17.57       0.1335 0.8197E-02           F014700300089 
     4.         0.        22.95       0.1198 0.8197E-02           F014700300090 
     4.         0.        33.73       0.1089 0.8203E-02           F014700300091 
     4.         0.        44.53       0.1116     0.0109           F014700300092 
     4.         0.        56.69       0.117  0.8197E-02           F014700300093 
     4.         0.        67.48       0.1196 0.8197E-02           F014700300094 
     4.         0.        78.31       0.1469     0.0109           F014700300095 
     4.         0.        87.88       0.2616     0.0109           F014700300096 
     4.         0.        98.67       0.2561     0.0109           F014700300097 
     4.         0.       108.         0.185      0.0109           F014700300098 
     4.         0.       118.8        0.1495     0.0137           F014700300099 
     4.         0.       126.9        0.1522 0.8197E-02           F014700300100 
     4.         0.       136.4        0.2122     0.0137           F014700300101 
     4.         0.       145.9        0.2641     0.0109           F014700300102 
     4.         2.9        4.231      1.662      0.0681           F014700300103 
     4.         2.9       11.01       1.675      0.0681           F014700300104 
     4.         2.9       16.47       1.757      0.0681           F014700300105 
     4.         2.9       21.78       1.538      0.0817           F014700300106 
     4.         2.9       33.79       1.156      0.0817           F014700300107 
     4.         2.9       44.48       0.8561     0.0681           F014700300108 
     4.         2.9       56.61       0.7328     0.0681           F014700300109 
     4.         2.9       67.37       0.5688     0.0545           F014700300110 
     4.         2.9       78.18       0.5138     0.0409           F014700300111 
     4.         2.9       87.76       0.7177     0.0546           F014700300112 
     4.         2.9       98.65       0.8125     0.0545           F014700300113 
     4.         2.9      109.5        0.8528     0.0546           F014700300114 
     4.         2.9      117.7        0.8933     0.0409           F014700300115 
     4.         2.9      127.2        0.9337     0.0681           F014700300116 
     4.         2.9      136.7        1.001      0.0682           F014700300117 
     4.         2.9      144.8        1.083      0.0682           F014700300118 
     4.        16.6       13.09       0.1206     0.0117           F014700300119 
     4.        16.6       20.29       0.1453     0.0117           F014700300120 
     4.        16.6       26.2        0.4079     0.0117           F014700300121 
