ENTRY            F0252   19990412                             0000F025200000001 
SUBENT        F0252001   19990412                             0000F025200100001 
BIB                 10         22                                 F025200100002 
TITLE      Differential cross sections for the 9Be(3He,p)11B      F025200100003 
           reaction                                               F025200100004 
AUTHOR     (E.A.WOLICKI,H.D.HOLMGREN,R.L.JOHNSTON,E.G.ILLSLEY)    F025200100005 
INSTITUTE  (1USANRL)                                              F025200100006 
REFERENCE  (J,PR,116,1585,195912)                                 F025200100007 
SAMPLE     Targets were prepared by evaporating a thin layer of   F025200100008 
           beryllium onto 10-microinch nickel foil. The targets   F025200100009 
           had thicknesses of between 25 and 50 keV to the        F025200100010 
           incident beam.                                         F025200100011 
METHOD     (PHD)                                                  F025200100012 
FACILITY   (VDG)                                                  F025200100013 
DETECTOR   (PLATE) Ilford C-2 200-micron nuclear emulsions for    F025200100014 
           angular distributions of the proton groups leaving the F025200100015 
           11B nucleus in its ground and 1-st excited states      F025200100016 
           (CSICR) A sliding seal chamber and CsI scintillation   F025200100017 
           detector for proton groups p0 - p6 at 4.5 MeV.         F025200100018 
ERR-ANALYS (ERR-1) The error due to normalization. Absolute cross F025200100019 
           sections were obtained by normalizing all measurements F025200100020 
           to an absolute differential cross-section determinationF025200100021 
           made at 2.0 MeV.                                       F025200100022 
HISTORY    (19850318C)                                            F025200100023 
           (19990409A) CNPD: corrected 4-dig. year                F025200100024 
ENDBIB              22          0                                 F025200100025 
COMMON               1          3                                 F025200100026 
ERR-1                                                             F025200100027 
PER-CENT                                                          F025200100028 
  20.0                                                            F025200100029 
ENDCOMMON            3          0                                 F025200100030 
ENDSUBENT           29          0                                 F025200199999 
SUBENT        F0252002   19990412                             0000F025200200001 
BIB                  5         18                                 F025200200002 
REACTION   (4-BE-9(HE3,P)5-B-11,PAR,DA,,,EXP)                     F025200200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F025200200004 
           (DATA-ERR) Error from error bars ann digitizing.       F025200200005 
           The error bars include a uncertainty in the            F025200200006 
           determination of the solid angle, an estimated         F025200200007 
           uncertainty in the counting of the track statistical   F025200200008 
           uncertainties due to the number of track counted,      F025200200009 
           due to a small overlap in the pulse-height spectrum    F025200200010 
           between proton groups p2 and p3 or due to pulses causedF025200200011 
           by other reaction products from the target which lay   F025200200012 
           in the same region of the pulse-height spectrum a      F025200200013 
           proton groups p4,5 and p6 (major portion of the        F025200200014 
           total uncertainty for these two groups).               F025200200015 
FLAG       (1.) Points obtained using nuclear emulsion            F025200200016 
           (2.) Points obtained using a sliding seal chamber and  F025200200017 
           CsI scintillation counters                             F025200200018 
STATUS     (CURVE) fig 2,3,4                                      F025200200019 
EN-SEC     (E-LVL,5-B-11)                                         F025200200020 
ENDBIB              18          0                                 F025200200021 
COMMON               2          3                                 F025200200022 
EN         ANG-ERR                                                F025200200023 
MEV        ADEG                                                   F025200200024 
  4.5        0.7                                                  F025200200025 
ENDCOMMON            3          0                                 F025200200026 
DATA                 5        160                                 F025200200027 
E-LVL      ANG-CM     DATA-CM    DATA-ERR   FLAG                  F025200200028 
           (DATA-ERR) Digitizing error                            F025200300005 
COMMENT    The curves were obtained by plotting, for each         F025200300006 
           bombarding energy, the weighted sum of the p0 and p1   F025200300007 
           yields at 30, 60, 90, 120 and 150 degr.                F025200300008 
STATUS     (CURVE) fig 7                                          F025200300009 
EN-SEC     (E-LVL,5-B-11)                                         F025200300010 
ENDBIB               8          0                                 F025200300011 
COMMON               2          3                                 F025200300012 
EN-ERR     DATA-ERR                                               F025200300013 
MEV        MB                                                     F025200300014 
 0.017      0.07                                                  F025200300015 
ENDCOMMON            3          0                                 F025200300016 
DATA                 3         50                                 F025200300017 
EN         E-LVL      DATA                                        F025200300018 
MEV        MEV        MB                                          F025200300019 
     1.806      0.        12.06                                   F025200300020 
     1.815      2.138      6.333                                  F025200300021 
     1.856      0.        12.99                                   F025200300022 
     1.901      2.138      6.69                                   F025200300023 
     1.958      0.        13.82                                   F025200300024 
     2.009      0.        14.41                                   F025200300025 
     2.021      2.138      6.933                                  F025200300026 
     2.094      0.        15.                                     F025200300027 
     2.142      2.138      6.825                                  F025200300028 
     2.18       0.        15.24                                   F025200300029 
     2.262      2.138      6.834                                  F025200300030 
     2.283      0.        15.13                                   F025200300031 
     2.388      0.        14.67                                   F025200300032 
     2.4        2.138      6.961                                  F025200300033 
     2.509      0.        14.44                                   F025200300034 
     2.555      2.138      6.972                                  F025200300035 
     2.612      0.        14.1                                    F025200300036 
     2.693      2.138      6.983                                  F025200300037 
     2.751      0.        13.99                                   F025200300038 
     2.831      2.138      7.11                                   F025200300039 
     2.889      0.        13.77                                   F025200300040 
     2.951      2.138      7.236                                  F025200300041 
     3.062      0.        13.67                                   F025200300042 
     3.123      2.138      7.482                                  F025200300043 
     3.234      0.        13.56                                   F025200300044 
     3.26       2.138      7.96                                   F025200300045 
     3.364      2.138      8.201                                  F025200300046 
     3.372      0.        13.46                                   F025200300047 
     3.493      0.        13.23                                   F025200300048 
     3.519      2.138      8.329                                  F025200300049 
     3.58       0.        12.77                                   F025200300050 
     3.685      0.        12.2                                    F025200300051 
     3.691      2.138      8.225                                  F025200300052 
     3.806      0.        11.74                                   F025200300053 
     3.846      2.138      8.12                                   F025200300054 
     3.927      0.        11.51                                   F025200300055 
     3.985      2.138      7.897                                  F025200300056 
     4.065      0.        11.41                                   F025200300057 
     4.14       2.138      7.909                                  F025200300058 
     4.186      0.        11.3                                    F025200300059 
     4.278      2.138      7.685                                  F025200300060 
     4.324      0.        11.31                                   F025200300061 
     4.468      2.138      7.583                                  F025200300062 
     4.479      0.        11.44                                   F025200300063 
     4.606      2.138      7.476                                  F025200300064 
     4.651      0.        11.57                                   F025200300065 
     4.744      2.138      7.487                                  F025200300066 
     4.806      0.        11.46                                   F025200300067 
     4.917      2.138      7.266                                  F025200300068 
     4.927      0.        11.35                                   F025200300069 
ENDDATA             52          0                                 F025200300070 
ENDSUBENT           69          0                                 F025200399999 
SUBENT        F0252004   19990412                             0000F025200400001 
BIB                  3          3                                 F025200400002 
