ENTRY            F0224   19990409                             0000F022400000001 
SUBENT        F0224001   19990409                             0000F022400100001 
BIB                  9         14                                 F022400100002 
TITLE      The 10B(p,alpha)7Be reaction between 2 and 11 MeV      F022400100003 
AUTHOR     (J.G.JENKIN,L.G.EARWAKER,E.W.TITTERTON)                F022400100004 
INSTITUTE  (3AULCBR)                                              F022400100005 
REFERENCE  (J,NP,50,516,196401)                                   F022400100006 
SAMPLE     A 100 mu-g/cm**2 self-supporting boron target,         F022400100007 
           containing 89% 10B AND 8% 11B. The thickness of 10B in F022400100008 
           the target is 77 +- 15 mu-g/cm**2                      F022400100009 
FACILITY   (VDGT)                                                 F022400100010 
DETECTOR   (SOLST) 4.5*4.5 mm, 300 omega*cm gold-silicon surface  F022400100011 
           barrier                                                F022400100012 
ERR-ANALYS (DATA-ERR) Digitizing error. Statistical errors are of F022400100013 
           the order of the size of the points.                   F022400100014 
HISTORY    (19850214C)                                            F022400100015 
           (19990409A) CNPD: corrected 4-dig. year                F022400100016 
ENDBIB              14          0                                 F022400100017 
NOCOMMON             0          0                                 F022400100018 
ENDSUBENT           17          0                                 F022400199999 
SUBENT        F0224002   19990409                             0000F022400200001 
BIB                  4          4                                 F022400200002 
REACTION   (5-B-10(P,A)4-BE-7,PAR,DA,,,EXP)                       F022400200003 
ERR-ANALYS (EN-ERR) Digitizing error                              F022400200004 
STATUS     (CURVE) fig 2                                          F022400200005 
EN-SEC     (E-LVL,4-BE-7)                                         F022400200006 
ENDBIB               4          0                                 F022400200007 
COMMON               2          3                                 F022400200008 
EN-ERR     DATA-ERR                                               F022400200009 
MEV        MB/SR                                                  F022400200010 
     4.587      0.        90.         8.743                       F022400200212 
     4.593      0.429     90.         4.22                        F022400200213 
     4.639      0.        50.        12.57                        F022400200214 
     4.64       0.        90.         7.881                       F022400200215 
     4.641      0.429     50.         4.335                       F022400200216 
     4.645      0.429     90.         3.849                       F022400200217 
     4.685      0.        90.         7.365                       F022400200218 
     4.691      0.429     50.         4.631                       F022400200219 
     4.692      0.        50.        11.54                        F022400200220 
     4.696      0.429     90.         3.776                       F022400200221 
     4.737      0.        90.         6.799                       F022400200222 
     4.74       0.429     90.         3.529                       F022400200223 
     4.743      0.429     50.         4.237                       F022400200224 
     4.745      0.        50.        10.8                         F022400200225 
     4.781      0.        90.         6.651                       F022400200226 
     4.787      0.429     50.         4.188                       F022400200227 
     4.791      0.429     90.         3.653                       F022400200228 
     4.797      0.        50.        10.23                        F022400200229 
     4.832      0.        90.         6.455                       F022400200230 
     4.845      0.429     50.         4.214                       F022400200231 
     4.848      0.        50.        10.04                        F022400200232 
     4.849      0.429     90.         3.654                       F022400200233 
     4.89       0.        90.         6.529                       F022400200234 
     4.896      0.429     50.         4.14                        F022400200235 
     4.9        0.        50.         9.445                       F022400200236 
     4.908      0.429     90.         3.531                       F022400200237 
     4.939      0.429     50.         4.214                       F022400200238 
     4.941      0.        90.         6.529                       F022400200239 
     4.951      0.        50.         9.445                       F022400200240 
     4.959      0.429     90.         3.655                       F022400200241 
     4.99       0.429     50.         4.215                       F022400200242 
     4.992      0.        90.         6.382                       F022400200243 
     4.994      0.        50.         9.667                       F022400200244 
     5.003      0.429     90.         3.458                       F022400200245 
     5.041      0.429     50.         4.141                       F022400200246 
     5.043      0.        90.         6.407                       F022400200247 
     5.051      0.        50.         9.89                        F022400200248 
     5.054      0.429     90.         3.483                       F022400200249 
     5.086      0.        90.         6.334                       F022400200250 
     5.098      0.429     90.         3.459                       F022400200251 
     5.099      0.429     50.         4.191                       F022400200252 
     5.101      0.        50.        10.28                        F022400200253 
     5.143      0.429     50.         3.724                       F022400200254 
     5.144      0.        90.         6.285                       F022400200255 
     5.152      0.        50.        10.16                        F022400200256 
     5.156      0.429     90.         3.237                       F022400200257 
     5.189      0.        90.         5.817                       F022400200258 
     5.193      0.429     50.         4.192                       F022400200259 
     5.202      0.        50.        10.46                        F022400200260 
     5.208      0.429     90.         2.718                       F022400200261 
     5.237      0.429     90.         2.619                       F022400200262 
     5.241      0.        90.         5.473                       F022400200263 
     5.245      0.429     50.         3.626                       F022400200264 
     5.247      0.        50.        10.09                        F022400200265 
     5.292      0.        90.         5.399                       F022400200266 
     5.296      0.429     50.         3.725                       F022400200267 
     5.303      0.429     90.         2.645                       F022400200268 
     5.305      0.        50.         9.843                       F022400200269 
     5.343      0.        90.         5.006                       F022400200270 
     5.348      0.429     50.         3.109                       F022400200271 
     5.354      0.429     90.         2.448                       F022400200272 
     5.357      0.        50.         9.498                       F022400200273 
     5.395      0.        90.         4.785                       F022400200274 
     5.398      0.429     50.         3.529                       F022400200275 
     5.398      0.429     90.         2.374                       F022400200276 
     5.4        0.        50.         9.622                       F022400200277 
     5.439      0.        90.         4.49                        F022400200278 
     5.441      0.429     50.         3.701                       F022400200279 
     5.451      0.        50.         9.671                       F022400200280 
     5.457      0.429     90.         2.35                        F022400200281 
     5.497      0.        90.         4.318                       F022400200282 
     5.5        0.429     50.         3.357                       F022400200283 
     5.5        0.429     90.         2.252                       F022400200284 
     5.502      0.        50.         9.425                       F022400200285 
     5.541      0.        90.         4.244                       F022400200286 
     5.543      0.429     50.         3.382                       F022400200287 
     5.547      0.        50.         8.759                       F022400200288 
     5.559      0.429     90.         2.228                       F022400200289 
     5.585      0.        90.         4.121                       F022400200290 
     5.594      0.429     50.         3.456                       F022400200291 
     5.598      0.        50.         8.661                       F022400200292 
     5.61       0.429     90.         2.179                       F022400200293 
     5.635      0.        90.         4.22                        F022400200294 
     5.642      0.        50.         8.612                       F022400200295 
     5.652      0.429     50.         3.531                       F022400200296 
     5.654      0.429     90.         2.254                       F022400200297 
     5.687      0.429     50.         3.679                       F022400200298 
     5.693      0.        50.         8.415                       F022400200299 
     5.694      0.        90.         4.098                       F022400200300 
     5.704      0.429     90.         2.329                       F022400200301 
     5.744      0.        50.         8.243                       F022400200302 
     5.745      0.429     50.         3.778                       F022400200303 
     5.762      0.429     90.         2.478                       F022400200304 
