ENTRY            F0041   20030519                             0000F004100000001 
SUBENT        F0041001   20030519                             0000F004100100001 
BIB                 10         11                                 F004100100002 
TITLE      Effects of the interference in the reactions           F004100100003 
           7Li(d,n)8Be near 1 MeV rezonance                       F004100100004 
AUTHOR     (C.NUSSBAUM)                                           F004100100005 
INSTITUTE  (2SWTNEU)                                              F004100100006 
REFERENCE  (J,HPA,42,361,1969)                                    F004100100007 
SAMPLE     Natural lithium                                        F004100100008 
DETECTOR   (SCIN)                                                 F004100100009 
FACILITY   (VDG)                                                  F004100100010 
METHOD     (PHD)                                                  F004100100011 
ERR-ANALYS (DATA-ERR) Digitizing error                            F004100100012 
HISTORY    (19840105C)                                            F004100100013 
ENDBIB              11          0                                 F004100100014 
NOCOMMON             0          0                                 F004100100015 
ENDSUBENT           14          0                                 F004100199999 
SUBENT        F0041002   20030519                             0000F004100200001 
BIB                  4          5                                 F004100200002 
REACTION   (3-LI-7(D,N)4-BE-8,PAR,DA,,,EXP)                       F004100200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F004100200004 
           (DATA-ERR1) Error from graphic bars (statistic)        F004100200005 
EN-SEC     (E-LVL,4-BE-8)                                         F004100200006 
STATUS     (CURVE) Fig 13,14                                      F004100200007 
ENDBIB               5          0                                 F004100200008 
COMMON               2          3                                 F004100200009 
ANG-ERR    DATA-ERR                                               F004100200010 
ADEG       PER-CENT                                               F004100200011 
 0.5        0.2                                                   F004100200012 
ENDCOMMON            3          0                                 F004100200013 
DATA                 5        134                                 F004100200014 
EN         E-LVL      ANG        DATA       DATA-ERR1             F004100200015 
MEV        MEV        ADEG       MB/SR      MB/SR                 F004100200016 
  1.017      0.000      90.00      4.059     0.6547               F004100400041 
  1.020      2.940      90.00      19.15      2.200               F004100400042 
  1.022      0.000      0.000      2.291     0.5272               F004100400043 
  1.023      2.940      0.000      26.01      3.084               F004100400044 
  1.048      2.940      90.00      16.04      1.914               F004100400045 
  1.049      0.000      90.00      4.339     0.6139               F004100400046 
  1.052      0.000      0.000      2.258     0.4895               F004100400047 
  1.053      2.940      0.000      23.94      2.821               F004100400048 
  1.089      0.000      90.00      3.881     0.5730               F004100400049 
  1.089      2.940      90.00      13.59      1.751               F004100400050 
  1.093      0.000      0.000      2.791     0.5271               F004100400051 
  1.094      2.940      0.000      18.57      2.106               F004100400052 
  1.139      0.000      90.00      4.279     0.6139               F004100400053 
  1.139      2.940      90.00      9.182      1.263               F004100400054 
  1.140      0.000      0.000      2.647     0.5649               F004100400055 
  1.140      2.940      0.000      10.07      1.316               F004100400056 
  1.239      2.940      0.000      7.791      1.128               F004100400057 
  1.240      0.000      0.000      2.510     0.4894               F004100400058 
  1.240      0.000      90.00      3.235     0.5320               F004100400059 
  1.240      2.940      90.00      5.454     0.7740               F004100400060 
  1.324      0.000      0.000      2.936     0.4894               F004100400061 
  1.324      2.940      0.000      7.950      1.015               F004100400062 
  1.325      0.000      90.00      2.930     0.5320               F004100400063 
  1.326      2.940      90.00      5.151      1.059               F004100400064 
ENDDATA             50          0                                 F004100400065 
ENDSUBENT           64          0                                 F004100499999 
ENDENTRY             4          0                                 F004199999999 
