ENTRY            F0524   20140310                             F054F052400000001 
SUBENT        F0524001   20140310                             F054F052400100001 
BIB                 11         28                                 F052400100002 
INSTITUTE  (4RUSEPA)                                              F052400100003 
REFERENCE  (J,IZV,64,440,2000)                                    F052400100004 
           (J,BAS,64,352,2000)  Engl. transl. of IZV,64,440       F052400100005 
           (C,2001SAROV,,186,2001) Two last Subents were derived. F052400100006 
AUTHOR     (L.N.Generalov,S.N.Abramovich,A.G.Zvenigorodskii)      F052400100007 
TITLE      9Be(d,p0,1) and 9Be(d,t0) reaction cross sections.     F052400100008 
FACILITY   (VDGT,4RUSEPA)                                         F052400100009 
SAMPLE     Two targets (40 and 267 mu-g/cm2 thick) of 9Be         F052400100010 
            evaporated onto thin (30 mu-g/cm2 thick)              F052400100011 
            poly-n-xylilene C8H8 backing.                         F052400100012 
           In additional experiments poly-n-xylilene C8H8 backing F052400100013 
            and Al2O3 backing were used as targets.               F052400100014 
DETECTOR   (TELES,SOLST,SOLST) Ten silicon diffusion-drift        F052400100015 
            detectors on the movable table.                       F052400100016 
           Monitor detector fixed at 20 degr.                     F052400100017 
ERR-ANALYS (ERR-SYS)   Systematic error                           F052400100018 
           (ERR-S)     Statistical error                          F052400100019 
REL-REF    (M,,S.Abramovich+,J,IZV,57,173,1993) Experim. method.  F052400100020 
STATUS     (APRVD)  Approved by Generalov L.N.                    F052400100021 
HISTORY    (20010205C)                                            F052400100022 
           (20030505A) Changed headings in sub.002,004,006, added F052400100023 
            reference and subents 007,008.                        F052400100024 
           (20040714C) Data error headings updated.               F052400100025 
           (20060828A) Common headings in sub007 updated. Sub009  F052400100026 
           was added.                                             F052400100027 
           (20090626) Error designations were changed. Energy     F052400100028 
           values in sub 9 were corrected.                        F052400100029 
           (20140310U) SD: Ref. on Engl.transl. added.            F052400100030 
ENDBIB              28          0                                 F052400100031 
COMMON               1          3                                 F052400100032 
ERR-SYS                                                           F052400100033 
PER-CENT                                                          F052400100034 
  3.0                                                             F052400100035 
ENDCOMMON            3          0                                 F052400100036 
ENDSUBENT           35          0                                 F052400199999 
SUBENT        F0524002   20090626                             F036F052400200001 
BIB                  2          2                                 F052400200002 
REACTION   (4-BE-9(D,P)4-BE-10,PAR,DA)                            F052400200003 
EN-SEC     (E-LVL,4-BE-10)                                        F052400200004 
ENDBIB               2          0                                 F052400200005 
NOCOMMON             0          0                                 F052400200006 
DATA                 5        760                                 F052400200007 
EN         E-LVL      ANG-CM     DATA-CM    ERR-S                 F052400200008 
        7.5         0.       86.7      0.481        6.9           F052400200432 
        7.5         0.       96.8      0.309        6.9           F052400200433 
        7.5         0.      101.7      0.301        6.9           F052400200434 
        7.5         0.      106.7       0.34         7.           F052400200435 
        7.5         0.      111.6      0.432        6.9           F052400200436 
        7.5         0.      116.4      0.399        6.9           F052400200437 
        7.5         0.       121.      0.432        6.9           F052400200438 
        7.5         0.      125.9      0.464        7.3           F052400200439 
        7.5         0.      130.5      0.495        6.9           F052400200440 
        7.5         0.      135.2      0.476        7.1           F052400200441 
        7.5         0.      144.3      0.584         7.           F052400200442 
        7.5         0.      148.9      0.491         7.           F052400200443 
        7.5         0.      153.4       0.53        7.5           F052400200444 
        7.5         0.      162.3      0.589        7.1           F052400200445 
        7.5         0.      166.7      0.658        7.2           F052400200446 
        7.5         0.      171.2      0.548        7.4           F052400200447 
        7.5      3.368       11.4       4.63         7.           F052400200448 
        7.5      3.368       17.1       4.84         7.           F052400200449 
        7.5      3.368       22.8       4.99        6.9           F052400200450 
        7.5      3.368       34.1       4.17        9.2           F052400200451 
        7.5      3.368       56.2      0.951        9.1           F052400200452 
        7.5      3.368        67.      0.751        7.2           F052400200453 
        7.5      3.368       77.6      0.744        6.9           F052400200454 
        7.5      3.368       82.8      0.827         7.           F052400200455 
        7.5      3.368        88.       1.03        7.1           F052400200456 
        7.5      3.368       98.1      0.948        7.3           F052400200457 
        7.5      3.368      103.1      0.973        7.2           F052400200458 
        7.5      3.368       108.       1.02        7.3           F052400200459 
        7.5      3.368      112.8      0.985        6.9           F052400200460 
        7.5      3.368      117.6      0.998         7.           F052400200461 
        7.5      3.368      122.4       1.08        7.4           F052400200462 
        7.5      3.368       127.       1.16         7.           F052400200463 
        7.5      3.368      131.6      0.956        6.9           F052400200464 
        7.5      3.368      145.2      0.886         7.           F052400200465 
        7.5      3.368      149.6      0.801         7.           F052400200466 
        7.5      3.368      154.1      0.832        7.1           F052400200467 
        7.5      3.368      167.1      0.684        10.           F052400200468 
        7.5      3.368      171.4      0.701         9.           F052400200469 
        8.0         0.       22.3       2.56         7.           F052400200470 
        8.0         0.       33.4        2.3        8.8           F052400200471 
        8.0         0.       38.9       1.23         7.           F052400200472 
        8.0         0.       44.4      0.712         7.           F052400200473 
        8.0         0.       55.2      0.423        6.9           F052400200474 
        8.0         0.       60.6      0.463        6.9           F052400200475 
        8.0         0.       65.9      0.514        6.9           F052400200476 
        8.0         0.       76.4      0.563        6.9           F052400200477 
        8.0         0.       81.6       0.46        7.2           F052400200478 
        8.0         0.       86.8      0.404        7.4           F052400200479 
        8.0         0.       96.9       0.33        7.4           F052400200480 
        8.0         0.      101.8      0.292        7.3           F052400200481 
        8.0         0.      106.8      0.276         8.           F052400200482 
        8.0         0.      111.6      0.368        7.1           F052400200483 
        8.0         0.      116.2      0.384        7.3           F052400200484 
        8.0         0.      121.2      0.393        7.2           F052400200485 
        8.0         0.      125.9      0.388        7.3           F052400200486 
        8.0         0.      130.6      0.403        7.3           F052400200487 
        8.0         0.      144.4      0.374         7.           F052400200488 
        8.0         0.      148.9       0.38        7.1           F052400200489 
        8.0         0.      153.4      0.402        7.4           F052400200490 
        8.0         0.      162.3       0.35        8.8           F052400200491 
        8.0         0.      171.2       0.39        7.5           F052400200492 
        8.0      3.368       17.1       4.67        8.8           F052400200493 
        8.0      3.368       22.8       4.86         9.           F052400200494 
        8.0      3.368       34.1       4.09         7.           F052400200495 
        8.0      3.368       39.7       2.89        6.9           F052400200496 
        8.0      3.368       56.2       1.08        7.8           F052400200497 
        8.0      3.368       61.7      0.753        7.3           F052400200498 
        8.0      3.368       67.1       0.85         7.           F052400200499 
        8.0      3.368       77.7       0.76        7.4           F052400200500 
        8.0      3.368       82.9      0.773        7.1           F052400200501 
        8.0      3.368        88.      0.831         7.           F052400200502 
        8.0      3.368       98.2      0.836         7.           F052400200503 
        8.0      3.368      103.1       0.95        7.2           F052400200504 
        8.0      3.368       108.      0.934        7.8           F052400200505 
        8.0      3.368      112.9       1.01        7.1           F052400200506 
        8.0      3.368      117.7       1.06        6.9           F052400200507 
        8.0      3.368      122.4        1.1        7.4           F052400200508 
        8.0      3.368      131.7      0.961         7.           F052400200509 
        8.0      3.368      145.2      0.861        6.9           F052400200510 
        8.0      3.368      154.1      0.826        6.9           F052400200511 
        8.0      3.368      162.8      0.699        7.2           F052400200512 
        8.0      3.368      167.1      0.688         7.           F052400200513 
        8.0      3.368      171.4      0.687         7.           F052400200514 
        8.5         0.       22.4       2.51         7.           F052400200515 
        8.5         0.       33.5       1.68         7.           F052400200516 
        8.5         0.        39.       1.19         7.           F052400200517 
        8.5         0.       44.5      0.713         7.           F052400200518 
        8.5         0.       55.3      0.421        6.9           F052400200519 
        8.5         0.       60.7      0.485        6.9           F052400200520 
        8.5         0.        66.      0.538         7.           F052400200521 
        8.5         0.       76.5      0.552        7.1           F052400200522 
        8.5         0.       81.7      0.449        7.4           F052400200523 
        8.5         0.       86.8      0.445        7.4           F052400200524 
        8.5         0.       96.9      0.345        6.9           F052400200525 
        8.5         0.      101.5      0.309        6.9           F052400200526 
        8.5         0.      111.7      0.358        6.9           F052400200527 
        8.5         0.      116.5      0.376        6.9           F052400200528 
        8.5         0.      121.3      0.386        6.9           F052400200529 
        8.5         0.       126.      0.392         7.           F052400200530 
        8.5         0.      130.7      0.421        7.1           F052400200531 
        8.5         0.      144.5      0.363        7.3           F052400200532 
        8.5         0.       149.      0.313         7.           F052400200533 
        8.5         0.      153.5      0.351        7.2           F052400200534 
        8.5         0.      162.4      0.364        7.5           F052400200535 
        8.5         0.      171.2       0.43         8.           F052400200536 
        8.5      3.368       17.1       4.35         9.           F052400200537 
        8.5      3.368       22.8       4.58         8.           F052400200538 
        8.5      3.368       39.7       2.48        8.3           F052400200539 
        8.5      3.368       45.3       1.54        9.1           F052400200540 
        8.5      3.368       56.3      0.984        8.9           F052400200541 
        8.5      3.368       61.7      0.726        9.5           F052400200542 
        8.5      3.368       67.1       0.83        7.1           F052400200543 
        8.5      3.368       77.7      0.828        7.3           F052400200544 
        8.5      3.368       82.9      0.798         7.           F052400200545 
        8.5      3.368       88.1      0.844        6.9           F052400200546 
        8.5      3.368       98.2      0.784        6.9           F052400200547 
        8.5      3.368      103.2       0.97        6.9           F052400200548 
        8.5      3.368      108.1      0.862        6.9           F052400200549 
        8.5      3.368      112.9      0.959        6.9           F052400200550 
        8.5      3.368      117.7       1.02        7.2           F052400200551 
        8.5      3.368      131.7      0.881        7.1           F052400200552 
        8.5      3.368      145.3      0.958        7.2           F052400200553 
        8.5      3.368      149.7      0.854        7.3           F052400200554 
        8.5      3.368      154.1      0.804        6.9           F052400200555 
        8.5      3.368      162.8      0.763        7.5           F052400200556 
        8.5      3.368      167.1      0.689        9.1           F052400200557 
        8.5      3.368      171.4       0.66        9.8           F052400200558 
        9.0         0.       22.4       2.26        7.1           F052400200559 
        9.0         0.       33.5       1.68        8.5           F052400200560 
        9.0         0.        39.       1.17         6.           F052400200561 
        9.0         0.       44.5       0.65        8.9           F052400200562 
        9.0         0.       55.4      0.552        6.9           F052400200563 
        9.0         0.       60.8      0.582        7.1           F052400200564 
        9.0         0.       66.1      0.501        10.           F052400200565 
        9.0         0.       76.6      0.519         7.           F052400200566 
        9.0         0.       81.8      0.402        7.2           F052400200567 
        9.0         0.       86.9      0.433        7.1           F052400200568 
        9.0         0.        97.      0.301        7.2           F052400200569 
        9.0         0.       102.      0.306        6.9           F052400200570 
        9.0         0.      106.9      0.281        7.3           F052400200571 
        9.0         0.      111.8      0.314        6.9           F052400200572 
        9.0         0.      121.4      0.359         7.           F052400200573 
        9.0         0.      126.1       0.31         7.           F052400200574 
        9.0         0.      130.4       0.33        7.1           F052400200575 
        9.0         0.      144.5        0.3        7.3           F052400200576 
        9.0         0.       149.      0.287        7.3           F052400200577 
        9.0         0.      153.5      0.265         7.           F052400200578 
        9.0         0.      162.4      0.322         7.           F052400200579 
        9.0         0.      166.8      0.294         7.           F052400200580 
        9.0      3.368       17.1       4.63         7.           F052400200581 
        9.0      3.368       22.8       4.83         9.           F052400200582 
        9.0      3.368       34.1       3.52        8.9           F052400200583 
        9.0      3.368       39.7       2.46        8.8           F052400200584 
        9.0      3.368       45.3       1.21        7.3           F052400200585 
        9.0      3.368       56.3       1.04         8.           F052400200586 
        9.0      3.368       61.7       0.77         7.           F052400200587 
        9.0      3.368       67.1      0.801        7.1           F052400200588 
        9.0      3.368       77.7       0.82        6.9           F052400200589 
        9.0      3.368        83.      0.784         7.           F052400200590 
        9.0      3.368       88.1      0.812        7.1           F052400200591 
        9.0      3.368       98.2      0.828        7.2           F052400200592 
        9.0      3.368      103.2       1.02        7.3           F052400200593 
        9.0      3.368      108.1       1.08        7.8           F052400200594 
        9.0      3.368       113.        1.1        7.1           F052400200595 
        9.0      3.368      127.1       1.12        8.5           F052400200596 
        9.0      3.368      131.7       1.08        7.3           F052400200597 
        9.0      3.368      145.3       0.91         7.           F052400200598 
        9.0      3.368      149.7      0.933         7.           F052400200599 
        9.0      3.368      154.1      0.918        7.4           F052400200600 
        9.0      3.368      162.8      0.749        7.7           F052400200601 
        9.0      3.368      167.1      0.709        9.2           F052400200602 
        9.0      3.368      171.4      0.791        7.3           F052400200603 
        9.5         0.       22.4       2.45        6.9           F052400200604 
        9.5         0.       33.5       1.27        8.8           F052400200605 
        9.5         0.       44.6       0.52         7.           F052400200606 
        9.5         0.       55.4      0.459         7.           F052400200607 
        9.5         0.       60.8      0.456        6.9           F052400200608 
        9.5         0.       66.1      0.429        6.9           F052400200609 
        9.5         0.       76.7      0.319        6.9           F052400200610 
        9.5         0.       81.8       0.27        7.2           F052400200611 
        9.5         0.        87.      0.247        7.4           F052400200612 
        9.5         0.       97.1      0.253        7.4           F052400200613 
        9.5         0.      102.1      0.273        7.6           F052400200614 
        9.5         0.       107.      0.264        7.3           F052400200615 
        9.5         0.      111.8      0.294        7.1           F052400200616 
        9.5         0.      116.7      0.296        7.9           F052400200617 
        9.5         0.      121.4      0.259        7.2           F052400200618 
        9.5         0.      126.1      0.256        7.5           F052400200619 
        9.5         0.      130.8      0.232        7.3           F052400200620 
        9.5         0.      144.6        0.2         7.           F052400200621 
        9.5         0.      149.1      0.241        7.1           F052400200622 
        9.5         0.      153.5      0.229        7.4           F052400200623 
        9.5         0.      162.4      0.188        8.8           F052400200624 
        9.5         0.      166.8       0.21        7.5           F052400200625 
        9.5      3.368       17.1       4.19        8.8           F052400200626 
        9.5      3.368       22.8       4.61        9.3           F052400200627 
        9.5      3.368       34.1         3.        10.           F052400200628 
        9.5      3.368       39.7       2.04        8.9           F052400200629 
        9.5      3.368       45.3        1.1        6.9           F052400200630 
        9.5      3.368       56.3      0.854         7.           F052400200631 
        9.5      3.368       61.8      0.709        8.8           F052400200632 
        9.5      3.368       67.2       0.72         7.           F052400200633 
        9.5      3.368       77.8      0.757        7.3           F052400200634 
        9.5      3.368        83.      0.747        7.3           F052400200635 
        9.5      3.368       88.2      0.764        7.1           F052400200636 
        9.5      3.368       98.3      0.656        7.6           F052400200637 
        9.5      3.368      103.2      0.668        7.8           F052400200638 
        9.5      3.368      108.2      0.702        7.5           F052400200639 
        9.5      3.368       113.      0.723        7.1           F052400200640 
        9.5      3.368      127.2      0.851        8.8           F052400200641 
        9.5      3.368      131.8      0.786        8.4           F052400200642 
        9.5      3.368      145.3      0.887        7.3           F052400200643 
        9.5      3.368      149.7      0.774        7.4           F052400200644 
        9.5      3.368      154.1      0.733        7.3           F052400200645 
        9.5      3.368      162.8      0.708         7.           F052400200646 
        9.5      3.368      167.1      0.713        8.9           F052400200647 
        9.5      3.368      171.4      0.702         8.           F052400200648 
       10.0         0.       22.4       2.57        6.9           F052400200649 
       10.0         0.       33.6       1.24        6.9           F052400200650 
       10.0         0.       39.1      0.749        8.8           F052400200651 
       10.0         0.       44.6      0.534         7.           F052400200652 
       10.0         0.       55.5      0.482        7.1           F052400200653 
       10.0         0.       60.9      0.518        7.1           F052400200654 
       10.0         0.       66.2      0.424        7.1           F052400200655 
       10.0         0.       76.7      0.248        7.1           F052400200656 
       10.0         0.       81.9      0.232        7.2           F052400200657 
       10.0         0.       87.1        0.2        7.3           F052400200658 
       10.0         0.       97.2      0.243        7.1           F052400200659 
       10.0         0.      102.1      0.283        7.2           F052400200660 
       10.0         0.       107.      0.256        7.6           F052400200661 
       10.0         0.      111.9      0.293        5.8           F052400200662 
       10.0         0.      116.7       0.27        7.2           F052400200663 
       10.0         0.      121.5       0.25        7.3           F052400200664 
       10.0         0.      126.2      0.268         7.           F052400200665 
       10.0         0.      144.6      0.219        7.2           F052400200666 
       10.0         0.      149.1      0.207        7.1           F052400200667 
       10.0         0.      153.6      0.191        7.2           F052400200668 
       10.0         0.      166.8      0.201         7.           F052400200669 
       10.0      3.368       22.8       4.81        9.4           F052400200670 
       10.0      3.368       34.1       3.12        8.4           F052400200671 
       10.0      3.368       39.8        1.9        6.8           F052400200672 
       10.0      3.368       45.3       1.03        8.8           F052400200673 
       10.0      3.368       56.4      0.667        6.9           F052400200674 
       10.0      3.368       61.8      0.659        6.9           F052400200675 
       10.0      3.368       67.2      0.671         7.           F052400200676 
       10.0      3.368       77.8      0.543        7.2           F052400200677 
       10.0      3.368        83.       0.56        7.3           F052400200678 
       10.0      3.368       88.2      0.565         7.           F052400200679 
       10.0      3.368       98.3      0.583        7.3           F052400200680 
       10.0      3.368      103.3      0.691        8.7           F052400200681 
       10.0      3.368      117.8      0.837        8.3           F052400200682 
       10.0      3.368      127.2       0.85        7.2           F052400200683 
       10.0      3.368      131.8      0.843         7.           F052400200684 
       10.0      3.368      145.3       0.85         7.           F052400200685 
       10.0      3.368      149.8      0.887        7.1           F052400200686 
       10.0      3.368      154.1      0.848        7.3           F052400200687 
       10.0      3.368      167.1      0.715        7.3           F052400200688 
       10.5         0.       22.5       2.53        6.9           F052400200689 
       10.5         0.       33.6       1.31         7.           F052400200690 
       10.5         0.       44.6       0.42        8.8           F052400200691 
       10.5         0.       55.5      0.421        6.9           F052400200692 
       10.5         0.       60.9       0.44        6.9           F052400200693 
       10.5         0.       66.3      0.411        7.1           F052400200694 
       10.5         0.       76.8      0.231        7.1           F052400200695 
       10.5         0.        82.       0.21        7.2           F052400200696 
       10.5         0.       87.1      0.249        7.3           F052400200697 
       10.5         0.       97.2      0.239         7.           F052400200698 
       10.5         0.      102.2      0.266         7.           F052400200699 
       10.5         0.      107.1       0.25        7.2           F052400200700 
       10.5         0.       112.      0.284        7.2           F052400200701 
       10.5         0.      116.8      0.263         7.           F052400200702 
       10.5         0.      121.5      0.245        7.1           F052400200703 
       10.5         0.      126.3      0.257        7.3           F052400200704 
       10.5         0.      144.6      0.212        7.4           F052400200705 
       10.5         0.      149.1      0.204        7.2           F052400200706 
       10.5         0.      153.6      0.191         7.           F052400200707 
       10.5         0.      166.9      0.201         7.           F052400200708 
       10.5      3.368       22.8       5.86        9.3           F052400200709 
       10.5      3.368       34.2       3.74        8.8           F052400200710 
       10.5      3.368       39.8       1.66        6.9           F052400200711 
       10.5      3.368       45.3      0.963        6.9           F052400200712 
       10.5      3.368       56.4      0.581        6.9           F052400200713 
       10.5      3.368       61.8      0.681        6.9           F052400200714 
       10.5      3.368       67.2      0.701        8.2           F052400200715 
       10.5      3.368       77.8      0.586        6.9           F052400200716 
       10.5      3.368       83.1      0.525        6.9           F052400200717 
       10.5      3.368       88.2      0.599        6.9           F052400200718 
       10.5      3.368      103.3      0.832        6.9           F052400200719 
       10.5      3.368       113.      0.776        7.4           F052400200720 
       10.5      3.368      127.2      0.883        7.6           F052400200721 
       10.5      3.368      131.8      0.808        7.7           F052400200722 
       10.5      3.368      145.3      0.685        7.4           F052400200723 
       10.5      3.368      149.8      0.712        7.3           F052400200724 
       10.5      3.368      154.2      0.612         7.           F052400200725 
       10.5      3.368      167.2      0.557        6.9           F052400200726 
       10.5      3.368      171.4      0.497         7.           F052400200727 
       11.0         0.       22.5       2.37         7.           F052400200728 
       11.0         0.       33.6       1.23         7.           F052400200729 
       11.0         0.       39.2       0.88        8.9           F052400200730 
       11.0         0.       44.7      0.391        8.8           F052400200731 
       11.0         0.       55.6      0.371        8.5           F052400200732 
       11.0         0.        61.      0.394        6.9           F052400200733 
       11.0         0.       66.3      0.388         7.           F052400200734 
       11.0         0.        82.       0.25        7.3           F052400200735 
       11.0         0.       87.2      0.214        7.4           F052400200736 
       11.0         0.       97.3       0.19        7.5           F052400200737 
       11.0         0.      102.2      0.251        7.5           F052400200738 
       11.0         0.      107.2      0.273         7.           F052400200739 
       11.0         0.       112.      0.297         7.           F052400200740 
       11.0         0.      116.8      0.259        6.9           F052400200741 
       11.0         0.      121.6      0.204        8.8           F052400200742 
       11.0         0.      126.3       0.18        6.9           F052400200743 
       11.0         0.      144.7      0.122        7.6           F052400200744 
       11.0         0.      162.5    9.5E-02        8.9           F052400200745 
       11.0      3.368       17.2       5.23        10.           F052400200746 
       11.0      3.368       22.9       5.46        10.           F052400200747 
       11.0      3.368       34.2       3.45        8.8           F052400200748 
       11.0      3.368       39.8       1.27        8.9           F052400200749 
       11.0      3.368       45.4      0.873        8.7           F052400200750 
       11.0      3.368       56.4      0.562        7.2           F052400200751 
       11.0      3.368       61.9      0.654        7.2           F052400200752 
       11.0      3.368       67.3      0.669         7.           F052400200753 
       11.0      3.368       77.9      0.621        7.1           F052400200754 
       11.0      3.368       83.1      0.523         7.           F052400200755 
       11.0      3.368       88.3      0.543        8.4           F052400200756 
       11.0      3.368      108.3      0.654        7.4           F052400200757 
       11.0      3.368      113.1      0.676        7.3           F052400200758 
       11.0      3.368      117.9      0.748        7.1           F052400200759 
       11.0      3.368      122.6        0.8        8.6           F052400200760 
       11.0      3.368      127.3      0.694        7.3           F052400200761 
       11.0      3.368      131.9      0.606        7.4           F052400200762 
       11.0      3.368      136.4      0.581        7.2           F052400200763 
       11.0      3.368      145.4      0.641        7.3           F052400200764 
       11.0      3.368      149.8      0.604        7.1           F052400200765 
       11.0      3.368      154.2      0.508         7.           F052400200766 
       11.0      3.368      162.9      0.387        8.8           F052400200767 
       11.0      3.368      167.2      0.389        9.3           F052400200768 
       11.0      3.368      171.5      0.389         7.           F052400200769 
ENDDATA            762          0                                 F052400200770 
ENDSUBENT          769          0                                 F052400299999 
SUBENT        F0524003   20090626                             F036F052400300001 
BIB                  4          4                                 F052400300002 
REACTION   (4-BE-9(D,P)4-BE-10,PAR,SIG)                           F052400300003 
ANALYSIS   (INTAD)                                                F052400300004 
EN-SEC     (E-LVL,4-BE-10)                                        F052400300005 
STATUS     (DEP,F0524002)                                         F052400300006 
ENDBIB               4          0                                 F052400300007 
NOCOMMON             0          0                                 F052400300008 
DATA                 4         34                                 F052400300009 
EN         E-LVL      DATA       ERR-S                            F052400300010 
MEV        MEV        MB         MB                               F052400300011 
        3.0         0.        16.        0.3                      F052400300012 
        3.0      3.368       26.5        0.5                      F052400300013 
        3.5         0.       13.9        0.2                      F052400300014 
        3.5      3.368       22.2        0.4                      F052400300015 
        4.0         0.       13.2        0.2                      F052400300016 
        4.0      3.368       22.1        0.5                      F052400300017 
        4.5         0.       13.8        0.3                      F052400300018 
        4.5      3.368       21.4        0.5                      F052400300019 
        5.0         0.       13.8        0.5                      F052400300020 
        5.0      3.368       23.2        0.5                      F052400300021 
        5.5         0.       13.1        0.2                      F052400300022 
        5.5      3.368       22.9        0.6                      F052400300023 
        6.0         0.       12.9        0.4                      F052400300024 
        6.0      3.368       20.4        0.5                      F052400300025 
        6.5         0.       10.6        0.2                      F052400300026 
        6.5      3.368       20.5        0.4                      F052400300027 
        7.0         0.        9.3       0.16                      F052400300028 
        7.0      3.368       18.3        0.4                      F052400300029 
        7.5         0.        8.6       0.18                      F052400300030 
        7.5      3.368       17.6        0.4                      F052400300031 
        8.0         0.       7.83       0.18                      F052400300032 
        8.0      3.368       17.1        0.4                      F052400300033 
        8.5         0.       7.87       0.16                      F052400300034 
        8.5      3.368       15.8        0.3                      F052400300035 
        9.0         0.       7.33        0.2                      F052400300036 
        9.0      3.368       16.1        0.3                      F052400300037 
        9.5         0.       6.49        0.2                      F052400300038 
        9.5      3.368       13.8        0.3                      F052400300039 
       10.0         0.       6.49       0.22                      F052400300040 
       10.0      3.368       13.8        0.6                      F052400300041 
       10.5         0.        6.2       0.22                      F052400300042 
       10.5      3.368       14.8        0.7                      F052400300043 
       11.0         0.       5.74       0.22                      F052400300044 
       11.0      3.368       12.7        0.4                      F052400300045 
ENDDATA             36          0                                 F052400300046 
ENDSUBENT           45          0                                 F052400399999 
SUBENT        F0524004   20090626                             F036F052400400001 
BIB                  2          2                                 F052400400002 
REACTION   (4-BE-9(D,T)4-BE-8,PAR,DA)                             F052400400003 
EN-SEC     (E-LVL,4-BE-8)                                         F052400400004 
ENDBIB               2          0                                 F052400400005 
COMMON               1          3                                 F052400400006 
E-LVL                                                             F052400400007 
MEV                                                               F052400400008 
 0.0                                                              F052400400009 
ENDCOMMON            3          0                                 F052400400010 
DATA                 4        353                                 F052400400011 
EN         ANG-CM     DATA-CM    ERR-S                            F052400400012 
MEV        ADEG       MB/SR      PER-CENT                         F052400400013 
        3.0       11.7       15.6         7.                      F052400400014 
        3.0       17.5       11.9         7.                      F052400400015 
        3.0       23.4        11.         7.                      F052400400016 
        3.0       34.9       4.81         7.                      F052400400017 
        3.0       40.6       2.75         7.                      F052400400018 
        3.0       46.3       2.45         7.                      F052400400019 
        3.0       57.6       2.85         7.                      F052400400020 
        3.0       63.1       2.89         7.                      F052400400021 
        3.0       68.5       2.38         7.                      F052400400022 
        3.0       79.3       1.22         8.                      F052400400023 
        3.0       84.5       1.08        12.                      F052400400024 
        3.0       89.7       1.44         8.                      F052400400025 
        3.0       99.8       2.23         8.                      F052400400026 
        3.0      104.8       2.13         8.                      F052400400027 
        3.0      109.7       1.71        11.                      F052400400028 
        3.0      114.5       1.14         8.                      F052400400029 
        3.0      119.3       1.08         9.                      F052400400030 
        3.0      123.9       1.02         9.                      F052400400031 
        3.0      128.5       1.25        10.                      F052400400032 
        3.0      137.5       1.26         7.                      F052400400033 
        3.0      146.3      0.995        12.                      F052400400034 
        3.0      150.6      0.701        14.                      F052400400035 
        3.0      154.9      0.649        12.                      F052400400036 
        3.5       11.8       14.1         7.                      F052400400037 
        3.5       17.7       12.3         7.                      F052400400038 
        3.5       23.5       9.46         8.                      F052400400039 
        3.5       35.2       4.13         7.                      F052400400040 
        3.5       40.9        3.2         8.                      F052400400041 
        3.5       46.6       2.68         8.                      F052400400042 
        3.5       57.9       2.73         8.                      F052400400043 
        3.5       63.5       2.84         7.                      F052400400044 
        3.5        69.       2.24        11.                      F052400400045 
        3.5       79.7       1.01         8.                      F052400400046 
        3.5        85.       1.03         8.                      F052400400047 
        3.5       90.2       1.01         8.                      F052400400048 
        3.5      100.4       1.06         7.                      F052400400049 
        3.5      105.3      0.953        12.                      F052400400050 
        3.5      110.2      0.962        13.                      F052400400051 
        3.5       115.       1.03         8.                      F052400400052 
        3.5      119.7       1.05        13.                      F052400400053 
        3.5      124.4       1.19        12.                      F052400400054 
        3.5      146.6      0.912        12.                      F052400400055 
        3.5      150.9      0.857         8.                      F052400400056 
        3.5      155.2      0.834        12.                      F052400400057 
        3.5      155.2      0.834        13.                      F052400400058 
        3.5      163.5      0.794        13.                      F052400400059 
        4.0       11.9       16.3         7.                      F052400400060 
        4.0       17.8       13.2         7.                      F052400400061 
        4.0       23.7       9.35         7.                      F052400400062 
        4.0       35.4       4.03         8.                      F052400400063 
        4.0       41.2       3.15         8.                      F052400400064 
        4.0       46.9       2.88         8.                      F052400400065 
        4.0       58.3       3.07         8.                      F052400400066 
        4.0       63.8       2.56         8.                      F052400400067 
        4.0       69.3       2.02         7.                      F052400400068 
        4.0       80.1       1.24         8.                      F052400400069 
        4.0       85.4       1.23         8.                      F052400400070 
        4.0       90.6       1.05        11.                      F052400400071 
        4.0      100.8      0.968         8.                      F052400400072 
        4.0      105.8       1.02         8.                      F052400400073 
        4.0      115.4       1.04         8.                      F052400400074 
        4.0      124.8       0.99         8.                      F052400400075 
        4.0      129.3       1.19         8.                      F052400400076 
        4.0      133.8       1.21         8.                      F052400400077 
        4.0      138.3      0.995        10.                      F052400400078 
        4.0      146.9       1.14         8.                      F052400400079 
        4.0      151.2       1.02         8.                      F052400400080 
        4.0      155.4      0.962         8.                      F052400400081 
        4.5       11.9       16.2         7.                      F052400400082 
        4.5       17.9       12.4         7.                      F052400400083 
        4.5       23.8       8.62         8.                      F052400400084 
        4.5       35.6       3.81         7.                      F052400400085 
        4.5       41.4       3.03         7.                      F052400400086 
        4.5       47.2       3.07         7.                      F052400400087 
        4.5       58.5       4.75         7.                      F052400400088 
        4.5       64.1       4.63         8.                      F052400400089 
        4.5       69.7       4.31         8.                      F052400400090 
        4.5       80.5       2.02        10.                      F052400400091 
        4.5       85.8       1.22        11.                      F052400400092 
        4.5        91.      0.953        12.                      F052400400093 
        4.5      101.2      0.752        10.                      F052400400094 
        4.5      106.1      0.792        12.                      F052400400095 
        4.5       111.       1.02        11.                      F052400400096 
        4.5      115.8       1.09         8.                      F052400400097 
        4.5      120.5       1.18         8.                      F052400400098 
        4.5      125.1       1.19         8.                      F052400400099 
