ENTRY            F0353   20040615                             0000F035300000001 
SUBENT        F0353001   20040615                             0000F035300100001 
BIB                  7         13                                 F035300100002 
TITLE      Analysis of the angular distributions and excitation   F035300100003 
           functions of the elastic scattering of 20-24 MeV alpha-F035300100004 
           particles by carbon and oxygen.                        F035300100005 
AUTHOR     (J.Aguilar,C.Fernandez Pineda,J.Catala,J.L.Ferrero,    F035300100006 
           A.Garcia)                                              F035300100007 
INSTITUTE  (2SPNJNE,2SPNVAL)                                      F035300100008 
REFERENCE  (J,ARS,65,201,1969)                                    F035300100009 
METHOD     The experimetal method is given in ref.J,These Anales/AF035300100010 
           LXIII,35,217,1967.                                     F035300100011 
ERR-ANALYS (DATA-ERR1)Error from the graphic bars                 F035300100012 
           (ANG-ERR-D)Digitizing error                            F035300100013 
           (ERR-DIG)Digitizing error                              F035300100014 
HISTORY    (20040318C)                                            F035300100015 
ENDBIB              13          0                                 F035300100016 
NOCOMMON             0          0                                 F035300100017 
ENDSUBENT           16          0                                 F035300199999 
SUBENT        F0353002   20040615                             0000F035300200001 
BIB                  2          2                                 F035300200002 
REACTION   (6-C-12(A,EL)6-C-12,,DA)                               F035300200003 
STATUS     (CURVE)Fig.1-4                                         F035300200004 
ENDBIB               2          0                                 F035300200005 
COMMON               2          3                                 F035300200006 
ANG-ERR-D  ERR-DIG                                                F035300200007 
ADEG       PER-CENT                                               F035300200008 
 0.27       0.2                                                   F035300200009 
ENDCOMMON            3          0                                 F035300200010 
DATA                 5        198                                 F035300200011 
EN         EN-ERR     ANG-CM     DATA-CM    DATA-ERR1             F035300200012 
 20.100    0.23000     55.687     106.60     8.3772               F035300300029 
 20.100    0.23000     57.744     81.225     6.3755               F035300300030 
 20.100    0.23000     61.509     51.170     4.0164               F035300300031 
 20.100    0.23000     64.655     24.542     1.6161               F035300300032 
 20.100    0.23000     67.427     14.636     1.5100               F035300300033 
 20.100    0.23000     73.103     15.483    0.82265               F035300300034 
 20.100    0.23000     75.422     17.515     1.1534               F035300300035 
 20.100    0.23000     77.115     15.714    0.83344               F035300300036 
 20.100    0.23000     81.725     23.362     1.8315               F035300300037 
 20.100    0.23000     84.081     21.543     1.4186               F035300300038 
 20.100    0.23000     86.813     15.977    0.84893               F035300300039 
 20.100    0.23000     88.872     12.009    0.94149               F035300300040 
 20.100    0.23000     91.224     11.380    0.89434               F035300300041 
 20.100    0.23000     93.598     9.5401    0.62822               F035300300042 
 20.100    0.23000     96.948     9.2932    0.72943               F035300300043 
 20.100    0.23000     99.597     10.804    0.84805               F035300300044 
 20.100    0.23000     106.20     16.972    0.67970               F035300300045 
 20.100    0.23000     109.18     20.558     1.3518               F035300300046 
 20.100    0.23000     111.63     11.144    0.73276               F035300300047 
 20.100    0.23000     114.66     10.279    0.54514               F035300300048 
 20.100    0.23000     117.31     12.114    0.79887               F035300300049 
 20.100    0.23000     118.83     26.349     2.0682               F035300300050 
 20.100    0.23000     121.42     43.656     2.3196               F035300300051 
 20.100    0.23000     123.68     65.743     4.3230               F035300300052 
 20.100    0.23000     126.31     85.236     4.5289               F035300300053 
 20.100    0.23000     127.99     85.280     5.6157               F035300300054 
