ENTRY            12930   19901019                             00001293000000001 
SUBENT        12930001   19901019                             00001293000100001 
BIB                 12         19                                 1293000100002 
INSTITUTE  (1USATNL)                                              1293000100003 
REFERENCE  (J,NP/A,438,187,8505)                                  1293000100004 
AUTHOR     (P.P.GUSS,R.C.BYRD,C.E.FLOYD,C.R.HOWELL,K.MURPHY,      1293000100005 
           G.TUNGATE,R.S.PEDRONI,R.L.WALTER,J.P.DELAROCHE,        1293000100006 
           T.B.CLEGG)                                             1293000100007 
TITLE      CROSS SECTIONS AND ANALYZING POWERS FOR FAST NEUTRON   1293000100008 
           SCATTERING TO THE GROUND AND FIRST EXCITED STATES OF   1293000100009 
           58NI AND 60NI.                                         1293000100010 
FACILITY   (VDGT)                                                 1293000100011 
INC-SOURCE (D-D) AT 0 DEGREES. BEAM POLARIZATION UNKNOWN.         1293000100012 
METHOD     (TOF) VERSUS DEUTERON RECOIL ENERGY                    1293000100013 
DETECTOR   (SCIN) NE 213 LIQUID SCINTILLATORS                     1293000100014 
CORRECTION CORRECTED FOR FINITE GEOMETRY AND MULTIPLE SCATTERING  1293000100015 
            USING MONTE CARLO TECHNIQUES.                         1293000100016 
MONITOR    (1-H-1(N,EL)1-H-1,,SIG)                                1293000100017 
STATUS     NO REPLY TO AUTHOR PROOF.                              1293000100018 
HISTORY    (860206C)                                              1293000100019 
           (870114A) BIB UPDATE.                                  1293000100020 
           (901019U) BIB UPDATE                                   1293000100021 
ENDBIB              19          0                                 1293000100022 
NOCOMMON             0          0                                 1293000100023 
ENDSUBENT           22          0                                 1293000199999 
SUBENT        12930002   19860402                             00001293000200001 
BIB                  4          6                                 1293000200002 
REACTION   (28-NI-58(N,EL)28-NI-58,,DA)                           1293000200003 
SAMPLE     CYLINDRICAL SAMPLE, 1.6 CM IN DIAMETER, AND            1293000200004 
           2.4 CM IN HEIGHT. ENRICHED TO 99.93 PERCENT.           1293000200005 
ERR-ANALYS OVERALL UNCERTAINTY, EXCEPT FOR A 5 PERCENT            1293000200006 
           NORMALIZATION UNCERTAINTY.                             1293000200007 
STATUS     DATA TAKEN FROM PRIVATE COMM., W.TORNOW, 85/11/10      1293000200008 
ENDBIB               6          0                                 1293000200009 
NOCOMMON             0          0                                 1293000200010 
DATA                 5        105                                 1293000200011 
EN         EN-ERR     ANG-CM     DATA       DATA-ERR              1293000200012 
 9.959      0.14       80.78       5.76      0.70                 1293000500056 
 9.959      0.14       90.61       5.74      0.88                 1293000500057 
 9.959      0.14       95.56       4.51      0.47                 1293000500058 
 9.959      0.14      100.52       3.88      0.83                 1293000500059 
 9.959      0.14      105.50       3.01      0.44                 1293000500060 
 9.959      0.14      115.46       2.37      0.35                 1293000500061 
 9.959      0.14      125.52       1.98      0.31                 1293000500062 
 9.959      0.14      135.63       2.22      0.35                 1293000500063 
 9.959      0.14      140.57       2.99      0.67                 1293000500064 
 9.959      0.14      145.43       3.39      0.40                 1293000500065 
 9.959      0.14      150.24       3.97      0.97                 1293000500066 
 9.959      0.14      155.01       3.99      0.42                 1293000500067 
 11.951     0.12       25.70      13.61      2.47                 1293000500068 
 11.951     0.12       30.61      14.86      1.70                 1293000500069 
 11.951     0.12       35.52      12.32      1.88                 1293000500070 
 11.951     0.12       40.44      11.07      1.13                 1293000500071 
 11.951     0.12       45.37       9.31      0.92                 1293000500072 
 11.951     0.12       50.35       7.04      0.84                 1293000500073 
 11.951     0.12       55.40       5.14      0.75                 1293000500074 
 11.951     0.12       60.56       4.16      0.61                 1293000500075 
 11.951     0.12       65.76       4.15      0.56                 1293000500076 
 11.951     0.12       70.88       3.77      0.55                 1293000500077 
 11.951     0.12       75.88       4.56      0.58                 1293000500078 
 11.951     0.12       80.82       4.30      0.53                 1293000500079 
 11.951     0.12       85.73       4.89      0.75                 1293000500080 
 11.951     0.12       90.64       4.15      0.53                 1293000500081 
 11.951     0.12       95.56       3.70      0.51                 1293000500082 
 11.951     0.12      100.51       3.16      0.43                 1293000500083 
 11.951     0.12      105.49       2.63      0.44                 1293000500084 
 11.951     0.12      110.49       2.12      0.29                 1293000500085 
 11.951     0.12      115.51       2.13      0.53                 1293000500086 
 11.951     0.12      120.53       1.77      0.29                 1293000500087 
 11.951     0.12      125.57       1.74      0.32                 1293000500088 
 11.951     0.12      130.61       1.91      0.32                 1293000500089 
 11.951     0.12      135.62       1.97      0.32                 1293000500090 
 11.951     0.12      140.55       2.50      0.34                 1293000500091 
 11.951     0.12      145.42       3.10      0.38                 1293000500092 
 11.951     0.12      150.23       3.27      0.38                 1293000500093 
 11.951     0.12      155.00       3.36      0.40                 1293000500094 
 13.941     0.10       20.70      43.78     39.11                 1293000500095 
 13.941     0.10       22.67      28.19     18.43                 1293000500096 
 13.941     0.10       25.62      25.59     25.60                 1293000500097 
 13.941     0.10       30.55      13.68      1.45                 1293000500098 
 13.941     0.10       35.49      13.70      2.65                 1293000500099 
 13.941     0.10       37.47      18.32      2.11                 1293000500100 
 13.941     0.10       40.44      12.23      1.28                 1293000500101 
 13.941     0.10       45.40       9.44      0.95                 1293000500102 
 13.941     0.10       50.39       7.27      0.92                 1293000500103 
 13.941     0.10       55.42       5.63      0.71                 1293000500104 
 13.941     0.10       60.53       4.15      0.53                 1293000500105 
 13.941     0.10       65.68       3.72      0.61                 1293000500106 
 13.941     0.10       70.80       3.63      0.54                 1293000500107 
 13.941     0.10       75.84       4.17      0.67                 1293000500108 
 13.941     0.10       80.82       4.18      0.53                 1293000500109 
 13.941     0.10       85.75       3.62      0.42                 1293000500110 
 13.941     0.10       95.55       2.97      0.36                 1293000500111 
 13.941     0.10      100.45       2.14      0.35                 1293000500112 
 13.941     0.10      110.37       1.53      0.21                 1293000500113 
 13.941     0.10      115.50       1.38      0.34                 1293000500114 
 13.941     0.10      120.69       1.11      0.26                 1293000500115 
 13.941     0.10      125.81       1.39      0.31                 1293000500116 
 13.941     0.10      130.78       1.38      0.27                 1293000500117 
 13.941     0.10      135.68       1.94      0.33                 1293000500118 
 13.941     0.10      140.54       2.27      0.37                 1293000500119 
 13.941     0.10      145.40       4.04      0.76                 1293000500120 
 13.941     0.10      150.25       4.11      0.60                 1293000500121 
 13.941     0.10      155.09       2.81      0.38                 1293000500122 
ENDDATA            107          0                                 1293000500123 
ENDSUBENT          122          0                                 1293000599999 
SUBENT        12930006   19860402                             00001293000600001 
BIB                  4          7                                 1293000600002 
REACTION   (28-NI-58(N,EL)28-NI-58,,SIG)                          1293000600003 
SAMPLE     CYLINDRICAL SAMPLE, 1.6 CM IN DIAMETER, AND            1293000600004 
           2.4 CM IN HEIGHT. ENRICHED TO 99.93 PERCENT.           1293000600005 
ERR-ANALYS OVERALL UNCERTAINTY, EXCEPT FOR A 5 PERCENT            1293000600006 
           NORMALIZATION UNCERTAINTY.                             1293000600007 
STATUS     DATA TAKEN FROM PRIVATE COMM., W.TORNOW, 85/11/10      1293000600008 
           (DEP,12930002)                                         1293000600009 
ENDBIB               7          0                                 1293000600010 
NOCOMMON             0          0                                 1293000600011 
DATA                 4          4                                 1293000600012 
EN         EN-ERR     DATA       DATA-ERR                         1293000600013 
MEV        MEV        B          B                                1293000600014 
 7.904      0.19       1.722      0.104                           1293000600015 
 9.959      0.14       1.604      0.083                           1293000600016 
 11.951     0.12       1.373      0.080                           1293000600017 
 13.941     0.10       1.124      0.086                           1293000600018 
ENDDATA              6          0                                 1293000600019 
ENDSUBENT           18          0                                 1293000699999 
SUBENT        12930007   19860402                             00001293000700001 
BIB                  4          7                                 1293000700002 
REACTION   (28-NI-58(N,INL)28-NI-58,PAR,SIG)                      1293000700003 
SAMPLE     CYLINDRICAL SAMPLE, 1.6 CM IN DIAMETER, AND            1293000700004 
           2.4 CM IN HEIGHT. ENRICHED TO 99.93 PERCENT.           1293000700005 
ERR-ANALYS OVERALL UNCERTAINTY, EXCEPT FOR A 5 PERCENT            1293000700006 
           NORMALIZATION UNCERTAINTY.                             1293000700007 
STATUS     DATA TAKEN FROM PRIVATE COMM., W.TORNOW, 85/11/10      1293000700008 
           (DEP,12930003)                                         1293000700009 
ENDBIB               7          0                                 1293000700010 
COMMON               1          3                                 1293000700011 
E-LVL                                                             1293000700012 
MEV                                                               1293000700013 
 1.454                                                            1293000700014 
ENDCOMMON            3          0                                 1293000700015 
DATA                 4          4                                 1293000700016 
EN         EN-ERR     DATA       DATA-ERR                         1293000700017 
MEV        MEV        B          B                                1293000700018 
 7.904      0.19       0.077      0.004                           1293000700019 
 9.958      0.14       0.067      0.003                           1293000700020 
 11.952     0.12       0.040      0.002                           1293000700021 
 13.941     0.10       0.045      0.005                           1293000700022 
ENDDATA              6          0                                 1293000700023 
ENDSUBENT           22          0                                 1293000799999 
SUBENT        12930008   19860402                             00001293000800001 
BIB                  4          7                                 1293000800002 
REACTION   (28-NI-60(N,EL)28-NI-60,,SIG)                          1293000800003 
SAMPLE     CYLINDRICAL SAMPLE, 1.6 CM IN DIAMETER, AND            1293000800004 
           2.4 CM IN HEIGHT. ENRICHED TO 99.79 PERCENT.           1293000800005 
ERR-ANALYS OVERALL UNCERTAINTY, EXCEPT FOR A 5 PERCENT            1293000800006 
           NORMALIZATION UNCERTAINTY.                             1293000800007 
STATUS     DATA TAKEN FROM PRIVATE COMM., W.TORNOW, 85/11/10      1293000800008 
           (DEP,12930004)                                         1293000800009 
ENDBIB               7          0                                 1293000800010 
NOCOMMON             0          0                                 1293000800011 
DATA                 4          4                                 1293000800012 
EN         EN-ERR     DATA       DATA-ERR                         1293000800013 
MEV        MEV        B          B                                1293000800014 
 7.904      0.19       1.882      0.099                           1293000800015 
 9.959      0.14       1.540      0.080                           1293000800016 
 11.951     0.12       1.417      0.076                           1293000800017 
 13.941     0.10       1.124      0.065                           1293000800018 
ENDDATA              6          0                                 1293000800019 
ENDSUBENT           18          0                                 1293000899999 
SUBENT        12930009   19860402                             00001293000900001 
BIB                  4          7                                 1293000900002 
REACTION   (28-NI-60(N,INL)28-NI-60,PAR,SIG)                      1293000900003 
SAMPLE     CYLINDRICAL SAMPLE, 1.6 CM IN DIAMETER, AND            1293000900004 
           2.4 CM IN HEIGHT. ENRICHED TO 99.79 PERCENT.           1293000900005 
ERR-ANALYS OVERALL UNCERTAINTY, EXCEPT FOR A 5 PERCENT            1293000900006 
           NORMALIZATION UNCERTAINTY.                             1293000900007 
STATUS     DATA TAKEN FROM PRIVATE COMM., W.TORNOW, 85/11/10      1293000900008 
           (DEP,12930005)                                         1293000900009 
ENDBIB               7          0                                 1293000900010 
COMMON               1          3                                 1293000900011 
E-LVL                                                             1293000900012 
MEV                                                               1293000900013 
 1.331                                                            1293000900014 
ENDCOMMON            3          0                                 1293000900015 
DATA                 4          4                                 1293000900016 
EN         EN-ERR     DATA       DATA-ERR                         1293000900017 
MEV        MEV        B          B                                1293000900018 
 7.904      0.19       0.100      0.005                           1293000900019 
 9.959      0.14       0.071      0.004                           1293000900020 
 11.951     0.12       0.061      0.003                           1293000900021 
 13.941     0.10       0.061      0.004                           1293000900022 
ENDDATA              6          0                                 1293000900023 
ENDSUBENT           22          0                                 1293000999999 
SUBENT        12930010   19901019                             00001293001000001 
BIB                  5          7                                 1293001000002 
REACTION   (28-NI-58(N,EL)28-NI-58,,POL/DA,,ANA)                  1293001000003 
SAMPLE     CYLINDRICAL SAMPLE, 1.6 CM IN DIAMETER, AND            1293001000004 
           2.4 CM IN HEIGHT. ENRICHED TO 99.93 PERCENT.           1293001000005 
ERR-ANALYS OVERALL UNCERTAINTY, EXCEPT FOR A 3 PERCENT            1293001000006 
           NORMALIZATION UNCERTAINTY.                             1293001000007 
STATUS     DATA TAKEN FROM THESIS, GUSS (1982)                    1293001000008 
HISTORY    (901019A) DATA ADDED                                   1293001000009 
ENDBIB               7          0                                 1293001000010 
NOCOMMON             0          0                                 1293001000011 
DATA                 4         52                                 1293001000012 
EN         ANG        DATA       DATA-ERR                         1293001000013 
MEV        ADEG       NO-DIM     NO-DIM                           1293001000014 
 9.92       20.15     -0.010      0.006                           1293001000015 
 9.92       21.86     -0.031      0.015                           1293001000016 
 9.92       25.58     -0.024      0.017                           1293001000017 
 9.92       29.33     -0.013      0.026                           1293001000018 
 9.92       38.82     -0.000      0.035                           1293001000019 
 9.92       48.14     -0.121      0.083                           1293001000020 
 9.92       53.50     -0.354      0.187                           1293001000021 
 9.92       60.63      0.241      0.122                           1293001000022 
 9.92       65.80      0.725      0.142                           1293001000023 
 9.92       70.43      0.810      0.028                           1293001000024 
 9.92       79.96      0.637      0.021                           1293001000025 
 9.92       89.71      0.052      0.029                           1293001000026 
 9.92       99.47     -0.568      0.021                           1293001000027 
 9.92      109.12     -0.997      0.155                           1293001000028 
 9.92      114.16     -0.703      0.132                           1293001000029 
 9.92      119.28     -0.045      0.158                           1293001000030 
 9.92      124.72      0.474      0.207                           1293001000031 
 9.92      129.94      0.696      0.183                           1293001000032 
 9.92      134.96      0.026      0.095                           1293001000033 
 9.92      139.86     -0.481      0.103                           1293001000034 
 9.92      144.82     -0.730      0.191                           1293001000035 
 9.92      149.75     -0.211      0.077                           1293001000036 
 9.92      154.64     -0.074      0.113                           1293001000037 
13.91       19.90     -0.007      0.007                           1293001000038 
13.91       21.61      0.010      0.008                           1293001000039 
13.91       25.42      0.036      0.011                           1293001000040 
13.91       29.13      0.104      0.013                           1293001000041 
13.91       33.83      0.146      0.021                           1293001000042 
13.91       38.94      0.064      0.035                           1293001000043 
13.91       44.91     -0.289      0.080                           1293001000044 
13.91       49.87     -0.525      0.049                           1293001000045 
13.91       54.13     -0.806      0.119                           1293001000046 
13.91       58.55     -0.957      0.088                           1293001000047 
13.91       65.03     -0.578      0.171                           1293001000048 
13.91       70.89      0.105      0.079                           1293001000049 
13.91       75.52      0.172      0.062                           1293001000050 
13.91       80.20     -0.004      0.042                           1293001000051 
13.91       84.89     -0.110      0.040                           1293001000052 
13.91       89.51     -0.254      0.037                           1293001000053 
13.91       94.23     -0.409      0.049                           1293001000054 
13.91       99.04     -0.369      0.076                           1293001000055 
13.91      104.31     -0.616      0.092                           1293001000056 
13.91      109.63     -0.485      0.082                           1293001000057 
13.91      114.75      0.031      0.079                           1293001000058 
13.91      119.87      0.379      0.069                           1293001000059 
13.91      124.90      0.469      0.086                           1293001000060 
13.91      129.78      0.402      0.053                           1293001000061 
13.91      134.66      0.119      0.053                           1293001000062 
13.91      139.51     -0.384      0.081                           1293001000063 
13.91      144.51     -0.680      0.079                           1293001000064 
13.91      149.76     -0.620      0.060                           1293001000065 
13.91      154.91     -0.336      0.062                           1293001000066 
ENDDATA             54          0                                 1293001000067 
ENDSUBENT           66          0                                 1293001099999 
SUBENT        12930011   19901019                             00001293001100001 
BIB                  5          7                                 1293001100002 
REACTION   (28-NI-58(N,INL)28-NI-58,PAR,POL/DA,,ANA)              1293001100003 
SAMPLE     CYLINDRICAL SAMPLE, 1.6 CM IN DIAMETER, AND            1293001100004 
           2.4 CM IN HEIGHT. ENRICHED TO 99.93 PERCENT.           1293001100005 
ERR-ANALYS OVERALL UNCERTAINTY, EXCEPT FOR A 3 PERCENT            1293001100006 
           NORMALIZATION UNCERTAINTY.                             1293001100007 
STATUS     DATA TAKEN FROM THESIS, GUSS (1982)                    1293001100008 
HISTORY    (901019A) DATA ADDED                                   1293001100009 
ENDBIB               7          0                                 1293001100010 
COMMON               1          3                                 1293001100011 
E-LVL                                                             1293001100012 
MEV                                                               1293001100013 
 1.454                                                            1293001100014 
ENDCOMMON            3          0                                 1293001100015 
DATA                 4         52                                 1293001100016 
EN         ANG        DATA       DATA-ERR                         1293001100017 
MEV        ADEG       NO-DIM     NO-DIM                           1293001100018 
 9.92       20.57      0.064      0.048                           1293001100019 
 9.92       22.36      0.166      0.168                           1293001100020 
 9.92       26.21      0.021      0.187                           1293001100021 
 9.92       30.04      0.092      0.112                           1293001100022 
 9.92       39.80     -0.225      0.222                           1293001100023 
 9.92       49.67     -0.000      0.154                           1293001100024 
 9.92       54.72     -0.128      0.189                           1293001100025 
 9.92       59.72     -0.026      0.108                           1293001100026 
 9.92       64.83      0.116      0.244                           1293001100027 
 9.92       69.91      0.140      0.047                           1293001100028 
 9.92       79.87      0.232      0.052                           1293001100029 
 9.92       89.72      0.034      0.081                           1293001100030 
 9.92       99.56     -0.189      0.049                           1293001100031 
 9.92      109.38     -0.572      0.274                           1293001100032 
 9.92      114.42     -0.470      0.370                           1293001100033 
 9.92      119.39     -0.067      0.289                           1293001100034 
 9.92      124.48     -0.151      0.419                           1293001100035 
 9.92      129.60      0.566      0.362                           1293001100036 
 9.92      134.66      0.321      0.213                           1293001100037 
 9.92      139.67      0.109      0.225                           1293001100038 
 9.92      144.65      0.474      0.386                           1293001100039 
 9.92      149.56      0.160      0.171                           1293001100040 
 9.92      154.41      0.228      0.233                           1293001100041 
13.91       20.43     -0.035      0.046                           1293001100042 
13.91       22.26     -0.034      0.215                           1293001100043 
13.91       26.07      0.063      0.066                           1293001100044 
13.91       29.94      0.029      0.074                           1293001100045 
13.91       34.80      0.060      0.067                           1293001100046 
13.91       39.62      0.097      0.122                           1293001100047 
13.91       44.52     -0.172      0.156                           1293001100048 
13.91       49.63      0.037      0.155                           1293001100049 
13.91       54.63     -0.117      0.170                           1293001100050 
13.91       59.79     -0.053      0.212                           1293001100051 
13.91       64.92     -0.207      0.213                           1293001100052 
13.91       69.99      0.095      0.133                           1293001100053 
13.91       74.93      0.034      0.115                           1293001100054 
13.91       79.84      0.108      0.147                           1293001100055 
13.91       84.71      0.036      0.114                           1293001100056 
13.91       89.59     -0.002      0.139                           1293001100057 
13.91       94.50     -0.142      0.132                           1293001100058 
13.91       99.35     -0.075      0.175                           1293001100059 
13.91      104.28     -0.342      0.145                           1293001100060 
13.91      109.28     -0.598      0.270                           1293001100061 
13.91      114.40     -0.262      0.151                           1293001100062 
13.91      119.67      0.032      0.257                           1293001100063 
13.91      124.88      0.138      0.175                           1293001100064 
13.91      129.93      0.523      0.275                           1293001100065 
13.91      134.92      0.344      0.222                           1293001100066 
13.91      139.81      0.019      0.148                           1293001100067 
13.91      144.70     -0.320      0.207                           1293001100068 
13.91      149.59     -0.437      0.124                           1293001100069 
13.91      154.48     -0.394      0.118                           1293001100070 
ENDDATA             54          0                                 1293001100071 
ENDSUBENT           70          0                                 1293001199999 
SUBENT        12930012   19901019                             00001293001200001 
BIB                  4          6                                 1293001200002 
REACTION   (28-NI-60(N,EL)28-NI-60,,POL/DA,,ANA)                  1293001200003 
SAMPLE     CYLINDRICAL SAMPLE, 1.6 CM IN DIAMETER, AND            1293001200004 
           2.4 CM IN HEIGHT. ENRICHED TO 99.79 PERCENT.           1293001200005 
ERR-ANALYS OVERALL UNCERTAINTY, EXCEPT FOR A 3 PERCENT            1293001200006 
           NORMALIZATION UNCERTAINTY.                             1293001200007 
STATUS     ANGULAR DISTRIBUTIONS NOT AVAILABLE                    1293001200008 
ENDBIB               6          0                                 1293001200009 
NOCOMMON             0          0                                 1293001200010 
DATA                 5          1                                 1293001200011 
EN         EN-RSL     ANG        DATA       DATA-ERR              1293001200012 
MEV        MEV        ADEG       NO-DIM     NO-DIM                1293001200013 
 9.92       0.53       100.       -0.68      0.03                 1293001200014 
ENDDATA              3          0                                 1293001200015 
ENDSUBENT           14          0                                 1293001299999 
SUBENT        12930013   19901019                             00001293001300001 
BIB                  4          6                                 1293001300002 
REACTION   (28-NI-60(N,INL)28-NI-60,PAR,POL/DA,,ANA)              1293001300003 
SAMPLE     CYLINDRICAL SAMPLE, 1.6 CM IN DIAMETER, AND            1293001300004 
           2.4 CM IN HEIGHT. ENRICHED TO 99.79 PERCENT.           1293001300005 
ERR-ANALYS OVERALL UNCERTAINTY, EXCEPT FOR A 3 PERCENT            1293001300006 
           NORMALIZATION UNCERTAINTY.                             1293001300007 
STATUS     ANGULAR DISTRIBUTIONS NOT AVAILABLE                    1293001300008 
ENDBIB               6          0                                 1293001300009 
COMMON               1          3                                 1293001300010 
E-LVL                                                             1293001300011 
MEV                                                               1293001300012 
 1.331                                                            1293001300013 
ENDCOMMON            3          0                                 1293001300014 
DATA                 5          1                                 1293001300015 
EN         EN-RSL     ANG        DATA       DATA-ERR              1293001300016 
MEV        MEV        ADEG       NO-DIM     NO-DIM                1293001300017 
 9.92       0.53       100.       -0.19      0.05                 1293001300018 
ENDDATA              3          0                                 1293001300019 
ENDSUBENT           18          0                                 1293001399999 
ENDENTRY            13          0                                 1293099999999 
