ENTRY            12263   19840821                             00001226300000001 
SUBENT        12263001   19840821                             00001226300100001 
BIB                  8         13                                 1226300100002 
INSTITUTE  (1USAMTR)                                              1226300100003 
REFERENCE  (J,NSE,28,133,67)                                      1226300100004 
           (C,66WASH,,67,6603) EXP. PROCEDURE                     1226300100005 
           (R,IN-1014,6607) TABULATED DATA                        1226300100006 
           (J,NSE,20,235,6410) PRELIMINARY RESULTS, 0.01 - 1.0 EV.1226300100007 
           (C,61SACLAY,,85,61)                                    1226300100008 
AUTHOR     (F.B.SIMPSON,J.W.CODDING JR)                           1226300100009 
TITLE      TOTAL NEUTRON CROSS SECTION OF PROTACTINIUM-233.       1226300100010 
FACILITY   (CHOPF) MTR FAST CHOPPER                               1226300100011 
METHOD     (TOF)                                                  1226300100012 
STATUS     (SCSRS)                                                1226300100013 
HISTORY    (760803T) TRANSLATED FROM SCISRS                       1226300100014 
           (840821A) CONVERTED TO REACTION FORMALISM              1226300100015 
ENDBIB              13          0                                 1226300100016 
NOCOMMON             0          0                                 1226300100017 
ENDSUBENT           16          0                                 1226300199999 
SUBENT        12263002   19840821                             00001226300200001 
BIB                  2          2                                 1226300200002 
REACTION   (91-PA-233(N,TOT),,SIG)                                1226300200003 
FLAG       (1.) WEIGHTED AVERAGE OF 5 RUNS.                       1226300200004 
ENDBIB               2          0                                 1226300200005 
NOCOMMON             0          0                                 1226300200006 
DATA                 5        847                                 1226300200007 
EN         EN-RSL     DATA       THICKNESS  FLAG                  1226300200008 
 1.079  -05   96.      9.22   +01 325.                            1226300200440 
 1.084  -05   96.      1.537  +02 325.                            1226300200441 
 1.089  -05   96.      1.652  +02 325.                            1226300200442 
 1.094  -05   96.      1.311  +02 325.                            1226300200443 
 1.099  -05   96.      8.50   +01 325.                            1226300200444 
 1.104  -05   96.      5.45   +01 325.                            1226300200445 
 1.110  -05   96.      1.15   +01 325.                            1226300200446 
 1.115  -05   96.      2.60   +01 325.                            1226300200447 
 1.120  -05   96.      2.22   +01 325.                            1226300200448 
 1.125  -05   96.      3.70   +01 325.                            1226300200449 
 1.130  -05   96.      3.22   +01 325.                            1226300200450 
 1.136  -05   96.      2.66   +01 325.                            1226300200451 
 1.141  -05   96.      5.06   +01 325.                            1226300200452 
 1.146  -05   96.      8.51   +01 325.                            1226300200453 
 1.152  -05   96.      9.46   +01 325.                            1226300200454 
 1.157  -05   96.      7.74   +01 325.                            1226300200455 
 1.162  -05   96.      5.73   +01 325.                            1226300200456 
 1.168  -05   96.      4.38   +01 325.                            1226300200457 
 1.174  -05   96.      3.15   +01 325.                            1226300200458 
 1.179  -05   96.      2.67   +01 325.                            1226300200459 
 1.185  -05   96.      3.70   +01 325.                            1226300200460 
 1.190  -05   96.      5.66   +01 325.                            1226300200461 
 1.196  -05   96.      7.80   +01 325.                            1226300200462 
 1.202  -05   96.      1.144  +02 325.                            1226300200463 
 1.208  -05   96.      2.108  +02 325.                            1226300200464 
 1.213  -05   96.      2.814  +02 325.                            1226300200465 
 1.219  -05   96.      2.534  +02 325.                            1226300200466 
 1.225  -05   96.      1.515  +02 325.                            1226300200467 
 1.231  -05   96.      7.74   +01 325.                            1226300200468 
 1.237  -05   96.      4.30   +01 325.                            1226300200469 
 1.243  -05   96.      3.34   +01 325.                            1226300200470 
 1.249  -05   96.      2.12   +01 325.                            1226300200471 
 1.255  -05   96.      3.53   +01 325.                            1226300200472 
 1.262  -05   96.      1.57   +01 325.                            1226300200473 
 1.268  -05   96.      4.00   +01 325.                            1226300200474 
 1.274  -05   96.      2.58   +01 325.                            1226300200475 
 1.280  -05   96.      4.64   +01 325.                            1226300200476 
 1.287  -05   96.      8.50   +01 325.                            1226300200477 
 1.293  -05   96.      9.62   +01 325.                            1226300200478 
 1.300  -05   96.      5.74   +01 325.                            1226300200479 
 1.306  -05   96.      4.77   +01 325.                            1226300200480 
 1.319  -05   96.      1.93   +01 325.                            1226300200481 
 1.340  -05   96.      1.51   +01 325.                            1226300200482 
 1.360  -05   96.      1.21   +01 325.                            1226300200483 
 1.381  -05   96.      1.85   +01 325.                            1226300200484 
 1.403  -05   96.      2.36   +01 325.                            1226300200485 
 1.417  -05   96.      6.09   +01 325.                            1226300200486 
 1.425  -05   96.      1.050  +02 325.                            1226300200487 
 1.432  -05   96.      1.730  +02 325.                            1226300200488 
 1.440  -05   96.      2.600  +02 325.                            1226300200489 
 1.447  -05   96.      2.101  +02 325.                            1226300200490 
 1.455  -05   96.      1.178  +02 325.                            1226300200491 
 1.463  -05   96.      6.63   +01 325.                            1226300200492 
 1.471  -05   96.      5.67   +01 325.                            1226300200493 
 1.478  -05   96.      6.17   +01 325.                            1226300200494 
 1.486  -05   96.      4.67   +01 325.                            1226300200495 
 1.494  -05   96.      3.11   +01 325.                            1226300200496 
 1.502  -05   96.      2.15   +01 325.                            1226300200497 
 1.510  -05   96.      1.68   +01 325.                            1226300200498 
 1.519  -05   96.      1.34   +01 325.                            1226300200499 
 1.527  -05   96.      1.58   +01 325.                            1226300200500 
 1.535  -05   96.      1.36   +01 325.                            1226300200501 
 1.543  -05   96.      1.21   +01 325.                            1226300200502 
 1.552  -05   96.      2.82   +01 325.                            1226300200503 
 1.560  -05   96.      3.01   +01 325.                            1226300200504 
 1.569  -05   96.      7.61   +01 325.                            1226300200505 
 1.577  -05   96.      1.442  +02 325.                            1226300200506 
 1.586  -05   96.      3.144  +02 325.                            1226300200507 
 1.595  -05   96.      4.506  +02 325.                            1226300200508 
 1.604  -05   96.      3.106  +02 325.                            1226300200509 
 1.613  -05   96.      1.551  +02 325.                            1226300200510 
 1.622  -05   96.      6.26   +01 325.                            1226300200511 
 1.631  -05   96.      5.43   +01 325.                            1226300200512 
 1.640  -05   96.      4.12   +01 325.                            1226300200513 
 1.649  -05   96.      3.34   +01 325.                            1226300200514 
 1.659  -05   96.      3.26   +01 325.                            1226300200515 
 1.668  -05   96.      4.82   +01 325.                            1226300200516 
 1.677  -05   96.      7.39   +01 325.                            1226300200517 
 1.687  -05   96.      1.072  +02 325.                            1226300200518 
 1.697  -05   96.      1.619  +02 325.                            1226300200519 
 1.706  -05   96.      1.510  +02 325.                            1226300200520 
 1.716  -05   96.      7.09   +01 325.                            1226300200521 
 1.726  -05   96.      3.61   +01 325.                            1226300200522 
 1.736  -05   96.      3.08   +01 325.                            1226300200523 
 1.746  -05   96.      1.00   +01 325.                            1226300200524 
 1.756  -05   96.      6.0    +00 325.                            1226300200525 
 1.766  -05   96.      8.7    +00 325.                            1226300200526 
 1.777  -05   96.      1.28   +01 325.                            1226300200527 
 1.787  -05   96.      1.99   +01 325.                            1226300200528 
 1.798  -05   96.      5.6    +00 325.                            1226300200529 
 1.808  -05   96.      1.07   +01 325.                            1226300200530 
 1.819  -05   96.      1.68   +01 325.                            1226300200531 
 1.830  -05   96.      2.90   +01 325.                            1226300200532 
 1.840  -05   96.      2.18   +01 325.                            1226300200533 
 1.851  -05   96.      2.65   +01 325.                            1226300200534 
 1.863  -05   96.      1.86   +01 325.                            1226300200535 
 1.874  -05   96.      2.26   +01 325.                            1226300200536 
 1.885  -05   96.      3.70   +01 325.                            1226300200537 
 1.896  -05   96.      5.44   +01 325.                            1226300200538 
 1.908  -05   96.      5.39   +01 325.                            1226300200539 
 1.919  -05   96.      3.42   +01 325.                            1226300200540 
 1.931  -05   96.      8.6    +00 325.                            1226300200541 
 1.943  -05   96.      3.6    +00 325.                            1226300200542 
 1.955  -05   96.      1.66   +01 325.                            1226300200543 
 1.967  -05   96.      1.01   +01 325.                            1226300200544 
 1.979  -05   96.      1.65   +01 325.                            1226300200545 
 1.991  -05   96.      1.54   +01 325.                            1226300200546 
 2.004  -05   96.      2.41   +01 325.                            1226300200547 
 2.016  -05   96.      4.1    +00 325.                            1226300200548 
 2.029  -05   96.      3.38   +01 325.                            1226300200549 
 2.041  -05   96.      5.84   +01 325.                            1226300200550 
 2.054  -05   96.      9.02   +01 325.                            1226300200551 
 2.067  -05   96.      1.963  +02 325.                            1226300200552 
 2.080  -05   96.      4.489  +02 325.                            1226300200553 
 2.093  -05   96.      6.634  +02 325.                            1226300200554 
 2.107  -05   96.      4.220  +02 325.                            1226300200555 
 2.120  -05   96.      1.943  +02 325.                            1226300200556 
 2.134  -05   96.      8.77   +01 325.                            1226300200557 
 2.147  -05   96.      8.03   +01 325.                            1226300200558 
 2.161  -05   96.      1.148  +02 325.                            1226300200559 
 2.175  -05   96.      1.649  +02 325.                            1226300200560 
 2.189  -05   96.      1.677  +02 325.                            1226300200561 
 2.203  -05   96.      8.57   +01 325.                            1226300200562 
 2.218  -05   96.      5.16   +01 325.                            1226300200563 
 2.232  -05   96.      3.16   +01 325.                            1226300200564 
 2.247  -05   96.      5.85   +01 325.                            1226300200565 
 2.262  -05   96.      1.377  +02 325.                            1226300200566 
 2.277  -05   96.      2.601  +02 325.                            1226300200567 
 2.292  -05   96.      2.826  +02 325.                            1226300200568 
 2.307  -05   96.      1.495  +02 325.                            1226300200569 
 2.323  -05   96.      7.82   +01 325.                            1226300200570 
 2.338  -05   96.      5.16   +01 325.                            1226300200571 
 2.354  -05   96.      3.86   +01 325.                            1226300200572 
 2.370  -05   96.      3.63   +01 325.                            1226300200573 
 2.386  -05   96.      3.85   +01 325.                            1226300200574 
 2.402  -05   96.      6.64   +01 325.                            1226300200575 
 2.418  -05   96.      9.38   +01 325.                            1226300200576 
 2.435  -05   96.      6.49   +01 325.                            1226300200577 
 2.452  -05   96.      5.27   +01 325.                            1226300200578 
 2.468  -05   96.      1.77   +01 325.                            1226300200579 
 2.486  -05   96.      1.59   +01 325.                            1226300200580 
 2.503  -05   96.      1.76   +01 325.                            1226300200581 
 2.520  -05   96.      2.01   +01 325.                            1226300200582 
 2.538  -05   96.      3.24   +01 325.                            1226300200583 
 2.556  -05   96.      1.96   +01 325.                            1226300200584 
 2.574  -05   96.      3.27   +01 325.                            1226300200585 
 2.592  -05   96.      2.93   +01 325.                            1226300200586 
 2.610  -05   96.      1.39   +01 325.                            1226300200587 
 2.629  -05   96.      5.3    +00 325.                            1226300200588 
 2.647  -05   96.      3.29   +01 325.                            1226300200589 
 2.666  -05   96.      4.68   +01 325.                            1226300200590 
 2.685  -05   96.      5.58   +01 325.                            1226300200591 
 2.705  -05   96.      5.37   +01 325.                            1226300200592 
 2.724  -05   96.      3.55   +01 325.                            1226300200593 
 2.744  -05   96.      2.66   +01 325.                            1226300200594 
 2.764  -05   96.      2.59   +01 325.                            1226300200595 
 2.784  -05   96.      4.66   +01 325.                            1226300200596 
 2.805  -05   96.      9.74   +01 325.                            1226300200597 
 2.825  -05   96.      1.027  +02 325.                            1226300200598 
 2.846  -05   96.      5.66   +01 325.                            1226300200599 
 2.867  -05   96.      3.62   +01 325.                            1226300200600 
 2.889  -05   96.      1.60   +01 325.                            1226300200601 
 2.910  -05   96.      2.05   +01 325.                            1226300200602 
 2.932  -05   96.      2.20   +01 325.                            1226300200603 
 2.954  -05   96.      1.52   +01 325.                            1226300200604 
 2.977  -05   96.      1.54   +01 325.                            1226300200605 
 2.999  -05   96.      1.11   +01 325.                            1226300200606 
 3.022  -05   96.      2.10   +01 325.                            1226300200607 
 3.045  -05   96.      3.37   +01 325.                            1226300200608 
 3.069  -05   96.      8.40   +01 325.                            1226300200609 
 3.092  -05   96.      1.498  +02 325.                            1226300200610 
 3.116  -05   96.      1.278  +02 325.                            1226300200611 
 3.140  -05   96.      7.69   +01 325.                            1226300200612 
 3.165  -05   96.      3.43   +01 325.                            1226300200613 
 3.190  -05   96.      2.27   +01 325.                            1226300200614 
 3.215  -05   96.      5.42   +01 325.                            1226300200615 
 3.240  -05   96.      1.000  +02 325.                            1226300200616 
 3.266  -05   96.      1.614  +02 325.                            1226300200617 
 3.292  -05   96.      9.15   +01 325.                            1226300200618 
 3.318  -05   96.      4.24   +01 325.                            1226300200619 
 3.345  -05   96.      2.24   +01 325.                            1226300200620 
 3.372  -05   96.      2.53   +01 325.                            1226300200621 
 3.399  -05   96.      3.43   +01 325.                            1226300200622 
 3.426  -05   96.      6.43   +01 325.                            1226300200623 
 3.454  -05   96.      6.39   +01 325.                            1226300200624 
 3.483  -05   96.      3.13   +01 325.                            1226300200625 
 3.511  -05   96.      3.22   +01 325.                            1226300200626 
 3.540  -05   96.      5.37   +01 325.                            1226300200627 
 3.569  -05   96.      5.70   +01 325.                            1226300200628 
 3.599  -05   96.      1.068  +02 325.                            1226300200629 
 3.629  -05   96.      1.218  +02 325.                            1226300200630 
 3.660  -05   96.      7.23   +01 325.                            1226300200631 
 3.691  -05   96.      2.72   +01 325.                            1226300200632 
 3.722  -05   96.      2.62   +01 325.                            1226300200633 
 3.753  -05   96.      1.91   +01 325.                            1226300200634 
 3.785  -05   96.      1.67   +01 325.                            1226300200635 
 3.818  -05   96.      2.20   +01 325.                            1226300200636 
 3.851  -05   96.      5.2    +00 325.                            1226300200637 
 3.884  -05   96.      2.80   +01 325.                            1226300200638 
 3.918  -05   96.      5.02   +01 325.                            1226300200639 
 3.952  -05   96.      8.25   +01 325.                            1226300200640 
 3.986  -05   96.      9.94   +01 325.                            1226300200641 
 4.021  -05   96.      4.68   +01 325.                            1226300200642 
 4.057  -05   96.      3.93   +01 325.                            1226300200643 
 4.093  -05   96.      2.82   +01 325.                            1226300200644 
 4.129  -05   96.      1.23   +01 325.                            1226300200645 
 4.166  -05   96.      2.54   +01 325.                            1226300200646 
 4.204  -05   96.      3.01   +01 325.                            1226300200647 
 4.242  -05   96.      2.78   +01 325.                            1226300200648 
 4.280  -05   96.      1.65   +01 325.                            1226300200649 
 4.319  -05   96.      1.23   +01 325.                            1226300200650 
 4.359  -05   96.      7.6    +00 325.                            1226300200651 
 4.399  -05   96.      1.31   +01 325.                            1226300200652 
 4.439  -05   96.      3.52   +01 325.                            1226300200653 
 4.481  -05   96.      5.40   +01 325.                            1226300200654 
 4.522  -05   96.      3.91   +01 325.                            1226300200655 
 4.565  -05   96.      8.46   +01 325.                            1226300200656 
 4.608  -05   96.      1.804  +02 325.                            1226300200657 
 4.651  -05   96.      1.819  +02 325.                            1226300200658 
 4.696  -05   96.      8.89   +01 325.                            1226300200659 
 4.740  -05   96.      4.09   +01 325.                            1226300200660 
 4.786  -05   96.      2.53   +01 325.                            1226300200661 
 4.832  -05   96.      4.32   +01 325.                            1226300200662 
 4.879  -05   96.      9.26   +01 325.                            1226300200663 
 4.926  -05   96.      1.985  +02 325.                            1226300200664 
 4.974  -05   96.      1.598  +02 325.                            1226300200665 
 5.023  -05   96.      8.09   +01 325.                            1226300200666 
 5.073  -05   96.      6.19   +01 325.                            1226300200667 
 5.123  -05   96.      4.82   +01 325.                            1226300200668 
 5.174  -05   96.      3.67   +01 325.                            1226300200669 
 5.226  -05   96.      5.46   +01 325.                            1226300200670 
 5.279  -05   96.      5.10   +01 325.                            1226300200671 
 5.332  -05   96.      1.074  +02 325.                            1226300200672 
 5.387  -05   96.      1.094  +02 325.                            1226300200673 
 5.442  -05   96.      5.04   +01 325.                            1226300200674 
 5.498  -05   96.      2.66   +01 325.                            1226300200675 
 5.555  -05   96.      2.47   +01 325.                            1226300200676 
 5.612  -05   96.      2.99   +01 325.                            1226300200677 
 5.671  -05   96.      2.87   +01 325.                            1226300200678 
 5.730  -05   96.      2.80   +01 325.                            1226300200679 
 5.791  -05   96.      5.79   +01 325.                            1226300200680 
 5.852  -05   96.      9.85   +01 325.                            1226300200681 
 5.915  -05   96.      7.17   +01 325.                            1226300200682 
 5.978  -05   96.      4.62   +01 325.                            1226300200683 
 6.043  -05   96.      3.90   +01 325.                            1226300200684 
 6.108  -05   96.      2.98   +01 325.                            1226300200685 
 6.175  -05   96.      2.09   +01 325.                            1226300200686 
 6.243  -05   96.      1.76   +01 325.                            1226300200687 
 6.311  -05   96.      4.04   +01 325.                            1226300200688 
 6.381  -05   96.      3.04   +01 325.                            1226300200689 
 6.452  -05   96.      3.64   +01 325.                            1226300200690 
 6.525  -05   96.      4.83   +01 325.                            1226300200691 
 6.598  -05   96.      4.58   +01 325.                            1226300200692 
 6.673  -05   96.      1.002  +02 325.                            1226300200693 
 6.749  -05   96.      1.153  +02 325.                            1226300200694 
 6.826  -05   96.      5.66   +01 325.                            1226300200695 
 6.905  -05   96.      4.78   +01 325.                            1226300200696 
 6.985  -05   96.      3.09   +01 325.                            1226300200697 
 7.067  -05   96.      4.11   +01 325.                            1226300200698 
 7.149  -05   96.      4.99   +01 325.                            1226300200699 
 7.234  -05   96.      6.61   +01 325.                            1226300200700 
 7.320  -05   96.      5.92   +01 325.                            1226300200701 
 7.407  -05   96.      7.99   +01 325.                            1226300200702 
 7.496  -05   96.      4.24   +01 325.                            1226300200703 
 7.587  -05   96.      4.26   +01 325.                            1226300200704 
 7.679  -05   96.      5.11   +01 325.                            1226300200705 
 7.773  -05   96.      5.46   +01 325.                            1226300200706 
 7.869  -05   96.      5.14   +01 325.                            1226300200707 
 7.966  -05   96.      7.20   +01 325.                            1226300200708 
 8.065  -05   96.      1.138  +02 325.                            1226300200709 
 8.166  -05   96.      8.09   +01 325.                            1226300200710 
 8.269  -05   96.      4.70   +01 325.                            1226300200711 
 8.374  -05   96.      2.67   +01 325.                            1226300200712 
 8.481  -05   96.      3.12   +01 325.                            1226300200713 
 8.591  -05   96.      3.77   +01 325.                            1226300200714 
 8.702  -05   96.      4.23   +01 325.                            1226300200715 
 8.815  -05   96.      3.00   +01 325.                            1226300200716 
 8.931  -05   96.      3.54   +01 325.                            1226300200717 
 9.049  -05   96.      2.86   +01 325.                            1226300200718 
 9.169  -05   96.      3.31   +01 325.                            1226300200719 
 9.292  -05   96.      3.06   +01 325.                            1226300200720 
 9.417  -05   96.      5.34   +01 325.                            1226300200721 
 9.544  -05   96.      6.30   +01 325.                            1226300200722 
 9.675  -05   96.      3.44   +01 325.                            1226300200723 
 9.808  -05   96.      4.83   +01 325.                            1226300200724 
 9.943  -05   96.      7.15   +01 325.                            1226300200725 
 1.008  -04   96.      5.83   +01 325.                            1226300200726 
 1.022  -04   96.      5.44   +01 325.                            1226300200727 
 1.036  -04   96.      4.53   +01 325.                            1226300200728 
 1.051  -04   96.      5.97   +01 325.                            1226300200729 
 1.066  -04   96.      4.67   +01 325.                            1226300200730 
 1.082  -04   96.      4.22   +01 325.                            1226300200731 
 1.097  -04   96.      5.70   +01 325.                            1226300200732 
 1.113  -04   96.      5.57   +01 325.                            1226300200733 
 1.130  -04   96.      4.61   +01 325.                            1226300200734 
 1.147  -04   96.      4.89   +01 325.                            1226300200735 
 1.164  -04   96.      4.55   +01 325.                            1226300200736 
 1.181  -04   96.      5.81   +01 325.                            1226300200737 
 1.199  -04   96.      4.88   +01 325.                            1226300200738 
 1.218  -04   96.      4.70   +01 325.                            1226300200739 
 1.237  -04   96.      3.77   +01 325.                            1226300200740 
 1.256  -04   96.      3.74   +01 325.                            1226300200741 
 1.276  -04   96.      3.83   +01 325.                            1226300200742 
 1.296  -04   96.      3.86   +01 325.                            1226300200743 
 1.316  -04   96.      2.39   +01 325.                            1226300200744 
 1.338  -04   96.      3.80   +01 325.                            1226300200745 
 1.359  -04   96.      3.25   +01 325.                            1226300200746 
 1.381  -04   96.      3.72   +01 325.                            1226300200747 
 1.404  -04   96.      4.95   +01 325.                            1226300200748 
 1.427  -04   96.      3.10   +01 325.                            1226300200749 
 1.451  -04   96.      4.04   +01 325.                            1226300200750 
 1.476  -04   96.      4.78   +01 325.                            1226300200751 
 1.501  -04   96.      5.07   +01 325.                            1226300200752 
 1.527  -04   96.      3.50   +01 325.                            1226300200753 
 1.553  -04   96.      3.56   +01 325.                            1226300200754 
 1.580  -04   96.      5.43   +01 325.                            1226300200755 
 1.608  -04   96.      3.07   +01 325.                            1226300200756 
 1.637  -04   96.      3.30   +01 325.                            1226300200757 
 1.666  -04   96.      3.56   +01 325.                            1226300200758 
 1.696  -04   96.      4.17   +01 325.                            1226300200759 
 1.727  -04   96.      4.10   +01 325.                            1226300200760 
 1.759  -04   96.      4.70   +01 325.                            1226300200761 
 1.792  -04   96.      2.65   +01 325.                            1226300200762 
 1.826  -04   96.      2.59   +01 325.                            1226300200763 
 1.860  -04   96.      3.48   +01 325.                            1226300200764 
 1.896  -04   96.      2.87   +01 325.                            1226300200765 
 1.932  -04   96.      3.16   +01 325.                            1226300200766 
 1.970  -04   96.      3.97   +01 325.                            1226300200767 
 2.009  -04   96.      3.20   +01 325.                            1226300200768 
 2.049  -04   96.      4.45   +01 325.                            1226300200769 
 2.090  -04   96.      2.73   +01 325.                            1226300200770 
 2.133  -04   96.      2.90   +01 325.                            1226300200771 
 2.176  -04   96.      3.27   +01 325.                            1226300200772 
 2.222  -04   96.      3.62   +01 325.                            1226300200773 
 2.268  -04   96.      3.91   +01 325.                            1226300200774 
 2.316  -04   96.      5.36   +01 325.                            1226300200775 
 2.366  -04   96.      2.81   +01 325.                            1226300200776 
 2.417  -04   96.      3.53   +01 325.                            1226300200777 
 2.470  -04   96.      4.07   +01 325.                            1226300200778 
 2.524  -04   96.      3.79   +01 325.                            1226300200779 
 2.581  -04   96.      3.78   +01 325.                            1226300200780 
 2.639  -04   96.      2.39   +01 325.                            1226300200781 
 2.699  -04   96.      3.05   +01 325.                            1226300200782 
 2.762  -04   96.      3.28   +01 325.                            1226300200783 
 2.826  -04   96.      3.07   +01 325.                            1226300200784 
 2.893  -04   96.      3.40   +01 325.                            1226300200785 
 2.963  -04   96.      4.96   +01 325.                            1226300200786 
 3.034  -04   96.      4.06   +01 325.                            1226300200787 
 3.109  -04   96.      4.01   +01 325.                            1226300200788 
 3.186  -04   96.      3.62   +01 325.                            1226300200789 
 3.266  -04   96.      5.35   +01 325.                            1226300200790 
 3.349  -04   96.      7.84   +01 325.                            1226300200791 
 3.436  -04   96.      5.33   +01 325.                            1226300200792 
 3.526  -04   96.      4.87   +01 325.                            1226300200793 
 3.619  -04   96.      5.70   +01 325.                            1226300200794 
 3.716  -04   96.      4.90   +01 325.                            1226300200795 
 3.817  -04   96.      4.81   +01 325.                            1226300200796 
 3.923  -04   96.      4.69   +01 325.                            1226300200797 
 4.032  -04   96.      3.30   +01 325.                            1226300200798 
 4.147  -04   96.      3.89   +01 325.                            1226300200799 
 4.266  -04   96.      3.42   +01 325.                            1226300200800 
 4.391  -04   96.      2.22   +01 325.                            1226300200801 
 4.521  -04   96.      2.57   +01 325.                            1226300200802 
 4.657  -04   96.      2.94   +01 325.                            1226300200803 
 4.799  -04   96.      1.26   +01 325.                            1226300200804 
 4.948  -04   96.      3.33   +01 325.                            1226300200805 
 5.104  -04   96.      3.06   +01 325.                            1226300200806 
 5.267  -04   96.      2.06   +01 325.                            1226300200807 
 5.438  -04   96.      2.17   +01 325.                            1226300200808 
 5.618  -04   96.      1.82   +01 325.                            1226300200809 
 5.807  -04   96.      3.74   +01 325.                            1226300200810 
 6.006  -04   96.      2.92   +01 325.                            1226300200811 
 6.214  -04   96.      3.13   +01 325.                            1226300200812 
 6.434  -04   96.      3.87   +01 325.                            1226300200813 
 6.666  -04   96.      2.94   +01 325.                            1226300200814 
 6.911  -04   96.      2.85   +01 325.                            1226300200815 
 7.169  -04   96.      3.88   +01 325.                            1226300200816 
 7.442  -04   96.      2.66   +01 325.                            1226300200817 
 7.731  -04   96.      3.04   +01 325.                            1226300200818 
 8.038  -04   96.      3.09   +01 325.                            1226300200819 
 8.362  -04   96.      2.15   +01 325.                            1226300200820 
 8.707  -04   96.      3.01   +01 325.                            1226300200821 
 9.074  -04   96.      3.00   +01 325.                            1226300200822 
 9.464  -04   96.      2.39   +01 325.                            1226300200823 
 9.880  -04   96.      2.48   +01 325.                            1226300200824 
 1.032  -03   96.      2.17   +01 325.                            1226300200825 
 1.079  -03   96.      3.31   +01 325.                            1226300200826 
 1.130  -03   96.      3.34   +01 325.                            1226300200827 
 1.185  -03   96.      2.64   +01 325.                            1226300200828 
 1.243  -03   96.      1.60   +01 325.                            1226300200829 
 1.306  -03   96.      1.92   +01 325.                            1226300200830 
 1.374  -03   96.      2.16   +01 325.                            1226300200831 
 1.447  -03   96.      2.29   +01 325.                            1226300200832 
 1.527  -03   96.      1.91   +01 325.                            1226300200833 
 1.613  -03   96.      1.86   +01 325.                            1226300200834 
 1.706  -03   96.      2.30   +01 325.                            1226300200835 
 1.808  -03   96.      2.11   +01 325.                            1226300200836 
 1.919  -03   96.      1.70   +01 325.                            1226300200837 
 2.041  -03   96.      2.65   +01 325.                            1226300200838 
 2.175  -03   96.      2.55   +01 325.                            1226300200839 
 2.323  -03   96.      2.63   +01 325.                            1226300200840 
 2.485  -03   96.      3.33   +01 325.                            1226300200841 
 2.666  -03   96.      2.32   +01 325.                            1226300200842 
 2.867  -03   96.      1.37   +01 325.                            1226300200843 
 3.092  -03   96.      1.90   +01 325.                            1226300200844 
 3.345  -03   96.      1.44   +01 325.                            1226300200845 
 3.629  -03   96.      1.86   +01 325.                            1226300200846 
 3.952  -03   96.      8.0    +00 325.                            1226300200847 
 4.319  -03   96.      2.23   +01 325.                            1226300200848 
 4.740  -03   96.      2.26   +01 325.                            1226300200849 
 5.226  -03   96.      9.4    +00 325.                            1226300200850 
 5.791  -03   96.      6.4    +00 325.                            1226300200851 
 6.452  -03   96.      1.09   +01 325.                            1226300200852 
 7.234  -03   96.      1.79   +01 325.                            1226300200853 
 8.166  -03   96.      2.8    +00 325.                            1226300200854 
 9.292  -03   96.      1.73   +01 325.                            1226300200855 
 1.066  -02   96.      1.62   +01 325.                            1226300200856 
ENDDATA            849          0                                 1226300200857 
ENDSUBENT          856          0                                 1226300299999 
SUBENT        12263003   19840821                             00001226300300001 
BIB                  1          1                                 1226300300002 
REACTION   (91-PA-233(N,TOT),,SIG)                                1226300300003 
ENDBIB               1          0                                 1226300300004 
NOCOMMON             0          0                                 1226300300005 
DATA                 3          1                                 1226300300006 
EN         DATA       DATA-ERR                                    1226300300007 
MEV        B          B                                           1226300300008 
 2.53   -08 5.5    +01 3.     +00                                 1226300300009 
ENDDATA              3          0                                 1226300300010 
ENDSUBENT            9          0                                 1226300399999 
SUBENT        12263004   19840821                             00001226300400001 
BIB                  3          3                                 1226300400002 
REACTION   (91-PA-233(N,TOT),,SIG)                                1226300400003 
STATUS     (SPSDD,12263002)                                       1226300400004 
REFERENCE  (W,SIMPSON,64)                                         1226300400005 
ENDBIB               3          0                                 1226300400006 
NOCOMMON             0          0                                 1226300400007 
NODATA               0          0                                 1226300400008 
ENDSUBENT            7          0                                 1226300499999 
SUBENT        12263005   19840821                             00001226300500001 
BIB                  2          4                                 1226300500002 
REACTION  1(91-PA-233(N,0),,EN)                                   1226300500003 
          2(91-PA-233(N,EL),,WID/RED)                             1226300500004 
          3(91-PA-233(N,G),,WID)                                  1226300500005 
FLAG       (1.) ASSUMED LEVEL.                                    1226300500006 
ENDBIB               4          0                                 1226300500007 
COMMON               1          3                                 1226300500008 
MOMENTUM L                                                        1226300500009 
NO-DIM                                                            1226300500010 
 0.                                                               1226300500011 
ENDCOMMON            3          0                                 1226300500012 
DATA                 4         28                                 1226300500013 
DATA      1DATA      2DATA      3FLAG                             1226300500014 
EV         MILLI-EV   MILLI-EV   NO-DIM                           1226300500015 
 -1.00      0.0030      50.       1.                              1226300500016 
  0.430     0.0013     500.       1.                              1226300500017 
  0.795     0.0016      50.                                       1226300500018 
  1.341     0.121       39.                                       1226300500019 
  1.644     0.332       41.                                       1226300500020 
  2.356     0.0076      50.                                       1226300500021 
  2.830     0.123       46.                                       1226300500022 
  3.386     0.220       40.                                       1226300500023 
  4.288     0.056       48.                                       1226300500024 
  5.152     0.231       55.                                       1226300500025 
  7.181     0.080       60.                                       1226300500026 
  8.26      0.0234      65.                                       1226300500027 
  8.97      0.074       70.                                       1226300500028 
