ENTRY            12403   19760804                             00001240300000001 
SUBENT        12403001   19760804                             00001240300100001 
BIB                  6          8                                 1240300100002 
INSTITUTE  (1USACOL)                                              1240300100003 
REFERENCE  (J,NSE,3,435,58)                                       1240300100004 
AUTHOR     (E.MELKONIAN,V.PEREZ-MENDEZ,M.L.MELKONIAN,             1240300100005 
           W.W.HAVENS JR,L.J.RAINWATER)                           1240300100006 
TITLE      SLOW NEUTRON VELOCITY SPECTROMETER STUDIES OF THE TOTAL1240300100007 
           AND FISSION CROSS SECTIONS OF U235.                    1240300100008 
STATUS     (SCSRS)                                                1240300100009 
HISTORY    (760804T) TRANSLATED FROM SCISRS                       1240300100010 
ENDBIB               8          0                                 1240300100011 
NOCOMMON             0          0                                 1240300100012 
ENDSUBENT           11          0                                 1240300199999 
SUBENT        12403002   19860829                             00001240300200001 
BIB                  3          3                                 1240300200002 
REACTION   (92-U-235(N,TOT),,SIG)                                 1240300200003 
METHOD     (TOF) TIME-OF-FLIGHT                                   1240300200004 
HISTORY    (860828A) DATA POINT CORRECTED.                        1240300200005 
ENDBIB               3          0                                 1240300200006 
NOCOMMON             0          0                                 1240300200007 
DATA                 3        223                                 1240300200008 
EN         DATA       DATA-ERR                                    1240300200009 
MEV        B          B                                           1240300200010 
REACTION   (92-U-235(N,F),,SIG)                                   1240300300003 
METHOD     (TOF) TIME-OF-FLIGHT                                   1240300300004 
DETECTOR   (FISCH) IONIZATION CHAMBER                             1240300300005 
MONITOR    (92-U-235(N,F),,SIG) NORMALIZED TO 580 B AT THERMAL.   1240300300006 
HISTORY    (841018A) DATA HEADING CORRECTED.                      1240300300007 
ENDBIB               5          0                                 1240300300008 
COMMON               2          3                                 1240300300009 
EN-NRM     MONIT                                                  1240300300010 
EV         B                                                      1240300300011 
 0.0253     580.                                                  1240300300012 
ENDCOMMON            3          0                                 1240300300013 
DATA                 3        336                                 1240300300014 
EN         DATA       DATA-ERR                                    1240300300015 
MEV        B          B                                           1240300300016 
 1.11   -08 9.54   +02 3.5    +01                                 1240300300017 
 1.11   -08 8.65   +02 9.     +00                                 1240300300018 
 1.15   -08 9.51   +02 3.3    +01                                 1240300300019 
 1.19   -08 9.54   +02 3.2    +01                                 1240300300020 
 1.19   -08 8.81   +02 8.     +00                                 1240300300021 
 1.23   -08 8.50   +02 2.8    +01                                 1240300300022 
 1.28   -08 8.66   +02 2.7    +01                                 1240300300023 
 1.28   -08 8.07   +02 7.     +00                                 1240300300024 
 1.43   -08 7.78   +02 2.3    +01                                 1240300300025 
 1.48   -08 8.39   +02 2.4    +01                                 1240300300026 
 1.55   -08 7.91   +02 2.2    +01                                 1240300300027 
 1.61   -08 7.62   +02 2.0    +01                                 1240300300028 
 1.61   -08 7.25   +02 6.     +00                                 1240300300029 
 1.67   -08 7.42   +02 1.9    +01                                 1240300300030 
 1.75   -08 7.10   +02 5.     +00                                 1240300300031 
 1.82   -08 7.33   +02 1.8    +01                                 1240300300032 
 1.90   -08 6.89   +02 5.     +00                                 1240300300033 
 1.99   -08 6.83   +02 1.5    +01                                 1240300300034 
 2.08   -08 6.61   +02 1.4    +01                                 1240300300035 
 2.08   -08 6.41   +02 4.     +00                                 1240300300036 
 2.18   -08 6.19   +02 1.3    +01                                 1240300300037 
 2.28   -08 6.11   +02 4.     +00                                 1240300300038 
 2.29   -08 6.09   +02 1.2    +01                                 1240300300039 
 2.41   -08 6.02   +02 1.2    +01                                 1240300300040 
 2.53   -08 5.74   +02 1.1    +01                                 1240300300041 
 2.54   -08 5.84   +02 3.     +00                                 1240300300042 
 2.66   -08 5.48   +02 1.0    +01                                 1240300300043 
 2.80   -08 5.44   +02 1.0    +01                                 1240300300044 
 2.82   -08 5.46   +02 3.     +00                                 1240300300045 
 2.96   -08 5.42   +02 1.0    +01                                 1240300300046 
 3.14   -08 5.13   +02 3.     +00                                 1240300300047 
 3.32   -08 4.92   +02 8.     +00                                 1240300300048 
 3.52   -08 4.67   +02 7.     +00                                 1240300300049 
 3.52   -08 4.78   +02 2.     +00                                 1240300300050 
 3.74   -08 4.43   +02 8.     +00                                 1240300300051 
 3.98   -08 4.45   +02 7.     +00                                 1240300300052 
 3.98   -08 4.55   +02 2.     +00                                 1240300300053 
 4.2    -08 4.26   +02 4.     +00                                 1240300300054 
 4.55   -08 4.12   +02 2.     +00                                 1240300300055 
 4.6    -08 4.11   +02 4.     +00                                 1240300300056 
 4.9    -08 3.98   +02 4.     +00                                 1240300300057 
 5.2    -08 3.76   +02 4.     +00                                 1240300300058 
 5.24   -08 3.77   +02 2.     +00                                 1240300300059 
 6.08   -08 3.44   +02 1.     +00                                 1240300300060 
 6.6    -08 3.26   +02 3.     +00                                 1240300300061 
 7.1    -08 3.10   +02 3.     +00                                 1240300300062 
 7.11   -08 3.10   +02 1.     +00                                 1240300300063 
 8.43   -08 2.81   +02 1.     +00                                 1240300300064 
 9.3    -08 2.58   +02 2.     +00                                 1240300300065 
 1.02   -07 2.45   +02 2.     +00                                 1240300300066 
 1.13   -07 2.32   +02 2.     +00                                 1240300300067 
 1.25   -07 2.18   +02 2.     +00                                 1240300300068 
 1.26   -07 2.17   +02 1.     +00                                 1240300300069 
 1.58   -07 1.80   +02 1.     +00                                 1240300300070 
 1.78   -07 1.80   +02 2.     +00                                 1240300300071 
 1.84   -07 1.745  +02 6.0    +00                                 1240300300072 
 1.91   -07 1.873  +02 6.3    +00                                 1240300300073 
 1.97   -07 1.726  +02 5.6    +00                                 1240300300074 
 2.04   -07 1.704  +02 5.4    +00                                 1240300300075 
 2.04   -07 1.71   +02 2.     +00                                 1240300300076 
 2.04   -07 1.80   +02 1.     +00                                 1240300300077 
 2.20   -07 1.619  +02 4.8    +00                                 1240300300078 
 2.28   -07 1.740  +02 4.9    +00                                 1240300300079 
 2.38   -07 1.808  +02 4.9    +00                                 1240300300080 
 2.38   -07 1.81   +02 2.     +00                                 1240300300081 
 2.47   -07 1.834  +02 4.9    +00                                 1240300300082 
 2.68   -07 1.921  +02 4.8    +00                                 1240300300083 
 2.79   -07 1.867  +02 4.4    +00                                 1240300300084 
 2.80   -07 1.87   +02 2.     +00                                 1240300300085 
 2.91   -07 1.956  +02 4.7    +00                                 1240300300086 
 3.04   -07 1.851  +02 4.4    +00                                 1240300300087 
 3.18   -07 1.714  +02 4.1    +00                                 1240300300088 
 3.33   -07 1.752  +02 4.2    +00                                 1240300300089 
 3.34   -07 1.62   +02 2.     +00                                 1240300300090 
 3.49   -07 1.485  +02 3.7    +00                                 1240300300091 
 3.66   -07 1.446  +02 3.6    +00                                 1240300300092 
 3.84   -07 1.170  +02 3.1    +00                                 1240300300093 
 4.03   -07 1.195  +02 3.1    +00                                 1240300300094 
 4.04   -07 1.21   +02 1.6    +00                                 1240300300095 
 4.04   -07 1.213  +02 6.     -01                                 1240300300096 
 4.25   -07 1.050  +02 2.8    +00                                 1240300300097 
 4.48   -07 9.94   +01 3.9    +00                                 1240300300098 
 4.74   -07 8.97   +01 2.5    +00                                 1240300300099 
 4.97   -07 8.35   +01 2.4    +00                                 1240300300100 
 5.01   -07 8.60   +01 1.2    +00                                 1240300300101 
 5.29   -07 7.58   +01 2.2    +00                                 1240300300102 
 5.61   -07 6.93   +01 2.0    +00                                 1240300300103 
 5.97   -07 6.95   +01 2.0    +00                                 1240300300104 
 6.35   -07 6.16   +01 1.8    +00                                 1240300300105 
 6.35   -07 6.68   +01 1.0    +00                                 1240300300106 
 6.35   -07 6.91   +01 4.     -01                                 1240300300107 
 6.77   -07 6.53   +01 1.9    +00                                 1240300300108 
 7.25   -07 6.03   +01 1.7    +00                                 1240300300109 
 7.94   -07 5.85   +01 1.7    +00                                 1240300300110 
 8.34   -07 5.78   +01 8.     +00                                 1240300300111 
 8.45   -07 6.45   +01 5.0    +00                                 1240300300112 
 8.53   -07 5.48   +01 4.4    +00                                 1240300300113 
 8.57   -07 5.977  +01 3.77   +00                                 1240300300114 
 8.61   -07 6.10   +01 4.8    +00                                 1240300300115 
 8.70   -07 5.74   +01 4.6    +00                                 1240300300116 
 8.74   -07 6.105  +01 3.85   +00                                 1240300300117 
 8.77   -07 6.58   +01 4.9    +00                                 1240300300118 
 8.85   -07 5.99   +01 4.7    +00                                 1240300300119 
 8.90   -07 5.877  +01 3.71   +00                                 1240300300120 
 8.94   -07 6.70   +01 4.9    +00                                 1240300300121 
 9.06   -07 6.613  +01 4.17   +00                                 1240300300122 
 9.24   -07 6.418  +01 4.05   +00                                 1240300300123 
 9.43   -07 6.403  +01 4.04   +00                                 1240300300124 
 9.61   -07 6.433  +01 4.06   +00                                 1240300300125 
 9.79   -07 6.679  +01 4.22   +00                                 1240300300126 
 1.000  -06 6.288  +01 3.97   +00                                 1240300300127 
 1.003  -06 6.30   +01 4.4    -01                                 1240300300128 
 1.012  -06 7.76   +01 5.1    -01                                 1240300300129 
 1.022  -06 7.00   +01 4.7    -01                                 1240300300130 
 1.033  -06 6.96   +01 4.8    -01                                 1240300300131 
 1.040  -06 7.906  +01 4.16   +00                                 1240300300132 
 1.046  -06 8.09   +01 5.0    -01                                 1240300300133 
 1.057  -06 7.88   +01 5.0    -01                                 1240300300134 
 1.060  -06 8.882  +01 4.68   +00                                 1240300300135 
 1.067  -06 8.74   +01 5.4    -01                                 1240300300136 
 1.078  -06 8.21   +01 5.1    -01                                 1240300300137 
 1.082  -06 9.244  +01 4.87   +00                                 1240300300138 
 1.089  -06 8.81   +01 5.2    -01                                 1240300300139 
 1.100  -06 1.078  +02 6.1    -01                                 1240300300140 
 1.108  -06 1.021  +02 5.4    +00                                 1240300300141 
 1.112  -06 9.71   +01 5.5    -01                                 1240300300142 
 1.123  -06 1.016  +02 5.7    -01                                 1240300300143 
 1.129  -06 9.671  +01 5.09   +00                                 1240300300144 
 1.136  -06 1.130  +02 6.1    -01                                 1240300300145 
 1.14   -06 6.31   +01 8.     +00                                 1240300300146 
 1.152  -06 1.034  +02 5.4    +00                                 1240300300147 
 1.160  -06 9.444  +01 5.5    -01                                 1240300300148 
 1.173  -06 9.522  +01 5.6    -01                                 1240300300149 
