ENTRY            10413   20030220                             00001041300000001 
SUBENT        10413001   20030220                             00001041300100001 
BIB                 14         36                                 1041300100002 
INSTITUTE  (1USAORL)                                              1041300100003 
REFERENCE  (R,ORNL-4806,197401)                                   1041300100004 
AUTHOR     (W.E.Kinney,F.G.Perey)                                 1041300100005 
TITLE      Natural chromium and 52Cr neutron elastic and          1041300100006 
            inelastic scattering cross sections from 4.07 to      1041300100007 
            8.56 MeV                                              1041300100008 
FACILITY   (VDG,1USAORL) ORNL Van-de-Graaff pulsed at 2 MHz and   1041300100009 
            bunched.                                              1041300100010 
INC-SOURCE (D-D) D(D,N) Reaction using gas cells of length        1041300100011 
            1 and 2 cm. Neutron energy resolution between         1041300100012 
            60 and 70 keV.                                        1041300100013 
SAMPLE     Solid right circular cylinder 1.760 cm diameter,       1041300100014 
            2.86 cm high placed 10 to 30 cm from gas cell.        1041300100015 
METHOD     (TOF) 2.5 ns resolution (FWHM) 2 MHz repetition rate.  1041300100016 
DETECTOR   (SCIN) 12.5 cm dia ne-213 liquid scintillator viewed   1041300100017 
            by XP-1040 photomultipliers. Flight paths of 4 to 6   1041300100018 
            meters employed.                                      1041300100019 
MONITOR    (1-H-1(N,EL)1-H-1,,DA)                                 1041300100020 
CORRECTION Corrected for multiple scattering and other finite     1041300100021 
            sample size effects.                                  1041300100022 
ERR-ANALYS (DATA-ERR) Includes:                                   1041300100023 
           . uncertainties in geometric parameters,               1041300100024 
           . uncertainties in finite size corrections,            1041300100025 
           . statistics,                                          1041300100026 
           . uncertainties in residual background effects due     1041300100027 
             to peak stripping procedures.                        1041300100028 
           . estimated error in absolute value of detector        1041300100029 
             efficiency (7%).                                     1041300100030 
STATUS     (APRVD) Approved by author                             1041300100031 
           Data received on magnetic tape, Kinney, 2 May 1974.    1041300100032 
HISTORY    (19740918C)                                            1041300100033 
           (19760220A) Data added                                 1041300100034 
           (19760420A) Data added                                 1041300100035 
           (19830527A) Converted to REACTION formalism            1041300100036 
           (19840423A) BIB correction.                            1041300100037 
           (20030220A) Updated to new date formats, lower case.   1041300100038 
ENDBIB              36          0                                 1041300100039 
NOCOMMON             0          0                                 1041300100040 
ENDSUBENT           39          0                                 1041300199999 
SUBENT        10413002   20030220                             00001041300200001 
BIB                  2          2                                 1041300200002 
REACTION   (24-CR-0(N,EL)24-CR-0,,DA)                             1041300200003 
HISTORY    (19860319A) REACTION product added.                    1041300200004 
ENDBIB               2          0                                 1041300200005 
NOCOMMON             0          0                                 1041300200006 
DATA                 6        112                                 1041300200007 
EN         EN-RSL-HW  ANG-CM     DATA-CM    +DATA-ERR  -DATA-ERR  1041300200008 
8.56       0.05       101.28      1.71      27.7       35.3       1041300500097 
8.56       0.05       108.74      1.49      32.4       32.7       1041300500098 
8.56       0.05       120.64      1.44      35.1       38.4       1041300500099 
8.56       0.05       128.04      1.23      34.9       40.3       1041300500100 
8.56       0.05       135.43      1.37      34.6       25.7       1041300500101 
ENDDATA             90          0                                 1041300500102 
ENDSUBENT          101          0                                 1041300599999 
SUBENT        10413006   20030220                             00001041300600001 
BIB                  2          2                                 1041300600002 
REACTION   (24-CR-0(N,INL)24-CR-52,PAR,DA)                        1041300600003 
HISTORY    (19860319A) REACTION product added.                    1041300600004 
ENDBIB               2          0                                 1041300600005 
COMMON               2          3                                 1041300600006 
E-LVL      E-LVL                                                  1041300600007 
MEV        MEV                                                    1041300600008 
2.648      2.766                                                  1041300600009 
ENDCOMMON            3          0                                 1041300600010 
DATA                 6          9                                 1041300600011 
EN         EN-RSL-HW  ANG-CM     DATA-CM    +DATA-ERR  -DATA-ERR  1041300600012 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1041300600013 
4.65       0.07       71.64      12.18      14.4       20.8       1041300600014 
4.65       0.07       79.21      12.46      20.6       27.0       1041300600015 
4.65       0.07       86.75       9.64      18.0       25.3       1041300600016 
5.23       0.05       71.52       9.15      17.4       19.8       1041300600017 
5.23       0.05       79.08       9.93      15.8       29.6       1041300600018 
5.23       0.05       86.62       8.14      17.5       22.4       1041300600019 
5.50       0.05       48.67      11.04      16.2       26.8       1041300600020 
5.50       0.05       56.29       8.51      13.6       21.4       1041300600021 
5.50       0.05       63.90       8.83      25.4       31.9       1041300600022 
ENDDATA             11          0                                 1041300600023 
ENDSUBENT           22          0                                 1041300699999 
SUBENT        10413007   20030220                             00001041300700001 
BIB                  2          2                                 1041300700002 
REACTION   (24-CR-0(N,INL)24-CR-52,PAR,DA)                        1041300700003 
HISTORY    (19860319A) REACTION product added.                    1041300700004 
ENDBIB               2          0                                 1041300700005 
COMMON               1          3                                 1041300700006 
E-LVL                                                             1041300700007 
MEV                                                               1041300700008 
2.965                                                             1041300700009 
ENDCOMMON            3          0                                 1041300700010 
DATA                 6          9                                 1041300700011 
EN         EN-RSL-HW  ANG-CM     DATA-CM    +DATA-ERR  -DATA-ERR  1041300700012 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1041300700013 
4.65       0.07       71.76      13.98      15.0       20.9       1041300700014 
4.65       0.07       79.33      13.27      20.9       24.6       1041300700015 
4.65       0.07       86.86      11.09      17.7       18.0       1041300700016 
5.23       0.05       71.60       9.62      16.5       16.1       1041300700017 
5.23       0.05       79.17       9.45      18.5       27.0       1041300700018 
5.23       0.05       86.70       9.36      19.3       25.5       1041300700019 
5.50       0.05       48.72       9.59      19.8       20.5       1041300700020 
5.50       0.05       56.35       8.62      18.7       17.0       1041300700021 
5.50       0.05       63.96       9.84      19.1       29.2       1041300700022 
ENDDATA             11          0                                 1041300700023 
ENDSUBENT           22          0                                 1041300799999 
SUBENT        10413008   20030220                             00001041300800001 
BIB                  2          2                                 1041300800002 
REACTION   (24-CR-0(N,INL)24-CR-52,PAR,DA)                        1041300800003 
HISTORY    (19860319A) REACTION product added.                    1041300800004 
ENDBIB               2          0                                 1041300800005 
COMMON               2          3                                 1041300800006 
E-LVL      E-LVL                                                  1041300800007 
MEV        MEV                                                    1041300800008 
3.112      3.160                                                  1041300800009 
ENDCOMMON            3          0                                 1041300800010 
DATA                 6          9                                 1041300800011 
EN         EN-RSL-HW  ANG-CM     DATA-CM    +DATA-ERR  -DATA-ERR  1041300800012 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1041300800013 
4.65       0.07       71.88      13.58      15.2       20.9       1041300800014 
4.65       0.07       79.46      14.33      23.7       25.3       1041300800015 
4.65       0.07       87.00      12.15      18.7       22.5       1041300800016 
5.23       0.05       71.68      14.44      13.4       18.6       1041300800017 
5.23       0.05       79.25      11.74      12.9       21.0       1041300800018 
5.23       0.05       86.78      11.30      16.2       20.5       1041300800019 
5.50       0.05       48.78      12.09      18.3       26.1       1041300800020 
5.50       0.05       56.41       8.79      17.7       20.2       1041300800021 
5.50       0.05       64.03       8.33      19.8       27.7       1041300800022 
ENDDATA             11          0                                 1041300800023 
ENDSUBENT           22          0                                 1041300899999 
SUBENT        10413009   20030220                             00001041300900001 
BIB                  2          2                                 1041300900002 
REACTION   (24-CR-0(N,INL)24-CR-52,PAR,DA)                        1041300900003 
HISTORY    (19860319A) REACTION product added.                    1041300900004 
ENDBIB               2          0                                 1041300900005 
COMMON               2          3                                 1041300900006 
E-LVL      E-LVL                                                  1041300900007 
MEV        MEV                                                    1041300900008 
3.430      3.490                                                  1041300900009 
ENDCOMMON            3          0                                 1041300900010 
DATA                 6          9                                 1041300900011 
EN         EN-RSL-HW  ANG-CM     DATA-CM    +DATA-ERR  -DATA-ERR  1041300900012 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1041300900013 
4.65       0.07       71.88      13.58      15.2       20.9       1041300900014 
4.65       0.07       79.46      14.33      23.7       25.3       1041300900015 
4.65       0.07       87.00      12.15      18.7       22.5       1041300900016 
5.23       0.05       71.81      12.46      16.1       25.0       1041300900017 
5.23       0.05       79.39      13.30      13.7       20.2       1041300900018 
5.23       0.05       86.93      12.82      15.8       23.1       1041300900019 
5.50       0.05       48.86      10.84      18.3       30.6       1041300900020 
5.50       0.05       56.52      14.41      16.2       26.4       1041300900021 
5.50       0.05       64.15      13.61      15.4       28.4       1041300900022 
ENDDATA             11          0                                 1041300900023 
ENDSUBENT           22          0                                 1041300999999 
SUBENT        10413010   20030220                             00001041301000001 
BIB                  3          4                                 1041301000002 
REACTION   (24-CR-0(N,INL)24-CR-52,PAR,DA,,LEG/2L2)               1041301000003 
STATUS     (DEP,10413004)                                         1041301000004 
HISTORY    (19840423A) DATA line corrected.                       1041301000005 
           (19860319A) REACTION product added.                    1041301000006 
ENDBIB               4          0                                 1041301000007 
COMMON               1          3                                 1041301000008 
E-LVL                                                             1041301000009 
MEV                                                               1041301000010 
1.434                                                             1041301000011 
ENDCOMMON            3          0                                 1041301000012 
DATA                 5         21                                 1041301000013 
EN         EN-RSL-HW  NUMBER     DATA-CM    DATA-ERR              1041301000014 
MEV        MEV        NO-DIM     MB/SR      PER-CENT              1041301000015 
4.07       0.08       0.         60.31244    5.0                  1041301000016 
4.34       0.07       0.         47.60388     4.6                 1041301000017 
4.34       0.07       1.          0.27926   484.6                 1041301000018 
4.34       0.07       2.          1.86223    64.4                 1041301000019 
4.65       0.07       0.         32.32259     7.0                 1041301000020 
4.92       0.06       0.         42.93855     3.5                 1041301000021 
4.92       0.06       1.          2.02639    45.5                 1041301000022 
4.92       0.06       2.          4.19227    18.2                 1041301000023 
5.23       0.05       0.         22.73969     9.0                 1041301000024 
5.50       0.05       0.         23.89136     9.0                 1041301000025 
6.44       0.07       0.         21.85197     4.0                 1041301000026 
6.44       0.07       1.          0.48316   110.7                 1041301000027 
6.44       0.07       2.          2.69826    17.2                 1041301000028 
7.03       0.06       0.         11.64782     7.0                 1041301000029 
7.54       0.06       0.         15.35375     3.9                 1041301000030 
7.54       0.06       1.         -0.00133   100.0                 1041301000031 
7.54       0.06       2.          2.33334    15.3                 1041301000032 
8.04       0.05       0.          9.00857    10.0                 1041301000033 
8.56       0.05       0.         10.99744     5.5                 1041301000034 
8.56       0.05       1.          0.79444    47.9                 1041301000035 
8.56       0.05       2.          0.71028    47.5                 1041301000036 
ENDDATA             23          0                                 1041301000037 
ENDSUBENT           36          0                                 1041301099999 
SUBENT        10413011   20030220                             00001041301100001 
BIB                  1          1                                 1041301100002 
REACTION   (24-CR-52(N,EL)24-CR-52,,DA)                           1041301100003 
ENDBIB               1          0                                 1041301100004 
NOCOMMON             0          0                                 1041301100005 
DATA                 6         54                                 1041301100006 
EN         EN-RSL-HW  ANG-CM     DATA-CM    +DATA-ERR  -DATA-ERR  1041301100007 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1041301100008 
6.44       0.07        15.29     1954.92     4.4        5.7       1041301100009 
6.44       0.07        22.93     1440.22     4.4        6.1       1041301100010 
6.44       0.07        28.01     1147.87     4.1        3.9       1041301100011 
6.44       0.07        35.64      675.50     4.5        4.8       1041301100012 
6.44       0.07        43.25      329.01     5.8        5.1       1041301100013 
6.44       0.07        48.32      156.77     6.4        5.7       1041301100014 
6.44       0.07        55.91       46.71    16.4       12.0       1041301100015 
6.44       0.07        63.48       10.45    42.8       22.1       1041301100016 
6.44       0.07        71.04        5.85    48.8       34.3       1041301100017 
6.44       0.07        78.58        9.77    19.7       19.6       1041301100018 
6.44       0.07        86.10       15.82    11.9       12.2       1041301100019 
6.44       0.07        93.61       22.42    15.0       15.0       1041301100020 
6.44       0.07       101.09       27.78     7.7        9.7       1041301100021 
6.44       0.07       108.56       27.90     6.6        7.8       1041301100022 
6.44       0.07       120.46       24.75     7.5        8.2       1041301100023 
6.44       0.07       127.89       17.21     9.2        9.9       1041301100024 
6.44       0.07       135.29       15.01     9.8       14.6       1041301100025 
7.54       0.06        15.29     1974.98     4.8        7.5       1041301100026 
7.54       0.06        22.93     1349.41     5.1        6.6       1041301100027 
7.54       0.06        28.01      911.55     4.8        7.4       1041301100028 
7.54       0.06        35.64      482.87     5.7        9.6       1041301100029 
7.54       0.06        43.25      196.85     6.9        6.6       1041301100030 
7.54       0.06        48.32      109.96    12.0        4.7       1041301100031 
7.54       0.06        55.91       35.54    14.3       11.4       1041301100032 
7.54       0.06        63.48        8.86    19.2       32.9       1041301100033 
7.54       0.06        71.04        6.03    21.7       27.2       1041301100034 
7.54       0.06        78.58        8.21    13.5       20.7       1041301100035 
7.54       0.06        86.10       10.52    11.4       14.8       1041301100036 
7.54       0.06        93.60       14.96    12.2       14.2       1041301100037 
7.54       0.06       101.09       18.02     8.1        8.0       1041301100038 
7.54       0.06       108.55       20.77     7.0       10.7       1041301100039 
7.54       0.06       120.46       15.49    10.4       13.1       1041301100040 
7.54       0.06       127.88       10.47    10.8       14.2       1041301100041 
7.54       0.06       135.29        6.54    17.0       17.3       1041301100042 
8.56       0.05        15.29     2050.69     5.4        7.9       1041301100043 
8.56       0.05        22.92     1240.76     5.7        5.3       1041301100044 
8.56       0.05        28.01      736.22     6.9        4.1       1041301100045 
8.56       0.05        35.63      361.06     6.7        5.2       1041301100046 
8.56       0.05        43.25      143.86     7.9        7.5       1041301100047 
8.56       0.05        48.32      100.08     6.7        7.9       1041301100048 
8.56       0.05        55.91       22.58    13.7       12.8       1041301100049 
8.56       0.05        63.48        8.93    12.5       22.7       1041301100050 
8.56       0.05        71.04        6.79    21.8       32.8       1041301100051 
8.56       0.05        78.58        8.58    14.3       17.4       1041301100052 
8.56       0.05        86.10        9.86    12.4       17.0       1041301100053 
8.56       0.05        93.60       12.55    13.1       16.4       1041301100054 
8.56       0.05        93.61       12.74    11.0       17.1       1041301100055 
8.56       0.05       101.09       15.87     9.2       15.1       1041301100056 
8.56       0.05       101.09       13.51    18.6       20.5       1041301100057 
8.56       0.05       108.55       18.11     9.3       19.7       1041301100058 
8.56       0.05       108.55       16.23    10.8       15.8       1041301100059 
8.56       0.05       120.46       15.80     8.7       13.7       1041301100060 
8.56       0.05       127.88       10.11    14.4       15.8       1041301100061 
8.56       0.05       135.29        5.27    17.6       23.9       1041301100062 
ENDDATA             56          0                                 1041301100063 
ENDSUBENT           62          0                                 1041301199999 
SUBENT        10413012   20030220                             00001041301200001 
BIB                  2          2                                 1041301200002 
REACTION   (24-CR-52(N,EL)24-CR-52,,DA,,LEG/2L2)                  1041301200003 
STATUS     (DEP,10413011)                                         1041301200004 
ENDBIB               2          0                                 1041301200005 
NOCOMMON             0          0                                 1041301200006 
DATA                 5         31                                 1041301200007 
EN         EN-RSL-HW  NUMBER     DATA-CM    DATA-ERR              1041301200008 
MEV        MEV        NO-DIM     MB/SR      PER-CENT              1041301200009 
6.44       0.07        0.        354.97266   1.9                  1041301200010 
6.44       0.07        1.        285.54443   2.2                  1041301200011 
6.44       0.07        2.        223.00180   2.4                  1041301200012 
6.44       0.07        3.        158.17705   2.8                  1041301200013 
6.44       0.07        4.         89.73320   4.1                  1041301200014 
6.44       0.07        5.         40.09595   7.5                  1041301200015 
6.44       0.07        6.         14.05306  16.9                  1041301200016 
6.44       0.07        7.          2.07775  83.5                  1041301200017 
6.44       0.07        8.         -1.33218  82.2                  1041301200018 
6.44       0.07        9.         -1.07083  55.3                  1041301200019 
7.54       0.06        0.        300.55518   2.5                  1041301200020 
7.54       0.06        1.        251.15988   2.8                  1041301200021 
7.54       0.06        2.        201.86864   3.0                  1041301200022 
7.54       0.06        3.        150.44354   3.3                  1041301200023 
7.54       0.06        4.         95.93333   4.3                  1041301200024 
7.54       0.06        5.         53.04265   6.4                  1041301200025 
7.54       0.06        6.         27.62170  10.1                  1041301200026 
7.54       0.06        7.         12.18252  17.7                  1041301200027 
7.54       0.06        8.          4.47375  33.4                  1041301200028 
7.54       0.06        9.          1.66845  54.5                  1041301200029 
7.54       0.06       10.          0.58864  81.1                  1041301200030 
8.56       0.05        0.        268.49927   2.5                  1041301200031 
8.56       0.05        1.        226.42068   2.8                  1041301200032 
8.56       0.05        2.        185.15302   3.0                  1041301200033 
8.56       0.05        3.        142.47368   3.4                  1041301200034 
8.56       0.05        4.         95.47168   4.2                  1041301200035 
8.56       0.05        5.         57.52827   5.8                  1041301200036 
8.56       0.05        6.         33.21892   7.8                  1041301200037 
8.56       0.05        7.         16.75014  11.6                  1041301200038 
8.56       0.05        8.          7.63199  17.0                  1041301200039 
8.56       0.05       10.          1.08875  36.1                  1041301200040 
ENDDATA             33          0                                 1041301200041 
ENDSUBENT           40          0                                 1041301299999 
SUBENT        10413013   20030220                             00001041301300001 
BIB                  1          1                                 1041301300002 
REACTION   (24-CR-52(N,INL)24-CR-52,PAR,DA)                       1041301300003 
ENDBIB               1          0                                 1041301300004 
COMMON               1          3                                 1041301300005 
E-LVL                                                             1041301300006 
MEV                                                               1041301300007 
1.434                                                             1041301300008 
ENDCOMMON            3          0                                 1041301300009 
DATA                 6         51                                 1041301300010 
EN         EN-RSL-HW  ANG-CM     DATA-CM    +DATA-ERR  -DATA-ERR  1041301300011 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1041301300012 
6.44       0.07        35.72      7.64      75.4       22.8       1041301300013 
6.44       0.07        43.35     14.01      12.8       20.4       1041301300014 
6.44       0.07        48.43     14.63      18.2       18.2       1041301300015 
6.44       0.07        56.03     11.79      18.6       13.9       1041301300016 
6.44       0.07        63.62     10.58      13.9       15.3       1041301300017 
6.44       0.07        71.18     10.35      13.7       11.8       1041301300018 
6.44       0.07        78.73      8.69      17.9       14.2       1041301300019 
6.44       0.07        86.25      8.35      22.2       10.7       1041301300020 
6.44       0.07        93.76      8.93      18.2       14.9       1041301300021 
6.44       0.07       101.24      7.82      14.7       18.0       1041301300022 
6.44       0.07       108.70      9.69      13.8        7.7       1041301300023 
6.44       0.07       120.60     11.98      11.0       12.4       1041301300024 
6.44       0.07       128.00     12.95       8.6       18.7       1041301300025 
6.44       0.07       135.40     13.49      11.9       19.9       1041301300026 
7.03       0.06        71.17      7.43       7.3       10.5       1041301300027 
7.03       0.06        78.71      6.07       7.2       16.4       1041301300028 
7.03       0.06        86.24      5.52      11.4       12.9       1041301300029 
7.54       0.06        35.71     11.31      17.9       19.3       1041301300030 
7.54       0.06        43.33      9.51      14.0       23.1       1041301300031 
7.54       0.06        48.41      9.44      16.6       17.3       1041301300032 
7.54       0.06        56.01      8.00       9.8       10.3       1041301300033 
7.54       0.06        63.59      7.48      12.7       11.7       1041301300034 
7.54       0.06        71.16      7.35      12.8       12.2       1041301300035 
7.54       0.06        78.70      7.08       9.4       14.1       1041301300036 
7.54       0.06        86.22      6.15      15.1       12.5       1041301300037 
7.54       0.06        93.73      5.27      11.3       23.2       1041301300038 
7.54       0.06       101.21      5.70      12.0       23.0       1041301300039 
7.54       0.06       108.67      6.25      13.8       25.5       1041301300040 
7.54       0.06       120.57      9.01      26.8       15.5       1041301300041 
7.54       0.06       127.98     15.54       5.9       10.5       1041301300042 
7.54       0.06       135.38     16.45       7.2       11.4       1041301300043 
8.04       0.05        71.15      7.36       9.7       14.3       1041301300044 
8.04       0.05        78.69      6.68      14.2       17.4       1041301300045 
8.04       0.05        86.22      5.33      11.0       15.0       1041301300046 
8.56       0.05        35.70      8.95      15.3       29.1       1041301300047 
8.56       0.05        43.32      9.85      12.7       22.7       1041301300048 
8.56       0.05        48.39      6.44      15.0       17.7       1041301300049 
8.56       0.05        55.99      6.65      14.1       11.2       1041301300050 
8.56       0.05        63.58      6.23       9.2       15.3       1041301300051 
8.56       0.05        71.14      5.98      19.7       18.8       1041301300052 
8.56       0.05        78.68      6.30      13.9       21.6       1041301300053 
8.56       0.05        86.20      5.02      15.3       12.5       1041301300054 
8.56       0.05        93.71      5.50      18.1       33.6       1041301300055 
8.56       0.05        93.71      5.31      20.2       24.4       1041301300056 
8.56       0.05       101.19      4.78       33.8      36.2       1041301300057 
8.56       0.05       101.19      3.81      33.6       29.9       1041301300058 
8.56       0.05       108.65      6.13      19.8       33.2       1041301300059 
8.56       0.05       108.65      5.94      14.1       30.1       1041301300060 
8.56       0.05       120.56      6.63      25.9       13.6       1041301300061 
8.56       0.05       127.97      9.54      11.7       25.5       1041301300062 
8.56       0.05       135.36      7.93      13.3       28.6       1041301300063 
ENDDATA             53          0                                 1041301300064 
ENDSUBENT           63          0                                 1041301399999 
SUBENT        10413014   20030220                             00001041301400001 
BIB                  1          1                                 1041301400002 
REACTION   (24-CR-52(N,INL)24-CR-52,PAR,DA,,LEG/2L2)              1041301400003 
ENDBIB               1          0                                 1041301400004 
COMMON               1          3                                 1041301400005 
E-LVL                                                             1041301400006 
MEV                                                               1041301400007 
1.434                                                             1041301400008 
ENDCOMMON            3          0                                 1041301400009 
DATA                 5          9                                 1041301400010 
EN         EN-RSL-HW  NUMBER     DATA-CM    DATA-ERR              1041301400011 
MEV        MEV        NO-DIM     MB/SR      PER-CENT              1041301400012 
6.44       0.07       0.          23.31750     4.8                1041301400013 
6.44       0.07       1.          -0.09398   713.7                1041301400014 
6.44       0.07       2.           2.33285    26.5                1041301400015 
7.54       0.06       0.          20.93494     3.9                1041301400016 
7.54       0.06       1.          -2.15703    22.8                1041301400017 
7.54       0.06       2.           3.63094    12.1                1041301400018 
8.56       0.05       0.          13.80893     5.4                1041301400019 
8.56       0.05       1.          -0.01754  2601.6                1041301400020 
8.56       0.05       2.           1.37699    28.3                1041301400021 
ENDDATA             11          0                                 1041301400022 
ENDSUBENT           21          0                                 1041301499999 
SUBENT        10413015   20030220                             00001041301500001 
BIB                  1          1                                 1041301500002 
REACTION   (24-CR-52(N,INL)24-CR-52,PAR,DA)                       1041301500003 
ENDBIB               1          0                                 1041301500004 
COMMON               1          3                                 1041301500005 
E-LVL                                                             1041301500006 
MEV                                                               1041301500007 
2.369                                                             1041301500008 
ENDCOMMON            3          0                                 1041301500009 
DATA                 6         31                                 1041301500010 
EN         EN-RSL-HW  ANG-CM     DATA-CM    +DATA-ERR  -DATA-ERR  1041301500011 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1041301500012 
6.44       0.07        48.53     5.04       23.0       26.9       1041301500013 
6.44       0.07        56.15     3.43       55.4       19.4       1041301500014 
6.44       0.07        63.74     5.46       15.8       21.4       1041301500015 
6.44       0.07        71.32     5.64       25.1       18.8       1041301500016 
6.44       0.07        78.87     4.64       23.5       18.9       1041301500017 
6.44       0.07        86.39     5.14       21.6       23.7       1041301500018 
6.44       0.07        93.90     6.21       16.3       16.6       1041301500019 
6.44       0.07       101.38     4.90       16.9       14.3       1041301500020 
6.44       0.07       108.84     3.73       16.7       16.8       1041301500021 
6.44       0.07       120.72     5.01       13.3       24.6       1041301500022 
6.44       0.07       128.12     3.96       21.7       28.1       1041301500023 
6.44       0.07       135.50     4.23       11.2       19.1       1041301500024 
7.03       0.06        71.28     3.37       12.6       16.7       1041301500025 
7.03       0.06        78.83     3.21       10.6       14.0       1041301500026 
7.03       0.06        86.36     3.36       13.0       17.2       1041301500027 
7.54       0.06        43.40     3.74       31.9       36.0       1041301500028 
7.54       0.06        48.49     2.50       46.7       30.1       1041301500029 
7.54       0.06        56.10     2.73       15.2       26.3       1041301500030 
7.54       0.06        63.69     3.22       24.6       20.3       1041301500031 
7.54       0.06        71.26     3.41       28.4       27.4       1041301500032 
7.54       0.06        78.81     2.24       40.7       23.6       1041301500033 
7.54       0.06        86.33     2.97       15.0       17.1       1041301500034 
7.54       0.06        93.84     2.59       13.1       26.0       1041301500035 
7.54       0.06       101.32     2.38       14.5       25.7       1041301500036 
7.54       0.06       108.78     2.93       16.0       25.4       1041301500037 
7.54       0.06       120.67     2.02       19.4       25.7       1041301500038 
7.54       0.06       128.07     2.22       16.8       29.0       1041301500039 
7.54       0.06       135.46     1.78       14.8       25.7       1041301500040 
8.04       0.05        71.24     2.83       17.2       34.7       1041301500041 
8.04       0.05        78.79     3.07       19.9       21.1       1041301500042 
8.04       0.05        86.32     2.30       29.9       28.4       1041301500043 
ENDDATA             33          0                                 1041301500044 
ENDSUBENT           43          0                                 1041301599999 
SUBENT        10413016   20030220                             00001041301600001 
BIB                  2          2                                 1041301600002 
REACTION   (24-CR-0(N,INL)24-CR-52,PAR,DA)                        1041301600003 
HISTORY    (19860319A) REACTION product added.                    1041301600004 
ENDBIB               2          0                                 1041301600005 
COMMON               4          3                                 1041301600006 
EN         EN-RSL-HW  E-LVL      E-LVL                            1041301600007 
MEV        MEV        MEV        MEV                              1041301600008 
  8.56     0.05         2.369      2.648                          1041301600009 
ENDCOMMON            3          0                                 1041301600010 
DATA                 4          1                                 1041301600011 
ANG-CM     DATA       +DATA-ERR  -DATA-ERR                        1041301600012 
ADEG       MB/SR      PER-CENT   PER-CENT                         1041301600013 
  48.46          1.46    15.7       15.7                          1041301600014 
ENDDATA              3          0                                 1041301600015 
ENDSUBENT           14          0                                 1041301699999 
SUBENT        10413017   20030220                             00001041301700001 
BIB                  3          4                                 1041301700002 
REACTION   (24-CR-0(N,EL)24-CR-0,,SIG)                            1041301700003 
STATUS     (DEP,10413002) Determined from measured angular        1041301700004 
            distributions.                                        1041301700005 
HISTORY    (19860319A) REACTION product added.                    1041301700006 
ENDBIB               4          0                                 1041301700007 
NOCOMMON             0          0                                 1041301700008 
DATA                 4          5                                 1041301700009 
EN         EN-RSL-HW  DATA       DATA-ERR                         1041301700010 
MEV        MEV        MB         PER-CENT                         1041301700011 
  4.34     0.07        2440.99     7.3                            1041301700012 
  4.92     0.06        2444.91     7.2                            1041301700013 
  6.44     0.07        2179.62     7.2                            1041301700014 
  7.54     0.06        1914.65     7.3                            1041301700015 
  8.56     0.05        1790.91     7.5                            1041301700016 
ENDDATA              7          0                                 1041301700017 
ENDSUBENT           16          0                                 1041301799999 
SUBENT        10413018   20030220                             00001041301800001 
BIB                  3          4                                 1041301800002 
REACTION   (24-CR-0(N,INL)24-CR-52,PAR,SIG)                       1041301800003 
STATUS     (DEP,10413004) Determined from measured angular        1041301800004 
            distributions.                                        1041301800005 
HISTORY    (19860319A) REACTION product added.                    1041301800006 
ENDBIB               4          0                                 1041301800007 
COMMON               1          3                                 1041301800008 
E-LVL                                                             1041301800009 
MEV                                                               1041301800010 
  1.434                                                           1041301800011 
ENDCOMMON            3          0                                 1041301800012 
DATA                 4         11                                 1041301800013 
EN         EN-RSL-HW  DATA       DATA-ERR                         1041301800014 
MEV        MEV        MB         PER-CENT                         1041301800015 
  4.07     0.08         378.95     9.0                            1041301800016 
  4.34     0.07         299.10     8.4                            1041301800017 
  4.65     0.07         203.09    10.6                            1041301800018 
  4.92     0.06         269.79     7.8                            1041301800019 
  5.23     0.05         142.88    11.5                            1041301800020 
  5.50     0.05         150.11    11.9                            1041301800021 
  6.44     0.07         137.30     8.1                            1041301800022 
  7.03     0.06          73.19    10.2                            1041301800023 
  7.54     0.06          96.47     8.0                            1041301800024 
  8.04     0.05          56.60    12.6                            1041301800025 
  8.56     0.05          69.10     8.9                            1041301800026 
ENDDATA             13          0                                 1041301800027 
ENDSUBENT           26          0                                 1041301899999 
SUBENT        10413019   20030220                             00001041301900001 
BIB                  3          4                                 1041301900002 
REACTION   (24-CR-0(N,INL)24-CR-52,PAR,SIG)                       1041301900003 
STATUS     (DEP,10413005) Determined from measured angular        1041301900004 
            distributions.                                        1041301900005 
HISTORY    (19860319A) REACTION product added.                    1041301900006 
ENDBIB               4          0                                 1041301900007 
COMMON               1          3                                 1041301900008 
E-LVL                                                             1041301900009 
MEV                                                               1041301900010 
  2.369                                                           1041301900011 
ENDCOMMON            3          0                                 1041301900012 
DATA                 4         11                                 1041301900013 
EN         EN-RSL-HW  DATA       DATA-ERR                         1041301900014 
MEV        MEV        MB         PER-CENT                         1041301900015 
  4.07     0.08         103.43    17.5                            1041301900016 
  4.34     0.07         117.41    10.3                            1041301900017 
  4.65     0.07         107.43    13.2                            1041301900018 
  4.92     0.06         100.71    10.6                            1041301900019 
