ENTRY            13500   19920421                             00001350000000001 
SUBENT        13500001   19920421                             00001350000100001 
BIB                 15         32                                 1350000100002 
INSTITUTE  (1USAORL)                                              1350000100003 
REFERENCE  (C,91JUELIC,,(O31),9105)                               1350000100004 
           (R,ORNL-TM-11671,9009)                                 1350000100005 
AUTHOR     (J.K.DICKENS,C.Y.FU,D.M.HETRICK,D.C.LARSON,J.H.TODD)   1350000100006 
TITLE      EXPERIMENTAL AND CALCULATED EXCITATION FUNCTIONS FOR   1350000100007 
            DISCRETE-LINE GAMMA-RAY PRODUCTION DUE TO 1-40 MEV    1350000100008 
            NEUTRON INTERACTIONS WITH 56FE.                       1350000100009 
FACILITY   (LINAC) ORELA                                          1350000100010 
INC-SOURCE (PHOTO) ELECTRONS ON TANTALUM+BERYLIUM BLOCK TARGET    1350000100011 
SAMPLE     POWDERED METAL SAMPLE, ENRICHED TO 99.93% 56FE. SAMPLE 1350000100012 
            IMPURITIES: 0.01% CU, 0.1% SI.                        1350000100013 
METHOD     (TOF) TIME-OF-FLIGHT USED TO DETERMINE NEUTRON ENERGY  1350000100014 
DETECTOR   (GE-IN) HIGH-RESOLUTION INTRINSIC GERMANIUM DETECTOR   1350000100015 
           (SCIN) FLUX MONITORED BY NE-110 SCINTILLATION DETECTOR 1350000100016 
MONITOR    DETECTOR ENERGY AND EFFICIENCY CALIBRATED USING        1350000100017 
            STANDARD RADIOACTIVE SOURCES.                         1350000100018 
ANALYSIS   USED COMPUTER CODES GRPGLI (MODIFICATION OF TPASS,     1350000100019 
            ORNL-5732) AND PLOTDATA (ORNL/TM-10191).              1350000100020 
CORRECTION CORRECTED FOR:                                         1350000100021 
           .ABSORPTION OF GAMMA RADIATION BY SAMPLE               1350000100022 
           .ATTENUATION OF THE INCIDENT NEUTRON BEAM              1350000100023 
           .MULTIPLE SCATTERING                                   1350000100024 
           .TIME SLEWING                                          1350000100025 
ERR-ANALYS (ERR-T) TOTAL 1-SIGMA UNCERTAINTIES.  DOMINATED BY     1350000100026 
            STATISTICAL UNCERTAINTIES. SEE TABLES 2 AND 3 IN      1350000100027 
            REPORT FOR SYSTEMATIC UNCERTAINTY DETAILS.            1350000100028 
STATUS     DATA RECEIVED BY E-MAIL FROM J.K.DICKENS AND           1350000100029 
            D.C.LARSON, 91/1/15                                   1350000100030 
           (APRVD) J.K.DICKENS, 91/7/9                            1350000100031 
HISTORY    (910123C)                                              1350000100032 
           (910916A) REFERENCE UPDATE                             1350000100033 
           (920421U) BIB UPDATE                                   1350000100034 
ENDBIB              32          0                                 1350000100035 
NOCOMMON             0          0                                 1350000100036 
ENDSUBENT           35          0                                 1350000199999 
SUBENT        13500002   19910124                             00001350000200001 
BIB                  2          3                                 1350000200002 
REACTION   (26-FE-56(N,INL)26-FE-56,PAR,SIG,G,AV)                 1350000200003 
STATUS     DATA FOR 1312.2 AND 1360.3 KEV GAMMA RECEIVED IN       1350000200004 
            PRIVATE COMMUNICATION FROM K.DICKENS, 6/14/91         1350000200005 
ENDBIB               3          0                                 1350000200006 
NOCOMMON             0          0                                 1350000200007 
DATA                 5        204                                 1350000200008 
E          EN-MIN     EN-MAX     DATA       ERR-T                 1350000200009 
  771.6      22.82     25.20       14.7       3.4                 1350000600042 
  771.6      25.20     27.99        9.2       2.6                 1350000600043 
  771.6      27.99     30.40        8.8       4.1                 1350000600044 
  771.6      30.40     33.15       11.0       3.8                 1350000600045 
  931.3      12.98     13.97       23.2       2.1                 1350000600046 
  931.3      13.97     15.09       84.1       7.4                 1350000600047 
  931.3      15.09     16.69      185.8      13.8                 1350000600048 
  931.3      16.69     18.55      187.1       7.6                 1350000600049 
  931.3      18.55     20.76      188.9       7.9                 1350000600050 
  931.3      20.76     22.82      179.9       8.7                 1350000600051 
  931.3      22.82     25.20      153.1       7.0                 1350000600052 
  931.3      25.20     27.99      101.1       7.1                 1350000600053 
  931.3      27.99     30.40       68.7       7.5                 1350000600054 
  931.3      30.40     33.15       38.8       6.9                 1350000600055 
  931.3      33.15     36.29       33.5       7.3                 1350000600056 
  931.3      36.29     38.64       25.8       5.6                 1350000600057 
  931.3      38.64     41.23       17.0       6.5                 1350000600058 
 1222.5      13.97     15.09        4.4       2.5                 1350000600059 
 1222.5      15.09     16.69       20.6       2.1                 1350000600060 
 1222.5      16.69     18.55       67.5       5.2                 1350000600061 
 1222.5      18.55     20.76       92.3       5.3                 1350000600062 
 1222.5      20.76     22.82       95.1       5.3                 1350000600063 
 1222.5      22.82     25.20       92.6       5.2                 1350000600064 
 1222.5      25.20     27.99       63.9       4.6                 1350000600065 
 1222.5      27.99     30.40       48.4       5.5                 1350000600066 
 1222.5      30.40     33.15       24.4       4.7                 1350000600067 
 1222.5      33.15     36.29       15.5       4.0                 1350000600068 
 1222.5      36.29     38.64        8.3       3.6                 1350000600069 
 1222.5      38.64     41.23        6.5       3.3                 1350000600070 
 1316.4      12.98     13.97        8.3       3.8                 1350000600071 
 1316.4      13.97     15.09       53.7       5.9                 1350000600072 
 1316.4      15.09     16.69      112.9       9.6                 1350000600073 
 1316.4      16.69     18.55      147.8       7.5                 1350000600074 
 1316.4      18.55     20.76      178.4       8.1                 1350000600075 
 1316.4      20.76     22.82      176.0       8.3                 1350000600076 
 1316.4      22.82     25.20      165.6       8.0                 1350000600077 
 1316.4      25.20     27.99      106.2       7.9                 1350000600078 
 1316.4      27.99     30.40       62.2       9.9                 1350000600079 
 1316.4      30.40     33.15       44.1       7.9                 1350000600080 
 1316.4      33.15     36.29       22.6       5.3                 1350000600081 
 1316.4      36.29     38.64       16.1       4.8                 1350000600082 
 1316.4      38.64     41.23       15.9       5.0                 1350000600083 
 1370.0      13.97     15.09        3.7       3.0                 1350000600084 
 1370.0      15.09     16.69       15.9       3.0                 1350000600085 
 1370.0      16.69     18.55       28.1       2.5                 1350000600086 
 1370.0      18.55     20.76       26.3       2.3                 1350000600087 
 1370.0      20.76     22.82       26.6       3.6                 1350000600088 
 1370.0      22.82     25.20       29.8       2.7                 1350000600089 
 1370.0      25.20     27.99       26.0       4.1                 1350000600090 
 1370.0      27.99     30.40       17.6       6.3                 1350000600091 
 1370.0      30.40     33.15       11.5       2.9                 1350000600092 
 1370.0      33.15     36.29        9.4       3.5                 1350000600093 
 1370.0      36.29     41.23        3.6       3.4                 1350000600094 
 1408.3      12.98     13.97        2.8       3.4                 1350000600095 
 1408.3      13.97     15.09       23.7       4.8                 1350000600096 
 1408.3      15.09     16.69       54.3       7.6                 1350000600097 
 1408.3      16.69     18.55       49.4       4.6                 1350000600098 
 1408.3      18.55     20.76       57.7       3.5                 1350000600099 
 1408.3      20.76     22.82       57.8       4.9                 1350000600100 
ENDDATA             94          0                                 1350000600101 
ENDSUBENT          100          0                                 1350000699999 
SUBENT        13500007   19910124                             00001350000700001 
BIB                  3          6                                 1350000700002 
REACTION   (26-FE-56(N,2N)26-FE-55,PAR,SIG,G,AV)                  1350000700003 
CORRECTION NOT CORRECTED FOR TIME SLEWING                         1350000700004 
FLAG       (1.) RESOLVED FROM 271KEV GAMMA DUE TO TRANSITION IN   1350000700005 
                56MN                                              1350000700006 
           (2.) CORRECTED FOR BACKGROUND RADIATION FROM           1350000700007 
                206PB(N,N'GAMMA)                                  1350000700008 
ENDBIB               6          0                                 1350000700009 
COMMON               2          3                                 1350000700010 
EN-MIN     EN-MAX                                                 1350000700011 
MEV        MEV                                                    1350000700012 
15.1       22.8                                                   1350000700013 
ENDCOMMON            3          0                                 1350000700014 
DATA                 4         27                                 1350000700015 
E          DATA       ERR-T      FLAG                             1350000700016 
KEV        MB         MB         NO-DIM                           1350000700017 
   274.8     33.1       1.0       1.                              1350000700018 
   385.3     13.        0.                                        1350000700019 
   411.8     38.3       1.2                                       1350000700020 
   477.2     64.7       1.7                                       1350000700021 
   532.5      5.4       1.0                                       1350000700022 
   771.6     12.7       1.7                                       1350000700023 
   803.4     40.       10.        2.                              1350000700024 
   827.1      6.3       1.6                                       1350000700025 
   931.3    182.        5.                                        1350000700026 
   984.6      4.6       1.0                                       1350000700027 
  1213.0      5.5       1.1                                       1350000700028 
  1222.5     64.0       2.9                                       1350000700029 
  1316.5    147.        4.                                        1350000700030 
  1369.7     24.2       1.6                                       1350000700031 
  1408.4     53.1       1.8                                       1350000700032 
  1507.1      2.0       1.1                                       1350000700033 
  1556.0      2.0       1.3                                       1350000700034 
  1576.0      2.9       1.2                                       1350000700035 
  1622.3      1.0       1.0                                       1350000700036 
  1640.5      0.0       0.9                                       1350000700037 
  1792.1      1.3       1.4                                       1350000700038 
  1918.3      2.6       1.0                                       1350000700039 
  2051.6      2.6       1.5                                       1350000700040 
  2058.4      0.4       1.3                                       1350000700041 
  2143.5      0.0       1.3                                       1350000700042 
  2177.6      1.1       1.5                                       1350000700043 
  2470.2      2.8       1.3                                       1350000700044 
ENDDATA             29          0                                 1350000700045 
ENDSUBENT           44          0                                 1350000799999 
SUBENT        13500008   19910124                             00001350000800001 
BIB                  1          1                                 1350000800002 
REACTION   (26-FE-56(N,X)25-MN-55,PAR,SIG,G,AV)                   1350000800003 
ENDBIB               1          0                                 1350000800004 
NOCOMMON             0          0                                 1350000800005 
DATA                 5         36                                 1350000800006 
E          EN-MIN     EN-MAX     DATA       ERR-T                 1350000800007 
KEV        MEV        MEV        MB         MB                    1350000800008 
  125.95      9.90      10.56       0.2        2.0                1350000800009 
  125.95     10.56      11.28       0.7        3.3                1350000800010 
  125.95     11.28      12.09      29.4       15.0                1350000800011 
  125.95     12.09      12.98      44.5        6.5                1350000800012 
  125.95     12.98      13.97      62.9        3.6                1350000800013 
  125.95     13.97      15.09      91.6        5.9                1350000800014 
  125.95     15.09      16.69      93.7        6.0                1350000800015 
  125.95     16.69      18.55     110.5       11.9                1350000800016 
  125.95     18.55      20.76     114.        18.                 1350000800017 
  125.95     20.76      22.82     131.        34.                 1350000800018 
  125.95     22.82      25.20     122.        31.                 1350000800019 
  125.95     25.20      27.99     101.        26.                 1350000800020 
  125.95     27.99      30.40      72.        18.                 1350000800021 
  125.95     30.40      33.15      72.        22.                 1350000800022 
  125.95     33.15      36.29      53.1       16.5                1350000800023 
  858.2      15.09      16.69      21.1        4.8                1350000800024 
  858.2      16.69      18.55      31.3        5.3                1350000800025 
  858.2      18.55      20.76      35.4        4.3                1350000800026 
  858.2      20.76      22.82      42.8        4.3                1350000800027 
  858.2      22.82      25.20      48.4        6.1                1350000800028 
  858.2      25.20      27.99      45.1        6.1                1350000800029 
  858.2      27.99      30.40      46.3        6.2                1350000800030 
  858.2      30.40      33.15      27.5        4.6                1350000800031 
  858.2      33.15      36.29      17.9        3.6                1350000800032 
  858.2      36.29      38.64       7.2        4.2                1350000800033 
 1166.3      15.09      16.69       5.6        2.9                1350000800034 
 1166.3      16.69      18.55      19.0        1.9                1350000800035 
 1166.3      18.55      20.76      22.5        3.0                1350000800036 
 1166.3      20.76      22.82      25.7        3.2                1350000800037 
 1166.3      22.82      25.20      41.1        3.2                1350000800038 
 1166.3      25.20      27.99      33.6        2.8                1350000800039 
 1166.3      27.99      30.40      28.5        5.5                1350000800040 
 1166.3      30.40      33.15      35.5        3.9                1350000800041 
 1166.3      33.15      36.29      17.9        5.3                1350000800042 
 1166.3      36.29      38.64      19.9        5.4                1350000800043 
 1166.3      38.64      41.23      11.1        5.4                1350000800044 
ENDDATA             38          0                                 1350000800045 
ENDSUBENT           44          0                                 1350000899999 
SUBENT        13500009   19910124                             00001350000900001 
BIB                  2          2                                 1350000900002 
REACTION   (26-FE-56(N,X)25-MN-55,PAR,SIG,G,AV)                   1350000900003 
CORRECTION NOT CORRECTED FOR TIME SLEWING                         1350000900004 
ENDBIB               2          0                                 1350000900005 
COMMON               2          3                                 1350000900006 
EN-MIN     EN-MAX                                                 1350000900007 
MEV        MEV                                                    1350000900008 
18.6       28.0                                                   1350000900009 
ENDCOMMON            3          0                                 1350000900010 
DATA                 3          7                                 1350000900011 
E          DATA       ERR-T                                       1350000900012 
KEV        MB         MB                                          1350000900013 
   308.1     10.0        0.7                                      1350000900014 
   858.2     42.8        2.2                                      1350000900015 
  1019.42     8.3        0.7                                      1350000900016 
  1166.3     28.1        1.9                                      1350000900017 
  1293.0      4.3        1.6                                      1350000900018 
  1528.3      6.8        1.4                                      1350000900019 
  2198.5      3.0        1.7                                      1350000900020 
ENDDATA              9          0                                 1350000900021 
ENDSUBENT           20          0                                 1350000999999 
SUBENT        13500010   19910124                             00001350001000001 
BIB                  1          1                                 1350001000002 
REACTION   (26-FE-56(N,N+A)24-CR-52,PAR,SIG,G,AV)                 1350001000003 
ENDBIB               1          0                                 1350001000004 
NOCOMMON             0          0                                 1350001000005 
DATA                 5         30                                 1350001000006 
E          EN-MIN     EN-MAX     DATA       ERR-T                 1350001000007 
KEV        MEV        MEV        MB         MB                    1350001000008 
  744.2      22.82      25.20       5.6        4.0                1350001000009 
  744.2      25.20      27.99      13.6        4.1                1350001000010 
  744.2      27.99      30.40      21.9        4.6                1350001000011 
  744.2      30.40      33.15      12.9        4.2                1350001000012 
  744.2      33.15      38.64      10.2        3.2                1350001000013 
  935.5      15.09      18.55       3.2        1.8                1350001000014 
  935.5      18.55      20.76      11.5        3.0                1350001000015 
  935.5      20.76      22.82      19.1        3.7                1350001000016 
  935.5      22.82      25.20      20.6        3.8                1350001000017 
  935.5      25.20      27.99      20.7        4.4                1350001000018 
  935.5      27.99      30.40      27.8        5.0                1350001000019 
  935.5      30.40      33.15      26.2        5.8                1350001000020 
  935.5      33.15      36.29      22.9        5.0                1350001000021 
  935.5      36.29      38.64      19.2        8.3                1350001000022 
 1333.6      15.09      18.55       2.1        1.9                1350001000023 
 1333.6      18.55      22.82      10.6        4.9                1350001000024 
 1333.6      22.82      25.20      19.5        2.3                1350001000025 
 1333.6      25.20      27.99      25.3        4.5                1350001000026 
 1333.6      27.99      33.15      18.2        3.2                1350001000027 
 1333.6      33.15      38.64       9.7        3.1                1350001000028 
 1434.1      12.98      15.09       2.9        2.0                1350001000029 
 1434.1      15.09      18.55       7.7        2.0                1350001000030 
 1434.1      18.55      20.76      26.0        3.9                1350001000031 
 1434.1      20.76      22.82      41.5        5.5                1350001000032 
 1434.1      22.82      25.20      51.1        6.2                1350001000033 
 1434.1      25.20      27.99      60.9        6.2                1350001000034 
 1434.1      27.99      30.40      49.9        5.5                1350001000035 
 1434.1      30.40      33.15      35.8        5.7                1350001000036 
 1434.1      33.15      36.29      34.1        5.6                1350001000037 
 1434.1      36.29      38.64      24.5        6.0                1350001000038 
ENDDATA             32          0                                 1350001000039 
ENDSUBENT           38          0                                 1350001099999 
SUBENT        13500011   19910124                             00001350001100001 
BIB                  1          1                                 1350001100002 
REACTION   (26-FE-56(N,3N)26-FE-54,PAR,SIG,G,AV)                  1350001100003 
ENDBIB               1          0                                 1350001100004 
NOCOMMON             0          0                                 1350001100005 
DATA                 5         17                                 1350001100006 
E          EN-MIN     EN-MAX     DATA       ERR-T                 1350001100007 
KEV        MEV        MEV        MB         MB                    1350001100008 
  756.6      25.20      27.99       3.6       4.0                 1350001100009 
  756.6      27.99      33.15       7.5       3.7                 1350001100010 
  756.6      33.15      38.64      10.8       1.7                 1350001100011 
 1129.9      23.45      25.20       2.9       3.6                 1350001100012 
 1129.9      25.20      27.99       9.5       2.5                 1350001100013 
 1129.9      27.99      30.40      44.7       6.7                 1350001100014 
 1129.9      30.40      33.15      58.4       6.8                 1350001100015 
 1129.9      33.15      36.29      68.2       6.7                 1350001100016 
 1129.9      36.29      38.64      44.3       7.6                 1350001100017 
 1129.9      38.64      41.23      18.8       7.7                 1350001100018 
 1408.1      22.82      25.20       0.4        5.9                1350001100019 
 1408.1      25.20      27.99      23.7        6.2                1350001100020 
 1408.1      27.99      30.40      58.1        8.5                1350001100021 
 1408.1      30.40      33.15      78.9        9.2                1350001100022 
 1408.1      33.15      36.29      92.7        9.3                1350001100023 
 1408.1      36.29      38.64      77.2       12.0                1350001100024 
 1408.1      38.64      41.23      53.0       13.6                1350001100025 
ENDDATA             19          0                                 1350001100026 
ENDSUBENT           25          0                                 1350001199999 
SUBENT        13500012   19910124                             00001350001200001 
BIB                  1          1                                 1350001200002 
REACTION   (26-FE-56(N,X)25-MN-54,PAR,SIG,G,AV)                   1350001200003 
ENDBIB               1          0                                 1350001200004 
NOCOMMON             0          0                                 1350001200005 
DATA                 5         32                                 1350001200006 
E          EN-MIN     EN-MAX     DATA       ERR-T                 1350001200007 
KEV        MEV        MEV        MB         MB                    1350001200008 
  156.2      15.09      16.69       1.4       3.2                 1350001200009 
  156.2      16.69      18.55       9.8       6.2                 1350001200010 
  156.2      18.55      20.76      17.4       3.1                 1350001200011 
  156.2      20.76      22.82      19.4       2.9                 1350001200012 
  156.2      22.82      25.20      22.9       2.6                 1350001200013 
  156.2      25.20      27.99      37.2       2.8                 1350001200014 
  156.2      27.99      30.40      80.4      12.9                 1350001200015 
  156.2      30.40      33.15      82.1      14.1                 1350001200016 
  156.2      33.15      36.29      92.       20.                  1350001200017 
  156.2      36.29      38.64     107.       33.                  1350001200018 
  156.2      38.64      41.23     144.       69.                  1350001200019 
  211.6      16.69      18.55       3.9       2.8                 1350001200020 
  211.6      18.55      20.76       8.5       1.9                 1350001200021 
  211.6      20.76      22.82       9.2       1.8                 1350001200022 
  211.6      22.82      25.20      18.2       2.0                 1350001200023 
  211.6      25.20      27.99      33.8       3.2                 1350001200024 
  211.6      27.99      30.40      42.8       4.9                 1350001200025 
  211.6      30.40      33.15      69.6       9.0                 1350001200026 
  211.6      33.15      36.29      71.8      10.1                 1350001200027 
  211.6      36.29      38.64      85.       16.                  1350001200028 
  211.6      38.64      41.23      96.       25.                  1350001200029 
  251.3      20.76      25.20       0.4       1.1                 1350001200030 
  251.3      25.20      30.40       4.2       2.2                 1350001200031 
  251.3      30.40      36.29       9.4       3.1                 1350001200032 
  251.3      36.29      41.23       6.6       1.3                 1350001200033 
  705.4      22.82      25.20       5.6       3.0                 1350001200034 
  705.4      25.20      27.99       8.0       4.0                 1350001200035 
  705.4      27.99      30.40      30.3       6.9                 1350001200036 
  705.4      30.40      33.15      41.8       9.2                 1350001200037 
  705.4      33.15      36.29      42.6       6.5                 1350001200038 
  705.4      36.29      38.64      53.8       7.9                 1350001200039 
  705.4      38.64      41.23      70.4       9.9                 1350001200040 
ENDDATA             34          0                                 1350001200041 
ENDSUBENT           40          0                                 1350001299999 
ENDENTRY            12          0                                 1350099999999 
