ENTRY            11224   19860121                             00001122400000001 
SUBENT        11224001   19860121                             00001122400100001 
BIB                 11         14                                 1122400100002 
INSTITUTE  (1USAANL)                                              1122400100003 
REFERENCE  (J,PR,107,1077,57)                                     1122400100004 
AUTHOR     (A.LANGSDORF JR,R.O.LANE,J.E.MONAHAN)                  1122400100005 
TITLE      ANGULAR DISTRIBUTIONS OF SCATTERED NEUTRONS.           1122400100006 
FACILITY   (VDG)                                                  1122400100007 
INC-SOURCE (P-LI7)                                                1122400100008 
DETECTOR   (MTANK) MODERATING TANK DETECTOR                       1122400100009 
MONITOR    (6-C-0(N,EL)6-C-0,,SIG)                                1122400100010 
CORRECTION CORRECTED FOR MULTIPLE SCATTERING AND ANGULAR          1122400100011 
            RESOLUTION.                                           1122400100012 
STATUS     (SCSRS)                                                1122400100013 
HISTORY    (760929T) TRANSLATED FROM SCISRS                       1122400100014 
           (800820A) CONVERTED TO REACTION FORMALISM              1122400100015 
           (860121A) BIB CORRECTIONS.                             1122400100016 
ENDBIB              14          0                                 1122400100017 
NOCOMMON             0          0                                 1122400100018 
ENDSUBENT           17          0                                 1122400199999 
SUBENT        11224002   19860917                             00001122400200001 
BIB                  3          3                                 1122400200002 
REACTION   (4-BE-9(N,EL)4-BE-9,,SIG)                              1122400200003 
STATUS     (DEP,11224003) INTEGRATED ANGULAR DISTRIBUTION.        1122400200004 
HISTORY    (860917A) REACTION UPDATED.                            1122400200005 
ENDBIB               3          0                                 1122400200006 
NOCOMMON             0          0                                 1122400200007 
DATA                 3         20                                 1122400200008 
EN         DATA       DATA-ERR                                    1122400200009 
MEV        B          PER-CENT                                    1122400200010 
 3.0    -02 5.90   +00   10.                                      1122400200011 
 6.0    -02 5.77   +00   10.                                      1122400200012 
 1.35   -01 5.23   +00   10.                                      1122400200013 
 2.30   -01 4.53   +00   10.                                      1122400200014 
 3.15   -01 4.10   +00   10.                                      1122400200015 
 3.30   -01 4.03   +00   10.                                      1122400200016 
 3.97   -01 3.85   +00   10.                                      1122400200017 
 4.77   -01 3.52   +00   10.                                      1122400200018 
 5.60   -01 3.49   +00   10.                                      1122400200019 
 6.40   -01 4.55   +00   10.                                      1122400200020 
 7.25   -01 3.52   +00   10.                                      1122400200021 
 8.05   -01 3.63   +00   10.                                      1122400200022 
 8.85   -01 3.53   +00   10.                                      1122400200023 
 9.70   -01 3.36   +00   10.                                      1122400200024 
 1.045  +00 3.20   +00   10.                                      1122400200025 
 1.130  +00 3.01   +00   10.                                      1122400200026 
 1.210  +00 2.81   +00   10.                                      1122400200027 
 1.290  +00 2.63   +00   10.                                      1122400200028 
 1.365  +00 2.45   +00   10.                                      1122400200029 
 1.450  +00 2.25   +00   10.                                      1122400200030 
ENDDATA             22          0                                 1122400200031 
ENDSUBENT           30          0                                 1122400299999 
SUBENT        11224003   19860917                             00001122400300001 
BIB                  2          2                                 1122400300002 
REACTION   (4-BE-9(N,EL)4-BE-9,,DA)                               1122400300003 
HISTORY    (860917A) REACTION UPDATED.                            1122400300004 
ENDBIB               2          0                                 1122400300005 
NOCOMMON             0          0                                 1122400300006 
DATA                 5        100                                 1122400300007 
EN         EN-RSL     COS-CM     ANG-RSL    DATA                  1122400300008 
MEV        MEV        NO-DIM     ADEG       MB/SR                 1122400300009 
 3.30   -01           -0.4676        3.      2.67   +02           1122400500027 
 3.30   -01           -0.8397        3.      2.28   +02           1122400500028 
 4.10   -01            0.87120       5.      4.53   +02           1122400500029 
 4.10   -01            0.50990       5.      4.18   +02           1122400500030 
 4.10   -01           -0.1097        5.      3.52   +02           1122400500031 
 4.10   -01           -0.4676        3.      3.11   +02           1122400500032 
 4.10   -01           -0.8397        3.      2.66   +02           1122400500033 
 4.92   -01            0.87120       5.      4.46   +02           1122400500034 
 4.92   -01            0.50990       5.      3.75   +02           1122400500035 
 4.92   -01           -0.1097        5.      2.63   +02           1122400500036 
 4.92   -01           -0.4676        3.      2.11   +02           1122400500037 
 4.92   -01           -0.8397        3.      1.76   +02           1122400500038 
 5.00   -01            0.87120       5.      4.39   +02           1122400500039 
 5.00   -01            0.50990       5.      3.69   +02           1122400500040 
 5.00   -01           -0.1097        5.      2.58   +02           1122400500041 
 5.00   -01           -0.4676        3.      2.07   +02           1122400500042 
 5.00   -01           -0.8397        3.      1.73   +02           1122400500043 
 5.80   -01            0.87120       5.      3.38   +02           1122400500044 
 5.80   -01            0.50990       5.      2.90   +02           1122400500045 
 5.80   -01           -0.1097        5.      2.14   +02           1122400500046 
 5.80   -01           -0.4676        3.      1.78   +02           1122400500047 
 5.80   -01           -0.8397        3.      1.51   +02           1122400500048 
 6.60   -01            0.87120       5.      2.80   +02           1122400500049 
 6.60   -01            0.50990       5.      2.47   +02           1122400500050 
 6.60   -01           -0.1097        5.      1.92   +02           1122400500051 
 6.60   -01           -0.4676        3.      1.63   +02           1122400500052 
 6.60   -01           -0.8397        3.      1.38   +02           1122400500053 
 7.30   -01            0.87120       5.      2.49   +02           1122400500054 
 7.30   -01            0.50990       5.      2.21   +02           1122400500055 
 7.30   -01           -0.1097        5.      1.76   +02           1122400500056 
 7.30   -01           -0.4676        3.      1.52   +02           1122400500057 
 7.30   -01           -0.8397        3.      1.32   +02           1122400500058 
 8.15   -01            0.87120       5.      2.23   +02           1122400500059 
 8.15   -01            0.50990       5.      1.98   +02           1122400500060 
 8.15   -01           -0.1097        5.      1.58   +02           1122400500061 
 8.15   -01           -0.4676        3.      1.39   +02           1122400500062 
 8.15   -01           -0.8397        3.      1.26   +02           1122400500063 
 8.93   -01            0.87120       5.      2.06   +02           1122400500064 
 8.93   -01            0.50990       5.      1.81   +02           1122400500065 
 8.93   -01           -0.1097        5.      1.44   +02           1122400500066 
 8.93   -01           -0.4676        3.      1.29   +02           1122400500067 
 8.93   -01           -0.8397        3.      1.23   +02           1122400500068 
 9.80   -01            0.87120       5.      2.00   +02           1122400500069 
 9.80   -01            0.50990       5.      1.71   +02           1122400500070 
 9.80   -01           -0.1097        5.      1.32   +02           1122400500071 
 9.80   -01           -0.4676        3.      1.21   +02           1122400500072 
 9.80   -01           -0.8397        3.      1.26   +02           1122400500073 
 1.055  +00            0.87120       5.      1.97   +02           1122400500074 
 1.055  +00            0.50990       5.      1.66   +02           1122400500075 
 1.055  +00           -0.1097        5.      1.30   +02           1122400500076 
 1.055  +00           -0.4676        3.      1.28   +02           1122400500077 
 1.055  +00           -0.8397        3.      1.50   +02           1122400500078 
 1.135  +00            0.87120       5.      2.31   +02           1122400500079 
 1.135  +00            0.50990       5.      1.81   +02           1122400500080 
