ENTRY            10174   20101018                             13671017400000001 
SUBENT        10174001   20101018                             13671017400100001 
BIB                 12         20                                 1017400100002 
INSTITUTE  (1USAKTY)                                              1017400100003 
REFERENCE  (J,PR/C,5,1508,197205)                                 1017400100004 
AUTHOR     (W.Galati,J.D.Brandberger,J.L.Weil)                    1017400100005 
TITLE      Scattering of Neutrons by Carbon from 3 to 7 MeV.      1017400100006 
FACILITY   (VDG,1USAKTY) Van-de-Graaff.                           1017400100007 
INC-SOURCE (P-T) T(p,n) source for neutrons from 3.0-5.5 MeV.     1017400100008 
           (D-D) D(d,n) source for neutrons from 5.5-7.0 MeV.     1017400100009 
METHOD     (TOF) Time-of-flight.                                  1017400100010 
DETECTOR   (SCIN)  Organic liquid scintillator.                   1017400100011 
MONITOR    (1-H-1(N,TOT),,SIG)                                    1017400100012 
ERR-ANALYS (ANG-ERR) Estimated uncertainty in scattering angle.   1017400100013 
STATUS     (TABLE) Tabulated data received, W.Galati, May 1971.   1017400100014 
HISTORY    (19710715C)                                            1017400100015 
           (19730509A) ANG-ERR changed to ANG-RSL                 1017400100016 
           (19750702U) Reference changed                          1017400100017 
           (19760205U) Reference corrected                        1017400100018 
           (19820915A) Converted to REACTION formalism            1017400100019 
           (20001214A) Converted to new date formats, lower case. 1017400100020 
           (20101018A) VM. BIB updates. Angle error heading       1017400100021 
                       corrected. Subentry 002 updated.           1017400100022 
ENDBIB              20          0                                 1017400100023 
COMMON               3          3                                 1017400100024 
EN-RSL     ANG-ERR    MONIT-ERR                                   1017400100025 
MEV        ADEG       PER-CENT                                    1017400100026 
0.01       0.5          1.                                        1017400100027 
ENDCOMMON            3          0                                 1017400100028 
ENDSUBENT           27          0                                 1017400199999 
SUBENT        10174002   20101018                             13671017400200001 
BIB                  3          8                                 1017400200002 
REACTION   (6-C-0(N,EL)6-C-0,,DA)                                 1017400200003 
ERR-ANALYS (ERR-SYS) Systematic uncertainty..                     1017400200004 
           (ERR-T)   Absolute error. RMS standard deviation.      1017400200005 
            See reference text for a complete discussion of       1017400200006 
            uncertainties.                                        1017400200007 
HISTORY    (19750407A) Reaction corrected. Subentries 2-33        1017400200008 
                       combined.                                  1017400200009 
           (20001214A) Reaction SF4 added.                        1017400200010 
ENDBIB               8          0                                 1017400200011 
NOCOMMON             0          0                                 1017400200012 
DATA                 6        476                                 1017400200013 
EN         EN-RSL     ANG-CM     DATA-CM    ERR-SYS    ERR-T      1017400200014 
 6.000      0.145      53.7       62.3       6.         4.5       1017400200386 
 6.000      0.145      64.2       43.6       6.         3.8       1017400200387 
 6.000      0.145      74.5       28.8       6.         2.2       1017400200388 
 6.000      0.145      84.7       36.1       6.         3.0       1017400200389 
 6.000      0.145      94.8       49.1       6.         3.4       1017400200390 
 6.000      0.145     104.7       60.6       6.         4.3       1017400200391 
 6.000      0.145     114.5       66.8       6.         4.6       1017400200392 
 6.000      0.145     124.2       61.7       6.         4.3       1017400200393 
 6.000      0.145     133.7       53.8       6.         3.7       1017400200394 
 6.000      0.145     143.1       44.4       6.         3.2       1017400200395 
 6.000      0.145     152.4       39.2       6.         2.9       1017400200396 
 6.250      0.060      21.6      324.9       7.        27.2       1017400200397 
 6.250      0.060      32.4      205.6       7.        17.5       1017400200398 
 6.250      0.060      43.1      122.6       7.        11.3       1017400200399 
 6.250      0.060      53.7       60.8       7.         6.8       1017400200400 
 6.250      0.060      64.2       24.7       7.         3.3       1017400200401 
 6.250      0.060      74.5       18.0       7.         2.9       1017400200402 
 6.250      0.060      84.7       40.2       7.         4.8       1017400200403 
 6.250      0.060      94.8       58.2       7.         6.8       1017400200404 
 6.250      0.060     104.7      113.6       7.         9.7       1017400200405 
 6.250      0.060     114.5      121.6       7.         9.9       1017400200406 
 6.250      0.060     124.2      122.7       7.         9.9       1017400200407 
 6.250      0.060     133.7       92.6       7.         8.0       1017400200408 
 6.250      0.060     143.1       53.4       7.         5.8       1017400200409 
 6.250      0.060     152.4       41.7       7.         4.6       1017400200410 
 6.291      0.060      21.6      608.4       7.        47.9       1017400200411 
 6.291      0.060      32.4      295.8       7.        23.4       1017400200412 
 6.291      0.060      43.1       95.0       7.         8.0       1017400200413 
 6.291      0.060      53.7       31.9       7.         3.6       1017400200414 
 6.291      0.060      64.2       43.5       7.         3.9       1017400200415 
 6.291      0.060      74.5       74.4       7.         6.1       1017400200416 
 6.291      0.060      84.7      110.8       7.         8.7       1017400200417 
 6.291      0.060      94.8      144.8       7.        11.1       1017400200418 
 6.291      0.060     104.7      163.3       7.        12.5       1017400200419 
 6.291      0.060     114.5      188.2       7.        14.5       1017400200420 
 6.291      0.060     124.2      157.4       7.        12.1       1017400200421 
 6.291      0.060     133.7      124.9       7.         9.6       1017400200422 
 6.291      0.060     143.1      110.7       7.         8.7       1017400200423 
 6.291      0.060     152.4      110.0       7.         8.7       1017400200424 
 6.333      0.060      21.6      495.0       7.        37.8       1017400200425 
 6.333      0.060      32.4      308.1       7.        25.2       1017400200426 
 6.333      0.060      43.1      106.5       7.         9.6       1017400200427 
 6.333      0.060      53.7       33.2       7.         5.5       1017400200428 
 6.333      0.060      64.2       44.5       7.         4.1       1017400200429 
 6.333      0.060      74.5       71.9       7.         7.9       1017400200430 
 6.333      0.060      84.7       99.3       7.         7.6       1017400200431 
 6.333      0.060      94.8       87.6       7.         7.8       1017400200432 
 6.333      0.060     104.7       77.7       7.         6.0       1017400200433 
 6.333      0.060     114.5       67.7       7.         6.6       1017400200434 
 6.333      0.060     124.2       75.2       7.         5.8       1017400200435 
 6.333      0.060     133.7       76.6       7.         7.2       1017400200436 
 6.333      0.060     143.1       84.9       7.         6.7       1017400200437 
 6.333      0.060     152.4       94.6       7.        12.8       1017400200438 
 6.523      0.060      21.6      249.6       7.        19.8       1017400200439 
 6.523      0.060      32.4      173.5       7.        14.2       1017400200440 
 6.523      0.060      43.1       92.9       7.         7.8       1017400200441 
 6.523      0.060      53.7       47.8       7.         4.6       1017400200442 
 6.523      0.060      64.2       36.4       7.         4.3       1017400200443 
 6.523      0.060      74.5       30.9       7.         3.3       1017400200444 
 6.523      0.060      84.7       33.3       7.         3.5       1017400200445 
 6.523      0.060      94.8       38.8       7.         3.8       1017400200446 
 6.523      0.060     104.7       36.7       7.         3.7       1017400200447 
 6.523      0.060     114.5       30.3       7.         3.0       1017400200448 
 6.523      0.060     124.2       24.9       7.         2.9       1017400200449 
 6.523      0.060     133.7       28.0       7.         2.9       1017400200450 
 6.523      0.060     143.1       32.0       7.         3.1       1017400200451 
 6.523      0.060     154.2       40.0       7.         3.6       1017400200452 
 6.563      0.060      21.6      262.4       7.        21.9       1017400200453 
 6.563      0.060      32.4      180.1       7.        15.3       1017400200454 
 6.563      0.060      43.1       86.2       7.         9.0       1017400200455 
 6.563      0.060      53.7       40.9       7.         4.9       1017400200456 
 6.563      0.060      64.2       27.3       7.         3.6       1017400200457 
 6.563      0.060      74.5       26.9       7.         3.3       1017400200458 
 6.563      0.060      84.7       32.8       7.         3.8       1017400200459 
 6.563      0.060      94.8       43.8       7.         4.9       1017400200460 
 6.563      0.060     104.7       34.5       7.         3.8       1017400200461 
 6.563      0.060     114.5       24.0       7.         2.8       1017400200462 
 6.563      0.060     124.2       22.1       7.         2.7       1017400200463 
 6.563      0.060     133.7       21.0       7.         2.6       1017400200464 
 6.563      0.060     143.1       23.0       7.         2.7       1017400200465 
 6.563      0.060     154.2       27.9       7.         3.1       1017400200466 
 6.606      0.060      21.6      164.2       7.        13.8       1017400200467 
 6.606      0.060      32.4       88.9       7.        10.3       1017400200468 
 6.606      0.060      43.1       49.3       7.         4.4       1017400200469 
 6.606      0.060      53.7       25.5       7.         3.1       1017400200470 
 6.606      0.060      64.2       20.8       7.         2.3       1017400200471 
 6.606      0.060      84.7       39.7       7.         3.9       1017400200472 
 6.606      0.060      94.8       46.3       7.         4.8       1017400200473 
 6.606      0.060     104.7       39.6       7.         3.9       1017400200474 
 6.606      0.060     124.2       25.4       7.         2.7       1017400200475 
 6.606      0.060     133.7       17.4       7.         2.0       1017400200476 
 6.606      0.060     143.1       20.4       7.         2.3       1017400200477 
 6.606      0.060     152.4       15.8       7.         1.9       1017400200478 
 6.940      0.130      32.4       90.8       7.         8.7       1017400200479 
 6.940      0.130      43.1       68.1       7.         5.8       1017400200480 
 6.940      0.130      53.7       44.7       7.         4.0       1017400200481 
 6.940      0.130      64.2       34.8       7.         2.9       1017400200482 
 6.940      0.130      74.5       36.7       7.         3.1       1017400200483 
 6.940      0.130      84.7       41.2       7.         3.2       1017400200484 
 6.940      0.130      94.8       49.6       7.         4.1       1017400200485 
 6.940      0.130     104.7       51.5       7.         4.1       1017400200486 
 6.940      0.130     114.5       49.7       7.         4.2       1017400200487 
 6.940      0.130     124.2       41.1       7.         3.2       1017400200488 
 6.940      0.130     133.7       28.9       7.         2.8       1017400200489 
 6.940      0.130     143.1       23.8       7.         2.0       1017400200490 
 6.940      0.130     152.4       19.3       7.         1.8       1017400200491 
ENDDATA            478          0                                 1017400200492 
ENDSUBENT          491          0                                 1017400299999 
NOSUBENT      10174003   19750409                             00001017400300001 
NOSUBENT      10174004   19750409                             00001017400400001 
NOSUBENT      10174005   19750409                             00001017400500001 
NOSUBENT      10174006   19750409                             00001017400600001 
NOSUBENT      10174007   19750409                             00001017400700001 
NOSUBENT      10174008   19750409                             00001017400800001 
NOSUBENT      10174009   19750409                             00001017400900001 
NOSUBENT      10174010   19750409                             00001017401000001 
NOSUBENT      10174011   19750409                             00001017401100001 
NOSUBENT      10174012   19750409                             00001017401200001 
NOSUBENT      10174013   19750409                             00001017401300001 
NOSUBENT      10174014   19750409                             00001017401400001 
NOSUBENT      10174015   19750409                             00001017401500001 
NOSUBENT      10174016   19750409                             00001017401600001 
NOSUBENT      10174017   19750409                             00001017401700001 
NOSUBENT      10174018   19750409                             00001017401800001 
NOSUBENT      10174019   19750409                             00001017401900001 
NOSUBENT      10174020   19750409                             00001017402000001 
NOSUBENT      10174021   19750409                             00001017402100001 
NOSUBENT      10174022   19750409                             00001017402200001 
NOSUBENT      10174023   19750409                             00001017402300001 
NOSUBENT      10174024   19750409                             00001017402400001 
NOSUBENT      10174025   19750409                             00001017402500001 
NOSUBENT      10174026   19750409                             00001017402600001 
NOSUBENT      10174027   19750409                             00001017402700001 
NOSUBENT      10174028   19750409                             00001017402800001 
NOSUBENT      10174029   19750409                             00001017402900001 
NOSUBENT      10174030   19750409                             00001017403000001 
NOSUBENT      10174031   19750409                             00001017403100001 
NOSUBENT      10174032   19750409                             00001017403200001 
NOSUBENT      10174033   19750409                             00001017403300001 
SUBENT        10174034   20001214                             00001017403400001 
BIB                  3          5                                 1017403400002 
REACTION   (6-C-0(N,INL)6-C-0,,DA)                                1017403400003 
ERR-ANALYS (ERR-T)    Absolute error. RMS standard deviation.     1017403400004 
HISTORY    (19750407A) Reaction corrected. Subentries 34-42       1017403400005 
                       combined.                                  1017403400006 
           (20001214A) Reaction SF4 added.                        1017403400007 
ENDBIB               5          0                                 1017403400008 
NOCOMMON             0          0                                 1017403400009 
DATA                 5        124                                 1017403400010 
EN         EN-RSL     ANG-CM     DATA-CM    ERR-T                 1017403400011 
MEV        MEV        ADEG       MB/SR      MB/SR                 1017403400012 
 5.780      0.155      24.1      28.1        9.1                  1017403400013 
 5.780      0.155      35.9      25.3        8.1                  1017403400014 
 5.780      0.155      47.5      25.7        8.1                  1017403400015 
 5.780      0.155      59.0      28.6        9.1                  1017403400016 
 5.780      0.155      70.2      21.5        6.3                  1017403400017 
 5.780      0.155      81.1      28.3        9.1                  1017403400018 
 5.780      0.155      91.5      28.3        9.1                  1017403400019 
 5.780      0.155     101.8      29.8       13.6                  1017403400020 
 5.780      0.155     111.6      26.3       13.6                  1017403400021 
 5.780      0.155     121.1      27.4       13.6                  1017403400022 
 5.780      0.155     130.2      42.7       22.6                  1017403400023 
 5.780      0.155     139.0      25.6       13.6                  1017403400024 
 5.780      0.155     147.6      65.0       36.2                  1017403400025 
 5.780      0.155     155.9      58.5       31.7                  1017403400026 
 6.000      0.145      23.7      26.3        7.2                  1017403400027 
 6.000      0.145      35.4      31.8        8.1                  1017403400028 
 6.000      0.145      46.9      25.0        6.3                  1017403400029 
 6.000      0.145      58.3      24.4        6.3                  1017403400030 
 6.000      0.145      69.4      28.7        8.1                  1017403400031 
 6.000      0.145      80.2      21.5        7.2                  1017403400032 
 6.000      0.145      90.7      34.6       10.8                  1017403400033 
 6.000      0.145     100.8      32.7       13.5                  1017403400034 
 6.000      0.145     110.7      34.9       14.4                  1017403400035 
 6.000      0.145     120.2      42.0       18.0                  1017403400036 
 6.000      0.145     129.3      36.9       18.0                  1017403400037 
 6.000      0.145     138.2      45.2       22.4                  1017403400038 
 6.000      0.145     146.9      41.6       22.4                  1017403400039 
 6.000      0.145     155.4      50.4       26.9                  1017403400040 
 6.250      0.060      23.4      47.5        6.2                  1017403400041 
 6.250      0.060      35.0      41.1        6.1                  1017403400042 
 6.250      0.060      46.4      37.6        4.8                  1017403400043 
 6.250      0.060      57.7      28.1        3.9                  1017403400044 
 6.250      0.060      68.7      22.4        5.2                  1017403400045 
 6.250      0.060      79.5      19.6        3.1                  1017403400046 
 6.250      0.060      89.7      16.7        3.7                  1017403400047 
 6.250      0.060     100.1      10.5        4.0                  1017403400048 
 6.250      0.060     109.9      14.8        4.2                  1017403400049 
 6.250      0.060     119.5      20.1        5.3                  1017403400050 
 6.250      0.060     128.7      23.2        5.5                  1017403400051 
 6.250      0.060     137.6      15.4        6.0                  1017403400052 
 6.250      0.060     146.4      19.4        4.0                  1017403400053 
 6.250      0.060     155.0      25.4        5.5                  1017403400054 
 6.291      0.060      23.4      41.8        4.9                  1017403400055 
 6.291      0.060      34.9      35.1        4.0                  1017403400056 
 6.291      0.060      46.4      23.5        3.1                  1017403400057 
 6.291      0.060      57.6      29.7        3.0                  1017403400058 
 6.291      0.060      68.6      29.3        2.6                  1017403400059 
 6.291      0.060      79.3      24.1        2.7                  1017403400060 
 6.291      0.060      89.6      19.8        2.1                  1017403400061 
 6.291      0.060     100.0      24.3        3.7                  1017403400062 
 6.291      0.060     109.8      23.4        3.4                  1017403400063 
 6.291      0.060     119.3      25.7        3.7                  1017403400064 
 6.291      0.060     128.6      28.7        4.2                  1017403400065 
 6.291      0.060     137.6      33.7        5.0                  1017403400066 
 6.291      0.060     146.4      33.4        4.8                  1017403400067 
 6.291      0.060     155.0      37.3        5.0                  1017403400068 
 6.333      0.060      23.4      24.3        2.8                  1017403400069 
 6.333      0.060      34.9      24.6        4.1                  1017403400070 
 6.333      0.060      46.3      36.1        4.7                  1017403400071 
 6.333      0.060      57.5      27.4        3.9                  1017403400072 
 6.333      0.060      68.5      30.8        2.7                  1017403400073 
 6.333      0.060      79.2      30.4        4.2                  1017403400074 
 6.333      0.060      89.5      25.1        2.4                  1017403400075 
 6.333      0.060      99.8      28.7        4.6                  1017403400076 
 6.333      0.060     109.7      26.7        3.3                  1017403400077 
 6.333      0.060     119.3      33.6        5.7                  1017403400078 
 6.333      0.060     128.5      31.3        3.9                  1017403400079 
 6.333      0.060     137.6      32.2        5.7                  1017403400080 
 6.333      0.060     146.3      35.4        4.8                  1017403400081 
 6.333      0.060     155.0      41.1        6.6                  1017403400082 
 6.523      0.060      23.2      32.4        3.6                  1017403400083 
 6.523      0.060      34.7      33.0        3.6                  1017403400084 
 6.523      0.060      46.1      36.3        4.2                  1017403400085 
 6.523      0.060      57.2      27.6        2.8                  1017403400086 
 6.523      0.060      68.2      28.9        3.4                  1017403400087 
 6.523      0.060      78.9      21.4        2.5                  1017403400088 
 6.523      0.060      89.1      16.9        2.1                  1017403400089 
 6.523      0.060      99.4      18.4        2.8                  1017403400090 
 6.523      0.060     109.3      21.5        3.2                  1017403400091 
 6.523      0.060     118.9      26.3        3.5                  1017403400092 
 6.523      0.060     128.2      29.6        4.4                  1017403400093 
 6.523      0.060     137.2      30.6        4.1                  1017403400094 
 6.523      0.060     146.1      30.8        4.3                  1017403400095 
 6.523      0.060     156.6      25.1        3.4                  1017403400096 
 6.563      0.060      23.2      45.6        4.3                  1017403400097 
 6.563      0.060      34.6      45.7        4.4                  1017403400098 
 6.563      0.060      46.0      46.5        4.2                  1017403400099 
 6.563      0.060      57.2      38.1        4.1                  1017403400100 
 6.563      0.060      68.1      34.0        3.5                  1017403400101 
 6.563      0.060      78.8      32.3        3.9                  1017403400102 
 6.563      0.060      89.1      20.8        2.5                  1017403400103 
 6.563      0.060      99.4      23.5        3.1                  1017403400104 
 6.563      0.060     109.2      24.0        3.7                  1017403400105 
 6.563      0.060     118.8      27.5        4.2                  1017403400106 
 6.563      0.060     128.1      32.8        4.6                  1017403400107 
 6.563      0.060     137.1      37.7        5.3                  1017403400108 
 6.563      0.060     146.0      34.1        5.0                  1017403400109 
 6.563      0.060     156.3      29.0        4.3                  1017403400110 
 6.606      0.060      23.2      23.5        2.9                  1017403400111 
 6.606      0.060      34.6      27.3        4.5                  1017403400112 
 6.606      0.060      46.0      23.5        2.3                  1017403400113 
 6.606      0.060      57.1      19.7        3.1                  1017403400114 
 6.606      0.060      68.0      22.1        2.7                  1017403400115 
 6.606      0.060      78.7      18.3        3.9                  1017403400116 
 6.606      0.060      89.0      12.5        2.3                  1017403400117 
 6.606      0.060      99.3      14.0        3.3                  1017403400118 
 6.606      0.060     109.1      18.5        3.5                  1017403400119 
 6.606      0.060     128.0      17.7        3.5                  1017403400120 
 6.606      0.060     137.1      25.1        3.4                  1017403400121 
 6.606      0.060     146.0      21.7        5.6                  1017403400122 
 6.606      0.060     154.7      12.5        4.6                  1017403400123 
 6.940      0.130      34.3      11.9        2.2                  1017403400124 
 6.940      0.130      45.6      15.2        2.1                  1017403400125 
 6.940      0.130      56.6      12.2        2.0                  1017403400126 
 6.940      0.130      67.5      11.9        1.9                  1017403400127 
 6.940      0.130      78.2       7.2        1.4                  1017403400128 
 6.940      0.130      88.5       8.1        1.6                  1017403400129 
 6.940      0.130      98.7      14.5        2.9                  1017403400130 
 6.940      0.130     108.6      10.9        2.5                  1017403400131 
 6.940      0.130     118.2      17.2        4.0                  1017403400132 
 6.940      0.130     127.5      17.8        4.2                  1017403400133 
 6.940      0.130     136.6      23.6        5.8                  1017403400134 
 6.940      0.130     145.6      26.4        6.9                  1017403400135 
 6.940      0.130     154.3      19.5        5.3                  1017403400136 
ENDDATA            126          0                                 1017403400137 
ENDSUBENT          136          0                                 1017403499999 
NOSUBENT      10174035   19750409                             00001017403500001 
NOSUBENT      10174036   19750409                             00001017403600001 
NOSUBENT      10174037   19750409                             00001017403700001 
NOSUBENT      10174038   19750409                             00001017403800001 
NOSUBENT      10174039   19750409                             00001017403900001 
NOSUBENT      10174040   19750409                             00001017404000001 
NOSUBENT      10174041   19750409                             00001017404100001 
NOSUBENT      10174042   19750409                             00001017404200001 
ENDENTRY            42          0                                 1017499999999 
