ENTRY            10111   20000202                             00001011100000001 
SUBENT        10111001   20000202                             00001011100100001 
BIB                 13         31                                 1011100100002 
INSTITUTE  (1USAORL)                                              1011100100003 
REFERENCE  (R,ORNL-4515,197006)                                   1011100100004 
AUTHOR     (W.E.KINNEY,F.G.PEREY)                                 1011100100005 
TITLE      Neutron elastic- and inelastic-scattering cross        1011100100006 
           sections for 56Fe in the energy range 4.19 to 8.56 MeV 1011100100007 
FACILITY   (VDG,1USAORL) ORNL Van de Graaff, pulsed at 2 mhz and  1011100100008 
            bunched.                                              1011100100009 
INC-SOURCE (D-D) D(d,n) reaction using gas cells ranging in length1011100100010 
            from 0.7 to 4.0 cm. Neutron energy resolution between 1011100100011 
            60 to 340 keV.                                        1011100100012 
SAMPLE     Solid right circular cylinder 2.54 cm diameter,        1011100100013 
            2 cm high placed 10 to 30 cm from gas cell.           1011100100014 
METHOD     (TOF) Time-of-flight. 2.5 nanosec resolution (FWHM).   1011100100015 
DETECTOR   (SCIN)  12.5 cm diameter NE213 liquid scintillator     1011100100016 
            viewed by XP-1040 photomultipliers.  Flight paths of  1011100100017 
            4 to 6 meters employed.                               1011100100018 
MONITOR    (1-H-1(N,EL)1-H-1,,DA) Detector efficiency determined  1011100100019 
            relative to n-p cross section.                        1011100100020 
CORRECTION  Corrected for multiple scattering and other finite    1011100100021 
            sample size effects.                                  1011100100022 
STATUS     (APRVD) Approved by authors.                           1011100100023 
           Data rec'd in private comm., Kinney, September 1971.   1011100100024 
HISTORY    (19711009R)  Received on tape in CSISRS format         1011100100025 
           (19750421A) ISO-QUANT corrected on subentries 141-145, 1011100100026 
            147-151.                                              1011100100027 
           (19800807A) Converted to REACTION formalism. BIB       1011100100028 
            correction.                                           1011100100029 
           (19840418A) BIB corrections.                           1011100100030 
           (19860407A) Data heading, BIB corrections.             1011100100031 
           (20000202A) Converted to new date format, lower case.  1011100100032 
                       BIB corrections.                           1011100100033 
ENDBIB              31          0                                 1011100100034 
NOCOMMON             0          0                                 1011100100035 
ENDSUBENT           34          0                                 1011100199999 
SUBENT        10111002   20000202                             00001011100200001 
BIB                  3         13                                 1011100200002 
REACTION   (26-FE-0(N,INL)26-FE-56,PAR,DA)                        1011100200003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1011100200004 
            . geometric parameters,                               1011100200005 
            . finite size corrections,                            1011100200006 
            . statistics,                                         1011100200007 
            . residual background effects due to peak stripping   1011100200008 
              procedures.                                         1011100200009 
            Does not include absolute error of + or - 7%,         1011100200010 
             estimated error in the absolute value of the         1011100200011 
             detector efficiency.                                 1011100200012 
HISTORY    (19800807A) SUBENTRIES 2,6,13,20,29,38,46,55,57,67,76, 1011100200013 
            86,96,107,117,127, AND 131 COMBINED.                  1011100200014 
           (19840418A) DATA SORTED.                               1011100200015 
ENDBIB              13          0                                 1011100200016 
COMMON               1          3                                 1011100200017 
E-LVL                                                             1011100200018 
MEV                                                               1011100200019 
  0.846                                                           1011100200020 
ENDCOMMON            3          0                                 1011100200021 
DATA                 6        169                                 1011100200022 
EN         EN-RSL-HW  ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1011100200023 
  4.60     0.05        119.42         13.05    17.7       17.0    1011100400036 
  4.60     0.05        119.42          9.61    14.3       12.2    1011100400037 
  4.60     0.05        119.42         10.47    10.4       12.9    1011100400038 
  4.60     0.05        133.19         12.11    10.9       18.8    1011100400039 
  5.00     0.04         35.87          8.11    17.2       19.3    1011100400040 
  5.00     0.04         48.11          6.74    17.7       16.9    1011100400041 
  5.00     0.04         48.11          5.97    15.0       14.3    1011100400042 
  5.00     0.05         56.25          6.81    14.1       11.5    1011100400043 
  5.00     0.04         56.25          6.02    13.0       12.4    1011100400044 
  5.00     0.04         56.25          6.22    14.6       14.2    1011100400045 
  5.00     0.04         61.32          5.54    12.7       15.8    1011100400046 
  5.00     0.04         66.38          5.40    17.1       13.3    1011100400047 
  5.00     0.04         74.46          5.63    16.4       14.6    1011100400048 
  5.00     0.04         81.50          5.95    16.2        9.6    1011100400049 
  5.00     0.05         91.52          7.77     8.5       11.7    1011100400050 
  5.00     0.05         91.52          6.16    19.1       12.1    1011100400051 
  5.00     0.04         91.53          6.15    11.1       14.7    1011100400052 
  5.00     0.04        101.50          4.97    13.3       14.2    1011100400053 
  5.00     0.04        111.43          5.80    13.0        8.8    1011100400054 
  5.00     0.04        116.38          6.06    19.8       12.1    1011100400055 
  5.04     0.04         30.76          8.16    17.1       14.0    1011100400056 
  5.04     0.04         44.03          8.67    11.4       14.9    1011100400057 
  5.04     0.04         56.24          7.92    13.0       12.2    1011100400058 
  5.04     0.04         56.24          8.65    10.4       12.6    1011100400059 
  5.04     0.04         56.24          9.08    17.0       12.0    1011100400060 
  5.04     0.04         69.41          7.35     9.6       10.9    1011100400061 
  5.04     0.04         81.49          6.73    14.7       11.6    1011100400062 
  5.04     0.04         94.51          6.89    13.9       15.6    1011100400063 
  5.04     0.04        106.46          6.30    13.1       10.4    1011100400064 
  5.04     0.04        118.35          8.91    10.6       10.6    1011100400065 
  5.04     0.04        131.16          8.20    10.6       11.6    1011100400066 
  5.18     0.05         91.49          6.25    13.7       10.0    1011100400067 
  5.50     0.05         91.45          5.61    13.9        8.8    1011100400068 
  5.56     0.04         30.72          4.66    42.5       22.5    1011100400069 
  5.56     0.04         43.97          5.48    20.3       11.7    1011100400070 
  5.56     0.04         43.98          5.50    27.9       19.3    1011100400071 
  5.56     0.04         52.12          6.78    13.8       11.6    1011100400072 
  5.56     0.04         61.24          3.12    11.2       11.6    1011100400073 
  5.56     0.04         76.39          5.01    17.5       13.6    1011100400074 
  5.56     0.04         91.44          4.72    11.5        9.6    1011100400075 
  5.56     0.04        106.39          4.47    13.3       13.0    1011100400076 
  5.56     0.04        119.27          6.01    11.3       11.9    1011100400077 
  5.56     0.04        133.07          6.54    19.4       12.5    1011100400078 
  6.00     0.13         53.59          7.36     5.8        5.8    1011100400079 
  6.00     0.13        119.20          5.50     5.4        5.4    1011100400080 
  6.13     0.04         40.88          2.97    47.0       21.9    1011100400081 
  6.13     0.04         45.97          3.89    14.2       12.7    1011100400082 
  6.13     0.04         51.05          2.95    20.9       17.9    1011100400083 
  6.13     0.04         56.12          3.04    18.1       18.0    1011100400084 
  6.13     0.04         96.37          3.78    10.3       11.9    1011100400085 
  6.44     0.13        120.68          4.23    13.1       17.6    1011100400086 
  6.44     0.13        128.08          4.25    10.6       18.7    1011100400087 
  6.44     0.13        135.46          3.83     9.5       15.2    1011100400088 
  6.53     0.03         40.86          3.82    14.7       13.5    1011100400089 
  6.53     0.03         56.10          3.21    18.7       15.4    1011100400090 
  6.53     0.03        111.26          3.23    12.3       12.9    1011100400091 
  7.54     0.04        120.61          2.11    14.8       25.1    1011100400092 
  7.54     0.04        128.02          2.34    15.2       15.2    1011100400093 
  7.54     0.04        135.41          1.39    12.5       12.5    1011100400094 
  7.60     0.10        119.12          2.18     6.0        6.0    1011100400095 
  8.56     0.08         56.02          1.61    15.7       15.7    1011100400096 
  8.56     0.08         61.08          1.92    17.9       17.9    1011100400097 
  8.56     0.08        127.99          1.15    31.7       28.7    1011100400098 
  8.56     0.08        135.38          1.13    31.4       24.8    1011100400099 
ENDDATA             76          0                                 1011100400100 
ENDSUBENT           99          0                                 1011100499999 
SUBENT        10111005   20000202                             00001011100500001 
BIB                  3         13                                 1011100500002 
REACTION   (26-FE-0(N,INL)26-FE-56,PAR,DA)                        1011100500003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1011100500004 
            . geometric parameters,                               1011100500005 
            . finite size corrections,                            1011100500006 
            . statistics,                                         1011100500007 
            . residual background effects due to peak stripping   1011100500008 
              procedures.                                         1011100500009 
            Does not include absolute error of + or - 7%,         1011100500010 
             estimated error in the absolute value of the         1011100500011 
             detector efficiency.                                 1011100500012 
HISTORY    (19800807A) SUBENTRIES 5,9,17,23,32,41,49,60,70,79,89, 1011100500013 
            99,110,120, AND 134 COMBINED.                         1011100500014 
           (19840418A) DATA SORTED.                               1011100500015 
ENDBIB              13          0                                 1011100500016 
COMMON               2          3                                 1011100500017 
E-LVL      E-LVL                                                  1011100500018 
MEV        MEV                                                    1011100500019 
  2.939      2.957                                                1011100500020 
ENDCOMMON            3          0                                 1011100500021 
DATA                 6         76                                 1011100500022 
EN         EN-RSL-HW  ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1011100500023 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1011100500024 
  4.19     0.08         91.95         20.50    23.1       29.0    1011100500025 
  4.46     0.07         91.82         14.20    13.8       19.3    1011100500026 
  4.60     0.05         30.88         13.31    12.4       12.7    1011100500027 
  4.60     0.05         44.20         11.68    19.8       17.7    1011100500028 
  4.60     0.05         56.44         12.29    15.0       13.8    1011100500029 
  4.60     0.05         69.64         12.95    16.0       19.8    1011100500030 
  4.60     0.05         81.73         10.71    13.4       13.3    1011100500031 
  4.60     0.05         94.74         15.66    22.9       27.5    1011100500032 
  4.60     0.05         94.76         10.23    15.9       15.8    1011100500033 
  4.60     0.05        106.70         11.54    13.4       18.2    1011100500034 
  4.60     0.05        119.55         19.04    17.7       26.0    1011100500035 
  4.60     0.05        119.56         11.29    14.7       19.2    1011100500036 
  4.60     0.05        119.56         11.18    14.6       19.9    1011100500037 
  4.60     0.05        133.31         13.04    11.7       19.3    1011100500038 
  5.00     0.04         35.94          8.45    19.6       27.0    1011100500039 
  5.00     0.04         41.06          6.33    20.0       22.4    1011100500040 
  5.00     0.04         48.19          7.97    19.4       18.9    1011100500041 
  5.00     0.04         48.19          5.83    20.0       18.1    1011100500042 
  5.00     0.05         56.34          8.96    13.1       14.7    1011100500043 
  5.00     0.04         56.34          8.40    15.4       15.5    1011100500044 
  5.00     0.04         56.34          5.79    13.2       23.8    1011100500045 
  5.00     0.04         61.41          4.99    18.5       22.2    1011100500046 
  5.00     0.04         66.49          6.43    18.8       17.8    1011100500047 
  5.00     0.04         74.57          6.33    19.9       23.8    1011100500048 
  5.00     0.04         81.61          5.56    22.5       11.7    1011100500049 
  5.00     0.05         91.63          8.46    13.0       18.5    1011100500050 
  5.00     0.05         91.64          9.83     8.8       13.7    1011100500051 
  5.00     0.04         91.64          6.80    13.2       15.8    1011100500052 
  5.00     0.04        101.61          5.41    13.9       31.2    1011100500053 
  5.00     0.04        111.53          7.27    12.9       16.2    1011100500054 
  5.00     0.04        116.48          8.19    14.2       14.8    1011100500055 
  5.00     0.04        131.25          6.15    29.1       19.5    1011100500056 
  5.00     0.04        141.06         10.30    15.0       32.1    1011100500057 
  5.04     0.04         30.81         10.79     9.7       12.7    1011100500058 
  5.04     0.04         44.11          8.40    12.9       18.8    1011100500059 
  5.04     0.04         56.33         10.35    11.1       17.3    1011100500060 
  5.04     0.04         56.33         11.40    14.8       24.8    1011100500061 
  5.04     0.04         56.33         10.44     8.8       13.7    1011100500062 
  5.04     0.04         69.50          7.94    10.2       11.5    1011100500063 
  5.04     0.04         81.59          7.46    12.5       20.3    1011100500064 
  5.04     0.04         94.62          7.87    12.6       16.2    1011100500065 
  5.04     0.04        106.57          7.13    14.8       16.1    1011100500066 
  5.04     0.04        118.45          9.29    13.6       15.2    1011100500067 
  5.04     0.04        131.25          8.75    12.5       15.0    1011100500068 
  5.18     0.05         91.60          8.99    10.0       11.4    1011100500069 
  5.50     0.05         91.53          5.16    17.6       10.9    1011100500070 
  5.56     0.04         30.76          6.39    23.0       15.3    1011100500071 
  5.56     0.04         44.03          6.86    21.4       19.6    1011100500072 
  5.56     0.04         44.04          6.48    24.3       16.6    1011100500073 
  5.56     0.04         52.18          6.50    15.6       12.8    1011100500074 
  5.56     0.04         61.32          3.50    10.0       18.1    1011100500075 
  5.56     0.04         76.47          6.26    20.1       25.0    1011100500076 
  5.56     0.04         91.52          5.76    15.4       18.7    1011100500077 
  5.56     0.04        106.47          5.90    13.0       16.8    1011100500078 
  5.56     0.04        119.34          6.52    13.1       25.9    1011100500079 
  5.56     0.04        133.13          7.47    17.2       17.8    1011100500080 
  6.00     0.13         53.64          7.70     5.6        5.6    1011100500081 
  6.13     0.04         40.93          3.78    32.6       26.0    1011100500082 
  6.13     0.04         46.02          3.33    25.1       16.8    1011100500083 
  6.13     0.04         51.10          4.02    17.6       18.1    1011100500084 
  6.13     0.04         56.17          4.26    19.5       18.1    1011100500085 
  6.13     0.04         96.44          4.12    12.3       16.8    1011100500086 
  6.44     0.13        120.72          5.65     8.8       25.2    1011100500087 
  6.44     0.13        128.13          4.86    20.7       28.5    1011100500088 
  6.44     0.13        135.50          4.70    15.7       11.3    1011100500089 
  6.53     0.03         40.90          4.55    11.7       18.7    1011100500090 
  6.53     0.03         56.15          4.17    14.5       22.2    1011100500091 
  6.53     0.03        111.32          3.50    14.1       17.9    1011100500092 
  7.54     0.04        101.31          1.76    28.9       28.9    1011100500093 
  7.54     0.04        108.27          1.53    32.8       32.8    1011100500094 
  7.54     0.04        115.21          1.58    38.0       38.0    1011100500095 
  7.54     0.04        120.65          1.59    23.9       34.6    1011100500096 
  7.54     0.04        128.06          1.24    29.9       29.9    1011100500097 
  7.54     0.04        135.45          1.90    25.8       25.8    1011100500098 
  8.56     0.08        128.02          1.09    28.6       28.6    1011100500099 
  8.56     0.08        135.41          1.29    16.5       35.5    1011100500100 
ENDDATA             78          0                                 1011100500101 
ENDSUBENT          100          0                                 1011100599999 
NOSUBENT      10111006   20000203                             00001011100600001 
NOSUBENT      10111007   20000203                             00001011100700001 
NOSUBENT      10111008   20000203                             00001011100800001 
NOSUBENT      10111009   20000203                             00001011100900001 
SUBENT        10111010   20000202                             00001011101000001 
BIB                  3         13                                 1011101000002 
REACTION   (26-FE-0(N,INL)26-FE-0,PAR,DA)                         1011101000003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1011101000004 
            . geometric parameters,                               1011101000005 
            . finite size corrections,                            1011101000006 
            . statistics,                                         1011101000007 
            . residual background effects due to peak stripping   1011101000008 
              procedures.                                         1011101000009 
            Does not include absolute error of + or - 7%,         1011101000010 
             estimated error in the absolute value of the         1011101000011 
             detector efficiency.                                 1011101000012 
HISTORY    (19800807A) SUBENTRIES 10,18,24,33,42,50,61,71,80,90,  1011101000013 
            101,111,122, AND 136 COMBINED.                        1011101000014 
           (19840418A) DATA SORTED.                               1011101000015 
ENDBIB              13          0                                 1011101000016 
COMMON               2          3                                 1011101000017 
E-LVL      E-LVL                                                  1011101000018 
MEV        MEV                                                    1011101000019 
  3.119      3.122                                                1011101000020 
ENDCOMMON            3          0                                 1011101000021 
DATA                 6         75                                 1011101000022 
EN         EN-RSL     ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1011101000023 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1011101000024 
  4.46     0.07         91.94         14.42    20.9       19.5    1011101000025 
  4.60     0.05         44.27         13.76    17.1       26.9    1011101000026 
  4.60     0.05         56.53         13.54    16.6       23.2    1011101000027 
  4.60     0.05         69.74         12.15    18.1       22.8    1011101000028 
  4.60     0.05         81.84         13.61    14.5       16.4    1011101000029 
  4.60     0.05         94.86         14.85    24.1       25.4    1011101000030 
  4.60     0.05         94.87         13.00    16.3       25.3    1011101000031 
  4.60     0.05        106.81         12.71    17.2       22.7    1011101000032 
  4.60     0.05        119.65         16.55    22.6       18.7    1011101000033 
  4.60     0.05        119.66         13.03    17.9       21.5    1011101000034 
  4.60     0.05        119.66         12.65    16.5       22.5    1011101000035 
  4.60     0.05        133.39         13.45    15.6       21.9    1011101000036 
  5.00     0.04         35.99         10.44    19.9       30.2    1011101000037 
  5.00     0.04         41.11          7.90    20.4       33.9    1011101000038 
  5.00     0.04         48.25          8.36    21.9       27.5    1011101000039 
  5.00     0.04         48.25          7.34    24.8       24.3    1011101000040 
  5.00     0.05         56.40         10.53    12.5       12.5    1011101000041 
  5.00     0.04         56.40         10.45    15.3       24.3    1011101000042 
  5.00     0.04         56.40          6.72    16.7       25.2    1011101000043 
  5.00     0.04         61.48          9.65    14.4       21.7    1011101000044 
  5.00     0.04         66.56          9.10    13.3       27.0    1011101000045 
  5.00     0.04         74.64          6.53    31.4       21.4    1011101000046 
  5.00     0.04         81.69          8.20    14.4       16.7    1011101000047 
  5.00     0.05         91.71          9.52    14.5       14.6    1011101000048 
  5.00     0.05         91.72         11.08    10.3       14.1    1011101000049 
  5.00     0.04         91.72          8.75    15.5       23.0    1011101000050 
  5.00     0.04        101.69          6.48    22.3       28.0    1011101000051 
  5.00     0.04        111.61          9.74    10.7       27.4    1011101000052 
  5.00     0.04        116.56          7.64    31.3       20.4    1011101000053 
  5.00     0.04        131.31          7.73    31.3       22.8    1011101000054 
  5.00     0.04        141.11         12.92    15.9       30.3    1011101000055 
  5.04     0.04         30.85         10.32    12.1       24.7    1011101000056 
  5.04     0.04         44.16          9.03    16.0       26.9    1011101000057 
  5.04     0.04         56.39         12.12    20.5       24.5    1011101000058 
  5.04     0.04         56.39          9.90    12.6       21.4    1011101000059 
  5.04     0.04         56.39         11.68    10.3       17.8    1011101000060 
  5.04     0.04         69.58         10.19     9.7       21.7    1011101000061 
  5.04     0.04         81.67         10.35    11.2       23.0    1011101000062 
  5.04     0.04         94.70          9.71    16.9       14.3    1011101000063 
  5.04     0.04        106.64          9.45    17.4       13.5    1011101000064 
  5.04     0.04        118.51         12.23    13.7       14.5    1011101000065 
  5.04     0.04        131.30         10.67    13.5       21.4    1011101000066 
  5.18     0.05         91.67          9.87    12.0       13.7    1011101000067 
  5.50     0.05         91.59          8.60    11.6       12.7    1011101000068 
  5.56     0.04         30.79          7.91    19.5       19.7    1011101000069 
  5.56     0.04         44.07          7.27    17.9       20.1    1011101000070 
  5.56     0.04         44.07          6.67    21.8       19.6    1011101000071 
  5.56     0.04         52.22          8.62    12.4       20.1    1011101000072 
  5.56     0.04         61.37          4.16    12.4       18.3    1011101000073 
  5.56     0.04         76.52          8.88    14.3       18.1    1011101000074 
  5.56     0.04         91.57          8.05    14.2       19.0    1011101000075 
  5.56     0.04        106.52          8.13    11.7       16.6    1011101000076 
  5.56     0.04        119.39          7.83    13.4       25.6    1011101000077 
  5.56     0.04        133.17          7.66    24.5       24.1    1011101000078 
  6.00     0.13         53.69          7.27     5.7        5.7    1011101000079 
  6.13     0.04         40.95          5.04    29.5       21.3    1011101000080 
  6.13     0.04         46.05          5.35    13.0       25.3    1011101000081 
  6.13     0.04         51.14          5.02    16.8       18.2    1011101000082 
  6.13     0.04         56.21          6.12    16.6       27.2    1011101000083 
  6.13     0.04         96.48          5.55    12.0       18.9    1011101000084 
  6.44     0.13        120.76          3.93    13.3       27.6    1011101000085 
  6.44     0.13        128.16          4.22     9.2       27.2    1011101000086 
  6.44     0.13        135.53          5.22    10.5        9.6    1011101000087 
  6.53     0.03         40.93          5.30    10.0       23.2    1011101000088 
  6.53     0.03         56.18          4.74    14.3       31.5    1011101000089 
  6.53     0.03        111.35          3.94    15.8       27.0    1011101000090 
  7.54     0.04         84.34          2.76    16.8       16.8    1011101000091 
  7.54     0.04        101.33          1.88    22.4       22.4    1011101000092 
  7.54     0.04        108.29          1.96    32.4       32.4    1011101000093 
  7.54     0.04        115.24          2.15    33.6       33.6    1011101000094 
  7.54     0.04        120.67          2.52    25.7       29.0    1011101000095 
  7.54     0.04        128.08          2.54    11.0       11.0    1011101000096 
  7.54     0.04        135.46          2.78    21.0       21.0    1011101000097 
  8.56     0.08        128.03          1.53    24.5       24.5    1011101000098 
  8.56     0.08        135.42          1.85    18.5       28.8    1011101000099 
ENDDATA             77          0                                 1011101000100 
ENDSUBENT           99          0                                 1011101099999 
SUBENT        10111011   20000202                             00001011101100001 
BIB                  3         12                                 1011101100002 
REACTION   (26-FE-0(N,EL)26-FE-0,,DA)                             1011101100003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1011101100004 
            . geometric parameters,                               1011101100005 
            . finite size corrections,                            1011101100006 
            . statistics,                                         1011101100007 
            . residual background effects due to peak stripping   1011101100008 
              procedures.                                         1011101100009 
            Does not include absolute error of + or - 7%,         1011101100010 
             estimated error in the absolute value of the         1011101100011 
             detector efficiency.                                 1011101100012 
HISTORY    (19800807A) SUBENTRIES 11,28,37,54,66,85,95,106,116,   1011101100013 
            AND 130 COMBINED.                                     1011101100014 
ENDBIB              12          0                                 1011101100015 
NOCOMMON             0          0                                 1011101100016 
DATA                 6        168                                 1011101100017 
EN         EN-RSL-HW  ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1011101100018 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1011101100019 
  4.60     0.05         30.51        643.17     5.7        6.7    1011101100020 
  4.60     0.05         43.70        348.34     6.8        6.0    1011101100021 
  4.60     0.05         55.84         67.13     9.4        8.3    1011101100022 
  4.60     0.05         68.95         17.74    17.8       16.5    1011101100023 
  4.60     0.05         81.01         29.17    11.2       10.4    1011101100024 
  4.60     0.05         94.03         59.80    10.9        8.1    1011101100025 
  4.60     0.05         94.03         48.85     9.1        9.2    1011101100026 
  4.60     0.05        105.99         64.96     8.3        7.3    1011101100027 
  4.60     0.05        118.91         46.94    11.0       12.6    1011101100028 
  4.60     0.05        118.91         52.57     7.9        8.6    1011101100029 
  4.60     0.05        118.91         53.02     7.7        7.7    1011101100030 
  4.60     0.05        132.76         41.33     8.7        8.1    1011101100031 
  5.00     0.04         25.43        949.22     6.1        4.9    1011101100032 
  5.00     0.04         30.51        767.17     5.1        6.7    1011101100033 
  5.00     0.04         35.59        512.31     6.7        5.5    1011101100034 
  5.00     0.04         40.66        329.37    10.2        5.5    1011101100035 
  5.00     0.04         47.75        175.13     7.7        6.2    1011101100036 
  5.00     0.04         47.75        169.05     8.1        6.9    1011101100037 
  5.00     0.04         55.84         70.82     8.8        7.1    1011101100038 
  5.00     0.04         55.84         98.50     7.7        7.1    1011101100039 
  5.00     0.04         60.89         26.37    13.7       10.8    1011101100040 
  5.00     0.04         65.93         11.93    16.3       21.5    1011101100041 
  5.00     0.04         73.98          9.33    23.0       16.0    1011101100042 
  5.00     0.04         81.01         19.36     9.2       10.7    1011101100043 
  5.00     0.04         91.03         26.20    13.5        9.0    1011101100044 
  5.00     0.04        101.01         40.77     7.2        7.2    1011101100045 
  5.00     0.04        110.97         41.80     7.9        7.5    1011101100046 
  5.00     0.04        115.93         34.36     8.2        7.0    1011101100047 
  5.00     0.04        130.79         17.91    16.8       13.7    1011101100048 
  5.00     0.04        140.66         14.20    18.9       18.6    1011101100049 
  5.04     0.04         30.51        743.83     5.3        5.2    1011101100050 
  5.04     0.04         43.70        190.83     6.8        6.6    1011101100051 
  5.04     0.04         55.84         80.27     8.1        8.9    1011101100052 
  5.04     0.04         55.84         67.75     8.7        7.7    1011101100053 
  5.04     0.04         55.84         86.90     7.4        7.4    1011101100054 
  5.04     0.04         68.95         14.14    17.1       16.2    1011101100055 
  5.04     0.04         81.01         20.84    12.7       10.8    1011101100056 
  5.04     0.04         94.03         39.26     8.7        8.5    1011101100057 
  5.04     0.04        105.99         41.72     9.3        7.4    1011101100058 
  5.04     0.04        117.92         39.88     8.9        8.4    1011101100059 
  5.04     0.04        130.79         19.71    12.4       12.3    1011101100060 
  5.44     0.17         24.93       1346.70     4.7        6.7    1011101100061 
  5.44     0.17         27.98        973.87     4.9        7.2    1011101100062 
  5.44     0.17         32.55        761.98     4.5        5.8    1011101100063 
  5.44     0.17         32.55        716.99     4.7        6.0    1011101100064 
  5.44     0.17         38.13        482.33     4.9        5.8    1011101100065 
  5.44     0.17         38.13        474.80     5.1        5.8    1011101100066 
  5.44     0.17         42.69        314.33     5.0        5.2    1011101100067 
  5.44     0.17         43.70        297.60     5.6        6.0    1011101100068 
  5.44     0.17         48.26        169.45     5.5        6.1    1011101100069 
  5.44     0.17         53.82         80.82     6.8        7.0    1011101100070 
  5.44     0.17         61.29         12.19    21.3       23.0    1011101100071 
  5.44     0.17         72.98         11.54    17.5       19.3    1011101100072 
  5.44     0.17         78.51         22.70    10.3       12.9    1011101100073 
  5.44     0.17         84.02         30.61     8.9        9.4    1011101100074 
  5.44     0.17         89.03         33.62     7.7        8.8    1011101100075 
  5.44     0.17         94.53         40.17     7.3       11.1    1011101100076 
  5.44     0.17        100.02         40.25     6.8        7.9    1011101100077 
  5.44     0.17        104.00         36.73     8.6        6.9    1011101100078 
  5.44     0.17        109.48         34.71     7.8       10.1    1011101100079 
  5.44     0.17        114.94         31.04     8.0        8.2    1011101100080 
  5.56     0.04         30.51        898.77     5.8        5.4    1011101100081 
  5.56     0.04         43.70        285.13     6.8        7.3    1011101100082 
  5.56     0.04         43.70        227.37     6.6        7.0    1011101100083 
  5.56     0.04         51.80        119.21     7.5        9.2    1011101100084 
  5.56     0.04         60.89          3.01    57.4       53.7    1011101100085 
  5.56     0.04         75.99         15.68    18.2       18.6    1011101100086 
  5.56     0.04         91.03         29.96    10.7       10.0    1011101100087 
  5.56     0.04        105.99         27.68    10.2       10.5    1011101100088 
  5.56     0.04        118.91         22.24    13.3       10.1    1011101100089 
  5.56     0.04        132.76         14.08    16.5       15.8    1011101100090 
  6.13     0.04         30.51        790.22     5.8        5.5    1011101100091 
  6.13     0.04         40.66        256.34    14.1        9.1    1011101100092 
  6.13     0.04         40.66        318.57     8.3        8.3    1011101100093 
  6.13     0.04         45.73        181.77     7.7        8.7    1011101100094 
  6.13     0.04         50.79        105.32     8.7        8.2    1011101100095 
  6.13     0.04         50.79         83.15    15.8        8.7    1011101100096 
  6.13     0.04         55.84         47.91    10.4       14.2    1011101100097 
  6.13     0.04         65.93         10.78    32.5       28.0    1011101100098 
  6.13     0.04         70.96          7.84    41.0       31.1    1011101100099 
  6.13     0.04         81.01         14.95    18.8       16.3    1011101100100 
  6.13     0.04         91.03         23.30    20.1       10.5    1011101100101 
  6.13     0.04         96.02         28.07    10.3       10.1    1011101100102 
  6.13     0.04        114.64         20.66    18.4       12.7    1011101100103 
  6.44     0.13         15.27       2173.34     4.6        4.0    1011101100104 
  6.44     0.13         22.89       1400.77     4.3        5.3    1011101100105 
  6.44     0.13         22.89       1493.44     4.1        5.2    1011101100106 
  6.44     0.13         27.98        927.35     4.6        5.4    1011101100107 
  6.44     0.13         32.55        699.99     4.3        6.1    1011101100108 
  6.44     0.13         33.05        719.91     4.4        8.4    1011101100109 
  6.44     0.13         38.13        416.80     4.8        5.2    1011101100110 
  6.44     0.13         43.70        228.51     5.0        6.5    1011101100111 
  6.44     0.13         47.75        136.61     6.0        8.2    1011101100112 
  6.44     0.13         53.32         52.88     7.3       10.0    1011101100113 
  6.44     0.13         53.32         52.26     7.1        8.2    1011101100114 
  6.44     0.13         58.87         23.12    11.7       14.9    1011101100115 
  6.44     0.13         62.91         12.72    17.3       17.1    1011101100116 
  6.44     0.13         68.45         10.63    18.3       16.5    1011101100117 
  6.44     0.13         73.98         16.42    10.0       13.1    1011101100118 
  6.44     0.13         78.00         19.46     8.5       10.0    1011101100119 
  6.44     0.13         83.52         22.18     7.8       10.0    1011101100120 
  6.44     0.13         89.03         28.44     6.6        8.5    1011101100121 
  6.44     0.13         93.03         27.79     6.5        8.5    1011101100122 
  6.44     0.13         98.52         25.96     6.6        9.0    1011101100123 
  6.44     0.13        103.01         29.29     6.3        7.3    1011101100124 
  6.44     0.13        104.00         28.21     6.3        9.0    1011101100125 
  6.44     0.13        108.48         26.93     6.4        8.7    1011101100126 
  6.44     0.13        113.95         24.62     6.7        8.2    1011101100127 
  6.44     0.13        118.91         16.94     7.8        9.9    1011101100128 
  6.44     0.13        120.40         16.73    10.1       12.4    1011101100129 
  6.44     0.13        127.82         11.04    11.8       13.5    1011101100130 
  6.44     0.13        135.23          8.39    15.1       15.1    1011101100131 
  6.53     0.03         30.51        766.89     4.8        5.7    1011101100132 
