ENTRY            10582   20040723                             00001058200000001 
SUBENT        10582001   20040723                             00001058200100001 
BIB                 12         18                                 1058200100002 
INSTITUTE  (1USAORL)                                              1058200100003 
REFERENCE  (R,ORNL-TM-4544,197405)                                1058200100004 
           (J,NSE,62,515,197703) Review                           1058200100005 
AUTHOR     (J.K.Dickens,T.A.Love,G.L.Morgan)                      1058200100006 
TITLE      Gamma-Ray Production due to Neutron Interactions with  1058200100007 
            Magnesium for Incident Neutron Energies between 0.8   1058200100008 
            and 20 MeV: Tabulated Differential Cross Sections     1058200100009 
FACILITY   (LINAC,1USAORL) Oak Ridge Electron Linear Accelerator  1058200100010 
INC-SOURCE (PHOTO) Photneutrons from water-cooled Ta target.      1058200100011 
SAMPLE     30-cm by 30-cm by 2.5-cm thick, total thickness is     1058200100012 
            0.11 atoms/barn                                       1058200100013 
METHOD     Sample placed at 45 degree angle to beam. Linac pulse  1058200100014 
            width is 5 nano-sec.                                  1058200100015 
DETECTOR   (NAICR) Sodium-iodide spectrometer, 12.7-cm by 12.7-cm 1058200100016 
MONITOR    No information                                         1058200100017 
STATUS     (APRVD) Approved by G.L.Morgan, 1978/12/15.            1058200100018 
HISTORY    (19781023C)                                            1058200100019 
           (20040723A) Converted to new data formts, lower case.  1058200100020 
ENDBIB              18          0                                 1058200100021 
NOCOMMON             0          0                                 1058200100022 
ENDSUBENT           21          0                                 1058200199999 
SUBENT        10582002   20040723                             00001058200200001 
BIB                  4         14                                 1058200200002 
REACTION   (12-MG-0(N,X)0-G-0,,DA/DE)                             1058200200003 
ANALYSIS   Data are middle values of confidence interval. Each    1058200200004 
            set of data for neutron energy grouped into pulse     1058200200005 
            height bins corresponding to detector responce matrix 1058200200006 
            and unfolded using ferd.                              1058200200007 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1058200200008 
            . neutron flux measurements,                          1058200200009 
            . effective area of beam,                             1058200200010 
            . absolute efficiency of detector.                    1058200200011 
           Absolute normalization error (not included in quoted   1058200200012 
            value) approx 10%.                                    1058200200013 
           Relative error between adjacent neutron energy groups  1058200200014 
            for same gamma energy <5%.                            1058200200015 
HISTORY    (19841205A) REACTION corrected.                        1058200200016 
ENDBIB              14          0                                 1058200200017 
COMMON               1          3                                 1058200200018 
ANG                                                               1058200200019 
ADEG                                                              1058200200020 
 90.                                                              1058200200021 
ENDCOMMON            3          0                                 1058200200022 
DATA                 5       2595                                 1058200200023 
EN-MIN     EN-MAX     E          DATA       DATA-ERR              1058200200024 
  1.00       1.25      9.010 E+00 2.41  E-06 1.70  E-06           1058200200118 
  1.00       1.25      9.150 E+00 1.81  E-06 1.36  E-06           1058200200119 
  1.00       1.25      9.300 E+00 6.95  E-07 8.47  E-07           1058200200120 
  1.00       1.25      9.460 E+00-9.77  E-09 6.58  E-07           1058200200121 
  1.00       1.25      9.620 E+00-2.78  E-07 5.90  E-07           1058200200122 
  1.00       1.25      9.780 E+00-1.56  E-07 5.36  E-07           1058200200123 
  1.00       1.25      9.940 E+00 2.41  E-07 4.64  E-07           1058200200124 
  1.00       1.25      1.010 E+01 4.54  E-07 5.41  E-07           1058200200125 
  1.00       1.25      1.026 E+01 5.84  E-07 3.82  E-07           1058200200126 
  1.00       1.25      1.042 E+01 5.84  E-07 2.92  E-07           1058200200127 
  1.00       1.25      1.058 E+01 4.05  E-07 2.85  E-07           1058200200128 
  1.25       1.50      6.9000E-01 1.0286E-03 4.4437E-04           1058200200129 
  1.25       1.50      7.1000E-01 4.6036E-04 3.5717E-04           1058200200130 
  1.25       1.50      7.3000E-01 1.2300E-04 3.6185E-04           1058200200131 
  1.25       1.50      7.5000E-01 2.4282E-04 3.5469E-04           1058200200132 
  1.25       1.50      7.7000E-01 6.2612E-04 3.5387E-04           1058200200133 
  1.25       1.50      7.9000E-01 1.2076E-03 3.3622E-04           1058200200134 
  1.25       1.50      8.1000E-01 1.8637E-03 3.1124E-04           1058200200135 
  1.25       1.50      8.3000E-01 2.2201E-03 2.7363E-04           1058200200136 
  1.25       1.50      8.5000E-01 2.1111E-03 2.8206E-04           1058200200137 
  1.25       1.50      8.7000E-01 2.1366E-03 2.8124E-04           1058200200138 
  1.25       1.50      8.9000E-01 3.1932E-03 2.9021E-04           1058200200139 
  1.25       1.50      9.1000E-01 5.4585E-03 3.1682E-04           1058200200140 
  1.25       1.50      9.3000E-01 8.0767E-03 3.0579E-04           1058200200141 
  1.25       1.50      9.5000E-01 9.6558E-03 3.1382E-04           1058200200142 
  1.25       1.50      9.7000E-01 9.4637E-03 2.8141E-04           1058200200143 
  1.25       1.50      1.0000E+00 6.6690E-03 2.4726E-04           1058200200144 
  1.25       1.50      1.0400E+00 2.5055E-03 1.5556E-04           1058200200145 
  1.25       1.50      1.0800E+00 5.4614E-04 1.1121E-04           1058200200146 
  1.25       1.50      1.1200E+00 7.9043E-05 9.2449E-05           1058200200147 
  1.25       1.50      1.1600E+00 4.4667E-05 8.0749E-05           1058200200148 
