ENTRY            13527   19951218                             00001352700000001 
SUBENT        13527001   19951218                             00001352700100001 
BIB                 13         22                                 1352700100002 
INSTITUTE  (1USALAS,1USAOHO,1USADAV,1USATNL,2SWDUPP)              1352700100003 
REFERENCE  (J,PR/C,45,1791,9204)                                  1352700100004 
AUTHOR     (B.K.PARK,J.RAPAPORT,J.L.ULLMANN,A.G.LING,D.S.SORENSON,1352700100005 
           F.P.BRADY,J.L.ROMERO,C.R.HOWELL,W.TORNOW,C.T.RONNQVIST)1352700100006 
TITLE      Gamow-Teller and dipole strength distribution in       1352700100007 
            40Ca(n,p)40K reaction.                                1352700100008 
FACILITY   (MESON) LAMPF-WNR                                      1352700100009 
INC-SOURCE White neutron source, spallation neutrons from 800 MeV 1352700100010 
            protons on tungsten                                   1352700100011 
SAMPLE     Natural calcium in multi-target array.                 1352700100012 
DETECTOR   (MWPC) 4 single-plane multiwire proportional counters. 1352700100013 
           (CSICR) To measure energy of detected protons          1352700100014 
MONITOR    (1-H-1(N,EL)1-H-1,,SIG)                                1352700100015 
CORRECTION Corrected for:                                         1352700100016 
           - background                                           1352700100017 
           - misidentification of events due to target chamber    1352700100018 
             inefficiencies                                       1352700100019 
           - angular resolution                                   1352700100020 
ERR-ANALYS (DATA-ERR) statistical uncertainty                     1352700100021 
STATUS     Data received by electronic file transfer, 96/8/6.     1352700100022 
           (APRVD) Approved by B. Park, 96/9/13                   1352700100023 
HISTORY    (911219C)                                              1352700100024 
ENDBIB              22          0                                 1352700100025 
NOCOMMON             0          0                                 1352700100026 
ENDSUBENT           25          0                                 1352700199999 
SUBENT        13527002   19951218                             00001352700200001 
BIB                  1          1                                 1352700200002 
REACTION   (20-CA-40(N,P)19-K-40,,DA/DE)                          1352700200003 
ENDBIB               1          0                                 1352700200004 
COMMON               2          3                                 1352700200005 
EN-MIN     EN-MAX                                                 1352700200006 
MEV        MEV                                                    1352700200007 
 60.        70.                                                   1352700200008 
ENDCOMMON            3          0                                 1352700200009 
DATA                 5        419                                 1352700200010 
ANG-MIN    ANG-MAX    E-EXC      DATA       DATA-ERR              1352700200011 
         6.         8.       23.3 0.4016E+00 0.6183E-01           1352700200246 
         6.         8.       23.8 0.4972E+00 0.6888E-01           1352700200247 
         6.         8.       24.3 0.3580E+00 0.5820E-01           1352700200248 
         6.         8.       24.8 0.3570E+00 0.5799E-01           1352700200249 
         6.         8.       25.3 0.3149E+00 0.5441E-01           1352700200250 
         6.         8.       25.8 0.1638E+00 0.3899E-01           1352700200251 
         6.         8.       26.3 0.1224E+00 0.3354E-01           1352700200252 
         6.         8.       26.8 0.1085E+00 0.3152E-01           1352700200253 
         6.         8.       27.3 0.1354E-01 0.1109E-01           1352700200254 
         8.        10.       -2.7 0.4200E-01 0.2449E-01           1352700200255 
         8.        10.       -2.2 0.8393E-01 0.3453E-01           1352700200256 
         8.        10.       -1.7 0.0000E+00 0.0000E+00           1352700200257 
         8.        10.       -1.2 0.1258E+00 0.4230E-01           1352700200258 
         8.        10.       -0.7 0.1048E+00 0.3856E-01           1352700200259 
         8.        10.       -0.2 0.1887E+00 0.5199E-01           1352700200260 
         8.        10.        0.3 0.3565E+00 0.7175E-01           1352700200261 
         8.        10.        0.8 0.4405E+00 0.7988E-01           1352700200262 
         8.        10.        1.3 0.5456E+00 0.8905E-01           1352700200263 
         8.        10.        1.8 0.7559E+00 0.1054E+00           1352700200264 
         8.        10.        2.3 0.5463E+00 0.8939E-01           1352700200265 
         8.        10.        2.8 0.6308E+00 0.9631E-01           1352700200266 
         8.        10.        3.3 0.6524E+00 0.9777E-01           1352700200267 
         8.        10.        3.8 0.5267E+00 0.8786E-01           1352700200268 
         8.        10.        4.3 0.2953E+00 0.6531E-01           1352700200269 
         8.        10.        4.8 0.5069E+00 0.8603E-01           1352700200270 
         8.        10.        5.3 0.4228E+00 0.7847E-01           1352700200271 
         8.        10.        5.8 0.1905E+00 0.5272E-01           1352700200272 
         8.        10.        6.3 0.5814E+00 0.9257E-01           1352700200273 
         8.        10.        6.8 0.5516E+00 0.9065E-01           1352700200274 
         8.        10.        7.3 0.4036E+00 0.7705E-01           1352700200275 
         8.        10.        7.8 0.8084E+00 0.1098E+00           1352700200276 
         8.        10.        8.3 0.9255E+00 0.1179E+00           1352700200277 
         8.        10.        8.8 0.9176E+00 0.1174E+00           1352700200278 
         8.        10.        9.3 0.8335E+00 0.1117E+00           1352700200279 
         8.        10.        9.8 0.1563E+01 0.1547E+00           1352700200280 
         8.        10.       10.3 0.1179E+01 0.1338E+00           1352700200281 
         8.        10.       10.8 0.1127E+01 0.1310E+00           1352700200282 
         8.        10.       11.3 0.9111E+00 0.1176E+00           1352700200283 
         8.        10.       11.8 0.1661E+01 0.1604E+00           1352700200284 
         8.        10.       12.3 0.1328E+01 0.1432E+00           1352700200285 
         8.        10.       12.8 0.1372E+01 0.1458E+00           1352700200286 
         8.        10.       13.3 0.1138E+01 0.1332E+00           1352700200287 
         8.        10.       13.8 0.1520E+01 0.1538E+00           1352700200288 
         8.        10.       14.3 0.1655E+01 0.1612E+00           1352700200289 
         8.        10.       14.8 0.1309E+01 0.1430E+00           1352700200290 
         8.        10.       15.3 0.1454E+01 0.1513E+00           1352700200291 
         8.        10.       15.8 0.1777E+01 0.1681E+00           1352700200292 
         8.        10.       16.3 0.1565E+01 0.1577E+00           1352700200293 
         8.        10.       16.8 0.7026E+00 0.1043E+00           1352700200294 
         8.        10.       17.3 0.1420E+01 0.1497E+00           1352700200295 
         8.        10.       17.8 0.1179E+01 0.1363E+00           1352700200296 
