EN-MIN     EN-MAX     DATA       MISC1      MISC2                 1438300200017 
EV         EV         NO-DIM     NO-DIM     NO-DIM                1438300200018 
   15.34617   15.38155    0.12133    0.11305    0.12960           1438300200205 
   15.38155   15.41701    0.13987    0.13157    0.14816           1438300200206 
   15.41701   15.45254    0.11903    0.11124    0.12682           1438300200207 
   15.45254   15.48817    0.11463    0.10671    0.12255           1438300200208 
   15.48817   15.52387    0.10750    0.09980    0.11520           1438300200209 
   15.52387   15.55966    0.10250    0.09467    0.11032           1438300200210 
   15.55966   15.59553    0.10695    0.09888    0.11503           1438300200211 
   15.59553   15.63148    0.11706    0.10890    0.12521           1438300200212 
   15.63148   15.66751    0.12335    0.11472    0.13199           1438300200213 
   15.66751   15.70363    0.10587    0.09696    0.11479           1438300200214 
   15.70363   15.73983    0.12222    0.11275    0.13170           1438300200215 
   15.73983   15.77611    0.12642    0.11606    0.13679           1438300200216 
   15.77611   15.81248    0.13038    0.11955    0.14120           1438300200217 
   15.81248   15.84893    0.10926    0.09798    0.12054           1438300200218 
   15.84893   15.88547    0.15314    0.14062    0.16566           1438300200219 
   15.88547   15.92209    0.14053    0.12730    0.15375           1438300200220 
   15.92209   15.95879    0.12847    0.11406    0.14288           1438300200221 
   15.95879   15.99558    0.14934    0.13447    0.16422           1438300200222 
   15.99558   16.03245    0.14395    0.12743    0.16046           1438300200223 
   16.03245   16.06941    0.15999    0.14303    0.17694           1438300200224 
   16.06941   16.10646    0.17863    0.16005    0.19720           1438300200225 
   16.10646   16.14359    0.18057    0.16029    0.20086           1438300200226 
   16.14359   16.18080    0.16698    0.14638    0.18759           1438300200227 
   16.18080   16.21810    0.24883    0.22441    0.27324           1438300200228 
   16.21810   16.25549    0.14622    0.12374    0.16870           1438300200229 
   16.25549   16.29296    0.18457    0.15987    0.20927           1438300200230 
   16.29296   16.33052    0.21659    0.19119    0.24199           1438300200231 
   16.33052   16.36817    0.25354    0.22434    0.28274           1438300200232 
   16.36817   16.40590    0.28902    0.25888    0.31916           1438300200233 
   16.40590   16.44372    0.29006    0.25840    0.32172           1438300200234 
   16.44372   16.48162    0.23721    0.20683    0.26760           1438300200235 
   16.48162   16.51962    0.23911    0.20761    0.27062           1438300200236 
   16.51962   16.55770    0.28730    0.25371    0.32089           1438300200237 
   16.55770   16.59587    0.32537    0.29064    0.36011           1438300200238 
   16.59587   16.63413    0.36482    0.32924    0.40040           1438300200239 
   16.63413   16.67247    0.31631    0.28095    0.35166           1438300200240 
   16.67247   16.71091    0.35832    0.32114    0.39551           1438300200241 
   16.71091   16.74943    0.46067    0.42096    0.50038           1438300200242 
   16.74943   16.78804    0.44576    0.40692    0.48460           1438300200243 
   16.78804   16.82674    0.44524    0.40792    0.48256           1438300200244 
   16.82674   16.86553    0.66272    0.62015    0.70529           1438300200245 
   16.86553   16.90441    0.46250    0.42612    0.49887           1438300200246 
   16.90441   16.94338    0.62166    0.58285    0.66048           1438300200247 
   16.94338   16.98244    0.62185    0.58487    0.65884           1438300200248 
   16.98244   17.02159    0.62630    0.58990    0.66271           1438300200249 
   17.02159   17.06082    0.73923    0.70205    0.77641           1438300200250 
   17.06082   17.10015    0.71648    0.68177    0.75120           1438300200251 
   17.10015   17.13957    0.68846    0.65704    0.71988           1438300200252 
   17.13957   17.17908    0.81203    0.77970    0.84436           1438300200253 
   17.17908   17.21869    0.82927    0.79844    0.86009           1438300200254 
   17.21869   17.25838    0.82847    0.79957    0.85737           1438300200255 
   17.25838   17.29816    0.83421    0.80720    0.86123           1438300200256 
   17.29816   17.33804    0.90567    0.87970    0.93164           1438300200257 
   17.33804   17.37801    0.93823    0.91349    0.96297           1438300200258 
   17.37801   17.41807    0.91997    0.89821    0.94173           1438300200259 
   17.41807   17.45822    0.92575    0.90661    0.94488           1438300200260 
   17.45822   17.49847    0.95459    0.93735    0.97183           1438300200261 
   17.49847   17.53881    0.96431    0.94977    0.97886           1438300200262 
   17.53881   17.57924    1.00094    0.98848    1.01341           1438300200263 
   17.57924   17.61976    1.02397    1.01328    1.03466           1438300200264 
   17.61976   17.66038    1.05194    1.04238    1.06149           1438300200265 
   17.66038   17.70109    1.05850    1.04944    1.06756           1438300200266 
   17.70109   17.74190    1.05863    1.04932    1.06795           1438300200267 
   17.74190   17.78279    1.06242    1.05167    1.07316           1438300200268 
   17.78279   17.82379    1.10589    1.09199    1.11979           1438300200269 
   17.82379   17.86488    1.11209    1.09334    1.13084           1438300200270 
   17.86488   17.90606    1.12771    1.10176    1.15366           1438300200271 
   17.90606   17.94734    1.16958    1.13381    1.20535           1438300200272 
   17.94734   17.98871    1.20911    1.16185    1.25638           1438300200273 
   17.98871   18.03018    1.25428    1.19482    1.31374           1438300200274 
   18.03018   18.07174    1.40231    1.32842    1.47620           1438300200275 
   18.07174   18.11340    1.18712    1.10662    1.26761           1438300200276 
   18.11340   18.15516    1.37584    1.27760    1.47408           1438300200277 
   18.15516   18.19701    1.16918    1.07065    1.26771           1438300200278 
   18.19701   18.23896    1.20171    1.09039    1.31303           1438300200279 
   18.23896   18.28100    1.30382    1.17558    1.43206           1438300200280 
   18.28100   18.32314    1.45358    1.30790    1.59926           1438300200281 
   18.32314   18.36538    1.25192    1.10248    1.40136           1438300200282 
   18.36538   18.40772    1.07982    0.93862    1.22102           1438300200283 
   18.40772   18.45015    1.15504    0.99734    1.31274           1438300200284 
   18.45015   18.49269    1.13075    0.95894    1.30257           1438300200285 
   18.49269   18.53532    1.19886    1.02153    1.37618           1438300200286 
   18.53532   18.57805    1.15760    0.98529    1.32990           1438300200287 
   18.57805   18.62087    1.35090    1.14597    1.55583           1438300200288 
   18.62087   18.66380    1.14385    0.94533    1.34237           1438300200289 
   18.66380   18.70682    1.52959    1.28950    1.76968           1438300200290 
   18.70682   18.74995    1.33355    1.08020    1.58690           1438300200291 
