ENTRY            10550   20040517                             00001055000000001 
SUBENT        10550001   20040517                             00001055000100001 
BIB                 12         28                                 1055000100002 
INSTITUTE  (1USATNL,1USADKE,1USANCS)                              1055000100003 
REFERENCE  (J,NSE,68,38,1978)                                     1055000100004 
           (T,HOGUE,1977)                                         1055000100005 
AUTHOR     (H.H.Hogue,P.L.von Behren,D.H.Epperson,                1055000100006 
           S.G.Glendeinning,P.W.Lisowski,C.E.Nelson,H.W.Newson,   1055000100007 
           P.O.Purser,W.Tornow,C.R.Gould,L.W.Seagondollar)        1055000100008 
TITLE      Differential Elastic and Inelastic Scattering of       1055000100009 
            7 to 15-MeV Neutrons from Beryllium.                  1055000100010 
FACILITY   (VDG,1USATNL)                                          1055000100011 
INC-SOURCE (D-D) Deuterons on deuterium gas target                1055000100012 
METHOD     (TOF) Time-of-flight.                                  1055000100013 
DETECTOR   (SCIN) NE-218 scintillation detectors                  1055000100014 
MONITOR    (1-H-1(N,EL)1-H-1,,DA) n-p scattering used to monitor  1055000100015 
           detector efficiency and normalize data.                1055000100016 
CORRECTION Data corrected for background and dead time in both    1055000100017 
           scattering sample and polyethelene normalization       1055000100018 
           sample. Also corrected for finite geometry,            1055000100019 
           detector efficiency, and multiple scattering.          1055000100020 
STATUS     (APRVD) Approved by F.O.Purser 1978/3/29               1055000100021 
            Data taken from private comm., Purser, 1977/5.        1055000100022 
HISTORY    (19760218C)                                            1055000100023 
           (19780329A) BIB update. Preliminary data replaced.     1055000100024 
            Converted to REACTION formalism.                      1055000100025 
           (19781128A) Reference update                           1055000100026 
           (19790604A) Reference update                           1055000100027 
           (19830928A) BIB correction, errors updated.            1055000100028 
           (19840706A) Carbon data moved to data set 12890        1055000100029 
           (20040517A) Converted to new date formats, lower case. 1055000100030 
ENDBIB              28          0                                 1055000100031 
NOCOMMON             0          0                                 1055000100032 
ENDSUBENT           31          0                                 1055000199999 
SUBENT        10550002   20040517                             00001055000200001 
BIB                  3          6                                 1055000200002 
REACTION   (4-BE-9(N,EL)4-BE-9,,DA)                               1055000200003 
SAMPLE     1.95 cm. diameter x 2.54 cm. long. 99.9% pure 9Be.     1055000200004 
ERR-ANALYS (ERR-T) Includes counting statistics, relative         1055000200005 
           detector efficiency, multiple scattering and           1055000200006 
           normalization uncertainty.                             1055000200007 
           (ERR-1) Normalization uncertainty.                     1055000200008 
ENDBIB               6          0                                 1055000200009 
NOCOMMON             0          0                                 1055000200010 
DATA                 5        246                                 1055000200011 
EN         ANG-CM     DATA-CM    ERR-T      ERR-1                 1055000200012 
 7.97       162.02     10.93      0.74        3.0                 1055000500074 
 8.96        33.92     25.65      2.04        3.0                 1055000500075 
 8.96        39.40     23.32      2.13        3.0                 1055000500076 
 8.96        50.28     18.90      1.65        3.0                 1055000500077 
 8.96        61.05     20.67      1.43        3.0                 1055000500078 
 8.96        66.38     21.40      1.22        3.0                 1055000500079 
 8.96        71.67     20.32      1.27        3.0                 1055000500080 
 8.96        76.90     18.11      1.15        3.0                 1055000500081 
 8.96        82.09     18.40      1.10        3.0                 1055000500082 
 8.96        92.31     18.24      1.18        3.0                 1055000500083 
 8.96       102.29     18.15      1.16        3.0                 1055000500084 
 8.96       112.02     17.33      1.23        3.0                 1055000500085 
 8.96       121.53     17.21      1.16        3.0                 1055000500086 
 8.96       126.20     13.93      0.99        3.0                 1055000500087 
 8.96       130.83     14.87      1.13        3.0                 1055000500088 
 8.96       135.39     13.98      1.03        3.0                 1055000500089 
 8.96       139.92     14.18      1.02        3.0                 1055000500090 
 8.96       144.41     10.77      0.86        3.0                 1055000500091 
 8.96       148.84     11.00      0.85        3.0                 1055000500092 
 8.96       153.24     11.81      0.88        3.0                 1055000500093 
 8.96       157.61      8.22      0.68        3.0                 1055000500094 
 8.96       161.94      8.38      0.64        3.0                 1055000500095 
 9.96        28.40     25.96      1.27        3.0                 1055000500096 
 9.96        33.87     27.27      1.23        3.0                 1055000500097 
 9.96        39.33     26.57      1.16        3.0                 1055000500098 
 9.96        44.76     25.31      1.08        3.0                 1055000500099 
 9.96        50.17     25.48      1.10        3.0                 1055000500100 
 9.96        55.55     22.71      0.99        3.0                 1055000500101 
 9.96        60.91     22.33      0.92        3.0                 1055000500102 
 9.96        66.21     22.16      0.95        3.0                 1055000500103 
 9.96        71.49     21.18      0.97        3.0                 1055000500104 
 9.96        76.73     18.52      0.82        3.0                 1055000500105 
 9.96        81.91     17.48      1.42        3.0                 1055000500106 
 9.96        87.05     16.75      0.89        3.0                 1055000500107 
 9.96        92.13     16.11      0.84        3.0                 1055000500108 
 9.96        97.17     16.10      0.85        3.0                 1055000500109 
 9.96       102.13     17.63      0.88        3.0                 1055000500110 
 9.96       107.05     15.56      0.82        3.0                 1055000500111 
 9.96       111.90     17.01      0.84        3.0                 1055000500112 
 9.96       116.69     15.69      0.81        3.0                 1055000500113 
 9.96       121.44     15.00      0.80        3.0                 1055000500114 
 9.96       126.11     13.95      0.74        3.0                 1055000500115 
 9.96       130.74     14.65      0.77        3.0                 1055000500116 
 9.96       139.85     12.69      0.71        3.0                 1055000500117 
 9.96       144.35     11.67      0.66        3.0                 1055000500118 
 9.96       148.80     10.63      0.61        3.0                 1055000500119 
 9.96       153.22     11.31      0.63        3.0                 1055000500120 
 9.96       157.59      8.93      0.62        3.0                 1055000500121 
 9.96       161.93      9.65      0.63        3.0                 1055000500122 
10.95        28.41     20.37      1.64        3.0                 1055000500123 
10.95        33.85     21.95      1.26        3.0                 1055000500124 
10.95        39.29     21.13      1.26        3.0                 1055000500125 
10.95        44.70     21.62      1.19        3.0                 1055000500126 
10.95        50.08     22.54      1.13        3.0                 1055000500127 
10.95        55.45     21.25      1.08        3.0                 1055000500128 
10.95        60.77     19.87      1.02        3.0                 1055000500129 
10.95        66.07     18.35      1.00        3.0                 1055000500130 
10.95        71.32     19.08      0.96        3.0                 1055000500131 
10.95        76.53     17.12      0.99        3.0                 1055000500132 
10.95        81.71     14.23      0.95        3.0                 1055000500133 
10.95        86.85     13.65      0.88        3.0                 1055000500134 
10.95        91.93     12.85      0.90        3.0                 1055000500135 
10.95        96.97     13.68      0.83        3.0                 1055000500136 
10.95       101.95     11.80      0.83        3.0                 1055000500137 
10.95       106.88     13.14      0.81        3.0                 1055000500138 
10.95       111.75      9.67      0.80        3.0                 1055000500139 
10.95       116.57     12.07      0.75        3.0                 1055000500140 
10.95       121.31     10.64      0.75        3.0                 1055000500141 
10.95       130.65     10.95      0.70        3.0                 1055000500142 
10.95       135.24     10.83      0.71        3.0                 1055000500143 
10.95       139.79      9.46      0.67        3.0                 1055000500144 
10.95       144.29      9.52      0.66        3.0                 1055000500145 
10.95       148.74      8.54      0.64        3.0                 1055000500146 
10.95       153.17      7.60      0.60        3.0                 1055000500147 
10.95       157.56      9.22      0.61        3.0                 1055000500148 
10.95       161.89      8.50      0.55        3.0                 1055000500149 
12.04        28.37     22.55      1.26        3.0                 1055000500150 
12.04        33.81     22.94      0.99        3.0                 1055000500151 
12.04        39.26     19.46      1.00        3.0                 1055000500152 
12.04        44.68     20.61      0.96        3.0                 1055000500153 
12.04        50.08     20.22      0.90        3.0                 1055000500154 
12.04        55.45     17.27      0.93        3.0                 1055000500155 
12.04        60.78     19.17      0.90        3.0                 1055000500156 
12.04        66.07     16.90      0.86        3.0                 1055000500157 
12.04        71.34     16.10      0.79        3.0                 1055000500158 
12.04        76.55     14.91      0.76        3.0                 1055000500159 
12.04        81.72     13.88      0.74        3.0                 1055000500160 
12.04        86.84     13.56      0.71        3.0                 1055000500161 
12.04        91.92     12.42      0.70        3.0                 1055000500162 
12.04        96.94     10.98      0.63        3.0                 1055000500163 
12.04       101.91     10.45      0.62        3.0                 1055000500164 
12.04       106.83      9.87      0.56        3.0                 1055000500165 
12.04       111.70     10.45      0.59        3.0                 1055000500166 
12.04       116.50      9.14      0.57        3.0                 1055000500167 
12.04       121.25      8.81      0.49        3.0                 1055000500168 
12.04       125.95      9.51      0.55        3.0                 1055000500169 
12.04       130.60      8.17      0.51        3.0                 1055000500170 
12.04       135.20      7.58      0.48        3.0                 1055000500171 
12.04       144.27      6.92      0.46        3.0                 1055000500172 
12.04       148.74      7.14      0.46        3.0                 1055000500173 
12.04       153.18      6.63      0.41        3.0                 1055000500174 
12.04       157.58      5.57      0.39        3.0                 1055000500175 
12.04       161.93      5.10      0.37        3.0                 1055000500176 
12.94        28.43     17.28      1.43        4.59                1055000500177 
12.94        33.86     16.54      1.46        4.59                1055000500178 
12.94        39.29     18.01      1.14        4.59                1055000500179 
12.94        44.69     16.95      1.20        4.59                1055000500180 
12.94        50.09     15.71      1.21        4.59                1055000500181 
12.94        55.44     15.75      1.06        4.59                1055000500182 
12.94        60.77     14.62      1.02        4.59                1055000500183 
12.94        66.06     14.10      0.94        4.59                1055000500184 
12.94        71.31     14.02      0.91        4.59                1055000500185 
12.94        76.53     11.24      0.85        4.59                1055000500186 
12.94        86.84     11.72      0.75        4.59                1055000500187 
12.94        91.91      9.93      0.73        4.59                1055000500188 
12.94        96.95     10.28      0.73        4.59                1055000500189 
12.94       101.94      8.35      0.70        4.59                1055000500190 
12.94       106.85      9.29      0.68        4.59                1055000500191 
12.94       111.72      8.89      0.69        4.59                1055000500192 
12.94       121.26      7.31      0.63        4.59                1055000500193 
12.94       125.96      7.35      0.60        4.59                1055000500194 
12.94       130.60      7.57      0.57        4.59                1055000500195 
12.94       139.72      6.97      0.53        4.59                1055000500196 
12.94       144.23      6.76      0.46        4.59                1055000500197 
12.94       148.70      4.78      0.43        4.59                1055000500198 
12.94       153.12      5.01      0.41        4.59                1055000500199 
12.94       157.52      4.71      0.38        4.59                1055000500200 
12.94       161.86      4.08      0.32        4.59                1055000500201 
13.94        28.35     19.66      1.84        4.59                1055000500202 
13.94        44.60     18.54      1.47        4.59                1055000500203 
13.94        49.98     18.25      1.42        4.59                1055000500204 
13.94        65.94     15.68      1.16        4.59                1055000500205 
13.94        76.39     13.74      0.97        4.59                1055000500206 
13.94        86.69     10.39      0.79        4.59                1055000500207 
13.94        91.78     11.83      0.79        4.59                1055000500208 
13.94        96.81     10.28      0.77        4.59                1055000500209 
13.94       101.80      9.62      0.66        4.59                1055000500210 
13.94       106.72      8.91      0.70        4.59                1055000500211 
13.94       111.59      8.33      0.68        4.59                1055000500212 
13.94       116.40      8.66      0.63        4.59                1055000500213 
13.94       121.14      7.18      0.61        4.59                1055000500214 
13.94       125.83      7.71      0.57        4.59                1055000500215 
13.94       130.48      7.44      0.50        4.59                1055000500216 
13.94       139.61      5.90      0.46        4.59                1055000500217 
13.94       144.10      6.03      0.48        4.59                1055000500218 
13.94       148.56      5.49      0.52        4.59                1055000500219 
13.94       152.98      4.82      0.39        4.59                1055000500220 
13.94       161.71      4.03      0.36        4.59                1055000500221 
14.94        28.15     35.69      5.63        5.48                1055000500222 
14.94        33.57     24.62      3.75        5.48                1055000500223 
14.94        39.01     19.80      3.64        5.48                1055000500224 
14.94        44.41     18.35      3.14        5.48                1055000500225 
14.94        49.80     20.32      2.66        5.48                1055000500226 
14.94        55.18     15.74      2.39        5.48                1055000500227 
14.94        60.52     15.50      2.37        5.48                1055000500228 
14.94        65.83     13.69      1.77        5.48                1055000500229 
14.94        71.10     12.31      1.88        5.48                1055000500230 
14.94        76.35     10.95      1.53        5.48                1055000500231 
14.94        81.53     10.70      1.66        5.48                1055000500232 
14.94        96.78      8.90      1.29        5.48                1055000500233 
14.94       101.75      8.09      1.43        5.48                1055000500234 
14.94       106.66      7.57      1.24        5.48                1055000500235 
14.94       111.52      7.06      1.19        5.48                1055000500236 
14.94       116.32      8.13      1.16        5.48                1055000500237 
14.94       121.08      6.70      1.08        5.48                1055000500238 
14.94       125.77      7.06      1.14        5.48                1055000500239 
14.94       130.42      4.99      0.91        5.48                1055000500240 
14.94       135.03      5.73      0.86        5.48                1055000500241 
14.94       139.59      4.64      0.85        5.48                1055000500242 
14.94       144.12      4.97      0.90        5.48                1055000500243 
14.94       148.60      4.80      0.74        5.48                1055000500244 
14.94       153.06      3.50      0.73        5.48                1055000500245 
14.94       157.46      3.14      0.69        5.48                1055000500246 
14.94       161.84      3.39      0.73        5.48                1055000500247 
ENDDATA            231          0                                 1055000500248 
ENDSUBENT          247          0                                 1055000599999 
SUBENT        10550006   20040517                             00001055000600001 
BIB                  4          4                                 1055000600002 
REACTION   (4-BE-9(N,INL)4-BE-9,PAR,DA,,LEG)                      1055000600003 
SAMPLE     1.95 cm. diameter x 2.54 cm. long. 99.9% pure 9Be.     1055000600004 
ERR-ANALYS (DATA-ERR) Fitting error.                              1055000600005 
STATUS     (DEP,10550005)                                         1055000600006 
ENDBIB               4          0                                 1055000600007 
COMMON               1          3                                 1055000600008 
Q-VAL                                                             1055000600009 
MEV                                                               1055000600010 
-2.43                                                             1055000600011 
ENDCOMMON            3          0                                 1055000600012 
DATA                 4         36                                 1055000600013 
EN         NUMBER-CM  DATA-CM    DATA-ERR                         1055000600014 
MEV        NO-DIM     MB/SR      MB/SR                            1055000600015 
 6.97       0.         24.104     0.272                           1055000600016 
 6.97       1.          6.263     0.464                           1055000600017 
 6.97       2.         -0.043     0.661                           1055000600018 
 6.97       3.          7.239     0.781                           1055000600019 
 7.97       0.         21.616     0.195                           1055000600020 
 7.97       1.          7.365     0.336                           1055000600021 
 7.97       2.          0.087     0.478                           1055000600022 
 7.97       3.          5.035     0.565                           1055000600023 
 8.96       0.         18.343     0.377                           1055000600024 
 8.96       1.          7.161     0.798                           1055000600025 
 8.96       2.         -0.554     1.025                           1055000600026 
 8.96       3.          3.618     0.879                           1055000600027 
 9.96       0.         18.638     0.206                           1055000600028 
 9.96       1.          9.110     0.369                           1055000600029 
 9.96       2.          1.533     0.537                           1055000600030 
 9.96       3.          2.301     0.593                           1055000600031 
10.95       0.         15.211     0.251                           1055000600032 
10.95       1.          8.303     0.474                           1055000600033 
10.95       2.          1.299     0.669                           1055000600034 
10.95       3.         -0.361     0.704                           1055000600035 
12.04       0.         13.599     0.156                           1055000600036 
12.04       1.          9.256     0.291                           1055000600037 
12.04       2.          1.696     0.412                           1055000600038 
12.04       3.          0.774     0.421                           1055000600039 
12.94       0.         11.383     0.193                           1055000600040 
12.94       1.          7.344     0.369                           1055000600041 
12.94       2.          0.996     0.510                           1055000600042 
12.94       3.          1.156     0.500                           1055000600043 
13.94       0.         12.086     0.251                           1055000600044 
13.94       1.          8.824     0.533                           1055000600045 
13.94       2.          1.737     0.610                           1055000600046 
13.94       3.          1.245     0.503                           1055000600047 
14.94       0.         11.766     0.270                           1055000600048 
14.94       1.         11.357     0.596                           1055000600049 
14.94       2.          5.184     0.781                           1055000600050 
14.94       3.          3.256     0.618                           1055000600051 
ENDDATA             38          0                                 1055000600052 
ENDSUBENT           51          0                                 1055000699999 
SUBENT        10550007   20040517                             00001055000700001 
BIB                  4          5                                 1055000700002 
REACTION   (4-BE-9(N,INL)4-BE-9,PAR,SIG)                          1055000700003 
ANALYSIS   (INTAD)                                                1055000700004 
ERR-ANALYS (DATA-ERR) Fitting error.                              1055000700005 
STATUS     (DEP,10550005) Determined from measured angular        1055000700006 
           distributions                                          1055000700007 
ENDBIB               5          0                                 1055000700008 
COMMON               1          3                                 1055000700009 
Q-VAL                                                             1055000700010 
MEV                                                               1055000700011 
-2.43                                                             1055000700012 
ENDCOMMON            3          0                                 1055000700013 
DATA                 3          9                                 1055000700014 
EN         DATA       DATA-ERR                                    1055000700015 
MEV        MB         MB                                          1055000700016 
 6.97       302.9      9.7                                        1055000700017 
 7.97       271.6      8.5                                        1055000700018 
 8.96       230.5      8.3                                        1055000700019 
 9.96       234.2      7.4                                        1055000700020 
10.95       191.2      6.5                                        1055000700021 
12.04       170.9      5.4                                        1055000700022 
12.94       143.0      7.0                                        1055000700023 
13.94       151.9      7.6                                        1055000700024 
14.94       147.9      8.7                                        1055000700025 
ENDDATA             11          0                                 1055000700026 
ENDSUBENT           25          0                                 1055000799999 
NOSUBENT      10550008   19840706                             00001055000800001 
NOSUBENT      10550009   19840706                             00001055000900001 
NOSUBENT      10550010   19840706                             00001055001000001 
NOSUBENT      10550011   19840706                             00001055001100001 
NOSUBENT      10550012   19840706                             00001055001200001 
NOSUBENT      10550013   19840706                             00001055001300001 
ENDENTRY            13          0                                 1055099999999 
