ENTRY            13787   20140416                             14011378700000001 
SUBENT        13787001   20140416                             14011378700100001 
BIB                 14         31                                 1378700100002 
INSTITUTE  (1USALRL,1USALAS)                                      1378700100003 
REFERENCE  (J,PR/C,65,021601,200202)                              1378700100004 
           (J,NSTS,2,620,2002)                                    1378700100005 
AUTHOR     (L.A.Bernstein,J.A.Becker,P.E.Garrett,W.Younes,        1378700100006 
           D.P.McNabb,D.E.Archer,C.A.McGrath,H.Chen,W.E.Ormand,   1378700100007 
           M.A.Stoyer,R.O.Nelson,M.B.Chadwick,G.D.Johns,          1378700100008 
           W.S.Wilburn,M.Devlin,D.M.Drake,P.G.Young)              1378700100009 
TITLE      239Pu(n,2n)238Pu cross section deduced using a         1378700100010 
            combination of experiment and theory                  1378700100011 
FACILITY   (MESON,1USALAS) LANSCE/WNR facility.                   1378700100012 
INC-SOURCE (SPALL) Protons on tungsten target.                    1378700100013 
SAMPLE     Two 98.014% enriched 239Pu targets, 0.0277- and        1378700100014 
            0.0500-cm thick.                                      1378700100015 
METHOD     (TOF). 20.34-m flight path.                            1378700100016 
DETECTOR   (GE-IN) GEANIE spectrometer, consisting of 15 coaxial  1378700100017 
            Ge detectors (9 Compton suppressed), and 11 planar    1378700100018 
            Compton suppressed Ge detectors.                      1378700100019 
MONITOR    Detector array efficiency measured using set of        1378700100020 
            calibrated sources.                                   1378700100021 
           Neutron fluence measured using fission chambers        1378700100022 
            containing 235U and 238U.                             1378700100023 
CORRECTION Corrected for deadtime and background.                 1378700100024 
ERR-ANALYS (DATA-ERR) Contributions to uncertainty not given.     1378700100025 
           (ERR-1) Uncertainty due to gamma-ray statistics and    1378700100026 
            peak-fitting.                                         1378700100027 
STATUS     (TABLE) Data received by e-mail from L. Bernstein,     1378700100028 
            16 April 2002.                                        1378700100029 
           No reply from L. Bernstein to author proof.            1378700100030 
HISTORY    (20020417C)                                            1378700100031 
           (20050918C) DR Second reference added                  1378700100032 
           (20140416U) SD: Ref. C, 2001TSUKUB, 1-> J, NSTS, 2.    1378700100033 
ENDBIB              31          0                                 1378700100034 
NOCOMMON             0          0                                 1378700100035 
ENDSUBENT           34          0                                 1378700199999 
SUBENT        13787002   20020417                             00001378700200001 
BIB                  1          1                                 1378700200002 
REACTION   (94-PU-239(N,2N)94-PU-238,PAR,SIG,G)                   1378700200003 
ENDBIB               1          0                                 1378700200004 
NOCOMMON             0          0                                 1378700200005 
DATA                 6        400                                 1378700200006 
E          EN         EN-ERR     DATA       DATA-ERR   ERR-1      1378700200007 
 936.6        3.574      0.079     0.0007      0.0017     0.0017  1378700200334 
 936.6        3.766      0.086     0.0020      0.0016     0.0016  1378700200335 
 936.6        3.973      0.093     0.0003      0.0016     0.0016  1378700200336 
 936.6        4.200      0.101    -0.0025      0.0015     0.0015  1378700200337 
 936.6        4.445      0.110     0.0001      0.0016     0.0016  1378700200338 
 936.6        4.713      0.119    -0.0021      0.0015     0.0015  1378700200339 
 936.6        5.001      0.132    -0.0008      0.0015     0.0015  1378700200340 
 936.6        5.325      0.144    -0.0010      0.0015     0.0015  1378700200341 
 936.6        5.678      0.159    -0.0004      0.0015     0.0015  1378700200342 
 936.6        6.064      0.176    -0.0012      0.0012     0.0012  1378700200343 
 936.6        6.500      0.195     0.0013      0.0013     0.0013  1378700200344 
 936.6        6.969      0.215     0.0016      0.0013     0.0013  1378700200345 
 936.6        7.498      0.243     0.0105      0.0014     0.0013  1378700200346 
 936.6        8.105      0.272     0.0199      0.0016     0.0015  1378700200347 
 936.6        8.773      0.306     0.0290      0.0018     0.0016  1378700200348 
 936.6        9.520      0.346     0.0345      0.0020     0.0018  1378700200349 
 936.6       10.392      0.395     0.0377      0.0021     0.0018  1378700200350 
 936.6       11.373      0.453     0.0471      0.0025     0.0021  1378700200351 
 936.6       12.499      0.525     0.0387      0.0024     0.0021  1378700200352 
 936.6       13.824      0.606     0.0272      0.0021     0.0019  1378700200353 
 936.6       15.359      0.719     0.0245      0.0020     0.0019  1378700200354 
 936.6       17.183      0.846     0.0216      0.0020     0.0020  1378700200355 
 936.6       19.336      1.018     0.0198      0.0019     0.0019  1378700200356 
 936.6       21.960      1.225     0.0244      0.0020     0.0019  1378700200357 
 936.6       25.121      1.516     0.0220      0.0019     0.0018  1378700200358 
 962.8        1.321      0.018     0.0006      0.0006     0.0006  1378700200359 
 962.8        1.365      0.019     0.0014      0.0006     0.0005  1378700200360 
 962.8        1.409      0.019     0.0009      0.0005     0.0005  1378700200361 
 962.8        1.455      0.021     0.0012      0.0005     0.0005  1378700200362 
 962.8        1.504      0.022     0.0017      0.0005     0.0005  1378700200363 
 962.8        1.556      0.023     0.0010      0.0005     0.0005  1378700200364 
 962.8        1.610      0.024     0.0004      0.0005     0.0005  1378700200365 
 962.8        1.667      0.025     0.0014      0.0005     0.0005  1378700200366 
 962.8        1.728      0.027     0.0007      0.0005     0.0005  1378700200367 
 962.8        1.792      0.028     0.0011      0.0004     0.0004  1378700200368 
 962.8        1.858      0.029     0.0003      0.0005     0.0005  1378700200369 
 962.8        1.929      0.032     0.0017      0.0004     0.0004  1378700200370 
 962.8        2.004      0.033     0.0010      0.0005     0.0005  1378700200371 
 962.8        2.084      0.035     0.0004      0.0004     0.0004  1378700200372 
 962.8        2.169      0.037     0.0009      0.0004     0.0004  1378700200373 
 962.8        2.259      0.040     0.0010      0.0004     0.0004  1378700200374 
 962.8        2.354      0.042     0.0012      0.0004     0.0004  1378700200375 
 962.8        2.455      0.045     0.0009      0.0004     0.0004  1378700200376 
 962.8        2.564      0.048     0.0014      0.0005     0.0005  1378700200377 
 962.8        2.680      0.052     0.0015      0.0005     0.0005  1378700200378 
 962.8        2.802      0.055     0.0012      0.0005     0.0005  1378700200379 
 962.8        2.938      0.060     0.0012      0.0005     0.0005  1378700200380 
 962.8        3.078      0.063     0.0023      0.0005     0.0005  1378700200381 
 962.8        3.231      0.068     0.0012      0.0005     0.0005  1378700200382 
 962.8        3.396      0.074     0.0014      0.0005     0.0005  1378700200383 
 962.8        3.574      0.079     0.0015      0.0005     0.0005  1378700200384 
 962.8        3.766      0.086     0.0002      0.0005     0.0005  1378700200385 
 962.8        3.973      0.093     0.0013      0.0004     0.0004  1378700200386 
 962.8        4.200      0.101     0.0021      0.0004     0.0004  1378700200387 
 962.8        4.445      0.110     0.0015      0.0004     0.0004  1378700200388 
 962.8        4.713      0.119     0.0008      0.0004     0.0004  1378700200389 
 962.8        5.001      0.132     0.0008      0.0004     0.0004  1378700200390 
 962.8        5.325      0.144     0.0008      0.0004     0.0004  1378700200391 
 962.8        5.678      0.159     0.0009      0.0004     0.0004  1378700200392 
 962.8        6.064      0.176     0.0008      0.0004     0.0004  1378700200393 
 962.8        6.500      0.195     0.0005      0.0004     0.0004  1378700200394 
 962.8        6.969      0.215     0.0015      0.0004     0.0004  1378700200395 
 962.8        7.498      0.243     0.0010      0.0005     0.0005  1378700200396 
 962.8        8.105      0.272     0.0008      0.0005     0.0005  1378700200397 
 962.8        8.773      0.306     0.0004      0.0004     0.0004  1378700200398 
 962.8        9.520      0.346     0.0011      0.0005     0.0005  1378700200399 
 962.8       10.392      0.395     0.0014      0.0005     0.0005  1378700200400 
 962.8       11.373      0.453     0.0032      0.0005     0.0005  1378700200401 
 962.8       12.499      0.525     0.0020      0.0005     0.0005  1378700200402 
 962.8       13.824      0.606     0.0023      0.0005     0.0005  1378700200403 
 962.8       15.359      0.719     0.0012      0.0005     0.0005  1378700200404 
 962.8       17.183      0.846     0.0010      0.0005     0.0005  1378700200405 
 962.8       19.336      1.018     0.0012      0.0005     0.0005  1378700200406 
 962.8       21.960      1.225     0.0013      0.0005     0.0005  1378700200407 
 962.8       25.121      1.516     0.0013      0.0005     0.0005  1378700200408 
ENDDATA            402          0                                 1378700200409 
ENDSUBENT          408          0                                 1378700299999 
ENDENTRY             2          0                                 1378799999999 
