ENTRY            14347   20121106                             13871434700000001 
SUBENT        14347001   20121106                             13871434700100001 
BIB                 10         38                                 1434700100002 
TITLE      Measurement of neutron-induced proton-production       1434700100003 
           energy spectra with NE213 scintillator                 1434700100004 
AUTHOR     (T.Kajimoto,N.Shigyo,K.Ishibashi,H.Arakawa,R.C.Haight, 1434700100005 
           N.Fotiades)                                            1434700100006 
INSTITUTE  (2JPNKYU,1USALAS)                                      1434700100007 
REFERENCE  (J,RM,47,596,2012)                                     1434700100008 
FACILITY   (LINAC,1USALAS) Experiment was performed at the        1434700100009 
           4FP15L beam line at the Weapons Neutron Research       1434700100010 
           facility of the Los Alamos Neutron Science Center.     1434700100011 
DETECTOR   (TELES,SCIN,SCIN) Protons emitted from the target      1434700100012 
           were measured with three DE-E detectors. Each DE-E     1434700100013 
           detector was constructed with a 15 15 cm2 and 1.0 cm   1434700100014 
           thick NE102A scintillator and a NE213 scintillator     1434700100015 
           with diameter of 12.7 cm and 12.7 cm thickness.The     1434700100016 
           dE-E detectors were placed at 15, 30, and 60deg        1434700100017 
           with respect to the neutron beam direction.            1434700100018 
           (IOCH) A fission ionization chamber with 238U target   1434700100019 
            was used to determine incident neutron flux.          1434700100020 
METHOD     (TOF) Time of flight method was used to measure        1434700100021 
           incident neutron energy                                1434700100022 
           (EDE) Emitted protons were identified using E-dE method1434700100023 
INC-SOURCE (SPALL) Incident neutrons were produced by a pulsed    1434700100024 
           800 MeV proton beam from a linear accelerator on a     1434700100025 
           thick water-cooled tungsten spallation target (Target- 1434700100026 
           4). Continuous energetic neutrons from Target-4 were   1434700100027 
           delivered at 15deg with respect to the proton beam.    1434700100028 
           An absorber consisting of 10.2 cm thick polyethylene   1434700100029 
           and 3.8 cm thick copper was inserted in the beam just  1434700100030 
           downstream of the shutter to reduce the number of low  1434700100031 
           energy neutrons                                        1434700100032 
ERR-ANALYS (ERR-T) Total uncertainty                              1434700100033 
           (ERR-1) Systematic uncertainty caused by neutrons      1434700100034 
                   from preceding micropulses                     1434700100035 
           (ERR-2) Systematic uncertainty in 238U fission cross   1434700100036 
                   section used for incident neutron flux         1434700100037 
                   determination                                  1434700100038 
           (ERR-3) Systematic uncertainty in detection efficiency 1434700100039 
HISTORY    (20121106C) Compiled by S.H.                           1434700100040 
ENDBIB              38          0                                 1434700100041 
COMMON               3          3                                 1434700100042 
ERR-1      ERR-2      ERR-3                                       1434700100043 
PER-CENT   PER-CENT   PER-CENT                                    1434700100044 
  1.0        10.0       10.0                                      1434700100045 
ENDCOMMON            3          0                                 1434700100046 
ENDSUBENT           45          0                                 1434700199999 
SUBENT        14347002   20121106                             13871434700200001 
BIB                  3          6                                 1434700200002 
REACTION   (6-C-12(N,X)1-H-1,,PY/DA/DE,,AV)                       1434700200003 
STATUS     (TABLE) Data presented in fig. 13,14 sent by           1434700200004 
           author (T.K.) Not all incident neutron energy          1434700200005 
           intervals are shown in fig. 13,14                      1434700200006 
SAMPLE     Graphite sample with density of 1.86g/cm3 and          1434700200007 
           thickness of 0.76 cm.                                  1434700200008 
ENDBIB               6          0                                 1434700200009 
COMMON               1          3                                 1434700200010 
ANG                                                               1434700200011 
ADEG                                                              1434700200012 
15.0                                                              1434700200013 
ENDCOMMON            3          0                                 1434700200014 
DATA                 6        174                                 1434700200015 
EN-MIN     EN-MAX     E-MIN      E-MAX      DATA       ERR-T      1434700200016 
MEV        MEV        MEV        MEV        P/IN/MEVSR P/IN/MEVSR 1434700200017 
      290.0      310.0       50.0       60.0   6.39E-06   1.14E-061434700300122 
      290.0      310.0       60.0       70.0   7.26E-06   1.28E-061434700300123 
      290.0      310.0       70.0       80.0   7.18E-06   1.26E-061434700300124 
      290.0      310.0       80.0       90.0   7.57E-06   1.33E-061434700300125 
      290.0      310.0       90.0      100.0   7.60E-06   1.31E-061434700300126 
      290.0      310.0      100.0      110.0   7.68E-06   1.34E-061434700300127 
      290.0      310.0      110.0      120.0   8.01E-06   1.38E-061434700300128 
      290.0      310.0      120.0      130.0   7.47E-06   1.30E-061434700300129 
      340.0      360.0       40.0       50.0   6.85E-06   1.20E-061434700300130 
      340.0      360.0       50.0       60.0   6.82E-06   1.23E-061434700300131 
      340.0      360.0       60.0       70.0   7.38E-06   1.33E-061434700300132 
      340.0      360.0       70.0       80.0   7.61E-06   1.35E-061434700300133 
      340.0      360.0       80.0       90.0   7.15E-06   1.27E-061434700300134 
      340.0      360.0       90.0      100.0   8.09E-06   1.41E-061434700300135 
      340.0      360.0      100.0      110.0   7.44E-06   1.31E-061434700300136 
      340.0      360.0      110.0      120.0   5.54E-06   1.03E-061434700300137 
      340.0      360.0      120.0      130.0   6.64E-06   1.14E-061434700300138 
      385.0      415.0       40.0       50.0   6.34E-06   1.09E-061434700300139 
      385.0      415.0       50.0       60.0   7.33E-06   1.23E-061434700300140 
      385.0      415.0       60.0       70.0   6.77E-06   1.15E-061434700300141 
      385.0      415.0       70.0       80.0   7.72E-06   1.31E-061434700300142 
      385.0      415.0       80.0       90.0   7.08E-06   1.21E-061434700300143 
      385.0      415.0       90.0      100.0   6.26E-06   1.09E-061434700300144 
      385.0      415.0      100.0      110.0   6.78E-06   1.18E-061434700300145 
      385.0      415.0      110.0      120.0   6.82E-06   1.16E-061434700300146 
      385.0      415.0      120.0      130.0   5.57E-06   9.80E-071434700300147 
      435.0      465.0       40.0       50.0   5.83E-06   1.01E-061434700300148 
      435.0      465.0       50.0       60.0   5.63E-06   1.01E-061434700300149 
      435.0      465.0       60.0       70.0   5.28E-06   9.67E-071434700300150 
      435.0      465.0       70.0       80.0   5.65E-06   1.04E-061434700300151 
      435.0      465.0       80.0       90.0   5.20E-06   1.00E-061434700300152 
      435.0      465.0       90.0      100.0   5.51E-06   9.98E-071434700300153 
      435.0      465.0      100.0      110.0   4.94E-06   1.00E-061434700300154 
      435.0      465.0      110.0      120.0   5.10E-06   9.23E-071434700300155 
      435.0      465.0      120.0      130.0   4.47E-06   8.44E-071434700300156 
      480.0      520.0       40.0       50.0   7.21E-06   1.26E-061434700300157 
      480.0      520.0       50.0       60.0   6.81E-06   1.22E-061434700300158 
      480.0      520.0       60.0       70.0   7.01E-06   1.24E-061434700300159 
      480.0      520.0       70.0       80.0   7.19E-06   1.25E-061434700300160 
      480.0      520.0       80.0       90.0   6.45E-06   1.17E-061434700300161 
      480.0      520.0       90.0      100.0   7.25E-06   1.29E-061434700300162 
      480.0      520.0      100.0      110.0   6.08E-06   1.16E-061434700300163 
      480.0      520.0      110.0      120.0   6.74E-06   1.18E-061434700300164 
      480.0      520.0      120.0      130.0   5.48E-06   9.96E-071434700300165 
      530.0      570.0       40.0       50.0   9.11E-06   1.52E-061434700300166 
      530.0      570.0       50.0       60.0   9.30E-06   1.59E-061434700300167 
      530.0      570.0       60.0       70.0   8.90E-06   1.55E-061434700300168 
      530.0      570.0       70.0       80.0   9.12E-06   1.55E-061434700300169 
      530.0      570.0       80.0       90.0   8.97E-06   1.55E-061434700300170 
      530.0      570.0       90.0      100.0   9.15E-06   1.61E-061434700300171 
      530.0      570.0      100.0      110.0   8.84E-06   1.54E-061434700300172 
      530.0      570.0      110.0      120.0   8.09E-06   1.41E-061434700300173 
      530.0      570.0      120.0      130.0   6.79E-06   1.27E-061434700300174 
      580.0      620.0       40.0       50.0   8.00E-06   1.32E-061434700300175 
      580.0      620.0       50.0       60.0   7.99E-06   1.33E-061434700300176 
      580.0      620.0       60.0       70.0   8.51E-06   1.43E-061434700300177 
      580.0      620.0       70.0       80.0   8.87E-06   1.47E-061434700300178 
      580.0      620.0       80.0       90.0   8.88E-06   1.46E-061434700300179 
      580.0      620.0       90.0      100.0   8.87E-06   1.54E-061434700300180 
      580.0      620.0      100.0      110.0   8.75E-06   1.43E-061434700300181 
      580.0      620.0      110.0      120.0   8.64E-06   1.45E-061434700300182 
      580.0      620.0      120.0      130.0   6.24E-06   1.17E-061434700300183 
      630.0      670.0       40.0       50.0   5.14E-06   8.30E-071434700300184 
      630.0      670.0       50.0       60.0   5.18E-06   8.46E-071434700300185 
      630.0      670.0       60.0       70.0   6.16E-06   1.02E-061434700300186 
      630.0      670.0       70.0       80.0   5.89E-06   9.74E-071434700300187 
      630.0      670.0       80.0       90.0   6.35E-06   1.06E-061434700300188 
      630.0      670.0       90.0      100.0   6.55E-06   1.08E-061434700300189 
      630.0      670.0      100.0      110.0   6.60E-06   1.10E-061434700300190 
      630.0      670.0      110.0      120.0   7.08E-06   1.15E-061434700300191 
      630.0      670.0      120.0      130.0   5.65E-06   1.01E-061434700300192 
ENDDATA            177          0                                 1434700300193 
ENDSUBENT          192          0                                 1434700399999 
SUBENT        14347004   20121106                             13871434700400001 
BIB                  3          6                                 1434700400002 
REACTION   (6-C-12(N,X)1-H-1,,PY/DA/DE,,AV)                       1434700400003 
STATUS     (TABLE) Data presented in fig. 13,14 sent by           1434700400004 
            author (T.K.) Not all incident neutron energy         1434700400005 
           intervals are shown in fig. 13,14                      1434700400006 
SAMPLE     Graphite sample with density of 1.86g/cm3 and          1434700400007 
           thickness of 0.76 cm.                                  1434700400008 
ENDBIB               6          0                                 1434700400009 
COMMON               1          3                                 1434700400010 
ANG                                                               1434700400011 
ADEG                                                              1434700400012 
60.0                                                              1434700400013 
ENDCOMMON            3          0                                 1434700400014 
DATA                 6        163                                 1434700400015 
EN-MIN     EN-MAX     E-MIN      E-MAX      DATA       ERR-T      1434700400016 
MEV        MEV        MEV        MEV        P/IN/MEVSR P/IN/MEVSR 1434700400017 
       72.5       77.5       40.0       50.0   6.10E-06   9.55E-071434700400018 
       72.5       77.5       50.0       60.0   1.32E-06   5.62E-071434700400019 
       72.5       77.5       60.0       70.0   1.13E-06   6.62E-071434700400020 
       72.5       77.5       70.0       80.0   4.29E-08   8.47E-081434700400021 
       77.5       82.5       40.0       50.0   6.62E-06   1.05E-061434700400022 
       77.5       82.5       50.0       60.0   3.86E-06   7.31E-071434700400023 
       77.5       82.5       60.0       70.0   7.73E-07   7.97E-071434700400024 
       77.5       82.5       70.0       80.0   1.87E-08   2.74E-071434700400025 
       82.5       87.5       40.0       50.0   5.91E-06   8.96E-071434700400026 
       82.5       87.5       50.0       60.0   3.50E-06   6.97E-071434700400027 
       82.5       87.5       60.0       70.0   1.05E-06   5.03E-071434700400028 
       82.5       87.5       70.0       80.0   7.70E-07   5.20E-071434700400029 
       87.5       92.5       40.0       50.0   6.91E-06   1.06E-061434700400030 
       87.5       92.5       50.0       60.0   4.32E-06   8.28E-071434700400031 
       87.5       92.5       60.0       70.0   2.35E-06   5.94E-071434700400032 
       87.5       92.5       70.0       80.0   1.15E-06   6.79E-071434700400033 
       87.5       92.5       80.0       90.0   3.46E-07   2.32E-071434700400034 
       92.5       97.5       40.0       50.0   7.41E-06   1.10E-061434700400035 
       92.5       97.5       50.0       60.0   7.33E-06   1.13E-061434700400036 
       92.5       97.5       60.0       70.0   5.11E-06   8.70E-071434700400037 
       92.5       97.5       70.0       80.0   3.67E-06   6.93E-071434700400038 
       92.5       97.5       80.0       90.0   0.00E+00   0.00E+001434700400039 
       92.5       97.5       90.0      100.0   2.46E-08   8.61E-081434700400040 
       97.5      102.5       40.0       50.0   9.28E-06   1.25E-061434700400041 
       97.5      102.5       50.0       60.0   7.98E-06   1.13E-061434700400042 
       97.5      102.5       60.0       70.0   5.86E-06   8.84E-071434700400043 
       97.5      102.5       70.0       80.0   2.50E-06   5.73E-071434700400044 
       97.5      102.5       80.0       90.0   1.11E-06   6.51E-071434700400045 
      102.5      107.5       40.0       50.0   8.10E-06   1.14E-061434700400046 
      102.5      107.5       50.0       60.0   6.23E-06   9.41E-071434700400047 
      102.5      107.5       60.0       70.0   5.95E-06   9.15E-071434700400048 
      102.5      107.5       70.0       80.0   2.71E-06   6.47E-071434700400049 
      102.5      107.5       80.0       90.0   7.10E-07   5.01E-071434700400050 
      107.5      112.5       40.0       50.0   6.91E-06   1.03E-061434700400051 
      107.5      112.5       50.0       60.0   5.41E-06   8.88E-071434700400052 
      107.5      112.5       60.0       70.0   5.50E-06   8.25E-071434700400053 
      107.5      112.5       70.0       80.0   3.84E-06   6.86E-071434700400054 
      107.5      112.5       80.0       90.0   1.89E-06   4.55E-071434700400055 
      112.5      117.5       40.0       50.0   6.50E-06   9.29E-071434700400056 
      112.5      117.5       50.0       60.0   7.02E-06   9.95E-071434700400057 
      112.5      117.5       60.0       70.0   6.60E-06   9.66E-071434700400058 
      112.5      117.5       70.0       80.0   3.81E-06   7.16E-071434700400059 
      112.5      117.5       80.0       90.0   1.39E-06   4.48E-071434700400060 
      112.5      117.5       90.0      100.0   8.01E-07   4.86E-071434700400061 
      117.5      122.5       40.0       50.0   7.85E-06   1.05E-061434700400062 
      117.5      122.5       50.0       60.0   7.67E-06   1.08E-061434700400063 
      117.5      122.5       60.0       70.0   5.92E-06   9.13E-071434700400064 
      117.5      122.5       70.0       80.0   4.46E-06   7.59E-071434700400065 
      117.5      122.5       80.0       90.0   2.30E-06   5.67E-071434700400066 
      117.5      122.5       90.0      100.0   6.60E-07   3.95E-071434700400067 
      122.5      127.5       40.0       50.0   8.48E-06   1.16E-061434700400068 
      122.5      127.5       50.0       60.0   8.60E-06   1.18E-061434700400069 
      122.5      127.5       60.0       70.0   6.13E-06   9.04E-071434700400070 
      122.5      127.5       70.0       80.0   6.38E-06   9.76E-071434700400071 
      122.5      127.5       80.0       90.0   2.41E-06   6.81E-071434700400072 
      122.5      127.5       90.0      100.0   1.74E-06   5.20E-071434700400073 
      122.5      127.5      100.0      110.0   1.64E-06   5.36E-071434700400074 
      127.5      132.5       40.0       50.0   7.13E-06   9.84E-071434700400075 
      127.5      132.5       50.0       60.0   6.56E-06   9.33E-071434700400076 
      127.5      132.5       60.0       70.0   6.62E-06   9.63E-071434700400077 
      127.5      132.5       70.0       80.0   3.88E-06   6.73E-071434700400078 
      127.5      132.5       80.0       90.0   2.84E-06   5.91E-071434700400079 
      127.5      132.5       90.0      100.0   1.64E-06   4.73E-071434700400080 
      127.5      132.5      100.0      110.0   8.93E-07   4.03E-071434700400081 
      145.0      155.0       40.0       50.0   7.15E-06   9.14E-071434700400082 
      145.0      155.0       50.0       60.0   7.09E-06   9.08E-071434700400083 
      145.0      155.0       60.0       70.0   6.57E-06   8.46E-071434700400084 
      145.0      155.0       70.0       80.0   5.87E-06   7.88E-071434700400085 
      145.0      155.0       80.0       90.0   4.50E-06   6.36E-071434700400086 
      145.0      155.0       90.0      100.0   2.42E-06   4.57E-071434700400087 
      145.0      155.0      100.0      110.0   1.66E-06   3.64E-071434700400088 
      145.0      155.0      110.0      120.0   1.09E-06   2.70E-071434700400089 
      145.0      155.0      120.0      130.0   2.80E-07   2.24E-071434700400090 
      190.0      210.0       40.0       50.0   7.24E-06   8.75E-071434700400091 
      190.0      210.0       50.0       60.0   7.95E-06   9.58E-071434700400092 
      190.0      210.0       60.0       70.0   7.78E-06   9.41E-071434700400093 
      190.0      210.0       70.0       80.0   7.50E-06   9.13E-071434700400094 
      190.0      210.0       80.0       90.0   5.85E-06   7.21E-071434700400095 
      190.0      210.0       90.0      100.0   4.33E-06   5.68E-071434700400096 
      190.0      210.0      100.0      110.0   3.67E-06   5.02E-071434700400097 
      190.0      210.0      110.0      120.0   2.79E-06   3.98E-071434700400098 
      190.0      210.0      120.0      130.0   1.96E-06   3.15E-071434700400099 
      240.0      260.0       40.0       50.0   7.07E-06   1.12E-061434700400100 
      240.0      260.0       50.0       60.0   7.40E-06   1.17E-061434700400101 
      240.0      260.0       60.0       70.0   7.64E-06   1.20E-061434700400102 
      240.0      260.0       70.0       80.0   7.94E-06   1.24E-061434700400103 
      240.0      260.0       80.0       90.0   6.54E-06   1.04E-061434700400104 
      240.0      260.0       90.0      100.0   6.36E-06   1.02E-061434700400105 
      240.0      260.0      100.0      110.0   5.20E-06   8.59E-071434700400106 
      240.0      260.0      110.0      120.0   3.79E-06   6.94E-071434700400107 
      240.0      260.0      120.0      130.0   3.43E-06   6.09E-071434700400108 
      290.0      310.0       40.0       50.0   7.34E-06   1.18E-061434700400109 
      290.0      310.0       50.0       60.0   7.88E-06   1.25E-061434700400110 
      290.0      310.0       60.0       70.0   8.59E-06   1.35E-061434700400111 
      290.0      310.0       70.0       80.0   7.68E-06   1.23E-061434700400112 
      290.0      310.0       80.0       90.0   7.82E-06   1.22E-061434700400113 
      290.0      310.0       90.0      100.0   7.17E-06   1.15E-061434700400114 
      290.0      310.0      100.0      110.0   7.09E-06   1.15E-061434700400115 
      290.0      310.0      110.0      120.0   5.90E-06   9.29E-071434700400116 
      290.0      310.0      120.0      130.0   4.45E-06   7.35E-071434700400117 
      340.0      360.0       40.0       50.0   8.08E-06   1.30E-061434700400118 
      340.0      360.0       50.0       60.0   7.54E-06   1.20E-061434700400119 
      340.0      360.0       60.0       70.0   7.93E-06   1.25E-061434700400120 
      340.0      360.0       70.0       80.0   8.20E-06   1.28E-061434700400121 
      340.0      360.0       80.0       90.0   7.79E-06   1.21E-061434700400122 
      340.0      360.0       90.0      100.0   7.98E-06   1.24E-061434700400123 
      340.0      360.0      100.0      110.0   6.75E-06   1.10E-061434700400124 
      340.0      360.0      110.0      120.0   6.59E-06   1.08E-061434700400125 
      340.0      360.0      120.0      130.0   6.00E-06   9.94E-071434700400126 
      385.0      415.0       40.0       50.0   7.17E-06   1.14E-061434700400127 
      385.0      415.0       50.0       60.0   7.04E-06   1.12E-061434700400128 
      385.0      415.0       60.0       70.0   8.33E-06   1.28E-061434700400129 
      385.0      415.0       70.0       80.0   8.43E-06   1.31E-061434700400130 
      385.0      415.0       80.0       90.0   7.68E-06   1.20E-061434700400131 
      385.0      415.0       90.0      100.0   7.69E-06   1.20E-061434700400132 
      385.0      415.0      100.0      110.0   6.69E-06   1.06E-061434700400133 
      385.0      415.0      110.0      120.0   6.51E-06   1.02E-061434700400134 
      385.0      415.0      120.0      130.0   5.76E-06   9.37E-071434700400135 
      435.0      465.0       40.0       50.0   5.54E-06   8.99E-071434700400136 
      435.0      465.0       50.0       60.0   6.80E-06   1.07E-061434700400137 
      435.0      465.0       60.0       70.0   6.22E-06   1.03E-061434700400138 
      435.0      465.0       70.0       80.0   6.99E-06   1.13E-061434700400139 
      435.0      465.0       80.0       90.0   7.33E-06   1.16E-061434700400140 
      435.0      465.0       90.0      100.0   6.93E-06   1.09E-061434700400141 
      435.0      465.0      100.0      110.0   6.31E-06   1.01E-061434700400142 
      435.0      465.0      110.0      120.0   5.88E-06   9.62E-071434700400143 
      435.0      465.0      120.0      130.0   4.39E-06   7.42E-071434700400144 
      480.0      520.0       40.0       50.0   7.65E-06   1.21E-061434700400145 
      480.0      520.0       50.0       60.0   7.59E-06   1.21E-061434700400146 
      480.0      520.0       60.0       70.0   7.83E-06   1.25E-061434700400147 
      480.0      520.0       70.0       80.0   8.10E-06   1.26E-061434700400148 
      480.0      520.0       80.0       90.0   8.45E-06   1.31E-061434700400149 
      480.0      520.0       90.0      100.0   7.51E-06   1.21E-061434700400150 
      480.0      520.0      100.0      110.0   6.81E-06   1.08E-061434700400151 
      480.0      520.0      110.0      120.0   6.49E-06   1.03E-061434700400152 
      480.0      520.0      120.0      130.0   6.20E-06   1.00E-061434700400153 
      530.0      570.0       40.0       50.0   9.75E-06   1.53E-061434700400154 
      530.0      570.0       50.0       60.0   9.39E-06   1.51E-061434700400155 
      530.0      570.0       60.0       70.0   1.11E-05   1.72E-061434700400156 
      530.0      570.0       70.0       80.0   1.06E-05   1.67E-061434700400157 
      530.0      570.0       80.0       90.0   1.01E-05   1.59E-061434700400158 
      530.0      570.0       90.0      100.0   9.99E-06   1.58E-061434700400159 
      530.0      570.0      100.0      110.0   9.77E-06   1.54E-061434700400160 
      530.0      570.0      110.0      120.0   8.31E-06   1.33E-061434700400161 
      530.0      570.0      120.0      130.0   7.60E-06   1.22E-061434700400162 
      580.0      620.0       40.0       50.0   7.60E-06   1.20E-061434700400163 
      580.0      620.0       50.0       60.0   7.96E-06   1.24E-061434700400164 
      580.0      620.0       60.0       70.0   8.29E-06   1.29E-061434700400165 
      580.0      620.0       70.0       80.0   8.81E-06   1.36E-061434700400166 
      580.0      620.0       80.0       90.0   8.38E-06   1.30E-061434700400167 
      580.0      620.0       90.0      100.0   7.92E-06   1.26E-061434700400168 
      580.0      620.0      100.0      110.0   8.28E-06   1.34E-061434700400169 
      580.0      620.0      110.0      120.0   7.63E-06   1.22E-061434700400170 
      580.0      620.0      120.0      130.0   6.50E-06   1.03E-061434700400171 
      630.0      670.0       40.0       50.0   4.72E-06   7.51E-071434700400172 
      630.0      670.0       50.0       60.0   5.40E-06   8.34E-071434700400173 
      630.0      670.0       60.0       70.0   6.32E-06   9.96E-071434700400174 
      630.0      670.0       70.0       80.0   7.55E-06   1.17E-061434700400175 
      630.0      670.0       80.0       90.0   6.78E-06   1.05E-061434700400176 
      630.0      670.0       90.0      100.0   6.62E-06   1.04E-061434700400177 
      630.0      670.0      100.0      110.0   6.15E-06   9.92E-071434700400178 
      630.0      670.0      110.0      120.0   6.46E-06   1.00E-061434700400179 
      630.0      670.0      120.0      130.0   6.17E-06   9.71E-071434700400180 
ENDDATA            165          0                                 1434700400181 
ENDSUBENT          180          0                                 1434700499999 
SUBENT        14347005   20121106                             13871434700500001 
BIB                  3          6                                 1434700500002 
REACTION   (13-AL-27(N,X)1-H-1,,PY/DA/DE,,AV)                     1434700500003 
STATUS     (TABLE) Data presented in figs. 15, 16 sent by         1434700500004 
           author (T.K.) Not all tabulated incident neutron energy1434700500005 
           intervals are shown in figs. 15, 16                    1434700500006 
SAMPLE     Aluminum sample with density of 2.69 g/cm3 and         1434700500007 
           thickness of 0.52 cm.                                  1434700500008 
ENDBIB               6          0                                 1434700500009 
COMMON               1          3                                 1434700500010 
ANG                                                               1434700500011 
ADEG                                                              1434700500012 
15.0                                                              1434700500013 
ENDCOMMON            3          0                                 1434700500014 
DATA                 6        176                                 1434700500015 
EN-MIN     EN-MAX     E-MIN      E-MAX      DATA       ERR-T      1434700500016 
MEV        MEV        MEV        MEV        P/IN/MEVSR P/IN/MEVSR 1434700500017 
       72.5       77.5       40.0       50.0   5.74E-05   7.37E-061434700500018 
       72.5       77.5       50.0       60.0   4.96E-05   6.71E-061434700500019 
       72.5       77.5       60.0       70.0   1.97E-05   2.96E-061434700500020 
       72.5       77.5       70.0       80.0   3.39E-07   2.03E-061434700500021 
       72.5       77.5       80.0       90.0   0.00E+00   0.00E+001434700500022 
       77.5       82.5       40.0       50.0   5.14E-05   6.94E-061434700500023 
       77.5       82.5       50.0       60.0   5.22E-05   7.01E-061434700500024 
       77.5       82.5       60.0       70.0   3.68E-05   5.24E-061434700500025 
       77.5       82.5       70.0       80.0   8.40E-06   2.26E-061434700500026 
       82.5       87.5       40.0       50.0   5.62E-05   7.22E-061434700500027 
       82.5       87.5       50.0       60.0   5.41E-05   7.04E-061434700500028 
       82.5       87.5       60.0       70.0   4.86E-05   6.37E-061434700500029 
       82.5       87.5       70.0       80.0   2.21E-05   3.17E-061434700500030 
       87.5       92.5       40.0       50.0   4.89E-05   6.51E-061434700500031 
       87.5       92.5       50.0       60.0   4.94E-05   6.60E-061434700500032 
       87.5       92.5       60.0       70.0   5.34E-05   7.00E-061434700500033 
       87.5       92.5       70.0       80.0   3.96E-05   5.44E-061434700500034 
       87.5       92.5       80.0       90.0   1.05E-05   2.09E-061434700500035 
       92.5       97.5       40.0       50.0   4.82E-05   6.35E-061434700500036 
       92.5       97.5       50.0       60.0   5.52E-05   7.14E-061434700500037 
       92.5       97.5       60.0       70.0   5.14E-05   6.81E-061434700500038 
       92.5       97.5       70.0       80.0   5.45E-05   7.26E-061434700500039 
       92.5       97.5       80.0       90.0   1.93E-05   3.13E-061434700500040 
       97.5      102.5       40.0       50.0   4.62E-05   5.86E-061434700500041 
       97.5      102.5       50.0       60.0   5.54E-05   7.10E-061434700500042 
       97.5      102.5       60.0       70.0   5.93E-05   7.54E-061434700500043 
       97.5      102.5       70.0       80.0   6.18E-05   7.78E-061434700500044 
       97.5      102.5       80.0       90.0   4.21E-05   5.64E-061434700500045 
       97.5      102.5       90.0      100.0   1.30E-05   2.19E-061434700500046 
      102.5      107.5       40.0       50.0   4.00E-05   5.44E-061434700500047 
      102.5      107.5       50.0       60.0   4.62E-05   6.14E-061434700500048 
      102.5      107.5       60.0       70.0   5.13E-05   6.92E-061434700500049 
      102.5      107.5       70.0       80.0   5.23E-05   6.91E-061434700500050 
      102.5      107.5       80.0       90.0   4.37E-05   6.16E-061434700500051 
      102.5      107.5       90.0      100.0   1.80E-05   2.96E-061434700500052 
      102.5      107.5      100.0      110.0   1.45E-06   1.87E-061434700500053 
      107.5      112.5       40.0       50.0   3.60E-05   4.72E-061434700500054 
      107.5      112.5       50.0       60.0   3.52E-05   4.97E-061434700500055 
      107.5      112.5       60.0       70.0   3.84E-05   5.28E-061434700500056 
      107.5      112.5       70.0       80.0   4.68E-05   6.13E-061434700500057 
      107.5      112.5       80.0       90.0   4.82E-05   6.24E-061434700500058 
      107.5      112.5       90.0      100.0   3.03E-05   4.50E-061434700500059 
      107.5      112.5      100.0      110.0   8.37E-06   1.79E-061434700500060 
      112.5      117.5       40.0       50.0   3.43E-05   4.61E-061434700500061 
      112.5      117.5       50.0       60.0   4.08E-05   5.31E-061434700500062 
      112.5      117.5       60.0       70.0   4.27E-05   5.64E-061434700500063 
      112.5      117.5       70.0       80.0   5.02E-05   6.36E-061434700500064 
      112.5      117.5       80.0       90.0   4.85E-05   6.33E-061434700500065 
      112.5      117.5       90.0      100.0   4.21E-05   5.85E-061434700500066 
      112.5      117.5      100.0      110.0   1.76E-05   2.79E-061434700500067 
      112.5      117.5      110.0      120.0   2.05E-06   1.59E-061434700500068 
      117.5      122.5       40.0       50.0   2.94E-05   4.06E-061434700500069 
      117.5      122.5       50.0       60.0   3.44E-05   4.54E-061434700500070 
      117.5      122.5       60.0       70.0   3.93E-05   5.20E-061434700500071 
      117.5      122.5       70.0       80.0   4.83E-05   6.13E-061434700500072 
      117.5      122.5       80.0       90.0   5.01E-05   6.51E-061434700500073 
      117.5      122.5       90.0      100.0   4.59E-05   6.06E-061434700500074 
      117.5      122.5      100.0      110.0   3.19E-05   4.53E-061434700500075 
      117.5      122.5      110.0      120.0   7.92E-06   1.87E-061434700500076 
      122.5      127.5       40.0       50.0   3.09E-05   4.08E-061434700500077 
      122.5      127.5       50.0       60.0   3.53E-05   4.56E-061434700500078 
      122.5      127.5       60.0       70.0   3.56E-05   4.69E-061434700500079 
      122.5      127.5       70.0       80.0   4.25E-05   5.51E-061434700500080 
      122.5      127.5       80.0       90.0   4.78E-05   6.18E-061434700500081 
      122.5      127.5       90.0      100.0   5.04E-05   6.50E-061434700500082 
      122.5      127.5      100.0      110.0   4.42E-05   5.75E-061434700500083 
      122.5      127.5      110.0      120.0   1.43E-05   2.80E-061434700500084 
      122.5      127.5      120.0      130.0   1.99E-06   1.47E-061434700500085 
      127.5      132.5       40.0       50.0   2.41E-05   3.36E-061434700500086 
      127.5      132.5       50.0       60.0   2.91E-05   3.83E-061434700500087 
      127.5      132.5       60.0       70.0   3.34E-05   4.34E-061434700500088 
      127.5      132.5       70.0       80.0   3.75E-05   4.86E-061434700500089 
      127.5      132.5       80.0       90.0   3.96E-05   5.31E-061434700500090 
      127.5      132.5       90.0      100.0   4.79E-05   6.06E-061434700500091 
      127.5      132.5      100.0      110.0   4.24E-05   5.58E-061434700500092 
      127.5      132.5      110.0      120.0   2.75E-05   3.99E-061434700500093 
      127.5      132.5      120.0      130.0   5.96E-06   1.50E-061434700500094 
      145.0      155.0       40.0       50.0   1.87E-05   2.48E-061434700500095 
      145.0      155.0       50.0       60.0   2.09E-05   2.73E-061434700500096 
