EN         EN-ERR     ANG-CM     DATA-CM    DATA-ERR              D027000200015 
MEV        MEV        ADEG       MB/SR      MB/SR                 D027000200016 
 23.400      0.270     18.954     765.18     32.487               D027000200153 
 23.400      0.270     22.076     220.67     9.3689               D027000200154 
 23.400      0.270     25.540     135.38     4.5975               D027000200155 
 23.400      0.270     27.868     192.92     9.7864               D027000200156 
 23.400      0.270     31.954     179.45     6.0939               D027000200157 
 23.400      0.270     35.217     114.00     4.8398               D027000200158 
 23.400      0.270     37.626     28.628     1.4522               D027000200159 
 23.400      0.270     40.862     6.5876    0.38723               D027000200160 
 23.400      0.270     43.315     19.973     1.0132               D027000200161 
 23.400      0.270     46.959     47.451     2.4071               D027000200162 
 23.400      0.270     50.130     64.147     3.7706               D027000200163 
 23.400      0.270     52.802     74.848     3.1778               D027000200164 
 23.400      0.270     56.127     54.630     2.7713               D027000200165 
 23.400      0.270     61.700     11.308    0.38575               D027000200166 
 23.400      0.270     63.967     3.3493    0.16991               D027000200167 
 23.400      0.270     66.959     1.8847    0.11106               D027000200168 
 23.400      0.270     69.992     3.0311    0.15331               D027000200169 
 23.400      0.270     72.639     3.3573    0.14203               D027000200170 
 23.400      0.270     75.819     2.8651    0.16884               D027000200171 
 23.400      0.270     77.881     1.4041    0.62255E-01           D027000200172 
 23.400      0.270     81.356     1.4251    0.48395E-01           D027000200173 
 23.400      0.270     84.148     3.5074    0.14891               D027000200174 
 23.400      0.270     86.421     7.1345    0.30290               D027000200175 
 23.400      0.270     89.163     9.7319    0.57493               D027000200176 
 23.400      0.270     92.023     10.685    0.62964               D027000200177 
 23.400      0.270     95.305     11.426    0.48164               D027000200178 
 23.400      0.270     96.700     14.057    0.71311               D027000200179 
 23.400      0.270     99.805     16.398     1.2318               D027000200180 
 23.400      0.270     102.76     22.364     1.1311               D027000200181 
 23.400      0.270     104.99     25.432     1.7055               D027000200182 
 23.400      0.270     107.57     24.518     1.4448               D027000200183 
 23.400      0.270     109.92     22.637    0.96451               D027000200184 
 23.400      0.270     112.39     16.677    0.84600               D027000200185 
 23.400      0.270     115.18     9.8871    0.50008               D027000200186 
 23.400      0.270     116.81     7.8804    0.46555               D027000200187 
 23.400      0.270     119.36     11.326    0.57622               D027000200188 
 23.400      0.270     122.67     20.743     1.3910               D027000200189 
 23.400      0.270     123.28     30.377     1.0408               D027000200190 
 23.400      0.270     126.25     42.523     1.7989               D027000200191 
 23.400      0.270     128.53     55.079     2.7940               D027000200192 
 23.400      0.270     130.50     57.439     2.9224               D027000200193 
 23.400      0.270     133.14     62.528     2.6547               D027000200194 
 23.400      0.270     134.90     40.462     2.3844               D027000200195 
 23.400      0.270     137.75     27.322     1.1600               D027000200196 
 23.400      0.270     139.97     11.652    0.59110               D027000200197 
 23.400      0.270     142.23     5.4671    0.36662               D027000200198 
 23.400      0.270     144.29     11.317    0.38604               D027000200199 
 23.400      0.270     146.22     28.114     2.5633               D027000200200 
 23.400      0.270     149.58     57.641     3.8738               D027000200201 
 23.400      0.270     153.18     76.558     5.1339               D027000200202 
 23.400      0.270     157.56     52.544     2.2229               D027000200203 
 23.400      0.270     159.44     27.846     1.4167               D027000200204 
 23.400      0.270     162.07     11.467    0.48856               D027000200205 
 23.400      0.270     163.68     8.6758    0.29594               D027000200206 
 23.400      0.270     165.88     24.122     1.0241               D027000200207 
 23.400      0.270     167.48     75.767     2.5845               D027000200208 
 23.400      0.270     168.08     110.00     4.6534               D027000200209 
 23.400      0.270     169.74     242.03     8.2560               D027000200210 
ENDDATA            196          0                                 D027000200211 
ENDSUBENT          210          0                                 D027000299999 
SUBENT        D0270003   20050407                             D040D027000300001 
BIB                  4          5                                 D027000300002 
REACTION   (8-O-16(A,EL)8-O-16,,DA)                               D027000300003 
DETECTOR   (PLATE) Ilford K1 emulsions, size 5 x 2 inches,        D027000300004 
           100 mu-m thick. 2 plates were used.                    D027000300005 
ERR-ANALYS (ANG-ERR-D) Digitizing error                           D027000300006 
STATUS     (CURVE)Curves from fig.6 of the article                D027000300007 
ENDBIB               5          0                                 D027000300008 
COMMON               2          3                                 D027000300009 
ANG-ERR-D  ERR-DIG                                                D027000300010 
ADEG       PER-CENT                                               D027000300011 
  1.        0.5                                                   D027000300012 
ENDCOMMON            3          0                                 D027000300013 
DATA                 5        148                                 D027000300014 
EN         EN-ERR     ANG-CM     DATA-CM    DATA-ERR              D027000300015 
MEV        MEV        ADEG       MB/SR      MB/SR                 D027000300016 
 20.200     0.370      130.52     33.736     5.2733               D027000300017 
 20.200     0.370      132.61     31.034     5.2651               D027000300018 
 20.200     0.370      134.96     27.005     5.2651               D027000300019 
 20.200     0.370      136.78     25.629     5.2733               D027000300020 
 20.200     0.370      139.14     25.555     5.2733               D027000300021 
 20.200     0.370      140.19     29.478     5.2733               D027000300022 
 20.200     0.370      141.50     29.437     5.2733               D027000300023 
 20.200     0.370      145.18     50.415     5.2733               D027000300024 
 20.200     0.370      147.27     47.713     5.2651               D027000300025 
 20.200     0.370      148.85     60.847     5.2815               D027000300026 
 20.200     0.370      151.24     89.776     5.2733               D027000300027 
 20.200     0.370      153.10     109.49     3.9550               D027000300028 
 20.200     0.370      154.92     105.48     5.2733               D027000300029 
 20.200     0.370      156.45     69.837     5.2733               D027000300030 
 20.200     0.370      156.94     44.773     3.9550               D027000300031 
 20.200     0.370      159.03     40.752     3.9632               D027000300032 
 20.200     0.370      159.54     31.507     5.2651               D027000300033 
 20.200     0.370      160.84     24.875     6.5916               D027000300034 
 20.200     0.370      162.15     30.107     3.9550               D027000300035 
 20.200     0.370      164.00     44.551     6.5834               D027000300036 
 20.200     0.370      165.89     94.590     5.2733               D027000300037 
 20.800     0.370      133.07     61.845     3.9459               D027000300038 
 20.800     0.370      134.36     42.050     5.2634               D027000300039 
 20.800     0.370      136.95     19.587     5.2699               D027000300040 
 20.800     0.370      137.98     9.0210     3.9525               D027000300041 
 20.800     0.370      139.81     7.6576     3.9525               D027000300042 
 20.800     0.370      141.12     11.577     3.9525               D027000300043 
 20.800     0.370      143.25     44.462     3.9525               D027000300044 
 20.800     0.370      145.38     90.522     5.2700               D027000300045 
 20.800     0.370      147.55     166.88     5.2765               D027000300046 
 20.800     0.370      148.89     199.79     6.5874               D027000300047 
 20.800     0.370      151.00     219.50     9.2289               D027000300048 
 20.800     0.370      153.09     214.18     3.9525               D027000300049 
 20.800     0.370      155.12     150.88     6.5874               D027000300050 
 20.800     0.370      156.91     110.00     5.2699               D027000300051 
 20.800     0.370      158.92     33.529     5.2699               D027000300052 
 20.800     0.370      159.68     9.7945     6.5874               D027000300053 
 20.800     0.370      160.99     5.8093     5.2699               D027000300054 
 20.800     0.370      162.30     9.7290     6.5874               D027000300055 
 20.800     0.370      162.84     28.161     5.2699               D027000300056 
 20.800     0.370      165.02     121.65     10.540               D027000300057 
 20.800     0.370      167.09     364.02     6.5874               D027000300058 
 20.800     0.370      168.88     585.32     57.963               D027000300059 
 20.800     0.370      169.47     916.00     64.563               D027000300060 
 21.200     0.330      133.06     60.959     6.5714               D027000300061 
 21.200     0.330      134.83     41.207     3.9428               D027000300062 
 21.200     0.330      137.11     17.502     3.9482               D027000300063 
 21.200     0.330      138.88     6.9498     5.2571               D027000300064 
 21.200     0.330      140.92     9.5352     3.9428               D027000300065 
 21.200     0.330      142.98     31.835     5.2571               D027000300066 
 21.200     0.330      144.02     60.727     3.9428               D027000300067 
 21.200     0.330      146.86     104.04     5.2625               D027000300068 
