ENTRY            D0429   20110913                             D079D042900000001 
SUBENT        D0429001   20110913                             D079D042900100001 
BIB                 10         26                                 D042900100002 
TITLE      Precise measurement of the differential cross section  D042900100003 
           from the 16O(alpha,alpha)160 elastic reaction at 165   D042900100004 
           and 170 degr. between 2.4 and  6.0 MeV                 D042900100005 
AUTHOR     (J.Demarche,G.Terwagne)                                D042900100006 
INSTITUTE  (2BLGNAM)                                              D042900100007 
REFERENCE  (J,JAP,100,124909,2006)                                D042900100008 
FACILITY   (DYNAM,2BLGNAM) Accelerator Lineaire Tandetron pour    D042900100009 
           l'Analyse l'Implantation des Solides (ALTAlS),         D042900100010 
           the 2 MV Tandetron accelerator installed al            D042900100011 
           LARN (Namur,Belgium)                                   D042900100012 
SAMPLE     The measurements were realized with the thin Ta2O5     D042900100013 
           standard in regions  were the cross section varied     D042900100014 
           rapidly. The thicker Ta2O5 standard was  used to       D042900100015 
           explore the regions where the cross section varied     D042900100016 
           slowly.                                                D042900100017 
DETECTOR   (SI) Backscattered alpha particles were detected in    D042900100018 
           two passivated  implanted planar silicon (PIPS)        D042900100019 
           detectors with an active area of 25 mm2  and a         D042900100020 
ERR-ANALYS (ANG-ERR) Scale error                                  D042900100021 
           (DATA-ERR) Uncertainty in cross section                D042900100022 
           (EN-ERR) Scale error                                   D042900100023 
STATUS     (TABLE) Data were taken from DB IBANDL                 D042900100024 
            (http://www-nds.iaea.org/ibandl/). (Originally from   D042900100025 
           the author).                                           D042900100026 
           (APRVD) Entry approved by Dr. J.Demarche               D042900100027 
HISTORY    (20070109C)                                            D042900100028 
ENDBIB              26          0                                 D042900100029 
COMMON               1          3                                 D042900100030 
ANG-ERR                                                           D042900100031 
ADEG                                                              D042900100032 
  0.5                                                             D042900100033 
ENDCOMMON            3          0                                 D042900100034 
ENDSUBENT           33          0                                 D042900199999 
SUBENT        D0429002   20110913                             D079D042900200001 
BIB                  2          2                                 D042900200002 
REACTION   (8-O-16(A,EL)8-O-16,,DA)                               D042900200003 
HISTORY    (20110909A) VS. EN: MEV -> KEV.                        D042900200004 
ENDBIB               2          0                                 D042900200005 
NOCOMMON             0          0                                 D042900200006 
DATA                 5        590                                 D042900200007 
ANG        EN         EN-ERR     DATA       DATA-ERR              D042900200008 
  170.0     3347.000      2.510      66.170     4.750             D042900200412 
  170.0     3349.000      2.590      68.200     4.740             D042900200413 
  170.0     3350.900      2.410      63.390     4.730             D042900200414 
  170.0     3352.800      3.360      88.270     4.730             D042900200415 
  170.0     3354.800      3.870     101.550     4.720             D042900200416 
  170.0     3356.700      4.940     129.480     4.720             D042900200417 
  170.0     3358.600      5.740     150.280     4.710             D042900200418 
  170.0     3360.600      6.640     173.630     4.710             D042900200419 
  170.0     3362.500      7.200     188.060     4.700             D042900200420 
  170.0     3364.400      6.530     170.370     4.700             D042900200421 
  170.0     3364.500      6.900     180.010     4.700             D042900200422 
  170.0     3365.400      5.560     144.980     3.910             D042900200423 
  170.0     3366.200      4.620     120.410     3.390             D042900200424 
  170.0     3366.400      4.860     126.650     3.130             D042900200425 
  170.0     3368.100      3.170      82.520     2.340             D042900200426 
  170.0     3368.900      2.570      66.870     2.080             D042900200427 
  170.0     3369.200      3.570      92.880     1.820             D042900200428 
  170.0     3369.700      2.140      55.660     1.560             D042900200429 
  170.0     3370.700      1.880      48.870     1.560             D042900200430 
  170.0     3371.400      1.620      42.090     1.300             D042900200431 
  170.0     3372.000      1.580      41.040     1.300             D042900200432 
  170.0     3373.900      1.240      32.170     1.300             D042900200433 
  170.0     3375.500      1.030      26.700     1.300             D042900200434 
  170.0     3377.200      0.920      23.820     1.290             D042900200435 
  170.0     3382.200      0.790      20.400     0.770             D042900200436 
  170.0     3392.100      0.820      21.050     0.770             D042900200437 
  170.0     3440.800      0.960      23.950     1.000             D042900200438 
  170.0     3441.600      0.840      20.940     0.500             D042900200439 
  170.0     3491.300      0.960      23.260     0.480             D042900200440 
  170.0     3543.800      1.000      23.520     0.470             D042900200441 
  170.0     3593.400      1.050      24.010     0.460             D042900200442 
  170.0     3643.000      1.090      24.260     0.450             D042900200443 
  170.0     3692.300      1.130      24.480     0.430             D042900200444 
  170.0     3742.300      1.150      24.250     0.420             D042900200445 
  170.0     3842.800      1.260      25.200     0.600             D042900200446 
  170.0     3843.500      1.910      38.180     1.600             D042900200447 
  170.0     3845.400      1.630      32.550     1.400             D042900200448 
  170.0     3849.400      1.850      36.870     1.590             D042900200449 
  170.0     3851.300      1.780      35.440     1.590             D042900200450 
  170.0     3856.300      1.560      30.980     1.390             D042900200451 
  170.0     3860.700      1.790      35.470     1.590             D042900200452 
  170.0     3865.700      2.630      51.980     2.170             D042900200453 
  170.0     3870.600      4.250      83.780     2.960             D042900200454 
  170.0     3872.500      2.690      52.970     2.170             D042900200455 
  170.0     3873.500      1.580      31.100     1.380             D042900200456 
  170.0     3875.600      0.960      18.880     0.790             D042900200457 
  170.0     3893.300      1.100      21.430     0.970             D042900200458 
  170.0     3941.500      1.130      21.480     0.380             D042900200459 
  170.0     4042.900      1.310      23.670     0.540             D042900200460 
  170.0     4142.500      1.410      24.270     0.520             D042900200461 
  170.0     4242.200      1.560      25.600     0.490             D042900200462 
  170.0     4341.700      1.770      27.730     0.630             D042900200463 
  170.0     4441.300      2.220      33.240     0.750             D042900200464 
  170.0     4542.000      2.920      41.800     0.860             D042900200465 
  170.0     4641.700      4.030      55.240     1.100             D042900200466 
  170.0     4741.400      5.450      71.590     1.450             D042900200467 
  170.0     4840.900      7.110      89.600     1.890             D042900200468 
  170.0     4901.400      9.130     112.230     5.410             D042900200469 
  170.0     4911.400     10.030     122.800     5.750             D042900200470 
  170.0     4921.400      9.580     116.810     5.490             D042900200471 
  170.0     4931.300      9.700     117.800     5.460             D042900200472 
  170.0     4940.600      9.180     111.070     2.300             D042900200473 
  170.0     4948.200     13.780     166.210     6.880             D042900200474 
  170.0     4950.200     14.660     176.680     7.110             D042900200475 
  170.0     4952.200     15.220     183.280     7.230             D042900200476 
  170.0     4954.200     18.080     217.540     8.060             D042900200477 
  170.0     4956.100     21.730     261.260     9.140             D042900200478 
  170.0     4958.100     16.750     201.220     7.690             D042900200479 
  170.0     4960.000     10.920     131.090     5.760             D042900200480 
  170.0     4962.000      7.200      86.360     4.320             D042900200481 
  170.0     4963.900      6.430      77.070     4.080             D042900200482 
  170.0     4977.900      8.450     100.710     4.890             D042900200483 
  170.0     4991.400      9.000     106.680     5.220             D042900200484 
  170.0     4996.400      9.320     110.250     5.320             D042900200485 
  170.0     5001.300      8.750     103.310     5.080             D042900200486 
  170.0     5011.300     10.620     124.890     5.760             D042900200487 
  170.0     5021.200     11.360     133.060     5.860             D042900200488 
  170.0     5031.200     10.000     116.670     5.480             D042900200489 
  170.0     5041.100     10.540     122.490     5.580             D042900200490 
  170.0     5044.700      9.590     111.290     2.320             D042900200491 
  170.0     5051.100      9.620     111.350     5.210             D042900200492 
  170.0     5061.000     13.340     153.810     6.460             D042900200493 
  170.0     5071.000     12.840     147.460     6.320             D042900200494 
  170.0     5081.000     13.440     153.740     6.410             D042900200495 
  170.0     5090.800     13.590     154.860     6.500             D042900200496 
  170.0     5100.800     15.300     173.660     6.920             D042900200497 
  170.0     5112.100     17.860     201.830     10.400            D042900200498 
  170.0     5120.800     20.770     233.910     8.450             D042900200499 
  170.0     5131.000     29.510     331.030     14.020            D042900200500 
  170.0     5140.700     28.370     317.040     10.390            D042900200501 
  170.0     5141.900     26.380     294.660     12.850            D042900200502 
  170.0     5143.000     25.530     285.050     12.730            D042900200503 
  170.0     5143.900     24.990     278.920     12.280            D042900200504 
  170.0     5145.000     23.440     261.510     11.940            D042900200505 
  170.0     5146.900     20.240     225.640     10.930            D042900200506 
  170.0     5149.000     17.030     189.700     9.800             D042900200507 
  170.0     5150.900     15.460     172.080     9.240             D042900200508 
  170.0     5159.000     10.380     115.180     7.100             D042900200509 
  170.0     5170.700     10.110     111.670     6.960             D042900200510 
  170.0     5170.800      8.830      97.530     4.750             D042900200511 
  170.0     5180.800      8.930      98.250     4.950             D042900200512 
  170.0     5190.800      8.790      96.340     4.930             D042900200513 
  170.0     5210.700      9.250     100.610     5.000             D042900200514 
  170.0     5224.400     10.630     115.020     4.650             D042900200515 
  170.0     5230.700      9.700     104.700     5.180             D042900200516 
  170.0     5250.500      8.820      94.490     4.820             D042900200517 
  170.0     5270.500      9.860     104.830     5.100             D042900200518 
  170.0     5290.400     10.860     114.590     5.380             D042900200519 
  170.0     5316.400     10.890     113.790     5.330             D042900200520 
  170.0     5326.500     12.120     126.160     5.000             D042900200521 
  170.0     5327.400     11.540     120.080     4.890             D042900200522 
  170.0     5328.400     11.260     117.120     4.680             D042900200523 
  170.0     5329.300     11.850     123.220     4.890             D042900200524 
  170.0     5330.300     11.550     120.050     5.610             D042900200525 
  170.0     5350.200     11.850     122.260     5.570             D042900200526 
  170.0     5359.600     15.190     156.170     8.740             D042900200527 
  170.0     5366.300     21.750     223.050     7.490             D042900200528 
  170.0     5367.100     22.520     230.880     11.170            D042900200529 
  170.0     5370.300     32.110     328.810     11.570            D042900200530 
  170.0     5371.200     35.690     365.340     13.310            D042900200531 
  170.0     5371.700     46.180     472.640     17.600            D042900200532 
  170.0     5372.200     45.250     463.030     15.450            D042900200533 
  170.0     5373.100     52.820     540.310     17.190            D042900200534 
  170.0     5373.300     58.260     595.910     17.180            D042900200535 
  170.0     5374.100     57.420     587.150     18.200            D042900200536 
  170.0     5374.800     48.140     492.130     18.090            D042900200537 
  170.0     5375.100     55.740     569.760     17.890            D042900200538 
  170.0     5376.000     49.520     506.010     11.650            D042900200539 
  170.0     5376.100     24.150     246.760     18.190            D042900200540 
  170.0     5377.900     10.980     112.120     7.350             D042900200541 
  170.0     5379.400      4.270      43.580     4.180             D042900200542 
  170.0     5390.200      5.620      57.120     3.760             D042900200543 
  170.0     5405.300      8.080      81.670     4.750             D042900200544 
  170.0     5425.400      7.580      76.050     4.410             D042900200545 
  170.0     5435.300      8.320      83.170     4.700             D042900200546 
  170.0     5445.200      9.010      89.740     4.880             D042900200547 
  170.0     5455.100      7.540      74.830     4.370             D042900200548 
  170.0     5465.100      5.780      57.150     3.660             D042900200549 
  170.0     5467.400      5.900      58.290     3.660             D042900200550 
  170.0     5468.900      4.060      40.090     2.760             D042900200551 
  170.0     5469.000      6.100      60.230     3.750             D042900200552 
  170.0     5471.400      8.160      80.500     4.440             D042900200553 
  170.0     5471.800      9.900      97.650     5.030             D042900200554 
  170.0     5473.000     18.960     186.930     7.590             D042900200555 
  170.0     5475.500     16.740     164.890     6.990             D042900200556 
  170.0     5477.000     16.710     164.510     6.990             D042900200557 
  170.0     5479.500     15.600     153.440     6.690             D042900200558 
  170.0     5481.700     14.710     144.570     6.880             D042900200559 
  170.0     5483.600     11.920     117.070     5.700             D042900200560 
  170.0     5485.700     12.510     122.770     6.080             D042900200561 
  170.0     5487.600     12.570     123.270     5.980             D042900200562 
  170.0     5489.600     11.590     113.580     5.780             D042900200563 
  170.0     5491.600     11.160     109.290     5.580             D042900200564 
  170.0     5493.600     11.600     113.510     5.680             D042900200565 
  170.0     5495.300     10.070      98.480     4.990             D042900200566 
  170.0     5505.300     10.610     103.380     5.160             D042900200567 
  170.0     5525.300     11.180     108.150     5.320             D042900200568 
  170.0     5545.300     11.420     109.680     5.380             D042900200569 
  170.0     5565.800     10.070      96.000     5.340             D042900200570 
  170.0     5585.800     10.910     103.260     5.580             D042900200571 
  170.0     5605.800     10.110      95.010     5.170             D042900200572 
  170.0     5625.800      8.710      81.270     4.670             D042900200573 
  170.0     5645.800     11.290     104.600     5.470             D042900200574 
  170.0     5665.800     11.670     107.360     5.610             D042900200575 
  170.0     5685.800     11.290     103.140     5.300             D042900200576 
  170.0     5705.800     11.560     104.860     5.440             D042900200577 
  170.0     5725.800     11.480     103.410     5.400             D042900200578 
  170.0     5745.700     11.050      98.850     5.190             D042900200579 
  170.0     5765.800     11.320     100.560     5.240             D042900200580 
  170.0     5785.800     11.690     103.130     5.290             D042900200581 
  170.0     5798.900     11.450     100.560     5.090             D042900200582 
  170.0     5805.900     12.440     108.990     5.430             D042900200583 
  170.0     5824.500     13.100     114.040     5.570             D042900200584 
  170.0     5845.100     13.330     115.220     5.620             D042900200585 
  170.0     5865.700     10.510      90.210     4.980             D042900200586 
  170.0     5885.800     10.550      89.940     5.030             D042900200587 
  170.0     5906.200      8.740      73.990     4.490             D042900200588 
  170.0     5915.900      7.030      59.320     2.530             D042900200589 
  170.0     5926.200      4.740      39.860     2.020             D042900200590 
  170.0     5936.000      1.800      15.090     1.010             D042900200591 
  170.0     5946.200      6.330      52.870     2.420             D042900200592 
  170.0     5956.200     12.910     107.470     3.830             D042900200593 
  170.0     5966.100     13.930     115.580     3.980             D042900200594 
  170.0     5976.200     15.400     127.340     4.300             D042900200595 
  170.0     5976.300     14.660     121.220     6.040             D042900200596 
  170.0     5986.100     14.320     118.020     4.040             D042900200597 
  170.0     5996.300     14.250     117.040     5.910             D042900200598 
  170.0     6006.000     14.270     116.830     5.650             D042900200599 
ENDDATA            592          0                                 D042900200600 
ENDSUBENT          599          0                                 D042900299999 
ENDENTRY             2          0                                 D042999999999 
