ENTRY            D6224   20250305                             D146D622400000001 
SUBENT        D6224001   20250305                             D146D622400100001 
BIB                 11         20                                 D622400100002 
TITLE      Deformation in 28Si produced via the 16O+12C reaction  D622400100003 
AUTHOR     (S.Kundu, C.Bhattacharya, S.Bhattacharya, T.K.Rana,    D622400100004 
            K.Banerjee, S.Muhkopadhayay, D.Gupta, A.Dey, R.Saha)  D622400100005 
INSTITUTE  (3INDVEC)                                              D622400100006 
REFERENCE  (J,PR/C,87,024602,2013)                                D622400100007 
FACILITY   (CYCLO,3INDVEC)                                        D622400100008 
SAMPLE     Self-supporting 12C target of thickness ~514 ug/cm2    D622400100009 
DETECTOR   (TELES,SIBAR,SIBAR) Alpha particles were detected      D622400100010 
           using a Si(SB) telescope (~10 um delta E, ~5 mm E)     D622400100011 
           with a solid angle of ~0.3 msr. The telescope was      D622400100012 
           calibrated using elastically scattered 16O from an     D622400100013 
           Au target and a 229Th-alpha source.                    D622400100014 
METHOD     (EDE)                                                  D622400100015 
ERR-ANALYS (DATA-ERR) No information on source of the uncertainty D622400100016 
STATUS     (TABLE,,S.Kundu+,J,PR/C,87,024602,2013) Fig.1          D622400100017 
HISTORY    (20150215R) Data received from S.Kundu                 D622400100018 
           (20150708C)Compiled by Gopal Mukherjee                 D622400100019 
           (20250305A) VT. Revision in 002                        D622400100020 
           (20250305D) VT. Subents 003-019 deleted, data merged   D622400100021 
           in 002                                                 D622400100022 
ENDBIB              20          0                                 D622400100023 
NOCOMMON             0          0                                 D622400100024 
ENDSUBENT           23          0                                 D622400199999 
SUBENT        D6224002   20250305                             D146D622400200001 
BIB                  2          3                                 D622400200002 
REACTION   (6-C-12(8-O-16,X)2-HE-4,,DA/DE,,REL)                   D622400200003 
HISTORY    (20250306A) VT. Data at EN=117,125 MeV for             D622400200004 
            ANG=21 degrees has been replaced with correct values. D622400200005 
ENDBIB               3          0                                 D622400200006 
NOCOMMON             0          0                                 D622400200007 
DATA                 5        560                                 D622400200008 
EN         ANG        E-CM       DATA-CM    DATA-ERR              D622400200009 
       145.        29.       15.5   6576.617   637.4281           D622400200434 
       145.        29.       16.5   5150.876   567.1041           D622400200435 
       145.        29.       17.5   4385.755   525.8776           D622400200436 
       145.        29.       18.5   3737.172   487.6842           D622400200437 
       145.        29.       19.5   2964.246    436.222           D622400200438 
       145.        29.       20.5   2583.209   408.8878           D622400200439 
       145.        29.       21.5    2139.21   373.5306           D622400200440 
       145.        29.       22.5   1928.782   355.9807           D622400200441 
       145.        29.       23.5    1316.26   295.0933           D622400200442 
       145.        29.       24.5   1295.345   293.7043           D622400200443 
       145.        29.       25.5   891.1101   244.3677           D622400200444 
       145.        29.       26.5     701.09   217.4015           D622400200445 
       145.        29.       27.5     670.89   213.2753           D622400200446 
       145.        29.       28.5   477.0001   180.3266           D622400200447 
       145.        29.       29.5     417.82   169.2119           D622400200448 
       145.        29.       30.5     337.38   152.4352           D622400200449 
       145.        29.       31.5      276.8    138.406           D622400200450 
       160.        11.        0.5     0.1061   4.56E-03           D622400200451 
       160.        11.        1.5     0.1649   6.74E-03           D622400200452 
       160.        11.        2.5     0.2326   8.71E-03           D622400200453 
       160.        11.        3.5     0.2939     0.0103           D622400200454 
       160.        11.        4.5     0.3274     0.0113           D622400200455 
       160.        11.        5.5     0.3346     0.0118           D622400200456 
       160.        11.        6.5      0.347     0.0123           D622400200457 
       160.        11.        7.5     0.3348     0.0123           D622400200458 
       160.        11.        8.5     0.3152     0.0122           D622400200459 
       160.        11.        9.5     0.2843     0.0117           D622400200460 
       160.        11.       10.5     0.2623     0.0114           D622400200461 
       160.        11.       11.5     0.2308     0.0108           D622400200462 
       160.        11.       12.5     0.1972     0.0101           D622400200463 
       160.        11.       13.5     0.1743   9.58E-03           D622400200464 
       160.        11.       14.5     0.1482   8.91E-03           D622400200465 
       160.        11.       15.5     0.1265   8.29E-03           D622400200466 
       160.        11.       16.5     0.1162   8.01E-03           D622400200467 
       160.        11.       17.5     0.0981   7.41E-03           D622400200468 
       160.        11.       18.5     0.0815   6.79E-03           D622400200469 
       160.        11.       19.5     0.0656   6.13E-03           D622400200470 
       160.        11.       20.5     0.0539   5.59E-03           D622400200471 
       160.        11.       21.5     0.0445   5.10E-03           D622400200472 
       160.        11.       22.5     0.0371   4.68E-03           D622400200473 
       160.        11.       23.5     0.0343   4.52E-03           D622400200474 
       160.        11.       24.5      0.027   4.03E-03           D622400200475 
       160.        11.       25.5     0.0236   3.78E-03           D622400200476 
       160.        11.       26.5      0.019   3.41E-03           D622400200477 
       160.        11.       27.5     0.0133   2.86E-03           D622400200478 
       160.        11.       28.5   8.93E-03   2.35E-03           D622400200479 
       160.        14.        0.5      1.096     0.0774           D622400200480 
       160.        14.        1.5     1.6899     0.1215           D622400200481 
       160.        14.        2.5     2.4262     0.1573           D622400200482 
       160.        14.        3.5     2.9861     0.1835           D622400200483 
       160.        14.        4.5     3.2169     0.1976           D622400200484 
       160.        14.        5.5     3.2516     0.2043           D622400200485 
       160.        14.        6.5      3.273     0.2097           D622400200486 
       160.        14.        7.5     3.2161     0.2119           D622400200487 
       160.        14.        8.5     3.0314     0.2091           D622400200488 
       160.        14.        9.5     2.7479     0.2019           D622400200489 
       160.        14.       10.5     2.3946     0.1908           D622400200490 
       160.        14.       11.5     2.0234     0.1774           D622400200491 
       160.        14.       12.5     1.7663     0.1674           D622400200492 
       160.        14.       13.5     1.5281     0.1571           D622400200493 
       160.        14.       14.5     1.2561     0.1436           D622400200494 
       160.        14.       15.5     1.1016     0.1355           D622400200495 
       160.        14.       16.5     1.0481     0.1331           D622400200496 
       160.        14.       17.5     0.8112     0.1179           D622400200497 
       160.        14.       18.5     0.7045     0.1105           D622400200498 
       160.        14.       19.5     0.5328     0.0966           D622400200499 
       160.        14.       20.5     0.4658     0.0908           D622400200500 
       160.        14.       21.5     0.3503     0.0792           D622400200501 
       160.        14.       22.5     0.3127     0.0752           D622400200502 
       160.        14.       23.5     0.2914     0.0729           D622400200503 
       160.        14.       24.5     0.2117     0.0624           D622400200504 
       160.        14.       25.5     0.2091     0.0622           D622400200505 
       160.        14.       26.5     0.1586     0.0544           D622400200506 
       160.        14.       27.5      0.105     0.0444           D622400200507 
       160.        14.       28.5     0.0915     0.0416           D622400200508 
       160.        14.       29.5     0.0963     0.0428           D622400200509 
       160.        17.        0.5        0.0        0.0           D622400200510 
       160.        17.        1.5    14.4279     1.0719           D622400200511 
       160.        17.        2.5    19.7944      1.338           D622400200512 
       160.        17.        3.5    23.7731     1.5353           D622400200513 
       160.        17.        4.5    26.3829     1.6735           D622400200514 
       160.        17.        5.5    28.0288     1.7716           D622400200515 
       160.        17.        6.5    27.6432     1.7981           D622400200516 
       160.        17.        7.5    26.0062     1.7761           D622400200517 
       160.        17.        8.5    24.3882      1.747           D622400200518 
       160.        17.        9.5    21.9927     1.6817           D622400200519 
       160.        17.       10.5     19.236     1.5917           D622400200520 
       160.        17.       11.5    16.5121     1.4906           D622400200521 
       160.        17.       12.5    14.6255     1.4164           D622400200522 
       160.        17.       13.5    12.4736     1.3195           D622400200523 
       160.        17.       14.5     10.247     1.2055           D622400200524 
       160.        17.       15.5     9.0025     1.1383           D622400200525 
       160.        17.       16.5     7.5682     1.0508           D622400200526 
       160.        17.       17.5     6.5211     0.9815           D622400200527 
       160.        17.       18.5     5.1783     0.8798           D622400200528 
       160.        17.       19.5     5.1137     0.8791           D622400200529 
       160.        17.       20.5     4.0642     0.7877           D622400200530 
       160.        17.       21.5     2.9918     0.6791           D622400200531 
       160.        17.       22.5     2.2738     0.5947           D622400200532 
       160.        17.       23.5      2.327     0.6042           D622400200533 
       160.        17.       24.5     1.8921     0.5471           D622400200534 
       160.        17.       25.5     1.6877     0.5187           D622400200535 
       160.        17.       26.5     0.8712      0.374           D622400200536 
       160.        17.       27.5     1.1169      0.425           D622400200537 
       160.        17.       28.5     0.7536     0.3503           D622400200538 
       160.        17.       29.5     1.0644     0.4176           D622400200539 
       160.        24.        0.5        0.0        0.0           D622400200540 
       160.        24.        1.5        0.0        0.0           D622400200541 
       160.        24.        2.5   163.4731    16.0338           D622400200542 
       160.        24.        3.5    211.026    18.4945           D622400200543 
       160.        24.        4.5   232.3947    19.8547           D622400200544 
       160.        24.        5.5   230.9577    20.1981           D622400200545 
       160.        24.        6.5   236.6607    20.8056           D622400200546 
       160.        24.        7.5   206.0955    19.7105           D622400200547 
       160.        24.        8.5   193.2133    19.3376           D622400200548 
       160.        24.        9.5   168.3695    18.2628           D622400200549 
       160.        24.       10.5   142.2765    16.9632           D622400200550 
       160.        24.       11.5    126.611    16.1522           D622400200551 
       160.        24.       12.5   115.9275     15.587           D622400200552 
       160.        24.       13.5     92.949    14.0651           D622400200553 
       160.        24.       14.5    82.3955    13.3368           D622400200554 
       160.        24.       15.5     70.773    12.4414           D622400200555 
       160.        24.       16.5    51.6905    10.6973           D622400200556 
       160.        24.       17.5     45.617     10.106           D622400200557 
       160.        24.       18.5     41.389     9.6771           D622400200558 
       160.        24.       19.5    33.0925     8.6958           D622400200559 
       160.        24.       20.5    27.4485     7.9564           D622400200560 
       160.        24.       21.5    25.2285     7.6612           D622400200561 
       160.        24.       22.5      21.78     7.1478           D622400200562 
       160.        24.       23.5     13.569     5.6639           D622400200563 
       160.        24.       24.5     15.455     6.0672           D622400200564 
       160.        24.       25.5      7.991     4.3781           D622400200565 
       160.        24.       26.5      7.893     4.3658           D622400200566 
       160.        24.       27.5     7.8995     4.3816           D622400200567 
       160.        24.       28.5      8.147     4.4634           D622400200568 
       160.        24.       29.5      6.231     3.9149           D622400200569 
       160.        24.       30.5      6.393     3.9766           D622400200570 
ENDDATA            562          0                                 D622400200571 
ENDSUBENT          570          0                                 D622400299999 
NOSUBENT      D6224003   20250305                             D146D622400300001 
NOSUBENT      D6224004   20250305                             D146D622400400001 
NOSUBENT      D6224005   20250305                             D146D622400500001 
NOSUBENT      D6224006   20250305                             D146D622400600001 
NOSUBENT      D6224007   20250305                             D146D622400700001 
NOSUBENT      D6224008   20250305                             D146D622400800001 
NOSUBENT      D6224009   20250305                             D146D622400900001 
NOSUBENT      D6224010   20250305                             D146D622401000001 
NOSUBENT      D6224011   20250305                             D146D622401100001 
NOSUBENT      D6224012   20250305                             D146D622401200001 
NOSUBENT      D6224013   20250305                             D146D622401300001 
NOSUBENT      D6224014   20250305                             D146D622401400001 
NOSUBENT      D6224015   20250305                             D146D622401500001 
NOSUBENT      D6224016   20250305                             D146D622401600001 
NOSUBENT      D6224017   20250305                             D146D622401700001 
NOSUBENT      D6224018   20250305                             D146D622401800001 
NOSUBENT      D6224019   20250305                             D146D622401900001 
ENDENTRY            19          0                                 D622499999999 
