ENTRY            D0275   20120502                             D083D027500000001 
SUBENT        D0275001   20120502                             D083D027500100001 
BIB                  9         18                                 D027500100002 
TITLE      Nuclear structure of 159Gd                             D027500100003 
AUTHOR     (C.Granja, S.Pospisil, A.Aprahamian, H.Borner,         D027500100004 
            H.Lehmann, T.von Egidy, H.-F.Wirth, G.Graw,           D027500100005 
            R.Hertenberger, Y.Eisermann, D.Nosek,                 D027500100006 
            L.Rubacek, S.A.Telezhnikov)                           D027500100007 
INSTITUTE  (2GERMUN,1USANOT,2FR ILL,2GERGAR,3CZRCHU,3CZRCTI)      D027500100008 
REFERENCE  (J,PR/C,70,034316,2004)                                D027500100009 
           (T,GRANJA,2001) Tables from thesis (partly)            D027500100010 
REL-REF    (O,22768002,C.Granja+,J,PR/C,70,034316,2004)           D027500100011 
            158Gd(n,g)159Gd spectra from the same work given      D027500100012 
METHOD     Faraday cup                                            D027500100013 
ERR-ANALYS (E-LVL-ERR) A systematic error                         D027500100014 
           (ERR-S) Statistical uncertainties                      D027500100015 
STATUS     (TABLE) Tables were received from Dr. C.Granja         D027500100016 
           (APRVD) Entry approved by Dr. C.Granja                 D027500100017 
HISTORY    (20060614C) SD                                         D027500100018 
           (20080124U) SD. Entry number for ADD-RES was added.    D027500100019 
           (20120502U) On. REL-REF added and ADD-RES removed      D027500100020 
ENDBIB              18          0                                 D027500100021 
NOCOMMON             0          0                                 D027500100022 
ENDSUBENT           21          0                                 D027500199999 
SUBENT        D0275002   20120502                             D083D027500200001 
BIB                  5         15                                 D027500200002 
REACTION   (64-GD-158(D,P)64-GD-159,PAR,DA)                       D027500200003 
FACILITY   (VDGT,2GERMUN)                                         D027500200004 
SAMPLE     (64-GD-158,ENR=0.970)                                  D027500200005 
           The target consisted of a 130 ug/cm2 thick layer of    D027500200006 
            Gd2O3 (enriched in 158Gd to 97.0%) evaporated on a    D027500200007 
            5.6 ug/cm2 thick carbon foil.                         D027500200008 
DETECTOR   (TELES,PROPC,SCIN) The reaction products were analysed D027500200009 
            with the Q3D magnetic spectrograph and detected in    D027500200010 
            its 1.8 m long focal plane.                           D027500200011 
           A long position sensitive detector consisting of two   D027500200012 
            single wire proportional chambers, a multiwire        D027500200013 
            proportional chamber and a plastic scintillator with  D027500200014 
            dE/Erest particle identification for background       D027500200015 
            suppression.                                          D027500200016 
HISTORY    (20120502U) On. SAMPLE: Irrelevant information removed D027500200017 
ENDBIB              15          0                                 D027500200018 
COMMON               1          3                                 D027500200019 
EN                                                                D027500200020 
MEV                                                               D027500200021 
 18.0                                                             D027500200022 
ENDCOMMON            3          0                                 D027500200023 
DATA                 5        819                                 D027500200024 
E-LVL      E-LVL-ERR  ANG        DATA       ERR-S                 D027500200025 
  1675.47    0.79       17.       0.052752   0.003901             D027500200582 
  1675.47    0.79       21.       0.042102   0.004739             D027500200583 
  1675.47    0.79       25.       0.036935   0.003852             D027500200584 
  1675.47    0.79       35.       0.039554   0.002713             D027500200585 
  1675.47    0.79       40.       0.042269   0.004990             D027500200586 
  1675.47    0.79       45.       0.028368   0.001975             D027500200587 
  1675.47    0.79       55.       0.020471   0.001631             D027500200588 
  1685.37    0.57       13.       0.048751   0.004039             D027500200589 
  1685.37    0.57       17.       0.052241   0.004016             D027500200590 
  1685.37    0.57       21.       0.038747   0.004826             D027500200591 
  1685.37    0.57       25.       0.030183   0.003317             D027500200592 
  1685.37    0.57       35.       0.031227   0.002309             D027500200593 
  1685.37    0.57       40.       0.034823   0.003431             D027500200594 
  1685.37    0.57       45.       0.023799   0.001621             D027500200595 
  1685.37    0.57       55.       0.014095   0.001325             D027500200596 
  1693.52    0.17       13.       0.100751   0.005116             D027500200597 
  1693.52    0.17       17.       0.118455   0.005163             D027500200598 
  1693.52    0.17       21.       0.111973   0.006318             D027500200599 
  1693.52    0.17       25.       0.105357   0.004708             D027500200600 
  1693.52    0.17       35.       0.089937   0.003464             D027500200601 
  1693.52    0.17       40.       0.075193   0.004263             D027500200602 
  1693.52    0.17       45.       0.064457   0.002380             D027500200603 
  1693.52    0.17       55.       0.053516   0.002192             D027500200604 
  1702.13    0.19       13.       0.050618   0.003904             D027500200605 
  1702.13    0.19       17.       0.060953   0.004016             D027500200606 
  1702.13    0.19       21.       0.052276   0.005616             D027500200607 
  1702.13    0.19       25.       0.053255   0.003638             D027500200608 
  1702.13    0.19       35.       0.052222   0.002829             D027500200609 
  1702.13    0.19       40.       0.053491   0.003743             D027500200610 
  1702.13    0.19       45.       0.037243   0.002026             D027500200611 
  1702.13    0.19       55.       0.024135   0.001784             D027500200612 
  1718.65    0.41       13.       0.033      0.003                D027500200613 
  1718.65    0.41       17.       0.040      0.003                D027500200614 
  1718.65    0.41       21.       0.037      0.003                D027500200615 
  1718.65    0.41       25.       0.037      0.003                D027500200616 
  1718.65    0.41       35.       0.028      0.002                D027500200617 
  1718.65    0.41       40.       0.027      0.003                D027500200618 
  1718.65    0.41       45.       0.024      0.002                D027500200619 
  1718.65    0.41       55.       0.020      0.001                D027500200620 
  1728.28    0.91       13.       0.011393   0.002558             D027500200621 
  1728.28    0.91       17.       0.013175   0.002409             D027500200622 
  1728.28    0.91       21.       0.013019   0.001931             D027500200623 
  1728.28    0.91       25.       0.018811   0.002354             D027500200624 
  1728.28    0.91       35.       0.008002   0.001443             D027500200625 
  1728.28    0.91       40.       0.011731   0.002391             D027500200626 
  1728.28    0.91       45.       0.006049   0.001064             D027500200627 
  1728.28    0.91       55.       0.002312   0.000918             D027500200628 
  1745.10    0.76       13.       0.021718   0.003366             D027500200629 
  1745.10    0.76       17.       0.023330   0.003327             D027500200630 
  1745.10    0.76       21.       0.013834   0.002194             D027500200631 
  1745.10    0.76       25.       0.012923   0.001926             D027500200632 
  1745.10    0.76       30.       0.009980   0.001811             D027500200633 
  1745.10    0.76       35.       0.014982   0.002078             D027500200634 
  1745.10    0.76       45.       0.008375   0.001722             D027500200635 
  1750.98    0.79       13.       0.024648   0.003500             D027500200636 
  1750.98    0.79       17.       0.034936   0.003671             D027500200637 
  1750.98    0.79       21.       0.034483   0.002808             D027500200638 
  1750.98    0.79       25.       0.041915   0.002782             D027500200639 
  1750.98    0.79       30.       0.035879   0.002469             D027500200640 
  1750.98    0.79       35.       0.041941   0.002771             D027500200641 
  1750.98    0.79       40.       0.038972   0.003223             D027500200642 
  1750.98    0.79       45.       0.028919   0.002077             D027500200643 
  1750.98    0.79       55.       0.028844   0.001937             D027500200644 
  1758.96    0.64       13.       0.022496   0.003097             D027500200645 
  1758.96    0.64       17.       0.016087   0.002754             D027500200646 
  1758.96    0.64       21.       0.011495   0.002018             D027500200647 
  1758.96    0.64       25.       0.011674   0.001926             D027500200648 
  1758.96    0.64       30.       0.011679   0.001728             D027500200649 
  1758.96    0.64       35.       0.012044   0.001847             D027500200650 
  1758.96    0.64       40.       0.014882   0.002703             D027500200651 
  1758.96    0.64       45.       0.008072   0.001367             D027500200652 
  1758.96    0.64       55.       0.005229   0.001376             D027500200653 
  1783.24    0.63       13.       0.132899   0.006058             D027500200654 
  1783.24    0.63       17.       0.128907   0.005163             D027500200655 
  1783.24    0.63       21.       0.111190   0.004300             D027500200656 
  1783.24    0.63       25.       0.112295   0.003959             D027500200657 
  1783.24    0.63       30.       0.104045   0.003374             D027500200658 
  1783.24    0.63       40.       0.095961   0.003951             D027500200659 
  1783.24    0.63       45.       0.077350   0.002279             D027500200660 
  1783.24    0.63       55.       0.056551   0.002243             D027500200661 
  1809.23    0.95       13.       0.057854   0.005924             D027500200662 
  1809.23    0.95       17.       0.064169   0.004819             D027500200663 
  1809.23    0.95       21.       0.063688   0.004388             D027500200664 
  1809.23    0.95       25.       0.073288   0.004708             D027500200665 
  1809.23    0.95       30.       0.054036   0.004033             D027500200666 
  1809.23    0.95       40.       0.043498   0.009565             D027500200667 
  1809.23    0.95       45.       0.036804   0.003140             D027500200668 
  1813.37    0.96       13.       0.085481   0.006462             D027500200669 
  1813.37    0.96       17.       0.072893   0.005048             D027500200670 
  1813.37    0.96       21.       0.061654   0.004388             D027500200671 
  1813.37    0.96       25.       0.050793   0.004387             D027500200672 
  1813.37    0.96       30.       0.054325   0.004115             D027500200673 
  1813.37    0.96       40.       0.047279   0.009669             D027500200674 
  1813.37    0.96       45.       0.030746   0.003191             D027500200675 
  1813.37    0.96       55.       0.046160   0.002039             D027500200676 
  1826.20    0.63       13.       0.021608   0.003097             D027500200677 
  1826.20    0.63       17.       0.009907   0.002295             D027500200678 
  1826.20    0.63       21.       0.015668   0.001931             D027500200679 
  1826.20    0.63       25.       0.019872   0.002033             D027500200680 
  1826.20    0.63       30.       0.020378   0.001811             D027500200681 
  1826.20    0.63       40.       0.010589   0.001975             D027500200682 
  1826.20    0.63       45.       0.011212   0.001317             D027500200683 
  1826.20    0.63       55.       0.010771   0.001121             D027500200684 
  1846.58    0.49       13.       0.029495   0.003366             D027500200685 
  1846.58    0.49       17.       0.028020   0.003442             D027500200686 
  1846.58    0.49       21.       0.032458   0.002896             D027500200687 
  1846.58    0.49       25.       0.034482   0.002782             D027500200688 
  1846.58    0.49       30.       0.027940   0.002057             D027500200689 
  1846.58    0.49       40.       0.030505   0.002495             D027500200690 
  1846.58    0.49       45.       0.018881   0.001722             D027500200691 
  1846.58    0.49       55.       0.019769   0.001427             D027500200692 
  1868.45    0.40       13.       0.017769   0.002962             D027500200693 
  1868.45    0.40       17.       0.017192   0.002754             D027500200694 
  1868.45    0.40       21.       0.021165   0.002282             D027500200695 
  1868.45    0.40       25.       0.016748   0.002140             D027500200696 
  1868.45    0.40       30.       0.013977   0.001893             D027500200697 
  1868.45    0.40       40.       0.019158   0.002287             D027500200698 
  1868.45    0.40       45.       0.011839   0.001165             D027500200699 
  1868.45    0.40       55.       0.007000   0.001070             D027500200700 
  1885.40    0.38       13.       0.025350   0.003635             D027500200701 
  1885.40    0.38       17.       0.023154   0.003327             D027500200702 
  1885.40    0.38       21.       0.031953   0.002720             D027500200703 
  1885.40    0.38       25.       0.026584   0.003745             D027500200704 
  1885.40    0.38       30.       0.020596   0.002222             D027500200705 
  1885.40    0.38       40.       0.016761   0.004055             D027500200706 
  1885.40    0.38       45.       0.014115   0.001418             D027500200707 
  1885.40    0.38       55.       0.009610   0.003619             D027500200708 
  1891.99    0.52       13.       0.113632   0.005789             D027500200709 
  1891.99    0.52       17.       0.088661   0.004933             D027500200710 
  1891.99    0.52       21.       0.085482   0.003861             D027500200711 
  1891.99    0.52       25.       0.071324   0.004922             D027500200712 
  1891.99    0.52       30.       0.053861   0.002963             D027500200713 
  1891.99    0.52       40.       0.066917   0.004990             D027500200714 
  1891.99    0.52       45.       0.037380   0.001874             D027500200715 
  1891.99    0.52       55.       0.028707   0.003772             D027500200716 
  1904.00               13.       0.038351   0.004039             D027500200717 
  1904.00               21.       0.009464   0.001931             D027500200718 
  1904.00               55.       0.009020   0.001121             D027500200719 
  1910.39    1.51       13.       0.047175   0.004577             D027500200720 
  1910.39    1.51       17.       0.011651   0.002868             D027500200721 
  1910.39    1.51       21.       0.015672   0.002194             D027500200722 
  1910.39    1.51       25.       0.012356   0.002675             D027500200723 
  1910.39    1.51       30.       0.010304   0.001728             D027500200724 
  1910.39    1.51       40.       0.016507   0.002495             D027500200725 
  1910.39    1.51       45.       0.007246   0.001013             D027500200726 
  1918.44    0.48       13.       0.075030   0.005116             D027500200727 
  1918.44    0.48       17.       0.032973   0.003671             D027500200728 
  1918.44    0.48       21.       0.034501   0.002720             D027500200729 
  1918.44    0.48       25.       0.024465   0.003210             D027500200730 
  1918.44    0.48       30.       0.025529   0.002222             D027500200731 
  1918.44    0.48       40.       0.030618   0.003223             D027500200732 
  1918.44    0.48       45.       0.017691   0.001367             D027500200733 
  1918.44    0.48       55.       0.016248   0.001631             D027500200734 
  1927.89    0.44       13.       0.034661   0.006328             D027500200735 
  1927.89    0.44       21.       0.026869   0.002984             D027500200736 
  1927.89    0.44       25.       0.024219   0.003959             D027500200737 
  1927.89    0.44       30.       0.024778   0.002551             D027500200738 
  1927.89    0.44       40.       0.026585   0.004471             D027500200739 
  1927.89    0.44       45.       0.014623   0.001519             D027500200740 
  1927.89    0.44       55.       0.013715   0.001835             D027500200741 
  1933.27    0.89       13.       0.020737   0.006193             D027500200742 
  1933.27    0.89       17.       0.026229   0.003442             D027500200743 
  1933.27    0.89       21.       0.024630   0.002896             D027500200744 
  1933.27    0.89       25.       0.029901   0.004173             D027500200745 
  1933.27    0.89       30.       0.025444   0.002633             D027500200746 
  1933.27    0.89       40.       0.015623   0.004367             D027500200747 
  1933.27    0.89       45.       0.011737   0.001519             D027500200748 
  1933.27    0.89       55.       0.012182   0.001937             D027500200749 
  1958.08    0.28       13.       0.055283   0.004577             D027500200750 
  1958.08    0.28       17.       0.061508   0.004474             D027500200751 
  1958.08    0.28       21.       0.044072   0.003071             D027500200752 
  1958.08    0.28       25.       0.053783   0.004387             D027500200753 
  1958.08    0.28       30.       0.050255   0.002798             D027500200754 
  1958.08    0.28       35.       0.044173   0.002886             D027500200755 
  1958.08    0.28       45.       0.030008   0.001722             D027500200756 
  1958.08    0.28       55.       0.024199   0.001529             D027500200757 
  1971.03    0.61       17.       0.026919   0.003786             D027500200758 
  1971.03    0.61       21.       0.019849   0.002457             D027500200759 
  1971.03    0.61       25.       0.031575   0.003638             D027500200760 
  1971.03    0.61       30.       0.026319   0.002304             D027500200761 
  1971.03    0.61       35.       0.021233   0.002136             D027500200762 
  1971.03    0.61       45.       0.016732   0.001367             D027500200763 
  1971.03    0.61       55.       0.015966   0.001325             D027500200764 
  1983.01    0.46       17.       0.093118   0.005392             D027500200765 
  1983.01    0.46       21.       0.150549   0.004914             D027500200766 
  1983.01    0.46       25.       0.185090   0.006955             D027500200767 
  1983.01    0.46       30.       0.151895   0.004444             D027500200768 
  1983.01    0.46       35.       0.116224   0.004791             D027500200769 
  1983.01    0.46       45.       0.088053   0.002634             D027500200770 
  1983.01    0.46       55.       0.097076   0.002804             D027500200771 
  1997.32    0.32       17.       0.190816   0.009064             D027500200772 
  1997.32    0.32       21.       0.183537   0.007196             D027500200773 
  1997.32    0.32       25.       0.209936   0.010486             D027500200774 
  1997.32    0.32       30.       0.197320   0.006255             D027500200775 
  1997.32    0.32       35.       0.172837   0.006465             D027500200776 
  1997.32    0.32       45.       0.110247   0.003798             D027500200777 
  1997.32    0.32       55.       0.109660   0.003721             D027500200778 
  2003.15    0.60       17.       0.020969   0.007113             D027500200779 
  2003.15    0.60       21.       0.051102   0.005879             D027500200780 
  2003.15    0.60       25.       0.044370   0.008346             D027500200781 
  2003.15    0.60       30.       0.025106   0.004691             D027500200782 
  2003.15    0.60       35.       0.027709   0.004965             D027500200783 
  2003.15    0.60       45.       0.018347   0.002937             D027500200784 
  2003.15    0.60       55.       0.019765   0.002753             D027500200785 
  2011.06    0.66       17.       0.105531   0.005736             D027500200786 
  2011.06    0.66       21.       0.073499   0.005879             D027500200787 
  2011.06    0.66       25.       0.083831   0.005350             D027500200788 
  2011.06    0.66       30.       0.048137   0.005349             D027500200789 
  2011.06    0.66       35.       0.048894   0.010391             D027500200790 
  2011.06    0.66       45.       0.040705   0.001975             D027500200791 
  2011.06    0.66       55.       0.036184   0.002600             D027500200792 
  2032.58    0.73       21.       0.026571   0.003159             D027500200793 
  2032.58    0.73       25.       0.030237   0.003852             D027500200794 
  2032.58    0.73       30.       0.021900   0.002716             D027500200795 
  2032.58    0.73       35.       0.013346   0.002020             D027500200796 
  2032.58    0.73       45.       0.008441   0.001216             D027500200797 
  2032.58    0.73       55.       0.010774   0.001427             D027500200798 
  2042.02    1.25       21.       0.117080   0.005441             D027500200799 
  2042.02    1.25       25.       0.091494   0.006206             D027500200800 
  2042.02    1.25       30.       0.076998   0.004279             D027500200801 
  2042.02    1.25       35.       0.083945   0.004272             D027500200802 
  2042.02    1.25       45.       0.049241   0.002482             D027500200803 
  2042.02    1.25       55.       0.033955   0.003160             D027500200804 
  2048.70    0.26       21.       0.238950   0.006757             D027500200805 
  2048.70    0.26       25.       0.192137   0.007811             D027500200806 
  2048.70    0.26       30.       0.172515   0.005514             D027500200807 
  2048.70    0.26       35.       0.176652   0.005600             D027500200808 
  2048.70    0.26       45.       0.115020   0.003444             D027500200809 
  2048.70    0.26       55.       0.091194   0.003670             D027500200810 
  2058.01    0.45       21.       0.261762   0.006845             D027500200811 
  2058.01    0.45       25.       0.270049   0.008667             D027500200812 
  2058.01    0.45       30.       0.222261   0.005925             D027500200813 
  2058.01    0.45       35.       0.191756   0.005311             D027500200814 
  2058.01    0.45       45.       0.129660   0.003241             D027500200815 
  2058.01    0.45       55.       0.110736   0.003466             D027500200816 
  2074.08    0.30       13.       0.040374   0.005251             D027500200817 
  2074.08    0.30       25.       0.056238   0.004601             D027500200818 
  2074.08    0.30       30.       0.037769   0.003127             D027500200819 
  2074.08    0.30       35.       0.034011   0.002598             D027500200820 
  2074.08    0.30       45.       0.022020   0.001570             D027500200821 
  2074.08    0.30       55.       0.025246   0.001529             D027500200822 
  2088.08    0.80       13.       0.077048   0.006328             D027500200823 
  2088.08    0.80       25.       0.060062   0.004708             D027500200824 
  2088.08    0.80       30.       0.026674   0.004691             D027500200825 
  2088.08    0.80       35.       0.028235   0.004791             D027500200826 
  2088.08    0.80       45.       0.022521   0.002380             D027500200827 
  2088.08    0.80       55.       0.035200   0.001784             D027500200828 
  2092.04    1.01       13.       0.060593   0.006058             D027500200829 
  2092.04    1.01       30.       0.028575   0.004691             D027500200830 
  2092.04    1.01       35.       0.021763   0.004734             D027500200831 
  2092.04    1.01       45.       0.013638   0.002279             D027500200832 
  2100.79    0.60       13.       0.046773   0.005520             D027500200833 
  2100.79    0.60       25.       0.035618   0.004280             D027500200834 
  2100.79    0.60       30.       0.024878   0.002880             D027500200835 
  2100.79    0.60       35.       0.024729   0.002540             D027500200836 
  2100.79    0.60       45.       0.015184   0.001570             D027500200837 
  2100.79    0.60       55.       0.022851   0.001580             D027500200838 
  2121.69    0.96       13.       0.062651   0.005116             D027500200839 
  2121.69    0.96       17.       0.059637   0.005163             D027500200840 
  2121.69    0.96       25.       0.074447   0.005564             D027500200841 
  2121.69    0.96       30.       0.063365   0.003621             D027500200842 
  2121.69    0.96       35.       0.048443   0.003290             D027500200843 
  2121.69    0.96       45.       0.030940   0.001874             D027500200844 
  2121.69    0.96       55.       0.028092   0.001988             D027500200845 
ENDDATA            821          0                                 D027500200846 
ENDSUBENT          845          0                                 D027500299999 
SUBENT        D0275003   20120502                             D083D027500300001 
BIB                  6         11                                 D027500300002 
REACTION   (64-GD-160(D,T)64-GD-159,PAR,DA)                       D027500300003 
FACILITY   (VDGT,2GERMUN) polarized beam                          D027500300004 
SAMPLE     (64-GD-160,ENR=0.982)                                  D027500300005 
           The target consisted of a 125 ug/cm2 thick layer of    D027500300006 
            Gd2O3 (enriched in 160Gd to 98.2%) evaporated on a    D027500300007 
            14 ug/cm2 thick carbon foil.                          D027500300008 
DETECTOR   (PS,SCIN) a new cathode strip detector with single     D027500300009 
            strip readout which is able to handle higher beam     D027500300010 
            currents.                                             D027500300011 
MISC-COL   (MISC) Transferred angular momentum L                  D027500300012 
HISTORY    (20120502U) On. SAMPLE: Irrelevant information removed D027500300013 
ENDBIB              11          0                                 D027500300014 
COMMON               2          3                                 D027500300015 
EN         E-LVL-ERR                                              D027500300016 
MEV        KEV                                                    D027500300017 
 22.0       0.3                                                   D027500300018 
ENDCOMMON            3          0                                 D027500300019 
DATA                 5        824                                 D027500300020 
E-LVL      ANG        DATA       ERR-S      MISC                  D027500300021 
KEV        ADEG       MU-B/SR    MU-B/SR    NO-DIM                D027500300022 
    683.7   12.0         85.2      2.6         4.                 D027500300023 
    683.7   16.0        134.8      2.8         4.                 D027500300024 
    683.7   20.0        169.1      2.6         4.                 D027500300025 
    683.7   25.0        242.1      2.6         4.                 D027500300026 
    683.7   30.0        187.7      2.1         4.                 D027500300027 
    683.7   35.0        133.3      1.8         4.                 D027500300028 
   705.30   12.0         69.6      2.6         3.                 D027500300029 
   705.30   16.0        107.4      2.7         3.                 D027500300030 
   705.30   20.0         98.7      2.2         3.                 D027500300031 
   705.30   25.0         47.1      1.3         3.                 D027500300032 
   705.30   30.0         42.1      1.1         3.                 D027500300033 
   705.30   35.0         45.1      1.1         3.                 D027500300034 
    744.5   12.0       2729.0     17.2         2.                 D027500300035 
    744.5   16.0       2709.0     16.6         2.                 D027500300036 
    744.5   20.0       1601.8     10.4         2.                 D027500300037 
    744.5   25.0       1172.2      6.9         2.                 D027500300038 
    744.5   30.0       1367.4      7.2         2.                 D027500300039 
    744.5   35.0        966.9      5.8         2.                 D027500300040 
    781.7   12.0        280.5      5.6         0.                 D027500300041 
    781.7   16.0        740.6      8.7         0.                 D027500300042 
    781.7   20.0        650.5      6.1         0.                 D027500300043 
    781.7   25.0        429.2      3.8         0.                 D027500300044 
    781.7   30.0        454.0      4.2         0.                 D027500300045 
    781.7   35.0        253.9      3.0         0.                 D027500300046 
    800.5   12.0         95.1      3.4         2.                 D027500300047 
    800.5   16.0         95.3      3.5         2.                 D027500300048 
    800.5   20.0         65.7      2.1         2.                 D027500300049 
    800.5   25.0         42.4      1.4         2.                 D027500300050 
    800.5   30.0         49.9      1.6         2.                 D027500300051 
    800.5   35.0         39.6      1.3         2.                 D027500300052 
    819.2   12.0         50.8      2.5         2.                 D027500300053 
    819.2   16.0         40.2      2.2         2.                 D027500300054 
    819.2   20.0         16.6      1.1         2.                 D027500300055 
    819.2   25.0          2.5      0.5         2.                 D027500300056 
    819.2   30.0         10.1      0.8         2.                 D027500300057 
    819.2   35.0         25.3      1.0         2.                 D027500300058 
    858.7   12.0         71.9      3.0         2.                 D027500300059 
    858.7   16.0        103.6      3.3         2.                 D027500300060 
    858.7   20.0         53.1      1.8         2.                 D027500300061 
    858.7   25.0         21.0      0.9         2.                 D027500300062 
    858.7   30.0         38.8      1.3         2.                 D027500300063 
    858.7   35.0         30.6      1.1         2.                 D027500300064 
    877.7   12.0         46.9      2.6         2.                 D027500300065 
    877.7   16.0         55.4      2.5         2.                 D027500300066 
    877.7   20.0         42.2      1.6         2.                 D027500300067 
    877.7   25.0         48.4      1.3         2.                 D027500300068 
    877.7   30.0         47.2      1.4         2.                 D027500300069 
    877.7   35.0         25.8      1.0         2.                 D027500300070 
   926.59   12.0         25.5      1.5         3.                 D027500300071 
   926.59   16.0         41.5      2.3         3.                 D027500300072 
   926.59   20.0         56.3      2.0         3.                 D027500300073 
   926.59   25.0         42.6      1.5         3.                 D027500300074 
   926.59   30.0         24.1      1.0         3.                 D027500300075 
   926.59   35.0         22.8      1.0         3.                 D027500300076 
   948.12   12.0         31.7      1.7         3.                 D027500300077 
   948.12   16.0         42.2      2.3         3.                 D027500300078 
   948.12   20.0         45.7      1.8         3.                 D027500300079 
   948.12   25.0         20.2      1.1         3.                 D027500300080 
   948.12   30.0         18.6      0.9         3.                 D027500300081 
   948.12   35.0         19.0      0.9         3.                 D027500300082 
    962.4   12.0         20.0      1.4         2.                 D027500300083 
    962.4   16.0         20.2      1.9         2.                 D027500300084 
    962.4   20.0         15.7      1.3         2.                 D027500300085 
    962.4   25.0          8.3      0.9         2.                 D027500300086 
    962.4   30.0         10.9      0.8         2.                 D027500300087 
    962.4   35.0          8.3      0.7         2.                 D027500300088 
    974.6   12.0        688.8      7.1         0.                 D027500300089 
    974.6   16.0       2281.7     15.6         0.                 D027500300090 
    974.6   20.0       2120.3     11.8         0.                 D027500300091 
    974.6   25.0       1244.9      7.3         0.                 D027500300092 
    974.6   30.0       1341.9      6.9         0.                 D027500300093 
    974.6   35.0        839.6      5.2         0.                 D027500300094 
   1000.9   12.0        508.4      6.2         2.                 D027500300095 
   1000.9   16.0        567.5      8.0         2.                 D027500300096 
   1000.9   20.0        340.2      5.1         2.                 D027500300097 
   1000.9   25.0        190.8      3.1         2.                 D027500300098 
   1000.9   30.0        275.7      3.3         2.                 D027500300099 
   1000.9   35.0        214.1      2.7         2.                 D027500300100 
   1015.9   12.0          1.9      1.6         2.                 D027500300101 
   1015.9   16.0          4.4      1.8         2.                 D027500300102 
   1015.9   20.0          4.3      1.3         2.                 D027500300103 
   1015.9   25.0          2.7      0.7         2.                 D027500300104 
   1015.9   30.0          3.4      0.9         2.                 D027500300105 
   1015.9   35.0          2.5      0.8         2.                 D027500300106 
   1058.8   12.0        205.3      3.9         2.                 D027500300107 
   1058.8   16.0        230.6      5.0         2.                 D027500300108 
   1058.8   20.0        139.2      3.0         2.                 D027500300109 
   1058.8   25.0         46.8      1.5         2.                 D027500300110 
   1058.8   30.0        100.9      1.9         2.                 D027500300111 
   1058.8   35.0        110.0      1.9         2.                 D027500300112 
   1080.0   12.0         48.7      2.1         1.                 D027500300113 
   1080.0   16.0         30.4      2.0         1.                 D027500300114 
   1080.0   20.0         45.8      1.8         1.                 D027500300115 
   1080.0   25.0         33.0      1.3         1.                 D027500300116 
   1080.0   30.0         19.9      0.9         1.                 D027500300117 
   1080.0   35.0         23.0      0.9         1.                 D027500300118 
   1110.4   12.0        296.4      5.3         1.                 D027500300119 
   1110.4   16.0        117.4      3.1         1.                 D027500300120 
   1110.4   20.0        232.1      3.6         1.                 D027500300121 
   1110.4   25.0        182.5      2.5         1.                 D027500300122 
   1110.4   30.0        105.1      2.0         1.                 D027500300123 
   1110.4   35.0        121.1      2.1         1.                 D027500300124 
   1119.5   12.0         12.3      2.4         4.                 D027500300125 
   1119.5   16.0         17.5      1.7         4.                 D027500300126 
   1119.5   20.0         23.6      2.0         4.                 D027500300127 
   1119.5   25.0         26.9      1.5         4.                 D027500300128 
   1119.5   30.0         23.1      1.3         4.                 D027500300129 
   1119.5   35.0         17.0      1.4         4.                 D027500300130 
   1128.6   12.0        133.1      7.2         2.                 D027500300131 
   1128.6   16.0        136.1      5.0         2.                 D027500300132 
   1128.6   20.0         80.4      3.6         2.                 D027500300133 
   1128.6   25.0         53.1      2.7         2.                 D027500300134 
   1128.6   30.0         71.4      2.6         2.                 D027500300135 
   1128.6   35.0         51.7      2.5         2.                 D027500300136 
   1133.7   12.0         26.3      6.9         0.                 D027500300137 
   1133.7   16.0         59.6      5.0         0.                 D027500300138 
   1133.7   20.0         50.5      3.9         0.                 D027500300139 
   1133.7   25.0         22.3      2.8         0.                 D027500300140 
   1133.7   30.0         24.7      2.3         0.                 D027500300141 
   1133.7   35.0         24.8      2.4         0.                 D027500300142 
   1139.8   12.0        229.2      7.2         1.                 D027500300143 
   1139.8   16.0        105.3     15.2         1.                 D027500300144 
   1139.8   20.0        194.4      6.2         1.                 D027500300145 
   1139.8   25.0        137.1      3.4         1.                 D027500300146 
   1139.8   30.0         94.7      4.1         1.                 D027500300147 
   1139.8   35.0         91.8      3.3         1.                 D027500300148 
   1146.0   12.0        950.9     10.4         1.                 D027500300149 
   1146.0   16.0        394.6      6.2         1.                 D027500300150 
   1146.0   20.0        745.8      7.3         1.                 D027500300151 
   1146.0   25.0        568.2      4.8         1.                 D027500300152 
   1146.0   30.0        334.6      4.1         1.                 D027500300153 
   1146.0   35.0        398.6      4.5         1.                 D027500300154 
   1160.0   12.0        455.6      6.6         2.                 D027500300155 
   1160.0   16.0        428.7      5.6         2.                 D027500300156 
   1160.0   20.0        238.9      3.9         2.                 D027500300157 
   1160.0   25.0        192.4      2.6         2.                 D027500300158 
   1160.0   30.0        207.3      2.8         2.                 D027500300159 
   1160.0   35.0        145.8      2.4         2.                 D027500300160 
   1170.9   12.0         22.8      2.6         0.                 D027500300161 
   1170.9   16.0         46.9      2.8         0.                 D027500300162 
   1170.9   20.0         37.2      2.0         0.                 D027500300163 
   1170.9   25.0         21.1      1.3         0.                 D027500300164 
   1170.9   30.0         25.7      1.4         0.                 D027500300165 
