ENTRY            D0506   20080823                             D063D050600000001 
SUBENT        D0506001   20080823                             D063D050600100001 
BIB                 13         34                                 D050600100002 
TITLE      Nuclear structure of 187W studied with (n,gamma)       D050600100003 
           and (d,p) reactions                                    D050600100004 
AUTHOR     (V.Bondarenko,I.Tomandl,H.-F.Wirth,J.Honzatko,         D050600100005 
           A.M.Sukhovoj,L.A.Malov,L.I.Simonova,R.Hertenberger,    D050600100006 
           T.von Egidy,J.Berzins)                                 D050600100007 
INSTITUTE  (4LATULR,3CZRUJV,2GERMUN,2GERLMU,3CZRUJF,4ZZZDUB)      D050600100008 
REFERENCE  (J,NP/A,811,28,2008)                                   D050600100009 
           (J,NP/A,619,1,1997) results on polarised beam are      D050600100010 
           given only in relative units and measurements were     D050600100011 
           made on sample with relatively big additions of W+Te   D050600100012 
FACILITY   (VDGT,2GERMUN) Tandem Van de Graaff accelerator of     D050600100013 
           the University and the Technical University of Munich. D050600100014 
           An unpolarized deuteron beam.                          D050600100015 
METHOD     (BCINT) The integration of the beam current in a       D050600100016 
           Faraday cup allowed the determination of absolute      D050600100017 
           cross sections.                                        D050600100018 
SAMPLE     The isotopically enriched target (99.8%) with a        D050600100019 
           thickness 120 mu-g/cm2 was prepared by vacuum          D050600100020 
           evaporation on a 4 mu-g/cm2 thick carbon backing.      D050600100021 
DETECTOR   (MAGSP,PS) Reaction products were momentum-separated   D050600100022 
           by the Q3D spectrograph within a solid angle           D050600100023 
           acceptance of up to 7 msr and detected in a 890 mm     D050600100024 
           long position sensitive cathode strip detector         D050600100025 
ERR-ANALYS (E-EXC-ERR) Statistical uncertainty in the energy levelD050600100026 
           (ERR-S) The accuracy of absolute intensity  calibrationD050600100027 
           (DATA-ERR) Estimated uncertainties on absolute cross   D050600100028 
           sections should not be greater than +-20% according    D050600100029 
           to the beam current integrated method.                 D050600100030 
EN-SEC     (E-EXC,74-W-187)                                       D050600100031 
STATUS     (TABLE) Data were received from Dr. V.Bondarenko       D050600100032 
           (APRVD) Entry approved by Dr. V.Bondarenko             D050600100033 
ADD-RES    Results from (n,g) reaction are                        D050600100034 
           included in Entry 31650                                D050600100035 
HISTORY    (20080823C)                                            D050600100036 
ENDBIB              34          0                                 D050600100037 
COMMON               1          3                                 D050600100038 
DATA-ERR                                                          D050600100039 
PER-CENT                                                          D050600100040 
  20.0                                                            D050600100041 
ENDCOMMON            3          0                                 D050600100042 
ENDSUBENT           41          0                                 D050600199999 
SUBENT        D0506002   20080823                             D063D050600200001 
BIB                  1          1                                 D050600200002 
REACTION   (74-W-186(D,P)74-W-187,PAR,DA)                         D050600200003 
ENDBIB               1          0                                 D050600200004 
COMMON               1          3                                 D050600200005 
EN                                                                D050600200006 
MEV                                                               D050600200007 
  22.0                                                            D050600200008 
ENDCOMMON            3          0                                 D050600200009 
DATA                 5        549                                 D050600200010 
ANG        E-EXC      E-EXC-ERR  DATA       ERR-S                 D050600200011 
       30.0      867.1        0.9        8.0        4.0           D050600200397 
       30.0      892.0        0.2       36.0        2.0           D050600200398 
       30.0      914.2        0.2        5.1        0.8           D050600200399 
       30.0      933.0        0.1        2.2        0.7           D050600200400 
       30.0      959.9        0.2       29.0        2.0           D050600200401 
       30.0      971.5        0.3        5.1        0.8           D050600200402 
       30.0      978.9        0.1       45.0        2.0           D050600200403 
       30.0      988.9        0.2        5.9        0.8           D050600200404 
       30.0      999.6        0.2        7.4        0.8           D050600200405 
       30.0     1033.5        0.2        7.7        0.8           D050600200406 
       30.0     1056.8        0.4        2.8        0.6           D050600200407 
       30.0     1070.0        0.2       62.0        2.0           D050600200408 
       30.0     1085.8        0.2       27.0        2.0           D050600200409 
       30.0     1104.9        0.3        2.8        0.7           D050600200410 
       30.0     1114.2        0.2        7.8        0.9           D050600200411 
       30.0     1138.0        0.2       21.0        2.0           D050600200412 
       30.0     1187.5        0.4        4.4        1.4           D050600200413 
       30.0     1192.5        0.2        8.7        1.6           D050600200414 
       30.0     1217.5        0.3        3.9        0.8           D050600200415 
       30.0     1234.2        0.1       81.0        3.0           D050600200416 
       30.0     1268.4        0.2       25.0        2.0           D050600200417 
       30.0     1312.6        0.1      193.0       10.0           D050600200418 
       30.0     1347.6        0.1       99.0        6.0           D050600200419 
       30.0     1359.3        0.1      181.0        7.0           D050600200420 
       30.0     1384.1        0.1      123.0        6.0           D050600200421 
       30.0     1415.5        0.1       81.0       10.0           D050600200422 
       30.0     1424.6        0.1      264.0       19.0           D050600200423 
       30.0     1476.8        0.1       51.0        2.0           D050600200424 
       30.0     1486.9        0.5       11.0        1.0           D050600200425 
       30.0     1502.1        0.2        4.2        0.9           D050600200426 
       30.0     1527.6        0.4        7.7        1.4           D050600200427 
       30.0     1534.0        0.1      318.0        5.0           D050600200428 
       30.0     1544.8        0.3       26.0        2.0           D050600200429 
       30.0     1555.0        0.1        4.4        0.9           D050600200430 
       30.0     1564.5        0.2       37.0        2.0           D050600200431 
       30.0     1583.5        0.3       11.0        3.0           D050600200432 
       30.0     1588.9        0.2      145.0        5.0           D050600200433 
       30.0     1600.4        0.2       50.0        3.0           D050600200434 
       30.0     1620.0        0.2        5.2        1.1           D050600200435 
       30.0     1633.4        0.2       15.0        2.0           D050600200436 
       30.0     1648.2        0.4        3.6        1.1           D050600200437 
       30.0     1667.0        0.4        5.0        0.9           D050600200438 
       30.0     1674.7        0.4       10.0        1.0           D050600200439 
       30.0     1686.4        0.3       10.0        1.0           D050600200440 
       30.0     1693.4        0.3        9.3        1.1           D050600200441 
       30.0     1708.0        0.5        5.3        1.1           D050600200442 
       30.0     1712.7        0.2       14.0        2.0           D050600200443 
       30.0     1718.6        0.2       99.0        3.0           D050600200444 
       30.0     1724.2        0.4       12.0        2.0           D050600200445 
       30.0     1729.4        0.2       19.0        2.0           D050600200446 
       30.0     1744.0        0.4        7.3        1.6           D050600200447 
       30.0     1748.5        0.3       32.0        2.0           D050600200448 
       30.0     1752.4        0.6        8.0        2.4           D050600200449 
       30.0     1759.3        0.4        5.1        0.9           D050600200450 
       30.0     1771.2        0.3       21.0        2.0           D050600200451 
       30.0     1783.7        0.3       16.0        1.0           D050600200452 
       30.0     1806.6        0.3       13.0        1.0           D050600200453 
       30.0     1816.6        0.4       20.0        2.0           D050600200454 
       30.0     1824.5        0.4       41.0        2.0           D050600200455 
       30.0     1837.5        0.3        8.7        1.2           D050600200456 
       30.0     1845.5        0.4       13.0        1.0           D050600200457 
       30.0     1857.6        0.5        8.4        1.2           D050600200458 
       30.0     1872.1        0.4       11.0        6.0           D050600200459 
       30.0     1876.2        0.5        4.1        6.2           D050600200460 
       30.0     1888.9        0.5        4.9        1.0           D050600200461 
       30.0     1905.7        0.4       37.0        3.0           D050600200462 
       30.0     1941.1        0.6       40.0       13.0           D050600200463 
       30.0     1966.0        0.6       17.0        8.0           D050600200464 
       30.0     1979.1        0.5       21.0        8.0           D050600200465 
       30.0     2043.9        0.5       23.0        3.0           D050600200466 
       30.0     2060.4        0.7       13.0        2.0           D050600200467 
       30.0     2072.5        0.4       16.0        2.0           D050600200468 
       30.0     2092.3        0.6        7.5        2.4           D050600200469 
       30.0     2099.7        0.5       18.0        3.0           D050600200470 
       40.0        0.3        0.2       20.0        1.0           D050600200471 
       40.0       77.1        0.2      196.0        4.0           D050600200472 
       40.0      145.9        0.2        4.4        0.5           D050600200473 
       40.0      200.7        0.4        7.0        8.0           D050600200474 
       40.0      204.8        0.2      179.0        8.0           D050600200475 
       40.0      303.1        0.2       23.0        1.0           D050600200476 
       40.0      330.9        0.2        9.3        0.7           D050600200477 
       40.0      350.4        0.2      203.0        4.0           D050600200478 
       40.0      364.1        0.4       41.0        2.0           D050600200479 
       40.0      410.4        0.5        1.8        0.4           D050600200480 
       40.0      432.1        0.3       62.0        2.0           D050600200481 
       40.0      522.3        0.2        3.9        0.5           D050600200482 
       40.0      574.6        0.3        1.3        0.4           D050600200483 
       40.0      597.7        0.2       44.0        2.0           D050600200484 
       40.0      640.4        0.2       84.0        2.0           D050600200485 
       40.0      728.3        0.2        3.9        0.5           D050600200486 
       40.0      762.4        0.3        0.9        0.3           D050600200487 
       40.0      776.1        0.2       11.0        2.0           D050600200488 
       40.0      782.2        0.1      168.0        3.0           D050600200489 
       40.0      797.0        0.4        4.5        0.7           D050600200490 
       40.0      811.1        0.5        5.8        3.5           D050600200491 
       40.0      816.1        0.1      208.0        5.0           D050600200492 
       40.0      852.1        0.1       65.0        3.0           D050600200493 
       40.0      863.3        0.2       27.0        2.0           D050600200494 
       40.0      892.0        0.2       20.0        1.0           D050600200495 
       40.0      914.2        0.2        2.3        0.4           D050600200496 
       40.0      933.0        0.1        1.2        0.5           D050600200497 
       40.0      959.9        0.2       18.0        1.0           D050600200498 
       40.0      971.5        0.3        3.2        0.6           D050600200499 
       40.0      978.9        0.1       38.0        2.0           D050600200500 
       40.0      988.9        0.2        5.4        0.6           D050600200501 
       40.0      999.6        0.2        4.5        0.6           D050600200502 
       40.0     1033.5        0.2        4.1        0.5           D050600200503 
       40.0     1070.0        0.2       44.0        2.0           D050600200504 
       40.0     1085.8        0.2       17.0        1.0           D050600200505 
       40.0     1114.2        0.2        4.3        0.7           D050600200506 
       40.0     1130.0        0.4        2.5        0.5           D050600200507 
       40.0     1138.0        0.2       17.0        1.0           D050600200508 
       40.0     1192.5        0.2       11.0        1.0           D050600200509 
       40.0     1199.2        0.6        1.0        0.5           D050600200510 
       40.0     1234.2        0.1       48.0        2.0           D050600200511 
       40.0     1268.4        0.2       16.0        1.0           D050600200512 
       40.0     1307.0        0.2       14.0        3.0           D050600200513 
       40.0     1312.6        0.1      170.0        4.0           D050600200514 
       40.0     1347.6        0.1       73.0        3.0           D050600200515 
       40.0     1359.3        0.1      118.0        3.0           D050600200516 
       40.0     1374.1        0.2        8.4        1.0           D050600200517 
       40.0     1384.1        0.1       77.0        3.0           D050600200518 
       40.0     1415.5        0.1       45.0       10.0           D050600200519 
       40.0     1424.6        0.1      176.0        5.0           D050600200520 
       40.0     1450.8        0.2        4.1        1.0           D050600200521 
       40.0     1458.7        0.6        1.9        0.9           D050600200522 
       40.0     1476.8        0.1       38.0        1.0           D050600200523 
       40.0     1486.9        0.5        5.9        0.7           D050600200524 
       40.0     1492.2        0.8        1.9        0.6           D050600200525 
       40.0     1502.1        0.2        4.5        0.6           D050600200526 
       40.0     1527.6        0.4        9.5        1.3           D050600200527 
       40.0     1534.0        0.1      229.0        4.0           D050600200528 
       40.0     1544.8        0.3       18.0        2.0           D050600200529 
       40.0     1564.5        0.2       27.0        2.0           D050600200530 
       40.0     1588.9        0.2      114.0        3.0           D050600200531 
       40.0     1600.4        0.2       31.0        2.0           D050600200532 
       40.0     1620.0        0.2        3.8        1.0           D050600200533 
       40.0     1633.4        0.2       10.0        1.0           D050600200534 
       40.0     1648.2        0.4        2.3        0.8           D050600200535 
       40.0     1667.0        0.4        6.8        0.9           D050600200536 
       40.0     1674.7        0.4        7.4        0.9           D050600200537 
       40.0     1686.4        0.3       11.0        1.0           D050600200538 
       40.0     1693.4        0.3        8.1        1.1           D050600200539 
       40.0     1708.0        0.5        5.3        1.1           D050600200540 
       40.0     1712.7        0.2       13.0        2.0           D050600200541 
       40.0     1718.6        0.2       60.0        2.0           D050600200542 
       40.0     1729.4        0.2       13.0        1.0           D050600200543 
       40.0     1748.5        0.3       22.0        3.0           D050600200544 
       40.0     1905.7        0.4       42.0        6.0           D050600200545 
       40.0     1916.3        0.4       53.0        4.0           D050600200546 
       40.0     1930.8        0.4        9.3        2.8           D050600200547 
       40.0     1941.1        0.6       18.0        2.0           D050600200548 
       40.0     1955.6        0.6        9.0        1.3           D050600200549 
       40.0     1966.0        0.6        7.4        1.2           D050600200550 
       40.0     1979.1        0.5        7.6        1.2           D050600200551 
       40.0     1992.1        0.9       12.0        1.0           D050600200552 
       40.0     2008.9        0.4       11.0        1.0           D050600200553 
       40.0     2017.7        0.4       35.0        2.0           D050600200554 
       40.0     2027.5        0.9        3.3        1.0           D050600200555 
       40.0     2038.6        0.5       12.0        2.0           D050600200556 
       40.0     2043.9        0.5        9.9        1.9           D050600200557 
       40.0     2060.4        0.7       11.0        1.0           D050600200558 
       40.0     2072.5        0.4       12.0        1.0           D050600200559 
       40.0     2092.3        0.6        3.7        1.0           D050600200560 
       40.0     2099.7        0.5       10.0        1.0           D050600200561 
ENDDATA            551          0                                 D050600200562 
ENDSUBENT          561          0                                 D050600299999 
SUBENT        D0506003   20080823                             D063D050600300001 
BIB                  1          1                                 D050600300002 
REACTION   (74-W-186(D,P)74-W-187,PAR,DA)                         D050600300003 
ENDBIB               1          0                                 D050600300004 
COMMON               2          3                                 D050600300005 
EN         ANG                                                    D050600300006 
MEV        ADEG                                                   D050600300007 
  18.0       40.0                                                 D050600300008 
ENDCOMMON            3          0                                 D050600300009 
DATA                 4         72                                 D050600300010 
E-EXC      E-EXC-ERR  DATA       ERR-S                            D050600300011 
KEV        KEV        MU-B/SR    PER-CENT                         D050600300012 
       77.0        0.8      253.3        6.3                      D050600300013 
      145.5        0.3        7.4        0.8                      D050600300014 
      204.8        0.7      370.9        8.7                      D050600300015 
      303.5        0.2       28.9        1.4                      D050600300016 
      331.3        0.2       10.7        0.9                      D050600300017 
      350.4        0.9      280.0        7.1                      D050600300018 
      364.1        0.9       48.8        2.4                      D050600300019 
      432.4        0.1       89.6        2.6                      D050600300020 
      522.9        0.4        3.9        0.6                      D050600300021 
      574.1        0.6        2.0        0.5                      D050600300022 
      597.7        0.2       35.3        1.5                      D050600300023 
      640.5        1.6      112.4        2.9                      D050600300024 
      728.0        0.3        4.6        0.6                      D050600300025 
      762.7        0.6        2.6        0.8                      D050600300026 
      776.3        0.7       10.0        2.1                      D050600300027 
      782.5        0.7      333.2        6.5                      D050600300028 
      797.1        0.7       11.5        1.2                      D050600300029 
      816.7        0.3      428.4        8.6                      D050600300030 
      852.7        1.3      136.5        5.9                      D050600300031 
      861.8        1.3       23.4        5.3                      D050600300032 
      866.0        1.2       26.9        5.3                      D050600300033 
      892.9        1.2       32.3        2.6                      D050600300034 
      914.9        0.6        2.4        0.6                      D050600300035 
      933.6        0.4        5.4        0.8                      D050600300036 
      960.3        0.2       26.7        1.5                      D050600300037 
      971.4        0.6        4.2        0.8                      D050600300038 
      979.5        0.1       65.3        2.3                      D050600300039 
      988.9        0.3       11.7        1.1                      D050600300040 
     1000.1        0.3        8.7        0.9                      D050600300041 
     1034.5        0.3        7.1        0.9                      D050600300042 
     1056.4        0.5        4.0        0.7                      D050600300043 
     1070.9        3.3       61.1        2.5                      D050600300044 
     1087.0        3.2       30.3        2.3                      D050600300045 
     1114.4        0.3       11.2        1.0                      D050600300046 
     1138.6        0.2       28.9        1.5                      D050600300047 
     1193.0        1.3       16.6        1.1                      D050600300048 
     1217.6        1.3        5.7        0.7                      D050600300049 
     1234.4        1.3       71.3        2.3                      D050600300050 
     1268.1        1.3       24.8        1.9                      D050600300051 
     1273.4        1.5        4.7        1.6                      D050600300052 
     1307.0        0.5       16.5        3.8                      D050600300053 
     1312.4        0.5      340.0        7.7                      D050600300054 
     1347.1        0.1      155.9        3.6                      D050600300055 
     1358.8        0.1      155.4        3.9                      D050600300056 
     1373.1        0.4       14.1        1.6                      D050600300057 
     1383.6        0.1      155.4        4.2                      D050600300058 
     1415.0        0.4      106.1        3.3                      D050600300059 
     1424.1        0.4      260.7        5.0                      D050600300060 
     1431.8        0.4       16.0        2.9                      D050600300061 
     1450.5        0.5        6.7        0.9                      D050600300062 
     1476.2        0.4       52.1        2.1                      D050600300063 
     1487.3        0.4       12.8        1.2                      D050600300064 
     1501.6        0.5        8.3        1.0                      D050600300065 
     1533.2        0.2      370.6       13.4                      D050600300066 
     1553.7        0.9       15.8        5.4                      D050600300067 
     1563.5        0.7       61.0        5.1                      D050600300068 
     1587.5        0.7      216.9        6.9                      D050600300069 
     1599.0        0.7       54.6        4.9                      D050600300070 
     1619.9        1.4        9.1        4.4                      D050600300071 
     1632.6        0.7       40.8        5.7                      D050600300072 
     1665.6        0.6       10.3        3.1                      D050600300073 
     1672.7        0.5       14.5        3.4                      D050600300074 
     1684.6        0.4       15.1        3.0                      D050600300075 
     1690.6        1.3       10.6        6.9                      D050600300076 
     1705.2        0.7       10.0        2.3                      D050600300077 
     1709.7        0.7       15.1        2.5                      D050600300078 
     1717.8        0.5       88.8        3.5                      D050600300079 
     1729.2        0.5       24.2        1.9                      D050600300080 
     1744.6        0.7        9.8        2.2                      D050600300081 
     1749.3        0.5       37.5        2.8                      D050600300082 
     1771.8        0.5       31.4        2.1                      D050600300083 
     1783.5        0.5       18.1        1.9                      D050600300084 
ENDDATA             74          0                                 D050600300085 
ENDSUBENT           84          0                                 D050600399999 
ENDENTRY             3          0                                 D050699999999 
