ENTRY            D0845   20170719                             D111D0845  0    1 
SUBENT        D0845001   20170719                             D111D0845  1    1 
BIB                 11         16                                 D0845  1    2 
TITLE      Multinucleon transfer processes in 40Ca+208Pb          D0845  1    3 
AUTHOR     (S.Szilner, L.Corradi, G.Pollarolo, S.Beghini,         D0845  1    4 
            B.R.Behera, E.Fioretto, A.Gadea, F.Haas, A.Latina,    D0845  1    5 
            G.Montagnoli, F.Scarlassara, A.M.Stefanini, M.Trotta, D0845  1    6 
            A.M.Vinodkumar, Y.Wu)                                 D0845  1    7 
INSTITUTE  (2ITYPAD,2ITYTUR,2ITYUPV,2FR ULP,3CRORBZ)              D0845  1    8 
REFERENCE  (J,PR/C,71,044610,2005)                                D0845  1    9 
SAMPLE     200 ug/cm2 208Pb target sandwiched between carbon foilsD0845  1   10 
METHOD     (TOF,EDE)                                              D0845  1   11 
FACILITY   (VDGT,2ITYPAD) Tandem+ALPI accelerator complex.        D0845  1   12 
DETECTOR   (MCPLT,IOCH) Detection of light reaction products      D0845  1   13 
           (SI) Monitor for absolute normalization.               D0845  1   14 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   D0845  1   15 
STATUS     (APRVD) Approved by Suzana Szilner (2017-07-21)        D0845  1   16 
HISTORY    (20170627R) Received by e-mail from S.Szilner          D0845  1   17 
           (20170713C) M.Odsuren, N.Otsuka                        D0845  1   18 
ENDBIB              16          0                                 D0845  1   19 
NOCOMMON             0          0                                 D0845  1   20 
ENDSUBENT           19          0                                 D0845  199999 
SUBENT        D0845002   20170719                             D111D0845  2    1 
BIB                  2          2                                 D0845  2    2 
REACTION   (82-PB-208(20-CA-40,X)ELEM/MASS,,DA)                   D0845  2    3 
STATUS     (TABLE) Fig.6 of Phys.Rev.C71(2005)044610              D0845  2    4 
ENDBIB               2          0                                 D0845  2    5 
NOCOMMON             0          0                                 D0845  2    6 
DATA                 6        172                                 D0845  2    7 
EN         ELEMENT    MASS       ANG-CM     DATA-CM    DATA-ERR   D0845  2    8 
 249.       19.        40.         90.8         5.02    0.06      D0845  2  139 
 249.       19.        40.         90.8         5.95    0.03      D0845  2  140 
 249.       19.        40.        101.0         1.24    0.05      D0845  2  141 
 249.       19.        40.        110.8         0.25    0.23      D0845  2  142 
 249.       19.        41.         49.9         0.42    0.12      D0845  2  143 
 249.       19.        41.         58.4         0.80    0.11      D0845  2  144 
 249.       19.        41.         69.5         3.09    0.03      D0845  2  145 
 249.       19.        41.         74.9         6.03    0.05      D0845  2  146 
 249.       19.        41.         80.3         7.81    0.03      D0845  2  147 
 249.       19.        41.         85.6         5.54    0.05      D0845  2  148 
 249.       19.        41.         90.8         3.71    0.07      D0845  2  149 
 249.       19.        41.         90.8         3.83    0.04      D0845  2  150 
 249.       19.        41.        101.0         0.75    0.07      D0845  2  151 
 249.       19.        41.        110.8         0.12    0.33      D0845  2  152 
 249.       20.        40.         49.9      1786.08    0.01      D0845  2  153 
 249.       20.        40.         58.4      1071.76    0.01      D0845  2  154 
 249.       20.        40.         69.5       555.45    0.01      D0845  2  155 
 249.       20.        40.         74.9       336.30    0.01      D0845  2  156 
 249.       20.        40.         80.3       198.92    0.01      D0845  2  157 
 249.       20.        40.         85.6        78.75    0.01      D0845  2  158 
 249.       20.        40.         90.8        29.05    0.03      D0845  2  159 
 249.       20.        40.         90.8        31.48    0.01      D0845  2  160 
 249.       20.        40.        101.0         2.80    0.04      D0845  2  161 
 249.       20.        40.        110.8         0.33    0.20      D0845  2  162 
 249.       20.        41.         49.9         3.43    0.04      D0845  2  163 
 249.       20.        41.         58.4         6.50    0.04      D0845  2  164 
 249.       20.        41.         69.5        36.50    0.01      D0845  2  165 
 249.       20.        41.         74.9        54.29    0.02      D0845  2  166 
 249.       20.        41.         80.3        58.62    0.01      D0845  2  167 
 249.       20.        41.         85.6        36.12    0.02      D0845  2  168 
 249.       20.        41.         90.8        17.16    0.03      D0845  2  169 
 249.       20.        41.         90.8        18.06    0.02      D0845  2  170 
 249.       20.        41.        101.0         2.34    0.04      D0845  2  171 
 249.       20.        41.        110.8         0.33    0.20      D0845  2  172 
 249.       20.        42.         58.4         0.91    0.10      D0845  2  173 
 249.       20.        42.         69.5         4.55    0.03      D0845  2  174 
 249.       20.        42.         74.9        11.93    0.03      D0845  2  175 
 249.       20.        42.         80.3        17.76    0.02      D0845  2  176 
 249.       20.        42.         85.6        13.29    0.03      D0845  2  177 
 249.       20.        42.         90.8         7.58    0.05      D0845  2  178 
 249.       20.        42.         90.8         8.27    0.03      D0845  2  179 
 249.       20.        42.        101.0         1.26    0.05      D0845  2  180 
 249.       20.        42.        110.8         0.30    0.21      D0845  2  181 
ENDDATA            174          0                                 D0845  2  182 
ENDSUBENT          181          0                                 D0845  299999 
SUBENT        D0845003   20170719                             D111D0845  3    1 
BIB                  3          4                                 D0845  3    2 
REACTION   (82-PB-208(20-CA-40,X)ELEM/MASS,,SIG)                  D0845  3    3 
ANALYSIS   (INTAD,INTED) Integrated for angular and Q-value       D0845  3    4 
            distributions                                         D0845  3    5 
STATUS     (TABLE) Partly in Fig.3 of Phys.Rev.C71(2005)044610    D0845  3    6 
ENDBIB               4          0                                 D0845  3    7 
NOCOMMON             0          0                                 D0845  3    8 
DATA                 5         97                                 D0845  3    9 
EN         ELEMENT    MASS       DATA       DATA-ERR              D0845  3   10 
MEV        NO-DIM     NO-DIM     MB         MB                    D0845  3   11 
 235.       14.        29.          0.08      0.01                D0845  3   12 
 235.       14.        30.          0.40      0.04                D0845  3   13 
 235.       14.        31.          0.80      0.08                D0845  3   14 
 235.       14.        32.          1.1       0.1                 D0845  3   15 
 235.       14.        33.          0.40      0.04                D0845  3   16 
 235.       14.        34.          0.20      0.02                D0845  3   17 
 235.       15.        31.          0.18      0.02                D0845  3   18 
 235.       15.        32.          0.90      0.09                D0845  3   19 
 235.       15.        33.          2.5       0.3                 D0845  3   20 
 235.       15.        34.          2.2       0.2                 D0845  3   21 
 235.       15.        35.          1.5       0.2                 D0845  3   22 
 235.       15.        36.          0.31      0.03                D0845  3   23 
 235.       16.        33.          0.32      0.04                D0845  3   24 
 235.       16.        34.          4.3       0.4                 D0845  3   25 
 235.       16.        35.          4.3       0.4                 D0845  3   26 
 235.       16.        36.          6.1       0.6                 D0845  3   27 
 235.       16.        37.          2.3       0.2                 D0845  3   28 
 235.       16.        38.          1.0       0.1                 D0845  3   29 
 235.       16.        39.          0.16      0.04                D0845  3   30 
 235.       17.        35.          1.1       0.1                 D0845  3   31 
 235.       17.        36.          5.1       0.5                 D0845  3   32 
 235.       17.        37.         16.        2.                  D0845  3   33 
 235.       17.        38.          8.4       0.8                 D0845  3   34 
 235.       17.        39.          5.1       0.5                 D0845  3   35 
 235.       17.        40.          1.3       0.2                 D0845  3   36 
 235.       17.        41.          0.4       0.1                 D0845  3   37 
 235.       18.        36.          1.3       0.8                 D0845  3   38 
 235.       18.        37.          7.        1.                  D0845  3   39 
 235.       18.        38.         42.        4.                  D0845  3   40 
 235.       18.        39.         21.        2.                  D0845  3   41 
 235.       18.        40.         14.        2.                  D0845  3   42 
 235.       18.        41.          5.1       0.9                 D0845  3   43 
 235.       18.        42.          1.8       0.8                 D0845  3   44 
 235.       18.        43.          0.3       0.8                 D0845  3   45 
 235.       19.        38.          1.4       0.9                 D0845  3   46 
 235.       19.        39.         47.        5.                  D0845  3   47 
 235.       19.        40.         25.        3.                  D0845  3   48 
 235.       19.        41.         17.        2.                  D0845  3   49 
