EN         ANG        E          DATA       DATA-ERR              D085000200010 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             D085000200011 
 30.0        66.2      3.89       1.35                            D085000300021 
 30.0        69.2      4.07       1.28                            D085000300022 
 30.0        75.4      5.57       0.99                            D085000300023 
 30.0        78.4      5.92       1.70                            D085000300024 
 30.0        79.6      5.47       0.91                            D085000300025 
 30.0        82.6      3.67       0.81                            D085000300026 
 30.0        84.6      4.00       0.80                            D085000300027 
 30.0        87.6      3.24       0.72                            D085000300028 
 30.0        88.2      3.57       0.69                            D085000300029 
 30.0        91.2      3.69       0.65                            D085000300030 
 30.0        93.2      4.18       0.74                            D085000300031 
 30.0        94.2      3.83       0.91                            D085000300032 
 30.0        96.2      4.26       0.83                            D085000300033 
 30.0        99.2      3.35       0.83                            D085000300034 
 30.0       100.4      4.63       0.76                            D085000300035 
 30.0       103.4      3.09       0.62                            D085000300036 
 30.0       105.4      2.96       0.41                            D085000300037 
 30.0       108.4      2.73       0.48                            D085000300038 
 30.0       114.6      3.03       0.23                            D085000300039 
 30.0       117.6      3.14       0.22                            D085000300040 
 30.0       123.2      2.96       0.30                            D085000300041 
 30.0       126.2      2.91       0.28                            D085000300042 
 30.0       129.2      3.04       0.28                            D085000300043 
 30.0       135.4      3.12       0.36                            D085000300044 
 30.0       138.4      2.80       0.36                            D085000300045 
ENDDATA             35          0                                 D085000300046 
ENDSUBENT           45          0                                 D085000399999 
SUBENT        D0850004   20171211                             D113D085000400001 
BIB                  3          6                                 D085000400002 
REACTION   (62-SM-144(3-LI-7,D+X)2-HE-4,,DA,,MSC)                 D085000400003 
            Angular differential cross section of alphas from     D085000400004 
            (7Li,6Li) reaction followed by 6Li->d+a               D085000400005 
METHOD     (COINC) Detection of d and a in coincidence            D085000400006 
ERR-ANALYS (DATA-ERR) Number of detected events (statistics) and  D085000400007 
            detector solid angle determination                    D085000400008 
ENDBIB               6          0                                 D085000400009 
COMMON               1          3                                 D085000400010 
EN                                                                D085000400011 
MEV                                                               D085000400012 
 30.                                                              D085000400013 
ENDCOMMON            3          0                                 D085000400014 
DATA                 3          7                                 D085000400015 
ANG        DATA       DATA-ERR                                    D085000400016 
ADEG       MB/SR      MB/SR                                       D085000400017 
 114.6      1.21       0.49                                       D085000400018 
 117.6      1.00       0.23                                       D085000400019 
 123.2      1.30       0.27                                       D085000400020 
 126.2      0.94       0.18                                       D085000400021 
 129.2      1.02       0.18                                       D085000400022 
 135.4      0.91       0.25                                       D085000400023 
 138.4      0.79       0.15                                       D085000400024 
ENDDATA              9          0                                 D085000400025 
ENDSUBENT           24          0                                 D085000499999 
ENDENTRY             4          0                                 D085099999999 
