EN         ANG        E          DATA       DATA-ERR              D801100200009 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             D801100200010 
 23.         90.       17.75      2.6889E-01  4.733E-02           D801100200208 
 23.         90.       18.25      2.4352E-01  4.420E-02           D801100200209 
 23.         90.       18.75      1.8264E-01  3.648E-02           D801100200210 
 23.         90.       19.25      1.6742E-01  3.448E-02           D801100200211 
 23.         90.       19.75      1.8772E-01  3.714E-02           D801100200212 
 23.         90.       20.25      1.0654E-01  2.604E-02           D801100200213 
 23.         90.       20.75      8.1174E-02  2.217E-02           D801100200214 
 23.         90.       21.25      1.3191E-01  2.966E-02           D801100200215 
 23.         90.       21.75      7.6101E-02  2.136E-02           D801100200216 
 23.         90.       22.25      1.1669E-01  2.751E-02           D801100200217 
 23.        105.        3.25       4.382E+00  4.971E-01           D801100200218 
 23.        105.        3.75       7.302E+00  8.185E-01           D801100200219 
 23.        105.        4.25       8.526E+00  9.532E-01           D801100200220 
 23.        105.        4.75       9.248E+00  1.033E+00           D801100200221 
 23.        105.        5.25       9.281E+00  1.036E+00           D801100200222 
 23.        105.        5.75      9.0392E+00  1.010E+00           D801100200223 
 23.        105.        6.25      8.5089E+00  9.513E-01           D801100200224 
 23.        105.        6.75      7.6437E+00  8.561E-01           D801100200225 
 23.        105.        7.25      6.6493E+00  7.467E-01           D801100200226 
 23.        105.        7.75      6.0626E+00  6.821E-01           D801100200227 
 23.        105.        8.25      5.2571E+00  5.934E-01           D801100200228 
 23.        105.        8.75      4.4285E+00  5.022E-01           D801100200229 
 23.        105.        9.25      4.0738E+00  4.631E-01           D801100200230 
 23.        105.        9.75      3.2749E+00  3.752E-01           D801100200231 
 23.        105.       10.25      2.6551E+00  3.069E-01           D801100200232 
 23.        105.       10.75      2.3170E+00  2.696E-01           D801100200233 
 23.        105.       11.25      1.9723E+00  2.316E-01           D801100200234 
 23.        105.       11.75      1.6076E+00  1.914E-01           D801100200235 
 23.        105.       12.25      1.3226E+00  1.599E-01           D801100200236 
 23.        105.       12.75      1.2364E+00  1.504E-01           D801100200237 
 23.        105.       13.25      9.2149E-01  1.155E-01           D801100200238 
 23.        105.       13.75      7.4581E-01  9.596E-02           D801100200239 
 23.        105.       14.25      6.9278E-01  9.005E-02           D801100200240 
 23.        105.       14.75      5.3036E-01  7.185E-02           D801100200241 
 23.        105.       15.25      5.2373E-01  7.112E-02           D801100200242 
 23.        105.       15.75      3.9777E-01  5.687E-02           D801100200243 
 23.        105.       16.25      3.4473E-01  5.081E-02           D801100200244 
 23.        105.       16.75      2.1877E-01  3.612E-02           D801100200245 
 23.        105.       17.25      2.1877E-01  3.612E-02           D801100200246 
 23.        105.       17.75      1.9888E-01  3.374E-02           D801100200247 
 23.        105.       18.25      1.4916E-01  2.764E-02           D801100200248 
 23.        105.       18.75      1.2596E-01  2.469E-02           D801100200249 
 23.        105.       19.25      9.2812E-02  2.030E-02           D801100200250 
 23.        105.       19.75      8.6183E-02  1.938E-02           D801100200251 
 23.        105.       20.25      7.9553E-02  1.845E-02           D801100200252 
 23.        105.       20.75      7.9553E-02  1.845E-02           D801100200253 
 23.        105.       21.25      5.3036E-02  1.449E-02           D801100200254 
 23.        105.       21.75      6.2980E-02  1.602E-02           D801100200255 
 23.        105.       22.25      3.6462E-02  1.150E-02           D801100200256 
 23.        120.        3.25      4.4957E+00  5.056E-01           D801100200257 
 23.        120.        3.75      7.2544E+00  8.092E-01           D801100200258 
 23.        120.        4.25      8.4349E+00  9.392E-01           D801100200259 
 23.        120.        4.75      8.8373E+00  9.834E-01           D801100200260 
 23.        120.        5.25      8.9939E+00  1.001E+00           D801100200261 
 23.        120.        5.75      8.5193E+00  9.484E-01           D801100200262 
 23.        120.        6.25      7.7266E+00  8.612E-01           D801100200263 
 23.        120.        6.75      6.8978E+00  7.700E-01           D801100200264 
 23.        120.        7.25      6.1003E+00  6.822E-01           D801100200265 
 23.        120.        7.75      5.2354E+00  5.879E-01           D801100200266 
 23.        120.        8.25      4.6042E+00  5.175E-01           D801100200267 
 23.        120.        8.75      3.8549E+00  4.350E-01           D801100200268 
 23.        120.        9.25      3.1490E+00  3.573E-01           D801100200269 
 23.        120.        9.75      2.6888E+00  3.067E-01           D801100200270 
 23.        120.       10.25      2.2166E+00  2.546E-01           D801100200271 
 23.        120.       10.75      1.8937E+00  2.191E-01           D801100200272 
 23.        120.       11.25      1.5636E+00  1.827E-01           D801100200273 
 23.        120.       11.75      1.3348E+00  1.575E-01           D801100200274 
 23.        120.       12.25      1.0770E+00  1.290E-01           D801100200275 
 23.        120.       12.75      9.1553E-01  1.112E-01           D801100200276 
 23.        120.       13.25      7.2279E-01  8.982E-02           D801100200277 
 23.        120.       13.75      6.0714E-01  7.699E-02           D801100200278 
 23.        120.       14.25      4.9391E-01  6.438E-02           D801100200279 
 23.        120.       14.75      4.3367E-01  5.764E-02           D801100200280 
 23.        120.       15.25      4.3367E-01  5.764E-02           D801100200281 
 23.        120.       15.75      3.1803E-01  4.462E-02           D801100200282 
 23.        120.       16.25      2.3370E-01  3.499E-02           D801100200283 
 23.        120.       16.75      2.2166E-01  3.360E-02           D801100200284 
 23.        120.       17.25      1.6865E-01  2.740E-02           D801100200285 
 23.        120.       17.75      1.2046E-01  2.159E-02           D801100200286 
 23.        120.       18.25      1.2528E-01  2.218E-02           D801100200287 
 23.        120.       18.75      8.4325E-02  1.701E-02           D801100200288 
 23.        120.       19.25      7.9507E-02  1.637E-02           D801100200289 
 23.        120.       19.75      6.0232E-02  1.375E-02           D801100200290 
 23.        120.       20.25      5.3005E-02  1.272E-02           D801100200291 
 23.        120.       20.75      5.5414E-02  1.307E-02           D801100200292 
 23.        120.       21.25      2.1684E-02  7.612E-03           D801100200293 
 23.        120.       21.75      4.5777E-02  1.165E-02           D801100200294 
 23.        120.       22.25      1.4456E-02  6.112E-03           D801100200295 
