ANG        E-MIN      E-MAX      DATA                             S000900200017 
ADEG       MEV        MEV        ARB-UNITS                        S000900200018 
130.0       1.3        1.7        1.120                           S000900200278 
130.0       1.7        2.1        1.210                           S000900200279 
130.0       2.1        2.5        1.578                           S000900200280 
130.0       2.5        2.9        1.310                           S000900200281 
130.0       2.9        3.3        0.978                           S000900200282 
130.0       3.3        3.7        0.706                           S000900200283 
130.0       3.7        4.1        0.843                           S000900200284 
130.0       4.1        4.5        0.440                           S000900200285 
130.0       4.5        4.9        0.439                           S000900200286 
130.0       4.9        5.3        0.167                           S000900200287 
130.0       5.3        5.7        0.083                           S000900200288 
130.0       5.7        6.1        0.088                           S000900200289 
130.0       6.1        6.5        0.280                           S000900200290 
130.0       6.5        6.9        0.056                           S000900200291 
130.0       6.9        7.3        0.000                           S000900200292 
130.0       7.3        7.7        0.056                           S000900200293 
130.0       7.7        8.1        0.105                           S000900200294 
130.0       8.1        8.5        0.000                           S000900200295 
130.0       8.5        8.9        0.000                           S000900200296 
130.0       8.9        9.3        0.312                           S000900200297 
130.0       9.3        9.7        0.000                           S000900200298 
130.0       9.7       10.1        0.000                           S000900200299 
130.0      10.1       10.5        0.000                           S000900200300 
130.0      10.5       10.9        0.086                           S000900200301 
130.0      10.9       11.3        0.000                           S000900200302 
130.0      11.3       11.7        0.0                             S000900200303 
130.0      11.7       12.1        0.0                             S000900200304 
130.0      12.1       12.5        0.0                             S000900200305 
130.0      12.5       12.9        0.120                           S000900200306 
130.0      12.9       13.3        0.125                           S000900200307 
130.0      13.3       13.7        0.225                           S000900200308 
130.0      13.7       14.1        0.0                             S000900200309 
130.0      14.1       14.5        0.134                           S000900200310 
130.0      14.5       14.9        0.0                             S000900200311 
130.0      14.9       15.3        0.152                           S000900200312 
130.0      15.3       15.7        0.0                             S000900200313 
130.0      15.7       16.1        0.0                             S000900200314 
130.0      16.1       16.5        0.0                             S000900200315 
130.0      16.5       16.9        0.0                             S000900200316 
130.0      16.9       17.3        0.0                             S000900200317 
130.0      17.3       17.7        0.211                           S000900200318 
130.0      17.7       18.1        0.0                             S000900200319 
