ENTRY            K2285   20110502                             K010K228500000001 
SUBENT        K2285001   20110502                             K010K228500100001 
BIB                 12         26                                 K228500100002 
TITLE      pi0 photoproduction on deuteron for photon energies    K228500100003 
           from 0.6 to 1.15 GeV                                   K228500100004 
AUTHOR     (F.Miyahara, H.Fukasawa, R.Hashimoto, T.Ishikawa,      K228500100005 
            M.Itoh, T.Iwata, H.Kanda, J.Kasagi, H.Kato,           K228500100006 
            T.Kinoshita, K.Maeda, M.Matsuzawa, T.Michigami,       K228500100007 
            K.Motiduki, K.Murakami, T.Nakabayashi, K.Nawa,        K228500100008 
            T.Nomura, K.Okamura, H.Okamura, H.Okuyama, Y.Onodera, K228500100009 
            Y.Saito, T.Sasaki, H.Shimizu, T.Shishido, S.Suzuki,   K228500100010 
            K.Suzuki, Y.Tajima, S.Takita, T.Takahashi, H.Ueno,    K228500100011 
            S.Yamagushi, H.Yamazaki, H.Y.Yoshida)                 K228500100012 
INSTITUTE  (2JPNTOH) Laboratory of Nuclear Science                K228500100013 
           (2JPNTOH) Cyclotron and Radioisotope Center            K228500100014 
           (2JPNYMG) Department of Physics                        K228500100015 
           (2JPNTOH) Department of Physics                        K228500100016 
           (2JPNOSA) Research Center for Nuclear Physics          K228500100017 
           (2JPNKEK)                                              K228500100018 
REFERENCE  (J,CNPR,26,(S),104,200907)                             K228500100019 
PART-DET   (G)                                                    K228500100020 
INC-SOURCE (TAGD)                                                 K228500100021 
SAMPLE     - Chemical-form of target is element.                  K228500100022 
           - Physical-form of target is solid.                    K228500100023 
METHOD     (COINC) Invariant mass analysis of two gammas          K228500100024 
FACILITY   (SRING,2JPNTOH) Laboratory for Nuclear Science         K228500100025 
DETECTOR   (CSICR,SCIN) Electromagnetic calorimeter SCISSORS II   K228500100026 
STATUS     (PRELM) Indicated by authors in figures                K228500100027 
HISTORY    (20100820C)                                            K228500100028 
ENDBIB              26          0                                 K228500100029 
NOCOMMON             0          0                                 K228500100030 
ENDSUBENT           29          0                                 K228500199999 
SUBENT        K2285002   20110502                             K010K228500200001 
BIB                  3          3                                 K228500200002 
REACTION   (1-H-1(G,PI0)1-H-1,,DA)                                K228500200003 
ERR-ANALYS (ERR-S) Statistical uncertainty                        K228500200004 
STATUS     (TABLE) Plotted in Fig.2 of J,CNPR,26,(S),104,2009     K228500200005 
ENDBIB               3          0                                 K228500200006 
NOCOMMON             0          0                                 K228500200007 
DATA                 4        766                                 K228500200008 
      0.956      -0.15       1.84       0.10                      K228500200460 
      0.956      -0.05       1.69       0.07                      K228500200461 
      0.956       0.05       1.72       0.08                      K228500200462 
      0.956       0.15       1.54       0.07                      K228500200463 
      0.956       0.25       1.25       0.06                      K228500200464 
      0.956       0.35       1.35       0.06                      K228500200465 
      0.956       0.45       1.21       0.05                      K228500200466 
      0.956       0.55       1.34       0.06                      K228500200467 
      0.956       0.65       1.35       0.06                      K228500200468 
      0.956       0.75       1.72       0.09                      K228500200469 
      0.956       0.85       1.72       0.27                      K228500200470 
      0.967      -0.85       2.98       0.41                      K228500200471 
      0.967      -0.75       2.67       0.24                      K228500200472 
      0.967      -0.65       2.74       0.18                      K228500200473 
      0.967      -0.55       2.85       0.18                      K228500200474 
      0.967      -0.45       2.54       0.14                      K228500200475 
      0.967      -0.35       2.10       0.12                      K228500200476 
      0.967      -0.25       1.99       0.12                      K228500200477 
      0.967      -0.15       1.88       0.10                      K228500200478 
      0.967      -0.05       1.88       0.07                      K228500200479 
      0.967       0.05       1.54       0.07                      K228500200480 
      0.967       0.15       1.59       0.07                      K228500200481 
      0.967       0.25       1.31       0.06                      K228500200482 
      0.967       0.35       1.29       0.06                      K228500200483 
      0.967       0.45       1.24       0.05                      K228500200484 
      0.967       0.55       1.39       0.06                      K228500200485 
      0.967       0.65       1.67       0.07                      K228500200486 
      0.967       0.75       1.82       0.10                      K228500200487 
      0.967       0.85       1.94       0.29                      K228500200488 
      0.980      -0.85       3.29       0.49                      K228500200489 
      0.980      -0.75       3.05       0.27                      K228500200490 
      0.980      -0.65       2.79       0.20                      K228500200491 
      0.980      -0.55       2.72       0.18                      K228500200492 
      0.980      -0.45       2.71       0.16                      K228500200493 
      0.980      -0.35       2.20       0.12                      K228500200494 
      0.980      -0.25       2.17       0.12                      K228500200495 
      0.980      -0.15       1.96       0.10                      K228500200496 
      0.980      -0.05       1.64       0.07                      K228500200497 
      0.980       0.05       1.72       0.09                      K228500200498 
      0.980       0.15       1.53       0.07                      K228500200499 
      0.980       0.25       1.52       0.07                      K228500200500 
      0.980       0.35       1.34       0.06                      K228500200501 
      0.980       0.45       1.36       0.06                      K228500200502 
      0.980       0.55       1.63       0.06                      K228500200503 
      0.980       0.65       1.88       0.08                      K228500200504 
      0.980       0.75       2.32       0.11                      K228500200505 
      0.980       0.85       2.41       0.35                      K228500200506 
      0.992      -0.85       2.53       0.41                      K228500200507 
      0.992      -0.75       2.99       0.30                      K228500200508 
      0.992      -0.65       3.18       0.21                      K228500200509 
      0.992      -0.55       2.53       0.17                      K228500200510 
      0.992      -0.45       2.55       0.15                      K228500200511 
      0.992      -0.35       2.27       0.13                      K228500200512 
      0.992      -0.25       2.35       0.13                      K228500200513 
      0.992      -0.15       2.02       0.10                      K228500200514 
      0.992      -0.05       1.87       0.08                      K228500200515 
      0.992       0.05       1.71       0.08                      K228500200516 
      0.992       0.15       1.57       0.07                      K228500200517 
      0.992       0.25       1.43       0.06                      K228500200518 
      0.992       0.35       1.43       0.06                      K228500200519 
      0.992       0.45       1.67       0.07                      K228500200520 
      0.992       0.55       1.85       0.07                      K228500200521 
      0.992       0.65       2.19       0.08                      K228500200522 
      0.992       0.75       2.27       0.12                      K228500200523 
      0.992       0.85       2.17       0.33                      K228500200524 
      1.002      -0.85       3.39       0.48                      K228500200525 
      1.002      -0.75       2.94       0.28                      K228500200526 
      1.002      -0.65       2.34       0.17                      K228500200527 
      1.002      -0.55       3.05       0.19                      K228500200528 
      1.002      -0.45       2.24       0.15                      K228500200529 
      1.002      -0.35       2.40       0.13                      K228500200530 
      1.002      -0.25       2.02       0.12                      K228500200531 
      1.002      -0.15       1.83       0.09                      K228500200532 
      1.002      -0.05       1.60       0.07                      K228500200533 
      1.002       0.05       1.69       0.08                      K228500200534 
      1.002       0.15       1.45       0.07                      K228500200535 
      1.002       0.25       1.54       0.07                      K228500200536 
      1.002       0.35       1.58       0.07                      K228500200537 
      1.002       0.45       1.72       0.07                      K228500200538 
      1.002       0.55       1.96       0.07                      K228500200539 
      1.002       0.65       2.22       0.09                      K228500200540 
      1.002       0.75       2.55       0.12                      K228500200541 
      1.002       0.85       2.74       0.38                      K228500200542 
      1.014      -0.85       2.81       0.54                      K228500200543 
      1.014      -0.75       2.70       0.34                      K228500200544 
      1.014      -0.65       2.93       0.25                      K228500200545 
      1.014      -0.55       3.06       0.24                      K228500200546 
      1.014      -0.45       2.29       0.18                      K228500200547 
      1.014      -0.35       2.51       0.16                      K228500200548 
      1.014      -0.25       1.89       0.14                      K228500200549 
      1.014      -0.15       1.93       0.12                      K228500200550 
      1.014      -0.05       1.70       0.09                      K228500200551 
      1.014       0.05       1.44       0.09                      K228500200552 
      1.014       0.15       1.62       0.09                      K228500200553 
      1.014       0.25       1.58       0.08                      K228500200554 
      1.014       0.35       1.61       0.08                      K228500200555 
      1.014       0.45       1.86       0.09                      K228500200556 
      1.014       0.55       2.10       0.09                      K228500200557 
      1.014       0.65       2.43       0.11                      K228500200558 
      1.014       0.75       2.62       0.15                      K228500200559 
      1.014       0.85       3.19       0.56                      K228500200560 
      1.031      -0.85       2.17       0.44                      K228500200561 
      1.031      -0.75       3.17       0.34                      K228500200562 
      1.031      -0.65       2.74       0.24                      K228500200563 
      1.031      -0.55       2.57       0.22                      K228500200564 
      1.031      -0.45       2.68       0.19                      K228500200565 
      1.031      -0.35       2.38       0.15                      K228500200566 
      1.031      -0.25       2.12       0.15                      K228500200567 
      1.031      -0.15       1.85       0.11                      K228500200568 
      1.031      -0.05       1.65       0.08                      K228500200569 
      1.031       0.05       1.65       0.10                      K228500200570 
      1.031       0.15       1.65       0.09                      K228500200571 
      1.031       0.25       1.76       0.09                      K228500200572 
      1.031       0.35       1.72       0.09                      K228500200573 
      1.031       0.45       1.88       0.09                      K228500200574 
      1.031       0.55       2.20       0.10                      K228500200575 
      1.031       0.65       2.63       0.12                      K228500200576 
      1.031       0.75       2.66       0.17                      K228500200577 
      1.031       0.85       3.83       0.61                      K228500200578 
      1.042      -0.85       2.58       0.45                      K228500200579 
      1.042      -0.75       2.61       0.26                      K228500200580 
      1.042      -0.65       3.10       0.21                      K228500200581 
      1.042      -0.55       2.52       0.18                      K228500200582 
      1.042      -0.45       2.50       0.15                      K228500200583 
      1.042      -0.35       2.25       0.12                      K228500200584 
      1.042      -0.25       1.86       0.12                      K228500200585 
      1.042      -0.15       1.79       0.09                      K228500200586 
      1.042      -0.05       1.64       0.07                      K228500200587 
      1.042       0.05       1.58       0.08                      K228500200588 
      1.042       0.15       1.63       0.07                      K228500200589 
      1.042       0.25       1.72       0.07                      K228500200590 
      1.042       0.35       1.81       0.07                      K228500200591 
      1.042       0.45       2.10       0.08                      K228500200592 
      1.042       0.55       2.48       0.09                      K228500200593 
      1.042       0.65       2.62       0.10                      K228500200594 
      1.042       0.75       2.88       0.14                      K228500200595 
      1.042       0.85       3.21       0.45                      K228500200596 
      1.053      -0.85       2.50       0.40                      K228500200597 
      1.053      -0.75       3.21       0.29                      K228500200598 
      1.053      -0.65       3.11       0.20                      K228500200599 
      1.053      -0.55       2.61       0.17                      K228500200600 
      1.053      -0.45       1.95       0.12                      K228500200601 
      1.053      -0.35       2.09       0.12                      K228500200602 
      1.053      -0.25       1.88       0.11                      K228500200603 
      1.053      -0.15       1.64       0.08                      K228500200604 
      1.053      -0.05       1.74       0.07                      K228500200605 
      1.053       0.05       1.51       0.07                      K228500200606 
      1.053       0.15       1.43       0.07                      K228500200607 
      1.053       0.25       1.67       0.07                      K228500200608 
      1.053       0.35       1.81       0.07                      K228500200609 
      1.053       0.45       2.19       0.08                      K228500200610 
      1.053       0.55       2.51       0.09                      K228500200611 
      1.053       0.65       2.47       0.10                      K228500200612 
      1.053       0.75       2.86       0.15                      K228500200613 
      1.053       0.85       3.06       0.47                      K228500200614 
      1.065      -0.85       3.47       0.60                      K228500200615 
      1.065      -0.75       2.54       0.29                      K228500200616 
      1.065      -0.65       2.59       0.21                      K228500200617 
      1.065      -0.55       2.59       0.19                      K228500200618 
      1.065      -0.45       2.46       0.16                      K228500200619 
      1.065      -0.35       1.94       0.13                      K228500200620 
      1.065      -0.25       1.85       0.12                      K228500200621 
      1.065      -0.15       1.48       0.12                      K228500200622 
      1.065      -0.05       1.55       0.07                      K228500200623 
      1.065       0.05       1.43       0.08                      K228500200624 
      1.065       0.15       1.48       0.08                      K228500200625 
      1.065       0.25       1.71       0.08                      K228500200626 
      1.065       0.35       1.72       0.08                      K228500200627 
      1.065       0.45       2.17       0.09                      K228500200628 
      1.065       0.55       2.22       0.09                      K228500200629 
      1.065       0.65       2.88       0.12                      K228500200630 
      1.065       0.75       3.06       0.17                      K228500200631 
      1.065       0.85       2.32       0.49                      K228500200632 
      1.073      -0.85       3.25       0.53                      K228500200633 
      1.073      -0.75       2.39       0.28                      K228500200634 
      1.073      -0.65       2.35       0.20                      K228500200635 
      1.073      -0.55       2.33       0.18                      K228500200636 
      1.073      -0.45       2.35       0.15                      K228500200637 
      1.073      -0.35       1.86       0.13                      K228500200638 
      1.073      -0.25       1.65       0.11                      K228500200639 
      1.073      -0.15       1.40       0.12                      K228500200640 
      1.073      -0.05       1.51       0.07                      K228500200641 
      1.073       0.05       1.44       0.08                      K228500200642 
      1.073       0.15       1.43       0.08                      K228500200643 
      1.073       0.25       1.69       0.08                      K228500200644 
      1.073       0.35       1.79       0.08                      K228500200645 
      1.073       0.45       2.12       0.09                      K228500200646 
      1.073       0.55       2.30       0.10                      K228500200647 
      1.073       0.65       2.55       0.12                      K228500200648 
      1.073       0.75       2.95       0.17                      K228500200649 
      1.073       0.85       2.47       0.50                      K228500200650 
      1.084      -0.85       2.03       0.45                      K228500200651 
      1.084      -0.75       1.67       0.27                      K228500200652 
      1.084      -0.65       2.27       0.22                      K228500200653 
      1.084      -0.55       2.05       0.19                      K228500200654 
      1.084      -0.45       1.56       0.14                      K228500200655 
      1.084      -0.35       1.71       0.14                      K228500200656 
      1.084      -0.25       1.60       0.15                      K228500200657 
      1.084      -0.15       1.50       0.10                      K228500200658 
      1.084      -0.05       1.43       0.08                      K228500200659 
      1.084       0.05       1.35       0.09                      K228500200660 
      1.084       0.15       1.53       0.09                      K228500200661 
      1.084       0.25       1.51       0.08                      K228500200662 
      1.084       0.35       1.70       0.09                      K228500200663 
      1.084       0.45       2.15       0.10                      K228500200664 
      1.084       0.55       2.32       0.11                      K228500200665 
      1.084       0.65       2.32       0.13                      K228500200666 
      1.084       0.75       2.86       0.19                      K228500200667 
      1.084       0.85       1.71       0.51                      K228500200668 
      1.091      -0.85       1.82       0.40                      K228500200669 
      1.091      -0.75       2.05       0.28                      K228500200670 
      1.091      -0.65       2.41       0.22                      K228500200671 
      1.091      -0.55       2.03       0.19                      K228500200672 
      1.091      -0.45       1.85       0.15                      K228500200673 
      1.091      -0.35       1.76       0.17                      K228500200674 
      1.091      -0.25       1.68       0.15                      K228500200675 
      1.091      -0.15       1.26       0.08                      K228500200676 
      1.091      -0.05       1.10       0.07                      K228500200677 
      1.091       0.05       1.30       0.08                      K228500200678 
      1.091       0.15       1.39       0.08                      K228500200679 
      1.091       0.25       1.52       0.09                      K228500200680 
      1.091       0.35       1.94       0.10                      K228500200681 
      1.091       0.45       1.91       0.10                      K228500200682 
      1.091       0.55       2.29       0.11                      K228500200683 
      1.091       0.65       2.23       0.12                      K228500200684 
      1.091       0.75       2.23       0.17                      K228500200685 
      1.091       0.85       3.91       0.83                      K228500200686 
      1.101      -0.85       1.64       0.43                      K228500200687 
      1.101      -0.75       2.28       0.34                      K228500200688 
      1.101      -0.65       1.53       0.20                      K228500200689 
      1.101      -0.55       1.60       0.21                      K228500200690 
      1.101      -0.45       1.53       0.16                      K228500200691 
      1.101      -0.35       1.27       0.13                      K228500200692 
      1.101      -0.25       1.21       0.14                      K228500200693 
      1.101      -0.15       1.42       0.15                      K228500200694 
      1.101      -0.05       1.20       0.08                      K228500200695 
      1.101       0.05       1.28       0.10                      K228500200696 
      1.101       0.15       1.37       0.09                      K228500200697 
      1.101       0.25       1.66       0.10                      K228500200698 
      1.101       0.35       1.83       0.11                      K228500200699 
      1.101       0.45       1.98       0.11                      K228500200700 
      1.101       0.55       2.16       0.12                      K228500200701 
      1.101       0.65       2.13       0.14                      K228500200702 
      1.101       0.75       2.24       0.20                      K228500200703 
      1.101       0.85       2.22       0.70                      K228500200704 
      1.109      -0.85       1.04       0.38                      K228500200705 
      1.109      -0.75       1.82       0.33                      K228500200706 
      1.109      -0.65       1.83       0.31                      K228500200707 
      1.109      -0.55       1.39       0.19                      K228500200708 
      1.109      -0.45       1.49       0.24                      K228500200709 
      1.109      -0.35       1.08       0.12                      K228500200710 
      1.109      -0.25       1.18       0.12                      K228500200711 
      1.109      -0.15       1.06       0.13                      K228500200712 
      1.109      -0.05       1.19       0.08                      K228500200713 
      1.109       0.05       1.37       0.10                      K228500200714 
      1.109       0.15       1.08       0.09                      K228500200715 
      1.109       0.25       1.57       0.10                      K228500200716 
      1.109       0.35       1.68       0.10                      K228500200717 
      1.109       0.45       1.92       0.12                      K228500200718 
      1.109       0.55       1.84       0.12                      K228500200719 
      1.109       0.65       2.05       0.13                      K228500200720 
      1.109       0.75       2.13       0.20                      K228500200721 
      1.109       0.85       3.06       0.81                      K228500200722 
      1.120      -0.85       1.56       0.37                      K228500200723 
      1.120      -0.75       1.99       0.27                      K228500200724 
      1.120      -0.65       1.47       0.17                      K228500200725 
      1.120      -0.55       1.63       0.19                      K228500200726 
      1.120      -0.45       1.37       0.13                      K228500200727 
      1.120      -0.35       1.26       0.14                      K228500200728 
      1.120      -0.25       1.18       0.14                      K228500200729 
      1.120      -0.15       0.91       0.10                      K228500200730 
      1.120      -0.05       1.02       0.06                      K228500200731 
      1.120       0.05       1.27       0.08                      K228500200732 
      1.120       0.15       1.33       0.08                      K228500200733 
      1.120       0.25       1.53       0.08                      K228500200734 
      1.120       0.35       1.84       0.09                      K228500200735 
      1.120       0.45       1.96       0.10                      K228500200736 
      1.120       0.55       1.88       0.10                      K228500200737 
      1.120       0.65       2.25       0.13                      K228500200738 
      1.120       0.75       2.07       0.17                      K228500200739 
      1.120       0.85       2.17       0.57                      K228500200740 
      1.130      -0.85       1.34       0.35                      K228500200741 
      1.130      -0.75       1.51       0.28                      K228500200742 
      1.130      -0.65       1.74       0.21                      K228500200743 
      1.130      -0.55       1.54       0.17                      K228500200744 
      1.130      -0.45       1.15       0.13                      K228500200745 
      1.130      -0.35       1.18       0.12                      K228500200746 
      1.130      -0.25       1.14       0.10                      K228500200747 
      1.130      -0.15       0.98       0.08                      K228500200748 
      1.130      -0.05       0.95       0.06                      K228500200749 
      1.130       0.05       1.10       0.08                      K228500200750 
      1.130       0.15       1.16       0.08                      K228500200751 
      1.130       0.25       1.24       0.08                      K228500200752 
      1.130       0.35       1.51       0.09                      K228500200753 
      1.130       0.45       1.58       0.10                      K228500200754 
      1.130       0.55       1.72       0.11                      K228500200755 
      1.130       0.65       1.63       0.13                      K228500200756 
      1.130       0.75       1.81       0.18                      K228500200757 
      1.130       0.85       1.22       0.47                      K228500200758 
      1.143      -0.85       1.30       0.32                      K228500200759 
      1.143      -0.75       1.67       0.23                      K228500200760 
      1.143      -0.65       1.70       0.24                      K228500200761 
      1.143      -0.55       1.01       0.13                      K228500200762 
      1.143      -0.45       1.35       0.18                      K228500200763 
      1.143      -0.35       1.07       0.12                      K228500200764 
      1.143      -0.25       1.18       0.12                      K228500200765 
      1.143      -0.15       1.02       0.10                      K228500200766 
      1.143      -0.05       0.89       0.10                      K228500200767 
      1.143       0.05       0.92       0.07                      K228500200768 
      1.143       0.15       1.04       0.07                      K228500200769 
      1.143       0.25       1.29       0.07                      K228500200770 
      1.143       0.35       1.52       0.08                      K228500200771 
      1.143       0.45       1.49       0.08                      K228500200772 
      1.143       0.55       1.52       0.10                      K228500200773 
      1.143       0.65       1.46       0.10                      K228500200774 
      1.143       0.75       1.80       0.16                      K228500200775 
      1.143       0.85       1.61       0.49                      K228500200776 
ENDDATA            768          0                                 K228500200777 
ENDSUBENT          776          0                                 K228500299999 
SUBENT        K2285003   20110502                             K010K228500300001 
BIB                  3          3                                 K228500300002 
REACTION   (1-H-2(G,PI0+N)1-H-1,,DA)                              K228500300003 
ERR-ANALYS (ERR-S) Statistical uncertainty                        K228500300004 
STATUS     (TABLE) Plotted in Fig.4 of J,CNPR,26,(S),104,2009     K228500300005 
ENDBIB               3          0                                 K228500300006 
NOCOMMON             0          0                                 K228500300007 
DATA                 4        774                                 K228500300008 
EN         COS-CM     DATA-CM    ERR-S                            K228500300009 
GEV        NO-DIM     MU-B/SR    MU-B/SR                          K228500300010 
      0.645      -0.85       3.64       0.58                      K228500300011 
      0.645      -0.75       5.14       0.57                      K228500300012 
      0.645      -0.65       3.71       0.33                      K228500300013 
      0.645      -0.55       3.82       0.31                      K228500300014 
      0.645      -0.45       4.00       0.26                      K228500300015 
      0.645      -0.35       4.75       0.25                      K228500300016 
      0.645      -0.25       5.13       0.25                      K228500300017 
      0.645      -0.15       5.00       0.29                      K228500300018 
      0.645      -0.05       5.38       0.34                      K228500300019 
      0.645       0.05       5.72       0.31                      K228500300020 
      0.645       0.15       5.16       0.22                      K228500300021 
      0.645       0.25       4.77       0.18                      K228500300022 
      0.645       0.35       4.63       0.15                      K228500300023 
      0.645       0.45       3.85       0.14                      K228500300024 
      0.645       0.55       3.22       0.11                      K228500300025 
      0.645       0.65       3.14       0.12                      K228500300026 
      0.645       0.75       2.81       0.13                      K228500300027 
      0.645       0.85       2.29       0.23                      K228500300028 
      0.660      -0.85       4.51       0.74                      K228500300029 
      0.660      -0.75       2.74       0.49                      K228500300030 
      0.660      -0.65       3.47       0.35                      K228500300031 
      0.660      -0.55       3.66       0.33                      K228500300032 
      0.660      -0.45       4.05       0.29                      K228500300033 
      0.660      -0.35       4.28       0.28                      K228500300034 
      0.660      -0.25       4.95       0.28                      K228500300035 
      0.660      -0.15       5.44       0.32                      K228500300036 
      0.660      -0.05       6.05       0.37                      K228500300037 
      0.660       0.05       5.43       0.32                      K228500300038 
      0.660       0.15       5.03       0.22                      K228500300039 
      0.660       0.25       4.57       0.19                      K228500300040 
      0.660       0.35       4.11       0.16                      K228500300041 
      0.660       0.45       3.68       0.14                      K228500300042 
      0.660       0.55       3.37       0.13                      K228500300043 
      0.660       0.65       3.19       0.12                      K228500300044 
      0.660       0.75       2.49       0.14                      K228500300045 
      0.660       0.85       2.51       0.28                      K228500300046 
      0.672      -0.85       2.56       0.73                      K228500300047 
      0.672      -0.75       2.53       0.55                      K228500300048 
      0.672      -0.65       3.66       0.41                      K228500300049 
      0.672      -0.55       3.97       0.40                      K228500300050 
      0.672      -0.45       4.29       0.34                      K228500300051 
      0.672      -0.35       5.09       0.34                      K228500300052 
      0.672      -0.25       5.49       0.34                      K228500300053 
      0.672      -0.15       5.55       0.39                      K228500300054 
      0.672      -0.05       5.31       0.40                      K228500300055 
      0.672       0.05       5.63       0.38                      K228500300056 
      0.672       0.15       5.40       0.28                      K228500300057 
      0.672       0.25       4.53       0.22                      K228500300058 
      0.672       0.35       4.00       0.20                      K228500300059 
      0.672       0.45       3.54       0.17                      K228500300060 
      0.672       0.55       3.39       0.16                      K228500300061 
      0.672       0.65       2.74       0.15                      K228500300062 
      0.672       0.75       2.46       0.16                      K228500300063 
      0.672       0.85       2.71       0.34                      K228500300064 
      0.684      -0.85       3.18       0.66                      K228500300065 
      0.684      -0.75       2.69       0.45                      K228500300066 
      0.684      -0.65       3.17       0.30                      K228500300067 
      0.684      -0.55       4.56       0.31                      K228500300068 
      0.684      -0.45       4.51       0.27                      K228500300069 
      0.684      -0.35       5.12       0.23                      K228500300070 
      0.684      -0.25       5.31       0.24                      K228500300071 
      0.684      -0.15       5.39       0.28                      K228500300072 
      0.684      -0.05       5.57       0.31                      K228500300073 
      0.684       0.05       5.70       0.25                      K228500300074 
      0.684       0.15       5.57       0.20                      K228500300075 
      0.684       0.25       4.91       0.16                      K228500300076 
      0.684       0.35       4.20       0.13                      K228500300077 
      0.684       0.45       3.83       0.12                      K228500300078 
      0.684       0.55       3.49       0.11                      K228500300079 
      0.684       0.65       2.91       0.11                      K228500300080 
      0.684       0.75       2.85       0.12                      K228500300081 
      0.684       0.85       2.50       0.24                      K228500300082 
      0.703      -0.85       3.30       0.72                      K228500300083 
      0.703      -0.75       3.67       0.50                      K228500300084 
      0.703      -0.65       3.97       0.37                      K228500300085 
      0.703      -0.55       4.06       0.30                      K228500300086 
      0.703      -0.45       4.63       0.27                      K228500300087 
      0.703      -0.35       5.23       0.25                      K228500300088 
      0.703      -0.25       5.21       0.25                      K228500300089 
      0.703      -0.15       5.29       0.31                      K228500300090 
      0.703      -0.05       5.90       0.32                      K228500300091 
      0.703       0.05       5.78       0.26                      K228500300092 
      0.703       0.15       5.65       0.20                      K228500300093 
      0.703       0.25       4.58       0.16                      K228500300094 
      0.703       0.35       4.72       0.15                      K228500300095 
      0.703       0.45       4.00       0.13                      K228500300096 
      0.703       0.55       3.65       0.12                      K228500300097 
      0.703       0.65       3.42       0.12                      K228500300098 
      0.703       0.75       2.72       0.13                      K228500300099 
      0.703       0.85       2.48       0.25                      K228500300100 
      0.718      -0.85       3.57       0.66                      K228500300101 
      0.718      -0.75       3.48       0.49                      K228500300102 
      0.718      -0.65       3.70       0.35                      K228500300103 
      0.718      -0.55       4.20       0.33                      K228500300104 
      0.718      -0.45       4.94       0.28                      K228500300105 
      0.718      -0.35       5.47       0.26                      K228500300106 
      0.718      -0.25       4.94       0.27                      K228500300107 
      0.718      -0.15       6.09       0.33                      K228500300108 
      0.718      -0.05       5.85       0.33                      K228500300109 
      0.718       0.05       6.17       0.27                      K228500300110 
      0.718       0.15       6.03       0.22                      K228500300111 
      0.718       0.25       5.27       0.18                      K228500300112 
      0.718       0.35       4.66       0.15                      K228500300113 
      0.718       0.45       4.26       0.13                      K228500300114 
      0.718       0.55       3.97       0.13                      K228500300115 
      0.718       0.65       3.45       0.12                      K228500300116 
      0.718       0.75       2.87       0.13                      K228500300117 
      0.718       0.85       2.52       0.25                      K228500300118 
      0.734      -0.85       2.77       0.69                      K228500300119 
      0.734      -0.75       4.03       0.56                      K228500300120 
      0.734      -0.65       4.39       0.40                      K228500300121 
      0.734      -0.55       4.57       0.35                      K228500300122 
      0.734      -0.45       4.74       0.33                      K228500300123 
      0.734      -0.35       5.71       0.28                      K228500300124 
      0.734      -0.25       5.23       0.29                      K228500300125 
      0.734      -0.15       5.90       0.35                      K228500300126 
      0.734      -0.05       6.25       0.34                      K228500300127 
      0.734       0.05       6.32       0.28                      K228500300128 
      0.734       0.15       5.78       0.22                      K228500300129 
      0.734       0.25       5.12       0.18                      K228500300130 
      0.734       0.35       4.48       0.15                      K228500300131 
      0.734       0.45       4.29       0.15                      K228500300132 
      0.734       0.55       3.92       0.13                      K228500300133 
      0.734       0.65       4.29       0.13                      K228500300134 
      0.734       0.75       3.33       0.15                      K228500300135 
      0.734       0.85       3.07       0.31                      K228500300136 
      0.748      -0.85       4.19       0.81                      K228500300137 
      0.748      -0.75       4.04       0.57                      K228500300138 
      0.748      -0.65       3.87       0.39                      K228500300139 
      0.748      -0.55       4.68       0.37                      K228500300140 
      0.748      -0.45       4.47       0.29                      K228500300141 
      0.748      -0.35       5.04       0.27                      K228500300142 
      0.748      -0.25       5.24       0.27                      K228500300143 
      0.748      -0.15       6.42       0.35                      K228500300144 
      0.748      -0.05       6.11       0.32                      K228500300145 
      0.748       0.05       6.24       0.26                      K228500300146 
      0.748       0.15       6.23       0.22                      K228500300147 
      0.748       0.25       5.40       0.19                      K228500300148 
      0.748       0.35       5.25       0.16                      K228500300149 
      0.748       0.45       4.73       0.15                      K228500300150 
      0.748       0.55       4.05       0.13                      K228500300151 
      0.748       0.65       3.81       0.13                      K228500300152 
      0.748       0.75       3.50       0.14                      K228500300153 
      0.748       0.85       3.20       0.30                      K228500300154 
      0.764      -0.85       4.12       0.69                      K228500300155 
      0.764      -0.75       3.27       0.53                      K228500300156 
      0.764      -0.65       3.56       0.36                      K228500300157 
      0.764      -0.55       4.61       0.33                      K228500300158 
      0.764      -0.45       4.74       0.28                      K228500300159 
      0.764      -0.35       5.44       0.29                      K228500300160 
      0.764      -0.25       5.82       0.30                      K228500300161 
      0.764      -0.15       5.96       0.34                      K228500300162 
      0.764      -0.05       6.51       0.31                      K228500300163 
      0.764       0.05       5.88       0.25                      K228500300164 
      0.764       0.15       6.34       0.22                      K228500300165 
      0.764       0.25       5.31       0.18                      K228500300166 
      0.764       0.35       4.62       0.16                      K228500300167 
      0.764       0.45       4.05       0.13                      K228500300168 
      0.764       0.55       4.17       0.13                      K228500300169 
      0.764       0.65       3.72       0.12                      K228500300170 
      0.764       0.75       3.39       0.14                      K228500300171 
      0.764       0.85       3.37       0.31                      K228500300172 
      0.778      -0.85       2.71       0.76                      K228500300173 
      0.778      -0.75       3.58       0.54                      K228500300174 
      0.778      -0.65       4.15       0.40                      K228500300175 
      0.778      -0.55       4.54       0.37                      K228500300176 
      0.778      -0.45       4.65       0.31                      K228500300177 
      0.778      -0.35       5.53       0.31                      K228500300178 
      0.778      -0.25       5.64       0.31                      K228500300179 
      0.778      -0.15       6.34       0.39                      K228500300180 
