 2.          614.77      0.06    -0.20        0.07                41105  3   32 
 2.          630.35      0.14     0.16        0.07                41105  3   33 
 2.          650.51      0.04    -0.23        0.02                41105  3   34 
 2.          686.2       0.2      0.21        0.12                41105  3   35 
 2.          706.98      0.04     0.41        0.02                41105  3   36 
 2.          717.68      0.08     0.23        0.04                41105  3   37 
 2.          735.34      0.18     0.27        0.04                41105  3   38 
 2.          749.05      0.10    -0.14        0.06                41105  3   39 
 2.          776.7       0.2      0.14        0.07                41105  3   40 
 2.          856.55      0.13    -0.12        0.04                41105  3   41 
 2.          969.97      0.02     0.193       0.006               41105  3   42 
 2.          997.86      0.02     0.115       0.006               41105  3   43 
 2.         1060.42      0.02     0.00        0.03                41105  3   44 
 2.         1072.88      0.02     0.182       0.008               41105  3   45 
 2.         1089.99      0.02     0.325       0.005               41105  3   46 
 2.         1131.70      0.02     0.202       0.005               41105  3   47 
 2.         1163.82      0.09    -0.15        0.04                41105  3   48 
 2.         1183.39      0.06     0.26        0.05                41105  3   49 
 2.         1244.71      0.06     0.35        0.04                41105  3   50 
 2.         1261.30      0.16     0.30        0.06                41105  3   51 
 2.         1280.37      0.15     0.01        0.05                41105  3   52 
 2.         1294.54      0.02     0.051       0.006               41105  3   53 
 2.         1329.9       0.4      0.14        0.09                41105  3   54 
 2.         1352.06      0.13    -0.09        0.03                41105  3   55 
 2.         1379.58      0.09     0.50        0.05                41105  3   56 
 2.         1421.7       0.3      0.12        0.20                41105  3   57 
 2.         1450.1       0.3     -0.08        0.11                41105  3   58 
 2.         1453.5       0.3     -0.05        0.05                41105  3   59 
 2.         1470.71      0.02    -0.171       0.005               41105  3   60 
 2.         1525.0       0.3     -0.16        0.10                41105  3   61 
 2.         1556.77      0.05     0.00        0.02                41105  3   62 
 2.         1571.43      0.02     0.038       0.012               41105  3   63 
 2.         1704.91      0.08     0.54        0.06                41105  3   64 
 2.         1743.62      0.04     0.023       0.010               41105  3   65 
 2.         1746.95      0.05     0.34        0.03                41105  3   66 
 2.         1826.38      0.07     0.34        0.03                41105  3   67 
 2.         1856.33      0.03    -0.21        0.02                41105  3   68 
 2.         2011.96      0.08     0.34        0.02                41105  3   69 
 2.         2082.9       0.2      0.31        0.07                41105  3   70 
 2.         2096.22      0.16     0.01        0.10                41105  3   71 
 2.         2129.82      0.14     0.23        0.04                41105  3   72 
