EN         EN-RSL     E          DATA       ERR-T                 4115500200015 
MEV        MEV        MEV        MB/MEV     MB/MEV                4115500200016 
  6.98      0.05       6.0         112.        8.                 4115500500086 
  6.98      0.05       6.2          85.        7.                 4115500500087 
  8.01      0.05        .6        1048.       64.                 4115500500088 
  8.01      0.05        .8         890.       54.                 4115500500089 
  8.01      0.05       1.0         744.       45.                 4115500500090 
  8.01      0.05       1.2         654.       40.                 4115500500091 
  8.01      0.05       1.4         583.       35.                 4115500500092 
  8.01      0.05       1.6         505.       31.                 4115500500093 
  8.01      0.05       1.8         430.       26.                 4115500500094 
  8.01      0.05       2.0         360.       22.                 4115500500095 
  8.01      0.05       2.2         310.       19.                 4115500500096 
  8.01      0.05       2.4         259.       16.                 4115500500097 
  8.01      0.05       2.6         218.       14.                 4115500500098 
