           Emin  Emax   Spectrum      Emin   Emax   Spectrum      2317000100049 
            keV   keV                  keV    keV                 2317000100050 
           ------------------------ ---------------------------   2317000100051 
                                       416    417   9.530E-01     2317000100243 
                                       417    418   9.798E-01     2317000100244 
                                       418    419   9.697E-01     2317000100245 
                                       419    420   9.512E-01     2317000100246 
                                       420    421   9.602E-01     2317000100247 
                                       421    422   9.724E-01     2317000100248 
                                       422    423   9.617E-01     2317000100249 
                                       423    424   9.728E-01     2317000100250 
                                       424    425   9.699E-01     2317000100251 
                                       425    426   9.696E-01     2317000100252 
                                       426    427   9.879E-01     2317000100253 
                                       427    428   9.791E-01     2317000100254 
                                       428    429   9.748E-01     2317000100255 
                                       429    430   9.604E-01     2317000100256 
                                       430    431   9.584E-01     2317000100257 
                                       431    432   9.752E-01     2317000100258 
                                       432    433   9.699E-01     2317000100259 
                                       433    434   9.667E-01     2317000100260 
                                       434    435   9.722E-01     2317000100261 
                                       435    436   9.791E-01     2317000100262 
                                       436    437   9.579E-01     2317000100263 
                                       437    438   9.796E-01     2317000100264 
                                       438    439   9.576E-01     2317000100265 
                                       439    440   9.874E-01     2317000100266 
                                       440    441   9.751E-01     2317000100267 
                                       441    442   9.907E-01     2317000100268 
                                       442    443   9.741E-01     2317000100269 
                                       443    444   9.775E-01     2317000100270 
                                       444    445   9.921E-01     2317000100271 
                                       445    446   9.874E-01     2317000100272 
                                       446    447   9.600E-01     2317000100273 
                                       447    448   1.000E+00     2317000100274 
                                       448    449   9.212E-01     2317000100275 
                                       449    450   9.543E-01     2317000100276 
                                       450    451   9.619E-01     2317000100277 
                                       451    452   9.565E-01     2317000100278 
                                       452    453   9.626E-01     2317000100279 
                                       453    454   9.400E-01     2317000100280 
                                       454    455   9.358E-01     2317000100281 
                                       455    456   9.410E-01     2317000100282 
                                       456    457   9.740E-01     2317000100283 
                                       457    458   9.452E-01     2317000100284 
                                       458    459   9.247E-01     2317000100285 
                                       459    460   9.459E-01     2317000100286 
                                       460    461   9.415E-01     2317000100287 
                                       461    462   9.187E-01     2317000100288 
                                       462    463   9.205E-01     2317000100289 
                                       463    464   9.171E-01     2317000100290 
                                       464    465   9.323E-01     2317000100291 
                                       465    466   9.209E-01     2317000100292 
                                       466    467   9.064E-01     2317000100293 
                                       467    468   9.120E-01     2317000100294 
                                       468    469   9.079E-01     2317000100295 
                                       469    470   9.085E-01     2317000100296 
                                       470    471   8.935E-01     2317000100297 
                                       471    472   8.886E-01     2317000100298 
                                       472    473   8.752E-01     2317000100299 
                                       473    474   8.732E-01     2317000100300 
                                       474    475   8.660E-01     2317000100301 
                                       475    476   8.909E-01     2317000100302 
                                       476    477   8.477E-01     2317000100303 
                                       477    478   8.681E-01     2317000100304 
                                       478    479   8.574E-01     2317000100305 
                                       479    480   8.378E-01     2317000100306 
                                       480    481   8.392E-01     2317000100307 
                                       481    482   8.403E-01     2317000100308 
                                       482    483   8.462E-01     2317000100309 
                                       483    484   8.292E-01     2317000100310 
                                       484    485   8.090E-01     2317000100311 
                                       485    486   8.210E-01     2317000100312 
                                       486    487   8.205E-01     2317000100313 
                                       487    488   7.766E-01     2317000100314 
                                       488    489   7.742E-01     2317000100315 
                                       489    490   7.847E-01     2317000100316 
                                       490    491   7.787E-01     2317000100317 
                                       491    492   7.691E-01     2317000100318 
                                       492    493   7.616E-01     2317000100319 
                                       493    494   7.490E-01     2317000100320 
                                       494    495   7.384E-01     2317000100321 
                                       495    496   7.404E-01     2317000100322 
                                       496    497   7.305E-01     2317000100323 
                                       497    498   7.268E-01     2317000100324 
                                       498    499   7.277E-01     2317000100325 
                                       499    500   7.226E-01     2317000100326 
                                       500    501   7.098E-01     2317000100327 
                                       501    502   7.066E-01     2317000100328 
                                       502    503   6.735E-01     2317000100329 
                                       503    504   6.722E-01     2317000100330 
                                       504    505   6.575E-01     2317000100331 
                                       505    506   6.530E-01     2317000100332 
                                       506    507   6.351E-01     2317000100333 
                                       507    508   6.392E-01     2317000100334 
                                       508    509   6.216E-01     2317000100335 
                                       509    510   6.064E-01     2317000100336 
                                       510    511   6.065E-01     2317000100337 
                                       511    512   5.890E-01     2317000100338 
                                       512    513   5.723E-01     2317000100339 
                                       513    514   5.747E-01     2317000100340 
                                       514    515   5.776E-01     2317000100341 
                                       515    516   5.328E-01     2317000100342 
                                       516    517   5.394E-01     2317000100343 
                                       517    518   5.290E-01     2317000100344 
                                       518    519   5.238E-01     2317000100345 
                                       519    520   4.944E-01     2317000100346 
                                       520    521   4.776E-01     2317000100347 
                                       521    522   4.789E-01     2317000100348 
                                       522    523   4.640E-01     2317000100349 
                                       523    524   4.515E-01     2317000100350 
                                       524    525   4.357E-01     2317000100351 
                                       525    526   4.141E-01     2317000100352 
                                       526    527   4.168E-01     2317000100353 
                                       527    528   3.987E-01     2317000100354 
                                       528    529   3.878E-01     2317000100355 
                                       529    530   3.701E-01     2317000100356 
                                       530    531   3.516E-01     2317000100357 
                                       531    532   3.412E-01     2317000100358 
                                       532    533   3.282E-01     2317000100359 
                                       533    534   3.312E-01     2317000100360 
                                       534    535   3.172E-01     2317000100361 
                                       535    536   2.942E-01     2317000100362 
                                       536    537   2.803E-01     2317000100363 
                                       537    538   2.640E-01     2317000100364 
                                       538    539   2.499E-01     2317000100365 
                                       539    540   2.349E-01     2317000100366 
                                       540    541   2.282E-01     2317000100367 
                                       541    542   2.066E-01     2317000100368 
                                       542    543   1.926E-01     2317000100369 
                                       543    544   1.812E-01     2317000100370 
                                       544    545   1.677E-01     2317000100371 
                                       545    546   1.526E-01     2317000100372 
                                       546    547   1.389E-01     2317000100373 
                                       547    548   1.246E-01     2317000100374 
                                       548    549   1.046E-01     2317000100375 
                                       549    550   9.889E-02     2317000100376 
                                       550    551   7.931E-02     2317000100377 
                                       551    552   6.571E-02     2317000100378 
                                       552    553   5.357E-02     2317000100379 
                                       553    554   3.615E-02     2317000100380 
                                       554    555   2.634E-02     2317000100381 
                                       555    556   1.350E-02     2317000100382 
                                       556    557   7.076E-03     2317000100383 
                                       557    558   3.204E-03     2317000100384 
                                       558    559   1.200E-03     2317000100385 
                                       559    560   4.002E-04     2317000100386 
                                       561    561   5.343E-04     2317000100387 
           ----------------------------------------------------   2317000100388 
HISTORY    (20120424C) On                                         2317000100389 
           (20140801A) M.M. Ref.J,PRL,112,192501,2014 added.      2317000100390 
            BIB information updated. Subents 008-015 added.       2317000100391 
           (20150520A) On. Numerical neutron spectra added.       2317000100392 
            010 merged into 013 and 015 merged into 014.          2317000100393 
           (20150803A) On. Numerical data updated in 014.         2317000100394 
ENDBIB             392          0                                 2317000100395 
NOCOMMON             0          0                                 2317000100396 
ENDSUBENT          395          0                                 2317000199999 
SUBENT        23170002   20150520                             22422317000200001 
BIB                  6          7                                 2317000200002 
REACTION   (92-U-235(N,G)92-U-236,,SIG,,SPA)                      2317000200003 
MONITOR    (79-AU-197(N,G)79-AU-198,,SIG,,SPA)                    2317000200004 
