ENTRY            C0765   20010302                             C089C076500000001 
SUBENT        C0765001   20010302                             C089C076500100001 
BIB                 11         17                                 C076500100002 
INSTITUTE  (1CANSFU,1CANTMF)                                      C076500100003 
REFERENCE  (J,PR/C,29,1806,198405)                                C076500100004 
AUTHOR     (R.E.L.Green,R.G.Korteling,K.P.Jackson)                C076500100005 
TITLE      Inclusive production of isotopically resolved Li       C076500100006 
            through Mg fragments by 480 MeV p+Ag reactions        C076500100007 
FACILITY   (MESON,1CANTMF)                                        C076500100008 
SAMPLE     Natural silver targets, either evaporated onto VYNS    C076500100009 
            films or in the form of thin free-standing foils.     C076500100010 
EN-SEC     Energy given is mid-point of energy bin. Resolution    C076500100011 
            is the bin width.                                     C076500100012 
CORRECTION Corrected for background and multiple scattering.      C076500100013 
ERR-ANALYS (ERR-S) Statistical uncertainties given.               C076500100014 
           Relative normalization uncertainty estimated at 10%.   C076500100015 
           Absolute normalization uncertainty 30%.                C076500100016 
STATUS     Data received from R. Korteling, September 1987.       C076500100017 
           No reply received from R. Korteling to author proof.   C076500100018 
HISTORY    (20001219C) VM                                         C076500100019 
ENDBIB              17          0                                 C076500100020 
COMMON               1          3                                 C076500100021 
EN                                                                C076500100022 
MEV                                                               C076500100023 
480.                                                              C076500100024 
ENDCOMMON            3          0                                 C076500100025 
ENDSUBENT           24          0                                 C076500199999 
SUBENT        C0765002   20010123                             0000C076500200001 
BIB                  3          4                                 C076500200002 
REACTION   (47-AG-0(P,X)5-B-10,,DA/DE)                            C076500200003 
METHOD     (TOF)                                                  C076500200004 
DETECTOR   (TELES,SOLST) Telescopes composed of silicon surface-  C076500200005 
            barrier detectors.                                    C076500200006 
ENDBIB               4          0                                 C076500200007 
NOCOMMON             0          0                                 C076500200008 
DATA                 5        134                                 C076500200009 
ANG        E-MEAN     E-RSL      DATA       ERR-S                 C076500200010 
REACTION   (47-AG-0(P,X)7-N-14,,DA/DE)                            C076501000003 
METHOD     (TOF)                                                  C076501000004 
DETECTOR   (TELES,SOLST) Telescopes composed of silicon surface-  C076501000005 
            barrier detectors.                                    C076501000006 
ENDBIB               4          0                                 C076501000007 
NOCOMMON             0          0                                 C076501000008 
DATA                 5        127                                 C076501000009 
ANG        E-MEAN     E-RSL      DATA       ERR-S                 C076501000010 
ADEG       MEV        MEV        NB/SR/MEV  NB/SR/MEV             C076501000011 
 20.        23.         2.         160.       122.                C076501000012 
 20.        23.         2.         200.        67.                C076501000013 
 20.        25.         2.         399.        87.                C076501000014 
 20.        27.         2.         561.        98.                C076501000015 
 20.        29.         2.         790.       126.                C076501000016 
 20.        31.         2.         633.       124.                C076501000017 
 20.        33.         2.         953.       115.                C076501000018 
 20.        35.         2.         894.       109.                C076501000019 
 20.        37.         2.         735.        96.                C076501000020 
 20.        39.         2.         574.        59.                C076501000021 
 20.        42.         4.         598.        58.                C076501000022 
 20.        46.         4.         348.        44.                C076501000023 
 20.        50.         4.         236.        35.                C076501000024 
 20.        54.         4.         141.        14.                C076501000025 
 20.        58.         4.         101.         8.                C076501000026 
 20.        64.         8.          47.         6.                C076501000027 
 20.        72.         8.          22.         4.                C076501000028 
 20.        80.         8.          13.         3.                C076501000029 
 20.        88.         8.           4.9        1.7               C076501000030 
 20.        96.         8.           4.0        1.8               C076501000031 
 40.        17.         2.         234.       107.                C076501000032 
 40.        19.         2.         133.        91.                C076501000033 
 40.        21.         2.         234.        62.                C076501000034 
 40.        23.         2.         377.        64.                C076501000035 
 40.        25.         2.         241.        61.                C076501000036 
 40.        27.         2.         402.        49.                C076501000037 
 40.        29.         2.         402.        46.                C076501000038 
 40.        31.         2.         541.        52.                C076501000039 
 40.        33.         2.         533.        52.                C076501000040 
 40.        35.         2.         601.        51.                C076501000041 
 40.        37.         2.         591.        50.                C076501000042 
 40.        39.         2.         587.        48.                C076501000043 
 40.        42.         4.         489.        32.                C076501000044 
 40.        46.         4.         318.        24.                C076501000045 
 40.        50.         4.         226.        20.                C076501000046 
 40.        54.         4.         126.        14.                C076501000047 
 40.        58.         4.          93.         8.                C076501000048 
 40.        64.         8.          47.         4.                C076501000049 
 40.        72.         8.          28.         3.                C076501000050 
 40.        80.         8.          12.         2.                C076501000051 
 40.        88.         8.           6.6        1.3               C076501000052 
 40.        96.         8.           2.6        0.8               C076501000053 
 40.       104.         8.           2.6        1.0               C076501000054 
 40.       112.         8.           0.84       0.59              C076501000055 
 60.        17.         2.         193.       128.                C076501000056 
 60.        19.         2.          24.        76.                C076501000057 
 60.        21.         2.         177.        77.                C076501000058 
 60.        23.         2.         282.        82.                C076501000059 
 60.        25.         2.         354.        83.                C076501000060 
 60.        27.         2.         408.        77.                C076501000061 
 60.        29.         2.         457.        80.                C076501000062 
 60.        31.         2.         528.        78.                C076501000063 
 60.        33.         2.         582.        80.                C076501000064 
 60.        35.         2.         492.        73.                C076501000065 
 60.        37.         2.         600.        76.                C076501000066 
 60.        39.         2.         411.        62.                C076501000067 
 60.        42.         4.         352.        40.                C076501000068 
 60.        46.         4.         243.        32.                C076501000069 
 60.        50.         4.         168.        26.                C076501000070 
 60.        54.         4.         112.        21.                C076501000071 
 60.        58.         4.          58.         6.                C076501000072 
 60.        64.         8.          37.         3.                C076501000073 
 60.        72.         8.          18.         2.                C076501000074 
 60.        80.         8.           6.1        1.4               C076501000075 
 60.        88.         8.           4.8        1.2               C076501000076 
 60.        96.         8.           2.4        0.8               C076501000077 
 90.        17.         2.         111.        88.                C076501000078 
 90.        19.         2.         131.        75.                C076501000079 
 90.        21.         2.         152.        78.                C076501000080 
 90.        23.         2.         287.        68.                C076501000081 
 90.        25.         2.         454.        78.                C076501000082 
 90.        27.         2.         444.        71.                C076501000083 
 90.        29.         2.         496.        77.                C076501000084 
 90.        31.         2.         514.        69.                C076501000085 
 90.        33.         2.         546.        71.                C076501000086 
 90.        35.         2.         330.        52.                C076501000087 
 90.        37.         2.         339.        55.                C076501000088 
 90.        39.         2.         227.        42.                C076501000089 
 90.        42.         4.         211.        28.                C076501000090 
 90.        46.         4.         109.        19.                C076501000091 
 90.        50.         4.          72.        15.                C076501000092 
 90.        54.         4.          47.        12.                C076501000093 
 90.        58.         4.          25.         4.                C076501000094 
 90.        64.         8.           7.4        1.4               C076501000095 
 90.        72.         8.           2.4        0.8               C076501000096 
 90.        80.         8.           2.4        0.8               C076501000097 
120.        13.         2.         133.        58.                C076501000098 
120.        15.         2.         109.        44.                C076501000099 
120.        17.         2.         177.        49.                C076501000100 
120.        19.         2.         266.        53.                C076501000101 
120.        21.         2.         358.        55.                C076501000102 
120.        23.         2.         329.        48.                C076501000103 
120.        25.         2.         409.        49.                C076501000104 
120.        27.         2.         424.        46.                C076501000105 
120.        29.         2.         365.        40.                C076501000106 
120.        31.         2.         401.        41.                C076501000107 
120.        33.         2.         356.        37.                C076501000108 
120.        35.         2.         326.        34.                C076501000109 
120.        37.         2.         221.        28.                C076501000110 
120.        39.         2.         150.        22.                C076501000111 
120.        42.         4.          81.        11.                C076501000112 
120.        46.         4.          42.         8.                C076501000113 
120.        50.         4.          27.         6.                C076501000114 
120.        54.         4.          14.         4.                C076501000115 
120.        58.         4.           8.1        1.6               C076501000116 
120.        64.         8.           2.0        0.6               C076501000117 
120.        72.         8.           0.90       3.37              C076501000118 
120.        80.         8.           0.43       0.25              C076501000119 
160.        15.         2.         174.        69.                C076501000120 
160.        17.         2.         228.        69.                C076501000121 
160.        19.         2.         259.        65.                C076501000122 
160.        21.         2.         311.        63.                C076501000123 
160.        23.         2.         424.        67.                C076501000124 
160.        25.         2.         381.        58.                C076501000125 
160.        27.         2.         363.        52.                C076501000126 
160.        29.         2.         304.        45.                C076501000127 
160.        31.         2.         254.        40.                C076501000128 
160.        33.         2.         250.        38.                C076501000129 
160.        35.         2.         165.        30.                C076501000130 
160.        37.         2.         121.        25.                C076501000131 
160.        39.         2.          75.        20.                C076501000132 
160.        42.         4.          37.         9.                C076501000133 
160.        46.         4.          11.         5.                C076501000134 
160.        50.         4.          13.         5.                C076501000135 
160.        54.         4.           8.3        4.2               C076501000136 
160.        58.         4.           1.8        0.8               C076501000137 
160.        64.         8.           0.34       0.24              C076501000138 
ENDDATA            129          0                                 C076501000139 
ENDSUBENT          138          0                                 C076501099999 
SUBENT        C0765011   20010123                             0000C076501100001 
BIB                  3          4                                 C076501100002 
REACTION   (47-AG-0(P,X)7-N-15,,DA/DE)                            C076501100003 
METHOD     (TOF)                                                  C076501100004 
DETECTOR   (TELES,SOLST) Telescopes composed of silicon surface-  C076501100005 
            barrier detectors.                                    C076501100006 
ENDBIB               4          0                                 C076501100007 
NOCOMMON             0          0                                 C076501100008 
DATA                 5        143                                 C076501100009 
ANG        E-MEAN     E-RSL      DATA       ERR-S                 C076501100010 
ADEG       MEV        MEV        NB/SR/MEV  NB/SR/MEV             C076501100011 
 20.        17.         2.         203.       226.                C076501100012 
 20.        19.         2.         300.       243.                C076501100013 
 20.        21.         2.         209.       192.                C076501100014 
 20.        23.         2.         632.       164.                C076501100015 
 20.        25.         2.         756.       130.                C076501100016 
 20.        27.         2.         996.       171.                C076501100017 
 20.        29.         2.        1030.       147.                C076501100018 
 20.        31.         2.         900.       132.                C076501100019 
 20.        33.         2.        1177.       142.                C076501100020 
 20.        35.         2.        1394.       139.                C076501100021 
 20.        37.         2.        1435.       138.                C076501100022 
 20.        39.         2.        1267.       127.                C076501100023 
 20.        42.         4.        1376.        91.                C076501100024 
 20.        46.         4.        1001.        76.                C076501100025 
 20.        50.         4.         604.        57.                C076501100026 
 20.        54.         4.         415.        47.                C076501100027 
 20.        58.         4.         266.        20.                C076501100028 
 20.        64.         8.         166.        11.                C076501100029 
 20.        72.         8.          70.         7.                C076501100030 
 20.        80.         8.          34.         5.                C076501100031 
 20.        88.         8.          14.         3.                C076501100032 
 20.        96.         8.           6.1        1.9               C076501100033 
 20.       104.         8.           5.0        2.0               C076501100034 
 20.       112.         8.           0.96       0.88              C076501100035 
 40.        17.         2.          89.       130.                C076501100036 
 40.        19.         2.         345.        66.                C076501100037 
 40.        21.         2.         340.        96.                C076501100038 
 40.        23.         2.         449.        81.                C076501100039 
 40.        25.         2.         667.        68.                C076501100040 
 40.        27.         2.         754.        71.                C076501100041 
 40.        29.         2.         943.        71.                C076501100042 
 40.        31.         2.        1204.        79.                C076501100043 
 40.        33.         2.        1210.        75.                C076501100044 
 40.        35.         2.        1089.        69.                C076501100045 
 40.        37.         2.        1156.        69.                C076501100046 
 40.        39.         2.        1125.        67.                C076501100047 
 40.        42.         4.         830.        42.                C076501100048 
 40.        46.         4.         598.        33.                C076501100049 
 40.        50.         4.         445.        28.                C076501100050 
 40.        54.         4.         266.        21.                C076501100051 
 40.        58.         4.         189.        11.                C076501100052 
 40.        64.         8.         115.         6.                C076501100053 
 40.        72.         8.          42.         3.                C076501100054 
 40.        80.         8.          22.         2.                C076501100055 
 40.        88.         8.           8.4        1.5               C076501100056 
 40.        96.         8.           3.0        0.9               C076501100057 
 40.       104.         8.           2.6        1.0               C076501100058 
 40.       112.         8.           1.3        0.7               C076501100059 
 40.       120.         8.           0.41       0.41              C076501100060 
 40.       128.         8.           0.41       0.41              C076501100061 
 40.       136.         8.           0.40       0.40              C076501100062 
 40.       144.         8.           0.40       0.40              C076501100063 
 60.        13.         2.          75.       166.                C076501100064 
 60.        15.         2.          30.       113.                C076501100065 
 60.        17.         2.         245.       117.                C076501100066 
 60.        19.         2.         316.       115.                C076501100067 
 60.        21.         2.         699.       133.                C076501100068 
 60.        23.         2.         729.       122.                C076501100069 
 60.        25.         2.         678.       109.                C076501100070 
 60.        27.         2.         855.       111.                C076501100071 
 60.        29.         2.        1013.       114.                C076501100072 
 60.        31.         2.         955.       106.                C076501100073 
 60.        33.         2.         966.       102.                C076501100074 
 60.        35.         2.        1037.       103.                C076501100075 
 60.        37.         2.         872.        92.                C076501100076 
 60.        39.         2.         716.        82.                C076501100077 
 60.        42.         4.         573.        50.                C076501100078 
 60.        46.         4.         427.        42.                C076501100079 
 60.        50.         4.         328.        36.                C076501100080 
 60.        54.         4.         169.        26.                C076501100081 
 60.        58.         4.         112.         9.                C076501100082 
 60.        64.         8.          49.         4.                C076501100083 
 60.        72.         8.          27.         3.                C076501100084 
 60.        80.         8.           8.5        1.6               C076501100085 
 60.        88.         8.           3.9        1.1               C076501100086 
 60.        96.         8.           1.7        0.7               C076501100087 
 90.        17.         2.         190.       120.                C076501100088 
 90.        19.         2.         511.       111.                C076501100089 
 90.        21.         2.         565.       105.                C076501100090 
 90.        23.         2.         830.       115.                C076501100091 
 90.        25.         2.         899.       113.                C076501100092 
 90.        27.         2.         904.       104.                C076501100093 
 90.        29.         2.         864.        94.                C076501100094 
 90.        31.         2.         888.        91.                C076501100095 
 90.        33.         2.         885.        90.                C076501100096 
 90.        35.         2.         720.        77.                C076501100097 
 90.        37.         2.         663.        72.                C076501100098 
 90.        39.         2.         501.        62.                C076501100099 
 90.        42.         4.         329.        34.                C076501100100 
 90.        46.         4.         191.        26.                C076501100101 
 90.        50.         4.         153.        22.                C076501100102 
 90.        54.         4.          66.        14.                C076501100103 
 90.        58.         4.          40.         5.                C076501100104 
 90.        64.         8.          21.         2.                C076501100105 
 90.        72.         8.           6.5        1.3               C076501100106 
 90.        80.         8.           1.5        0.6               C076501100107 
 90.        88.         8.           0.98       0.49              C076501100108 
 90.        96.         8.           0.24       0.24              C076501100109 
 90.       104.         8.           0.25       0.27              C076501100110 
120.        13.         2.          56.        38.                C076501100111 
120.        15.         2.         163.        54.                C076501100112 
120.        17.         2.         273.        61.                C076501100113 
120.        19.         2.         543.        76.                C076501100114 
120.        21.         2.         623.        73.                C076501100115 
120.        23.         2.         742.        72.                C076501100116 
120.        25.         2.         881.        72.                C076501100117 
120.        27.         2.         763.        62.                C076501100118 
120.        29.         2.         873.        62.                C076501100119 
120.        31.         2.         757.        56.                C076501100120 
120.        33.         2.         566.        47.                C076501100121 
120.        35.         2.         489.        42.                C076501100122 
120.        37.         2.         343.        34.                C076501100123 
120.        39.         2.         296.        31.                C076501100124 
120.        42.         4.         165.        16.                C076501100125 
120.        46.         4.          96.        12.                C076501100126 
120.        50.         4.          49.         8.                C076501100127 
120.        54.         4.          19.         5.                C076501100128 
120.        58.         4.          12.         2.                C076501100129 
120.        64.         8.           6.6        1.0               C076501100130 
120.        72.         8.           1.0        0.4               C076501100131 
120.        80.         8.           0.29       0.20              C076501100132 
120.        88.         8.           0.18       0.16              C076501100133 
160.        13.         2.         328.       112.                C076501100134 
160.        15.         2.         248.        82.                C076501100135 
160.        17.         2.         435.        95.                C076501100136 
160.        19.         2.         695.       106.                C076501100137 
160.        21.         2.         661.        93.                C076501100138 
160.        23.         2.         817.        93.                C076501100139 
160.        25.         2.         824.        85.                C076501100140 
160.        27.         2.         688.        72.                C076501100141 
160.        29.         2.         642.        66.                C076501100142 
160.        31.         2.         478.        54.                C076501100143 
160.        33.         2.         319.        43.                C076501100144 
160.        35.         2.         225.        35.                C076501100145 
160.        37.         2.         205.        33.                C076501100146 
160.        39.         2.         136.        26.                C076501100147 
160.        42.         4.          69.        13.                C076501100148 
160.        46.         4.          36.         9.                C076501100149 
160.        50.         4.          17.         6.                C076501100150 
160.        54.         4.          17.         6.                C076501100151 
160.        58.         4.           2.8        1.0               C076501100152 
160.        64.         8.           1.4        0.5               C076501100153 
160.        72.         8.           0.22       0.19              C076501100154 
ENDDATA            145          0                                 C076501100155 
ENDSUBENT          154          0                                 C076501199999 
SUBENT        C0765012   20010123                             0000C076501200001 
BIB                  3          4                                 C076501200002 
REACTION   (47-AG-0(P,X)7-N-16,,DA/DE)                            C076501200003 
METHOD     (TOF)                                                  C076501200004 
DETECTOR   (TELES,SOLST) Telescopes composed of silicon surface-  C076501200005 
            barrier detectors.                                    C076501200006 
ENDBIB               4          0                                 C076501200007 
NOCOMMON             0          0                                 C076501200008 
DATA                 5        107                                 C076501200009 
ANG        E-MEAN     E-RSL      DATA       ERR-S                 C076501200010 
ADEG       MEV        MEV        NB/SR/MEV  NB/SR/MEV             C076501200011 
 20.        27.         2.         120.        48.                C076501200012 
 20.        29.         2.          85.        38.                C076501200013 
 20.        31.         2.         172.        52.                C076501200014 
 20.        33.         2.         102.        39.                C076501200015 
 20.        35.         2.         317.        66.                C076501200016 
 20.        37.         2.         250.        57.                C076501200017 
 20.        39.         2.         190.        49.                C076501200018 
 20.        42.         4.         173.        32.                C076501200019 
 20.        46.         4.         131.        27.                C076501200020 
 20.        50.         4.         109.        24.                C076501200021 
 20.        54.         4.          68.        19.                C076501200022 
 20.        58.         4.          30.         7.                C076501200023 
 20.        64.         8.          21.         4.                C076501200024 
 20.        72.         8.          12.         3.                C076501200025 
 20.        80.         8.           4.5        1.7               C076501200026 
 20.        88.         8.           2.1        1.1               C076501200027 
 40.        21.         2.          33.        18.                C076501200028 
 40.        23.         2.          84.        27.                C076501200029 
 40.        25.         2.          84.        24.                C076501200030 
 40.        27.         2.          96.        24.                C076501200031 
 40.        29.         2.         177.        31.                C076501200032 
 40.        31.         2.         158.        28.                C076501200033 
 40.        33.         2.         166.        28.                C076501200034 
 40.        35.         2.         205.        30.                C076501200035 
 40.        37.         2.         191.        28.                C076501200036 
 40.        39.         2.         160.        25.                C076501200037 
 40.        42.         4.         105.        14.                C076501200038 
 40.        46.         4.          92.        13.                C076501200039 
 40.        50.         4.          50.         9.                C076501200040 
 40.        54.         4.          41.         8.                C076501200041 
 40.        58.         4.          32.         4.                C076501200042 
 40.        64.         8.          18.         2.                C076501200043 
 40.        72.         8.           8.9        1.6               C076501200044 
 40.        80.         8.           1.7        0.7               C076501200045 
 40.        88.         8.           2.3        0.8               C076501200046 
 40.        96.         8.           0.26       0.26              C076501200047 
 60.        17.         2.          48.        43.                C076501200048 
 60.        19.         2.          90.        52.                C076501200049 
 60.        21.         2.          48.        34.                C076501200050 
 60.        23.         2.         118.        48.                C076501200051 
 60.        25.         2.         131.        46.                C076501200052 
 60.        27.         2.         238.        58.                C076501200053 
 60.        29.         2.         200.        50.                C076501200054 
 60.        31.         2.         195.        47.                C076501200055 
 60.        33.         2.         172.        43.                C076501200056 
 60.        35.         2.         112.        34.                C076501200057 
 60.        37.         2.          78.        27.                C076501200058 
 60.        39.         2.         121.        34.                C076501200059 
 60.        42.         4.          73.        18.                C076501200060 
 60.        46.         4.          76.        18.                C076501200061 
 60.        50.         4.          44.        13.                C076501200062 
 60.        54.         4.          15.         8.                C076501200063 
 60.        58.         4.          15.         3.                C076501200064 
 60.        64.         8.           7.3        1.6               C076501200065 
 60.        72.         8.           4.9        1.2               C076501200066 
 60.        80.         8.           0.92       0.53              C076501200067 
 60.        88.         8.           0.60       0.42              C076501200068 
 90.        17.         2.          46.        75.                C076501200069 
 90.        19.         2.          73.        42.                C076501200070 
 90.        21.         2.          97.        44.                C076501200071 
 90.        23.         2.         176.        53.                C076501200072 
 90.        25.         2.         147.        44.                C076501200073 
 90.        27.         2.         148.        41.                C076501200074 
 90.        29.         2.         152.        39.                C076501200075 
 90.        31.         2.         131.        35.                C076501200076 
 90.        33.         2.          96.        29.                C076501200077 
 90.        35.         2.          66.        23.                C076501200078 
 90.        37.         2.         110.        30.                C076501200079 
 90.        39.         2.          61.        21.                C076501200080 
 90.        42.         4.          48.        13.                C076501200081 
 90.        46.         2.          27.        10.                C076501200082 
 90.        50.         4.           6.5        4.6               C076501200083 
 90.        54.         4.           9.4        5.4               C076501200084 
 90.        58.         4.           5.2        1.7               C076501200085 
 90.        64.         8.           3.3        1.0               C076501200086 
 90.        72.         8.           1.6        0.6               C076501200087 
120.        17.         2.          14.        14.                C076501200088 
120.        19.         2.          53.        24.                C076501200089 
120.        21.         2.          94.        28.                C076501200090 
120.        23.         2.         105.        27.                C076501200091 
120.        25.         2.          99.        24.                C076501200092 
120.        27.         2.         139.        26.                C076501200093 
120.        29.         2.         134.        24.                C076501200094 
120.        31.         2.         111.        21.                C076501200095 
120.        33.         2.         100.        20.                C076501200096 
120.        35.         2.          54.        14.                C076501200097 
120.        37.         2.          42.        12.                C076501200098 
120.        39.         2.          36.        11.                C076501200099 
120.        42.         4.          21.         6.                C076501200100 
120.        46.         4.           9.0        3.7               C076501200101 
120.        50.         4.           7.1        3.2               C076501200102 
120.        54.         4.           4.1        2.4               C076501200103 
120.        58.         4.           2.3        0.9               C076501200104 
120.        64.         8.           1.3        0.4               C076501200105 
160.        15.         2.          29.        28.                C076501200106 
160.        17.         2.          21.        21.                C076501200107 
160.        19.         2.         194.        56.                C076501200108 
160.        21.         2.          65.        29.                C076501200109 
160.        23.         2.         170.        42.                C076501200110 
160.        25.         2.         177.        40.                C076501200111 
160.        27.         2.          98.        27.                C076501200112 
160.        29.         2.          81.        23.                C076501200113 
160.        31.         2.          56.        19.                C076501200114 
160.        33.         2.          41.        15.                C076501200115 
160.        35.         2.          16.        10.                C076501200116 
160.        37.         2.          21.        11.                C076501200117 
160.        39.         2.          20.        10.                C076501200118 
ENDDATA            109          0                                 C076501200119 
ENDSUBENT          118          0                                 C076501299999 
SUBENT        C0765013   20010329                             0000C076501300001 
BIB                  3          4                                 C076501300002 
REACTION   (47-AG-0(P,X)7-N-17,,DA/DE)                            C076501300003 
METHOD     (TOF)                                                  C076501300004 
DETECTOR   (TELES,SOLST) Telescopes composed of silicon surface-  C076501300005 
            barrier detectors.                                    C076501300006 
ENDBIB               4          0                                 C076501300007 
NOCOMMON             0          0                                 C076501300008 
DATA                 5         96                                 C076501300009 
ANG        E-MEAN     E-RSL      DATA       ERR-S                 C076501300010 
ADEG       MEV        MEV        NB/SR/MEV  NB/SR/MEV             C076501300011 
 20.        25.         2.          47.        32.                C076501300012 
 20.        27.         2.         114.        46.                C076501300013 
 20.        29.         2.          85.        38.                C076501300014 
 20.        31.         2.          62.        31.                C076501300015 
 20.        33.         2.         102.        39.                C076501300016 
 20.        35.         2.         124.        41.                C076501300017 
 20.        37.         2.          92.        35.                C076501300018 
 20.        39.         2.         101.        36.                C076501300019 
 20.        42.         4.          74.        21.                C076501300020 
 20.        46.         4.          74.        21.                C076501300021 
 20.        50.         4.          33.        13.                C076501300022 
 20.        54.         4.          47.        16.                C076501300023 
 20.        58.         4.          13.         4.                C076501300024 
 20.        64.         8.           9.3        2.5               C076501300025 
 20.        72.         8.           5.4        1.9               C076501300026 
 40.        23.         2.          18.        12.                C076501300027 
 40.        25.         2.          35.        16.                C076501300028 
 40.        27.         2.          36.        15.                C076501300029 
 40.        29.         2.          48.        16.                C076501300030 
 40.        31.         2.          59.        17.                C076501300031 
 40.        33.         2.          83.        20.                C076501300032 
 40.        35.         2.          83.        19.                C076501300033 
 40.        37.         2.          79.        18.                C076501300034 
 40.        39.         2.          76.        17.                C076501300035 
 40.        42.         4.          47.         9.                C076501300036 
 40.        46.         4.          27.         7.                C076501300037 
 40.        50.         4.          17.         5.                C076501300038 
 40.        54.         4.          12.         4.                C076501300039 
 40.        58.         4.          11.         3.                C076501300040 
 40.        64.         8.           6.1        1.4               C076501300041 
 40.        72.         8.           2.8        0.9               C076501300042 
 40.        80.         8.           0.84       0.48              C076501300043 
 40.        88.         8.           0.52       0.37              C076501300044 
 60.        21.         2.          25.        25.                C076501300045 
 60.        23.         2.          20.        20.                C076501300046 
 60.        25.         2.          16.        16.                C076501300047 
 60.        27.         2.          70.        31.                C076501300048 
 60.        29.         2.         100.        35.                C076501300049 
 60.        31.         2.          69.        28.                C076501300050 
 60.        33.         2.          75.        28.                C076501300051 
 60.        35.         2.         102.        32.                C076501300052 
 60.        37.         2.          29.        17.                C076501300053 
 60.        39.         2.          47.        21.                C076501300054 
 60.        42.         4.          32.        12.                C076501300055 
 60.        46.         4.          34.        12.                C076501300056 
 60.        50.         4.          24.        10.                C076501300057 
 60.        54.         4.          11.         7.                C076501300058 
 60.        58.         4.           4.8        1.8               C076501300059 
 60.        64.         8.           3.7        1.1               C076501300060 
 60.        72.         8.           0.95       0.55              C076501300061 
 90.        19.         2.          37.        30.                C076501300062 
 90.        21.         2.          19.        19.                C076501300063 
 90.        23.         2.          32.        23.                C076501300064 
 90.        25.         2.          67.        30.                C076501300065 
 90.        27.         2.          68.        28.                C076501300066 
 90.        29.         2.          71.        27.                C076501300067 
 90.        31.         2.          47.        21.                C076501300068 
 90.        33.         2.          44.        20.                C076501300069 
 90.        35.         2.          91.        27.                C076501300070 
 90.        37.         2.          55.        21.                C076501300071 
 90.        39.         2.          30.        15.                C076501300072 
 90.        42.         4.          15.         7.                C076501300073 
 90.        46.         4.           6.7        4.8               C076501300074 
 90.        50.         4.          14.         0.7               C076501300075 
 90.        54.         4.           0.0                          C076501300076 
 90.        58.         4.           1.2        0.8               C076501300077 
 90.        64.         8.           0.28       0.27              C076501300078 
 90.        72.         8.           0.26       0.26              C076501300079 
 90.        80.         8.           0.25       0.25              C076501300080 
120.        19.         2.          25.        16.                C076501300081 
120.        21.         2.          43.        19.                C076501300082 
120.        23.         2.          63.        21.                C076501300083 
120.        25.         2.          41.        15.                C076501300084 
120.        27.         2.          50.        16.                C076501300085 
120.        29.         2.          27.        11.                C076501300086 
120.        31.         2.          61.        16.                C076501300087 
120.        33.         2.          19.         9.                C076501300088 
120.        35.         2.          33.        11.                C076501300089 
120.        37.         2.          31.        10.                C076501300090 
120.        39.         2.          13.         7.                C076501300091 
120.        42.         4.          11.         4.                C076501300092 
120.        46.         4.           3.0        2.1               C076501300093 
120.        50.         4.           2.9        2.0               C076501300094 
160.        17.         2.          46.        31.                C076501300095 
160.        19.         2.          65.        32.                C076501300096 
160.        21.         2.          52.        26.                C076501300097 
160.        23.         2.          95.        32.                C076501300098 
160.        25.         2.          53.        22.                C076501300099 
160.        27.         2.          30.        15.                C076501300100 
160.        29.         2.          54.        19.                C076501300101 
160.        31.         2.          37.        15.                C076501300102 
160.        33.         2.          35.        14.                C076501300103 
160.        35.         2.           5.5        5.5               C076501300104 
160.        37.         2.          21.        10.                C076501300105 
160.        39.         2.           5.0        5.0               C076501300106 
160.        42.         4.           5.5        3.6               C076501300107 
ENDDATA             98          0                                 C076501300108 
ENDSUBENT          107          0                                 C076501399999 
SUBENT        C0765014   20010123                             0000C076501400001 
BIB                  3          4                                 C076501400002 
REACTION   (47-AG-0(P,X)8-O-15,,DA/DE)                            C076501400003 
METHOD     (TOF)                                                  C076501400004 
DETECTOR   (TELES,SOLST) Telescopes composed of silicon surface-  C076501400005 
            barrier detectors.                                    C076501400006 
ENDBIB               4          0                                 C076501400007 
NOCOMMON             0          0                                 C076501400008 
DATA                 5         93                                 C076501400009 
ANG        E-MEAN     E-RSL      DATA       ERR-S                 C076501400010 
ADEG       MEV        MEV        NB/SR/MEV  NB/SR/MEV             C076501400011 
 20.        25.         2.          31.        31.                C076501400012 
 20.        27.         2.          50.        36.                C076501400013 
 20.        29.         2.          22.        22.                C076501400014 
 20.        31.         2.          38.        27.                C076501400015 
 20.        33.         2.          85.        38.                C076501400016 
 20.        35.         2.          95.        39.                C076501400017 
 20.        37.         2.          59.        30.                C076501400018 
 20.        39.         2.          57.        28.                C076501400019 
 20.        42.         4.         115.        28.                C076501400020 
 20.        46.         4.         105.        26.                C076501400021 
 20.        50.         4.          47.        17.                C076501400022 
 20.        54.         4.          33.        14.                C076501400023 
 20.        58.         4.          38.        14.                C076501400024 
 20.        64.         8.          13.         3.                C076501400025 
 20.        72.         8.           5.5        2.0               C076501400026 
 20.        80.         8.           3.4        1.5               C076501400027 
 20.        88.         8.           5.4        1.9               C076501400028 
 20.        96.         8.           1.3        0.9               C076501400029 
 20.       104.         8.           0.87       0.86              C076501400030 
 40.        25.         2.          59.        24.                C076501400031 
 40.        27.         2.          87.        26.                C076501400032 
 40.        29.         2.          61.        20.                C076501400033 
