ENTRY            C0213   19990624                             0000C021300000001 
SUBENT        C0213001   19990624                             0000C021300100001 
BIB                  8         16                                 C021300100002 
INSTITUTE  (1USAGEO,1USARUT,1CANSFU,1CANTMF,1USALAS,2FR SAC,      C021300100003 
           1CANQU,1USACLU,1USASCA,1USACBF,1CANALA)                C021300100004 
            + Inst.Phys.Nucl., Orsay, France                      C021300100005 
REFERENCE  (J,PR/C,44,93,199107)                                  C021300100006 
AUTHOR     (F.T.BAKER,L.BIMBOT,R.W.FERGERSON,C.GLASHAUSSER,       C021300100007 
           A.GREEN,O.HAUSSER,K.HICKS,K.JONES,C.A.MILLER,          C021300100008 
           M.VETTERLI,R.ABEGG,D.BEATTY,B.BONIN,B.CASTEL,X.Y.CHEN, C021300100009 
           V.CUPPS,C.DJALALI,R.HENDERSON,K.P.JACKSON,R.JEPPESEN,  C021300100010 
           K.NAKAYAMA,S.K.NANDA,R.SAWAFTA,S.YEN)                  C021300100011 
TITLE      Spin decomposition of the resonances of 44Ca and       C021300100012 
            48Ca to 300 MeV protons                               C021300100013 
METHOD     (EXTB,SITA)                                            C021300100014 
ERR-ANALYS (ERR-S) Statistical errors are given.                  C021300100015 
STATUS     Data received by e-mail from F.T.Baker, Oct.1998.      C021300100016 
           (APRVD) Apprved by F.T. Baker, 24 June 1999.           C021300100017 
HISTORY    (19990203C) VV                                         C021300100018 
ENDBIB              16          0                                 C021300100019 
NOCOMMON             0          0                                 C021300100020 
ENDSUBENT           19          0                                 C021300199999 
SUBENT        C0213002   19990203                             0000C021300200001 
BIB                  5          7                                 C021300200002 
REACTION   (20-CA-44(P,INL)20-CA-44,,DA/DE)                       C021300200003 
FACILITY   (MESON,1CANTMF) The TRIUMF facility.                   C021300200004 
INC-SOURCE (POLIS) The TRIUMF facility 290-MeV polarized proton   C021300200005 
            beam.                                                 C021300200006 
SAMPLE     Target enriched to 98.78% 44Ca, thickness 53.5         C021300200007 
            mg/cm**2.                                             C021300200008 
DETECTOR   (MAGSP) Medium-resolution spectrometer (MRS).          C021300200009 
ENDBIB               7          0                                 C021300200010 
COMMON               1          3                                 C021300200011 
EN                                                                C021300200012 
MEV                                                               C021300200013 
   290.0                                                          C021300200014 
ENDCOMMON            3          0                                 C021300200015 
DATA                 5        124                                 C021300200016 
ANG        E-EXC-MIN  E-EXC-MAX  DATA       ERR-S                 C021300200017 
   12.0      41.        43.         0.355      0.046              C021300400159 
   12.0      43.        45.         0.329      0.051              C021300400160 
   12.0      45.        47.         0.282      0.059              C021300400161 
   12.0      47.        49.         0.272      0.070              C021300400162 
   12.0      49.        51.         0.105      0.179              C021300400163 
ENDDATA            147          0                                 C021300400164 
ENDSUBENT          163          0                                 C021300499999 
SUBENT        C0213005   19990203                             0000C021300500001 
BIB                  5          6                                 C021300500002 
REACTION   (20-CA-48(P,INL)20-CA-48,,DA/DE)                       C021300500003 
FACILITY   (MESON,1USALAS) The LAMPF facility.                    C021300500004 
INC-SOURCE (POLIS) The LUMPF facility 318-MeV polarized proton    C021300500005 
            beam.                                                 C021300500006 
SAMPLE     Target enriched to 99.0% 48Ca, 150 mg/cm**2 thick.     C021300500007 
DETECTOR   (MAGSP) High-resolution spectrometer (HRS).            C021300500008 
ENDBIB               6          0                                 C021300500009 
COMMON               1          3                                 C021300500010 
EN                                                                C021300500011 
MEV                                                               C021300500012 
   318.0                                                          C021300500013 
ENDCOMMON            3          0                                 C021300500014 
DATA                 5        145                                 C021300500015 
ANG        E-EXC-MIN  E-EXC-MAX  DATA       DATA-ERR              C021300500016 
ADEG       MEV        MEV        MB/SR/MEV  MB/SR/MEV             C021300500017 
    3.0      7.0         8.0       0.331      0.012               C021300500018 
    3.0      8.0         9.0       0.342      0.012               C021300500019 
    3.0      9.0        10.0       0.652      0.017               C021300500020 
    3.0     10.0        11.0       2.679      0.041               C021300500021 
    3.0     11.0        12.0       0.764      0.019               C021300500022 
    3.0     12.0        13.0       0.964      0.021               C021300500023 
    3.0     13.0        14.0       1.195      0.019               C021300500024 
    3.0     14.0        15.0       1.352      0.019               C021300500025 
    3.0     15.0        16.0       1.561      0.014               C021300500026 
    3.0     15.5        16.5       1.851      0.014               C021300500027 
    3.0     16.0        17.0       1.906      0.014               C021300500028 
    3.0     16.5        17.5       2.113      0.028               C021300500029 
    3.0     17.5        18.5       2.679      0.028               C021300500030 
    3.0     18.5        19.5       2.596      0.028               C021300500031 
    3.0     19.5        20.5       2.334      0.028               C021300500032 
    3.0     20.5        21.5       2.085      0.028               C021300500033 
    3.0     21.5        22.5       1.823      0.028               C021300500034 
    3.0     22.5        23.5       1.754      0.014               C021300500035 
    3.0     23.5        24.5       1.657      0.014               C021300500036 
    3.0     24.0        25.0       1.574      0.028               C021300500037 
    3.0     25.0        26.0       1.519      0.028               C021300500038 
    3.0     26.0        27.0       1.436      0.028               C021300500039 
    3.0     27.0        28.0       1.341      0.025               C021300500040 
    3.0     28.0        29.0       1.323      0.025               C021300500041 
    3.0     29.0        30.0       1.311      0.025               C021300500042 
    3.0     30.0        31.0       1.240      0.025               C021300500043 
    3.0     31.0        32.0       1.251      0.025               C021300500044 
    3.0     31.5        32.5       1.148      0.017               C021300500045 
    3.0     32.5        33.5       1.117      0.017               C021300500046 
    3.0     33.5        34.5       1.106      0.017               C021300500047 
    3.0     34.5        35.5       1.030      0.017               C021300500048 
    3.0     35.5        36.5       1.003      0.017               C021300500049 
    3.0     36.5        37.5       0.986      0.014               C021300500050 
    3.0     37.5        38.5       0.947      0.014               C021300500051 
    3.0     38.5        39.5       0.913      0.014               C021300500052 
    3.0     39.5        40.5       0.862      0.014               C021300500053 
    5.0      7.0         8.0       0.483      0.018               C021300500054 
    5.0      8.0         9.0       0.548      0.018               C021300500055 
    5.0      9.0        10.0       0.880      0.025               C021300500056 
    5.0     10.0        11.0       2.085      0.028               C021300500057 
    5.0     11.0        12.0       1.081      0.026               C021300500058 
    5.0     12.0        13.0       1.348      0.029               C021300500059 
    5.0     13.0        14.0       1.630      0.028               C021300500060 
    5.0     14.0        15.0       1.781      0.028               C021300500061 
    5.0     15.0        16.0       1.961      0.028               C021300500062 
    5.0     15.5        16.5       1.975      0.041               C021300500063 
    5.0     16.0        17.0       2.168      0.028               C021300500064 
    5.0     16.5        17.5       2.141      0.041               C021300500065 
    5.0     17.5        18.5       2.527      0.041               C021300500066 
    5.0     18.5        19.5       2.403      0.041               C021300500067 
    5.0     19.5        20.5       2.085      0.028               C021300500068 
    5.0     20.5        21.5       1.906      0.028               C021300500069 
    5.0     21.5        22.5       1.754      0.028               C021300500070 
    5.0     22.5        23.5       1.657      0.028               C021300500071 
    5.0     23.5        24.5       1.561      0.028               C021300500072 
    5.0     24.0        25.0       1.561      0.028               C021300500073 
    5.0     25.0        26.0       1.464      0.028               C021300500074 
    5.0     26.0        27.0       1.409      0.028               C021300500075 
    5.0     27.0        28.0       1.345      0.028               C021300500076 
    5.0     28.0        29.0       1.301      0.028               C021300500077 
    5.0     29.0        30.0       1.271      0.015               C021300500078 
    5.0     30.0        31.0       1.175      0.015               C021300500079 
    5.0     31.0        32.0       1.160      0.015               C021300500080 
    5.0     31.5        32.5       1.130      0.015               C021300500081 
    5.0     32.5        33.5       1.091      0.015               C021300500082 
    5.0     33.5        34.5       1.087      0.015               C021300500083 
    5.0     34.5        35.5       1.029      0.015               C021300500084 
    5.0     35.5        36.5       0.978      0.014               C021300500085 
    5.0     36.5        37.5       0.972      0.014               C021300500086 
    5.0     37.5        38.5       0.938      0.014               C021300500087 
    5.0     38.5        39.5       0.907      0.014               C021300500088 
    5.0     39.5        40.5       0.882      0.014               C021300500089 
    7.0      7.0         8.0       0.693      0.015               C021300500090 
    7.0      8.0         9.0       1.588      0.028               C021300500091 
    7.0      9.0        10.0       0.956      0.021               C021300500092 
    7.0     10.0        11.0       1.754      0.021               C021300500093 
    7.0     11.0        12.0       1.464      0.021               C021300500094 
    7.0     12.0        13.0       1.878      0.021               C021300500095 
    7.0     13.0        14.0       2.168      0.028               C021300500096 
    7.0     14.0        15.0       2.182      0.028               C021300500097 
    7.0     15.0        16.0       2.458      0.028               C021300500098 
    7.0     15.5        16.5       2.362      0.028               C021300500099 
    7.0     16.0        17.0       2.500      0.028               C021300500100 
    7.0     16.5        17.5       2.541      0.028               C021300500101 
    7.0     17.5        18.5       2.886      0.028               C021300500102 
    7.0     18.5        19.5       2.527      0.028               C021300500103 
    7.0     19.5        20.5       2.196      0.028               C021300500104 
    7.0     20.5        21.5       1.947      0.028               C021300500105 
    7.0     21.5        22.5       1.781      0.028               C021300500106 
    7.0     22.5        23.5       1.671      0.028               C021300500107 
    7.0     23.5        24.5       1.588      0.028               C021300500108 
    7.0     24.0        25.0       1.491      0.014               C021300500109 
    7.0     25.0        26.0       1.422      0.014               C021300500110 
    7.0     26.0        27.0       1.409      0.014               C021300500111 
    7.0     27.0        28.0       1.409      0.014               C021300500112 
    7.0     28.0        29.0       1.355      0.015               C021300500113 
    7.0     29.0        30.0       1.305      0.015               C021300500114 
    7.0     30.0        31.0       1.290      0.015               C021300500115 
    7.0     31.0        32.0       1.280      0.015               C021300500116 
    7.0     32.0        33.0       1.200      0.019               C021300500117 
    7.0     32.5        33.5       1.177      0.014               C021300500118 
    7.0     33.5        34.5       1.127      0.014               C021300500119 
    7.0     34.5        35.5       1.163      0.014               C021300500120 
    7.0     35.5        36.5       1.084      0.014               C021300500121 
    7.0     36.5        37.5       1.048      0.014               C021300500122 
    7.0     37.5        38.5       1.034      0.014               C021300500123 
    7.0     38.5        39.5       0.998      0.011               C021300500124 
    7.0     39.5        40.5       0.969      0.011               C021300500125 
    7.0     40.5        41.5       0.877      0.008               C021300500126 
    9.0      7.0         8.0       1.947      0.028               C021300500127 
    9.0      8.0         9.0       3.342      0.041               C021300500128 
    9.0      9.0        10.0       2.030      0.028               C021300500129 
    9.0     10.0        11.0       2.472      0.028               C021300500130 
    9.0     11.0        12.0       2.223      0.028               C021300500131 
    9.0     12.0        13.0       2.969      0.041               C021300500132 
    9.0     13.0        14.0       3.273      0.041               C021300500133 
    9.0     14.0        15.0       3.176      0.041               C021300500134 
    9.0     15.0        16.0       3.494      0.041               C021300500135 
    9.0     15.5        16.5       3.011      0.041               C021300500136 
    9.0     16.0        17.0       3.618      0.041               C021300500137 
    9.0     16.5        17.5       3.273      0.041               C021300500138 
    9.0     17.5        18.5       3.632      0.041               C021300500139 
    9.0     18.5        19.5       3.162      0.041               C021300500140 
    9.0     19.5        20.5       2.638      0.028               C021300500141 
    9.0     20.5        21.5       2.265      0.028               C021300500142 
    9.0     21.5        22.5       2.099      0.028               C021300500143 
    9.0     22.5        23.5       1.961      0.028               C021300500144 
    9.0     23.5        24.5       1.920      0.028               C021300500145 
    9.0     24.0        25.0       1.837      0.028               C021300500146 
    9.0     25.0        26.0       1.851      0.028               C021300500147 
    9.0     26.0        27.0       1.823      0.028               C021300500148 
    9.0     27.0        28.0       1.837      0.028               C021300500149 
    9.0     28.0        29.0       1.781      0.028               C021300500150 
    9.0     29.0        30.0       1.795      0.014               C021300500151 
    9.0     30.0        31.0       1.726      0.014               C021300500152 
    9.0     31.0        32.0       1.685      0.014               C021300500153 
    9.0     31.5        32.5       1.671      0.014               C021300500154 
    9.0     32.5        33.5       1.630      0.014               C021300500155 
    9.0     33.5        34.5       1.561      0.014               C021300500156 
    9.0     34.5        35.5       1.505      0.014               C021300500157 
    9.0     35.5        36.5       1.450      0.014               C021300500158 
    9.0     36.5        37.5       1.409      0.014               C021300500159 
    9.0     37.5        38.5       1.395      0.014               C021300500160 
    9.0     38.5        39.5       1.333      0.018               C021300500161 
    9.0     39.5        40.5       1.284      0.018               C021300500162 
ENDDATA            147          0                                 C021300500163 
ENDSUBENT          162          0                                 C021300599999 
SUBENT        C0213006   19990203                             0000C021300600001 
BIB                  5          6                                 C021300600002 
REACTION   (20-CA-48(P,INL)20-CA-48,PAR,POL/DA,,ANA)              C021300600003 
FACILITY   (MESON,1USALAS) The LAMPF facility.                    C021300600004 
INC-SOURCE (POLIS) The LUMPF facility 318-MeV polarized proton    C021300600005 
            beam.                                                 C021300600006 
SAMPLE     Target enriched to 99.0% 48Ca, 150 mg/cm**2 thick.     C021300600007 
DETECTOR   (MAGSP) High-resolution spectrometer (HRS).            C021300600008 
ENDBIB               6          0                                 C021300600009 
COMMON               1          3                                 C021300600010 
EN                                                                C021300600011 
MEV                                                               C021300600012 
   318.0                                                          C021300600013 
ENDCOMMON            3          0                                 C021300600014 
DATA                 5        143                                 C021300600015 
ANG        E-EXC-MIN  E-EXC-MAX  DATA       DATA-ERR              C021300600016 
ADEG       MEV        MEV        NO-DIM     NO-DIM                C021300600017 
    3.0       7.0        8.0       0.151      0.030               C021300600018 
    3.0       8.0        9.0       0.197      0.016               C021300600019 
    3.0       9.0       10.0       0.169      0.014               C021300600020 
    3.0      10.0       11.0       0.080      0.006               C021300600021 
    3.0      11.0       12.0       0.075      0.012               C021300600022 
    3.0      12.0       13.0       0.090      0.010               C021300600023 
    3.0      13.0       14.0       0.100      0.009               C021300600024 
    3.0      14.0       15.0       0.084      0.008               C021300600025 
    3.0      15.0       16.0       0.094      0.008               C021300600026 
    3.0      15.5       16.5       0.169      0.016               C021300600027 
    3.0      16.0       17.0       0.111      0.007               C021300600028 
    3.0      16.5       17.5       0.164      0.014               C021300600029 
    3.0      17.5       18.5       0.145      0.012               C021300600030 
    3.0      18.5       19.5       0.162      0.013               C021300600031 
    3.0      19.5       20.5       0.140      0.013               C021300600032 
    3.0      20.5       21.5       0.132      0.014               C021300600033 
    3.0      21.5       22.5       0.126      0.015               C021300600034 
    3.0      22.5       23.5       0.132      0.015               C021300600035 
    3.0      23.5       24.5       0.161      0.016               C021300600036 
    3.0      25.0       26.0       0.051      0.010               C021300600037 
    3.0      26.0       27.0       0.036      0.011               C021300600038 
    3.0      27.0       28.0       0.022      0.011               C021300600039 
    3.0      28.0       29.0       0.035      0.011               C021300600040 
    3.0      29.0       30.0       0.033      0.011               C021300600041 
    3.0      30.0       31.0       0.055      0.011               C021300600042 
    3.0      31.0       32.0       0.036      0.011               C021300600043 
    3.0      32.0       33.0       0.039      0.012               C021300600044 
    3.0      32.0       33.0       0.103      0.008               C021300600045 
    3.0      32.5       33.5       0.093      0.009               C021300600046 
    3.0      33.5       34.5       0.077      0.009               C021300600047 
    3.0      34.5       35.5       0.084      0.009               C021300600048 
    3.0      35.5       36.5       0.073      0.009               C021300600049 
    3.0      36.5       37.5       0.070      0.009               C021300600050 
    3.0      37.5       38.5       0.074      0.009               C021300600051 
    3.0      38.5       39.5       0.085      0.009               C021300600052 
    3.0      39.5       40.5       0.066      0.009               C021300600053 
    5.0       7.0        8.0       0.307      0.013               C021300600054 
    5.0       8.0        9.0       0.333      0.010               C021300600055 
    5.0       9.0       10.0       0.283      0.011               C021300600056 
    5.0      10.0       11.0       0.139      0.007               C021300600057 
    5.0      11.0       12.0       0.169      0.009               C021300600058 
    5.0      12.0       13.0       0.186      0.009               C021300600059 
    5.0      13.0       14.0       0.190      0.008               C021300600060 
    5.0      14.0       15.0       0.191      0.008               C021300600061 
    5.0      15.0       16.0       0.185      0.007               C021300600062 
    5.0      15.5       16.5       0.176      0.008               C021300600063 
    5.0      16.0       17.0       0.193      0.009               C021300600064 
    5.0      16.5       17.5       0.141      0.007               C021300600065 
    5.0      17.5       18.5       0.157      0.006               C021300600066 
    5.0      18.5       19.5       0.127      0.007               C021300600067 
    5.0      19.5       20.5       0.121      0.007               C021300600068 
    5.0      20.5       21.5       0.122      0.007               C021300600069 
    5.0      21.5       22.5       0.117      0.008               C021300600070 
    5.0      22.5       23.5       0.108      0.008               C021300600071 
    5.0      23.5       24.5       0.107      0.008               C021300600072 
    5.0      25.0       26.0       0.113      0.005               C021300600073 
    5.0      26.0       27.0       0.127      0.006               C021300600074 
    5.0      27.0       28.0       0.130      0.006               C021300600075 
    5.0      28.0       29.0       0.118      0.006               C021300600076 
    5.0      29.0       30.0       0.124      0.006               C021300600077 
    5.0      30.0       31.0       0.119      0.006               C021300600078 
    5.0      31.0       32.0       0.108      0.006               C021300600079 
    5.0      32.0       33.0       0.118      0.006               C021300600080 
    5.0      32.5       33.5       0.112      0.006               C021300600081 
    5.0      33.5       34.5       0.116      0.005               C021300600082 
    5.0      34.5       35.5       0.108      0.005               C021300600083 
    5.0      35.5       36.5       0.118      0.005               C021300600084 
    5.0      36.5       37.5       0.115      0.006               C021300600085 
    5.0      37.5       38.5       0.111      0.006               C021300600086 
    5.0      38.5       39.5       0.103      0.006               C021300600087 
    5.0      39.5       40.5       0.103      0.006               C021300600088 
    5.0      40.5       41.5       0.093      0.006               C021300600089 
    7.0       8.0        9.0       0.457      0.011               C021300600090 
    7.0       9.0       10.0       0.390      0.015               C021300600091 
    7.0      10.0       11.0       0.270      0.011               C021300600092 
    7.0      11.0       12.0       0.291      0.012               C021300600093 
    7.0      12.0       13.0       0.351      0.011               C021300600094 
    7.0      13.0       14.0       0.329      0.010               C021300600095 
    7.0      14.0       15.0       0.342      0.010               C021300600096 
    7.0      15.0       16.0       0.340      0.009               C021300600097 
    7.0      15.5       16.5       0.326      0.007               C021300600098 
    7.0      16.0       17.0       0.309      0.009               C021300600099 
    7.0      16.5       17.5       0.321      0.005               C021300600100 
    7.0      17.5       18.5       0.318      0.005               C021300600101 
    7.0      18.5       19.5       0.289      0.005               C021300600102 
    7.0      19.5       20.5       0.262      0.006               C021300600103 
    7.0      20.5       21.5       0.235      0.006               C021300600104 
    7.0      21.5       22.5       0.210      0.006               C021300600105 
    7.0      22.5       23.5       0.201      0.006               C021300600106 
    7.0      23.5       24.5       0.197      0.007               C021300600107 
    7.0      25.0       26.0       0.174      0.007               C021300600108 
    7.0      26.0       27.0       0.165      0.007               C021300600109 
    7.0      27.0       28.0       0.173      0.008               C021300600110 
    7.0      28.0       29.0       0.168      0.008               C021300600111 
    7.0      29.0       30.0       0.163      0.008               C021300600112 
    7.0      30.0       31.0       0.166      0.008               C021300600113 
    7.0      31.0       32.0       0.153      0.008               C021300600114 
    7.0      32.0       33.0       0.144      0.009               C021300600115 
    7.0      32.5       33.5       0.154      0.007               C021300600116 
    7.0      33.5       34.5       0.148      0.008               C021300600117 
    7.0      34.5       35.5       0.152      0.008               C021300600118 
    7.0      35.5       36.5       0.139      0.008               C021300600119 
    7.0      36.5       37.5       0.145      0.008               C021300600120 
    7.0      37.5       38.5       0.145      0.008               C021300600121 
    7.0      38.5       39.5       0.136      0.008               C021300600122 
    7.0      39.5       40.5       0.142      0.008               C021300600123 
    7.0      40.5       41.5       0.139      0.012               C021300600124 
    9.0       7.0        8.0       0.508      0.009               C021300600125 
    9.0       8.0        9.0       0.541      0.006               C021300600126 
    9.0       9.0       10.0       0.458      0.008               C021300600127 
    9.0      10.0       11.0       0.426      0.008               C021300600128 
    9.0      11.0       12.0       0.371      0.008               C021300600129 
    9.0      12.0       13.0       0.465      0.007               C021300600130 
    9.0      13.0       14.0       0.450      0.007               C021300600131 
    9.0      14.0       15.0       0.452      0.007               C021300600132 
    9.0      15.0       16.0       0.452      0.006               C021300600133 
    9.0      15.5       16.5       0.436      0.008               C021300600134 
    9.0      16.0       17.0       0.443      0.006               C021300600135 
    9.0      16.5       17.5       0.444      0.007               C021300600136 
    9.0      17.5       18.5       0.434      0.007               C021300600137 
    9.0      18.5       19.5       0.407      0.007               C021300600138 
    9.0      19.5       20.5       0.355      0.008               C021300600139 
    9.0      20.5       21.5       0.322      0.009               C021300600140 
    9.0      21.5       22.5       0.306      0.009               C021300600141 
    9.0      22.5       23.5       0.268      0.009               C021300600142 
    9.0      23.5       24.5       0.264      0.010               C021300600143 
    9.0      25.0       26.0       0.217      0.011               C021300600144 
    9.0      26.0       27.0       0.209      0.030               C021300600145 
    9.0      27.0       28.0       0.201      0.011               C021300600146 
    9.0      28.0       29.0       0.229      0.011               C021300600147 
    9.0      29.0       30.0       0.212      0.011               C021300600148 
    9.0      30.0       31.0       0.219      0.011               C021300600149 
    9.0      31.0       32.0       0.195      0.011               C021300600150 
    9.0      32.0       33.0       0.206      0.011               C021300600151 
    9.0      32.0       33.0       0.218      0.012               C021300600152 
    9.0      32.5       33.5       0.208      0.032               C021300600153 
    9.0      33.5       34.5       0.213      0.011               C021300600154 
    9.0      34.5       35.5       0.201      0.011               C021300600155 
    9.0      35.5       36.5       0.205      0.011               C021300600156 
    9.0      36.5       37.5       0.196      0.012               C021300600157 
    9.0      37.5       38.5       0.175      0.012               C021300600158 
    9.0      38.5       39.5       0.188      0.012               C021300600159 
    9.0      39.5       40.5       0.180      0.012               C021300600160 
ENDDATA            145          0                                 C021300600161 
ENDSUBENT          160          0                                 C021300699999 
SUBENT        C0213007   19990203                             0000C021300700001 
BIB                  5          6                                 C021300700002 
REACTION   (20-CA-48(P,INL)20-CA-48,NN/PAR,POL/DA,,SF)            C021300700003 
FACILITY   (MESON,1USALAS) The LAMPF facility.                    C021300700004 
INC-SOURCE (POLIS) The LUMPF facility 318-MeV polarized proton    C021300700005 
            beam.                                                 C021300700006 
SAMPLE     Target enriched to 99.0% 48Ca, 150 mg/cm**2 thick.     C021300700007 
DETECTOR   (MAGSP) High-resolution spectrometer (HRS).            C021300700008 
ENDBIB               6          0                                 C021300700009 
COMMON               1          3                                 C021300700010 
EN                                                                C021300700011 
MEV                                                               C021300700012 
   318.0                                                          C021300700013 
ENDCOMMON            3          0                                 C021300700014 
DATA                 5        142                                 C021300700015 
ANG        E-EXC-MIN  E-EXC-MAX  DATA       DATA-ERR              C021300700016 
ADEG       MEV        MEV        NO-DIM     NO-DIM                C021300700017 
    3.0       7.0        8.0       0.054      0.142               C021300700018 
    3.0       8.0        9.0       0.080      0.062               C021300700019 
    3.0       9.0       10.0       0.137      0.052               C021300700020 
    3.0      10.0       11.0       0.427      0.022               C021300700021 
    3.0      11.0       12.0       0.202      0.041               C021300700022 
    3.0      12.0       13.0       0.175      0.035               C021300700023 
    3.0      13.0       14.0       0.194      0.033               C021300700024 
    3.0      14.0       15.0       0.183      0.030               C021300700025 
    3.0      15.0       16.0       0.201      0.028               C021300700026 
    3.0      15.5       16.5       0.374      0.063               C021300700027 
    3.0      16.0       17.0       0.175      0.030               C021300700028 
    3.0      16.5       17.5       0.240      0.050               C021300700029 
    3.0      17.5       18.5       0.233      0.042               C021300700030 
    3.0      18.5       19.5       0.206      0.043               C021300700031 
    3.0      19.5       20.5       0.169      0.046               C021300700032 
    3.0      20.5       21.5       0.257      0.047               C021300700033 
    3.0      21.5       22.5       0.209      0.051               C021300700034 
    3.0      22.5       23.5       0.399      0.053               C021300700035 
    3.0      23.5       24.5       0.298      0.061               C021300700036 
    3.0      25.0       26.0       0.372      0.029               C021300700037 
    3.0      26.0       27.0       0.360      0.027               C021300700038 
    3.0      27.0       28.0       0.390      0.028               C021300700039 
    3.0      28.0       29.0       0.339      0.028               C021300700040 
    3.0      29.0       30.0       0.405      0.029               C021300700041 
    3.0      30.0       31.0       0.335      0.029               C021300700042 
    3.0      31.0       32.0       0.379      0.029               C021300700043 
    3.0      31.5       32.5       0.370      0.031               C021300700044 
    3.0      32.0       33.0       0.374      0.032               C021300700045 
    3.0      32.5       33.5       0.372      0.025               C021300700046 
    3.0      33.5       34.5       0.374      0.021               C021300700047 
    3.0      34.5       35.5       0.346      0.023               C021300700048 
    3.0      35.5       36.5       0.381      0.023               C021300700049 
    3.0      36.5       37.5       0.329      0.024               C021300700050 
    3.0      37.5       38.5       0.317      0.025               C021300700051 
    3.0      38.5       39.5       0.365      0.025               C021300700052 
    3.0      39.5       40.5       0.343      0.029               C021300700053 
    5.0       7.0        8.0       0.077      0.056               C021300700054 
    5.0       8.0        9.0       0.062      0.039               C021300700055 
    5.0       9.0       10.0       0.174      0.038               C021300700056 
    5.0      10.0       11.0       0.216      0.024               C021300700057 
    5.0      11.0       12.0       0.144      0.032               C021300700058 
    5.0      12.0       13.0       0.223      0.030               C021300700059 
    5.0      13.0       14.0       0.221      0.027               C021300700060 
    5.0      14.0       15.0       0.253      0.027               C021300700061 
    5.0      15.0       16.0       0.248      0.026               C021300700062 
    5.0      15.5       16.5       0.213      0.035               C021300700063 
    5.0      16.0       17.0       0.265      0.034               C021300700064 
    5.0      16.5       17.5       0.284      0.025               C021300700065 
    5.0      17.5       18.5       0.208      0.022               C021300700066 
    5.0      18.5       19.5       0.250      0.022               C021300700067 
    5.0      19.5       20.5       0.311      0.023               C021300700068 
    5.0      20.5       21.5       0.296      0.025               C021300700069 
    5.0      21.5       22.5       0.321      0.026               C021300700070 
    5.0      22.5       23.5       0.372      0.027               C021300700071 
    5.0      23.5       24.5       0.407      0.030               C021300700072 
    5.0      25.0       26.0       0.389      0.022               C021300700073 
    5.0      26.0       27.0       0.377      0.020               C021300700074 
    5.0      27.0       28.0       0.397      0.019               C021300700075 
    5.0      28.0       29.0       0.382      0.020               C021300700076 
    5.0      29.0       30.0       0.395      0.020               C021300700077 
    5.0      30.0       31.0       0.403      0.020               C021300700078 
    5.0      31.0       32.0       0.390      0.021               C021300700079 
    5.0      32.0       33.0       0.390      0.022               C021300700080 
    5.0      32.5       33.5       0.421      0.026               C021300700081 
    5.0      33.5       34.5       0.407      0.020               C021300700082 
    5.0      34.5       35.5       0.380      0.019               C021300700083 
    5.0      35.5       36.5       0.404      0.019               C021300700084 
    5.0      36.5       37.5       0.433      0.019               C021300700085 
    5.0      37.5       38.5       0.359      0.019               C021300700086 
    5.0      38.5       39.5       0.426      0.020               C021300700087 
    5.0      39.5       40.5       0.395      0.021               C021300700088 
    5.0      40.5       41.5       0.385      0.025               C021300700089 
    7.0       7.0        8.0      -0.02       0.104               C021300700090 
    7.0       8.0        9.0       0.063      0.048               C021300700091 
    7.0       9.0       10.0       0.129      0.057               C021300700092 
    7.0      10.0       11.0       0.188      0.039               C021300700093 
    7.0      11.0       12.0       0.120      0.043               C021300700094 
    7.0      12.0       13.0       0.144      0.038               C021300700095 
    7.0      13.0       14.0       0.122      0.035               C021300700096 
    7.0      14.0       15.0       0.055      0.035               C021300700097 
    7.0      15.0       16.0       0.138      0.034               C021300700098 
    7.0      16.0       17.0       0.131      0.040               C021300700099 
    7.0      16.5       17.5       0.177      0.021               C021300700100 
    7.0      17.5       18.5       0.147      0.018               C021300700101 
    7.0      18.5       19.5       0.157      0.019               C021300700102 
    7.0      19.5       20.5       0.180      0.020               C021300700103 
    7.0      20.5       21.5       0.205      0.021               C021300700104 
    7.0      21.5       22.5       0.194      0.022               C021300700105 
    7.0      22.5       23.5       0.235      0.022               C021300700106 
    7.0      23.5       24.5       0.281      0.024               C021300700107 
    7.0      25.0       26.0       0.308      0.027               C021300700108 
    7.0      26.0       27.0       0.301      0.025               C021300700109 
    7.0      27.0       28.0       0.371      0.026               C021300700110 
    7.0      28.0       29.0       0.310      0.026               C021300700111 
    7.0      29.0       30.0       0.350      0.026               C021300700112 
    7.0      30.0       31.0       0.349      0.027               C021300700113 
    7.0      31.0       32.0       0.310      0.028               C021300700114 
    7.0      32.0       33.0       0.371      0.035               C021300700115 
    7.0      32.5       33.5       0.382      0.029               C021300700116 
    7.0      33.5       34.5       0.345      0.027               C021300700117 
    7.0      34.5       35.5       0.385      0.026               C021300700118 
    7.0      35.5       36.5       0.336      0.027               C021300700119 
    7.0      36.5       37.5       0.396      0.027               C021300700120 
    7.0      37.5       38.5       0.325      0.028               C021300700121 
    7.0      38.5       39.5       0.355      0.028               C021300700122 
    7.0      39.5       40.5       0.327      0.032               C021300700123 
    7.0      40.5       41.5       0.517      0.054               C021300700124 
    9.0       7.0        8.0       0.065      0.034               C021300700125 
    9.0       8.0        9.0       0.048      0.022               C021300700126 
    9.0       9.0       10.0       0.085      0.025               C021300700127 
