ENTRY            C1017   20040412                             0000C101700000001 
SUBENT        C1017001   20040412                             0000C101700100001 
BIB                 10         11                                 C101700100002 
INSTITUTE  (1USAROC)                                              C101700100003 
REFERENCE  (J,PR,115,389,195907)                                  C101700100004 
AUTHOR     (C.A.Preskitt,W.P.Alford)                              C101700100005 
TITLE      Elastic Scattering of Protons by Vanadium, Chromium,   C101700100006 
            Iron, and Cobalt                                      C101700100007 
FACILITY   (CYCLO,1USAROC)                                        C101700100008 
DETECTOR   (CSICR)                                                C101700100009 
MONITOR    (79-AU-197(P,EL)79-AU-197,,DA)                         C101700100010 
ERR-ANALYS (ERR-S) Statistical uncertainty.                       C101700100011 
STATUS     Data taken from tables in reference.                   C101700100012 
  4.43      90.        0.795                                      C101700300068 
  4.43      95.        0.765                                      C101700300069 
  4.43     100.        0.780                                      C101700300070 
  4.43     105.        0.820                                      C101700300071 
  4.43     110.        0.845                                      C101700300072 
  4.43     115.        0.900                                      C101700300073 
  4.43     120.        0.975                                      C101700300074 
  4.43     125.        0.990                                      C101700300075 
  4.43     130.        1.045                                      C101700300076 
  4.43     135.        1.135                                      C101700300077 
  4.43     140.        1.165                                      C101700300078 
  4.43     145.        1.245                                      C101700300079 
  4.43     150.        1.265                                      C101700300080 
  4.43     155.        1.355                                      C101700300081 
  4.90      30.        1.020                                      C101700300082 
  4.90      35.        0.980                                      C101700300083 
  4.90      40.        1.005                                      C101700300084 
  4.90      45.        0.985                                      C101700300085 
  4.90      50.        1.005                                      C101700300086 
  4.90      55.        1.050                                      C101700300087 
  4.90      60.        1.000                                      C101700300088 
  4.90      65.        0.950                                      C101700300089 
  4.90      70.        0.870                                      C101700300090 
  4.90      75.        0.815                                      C101700300091 
  4.90      80.        0.760                                      C101700300092 
  4.90      90.        0.735                                      C101700300093 
  4.90      95.        0.770                                      C101700300094 
  4.90     100.        0.815                                      C101700300095 
  4.90     110.        0.905                                      C101700300096 
  4.90     115.        0.955                                      C101700300097 
  4.90     120.        1.050                                      C101700300098 
  4.90     130.        1.165                                      C101700300099 
  4.90     135.        1.230                                      C101700300100 
  4.90     140.        1.290                                      C101700300101 
  4.90     150.        1.365                                      C101700300102 
  4.90     155.        1.460                                      C101700300103 
  4.90     160.        1.500                                      C101700300104 
  5.12      20.        1.000                                      C101700300105 
  5.12      25.        0.985                                      C101700300106 
  5.12      30.        0.990                                      C101700300107 
  5.12      35.        1.000                                      C101700300108 
  5.12      40.        1.010                                      C101700300109 
  5.12      45.        1.085                                      C101700300110 
  5.12      50.        1.130                                      C101700300111 
  5.12      55.        1.115                                      C101700300112 
  5.12      60.        1.100                                      C101700300113 
  5.12      65.        1.050                                      C101700300114 
  5.12      70.        0.950                                      C101700300115 
  5.12      80.        0.900                                      C101700300116 
  5.12      85.        0.850                                      C101700300117 
  5.12      90.        0.865                                      C101700300118 
  5.12      95.        0.870                                      C101700300119 
  5.12     100.        0.945                                      C101700300120 
  5.12     110.        1.065                                      C101700300121 
  5.12     115.        1.115                                      C101700300122 
  5.12     120.        1.320                                      C101700300123 
  5.12     125.        1.350                                      C101700300124 
  5.12     130.        1.575                                      C101700300125 
  5.12     135.        1.685                                      C101700300126 
  5.12     140.        1.850                                      C101700300127 
  5.12     145.        1.960                                      C101700300128 
  5.12     150.        2.035                                      C101700300129 
  5.12     155.        2.145                                      C101700300130 
  5.12     160.        2.230                                      C101700300131 
  5.12     165.        2.380                                      C101700300132 
  5.24      15.        0.995                                      C101700300133 
  5.24      20.        1.010                                      C101700300134 
  5.24      25.        0.990                                      C101700300135 
  5.24      30.        1.013                                      C101700300136 
  5.24      35.        1.060                                      C101700300137 
  5.24      40.        1.130                                      C101700300138 
  5.24      45.        1.195                                      C101700300139 
  5.24      50.        1.185                                      C101700300140 
  5.24      55.        1.180                                      C101700300141 
  5.24      60.        1.100                                      C101700300142 
  5.24      65.        1.045                                      C101700300143 
  5.24      70.        0.980                                      C101700300144 
  5.24      75.        0.885                                      C101700300145 
  5.24      80.        0.810                                      C101700300146 
  5.24      85.        0.775                                      C101700300147 
  5.24      90.        0.735                                      C101700300148 
  5.24      95.        0.750                                      C101700300149 
  5.24     100.        0.830                                      C101700300150 
  5.24     110.        0.980                                      C101700300151 
  5.24     120.        1.085                                      C101700300152 
  5.24     125.        1.135                                      C101700300153 
  5.24     130.        1.260                                      C101700300154 
  5.24     140.        1.350                                      C101700300155 
  5.24     145.        1.470                                      C101700300156 
  5.24     150.        1.515                                      C101700300157 
  5.24     155.        1.575                                      C101700300158 
  5.24     160.        1.685                                      C101700300159 
  5.52      20.        1.005                                      C101700300160 
  5.52      25.        0.985                                      C101700300161 
  5.52      30.        1.005                                      C101700300162 
  5.52      35.        1.030                                      C101700300163 
  5.52      40.        1.080                                      C101700300164 
  5.52      45.        1.155                                      C101700300165 
  5.52      50.        1.155                                      C101700300166 
  5.52      55.        1.100                                      C101700300167 
  5.52      60.        1.045                                      C101700300168 
  5.52      65.        1.000                                      C101700300169 
  5.52      75.        0.910                                      C101700300170 
  5.52      80.        0.895                                      C101700300171 
  5.52      85.        0.880                                      C101700300172 
  5.52      90.        0.885                                      C101700300173 
  5.52      95.        0.945                                      C101700300174 
  5.52     105.        1.065                                      C101700300175 
  5.52     115.        1.325                                      C101700300176 
  5.52     125.        1.565                                      C101700300177 
  5.52     130.        1.655                                      C101700300178 
  5.52     135.        1.820                                      C101700300179 
  5.52     140.        1.965                                      C101700300180 
  5.52     145.        2.190                                      C101700300181 
  5.52     155.        2.355                                      C101700300182 
  5.52     160.        2.490                                      C101700300183 
  5.84      15.        0.980                                      C101700300184 
  5.84      20.        1.005                                      C101700300185 
  5.84      25.        0.980                                      C101700300186 
  5.84      30.        0.995                                      C101700300187 
  5.84      35.        1.090                                      C101700300188 
  5.84      40.        1.145                                      C101700300189 
  5.84      45.        1.135                                      C101700300190 
  5.84      50.        1.150                                      C101700300191 
  5.84      55.        1.085                                      C101700300192 
  5.84      60.        1.010                                      C101700300193 
  5.84      70.        0.885                                      C101700300194 
  5.84      75.        0.775                                      C101700300195 
  5.84      80.        0.730                                      C101700300196 
  5.84      85.        0.695                                      C101700300197 
  5.84      90.        0.710                                      C101700300198 
  5.84      95.        0.780                                      C101700300199 
  5.84     105.        0.950                                      C101700300200 
  5.84     110.        1.000                                      C101700300201 
  5.84     115.        1.105                                      C101700300202 
  5.84     120.        1.145                                      C101700300203 
  5.84     130.        1.325                                      C101700300204 
  5.84     140.        1.405                                      C101700300205 
  5.84     150.        1.570                                      C101700300206 
  5.84     155.        1.600                                      C101700300207 
  5.84     160.        1.630                                      C101700300208 
  6.17      20.        1.000                                      C101700300209 
  6.17      25.        0.990                                      C101700300210 
  6.17      30.        1.015                                      C101700300211 
  6.17      35.        1.015                                      C101700300212 
  6.17      40.        1.070                                      C101700300213 
  6.17      45.        1.115                                      C101700300214 
  6.17      50.        1.100                                      C101700300215 
  6.17      55.        1.070                                      C101700300216 
  6.17      60.        1.020                                      C101700300217 
  6.17      65.        0.900                                      C101700300218 
  6.17      70.        0.865                                      C101700300219 
  6.17      80.        0.700                                      C101700300220 
  6.17      85.        0.675                                      C101700300221 
  6.17      90.        0.670                                      C101700300222 
  6.17      95.        0.770                                      C101700300223 
  6.17     100.        0.815                                      C101700300224 
  6.17     105.        0.940                                      C101700300225 
  6.17     115.        1.185                                      C101700300226 
  6.17     120.        1.295                                      C101700300227 
  6.17     125.        1.485                                      C101700300228 
  6.17     130.        1.600                                      C101700300229 
  6.17     140.        1.780                                      C101700300230 
  6.17     145.        1.855                                      C101700300231 
  6.17     150.        1.975                                      C101700300232 
  6.17     155.        2.005                                      C101700300233 
  6.17     160.        2.090                                      C101700300234 
  6.41      20.        0.993                                      C101700300235 
  6.41      25.        1.000                                      C101700300236 
  6.41      30.        1.020                                      C101700300237 
  6.41      35.        0.985                                      C101700300238 
  6.41      40.        1.045                                      C101700300239 
  6.41      45.        1.080                                      C101700300240 
  6.41      50.        1.035                                      C101700300241 
  6.41      55.        0.985                                      C101700300242 
  6.41      65.        0.850                                      C101700300243 
  6.41      70.        0.750                                      C101700300244 
  6.41      75.        0.690                                      C101700300245 
  6.41      80.        0.605                                      C101700300246 
  6.41      85.        0.565                                      C101700300247 
  6.41      90.        0.595                                      C101700300248 
  6.41      95.        0.665                                      C101700300249 
  6.41     105.        0.845                                      C101700300250 
  6.41     110.        0.965                                      C101700300251 
  6.41     115.        1.075                                      C101700300252 
  6.41     125.        1.275                                      C101700300253 
  6.41     135.        1.425                                      C101700300254 
  6.41     140.        1.445                                      C101700300255 
  6.41     145.        1.490                                      C101700300256 
  6.41     150.        1.510                                      C101700300257 
  6.41     155.        1.560                                      C101700300258 
ENDDATA            251          0                                 C101700300259 
ENDSUBENT          258          0                                 C101700399999 
SUBENT        C1017004   20040412                             0000C101700400001 
