ENTRY            C0030   20020213                             0000C003000000001 
SUBENT        C0030001   20020213                             0000C003000100001 
BIB                  7         13                                 C003000100002 
INSTITUTE  (1USAKTY)                                              C003000100003 
REFERENCE  (J,NP/A,192,609,1972)                                  C003000100004 
           (W,WEIL,19781122) Preprint of article                  C003000100005 
AUTHOR     (R.L.Schulte,M.Cosack,A.W.Obst,J.L.Weil)               C003000100006 
TITLE      2H+d Reactions from 1.96 to 6.20 MeV                   C003000100007 
FACILITY   (VDG)                                                  C003000100008 
ERR-ANALYS (EN-ERR) Repeated calibrations of the analyzing        C003000100009 
           magnet showed an uncertainty in beam energy of         C003000100010 
           +-4 keV at 2.5 MeV and +-9.5 keV at 6.2 MeV.           C003000100011 
HISTORY    (19781122C)TWB                                         C003000100012 
           (19800305A)TWB                                         C003000100013 
           (19960222A) STATUS added, converted to lower case.     C003000100014 
           (20020213A) Converted to new date formats.             C003000100015 
ENDBIB              13          0                                 C003000100016 
NOCOMMON             0          0                                 C003000100017 
ENDSUBENT           16          0                                 C003000199999 
SUBENT        C0030002   20020213                             0000C003000200001 
BIB                  6         17                                 C003000200002 
REACTION  1(1-H-2(D,P)1-H-3,,DA,T)                                C003000200003 
          2(1-H-2(D,P)1-H-3,,DA)                                  C003000200004 
SAMPLE     38 cm diameter scattering chamber with 10 to 15 Torr ofC003000200005 
           D2 gas (99.5% PURE)                                    C003000200006 
METHOD     (EDE)                                                  C003000200007 
DETECTOR   (SOLST) Except at angles where the He3 particles and   C003000200008 
           the elastically scattered deuterons had about the same C003000200009 
           energy, two silicon surface-barrier detectors of 700   C003000200010 
           micrometer depletion depth each were used.  at these   C003000200011 
           angles a 10 micrometer silicon transmission detector   C003000200012 
           was employed to separate the He3 and D groups.         C003000200013 
ERR-ANALYS (DATA-ERR) Includes uncertainties due to statistics,   C003000200014 
           calculation of the geometry factor, the energy         C003000200015 
           uncertainty, uncertainty of the angular position,      C003000200016 
           charge collection and integration, gas pressure, and   C003000200017 
           in and out scattering between target and detector.     C003000200018 
STATUS     Data taken from tables in preprint                     C003000200019 
ENDBIB              17          0                                 C003000200020 
COMMON               2          3                                 C003000200021 
DATA-ERR  1DATA-ERR  2                                            C003000200022 
PER-CENT   PER-CENT                                               C003000200023 
 2.8        3.0                                                   C003000200024 
ENDCOMMON            3          0                                 C003000200025 
DATA                 5        190                                 C003000200026 
EN         EN-ERR     ANG        DATA      1DATA      2           C003000200027 
MEV        KEV        ADEG       MB/SR      MB/SR                 C003000200028 
 2.51       4.0        10.        0.050      0.012                C003000700024 
 3.02       4.5         0.        0.397      0.005                C003000700025 
 3.02       4.5         2.        0.638      0.024                C003000700026 
 3.02       4.5         4.        0.487      0.034                C003000700027 
 3.02       4.5         6.        0.313      0.035                C003000700028 
 3.02       4.5         8.        0.157      0.027                C003000700029 
 3.02       4.5        10.        0.043      0.015                C003000700030 
 3.50       5.0         0.        0.357      0.003                C003000700031 
 3.50       5.0         2.        0.533      0.013                C003000700032 
 3.50       5.0         4.        0.389      0.020                C003000700033 
 3.50       5.0         6.        0.257      0.020                C003000700034 
 3.50       5.0         8.        0.124      0.016                C003000700035 
 3.50       5.0        10.        0.037      0.009                C003000700036 
 4.00       5.7         0.        0.327      0.002                C003000700037 
 4.00       5.7         2.        0.455      0.011                C003000700038 
 4.00       5.7         4.        0.293      0.016                C003000700039 
 4.00       5.7         6.        0.181      0.016                C003000700040 
 4.00       5.7         8.        0.084      0.013                C003000700041 
 4.00       5.7        10.        0.020      0.007                C003000700042 
 4.50       6.4         0.        0.304      0.002                C003000700043 
 4.50       6.4         2.        0.407      0.007                C003000700044 
 4.50       6.4         4.        0.248      0.010                C003000700045 
 4.50       6.4         6.        0.159      0.010                C003000700046 
 4.50       6.4         8.        0.075      0.008                C003000700047 
 4.50       6.4        10.        0.021      0.005                C003000700048 
 5.00       7.2         0.        0.282      0.001                C003000700049 
 5.00       7.2         2.        0.338      0.004                C003000700050 
 5.00       7.2         4.        0.172      0.005                C003000700051 
 5.00       7.2         6.        0.092      0.005                C003000700052 
 5.00       7.2         8.        0.036      0.003                C003000700053 
 5.50       8.1         0.        0.267      0.001                C003000700054 
 5.50       8.1         2.        0.311      0.005                C003000700055 
 5.50       8.1         4.        0.149      0.007                C003000700056 
 5.50       8.1         6.        0.079      0.007                C003000700057 
 5.50       8.1         8.        0.030      0.004                C003000700058 
 5.80       8.7         0.        0.257      0.001                C003000700059 
 5.80       8.7         2.        0.300      0.006                C003000700060 
 5.80       8.7         4.        0.137      0.008                C003000700061 
 5.80       8.7         6.        0.068      0.008                C003000700062 
 5.80       8.7         8.        0.030      0.005                C003000700063 
 6.20       9.5         0.        0.248      0.001                C003000700064 
 6.20       9.5         2.        0.278      0.004                C003000700065 
 6.20       9.5         4.        0.118      0.006                C003000700066 
 6.20       9.5         6.        0.056      0.006                C003000700067 
 6.20       9.5         8.        0.019      0.004                C003000700068 
ENDDATA             58          0                                 C003000700069 
ENDSUBENT           68          0                                 C003000799999 
SUBENT        C0030008   20020213                             0000C003000800001 
BIB                  6         16                                 C003000800002 
REACTION   (1-H-2(D,EL)1-H-2,,DA)                                 C003000800003 
SAMPLE     38 cm diameter scattering chamber with 10 to 15 Torr ofC003000800004 
           D2 gas (99.5% pure)                                    C003000800005 
METHOD     (EDE)                                                  C003000800006 
DETECTOR   (SOLST) except at angles where the he3 particles and   C003000800007 
           the elastically scattered deuterons had about the same C003000800008 
           energy, two silicon surface-barrier detectors of 700   C003000800009 
           micrometer depletion depth each were used.  At these   C003000800010 
           angles a 10 micrometer silicon transmission detector   C003000800011 
           was employed to separate the He3 and D groups.         C003000800012 
ERR-ANALYS (DATA-ERR) Includes uncertainties due to statistics,   C003000800013 
           calculation of the geometry factor, the energy         C003000800014 
           uncertainty, uncertainty of the angular position,      C003000800015 
           charge collection and integration, gas pressure, and   C003000800016 
           in and out scattering between target and detector.     C003000800017 
STATUS     Data taken from tables in preprint.                    C003000800018 
ENDBIB              16          0                                 C003000800019 
COMMON               1          3                                 C003000800020 
DATA-ERR                                                          C003000800021 
PER-CENT                                                          C003000800022 
 2.5                                                              C003000800023 
ENDCOMMON            3          0                                 C003000800024 
DATA                 4        189                                 C003000800025 
EN         EN-ERR     ANG        DATA                             C003000800026 
MEV        KEV        ADEG       MB/SR                            C003000800027 
 1.96       3.6        12.5       4.999                           C003000800028 
 1.96       3.6        15.0       3.259                           C003000800029 
 1.96       3.6        17.5       2.435                           C003000800030 
 1.96       3.6        20.0       1.915                           C003000800031 
 1.96       3.6        22.5       1.581                           C003000800032 
 1.96       3.6        25.0       1.341                           C003000800033 
 1.96       3.6        27.5       1.171                           C003000800034 
 1.96       3.6        30.0       1.042                           C003000800035 
 1.96       3.6        32.5       0.926                           C003000800036 
 1.96       3.6        35.0       0.842                           C003000800037 
 1.96       3.6        37.5       0.774                           C003000800038 
 1.96       3.6        40.0       0.722                           C003000800039 
 1.96       3.6        42.5       0.672                           C003000800040 
 1.96       3.6        45.0       0.649                           C003000800041 
 1.96       3.6        47.5       0.621                           C003000800042 
 1.96       3.6        50.0       0.602                           C003000800043 
 1.96       3.6        52.5       0.601                           C003000800044 
 1.96       3.6        55.0       0.592                           C003000800045 
 1.96       3.6        57.5       0.606                           C003000800046 
 1.96       3.6        60.0       0.603                           C003000800047 
 1.96       3.6        62.5       0.637                           C003000800048 
 1.96       3.6        65.0       0.655                           C003000800049 
 2.51       4.0        12.5       3.883                           C003000800050 
 2.51       4.0        15.0       2.761                           C003000800051 
 2.51       4.0        17.5       2.127                           C003000800052 
 2.51       4.0        20.0       1.707                           C003000800053 
 2.51       4.0        22.5       1.459                           C003000800054 
 2.51       4.0        25.0       1.237                           C003000800055 
 2.51       4.0        27.5       1.108                           C003000800056 
 2.51       4.0        30.0       0.980                           C003000800057 
 2.51       4.0        32.5       0.867                           C003000800058 
 2.51       4.0        35.0       0.787                           C003000800059 
 2.51       4.0        37.5       0.717                           C003000800060 
 2.51       4.0        40.0       0.663                           C003000800061 
 2.51       4.0        42.5       0.614                           C003000800062 
 2.51       4.0        45.0       0.585                           C003000800063 
 2.51       4.0        47.5       0.549                           C003000800064 
 2.51       4.0        50.0       0.541                           C003000800065 
 2.51       4.0        52.5       0.526                           C003000800066 
 2.51       4.0        55.0       0.532                           C003000800067 
 2.51       4.0        57.5       0.550                           C003000800068 
 2.51       4.0        60.0       0.550                           C003000800069 
 2.51       4.0        62.5       0.563                           C003000800070 
 3.02       4.5        12.5       3.328                           C003000800071 
 3.02       4.5        15.0       2.428                           C003000800072 
 3.02       4.5        17.5       1.909                           C003000800073 
 3.02       4.5        20.0       1.595                           C003000800074 
 3.02       4.5        22.5       1.361                           C003000800075 
 3.02       4.5        25.0       1.138                           C003000800076 
 3.02       4.5        27.5       1.040                           C003000800077 
 3.02       4.5        30.0       0.888                           C003000800078 
 3.02       4.5        32.5       0.825                           C003000800079 
 3.02       4.5        35.0       0.744                           C003000800080 
 3.02       4.5        37.5       0.676                           C003000800081 
 3.02       4.5        40.0       0.629                           C003000800082 
 3.02       4.5        42.5       0.586                           C003000800083 
 3.02       4.5        45.0       0.562                           C003000800084 
 3.02       4.5        47.5       0.528                           C003000800085 
 3.02       4.5        50.0       0.514                           C003000800086 
 3.02       4.5        52.5       0.493                           C003000800087 
 3.02       4.5        55.0       0.491                           C003000800088 
 3.02       4.5        57.5       0.496                           C003000800089 
 3.02       4.5        60.0       0.518                           C003000800090 
 3.5        5.0        12.5       2.869                           C003000800091 
 3.5        5.0        15.0       2.148                           C003000800092 
 3.5        5.0        17.5       1.710                           C003000800093 
 3.5        5.0        20.0       1.456                           C003000800094 
 3.5        5.0        22.5       1.241                           C003000800095 
 3.5        5.0        25.0       1.048                           C003000800096 
 3.5        5.0        27.5       0.946                           C003000800097 
 3.5        5.0        30.0       0.872                           C003000800098 
 3.5        5.0        32.5       0.757                           C003000800099 
 3.5        5.0        35.0       0.700                           C003000800100 
 3.5        5.0        37.5       0.625                           C003000800101 
 3.5        5.0        40.0       0.585                           C003000800102 
 3.5        5.0        42.5       0.537                           C003000800103 
 3.5        5.0        45.0       0.516                           C003000800104 
 3.5        5.0        47.5       0.493                           C003000800105 
 3.5        5.0        50.0       0.493                           C003000800106 
 3.5        5.0        52.5       0.476                           C003000800107 
 3.5        5.0        55.0       0.483                           C003000800108 
 3.5        5.0        57.0       0.484                           C003000800109 
 4.0        5.7        12.5       2.556                           C003000800110 
 4.0        5.7        15.0       2.039                           C003000800111 
 4.0        5.7        17.5       1.604                           C003000800112 
 4.0        5.7        20.0       1.400                           C003000800113 
 4.0        5.7        22.5       1.178                           C003000800114 
 4.0        5.7        25.0       1.056                           C003000800115 
 4.0        5.7        27.5       0.906                           C003000800116 
 4.0        5.7        30.0       0.815                           C003000800117 
 4.0        5.7        32.5       0.718                           C003000800118 
 4.0        5.7        35.0       0.648                           C003000800119 
 4.0        5.7        37.5       0.586                           C003000800120 
 4.0        5.7        40.0       0.548                           C003000800121 
 4.0        5.7        42.5       0.507                           C003000800122 
 4.0        5.7        45.0       0.486                           C003000800123 
 4.0        5.7        47.5       0.466                           C003000800124 
 4.0        5.7        50.0       0.451                           C003000800125 
 4.0        5.7        52.5       0.449                           C003000800126 
 4.0        5.7        55.0       0.452                           C003000800127 
 4.5        6.4        12.5       2.328                           C003000800128 
 4.5        6.4        15.0       1.845                           C003000800129 
 4.5        6.4        17.5       1.515                           C003000800130 
 4.5        6.4        20.0       1.317                           C003000800131 
 4.5        6.4        22.5       1.126                           C003000800132 
 4.5        6.4        25.0       0.997                           C003000800133 
 4.5        6.4        27.5       0.873                           C003000800134 
 4.5        6.4        30.0       0.778                           C003000800135 
 4.5        6.4        32.5       0.689                           C003000800136 
 4.5        6.4        35.0       0.619                           C003000800137 
 4.5        6.4        37.5       0.561                           C003000800138 
 4.5        6.4        40.0       0.514                           C003000800139 
 4.5        6.4        42.5       0.473                           C003000800140 
 4.5        6.4        45.0       0.460                           C003000800141 
 4.5        6.4        47.5       0.439                           C003000800142 
 4.5        6.4        50.0       0.430                           C003000800143 
 4.5        6.4        52.5       0.425                           C003000800144 
 4.5        6.4        55.0       0.436                           C003000800145 
 5.0        7.2        12.5       2.119                           C003000800146 
 5.0        7.2        15.0       1.735                           C003000800147 
 5.0        7.2        17.5       1.442                           C003000800148 
 5.0        7.2        20.0       1.252                           C003000800149 
 5.0        7.2        22.5       1.094                           C003000800150 
 5.0        7.2        25.0       0.960                           C003000800151 
 5.0        7.2        27.5       0.846                           C003000800152 
 5.0        7.2        30.0       0.752                           C003000800153 
 5.0        7.2        32.5       0.666                           C003000800154 
 5.0        7.2        35.0       0.597                           C003000800155 
 5.0        7.2        37.5       0.540                           C003000800156 
 5.0        7.2        40.0       0.496                           C003000800157 
 5.0        7.2        42.5       0.465                           C003000800158 
 5.0        7.2        45.0       0.449                           C003000800159 
 5.0        7.2        47.5       0.424                           C003000800160 
 5.0        7.2        50.0       0.426                           C003000800161 
 5.0        7.2        52.5       0.418                           C003000800162 
 5.0        7.2        55.0       0.409                           C003000800163 
 5.5        8.1        12.5       1.984                           C003000800164 
 5.5        8.1        15.0       1.618                           C003000800165 
 5.5        8.1        17.5       1.368                           C003000800166 
 5.5        8.1        20.0       1.205                           C003000800167 
 5.5        8.1        22.5       1.051                           C003000800168 
 5.5        8.1        25.0       0.918                           C003000800169 
 5.5        8.1        27.5       0.808                           C003000800170 
 5.5        8.1        30.0       0.716                           C003000800171 
 5.5        8.1        32.5       0.644                           C003000800172 
 5.5        8.1        35.0       0.570                           C003000800173 
 5.5        8.1        37.5       0.516                           C003000800174 
 5.5        8.1        40.0       0.473                           C003000800175 
 5.5        8.1        42.5       0.439                           C003000800176 
 5.5        8.1        45.0       0.425                           C003000800177 
 5.5        8.1        47.5       0.420                           C003000800178 
 5.5        8.1        50.0       0.401                           C003000800179 
 5.5        8.1        52.5       0.394                           C003000800180 
 5.5        8.1        55.0       0.397                           C003000800181 
 5.8        8.7        12.5       1.893                           C003000800182 
 5.8        8.7        15.0       1.596                           C003000800183 
 5.8        8.7        17.5       1.339                           C003000800184 
 5.8        8.7        20.0       1.174                           C003000800185 
 5.8        8.7        22.5       1.021                           C003000800186 
 5.8        8.7        25.0       0.897                           C003000800187 
 5.8        8.7        27.5       0.785                           C003000800188 
 5.8        8.7        30.0       0.694                           C003000800189 
 5.8        8.7        32.5       0.614                           C003000800190 
 5.8        8.7        35.0       0.553                           C003000800191 
 5.8        8.7        37.5       0.499                           C003000800192 
 5.8        8.7        40.0       0.462                           C003000800193 
 5.8        8.7        42.5       0.419                           C003000800194 
 5.8        8.7        45.0       0.416                           C003000800195 
 5.8        8.7        47.5       0.405                           C003000800196 
 5.8        8.7        50.0       0.380                           C003000800197 
 5.8        8.7        52.5       0.375                           C003000800198 
 5.8        8.7        55.0       0.365                           C003000800199 
 6.2        9.4        12.5       1.834                           C003000800200 
 6.2        9.4        15.0       1.508                           C003000800201 
 6.2        9.4        17.5       1.313                           C003000800202 
 6.2        9.4        20.0       1.143                           C003000800203 
 6.2        9.4        22.5       0.994                           C003000800204 
 6.2        9.4        25.0       0.875                           C003000800205 
 6.2        9.4        27.5       0.771                           C003000800206 
 6.2        9.4        30.0       0.671                           C003000800207 
 6.2        9.4        32.5       0.600                           C003000800208 
 6.2        9.4        35.0       0.540                           C003000800209 
 6.2        9.4        37.5       0.489                           C003000800210 
 6.2        9.4        40.0       0.448                           C003000800211 
 6.2        9.4        42.5       0.426                           C003000800212 
 6.2        9.4        45.0       0.401                           C003000800213 
 6.2        9.4        47.5       0.375                           C003000800214 
 6.2        9.4        50.0       0.381                           C003000800215 
 6.2        9.4        52.5       0.381                           C003000800216 
ENDDATA            191          0                                 C003000800217 
ENDSUBENT          216          0                                 C003000899999 
SUBENT        C0030009   20020213                             0000C003000900001 
BIB                  6         16                                 C003000900002 
REACTION   (1-H-2(D,N)2-HE-3,,DA,HE3)                             C003000900003 
SAMPLE     38 cm diameter scattering chamber with 10 to 15 Torr ofC003000900004 
           D2 gas (99.5% pure)                                    C003000900005 
METHOD     (ASSOP,EDE)                                            C003000900006 
DETECTOR   (SOLST) except at angles where the He3 particles and   C003000900007 
           the elastically scattered deuterons had about the same C003000900008 
           energy, two silicon surface-barrier detectors of 700   C003000900009 
           micrometer depletion depth each were used.  At these   C003000900010 
           angles a 10 micrometer silicon transmission detector   C003000900011 
           was employed to separate the He3 and D groups.         C003000900012 
ERR-ANALYS (DATA-ERR) Includes uncertainties due to statistics,   C003000900013 
           calculation of the geometry factor, the energy         C003000900014 
           uncertainty, uncertainty of the angular position,      C003000900015 
           charge collection and integration, gas pressure, and   C003000900016 
           in and out scattering between target and detector.     C003000900017 
STATUS     Data taken from tables in article.                     C003000900018 
ENDBIB              16          0                                 C003000900019 
COMMON               1          3                                 C003000900020 
DATA-ERR                                                          C003000900021 
PER-CENT                                                          C003000900022 
 3.4                                                              C003000900023 
ENDCOMMON            3          0                                 C003000900024 
DATA                 4        189                                 C003000900025 
EN         EN-ERR     ANG        DATA                             C003000900026 
MEV        KEV        ADEG       MB/SR                            C003000900027 
 1.96       3.6        12.5       59.18                           C003000900028 
 1.96       3.6        15.0       51.48                           C003000900029 
 1.96       3.6        17.5       42.79                           C003000900030 
 1.96       3.6        20.0       35.61                           C003000900031 
 1.96       3.6        22.5       28.22                           C003000900032 
 1.96       3.6        25.0       23.46                           C003000900033 
 1.96       3.6        27.5       19.75                           C003000900034 
 1.96       3.6        30.0       17.20                           C003000900035 
 1.96       3.6        32.5       15.14                           C003000900036 
 1.96       3.6        35.0       14.38                           C003000900037 
 1.96       3.6        37.5       13.79                           C003000900038 
 1.96       3.6        40.0       13.32                           C003000900039 
 1.96       3.6        42.5       13.16                           C003000900040 
 1.96       3.6        45.0       13.00                           C003000900041 
 1.96       3.6        47.5       12.58                           C003000900042 
 1.96       3.6        50.0       12.59                           C003000900043 
 1.96       3.6        52.5       11.92                           C003000900044 
 1.96       3.6        55.0       11.10                           C003000900045 
 1.96       3.6        57.5       10.46                           C003000900046 
 1.96       3.6        60.0        9.42                           C003000900047 
 1.96       3.6        62.5        8.74                           C003000900048 
 1.96       3.6        65.0        8.10                           C003000900049 
 1.96       3.6        67.5        7.48                           C003000900050 
 2.51       4.0        12.5       65.21                           C003000900051 
 2.51       4.0        15.0       55.99                           C003000900052 
 2.51       4.0        17.5       43.81                           C003000900053 
 2.51       4.0        20.0       34.07                           C003000900054 
 2.51       4.0        22.5       27.01                           C003000900055 
 2.51       4.0        25.0       21.08                           C003000900056 
 2.51       4.0        27.5       18.26                           C003000900057 
 2.51       4.0        30.0       15.77                           C003000900058 
 2.51       4.0        32.5       14.67                           C003000900059 
 2.51       4.0        35.0       15.03                           C003000900060 
 2.51       4.0        37.5       15.19                           C003000900061 
 2.51       4.0        40.0       15.82                           C003000900062 
 2.51       4.0        42.5       16.27                           C003000900063 
 2.51       4.0        45.0       15.40                           C003000900064 
 2.51       4.0        47.5       14.70                           C003000900065 
 2.51       4.0        50.0       14.00                           C003000900066 
 2.51       4.0        52.5       13.03                           C003000900067 
 2.51       4.0        55.0       11.83                           C003000900068 
 2.51       4.0        57.5       10.44                           C003000900069 
 2.51       4.0        60.0        9.24                           C003000900070 
 2.51       4.0        62.5        8.16                           C003000900071 
 3.02       4.5        12.5       70.65                           C003000900072 
 3.02       4.5        15.0       56.21                           C003000900073 
 3.02       4.5        17.5       42.29                           C003000900074 
 3.02       4.5        20.0       32.06                           C003000900075 
 3.02       4.5        22.5       23.99                           C003000900076 
 3.02       4.5        25.0       18.67                           C003000900077 
 3.02       4.5        27.5       16.28                           C003000900078 
 3.02       4.5        30.0       14.80                           C003000900079 
 3.02       4.5        32.5       15.47                           C003000900080 
 3.02       4.5        35.0       16.32                           C003000900081 
 3.02       4.5        37.5       17.42                           C003000900082 
 3.02       4.5        40.0       17.42                           C003000900083 
 3.02       4.5        42.5       17.72                           C003000900084 
 3.02       4.5        45.0       16.84                           C003000900085 
 3.02       4.5        47.5       16.38                           C003000900086 
 3.02       4.5        50.0       15.55                           C003000900087 
 3.02       4.5        52.5       13.73                           C003000900088 
 3.02       4.5        55.0       12.27                           C003000900089 
 3.02       4.5        57.5       10.33                           C003000900090 
 3.02       4.5        60.0        9.08                           C003000900091 
 3.5        5.0        12.5       73.76                           C003000900092 
 3.5        5.0        15.0       52.63                           C003000900093 
 3.5        5.0        17.5       37.26                           C003000900094 
 3.5        5.0        20.0       28.82                           C003000900095 
 3.5        5.0        22.5       19.55                           C003000900096 
 3.5        5.0        25.0       15.79                           C003000900097 
 3.5        5.0        27.5       14.15                           C003000900098 
 3.5        5.0        30.0       15.16                           C003000900099 
 3.5        5.0        32.5       15.55                           C003000900100 
 3.5        5.0        35.0       17.28                           C003000900101 
 3.5        5.0        37.5       18.38                           C003000900102 
 3.5        5.0        40.0       19.99                           C003000900103 
 3.5        5.0        42.5       19.11                           C003000900104 
 3.5        5.0        45.0       18.81                           C003000900105 
 3.5        5.0        47.5       17.37                           C003000900106 
 3.5        5.0        50.0       15.52                           C003000900107 
 3.5        5.0        52.5       13.76                           C003000900108 
 3.5        5.0        55.0       10.92                           C003000900109 
 3.5        5.0        57.0        8.49                           C003000900110 
 4.0        5.7        12.5       70.90                           C003000900111 
 4.0        5.7        15.0       54.15                           C003000900112 
 4.0        5.7        17.5       37.02                           C003000900113 
 4.0        5.7        20.0       25.24                           C003000900114 
 4.0        5.7        22.5       17.65                           C003000900115 
 4.0        5.7        25.0       14.32                           C003000900116 
 4.0        5.7        27.5       14.00                           C003000900117 
 4.0        5.7        30.0       15.26                           C003000900118 
 4.0        5.7        32.5       16.70                           C003000900119 
 4.0        5.7        35.0       18.51                           C003000900120 
 4.0        5.7        37.5       19.58                           C003000900121 
 4.0        5.7        40.0       21.20                           C003000900122 
 4.0        5.7        42.5       20.64                           C003000900123 
 4.0        5.7        45.0       19.55                           C003000900124 
 4.0        5.7        47.5       17.62                           C003000900125 
 4.0        5.7        50.0       16.00                           C003000900126 
 4.0        5.7        52.5       13.48                           C003000900127 
 4.0        5.7        55.0       10.41                           C003000900128 
 4.0        5.7        57.5        8.33                           C003000900129 
 4.5        6.4        12.5       72.01                           C003000900130 
 4.5        6.4        15.0       50.57                           C003000900131 
 4.5        6.4        17.5       33.54                           C003000900132 
 4.5        6.4        20.0       21.94                           C003000900133 
 4.5        6.4        22.5       15.60                           C003000900134 
 4.5        6.4        25.0       14.61                           C003000900135 
 4.5        6.4        27.5       13.81                           C003000900136 
 4.5        6.4        30.0       15.65                           C003000900137 
 4.5        6.4        32.5       17.82                           C003000900138 
 4.5        6.4        35.0       19.22                           C003000900139 
 4.5        6.4        37.5       21.70                           C003000900140 
 4.5        6.4        40.0       21.55                           C003000900141 
 4.5        6.4        42.5       21.50                           C003000900142 
 4.5        6.4        45.0       20.19                           C003000900143 
 4.5        6.4        47.5       19.06                           C003000900144 
 4.5        6.4        50.0       15.64                           C003000900145 
 4.5        6.4        52.5       12.17                           C003000900146 
 4.5        6.4        55.0        9.48                           C003000900147 
 5.0        7.2        12.5       71.06                           C003000900148 
 5.0        7.2        15.0       48.17                           C003000900149 
 5.0        7.2        17.5       31.27                           C003000900150 
 5.0        7.2        20.0       19.32                           C003000900151 
 5.0        7.2        22.5       14.07                           C003000900152 
 5.0        7.2        25.0       13.35                           C003000900153 
 5.0        7.2        27.5       13.79                           C003000900154 
 5.0        7.2        30.0       16.51                           C003000900155 
 5.0        7.2        32.5       18.74                           C003000900156 
 5.0        7.2        35.0       20.66                           C003000900157 
 5.0        7.2        37.5       22.56                           C003000900158 
 5.0        7.2        40.0       22.43                           C003000900159 
 5.0        7.2        42.5       22.04                           C003000900160 
 5.0        7.2        45.0       21.02                           C003000900161 
 5.0        7.2        47.5       17.87                           C003000900162 
 5.0        7.2        50.0       15.34                           C003000900163 
 5.0        7.2        52.5       11.83                           C003000900164 
 5.5        8.1        12.5       69.19                           C003000900165 
 5.5        8.1        15.0       45.92                           C003000900166 
 5.5        8.1        17.5       28.44                           C003000900167 
 5.5        8.1        20.0       16.97                           C003000900168 
 5.5        8.1        22.5       12.82                           C003000900169 
 5.5        8.1        25.0       12.14                           C003000900170 
 5.5        8.1        27.5       14.77                           C003000900171 
 5.5        8.1        30.0       16.64                           C003000900172 
 5.5        8.1        32.5       19.86                           C003000900173 
 5.5        8.1        35.0       21.84                           C003000900174 
 5.5        8.1        37.5       22.87                           C003000900175 
 5.5        8.1        40.0       22.73                           C003000900176 
 5.5        8.1        42.5       22.09                           C003000900177 
 5.5        8.1        45.0       19.45                           C003000900178 
 5.5        8.1        47.5       16.51                           C003000900179 
 5.5        8.1        50.0       14.03                           C003000900180 
 5.5        8.1        52.5       10.86                           C003000900181 
 5.5        8.1        55.0        9.25                           C003000900182 
 5.8        8.7        12.5       68.82                           C003000900183 
 5.8        8.7        15.0       44.78                           C003000900184 
 5.8        8.7        17.5       26.65                           C003000900185 
 5.8        8.7        20.0       15.96                           C003000900186 
 5.8        8.7        22.5       12.64                           C003000900187 
 5.8        8.7        25.0       12.18                           C003000900188 
 5.8        8.7        27.5       14.79                           C003000900189 
 5.8        8.7        30.0       17.27                           C003000900190 
 5.8        8.7        32.5       20.11                           C003000900191 
 5.8        8.7        35.0       21.93                           C003000900192 
 5.8        8.7        37.5       22.85                           C003000900193 
 5.8        8.7        40.0       22.95                           C003000900194 
 5.8        8.7        42.5       21.40                           C003000900195 
 5.8        8.7        45.0       19.56                           C003000900196 
 5.8        8.7        47.5       15.96                           C003000900197 
 5.8        8.7        50.0       13.26                           C003000900198 
 5.8        8.7        52.5       10.16                           C003000900199 
 6.2        9.4        12.5       66.67                           C003000900200 
 6.2        9.4        15.0       41.08                           C003000900201 
 6.2        9.4        17.5       24.43                           C003000900202 
 6.2        9.4        20.0       14.88                           C003000900203 
 6.2        9.4        22.5       12.06                           C003000900204 
 6.2        9.4        25.0       12.53                           C003000900205 
 6.2        9.4        27.5       14.86                           C003000900206 
 6.2        9.4        30.0       18.47                           C003000900207 
 6.2        9.4        32.5       21.04                           C003000900208 
 6.2        9.4        35.0       23.02                           C003000900209 
 6.2        9.4        37.5       24.30                           C003000900210 
 6.2        9.4        40.0       24.86                           C003000900211 
 6.2        9.4        42.5       23.01                           C003000900212 
 6.2        9.4        45.0       20.32                           C003000900213 
 6.2        9.4        47.5       17.41                           C003000900214 
 6.2        9.4        50.0       13.28                           C003000900215 
 6.2        9.4        52.5       10.88                           C003000900216 
ENDDATA            191          0                                 C003000900217 
ENDSUBENT          216          0                                 C003000999999 
ENDENTRY             9          0                                 C003099999999 
