EN         ELEMENT    MASS       DATA       DATA-ERR              C030600200013 
MEV        NO-DIM     NO-DIM     MB         MB                    C030600200014 
 149.5      21.        44.        0.           0.40      0.15     C030600300168 
 149.5      21.        44.        1.           0.85      0.20     C030600300169 
 149.5      21.        46.                     3.3       0.3      C030600300170 
 149.5      21.        47.                     1.5       0.4      C030600300171 
 149.5      21.        48.                     0.5       0.2      C030600300172 
 149.5      23.        48.                    11.        1.       C030600300173 
 149.5      24.        48.                     0.14      0.04     C030600300174 
 149.5      24.        49.                     2.8       0.4      C030600300175 
 149.5      24.        51.                    65.        7.       C030600300176 
 149.5      25.        52.        0.          32.7       1.0      C030600300177 
 149.5      25.        52.        1.           5.2       0.4      C030600300178 
 149.5      25.        54.                    94.        8.       C030600300179 
 149.5      25.        56.                    10.        1.       C030600300180 
 149.5      26.        52.                     0.26      0.04     C030600300181 
 149.5      26.        59.                     2.8       0.7      C030600300182 
 149.5      27.        55.                     5.0       0.5      C030600300183 
 149.5      27.        56.                    38.        1.       C030600300184 
 149.5      27.        57.                   133.       10.       C030600300185 
 149.5      27.        58.                   186.       15.       C030600300186 
 149.5      27.        60.                    25.        7.       C030600300187 
 149.5      27.        61.                     0.7       0.1      C030600300188 
 149.5      29.        60.                     0.8       0.3      C030600300189 
 149.5      29.        61.                     0.8       0.4      C030600300190 
 198.9      21.        44.        0.           2.4       0.3      C030600300191 
 198.9      21.        44.        1.           3.3       0.3      C030600300192 
 198.9      21.        46.                     6.6       0.6      C030600300193 
 198.9      21.        47.                     2.7       0.2      C030600300194 
 198.9      23.        48.                    19.        1.       C030600300195 
 198.9      24.        48.                     0.4       0.1      C030600300196 
 198.9      24.        49.                     6.3       0.8      C030600300197 
 198.9      24.        51.                    64.        6.       C030600300198 
 198.9      25.        52.        0.          31.        2.       C030600300199 
 198.9      25.        54.                    96.        8.       C030600300200 
 198.9      25.        56.                    12.        1.       C030600300201 
 198.9      26.        52.                     0.37      0.03     C030600300202 
 198.9      26.        59.                     2.8       0.7      C030600300203 
 198.9      27.        55.                     4.5       0.6      C030600300204 
 198.9      27.        56.                    32.        2.       C030600300205 
 198.9      27.        57.                   106.       10.       C030600300206 
 198.9      27.        58.                   168.       15.       C030600300207 
 198.9      27.        60.                    23.        7.       C030600300208 
 198.9      28.        57.                     2.0       0.4      C030600300209 
 198.9      29.        60.                     0.2       0.1      C030600300210 
 198.9      29.        61.                     0.2       0.1      C030600300211 
ENDDATA            198          0                                 C030600300212 
ENDSUBENT          211          0                                 C030600399999 
SUBENT        C0306004   19980521                             0000C030600400001 
BIB                  5          8                                 C030600400002 
REACTION   (27-CO-59(HE3,X)ELEM/MASS,,SIG)                        C030600400003 
SAMPLE     Target assemblies consisted of a stack of Co foils     C030600400004 
            (each about 5-6 mg/cm2 thick) and Al forward and      C030600400005 
            backward catchers interspersed with beam energy       C030600400006 
            degraders.                                            C030600400007 
METHOD     (BCINT,ACTIV)                                          C030600400008 
ERR-ANALYS (DATA-ERR) Not analysed in detail.                     C030600400009 
HISTORY    (19980520A) Products corrected, isomer field added.    C030600400010 
ENDBIB               8          0                                 C030600400011 
NOCOMMON             0          0                                 C030600400012 
DATA                 6        133                                 C030600400013 
EN         ELEMENT    MASS       ISOMER     DATA       DATA-ERR   C030600400014 
MEV        NO-DIM     NO-DIM     NO-DIM     MB         MB         C030600400015 
  11.       27.        56.                     0.4       0.1      C030600400016 
  11.       27.        57.                    15.        2.       C030600400017 
  11.       27.        58.                    12.        2.       C030600400018 
  11.       27.        60.                     7.8       0.7      C030600400019 
  11.       29.        61.                     3.3       0.4      C030600400020 
  19.       25.        56.                     0.16      0.06     C030600400021 
  19.       26.        59.                     0.15      0.09     C030600400022 
  19.       27.        56.                     1.0       0.2      C030600400023 
  19.       27.        57.                    72.        2.       C030600400024 
  19.       27.        58.                    22.        2.       C030600400025 
  19.       27.        60.                    50.        4.       C030600400026 
  19.       29.        61.                     6.1       0.5      C030600400027 
  32.       25.        56.                     2.7       0.4      C030600400028 
  32.       26.        59.                     1.2       0.4      C030600400029 
  32.       27.        55.                     0.12      0.03     C030600400030 
  32.       27.        56.                    45.        2.       C030600400031 
  32.       27.        57.                    41.        2.       C030600400032 
  32.       27.        58.                    77.        6.       C030600400033 
  32.       27.        60.                    59.        7.       C030600400034 
  32.       29.        61.                     2.6       0.2      C030600400035 
  34.       25.        52.        0.           0.14      0.06     C030600400036 
  34.       26.        59.                     1.0       0.5      C030600400037 
  34.       27.        55.                     1.2       0.3      C030600400038 
  34.       27.        56.                    49.        2.       C030600400039 
  34.       27.        57.                    34.        2.       C030600400040 
  34.       27.        58.                    85.        5.       C030600400041 
  34.       27.        60.                    62.        3.       C030600400042 
  34.       28.        57.                     0.03      0.02     C030600400043 
  38.1      25.        52.        0.           0.3       0.1      C030600400044 
  38.1      25.        54.                     1.1       0.3      C030600400045 
  38.1      25.        56.                     3.2       0.4      C030600400046 
  38.1      26.        59.                     2.0       0.3      C030600400047 
  38.1      27.        55.                     1.4       0.2      C030600400048 
  38.1      27.        56.                    43.        2.       C030600400049 
  38.1      27.        57.                    32.        2.       C030600400050 
  38.1      27.        58.                   207.       10.       C030600400051 
  38.1      27.        60.                    50.        5.       C030600400052 
  38.1      28.        57.                     0.26      0.04     C030600400053 
  38.1      29.        61.                     1.8       0.2      C030600400054 
  44.2      25.        52.        0.           2.3       0.3      C030600400055 
  44.2      25.        54.                     1.6       0.3      C030600400056 
  44.2      27.        55.                     4.1       0.4      C030600400057 
  44.2      27.        56.                    35.        2.       C030600400058 
  44.2      27.        57.                    46.        3.       C030600400059 
  44.2      27.        58.                   356.       18.       C030600400060 
  44.2      27.        60.                    44.        4.       C030600400061 
  44.2      28.        57.                     0.7       0.1      C030600400062 
  55.0      24.        52.                     0.04      0.02     C030600400063 
  55.0      25.        52.        0.           4.3       0.2      C030600400064 
  55.0      25.        54.                     9.0       0.3      C030600400065 
  55.0      25.        56.                    30.        2.       C030600400066 
  55.0      27.        55.                     2.0       0.3      C030600400067 
  55.0      27.        56.                     4.2       0.3      C030600400068 
  55.0      27.        57.                    17.        1.       C030600400069 
  55.0      27.        58.                   176.        9.       C030600400070 
  55.0      27.        60.                   375.       14.       C030600400071 
  55.0      28.        57.                    26.        2.       C030600400072 
  55.0      29.        61.                     5.1       0.5      C030600400073 
  65.5      24.        52.                     0.6       0.1      C030600400074 
  65.5      25.        52.        0.          26.        2.       C030600400075 
  65.5      25.        54.                     6.7       0.3      C030600400076 
  65.5      25.        56.                    63.        3.       C030600400077 
  65.5      27.        55.                     1.7       0.4      C030600400078 
  65.5      27.        56.                     3.2       0.3      C030600400079 
  65.5      27.        57.                    31.        1.       C030600400080 
  65.5      27.        58.                   241.       11.       C030600400081 
  65.5      27.        60.                   322.       15.       C030600400082 
  65.5      28.        57.                    28.        3.       C030600400083 
  65.5      29.        61.                     8.9       0.7      C030600400084 
  76.1      24.        52.                     1.6       0.2      C030600400085 
  76.1      25.        52.        0.          32.        3.       C030600400086 
  76.1      25.        54.                     6.4       0.3      C030600400087 
  76.1      25.        56.                    88.        4.       C030600400088 
  76.1      27.        55.                     1.9       0.4      C030600400089 
  76.1      27.        56.                     3.6       0.3      C030600400090 
  76.1      27.        57.                    57.        2.       C030600400091 
  76.1      27.        58.                   223.       10.       C030600400092 
  76.1      27.        60.                   287.       14.       C030600400093 
  76.1      28.        57.                    26.        3.       C030600400094 
  76.1      29.        61.                     8.5       0.6      C030600400095 
  96.3      21.        44.        1.           0.3       0.1      C030600400096 
  96.3      24.        52.                     2.1       0.1      C030600400097 
  96.3      25.        52.        0.          27.        2.       C030600400098 
  96.3      25.        54.                    26.        2.       C030600400099 
  96.3      25.        56.                    70.        3.       C030600400100 
  96.3      27.        55.                     1.9       0.3      C030600400101 
  96.3      27.        56.                     5.9       0.4      C030600400102 
  96.3      27.        57.                    56.        2.       C030600400103 
  96.3      27.        58.                   174.        9.       C030600400104 
  96.3      27.        60.                   228.       11.       C030600400105 
  96.3      28.        57.                    19.        2.       C030600400106 
  96.3      29.        61.                     6.3       0.5      C030600400107 
 106.3      21.        44.        1.           0.4       0.1      C030600400108 
 106.3      23.        48.                     1.0       0.1      C030600400109 
 106.3      24.        52.                     3.7       0.2      C030600400110 
 106.3      25.        52.        0.          42.        3.       C030600400111 
 106.3      25.        54.                    26.        2.       C030600400112 
 106.3      25.        56.                    69.        3.       C030600400113 
 106.3      27.        55.                     1.9       0.3      C030600400114 
 106.3      27.        56.                     7.0       0.4      C030600400115 
 106.3      27.        57.                    49.        2.       C030600400116 
 106.3      27.        58.                   155.        7.       C030600400117 
 106.3      27.        60.                   201.       10.       C030600400118 
 106.3      29.        61.                     4.6       0.5      C030600400119 
 121.3      21.        44.        1.           0.6       0.2      C030600400120 
 121.3      23.        48.                     1.7       0.4      C030600400121 
 121.3      24.        52.                     8.7       0.8      C030600400122 
 121.3      25.        52.        0.          54.        3.       C030600400123 
 121.3      25.        54.                    29.        2.       C030600400124 
 121.3      25.        56.                    78.        5.       C030600400125 
 121.3      26.        52.                     6.0       0.6      C030600400126 
 121.3      26.        58.                     0.4       0.1      C030600400127 
 121.3      27.        55.                     2.0       0.3      C030600400128 
 121.3      27.        56.                     6.7       0.6      C030600400129 
 121.3      27.        57.                    52.        3.       C030600400130 
 121.3      27.        58.                   163.       10.       C030600400131 
 121.3      27.        60.                   198.       13.       C030600400132 
 121.3      28.        57.                    17.        3.       C030600400133 
 121.3      29.        61.                     4.8       0.2      C030600400134 
 146.3      21.        44.        1.           1.4       0.2      C030600400135 
 146.3      23.        48.                     2.3       0.4      C030600400136 
 146.3      24.        52.                    12.        1.       C030600400137 
 146.3      25.        52.        0.          58.        3.       C030600400138 
 146.3      25.        54.                    29.        2.       C030600400139 
 146.3      25.        56.                    72.        4.       C030600400140 
 146.3      26.        52.                     5.4       0.4      C030600400141 
