ENTRY            C0545   20000510                             0000C054500000001 
SUBENT        C0545001   20000510                             0000C054500100001 
BIB                  9         19                                 C054500100002 
INSTITUTE  (1USAGEO,2FR PAR,1USARUT,1USALAS,1USAMIN,1USATEX,      C054500100003 
           2FR GRE)                                               C054500100004 
REFERENCE  (J,PR/C,61,037302,200003)                              C054500100005 
           (J,PR/C,40,1877,198911)                                C054500100006 
           (J,PR/C,37,1350,198803)                                C054500100007 
           (J,PRL,58,2404,198706)                                 C054500100008 
AUTHOR     (F.T.BAKER,L.BIMBOT,G.EDWARDS,C.GLASHAUSSER,A.GREEN,   C054500100009 
           K.JONES,D.MIHAILIDIS,D.READ,A.SETHI,B.H.STORM JR,      C054500100010 
           R.DESWINARSKI)                                         C054500100011 
TITLE      Spin excitations in the 40Ca(p(pol),p'(pol)) reaction  C054500100012 
            revisited                                             C054500100013 
FACILITY   (MESON,1USALAS)                                        C054500100014 
INC-SOURCE (POLIS) Transversely polarized beam.                   C054500100015 
DETECTOR   (MAGSP)                                                C054500100016 
STATUS     (APRVD) Approved by F.T. Baker, 4 August 1999.         C054500100017 
           Updated data received by email from T. Baker,          C054500100018 
            31 March 2000.                                        C054500100019 
HISTORY    (19990723C) VM                                         C054500100020 
           (20000412A) Data replaced, reference updated.          C054500100021 
ENDBIB              19          0                                 C054500100022 
COMMON               2          3                                 C054500100023 
EN         E-ERR                                                  C054500100024 
MEV        KEV                                                    C054500100025 
319.       250.                                                   C054500100026 
ENDCOMMON            3          0                                 C054500100027 
ENDSUBENT           26          0                                 C054500199999 
SUBENT        C0545002   20000412                             0000C054500200001 
BIB                  3          6                                 C054500200002 
REACTION   (20-CA-40(P,INL)20-CA-40,,DA/DE)                       C054500200003 
MONITOR    (1-H-1(P,EL)1-H-1,,DA)                                 C054500200004 
            Data taken from private communication, Arndt and      C054500200005 
            Roper.                                                C054500200006 
ERR-ANALYS (ERR-S) Statistical uncertainty.                       C054500200007 
 10.5       44.3        0.3860     0.0240                         C054500300118 
 10.5       46.1        0.3130     0.0260                         C054500300119 
 12.0        6.9        0.0000     0.0250                         C054500300120 
 12.0        8.7        0.0100     0.0300                         C054500300121 
 12.0       10.5        0.0600     0.0310                         C054500300122 
 12.0       12.3        0.1000     0.0280                         C054500300123 
 12.0       14.1        0.0600     0.0310                         C054500300124 
 12.0       14.8        0.1000     0.0340                         C054500300125 
 12.0       16.6        0.1000     0.0260                         C054500300126 
 12.0       18.4        0.0700     0.0250                         C054500300127 
 12.0       20.2        0.0600     0.0260                         C054500300128 
 12.0       22.0        0.1200     0.0330                         C054500300129 
 12.0       22.7        0.0800     0.0350                         C054500300130 
 12.0       24.5        0.1500     0.0290                         C054500300131 
 12.0       26.3        0.1600     0.0280                         C054500300132 
 12.0       28.1        0.1600     0.0280                         C054500300133 
 12.0       29.9        0.1900     0.0340                         C054500300134 
 12.0       30.9        0.1500     0.0390                         C054500300135 
 12.0       32.7        0.2500     0.0350                         C054500300136 
 12.0       34.5        0.2100     0.0350                         C054500300137 
 12.0       36.3        0.2200     0.0350                         C054500300138 
 12.0       38.1        0.2600     0.0470                         C054500300139 
 12.0       38.9        0.2720     0.0320                         C054500300140 
 12.0       40.7        0.2550     0.0220                         C054500300141 
 12.0       42.5        0.2860     0.0220                         C054500300142 
 12.0       44.3        0.2870     0.0240                         C054500300143 
 12.0       46.1        0.2900     0.0260                         C054500300144 
 14.0        6.9        0.0030     0.0140                         C054500300145 
 14.0        8.7        0.0280     0.0150                         C054500300146 
 14.0       10.5        0.0750     0.0140                         C054500300147 
 14.0       12.3        0.0550     0.0130                         C054500300148 
 14.0       14.1        0.0780     0.0120                         C054500300149 
 14.0       14.8        0.0820     0.0160                         C054500300150 
 14.0       16.6        0.0970     0.0120                         C054500300151 
 14.0       18.4        0.0810     0.0110                         C054500300152 
 14.0       20.2        0.1120     0.0110                         C054500300153 
 14.0       22.0        0.1250     0.0120                         C054500300154 
 14.0       22.7        0.1550     0.0180                         C054500300155 
 14.0       24.5        0.1460     0.0140                         C054500300156 
 14.0       26.3        0.1380     0.0140                         C054500300157 
 14.0       28.1        0.1570     0.0140                         C054500300158 
 14.0       29.9        0.1510     0.0150                         C054500300159 
 14.0       30.9        0.1900     0.0200                         C054500300160 
 14.0       32.7        0.1920     0.0150                         C054500300161 
 14.0       34.5        0.1850     0.0150                         C054500300162 
 14.0       36.3        0.2390     0.0150                         C054500300163 
 14.0       38.1        0.2230     0.0170                         C054500300164 
 14.0       38.9        0.1770     0.0330                         C054500300165 
 14.0       40.7        0.2300     0.0230                         C054500300166 
 14.0       42.5        0.2060     0.0230                         C054500300167 
 14.0       44.3        0.2430     0.0230                         C054500300168 
 14.0       46.1        0.2220     0.0270                         C054500300169 
 16.0        6.9        0.0320     0.0220                         C054500300170 
 16.0        8.7        0.0190     0.0230                         C054500300171 
 16.0       10.5        0.0910     0.0220                         C054500300172 
 16.0       12.3        0.0500     0.0200                         C054500300173 
 16.0       14.1        0.0990     0.0200                         C054500300174 
 16.0       14.8        0.0920     0.0210                         C054500300175 
 16.0       16.6        0.1050     0.0160                         C054500300176 
 16.0       18.4        0.1090     0.0150                         C054500300177 
 16.0       20.2        0.0680     0.0150                         C054500300178 
 16.0       22.0        0.1200     0.0170                         C054500300179 
 16.0       22.7        0.1310     0.0260                         C054500300180 
 16.0       24.5        0.1250     0.0190                         C054500300181 
 16.0       26.3        0.1680     0.0180                         C054500300182 
 16.0       28.1        0.1660     0.0180                         C054500300183 
 16.0       29.9        0.1570     0.0200                         C054500300184 
 16.0       30.9        0.1570     0.0220                         C054500300185 
 16.0       32.7        0.1560     0.0160                         C054500300186 
 16.0       34.5        0.1760     0.0150                         C054500300187 
 16.0       36.3        0.2110     0.0150                         C054500300188 
 16.0       38.1        0.2070     0.0170                         C054500300189 
 16.0       38.9        0.2410     0.0390                         C054500300190 
 16.0       40.7        0.2260     0.0260                         C054500300191 
 16.0       42.5        0.1900     0.0250                         C054500300192 
 16.0       44.3        0.2320     0.0250                         C054500300193 
 16.0       46.1        0.1600     0.0270                         C054500300194 
 18.0        6.9        0.0460     0.0210                         C054500300195 
 18.0        8.7        0.0190     0.0170                         C054500300196 
 18.0       10.5        0.0670     0.0170                         C054500300197 
 18.0       12.3        0.0700     0.0150                         C054500300198 
 18.0       14.1        0.1080     0.0150                         C054500300199 
 18.0       14.8        0.1040     0.0210                         C054500300200 
 18.0       16.6        0.1230     0.0150                         C054500300201 
 18.0       18.4        0.1150     0.0140                         C054500300202 
 18.0       20.2        0.1490     0.0140                         C054500300203 
 18.0       22.0        0.1530     0.0150                         C054500300204 
 18.0       22.7        0.1380     0.0210                         C054500300205 
 18.0       24.5        0.1480     0.0150                         C054500300206 
 18.0       26.3        0.1570     0.0150                         C054500300207 
 18.0       28.1        0.1520     0.0140                         C054500300208 
 18.0       29.9        0.1540     0.0150                         C054500300209 
 18.0       30.9        0.1760     0.0190                         C054500300210 
 18.0       32.7        0.1630     0.0140                         C054500300211 
 18.0       34.5        0.1660     0.0140                         C054500300212 
 18.0       36.3        0.1920     0.0140                         C054500300213 
 18.0       38.1        0.1960     0.0160                         C054500300214 
 18.0       38.9        0.2000     0.0350                         C054500300215 
 18.0       40.7        0.2010     0.0250                         C054500300216 
 18.0       42.5        0.1890     0.0240                         C054500300217 
 18.0       44.3        0.1860     0.0240                         C054500300218 
 18.0       46.1        0.1850     0.0270                         C054500300219 
 20.0        6.9        0.0510     0.0230                         C054500300220 
 20.0        8.7        0.0550     0.0150                         C054500300221 
 20.0       10.5        0.0800     0.0170                         C054500300222 
 20.0       12.3        0.0620     0.0160                         C054500300223 
 20.0       14.1        0.1190     0.0160                         C054500300224 
 20.0       14.8        0.0830     0.0210                         C054500300225 
 20.0       16.6        0.0440     0.0150                         C054500300226 
 20.0       18.4        0.0620     0.0140                         C054500300227 
 20.0       20.2        0.0870     0.0140                         C054500300228 
 20.0       22.0        0.1260     0.0150                         C054500300229 
 20.0       22.7        0.0750     0.0220                         C054500300230 
 20.0       24.5        0.0870     0.0160                         C054500300231 
 20.0       26.3        0.1140     0.0150                         C054500300232 
 20.0       28.1        0.1480     0.0150                         C054500300233 
 20.0       29.9        0.1440     0.0160                         C054500300234 
 20.0       30.9        0.1170     0.0240                         C054500300235 
 20.0       32.7        0.1410     0.0160                         C054500300236 
 20.0       34.5        0.1350     0.0150                         C054500300237 
 20.0       36.3        0.1680     0.0150                         C054500300238 
 20.0       38.1        0.1820     0.0160                         C054500300239 
 20.0       38.9        0.1560     0.0330                         C054500300240 
 20.0       40.7        0.1830     0.0240                         C054500300241 
 20.0       42.5        0.1980     0.0230                         C054500300242 
 20.0       44.3        0.2010     0.0230                         C054500300243 
 20.0       46.1        0.2180     0.0280                         C054500300244 
 23.0        6.9        0.0130     0.0265                         C054500300245 
 23.0        8.7        0.0329     0.0144                         C054500300246 
 23.0       10.5        0.0581     0.0175                         C054500300247 
 23.0       12.3        0.0644     0.0156                         C054500300248 
 23.0       14.1        0.1017     0.0142                         C054500300249 
 23.0       14.8        0.1010     0.0210                         C054500300250 
 23.0       16.6        0.0820     0.0160                         C054500300251 
 23.0       18.4        0.0800     0.0150                         C054500300252 
 23.0       20.2        0.0950     0.0150                         C054500300253 
 23.0       22.0        0.1050     0.0170                         C054500300254 
 23.0       22.7        0.0770     0.0230                         C054500300255 
 23.0       24.5        0.1041     0.0160                         C054500300256 
 23.0       26.3        0.1193     0.0150                         C054500300257 
 23.0       28.1        0.1236     0.0147                         C054500300258 
 23.0       29.9        0.1085     0.0155                         C054500300259 
 23.0       30.9        0.1378     0.0226                         C054500300260 
 23.0       32.7        0.1238     0.0154                         C054500300261 
 23.0       34.5        0.1228     0.0148                         C054500300262 
 23.0       36.3        0.1538     0.0144                         C054500300263 
 23.0       38.1        0.1226     0.0156                         C054500300264 
 23.0       38.9        0.1517     0.0352                         C054500300265 
 23.0       40.7        0.1873     0.0248                         C054500300266 
 23.0       42.5        0.1760     0.0235                         C054500300267 
 23.0       44.3        0.1843     0.0234                         C054500300268 
 23.0       46.1        0.1518     0.0265                         C054500300269 
ENDDATA            262          0                                 C054500300270 
ENDSUBENT          269          0                                 C054500399999 
ENDENTRY             3          0                                 C054599999999 
