ELEMENT    MASS       DATA       -DATA-ERR  +DATA-ERR             C203000200013 
NO-DIM     NO-DIM     MB         MB         MB                    C203000200014 
       22.0       56.0   1.07E-04   4.51E-05   1.68E-04           C203000200178 
       22.0       57.0   2.02E-05   1.16E-05   2.22E-05           C203000200179 
       22.0       58.0   4.92E-06   2.63E-06   7.16E-06           C203000200180 
       22.0       59.0   6.19E-07   2.94E-07   7.26E-07           C203000200181 
       22.0       60.0   7.27E-08   3.39E-08   8.42E-08           C203000200182 
       22.0       61.0   6.27E-09   2.86E-09   4.75E-09           C203000200183 
       22.0       62.0   1.09E-09   5.78E-10   6.42E-10           C203000200184 
       22.0       63.0   7.17E-11   3.51E-11   2.63E-11           C203000200185 
       22.0       64.0   8.54E-12   6.45E-12   9.82E-12           C203000200186 
       23.0       47.0   5.45E-01   5.18E-01   9.44E+00           C203000200187 
       23.0       48.0   2.21E+00   2.10E+00   1.63E+00           C203000200188 
       23.0       49.0   6.31E+00   3.22E+00   3.11E+00           C203000200189 
       23.0       50.0   6.55E+00   1.21E+00   1.56E+00           C203000200190 
       23.0       51.0   4.19E+00   9.23E-01   1.06E+00           C203000200191 
       23.0       52.0   1.93E+00   5.52E-01   5.76E-01           C203000200192 
       23.0       53.0   8.15E-01   2.80E-01   2.80E-01           C203000200193 
       23.0       54.0   2.95E-01   1.58E-01   1.43E-01           C203000200194 
       23.0       55.0   4.42E-02   4.19E-02   5.29E-02           C203000200195 
       23.0       56.0   5.84E-03   2.70E-03   3.84E-03           C203000200196 
       23.0       57.0   2.03E-03   7.23E-04   1.26E-03           C203000200197 
       23.0       58.0   3.79E-04   1.09E-04   2.88E-04           C203000200198 
       23.0       59.0   9.00E-05   4.56E-05   1.52E-04           C203000200199 
       23.0       60.0   1.62E-05   7.91E-06   2.00E-05           C203000200200 
       23.0       61.0   4.12E-06   2.19E-06   5.35E-06           C203000200201 
       23.0       62.0   4.79E-07   2.19E-07   7.32E-07           C203000200202 
       23.0       63.0   7.06E-08   3.51E-08   8.44E-08           C203000200203 
       23.0       64.0   4.98E-09   2.09E-09   2.63E-09           C203000200204 
       23.0       65.0   1.00E-09   4.10E-10   3.41E-10           C203000200205 
       23.0       66.0   4.50E-11   2.34E-11   2.11E-11           C203000200206 
       23.0       67.0   9.56E-12   7.23E-12   7.67E-12           C203000200207 
       24.0       50.0   1.61E+00   1.53E+00   1.34E+00           C203000200208 
       24.0       51.0   5.14E+00   3.35E+00   2.82E+00           C203000200209 
       24.0       52.0   7.21E+00   1.58E+00   2.06E+00           C203000200210 
       24.0       53.0   5.02E+00   1.22E+00   1.38E+00           C203000200211 
       24.0       54.0   3.49E+00   1.20E+00   1.21E+00           C203000200212 
       24.0       55.0   1.50E+00   6.88E-01   6.05E-01           C203000200213 
       24.0       56.0   7.72E-01   5.34E-01   4.15E-01           C203000200214 
       24.0       57.0   1.39E-01   1.32E-01   5.29E-01           C203000200215 
       24.0       58.0   2.09E-02   1.98E-02   3.98E-02           C203000200216 
       24.0       59.0   3.52E-03   1.58E-03   2.88E-03           C203000200217 
       24.0       60.0   1.06E-03   3.35E-04   6.53E-04           C203000200218 
       24.0       61.0   1.96E-04   5.04E-05   1.33E-04           C203000200219 
       24.0       62.0   5.12E-05   2.52E-05   7.00E-05           C203000200220 
       24.0       63.0   7.10E-06   3.38E-06   7.47E-06           C203000200221 
       24.0       64.0   1.62E-06   9.59E-07   1.80E-06           C203000200222 
       24.0       65.0   2.19E-07   1.03E-07   5.98E-07           C203000200223 
       24.0       66.0   2.32E-08   1.45E-08   2.11E-08           C203000200224 
       24.0       67.0   1.67E-09   7.06E-10   4.26E-10           C203000200225 
       24.0       68.0   2.77E-10   1.16E-10   7.34E-11           C203000200226 
       24.0       69.0   2.47E-11   1.40E-11   1.30E-11           C203000200227 
       24.0       70.0   4.13E-12   3.11E-12   7.29E-12           C203000200228 
       25.0       52.0   9.23E-01   8.77E-01   9.35E-01           C203000200229 
       25.0       53.0   3.70E+00   3.04E+00   2.27E+00           C203000200230 
       25.0       54.0   6.58E+00   1.89E+00   2.30E+00           C203000200231 
       25.0       55.0   6.80E+00   2.04E+00   2.16E+00           C203000200232 
       25.0       56.0   4.82E+00   2.15E+00   1.93E+00           C203000200233 
       25.0       57.0   3.60E+00   2.19E+00   1.85E+00           C203000200234 
       25.0       58.0   1.78E+00   1.56E+00   1.06E+00           C203000200235 
       25.0       59.0   7.33E-01   6.96E-01   6.33E-01           C203000200236 
       25.0       60.0   4.66E-02   4.43E-02   7.60E-02           C203000200237 
       25.0       61.0   1.10E-02   4.77E-03   5.14E-03           C203000200238 
       25.0       62.0   2.07E-03   1.10E-03   2.60E-03           C203000200239 
       25.0       63.0   7.70E-04   2.14E-04   4.47E-04           C203000200240 
       25.0       64.0   1.39E-04   4.76E-05   1.17E-04           C203000200241 
       25.0       65.0   3.66E-05   1.57E-05   5.15E-05           C203000200242 
       25.0       66.0   5.74E-06   2.52E-06   5.39E-06           C203000200243 
       25.0       67.0   9.83E-07   5.42E-07   7.01E-07           C203000200244 
       25.0       68.0   1.46E-07   8.05E-08   3.74E-07           C203000200245 
       25.0       69.0   1.55E-08   9.02E-09   2.87E-08           C203000200246 
       25.0       70.0   1.29E-09   5.42E-10   6.17E-10           C203000200247 
       25.0       71.0   1.56E-10   6.66E-11   4.31E-11           C203000200248 
       25.0       72.0   5.61E-12   4.20E-12   6.44E-12           C203000200249 
       26.0       54.0   7.06E-01   6.71E-01   9.53E-01           C203000200250 
       26.0       55.0   2.41E+00   2.29E+00   1.66E+00           C203000200251 
       26.0       56.0   6.59E+00   2.60E+00   2.84E+00           C203000200252 
       26.0       57.0   7.45E+00   2.96E+00   2.77E+00           C203000200253 
       26.0       58.0   8.15E+00   4.75E+00   4.90E+00           C203000200254 
       26.0       59.0   6.04E+00   4.82E+00   6.28E+00           C203000200255 
       26.0       60.0   3.81E+00   3.62E+00   2.44E+00           C203000200256 
       26.0       63.0   2.15E-02   2.04E-02   1.26E-02           C203000200257 
       26.0       64.0   4.97E-03   1.77E-03   4.04E-03           C203000200258 
       26.0       65.0   1.85E-03   4.94E-04   1.00E-03           C203000200259 
       26.0       66.0   4.62E-04   9.63E-05   1.98E-04           C203000200260 
       26.0       67.0   9.75E-05   2.98E-05   5.03E-05           C203000200261 
       26.0       68.0   1.98E-05   1.12E-05   2.17E-05           C203000200262 
       26.0       69.0   3.53E-06   1.67E-06   3.10E-06           C203000200263 
       26.0       70.0   7.30E-07   3.55E-07   5.05E-07           C203000200264 
       26.0       71.0   5.09E-08   4.15E-08   1.40E-07           C203000200265 
       26.0       72.0   7.04E-09   5.31E-09   1.87E-08           C203000200266 
       26.0       73.0   3.90E-10   1.78E-10   2.52E-10           C203000200267 
       26.0       74.0   3.03E-11   1.49E-11   1.46E-11           C203000200268 
       26.0       75.0   3.23E-12   2.38E-12   5.70E-12           C203000200269 
       27.0       56.0   2.38E-01   2.26E-01   4.14E+00           C203000200270 
       27.0       57.0   1.18E+00   1.12E+00   9.06E-01           C203000200271 
       27.0       58.0   4.68E+00   2.57E+00   2.48E+00           C203000200272 
       27.0       59.0   9.08E+00   4.90E+00   6.60E+00           C203000200273 
       27.0       60.0   1.04E+01   7.92E+00   1.34E+01           C203000200274 
       27.0       61.0   1.08E+01   1.03E+01   1.11E+01           C203000200275 
       27.0       62.0   7.38E+00   7.01E+00   5.30E+00           C203000200276 
       27.0       65.0   7.91E-02   7.52E-02   6.19E-02           C203000200277 
       27.0       66.0   1.72E-02   6.90E-03   1.12E-02           C203000200278 
       27.0       67.0   5.56E-03   2.27E-03   3.95E-03           C203000200279 
       27.0       68.0   1.45E-03   4.61E-04   1.14E-03           C203000200280 
       27.0       69.0   4.43E-04   1.38E-04   2.72E-04           C203000200281 
       27.0       70.0   4.19E-05   1.30E-05   1.55E-05           C203000200282 
       27.0       71.0   2.03E-05   8.92E-06   1.54E-05           C203000200283 
       27.0       72.0   3.65E-06   1.67E-06   3.25E-06           C203000200284 
       27.0       73.0   6.08E-07   2.01E-07   4.96E-07           C203000200285 
       27.0       74.0   2.01E-08   1.12E-08   9.03E-09           C203000200286 
       27.0       75.0   1.69E-09   1.15E-09   4.81E-10           C203000200287 
       27.0       76.0   3.50E-11   2.38E-11   2.13E-11           C203000200288 
       28.0       60.0   3.38E+00   2.54E+00   3.30E+00           C203000200289 
       28.0       61.0   8.39E+00   6.04E+00   1.35E+01           C203000200290 
       28.0       62.0   1.39E+01   1.32E+01   2.77E+01           C203000200291 
       28.0       63.0   1.35E+01   1.29E+01   8.91E+00           C203000200292 
       28.0       64.0   1.14E+01   1.08E+01   3.36E+01           C203000200293 
       28.0       68.0   6.64E-02   6.31E-02   7.94E-02           C203000200294 
       28.0       69.0   1.11E-02   4.25E-03   1.03E-02           C203000200295 
       28.0       70.0   4.70E-03   1.09E-03   1.69E-03           C203000200296 
       28.0       71.0   1.04E-03   1.70E-04   4.21E-04           C203000200297 
       28.0       72.0   1.77E-04   5.38E-05   8.62E-05           C203000200298 
       28.0       73.0   5.27E-05   2.15E-05   2.06E-05           C203000200299 
       28.0       74.0   1.03E-05   5.41E-06   9.69E-06           C203000200300 
       28.0       75.0   1.68E-06   9.28E-07   3.21E-06           C203000200301 
       28.0       76.0   7.64E-08   6.49E-08   4.57E-07           C203000200302 
       28.0       77.0   1.31E-09   1.25E-09   5.16E-10           C203000200303 
       28.0       78.0   1.91E-10   1.81E-10   1.64E-10           C203000200304 
       29.0       62.0   1.63E+00   1.54E+00   1.20E+00           C203000200305 
       29.0       63.0   6.31E+00   5.97E+00   8.95E+00           C203000200306 
       29.0       64.0   1.11E+01   1.06E+01   7.21E+00           C203000200307 
       29.0       65.0   1.48E+01   1.40E+01   2.20E+01           C203000200308 
       29.0       70.0   2.17E-01   2.06E-01   1.77E-01           C203000200309 
       29.0       71.0   6.06E-02   2.18E-02   4.15E-02           C203000200310 
       29.0       72.0   1.66E-02   6.63E-03   1.20E-02           C203000200311 
       29.0       73.0   5.49E-03   1.19E-03   2.09E-03           C203000200312 
       29.0       74.0   1.56E-03   3.72E-04   7.35E-04           C203000200313 
       29.0       75.0   4.37E-04   2.86E-04   4.10E-04           C203000200314 
       29.0       76.0   4.38E-05   1.12E-05   2.08E-05           C203000200315 
       29.0       77.0   8.16E-06   4.47E-06   7.89E-06           C203000200316 
       29.0       78.0   1.77E-07   5.31E-08   6.31E-08           C203000200317 
       30.0       64.0   6.84E-01   6.50E-01   5.89E-01           C203000200318 
       30.0       65.0   3.22E+00   3.06E+00   2.49E+00           C203000200319 
       30.0       66.0   7.32E+00   6.96E+00   8.69E+00           C203000200320 
       30.0       67.0   1.04E+01   9.88E+00   1.44E+02           C203000200321 
       30.0       68.0   2.64E+01   2.51E+01   2.51E+01           C203000200322 
       30.0       73.0   3.21E-01   3.05E-01   1.92E-01           C203000200323 
       30.0       74.0   6.03E-02   1.80E-02   5.33E-02           C203000200324 
       30.0       75.0   2.96E-02   3.47E-03   3.88E-03           C203000200325 
       30.0       76.0   9.59E-03   3.81E-03   7.98E-03           C203000200326 
       30.0       77.0   1.39E-03   4.16E-04   7.09E-04           C203000200327 
       30.0       78.0   2.14E-04   1.68E-04   4.87E-04           C203000200328 
       30.0       79.0   2.52E-06   1.62E-06   6.26E-06           C203000200329 
       30.0       80.0   7.75E-09   7.08E-09   4.72E-08           C203000200330 
       31.0       75.0   2.13E+00   2.02E+00   2.19E+00           C203000200331 
       31.0       76.0   3.47E-01   1.25E-01   1.97E-01           C203000200332 
       31.0       77.0   1.71E-01   6.05E-02   1.11E-01           C203000200333 
       31.0       78.0   6.04E-02   2.32E-02   4.40E-02           C203000200334 
       31.0       79.0   1.10E-02   9.72E-03   8.64E-02           C203000200335 
       31.0       80.0   9.53E-05   7.06E-05   6.89E-04           C203000200336 
       31.0       81.0   5.96E-07   5.66E-07   1.52E-04           C203000200337 
       32.0       79.0   5.11E-01   3.07E-01   1.33E+00           C203000200338 
       32.0       80.0   3.96E-01   1.42E-01   4.51E-01           C203000200339 
       32.0       81.0   1.21E-03   6.03E-04   4.36E-03           C203000200340 
       32.0       82.0   4.96E-06   4.71E-06   5.60E-03           C203000200341 
       33.0       81.0   1.05E+01   4.74E+00   3.74E+00           C203000200342 
