ENTRY            E2568   20180419                             E115E256800000001 
SUBENT        E2568001   20180419                             E115E256800100001 
BIB                 11         29                                 E256800100002 
TITLE      Measurement of nuclear reaction cross sections by      E256800100003 
           using Cherenkov radiation toward high-precision proton E256800100004 
           therapy                                                E256800100005 
AUTHOR     (T.Masuda, J.Kataoka, M.Arimoto, M.Takabe, T.Nishio,   E256800100006 
            K.Matsushita, T.Miyake, S.Yamamoto, T.Inaniwa,        E256800100007 
            T.Toshito)                                            E256800100008 
INSTITUTE  (2JPNWDA) Graduate School of Advanced Science and      E256800100009 
                     Engineering                                  E256800100010 
           (2JPNJPN) Department of Medical Physics, Tokyo Women's E256800100011 
                     Medical University, Tokyo                    E256800100012 
           (2JPNKYP) Department of Radiology                      E256800100013 
           (2JPNYOK) Graduate School of Science                   E256800100014 
           (2JPNNAG) Graduate School of Medicine                  E256800100015 
           (2JPNIRS) Department of Accelerator and Medical        E256800100016 
                     Physics                                      E256800100017 
           (2JPNJPN) Nagoya Proton Therapy Center, Nagoya         E256800100018 
REFERENCE  (J,PR/C,8,2570,2018)                                   E256800100019 
MONITOR    ((MONIT)8-O-16(P,X)8-O-15,,SIG)                        E256800100020 
SAMPLE     - Chemical-form of target is SiO2.                     E256800100021 
           - Physical-form of target is solid.                    E256800100022 
METHOD     Detection of Cerenkov radiation from beta+ ray         E256800100023 
FACILITY   (ISOCY,2JPNIRS) AVF930                                 E256800100024 
DETECTOR   (CEREN) To detect Cerenkov radiation from beta+ ray    E256800100025 
ERR-ANALYS (DATA-ERR) The error includes both the statistical and E256800100026 
                      systematic uncertainties.                   E256800100027 
           (EN-ERR) corresponding to 1-sigma values of the        E256800100028 
                    Gaussian function                             E256800100029 
HISTORY    (20180213R) Received from T.Masuda                     E256800100030 
           (20180319C) Ichiko                                     E256800100031 
ENDBIB              29          0                                 E256800100032 
COMMON               2          3                                 E256800100033 
EN-NRM     MONIT                                                  E256800100034 
MEV        MB                                                     E256800100035 
 35.        76.8                                                  E256800100036 
ENDCOMMON            3          0                                 E256800100037 
ENDSUBENT           36          0                                 E256800199999 
SUBENT        E2568002   20180419                             E115E256800200001 
BIB                  2          3                                 E256800200002 
REACTION   (8-O-16(P,X)8-O-15,,SIG)                               E256800200003 
STATUS     (TABLE) Plotted in Fig.3 of Scientific Report 8        E256800200004 
                   (2018)2570                                     E256800200005 
ENDBIB               3          0                                 E256800200006 
NOCOMMON             0          0                                 E256800200007 
DATA                 5        161                                 E256800200008 
EN         +EN-ERR    -EN-ERR    DATA       DATA-ERR              E256800200009 
      55.43       0.44       0.51      20.58       0.52           E256800400068 
      55.15       0.44       0.52      20.82       0.53           E256800400069 
      54.86       0.45       0.52      20.97       0.53           E256800400070 
      54.57       0.45       0.53      20.92       0.53           E256800400071 
      54.28       0.46       0.53      20.93       0.53           E256800400072 
      53.99       0.46       0.54      20.99       0.53           E256800400073 
      53.72       0.47       0.54      20.98       0.53           E256800400074 
      53.44       0.47       0.55      20.96       0.53           E256800400075 
      53.15       0.47       0.55      21.17       0.53           E256800400076 
      52.86       0.48       0.56      21.31       0.54           E256800400077 
      52.56       0.48       0.56      21.39       0.54           E256800400078 
      52.26       0.49       0.57      21.33       0.54           E256800400079 
      51.96       0.49       0.57      21.31       0.54           E256800400080 
      51.67       0.50       0.58      21.59       0.54           E256800400081 
      51.37       0.50       0.59      22.00       0.55           E256800400082 
      51.06       0.51       0.59      22.18       0.56           E256800400083 
      50.77       0.51       0.60      22.29       0.56           E256800400084 
      50.48       0.52       0.60      21.99       0.55           E256800400085 
      50.16       0.52       0.61      21.50       0.54           E256800400086 
      49.85       0.53       0.61      21.47       0.54           E256800400087 
      49.54       0.53       0.62      21.37       0.54           E256800400088 
      49.23       0.54       0.62      21.27       0.54           E256800400089 
      48.92       0.54       0.63      21.36       0.54           E256800400090 
      48.61       0.55       0.63      21.63       0.54           E256800400091 
      48.31       0.55       0.65      21.91       0.55           E256800400092 
      48.00       0.55       0.65      22.03       0.56           E256800400093 
      47.69       0.55       0.66      21.90       0.55           E256800400094 
      47.37       0.56       0.66      21.69       0.55           E256800400095 
      47.04       0.57       0.67      21.55       0.54           E256800400096 
      46.72       0.58       0.67      21.51       0.54           E256800400097 
      46.40       0.58       0.68      21.47       0.54           E256800400098 
      46.07       0.59       0.69      21.52       0.54           E256800400099 
      45.73       0.59       0.69      21.42       0.54           E256800400100 
      45.40       0.60       0.70      21.29       0.54           E256800400101 
      45.08       0.60       0.71      21.21       0.54           E256800400102 
      44.75       0.61       0.71      20.96       0.53           E256800400103 
      44.41       0.61       0.72      20.80       0.52           E256800400104 
      44.08       0.62       0.73      20.76       0.52           E256800400105 
      43.74       0.62       0.73      20.55       0.52           E256800400106 
      43.40       0.63       0.74      20.39       0.51           E256800400107 
      43.07       0.64       0.75      20.18       0.51           E256800400108 
      42.73       0.64       0.76      19.93       0.50           E256800400109 
      42.38       0.65       0.76      19.54       0.50           E256800400110 
      42.02       0.65       0.76      19.02       0.48           E256800400111 
      41.65       0.66       0.76      18.59       0.47           E256800400112 
      41.30       0.67       0.78      18.25       0.46           E256800400113 
      40.96       0.67       0.78      17.83       0.45           E256800400114 
      40.61       0.67       0.79      17.41       0.44           E256800400115 
      40.26       0.68       0.80      16.92       0.43           E256800400116 
      39.89       0.69       0.81      16.42       0.42           E256800400117 
      39.51       0.69       0.82      15.92       0.41           E256800400118 
      39.15       0.70       0.82      15.48       0.40           E256800400119 
      38.78       0.71       0.83      14.98       0.38           E256800400120 
      38.40       0.71       0.84      14.30       0.37           E256800400121 
      38.04       0.72       0.85      13.61       0.35           E256800400122 
      37.67       0.73       0.86      13.15       0.34           E256800400123 
      37.28       0.73       0.87      12.75       0.33           E256800400124 
      36.90       0.74       0.88      12.30       0.32           E256800400125 
      36.52       0.75       0.89      11.71       0.31           E256800400126 
      36.11       0.76       0.90      10.72       0.28           E256800400127 
      35.71       0.77       0.91       9.57       0.25           E256800400128 
      35.31       0.77       0.92       8.43       0.23           E256800400129 
      34.90       0.78       0.94       7.47       0.20           E256800400130 
      34.52       0.79       0.94       6.75       0.19           E256800400131 
      34.12       0.80       0.95       6.23       0.17           E256800400132 
      33.69       0.81       0.97       5.79       0.16           E256800400133 
      33.28       0.82       0.98       5.35       0.15           E256800400134 
      32.87       0.83       0.99       4.80       0.14           E256800400135 
      32.41       0.84       1.01       4.17       0.13           E256800400136 
      31.98       0.85       1.02       3.44       0.11           E256800400137 
      31.58       0.86       1.03       2.76       0.10           E256800400138 
      31.13       0.87       1.05       2.27       0.09           E256800400139 
      30.67       0.88       1.06       1.78       0.08           E256800400140 
      30.23       0.89       1.08       1.33       0.07           E256800400141 
      29.77       0.90       1.10       0.96       0.07           E256800400142 
      29.30       0.91       1.11       0.46       0.06           E256800400143 
ENDDATA            135          0                                 E256800400144 
ENDSUBENT          143          0                                 E256800499999 
ENDENTRY             4          0                                 E256899999999 
