ENTRY            E2651   20200528                             E126E265100000001 
SUBENT        E2651001   20200528                             E126E265100100001 
BIB                 12         24                                 E265100100002 
TITLE      Low-energy-threshold detector for measuring proton     E265100100003 
           spectra at several tens of MeV using Bragg curve       E265100100004 
           spectroscopy                                           E265100100005 
AUTHOR     (Y.Yamaguchi, T.Sanami, Y.Koba, Y.Uozumi)              E265100100006 
INSTITUTE  (2JPNKYU)                                              E265100100007 
           (2JPNKEK)                                              E265100100008 
           (2JPNIRS)                                              E265100100009 
REFERENCE  (J,NIM/A,953,163158,2020)                              E265100100010 
PART-DET   (P)                                                    E265100100011 
INC-SOURCE Beam intensity is less than 15 nA.                     E265100100012 
METHOD     (EDE)                                                  E265100100013 
FACILITY   (CYCLO,2JPNIRS)                                        E265100100014 
DETECTOR   (IOCH,SIBAR,BGO)                                       E265100100015 
ERR-ANALYS (ERR-1,,10.) entrance window inhomogeneity (<10%)      E265100100016 
           (ERR-2,,5.) particle misidentification (<5%)           E265100100017 
           (ERR-3) beam current (2%)                              E265100100018 
           (ERR-4) target thickness (5%)                          E265100100019 
           (ERR-5) solid angle (5%)                               E265100100020 
           (ERR-S) Statistical uncertainty                        E265100100021 
STATUS     (TABLE) Data received by an email from the authors     E265100100022 
           (APRVD) Approved by Yuji Yamaguchi (2020-03-13)        E265100100023 
HISTORY    (20200312R) On. Received by e-mail from Yuji           E265100100024 
                       Yamaguchi.                                 E265100100025 
           (20200313C) On                                         E265100100026 
ENDBIB              24          0                                 E265100100027 
COMMON               3          3                                 E265100100028 
ERR-3      ERR-4      ERR-5                                       E265100100029 
PER-CENT   PER-CENT   PER-CENT                                    E265100100030 
 2.         5.         5.                                         E265100100031 
ENDCOMMON            3          0                                 E265100100032 
ENDSUBENT           31          0                                 E265100199999 
SUBENT        E2651002   20200528                             E126E265100200001 
BIB                  3          5                                 E265100200002 
REACTION   (6-C-0(P,X)1-H-1,,DA/DE)                               E265100200003 
EN-SEC     ANG is polar angle (lab.) between beam and proton      E265100200004 
           (E,P)                                                  E265100200005 
SAMPLE     - Chemical-form of target: polyethylene                E265100200006 
           - Target-thickness: 11 um thick                        E265100200007 
ENDBIB               5          0                                 E265100200008 
NOCOMMON             0          0                                 E265100200009 
DATA                 5        422                                 E265100200010 
EN         ANG        E          DATA       ERR-S                 E265100200011 
        70.       150.     12.500  0.208E+00  0.647E-02           E265100200376 
        70.       150.     13.500  0.194E+00  0.624E-02           E265100200377 
        70.       150.     14.500  0.161E+00  0.569E-02           E265100200378 
        70.       150.     15.500  0.135E+00  0.521E-02           E265100200379 
        70.       150.     16.500  0.140E+00  0.533E-02           E265100200380 
        70.       150.     17.500  0.154E+00  0.768E-02           E265100200381 
        70.       150.     18.500  0.153E+00  0.801E-02           E265100200382 
        70.       150.     19.500  0.134E+00  0.726E-02           E265100200383 
        70.       150.     20.500  0.118E+00  0.690E-02           E265100200384 
        70.       150.     21.500  0.104E+00  0.655E-02           E265100200385 
        70.       150.     22.500  0.872E-01  0.604E-02           E265100200386 
        70.       150.     23.500  0.817E-01  0.607E-02           E265100200387 
        70.       150.     24.500  0.782E-01  0.594E-02           E265100200388 
        70.       150.     25.500  0.610E-01  0.515E-02           E265100200389 
        70.       150.     26.500  0.499E-01  0.474E-02           E265100200390 
        70.       150.     27.500  0.458E-01  0.464E-02           E265100200391 
        70.       150.     28.500  0.398E-01  0.431E-02           E265100200392 
        70.       150.     29.500  0.332E-01  0.397E-02           E265100200393 
        70.       150.     30.500  0.303E-01  0.384E-02           E265100200394 
        70.       150.     31.500  0.300E-01  0.386E-02           E265100200395 
        70.       150.     32.500  0.363E-01  0.437E-02           E265100200396 
        70.       150.     33.500  0.267E-01  0.352E-02           E265100200397 
        70.       150.     34.500  0.140E-01  0.246E-02           E265100200398 
        70.       150.     35.500  0.118E-01  0.250E-02           E265100200399 
        70.       150.     36.500  0.145E-01  0.280E-02           E265100200400 
        70.       150.     37.500  0.154E-01  0.282E-02           E265100200401 
        70.       150.     38.500  0.143E-01  0.275E-02           E265100200402 
        70.       150.     39.500  0.784E-02  0.189E-02           E265100200403 
        70.       150.     40.500  0.507E-02  0.161E-02           E265100200404 
        70.       150.     41.500  0.537E-02  0.174E-02           E265100200405 
        70.       150.     42.500  0.291E-02  0.115E-02           E265100200406 
        70.       150.     43.500  0.438E-03  0.172E-03           E265100200407 
        70.       150.     44.500  0.264E-02  0.131E-02           E265100200408 
        70.       150.     45.500  0.313E-02  0.132E-02           E265100200409 
        70.       150.     46.500  0.642E-02  0.199E-02           E265100200410 
        70.       150.     47.500  0.312E-02  0.118E-02           E265100200411 
        70.       150.     48.500  0.399E-03  0.154E-03           E265100200412 
        70.       150.     49.500  0.203E-02  0.115E-02           E265100200413 
        70.       150.     50.500  0.101E-02  0.686E-03           E265100200414 
        70.       150.     51.500  0.124E-03  0.833E-04           E265100200415 
        70.       150.     52.500  0.426E-05  0.206E-05           E265100200416 
        70.       150.     53.500  0.581E-07  0.274E-07           E265100200417 
        70.       150.     54.500  0.323E-09  0.191E-09           E265100200418 
        70.       150.     55.500  0.574E-12  0.574E-12           E265100200419 
        70.       150.     56.500  0.000E+00  0.000E+00           E265100200420 
        70.       150.     57.500  0.000E+00  0.000E+00           E265100200421 
        70.       150.     58.500  0.000E+00  0.000E+00           E265100200422 
        70.       150.     59.500  0.000E+00  0.000E+00           E265100200423 
        70.       150.     60.500  0.000E+00  0.000E+00           E265100200424 
        70.       150.     61.500  0.000E+00  0.000E+00           E265100200425 
        70.       150.     62.500  0.000E+00  0.000E+00           E265100200426 
        70.       150.     63.500  0.000E+00  0.000E+00           E265100200427 
        70.       150.     64.500  0.000E+00  0.000E+00           E265100200428 
        70.       150.     65.500  0.000E+00  0.000E+00           E265100200429 
        70.       150.     66.500  0.000E+00  0.000E+00           E265100200430 
        70.       150.     67.500  0.000E+00  0.000E+00           E265100200431 
        70.       150.     68.500  0.000E+00  0.000E+00           E265100200432 
        70.       150.     69.500  0.000E+00  0.000E+00           E265100200433 
        70.       150.     70.500  0.000E+00  0.000E+00           E265100200434 
ENDDATA            424          0                                 E265100200435 
ENDSUBENT          434          0                                 E265100299999 
SUBENT        E2651003   20200528                             E126E265100300001 
BIB                  3          5                                 E265100300002 
REACTION   (13-AL-27(P,X)1-H-1,,DA/DE)                            E265100300003 
EN-SEC     ANG is polar angle (lab.) between beam and proton      E265100300004 
           (E,P)                                                  E265100300005 
SAMPLE     - Chemical-form of target is element.                  E265100300006 
           - Target-thickness: 5 um thick                         E265100300007 
ENDBIB               5          0                                 E265100300008 
NOCOMMON             0          0                                 E265100300009 
DATA                 5        411                                 E265100300010 
EN         ANG        E          DATA       ERR-S                 E265100300011 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             E265100300012 
        40.        15.      1.500  0.364E+01  0.183E+00           E265100300013 
        40.        15.      1.700  0.447E+01  0.196E+00           E265100300014 
        40.        15.      1.900  0.529E+01  0.214E+00           E265100300015 
        40.        15.      2.100  0.639E+01  0.204E+00           E265100300016 
        40.        15.      2.300  0.663E+01  0.212E+00           E265100300017 
        40.        15.      2.500  0.689E+01  0.222E+00           E265100300018 
        40.        15.      2.700  0.719E+01  0.233E+00           E265100300019 
        40.        15.      2.900  0.732E+01  0.237E+00           E265100300020 
        40.        15.      3.100  0.644E+01  0.216E+00           E265100300021 
        40.        15.      4.750  0.585E+01  0.112E+00           E265100300022 
        40.        15.      5.250  0.587E+01  0.116E+00           E265100300023 
        40.        15.      5.750  0.581E+01  0.123E+00           E265100300024 
        40.        15.      6.250  0.543E+01  0.130E+00           E265100300025 
        40.        15.      6.750  0.553E+01  0.147E+00           E265100300026 
        40.        15.      9.500  0.488E+01  0.936E-01           E265100300027 
        40.        15.     10.500  0.544E+01  0.100E+00           E265100300028 
        40.        15.     11.500  0.544E+01  0.988E-01           E265100300029 
        40.        15.     12.500  0.556E+01  0.101E+00           E265100300030 
        40.        60.      0.100  0.000E+00  0.000E+00           E265100300031 
        40.        60.      0.300  0.000E+00  0.000E+00           E265100300032 
        40.        60.      0.500  0.000E+00  0.000E+00           E265100300033 
        40.        60.      0.700  0.000E+00  0.000E+00           E265100300034 
        40.        60.      0.900  0.000E+00  0.000E+00           E265100300035 
        40.        60.      1.100  0.000E+00  0.000E+00           E265100300036 
        40.        60.      1.300  0.221E+01  0.939E-01           E265100300037 
        40.        60.      1.500  0.295E+01  0.106E+00           E265100300038 
        40.        60.      1.700  0.413E+01  0.122E+00           E265100300039 
        40.        60.      1.900  0.573E+01  0.134E+00           E265100300040 
        40.        60.      2.100  0.645E+01  0.143E+00           E265100300041 
        40.        60.      4.250  0.490E+01  0.536E-01           E265100300042 
        40.        60.      4.750  0.501E+01  0.546E-01           E265100300043 
        40.        60.      5.250  0.479E+01  0.550E-01           E265100300044 
        40.        60.      5.750  0.458E+01  0.585E-01           E265100300045 
        40.        60.      6.250  0.451E+01  0.638E-01           E265100300046 
        40.        60.      6.750  0.348E+01  0.536E-01           E265100300047 
        40.        60.      8.500  0.284E+01  0.421E-01           E265100300048 
        40.        60.      9.500  0.257E+01  0.402E-01           E265100300049 
        40.        60.     10.500  0.224E+01  0.386E-01           E265100300050 
        40.        60.     11.500  0.201E+01  0.368E-01           E265100300051 
        40.        60.     12.500  0.171E+01  0.538E-01           E265100300052 
        40.        60.     13.500  0.149E+01  0.409E-01           E265100300053 
        40.        60.     14.500  0.146E+01  0.412E-01           E265100300054 
        40.        60.     15.500  0.155E+01  0.354E-01           E265100300055 
        40.        60.     16.500  0.151E+01  0.356E-01           E265100300056 
        40.        60.     17.500  0.148E+01  0.358E-01           E265100300057 
        40.        60.     18.500  0.143E+01  0.356E-01           E265100300058 
        40.        60.     19.500  0.136E+01  0.349E-01           E265100300059 
        40.        60.     20.500  0.132E+01  0.347E-01           E265100300060 
        40.        60.     21.500  0.127E+01  0.344E-01           E265100300061 
        40.        60.     22.500  0.130E+01  0.354E-01           E265100300062 
        40.        60.     23.500  0.121E+01  0.340E-01           E265100300063 
        40.        60.     24.500  0.113E+01  0.335E-01           E265100300064 
        40.        60.     25.500  0.117E+01  0.351E-01           E265100300065 
        40.        60.     26.500  0.114E+01  0.344E-01           E265100300066 
        40.        60.     27.500  0.115E+01  0.349E-01           E265100300067 
        40.        60.     28.500  0.117E+01  0.353E-01           E265100300068 
        40.        60.     29.500  0.104E+01  0.331E-01           E265100300069 
        40.        60.     30.500  0.105E+01  0.340E-01           E265100300070 
        40.        60.     31.500  0.114E+01  0.356E-01           E265100300071 
        40.        60.     32.500  0.897E+00  0.303E-01           E265100300072 
        40.        60.     33.500  0.848E+00  0.308E-01           E265100300073 
        40.        60.     34.500  0.920E+00  0.330E-01           E265100300074 
        40.        60.     35.500  0.134E+01  0.409E-01           E265100300075 
        40.        60.     36.500  0.241E+01  0.546E-01           E265100300076 
        40.        60.     37.500  0.485E+01  0.788E-01           E265100300077 
        40.        60.     38.500  0.668E+01  0.904E-01           E265100300078 
        40.        60.     39.500  0.323E+01  0.539E-01           E265100300079 
        40.        60.     40.500  0.486E+00  0.985E-02           E265100300080 
        40.        60.     41.500  0.310E-01  0.303E-02           E265100300081 
        40.        60.     42.500  0.471E-02  0.208E-02           E265100300082 
        40.        60.     43.500  0.675E-03  0.314E-03           E265100300083 
        40.        60.     44.500  0.294E-02  0.206E-02           E265100300084 
        40.        60.     45.500  0.575E-03  0.296E-03           E265100300085 
        40.        60.     46.500  0.259E-04  0.885E-05           E265100300086 
        40.        60.     47.500  0.462E-06  0.152E-06           E265100300087 
        40.        60.     48.500  0.148E-02  0.148E-02           E265100300088 
        40.        60.     49.500  0.275E-03  0.197E-03           E265100300089 
        40.        60.     50.500  0.113E-04  0.539E-05           E265100300090 
        40.        60.     51.500  0.185E-06  0.851E-07           E265100300091 
        40.        60.     52.500  0.125E-08  0.788E-09           E265100300092 
        40.        60.     53.500  0.250E-11  0.250E-11           E265100300093 
        40.        60.     54.500  0.000E+00  0.000E+00           E265100300094 
        40.       120.      1.700  0.553E+01  0.111E+00           E265100300095 
        40.       120.      1.900  0.649E+01  0.112E+00           E265100300096 
        40.       120.      2.100  0.638E+01  0.106E+00           E265100300097 
        40.       120.      4.250  0.359E+01  0.313E-01           E265100300098 
        40.       120.      4.750  0.347E+01  0.306E-01           E265100300099 
        40.       120.      5.250  0.326E+01  0.308E-01           E265100300100 
        40.       120.      5.750  0.304E+01  0.324E-01           E265100300101 
        40.       120.      6.250  0.286E+01  0.338E-01           E265100300102 
        40.       120.      6.750  0.237E+01  0.321E-01           E265100300103 
        40.       120.      7.500  0.175E+01  0.240E-01           E265100300104 
        40.       120.      8.500  0.142E+01  0.218E-01           E265100300105 
        40.       120.      9.500  0.119E+01  0.201E-01           E265100300106 
        40.       120.     10.500  0.953E+00  0.181E-01           E265100300107 
        40.       120.     11.500  0.801E+00  0.166E-01           E265100300108 
        40.       120.     12.500  0.688E+00  0.154E-01           E265100300109 
        40.       120.     13.500  0.601E+00  0.145E-01           E265100300110 
        40.       120.     14.500  0.529E+00  0.136E-01           E265100300111 
        40.       120.     15.500  0.446E+00  0.125E-01           E265100300112 
        40.       120.     16.500  0.393E+00  0.118E-01           E265100300113 
        40.       120.     17.500  0.350E+00  0.112E-01           E265100300114 
        40.       120.     18.500  0.314E+00  0.106E-01           E265100300115 
        40.       120.     19.500  0.262E+00  0.968E-02           E265100300116 
        40.       120.     20.500  0.236E+00  0.919E-02           E265100300117 
        40.       120.     21.500  0.197E+00  0.839E-02           E265100300118 
        40.       120.     22.500  0.168E+00  0.775E-02           E265100300119 
        40.       120.     23.500  0.166E+00  0.775E-02           E265100300120 
        40.       120.     24.500  0.129E+00  0.680E-02           E265100300121 
        40.       120.     25.500  0.121E+00  0.662E-02           E265100300122 
        40.       120.     26.500  0.998E-01  0.597E-02           E265100300123 
        40.       120.     27.500  0.809E-01  0.541E-02           E265100300124 
        40.       120.     28.500  0.896E-01  0.575E-02           E265100300125 
        40.       120.     29.500  0.646E-01  0.480E-02           E265100300126 
        40.       120.     30.500  0.522E-01  0.435E-02           E265100300127 
        40.       120.     31.500  0.386E-01  0.370E-02           E265100300128 
        40.       120.     32.500  0.480E-01  0.420E-02           E265100300129 
        40.       120.     33.500  0.525E-01  0.439E-02           E265100300130 
        40.       120.     34.500  0.457E-01  0.412E-02           E265100300131 
        40.       120.     35.500  0.260E+00  0.979E-02           E265100300132 
        40.       120.     36.500  0.525E-01  0.423E-02           E265100300133 
        40.       120.     37.500  0.161E-02  0.529E-03           E265100300134 
        40.       120.     38.500  0.386E-03  0.372E-03           E265100300135 
        40.       120.     39.500  0.643E-05  0.643E-05           E265100300136 
        40.       120.     40.500  0.000E+00  0.000E+00           E265100300137 
        40.       150.      1.100  0.451E+01  0.844E-01           E265100300138 
        40.       150.      1.300  0.492E+01  0.836E-01           E265100300139 
        40.       150.      1.500  0.533E+01  0.857E-01           E265100300140 
        40.       150.      1.700  0.570E+01  0.885E-01           E265100300141 
        40.       150.      1.900  0.586E+01  0.906E-01           E265100300142 
        40.       150.      4.250  0.361E+01  0.375E-01           E265100300143 
        40.       150.      4.750  0.343E+01  0.355E-01           E265100300144 
        40.       150.      5.250  0.319E+01  0.359E-01           E265100300145 
        40.       150.      5.750  0.292E+01  0.365E-01           E265100300146 
        40.       150.      6.250  0.270E+01  0.385E-01           E265100300147 
        40.       150.      6.750  0.266E+01  0.429E-01           E265100300148 
        40.       150.      7.500  0.162E+01  0.198E-01           E265100300149 
        40.       150.      8.500  0.126E+01  0.175E-01           E265100300150 
        40.       150.      9.500  0.101E+01  0.157E-01           E265100300151 
        40.       150.     10.500  0.829E+00  0.143E-01           E265100300152 
        40.       150.     11.500  0.685E+00  0.130E-01           E265100300153 
        40.       150.     12.500  0.586E+00  0.121E-01           E265100300154 
        40.       150.     13.500  0.526E+00  0.115E-01           E265100300155 
        40.       150.     14.500  0.429E+00  0.104E-01           E265100300156 
        40.       150.     15.500  0.356E+00  0.949E-02           E265100300157 
        40.       150.     16.500  0.329E+00  0.915E-02           E265100300158 
        40.       150.     17.500  0.280E+00  0.842E-02           E265100300159 
        40.       150.     18.500  0.248E+00  0.795E-02           E265100300160 
        40.       150.     19.500  0.229E+00  0.764E-02           E265100300161 
        40.       150.     20.500  0.192E+00  0.698E-02           E265100300162 
        40.       150.     21.500  0.161E+00  0.638E-02           E265100300163 
        40.       150.     22.500  0.149E+00  0.614E-02           E265100300164 
        40.       150.     23.500  0.128E+00  0.573E-02           E265100300165 
        40.       150.     24.500  0.119E+00  0.552E-02           E265100300166 
        40.       150.     25.500  0.986E-01  0.499E-02           E265100300167 
        40.       150.     26.500  0.926E-01  0.486E-02           E265100300168 
        40.       150.     27.500  0.811E-01  0.458E-02           E265100300169 
        40.       150.     28.500  0.580E-01  0.387E-02           E265100300170 
        40.       150.     29.500  0.560E-01  0.377E-02           E265100300171 
        40.       150.     30.500  0.442E-01  0.337E-02           E265100300172 
        40.       150.     31.500  0.324E-01  0.288E-02           E265100300173 
        40.       150.     32.500  0.520E-01  0.363E-02           E265100300174 
        40.       150.     33.500  0.272E-01  0.261E-02           E265100300175 
        40.       150.     34.500  0.913E-01  0.484E-02           E265100300176 
        40.       150.     35.500  0.434E-01  0.332E-02           E265100300177 
        40.       150.     36.500  0.960E-03  0.366E-03           E265100300178 
        40.       150.     37.500  0.539E-05  0.379E-05           E265100300179 
        40.       150.     38.500  0.000E+00  0.000E+00           E265100300180 
        40.       150.     39.500  0.000E+00  0.000E+00           E265100300181 
        40.       150.     40.500  0.259E-03  0.259E-03           E265100300182 
        70.        15.      1.500  0.333E+01  0.124E+00           E265100300183 
        70.        15.      1.700  0.394E+01  0.123E+00           E265100300184 
        70.        15.      1.900  0.423E+01  0.125E+00           E265100300185 
        70.        15.      3.750  0.406E+01  0.635E-01           E265100300186 
        70.        15.      4.250  0.427E+01  0.639E-01           E265100300187 
        70.        15.      4.750  0.441E+01  0.652E-01           E265100300188 
        70.        15.      5.250  0.445E+01  0.670E-01           E265100300189 
        70.        15.      5.750  0.441E+01  0.726E-01           E265100300190 
        70.        15.      6.250  0.423E+01  0.756E-01           E265100300191 
        70.        15.      6.750  0.410E+01  0.851E-01           E265100300192 
        70.        15.      9.500  0.313E+01  0.562E-01           E265100300193 
        70.        15.     10.500  0.328E+01  0.570E-01           E265100300194 
        70.        15.     11.500  0.305E+01  0.542E-01           E265100300195 
        70.        15.     12.500  0.261E+01  0.499E-01           E265100300196 
        70.        15.     13.500  0.285E+01  0.559E-01           E265100300197 
        70.        15.     14.500  0.307E+01  0.579E-01           E265100300198 
        70.        60.      0.100  0.000E+00  0.000E+00           E265100300199 
        70.        60.      0.300  0.000E+00  0.000E+00           E265100300200 
        70.        60.      0.500  0.000E+00  0.000E+00           E265100300201 
        70.        60.      0.700  0.000E+00  0.000E+00           E265100300202 
        70.        60.      0.900  0.000E+00  0.000E+00           E265100300203 
        70.        60.      1.100  0.000E+00  0.000E+00           E265100300204 
        70.        60.      1.300  0.338E+01  0.122E+00           E265100300205 
        70.        60.      1.500  0.368E+01  0.128E+00           E265100300206 
        70.        60.      1.700  0.385E+01  0.125E+00           E265100300207 
        70.        60.      1.900  0.376E+01  0.118E+00           E265100300208 
        70.        60.      4.750  0.397E+01  0.494E-01           E265100300209 
        70.        60.      5.250  0.377E+01  0.504E-01           E265100300210 
        70.        60.      5.750  0.356E+01  0.538E-01           E265100300211 
        70.        60.      6.500  0.273E+01  0.240E-01           E265100300212 
        70.        60.      7.500  0.240E+01  0.216E-01           E265100300213 
        70.        60.      8.500  0.199E+01  0.199E-01           E265100300214 
        70.        60.      9.500  0.172E+01  0.186E-01           E265100300215 
        70.        60.     10.500  0.157E+01  0.179E-01           E265100300216 
        70.        60.     11.500  0.138E+01  0.168E-01           E265100300217 
        70.        60.     12.500  0.129E+01  0.363E-01           E265100300218 
        70.        60.     13.500  0.124E+01  0.358E-01           E265100300219 
        70.        60.     14.500  0.121E+01  0.357E-01           E265100300220 
        70.        60.     15.500  0.122E+01  0.361E-01           E265100300221 
        70.        60.     16.500  0.115E+01  0.350E-01           E265100300222 
        70.        60.     17.500  0.115E+01  0.355E-01           E265100300223 
        70.        60.     18.500  0.113E+01  0.350E-01           E265100300224 
        70.        60.     19.500  0.111E+01  0.349E-01           E265100300225 
        70.        60.     20.500  0.107E+01  0.349E-01           E265100300226 
        70.        60.     21.500  0.107E+01  0.347E-01           E265100300227 
        70.        60.     22.500  0.104E+01  0.345E-01           E265100300228 
        70.        60.     23.500  0.104E+01  0.346E-01           E265100300229 
        70.        60.     24.500  0.107E+01  0.346E-01           E265100300230 
        70.        60.     25.500  0.977E+00  0.340E-01           E265100300231 
        70.        60.     26.500  0.104E+01  0.341E-01           E265100300232 
        70.        60.     27.500  0.958E+00  0.341E-01           E265100300233 
        70.        60.     28.500  0.968E+00  0.339E-01           E265100300234 
        70.        60.     29.500  0.986E+00  0.337E-01           E265100300235 
        70.        60.     30.500  0.101E+01  0.343E-01           E265100300236 
        70.        60.     31.500  0.958E+00  0.330E-01           E265100300237 
        70.        60.     32.500  0.909E+00  0.328E-01           E265100300238 
        70.        60.     33.500  0.888E+00  0.322E-01           E265100300239 
        70.        60.     34.500  0.829E+00  0.319E-01           E265100300240 
        70.        60.     35.500  0.848E+00  0.320E-01           E265100300241 
        70.        60.     36.500  0.796E+00  0.315E-01           E265100300242 
        70.        60.     37.500  0.864E+00  0.320E-01           E265100300243 
        70.        60.     38.500  0.764E+00  0.311E-01           E265100300244 
        70.        60.     39.500  0.787E+00  0.311E-01           E265100300245 
        70.        60.     40.500  0.776E+00  0.305E-01           E265100300246 
        70.        60.     41.500  0.723E+00  0.299E-01           E265100300247 
        70.        60.     42.500  0.686E+00  0.296E-01           E265100300248 
        70.        60.     43.500  0.735E+00  0.296E-01           E265100300249 
        70.        60.     44.500  0.695E+00  0.293E-01           E265100300250 
        70.        60.     45.500  0.645E+00  0.287E-01           E265100300251 
        70.        60.     46.500  0.641E+00  0.286E-01           E265100300252 
        70.        60.     47.500  0.600E+00  0.274E-01           E265100300253 
        70.        60.     48.500  0.572E+00  0.272E-01           E265100300254 
        70.        60.     49.500  0.541E+00  0.270E-01           E265100300255 
        70.        60.     50.500  0.558E+00  0.273E-01           E265100300256 
        70.        60.     51.500  0.507E+00  0.265E-01           E265100300257 
        70.        60.     52.500  0.530E+00  0.264E-01           E265100300258 
        70.        60.     53.500  0.474E+00  0.251E-01           E265100300259 
        70.        60.     54.500  0.538E+00  0.253E-01           E265100300260 
        70.        60.     55.500  0.451E+00  0.233E-01           E265100300261 
        70.        60.     56.500  0.459E+00  0.231E-01           E265100300262 
        70.        60.     57.500  0.361E+00  0.219E-01           E265100300263 
        70.        60.     58.500  0.379E+00  0.206E-01           E265100300264 
        70.        60.     59.500  0.332E+00  0.189E-01           E265100300265 
        70.        60.     60.500  0.302E+00  0.180E-01           E265100300266 
        70.        60.     61.500  0.271E+00  0.164E-01           E265100300267 
        70.        60.     62.500  0.273E+00  0.158E-01           E265100300268 
        70.        60.     63.500  0.231E+00  0.147E-01           E265100300269 
        70.        60.     64.500  0.279E+00  0.260E-01           E265100300270 
        70.        60.     65.500  0.299E+00  0.266E-01           E265100300271 
        70.        60.     66.500  0.846E+00  0.462E-01           E265100300272 
        70.        60.     67.500  0.942E+00  0.471E-01           E265100300273 
        70.        60.     68.500  0.279E+00  0.213E-01           E265100300274 
        70.        60.     69.500  0.360E-01  0.573E-02           E265100300275 
        70.        60.     70.500  0.196E-02  0.498E-03           E265100300276 
        70.        60.     71.500  0.423E-04  0.915E-05           E265100300277 
        70.        60.     72.500  0.396E-06  0.894E-07           E265100300278 
        70.        60.     73.500  0.159E-08  0.456E-09           E265100300279 
        70.        60.     74.500  0.215E-11  0.108E-11           E265100300280 
        70.        60.     75.500  0.000E+00  0.000E+00           E265100300281 
        70.       120.      1.100  0.322E+01  0.802E-01           E265100300282 
        70.       120.      1.300  0.435E+01  0.919E-01           E265100300283 
        70.       120.      1.500  0.468E+01  0.937E-01           E265100300284 
        70.       120.      1.700  0.475E+01  0.882E-01           E265100300285 
        70.       120.      1.900  0.487E+01  0.848E-01           E265100300286 
        70.       120.      2.100  0.468E+01  0.787E-01           E265100300287 
        70.       120.      2.300  0.465E+01  0.762E-01           E265100300288 
        70.       120.      2.500  0.450E+01  0.744E-01           E265100300289 
        70.       120.      2.700  0.435E+01  0.716E-01           E265100300290 
        70.       120.      2.900  0.429E+01  0.720E-01           E265100300291 
        70.       120.      3.100  0.404E+01  0.683E-01           E265100300292 
        70.       120.      4.250  0.298E+01  0.251E-01           E265100300293 
        70.       120.      4.750  0.289E+01  0.246E-01           E265100300294 
        70.       120.      5.250  0.268E+01  0.245E-01           E265100300295 
        70.       120.      5.750  0.239E+01  0.248E-01           E265100300296 
        70.       120.      6.250  0.200E+01  0.240E-01           E265100300297 
        70.       120.      6.750  0.180E+01  0.212E-01           E265100300298 
        70.       120.      7.250  0.175E+01  0.233E-01           E265100300299 
        70.       120.      8.500  0.127E+01  0.132E-01           E265100300300 
        70.       120.      9.500  0.118E+01  0.126E-01           E265100300301 
        70.       120.     10.500  0.921E+00  0.112E-01           E265100300302 
        70.       120.     11.500  0.764E+00  0.102E-01           E265100300303 
        70.       120.     12.500  0.637E+00  0.938E-02           E265100300304 
        70.       120.     13.500  0.556E+00  0.874E-02           E265100300305 
        70.       120.     14.500  0.490E+00  0.824E-02           E265100300306 
        70.       120.     15.500  0.433E+00  0.774E-02           E265100300307 
        70.       120.     16.500  0.373E+00  0.724E-02           E265100300308 
        70.       120.     17.500  0.336E+00  0.691E-02           E265100300309 
        70.       120.     18.500  0.310E+00  0.988E-02           E265100300310 
        70.       120.     19.500  0.266E+00  0.924E-02           E265100300311 
        70.       120.     20.500  0.245E+00  0.904E-02           E265100300312 
        70.       120.     21.500  0.220E+00  0.853E-02           E265100300313 
        70.       120.     22.500  0.205E+00  0.840E-02           E265100300314 
        70.       120.     23.500  0.187E+00  0.815E-02           E265100300315 
        70.       120.     24.500  0.186E+00  0.827E-02           E265100300316 
        70.       120.     25.500  0.167E+00  0.776E-02           E265100300317 
        70.       120.     26.500  0.145E+00  0.725E-02           E265100300318 
        70.       120.     27.500  0.123E+00  0.674E-02           E265100300319 
        70.       120.     28.500  0.988E-01  0.602E-02           E265100300320 
        70.       120.     29.500  0.988E-01  0.622E-02           E265100300321 
        70.       120.     30.500  0.949E-01  0.611E-02           E265100300322 
        70.       120.     31.500  0.795E-01  0.549E-02           E265100300323 
        70.       120.     32.500  0.840E-01  0.586E-02           E265100300324 
        70.       120.     33.500  0.770E-01  0.555E-02           E265100300325 
        70.       120.     34.500  0.562E-01  0.466E-02           E265100300326 
        70.       120.     35.500  0.494E-01  0.457E-02           E265100300327 
        70.       120.     36.500  0.396E-01  0.397E-02           E265100300328 
        70.       120.     37.500  0.476E-01  0.455E-02           E265100300329 
        70.       120.     38.500  0.400E-01  0.405E-02           E265100300330 
        70.       120.     39.500  0.290E-01  0.342E-02           E265100300331 
        70.       120.     40.500  0.270E-01  0.344E-02           E265100300332 
        70.       120.     41.500  0.253E-01  0.332E-02           E265100300333 
        70.       120.     42.500  0.192E-01  0.282E-02           E265100300334 
        70.       120.     43.500  0.185E-01  0.286E-02           E265100300335 
        70.       120.     44.500  0.151E-01  0.253E-02           E265100300336 
        70.       120.     45.500  0.988E-02  0.203E-02           E265100300337 
        70.       120.     46.500  0.128E-01  0.245E-02           E265100300338 
        70.       120.     47.500  0.130E-01  0.243E-02           E265100300339 
        70.       120.     48.500  0.744E-02  0.173E-02           E265100300340 
        70.       120.     49.500  0.757E-02  0.190E-02           E265100300341 
        70.       120.     50.500  0.770E-02  0.190E-02           E265100300342 
