 0.20        1.557E+01  3.009E+01  4.890E+00                      E010300400042 
 0.20        2.094E+01  3.023E+01  4.369E+00                      E010300400043 
 0.20        2.548E+01  2.430E+01  4.092E+00                      E010300400044 
 0.20        3.043E+01  1.835E+01  2.218E+00                      E010300400045 
 0.20        3.620E+01  1.872E+01  2.049E+00                      E010300400046 
 0.20        4.101E+01  1.308E+01  3.018E+00                      E010300400047 
 0.20        4.569E+01  1.068E+01  2.396E+00                      E010300400048 
 0.20        5.120E+01  1.215E+01  2.271E+00                      E010300400049 
 0.20        5.602E+01  1.028E+01  2.114E+00                      E010300400050 
 0.20        6.189E+01  5.990E+00  1.775E+00                      E010300400051 
 0.20        6.657E+01  4.940E+00  8.929E-01                      E010300400052 
 0.20        7.144E+01  8.430E+00  1.421E+00                      E010300400053 
 0.20        7.653E+01  7.754E+00  1.449E+00                      E010300400054 
 0.20        8.099E+01  1.193E+01  1.796E+00                      E010300400055 
 0.20        8.579E+01  8.462E+00  1.273E+00                      E010300400056 
 0.20        9.206E+01  4.582E+00  5.275E-01                      E010300400057 
 0.20        9.656E+01  1.865E+00  3.485E-01                      E010300400058 
 0.20        1.018E+02  2.810E+00  4.908E-01                      E010300400059 
 0.20        1.060E+02  2.928E+00  4.580E-01                      E010300400060 
 0.20        1.110E+02  3.281E+00  7.359E-01                      E010300400061 
 0.20        1.213E+02  3.416E+00  5.140E-01                      E010300400062 
 0.20        1.264E+02  2.266E+00  3.822E-01                      E010300400063 
 0.20        1.311E+02  1.141E+00  1.992E-01                      E010300400064 
 0.20        1.368E+02  1.140E+00  1.717E-01                      E010300400065 
 0.43        1.572E+01  7.017E+01  1.658E+01                      E010300400066 
 0.43        2.102E+01  4.588E+01  6.124E+00                      E010300400067 
 0.43        2.571E+01  5.002E+01  6.409E+00                      E010300400068 
 0.43        3.118E+01  5.722E+01  7.331E+00                      E010300400069 
 0.43        3.606E+01  2.569E+01  9.116E+00                      E010300400070 
 0.43        4.104E+01  4.079E+01  4.785E+00                      E010300400071 
 0.43        4.584E+01  3.444E+01                                 E010300400072 
 0.43        5.130E+01  3.543E+01  4.344E+00                      E010300400073 
 0.43        5.662E+01  2.935E+01  3.597E+00                      E010300400074 
 0.43        6.178E+01  1.734E+01  2.989E+00                      E010300400075 
 0.43        6.658E+01  1.389E+01  1.855E+00                      E010300400076 
 0.43        7.153E+01  1.471E+01  1.488E+00                      E010300400077 
 0.43        7.660E+01  1.442E+01  1.385E+00                      E010300400078 
 0.43        8.140E+01  1.334E+01  1.493E+00                      E010300400079 
 0.43        8.658E+01  1.028E+01  1.149E+00                      E010300400080 
 0.43        9.242E+01  8.034E+00  1.073E+00                      E010300400081 
 0.43        9.709E+01  7.292E+00  8.551E-01                      E010300400082 
 0.43        1.020E+02  5.432E+00  7.545E-01                      E010300400083 
 0.43        1.075E+02  4.653E+00  5.462E-01                      E010300400084 
 0.43        1.124E+02  4.162E+00  4.876E-01                      E010300400085 
 0.43        1.175E+02  4.648E+00  5.449E-01                      E010300400086 
 0.43        1.222E+02  4.385E+00  5.614E-01                      E010300400087 
 0.43        1.271E+02  3.580E+00  4.198E-01                      E010300400088 
 0.43        1.319E+02  2.115E+00  3.292E-01                      E010300400089 
 0.43        1.367E+02  1.929E+00  3.109E-01                      E010300400090 
 1.13        1.509E+01  1.615E+02  1.969E+01                      E010300400091 
 1.13        2.030E+01  1.513E+02  1.844E+01                      E010300400092 
 1.13        2.561E+01  1.313E+02                                 E010300400093 
 1.13        3.048E+01  1.246E+02  1.457E+01                      E010300400094 
 1.13        3.547E+01  1.288E+02                                 E010300400095 
 1.13        4.117E+01  1.377E+02  1.616E+01                      E010300400096 
 1.13        4.592E+01  1.296E+02  1.454E+01                      E010300400097 
 1.13        5.110E+01  1.042E+02  1.220E+01                      E010300400098 
 1.13        5.664E+01  8.698E+01                                 E010300400099 
 1.13        6.147E+01  6.614E+01  9.013E+00                      E010300400100 
 1.13        6.634E+01  6.386E+01  8.692E+00                      E010300400101 
 1.13        7.213E+01  5.957E+01                                 E010300400102 
 1.13        7.730E+01  4.378E+01                                 E010300400103 
 1.13        8.239E+01  4.016E+01  4.886E+00                      E010300400104 
 1.13        8.712E+01  3.397E+01  3.815E+00                      E010300400105 
 1.13        9.264E+01  2.550E+01  2.982E+00                      E010300400106 
 1.13        9.752E+01  2.636E+01  3.092E+00                      E010300400107 
 1.13        1.022E+02  1.937E+01  2.273E+00                      E010300400108 
