ENTRY            E2661   20210604                             E131E266100000001 
SUBENT        E2661001   20210604                             E131E266100100001 
BIB                 12         35                                 E266100100002 
TITLE      Role of Multichance Fission in the Description of      E266100100003 
           Fission-Fragment Mass Distributions at High Energies   E266100100004 
AUTHOR     (K.Hirose, K.Nishio, S.Tanaka, R.Leguillon, H.Makii,   E266100100005 
            I.Nishinaka, R.Orlandi, K.Tsukada, J.Smallcombe,      E266100100006 
            M.J.Vermeulen, S.Chiba, Y.Aritomo, T.Ohtsuki,         E266100100007 
            K.Nakano, S.Araki, Y.Watanabe, R.Tatsuzawa, N.Takaki, E266100100008 
            N.Tamura, S.Goto, I.Tsekhanovich, A.N.Andreyev)       E266100100009 
INSTITUTE  (2JPNJAE) Advanced Science Research Center             E266100100010 
           (2JPNKNK) Faculty of Science and Engineering           E266100100011 
           (1CANTMF)                                              E266100100012 
           (2JPNTIT) Laboratory for Advanced Nuclear Energy,      E266100100013 
                     Institute for Innovative Research            E266100100014 
           (2JPNKTO) Research Reactor Institute                   E266100100015 
           (2JPNKYU) Interdisciplinary Graduate School of         E266100100016 
                     Engineering Sciences                         E266100100017 
           (2JPNJPN) Graduate School of Engineering, Tokyo City   E266100100018 
                     University                                   E266100100019 
           (2JPNNII) Graduate School of Science and Technology    E266100100020 
           (2FR BOR)                                              E266100100021 
           (2UK YRK) Department of Physics                        E266100100022 
REFERENCE  (J,PRL,119,222501,2017)                                E266100100023 
PART-DET   (FF)                                                   E266100100024 
INC-SOURCE Beam intensity is 0.5 particle-nA.                     E266100100025 
SAMPLE     - Chemical-form of target is element.                  E266100100026 
           - Physical-form of target is solid.                    E266100100027 
           - Target-thickness is 0.08 mg/cm2.                     E266100100028 
           - Backing is nickel.                                   E266100100029 
           - Backing-thickness is 0.09 mg/cm2.                    E266100100030 
FACILITY   (VDGT,2JPNJAE)                                         E266100100031 
DETECTOR   (SI)                                                   E266100100032 
           (MWPC)                                                 E266100100033 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   E266100100034 
STATUS     (TABLE) Plotted in Fig.3 of Physics Review L 119,      E266100100035 
                   222501 (2017)                                  E266100100036 
HISTORY    (20200831C) Qing Zhao                                  E266100100037 
ENDBIB              35          0                                 E266100100038 
COMMON               1          3                                 E266100100039 
EN                                                                E266100100040 
MEV                                                               E266100100041 
 157.5                                                            E266100100042 
ENDCOMMON            3          0                                 E266100100043 
ENDSUBENT           42          0                                 E266100199999 
SUBENT        E2661002   20210604                             E131E266100200001 
BIB                  2          2                                 E266100200002 
REACTION   (92-U-238(8-O-18,8-O-19+F)MASS,ISP/PRE,FY)             E266100200003 
EN-SEC     (E-EXC,92-U-237)                                       E266100200004 
ENDBIB               2          0                                 E266100200005 
NOCOMMON             0          0                                 E266100200006 
DATA                 5        200                                 E266100200007 
E-EXC-MIN  E-EXC-MAX  MASS       DATA       DATA-ERR              E266100200008 
        50.        60.      113.5  2.0599251  0.2195888           E266100400188 
        50.        60.      117.5  2.6217229  0.2477295           E266100400189 
        50.        60.      121.5  2.6217229  0.2477295           E266100400190 
        50.        60.      125.5  2.0599251  0.2195888           E266100400191 
        50.        60.      129.5  2.5280900  0.2432656           E266100400192 
        50.        60.      133.5  2.7153559  0.2521145           E266100400193 
        50.        60.      137.5  3.0898876  0.2689402           E266100400194 
        50.        60.      141.5  3.2771535  0.2769700           E266100400195 
        50.        60.      145.5  2.9494381  0.2627568           E266100400196 
        50.        60.      149.5  2.0599251  0.2195888           E266100400197 
        50.        60.      153.5  1.4513110  0.1843167           E266100400198 
        50.        60.      157.5  0.9363296  0.1480467           E266100400199 
        50.        60.      161.5  0.5149813  0.1097944           E266100400200 
        50.        60.      165.5  0.5149813  0.1097944           E266100400201 
        50.        60.      169.5  0.0468165  0.0331042           E266100400202 
        50.        60.      173.5  0.1404494  0.0573382           E266100400203 
        50.        60.      177.5  0.0936330  0.0468165           E266100400204 
        50.        60.      181.5  0.0000000  0.0000000           E266100400205 
        50.        60.      185.5  0.0000000  0.0000000           E266100400206 
        50.        60.      189.5  0.0000000  0.0000000           E266100400207 
        50.        60.      193.5  0.0000000  0.0000000           E266100400208 
        50.        60.      197.5  0.0000000  0.0000000           E266100400209 
ENDDATA            202          0                                 E266100400210 
ENDSUBENT          209          0                                 E266100499999 
SUBENT        E2661005   20210604                             E131E266100500001 
BIB                  2          2                                 E266100500002 
REACTION   (92-U-238(8-O-18,8-O-16+F)MASS,ISP/PRE,FY)             E266100500003 
EN-SEC     (E-EXC,92-U-240)                                       E266100500004 
ENDBIB               2          0                                 E266100500005 
NOCOMMON             0          0                                 E266100500006 
DATA                 5        200                                 E266100500007 
E-EXC-MIN  E-EXC-MAX  MASS       DATA       DATA-ERR              E266100500008 
MEV        MEV        NO-DIM     PC/FIS     PC/FIS                E266100500009 
        10.        20.       42.0  0.0000000  0.0000000           E266100500010 
        10.        20.       46.0  0.0000000  0.0000000           E266100500011 
        10.        20.       50.0  0.0000000  0.0000000           E266100500012 
        10.        20.       54.0  0.1190476  0.0841794           E266100500013 
        10.        20.       58.0  0.0000000  0.0000000           E266100500014 
        10.        20.       62.0  0.1190476  0.0841794           E266100500015 
        10.        20.       66.0  0.1190476  0.0841794           E266100500016 
        10.        20.       70.0  0.1190476  0.0841794           E266100500017 
        10.        20.       74.0  0.3571429  0.1458030           E266100500018 
        10.        20.       78.0  0.4761905  0.1683588           E266100500019 
        10.        20.       82.0  1.1904762  0.2661986           E266100500020 
        10.        20.       86.0  1.0714285  0.2525381           E266100500021 
        10.        20.       90.0  2.0238094  0.3470805           E266100500022 
        10.        20.       94.0  2.2619047  0.3669294           E266100500023 
        10.        20.       98.0  4.2857141  0.5050762           E266100500024 
        10.        20.      102.0  4.0476189  0.4908459           E266100500025 
        10.        20.      106.0  3.8095238  0.4761905           E266100500026 
        10.        20.      110.0  2.6190476  0.3948363           E266100500027 
        10.        20.      114.0  1.0714285  0.2525381           E266100500028 
        10.        20.      118.0  1.3095238  0.2791914           E266100500029 
        10.        20.      122.0  1.3095238  0.2791914           E266100500030 
        10.        20.      126.0  1.0714285  0.2525381           E266100500031 
        10.        20.      130.0  2.6190476  0.3948363           E266100500032 
        10.        20.      134.0  3.8095238  0.4761905           E266100500033 
        10.        20.      138.0  4.0476189  0.4908459           E266100500034 
        10.        20.      142.0  4.2857141  0.5050762           E266100500035 
        10.        20.      146.0  2.2619047  0.3669294           E266100500036 
        10.        20.      150.0  2.0238094  0.3470805           E266100500037 
        10.        20.      154.0  1.0714285  0.2525381           E266100500038 
        10.        20.      158.0  1.1904762  0.2661986           E266100500039 
        10.        20.      162.0  0.4761905  0.1683588           E266100500040 
        10.        20.      166.0  0.3571429  0.1458030           E266100500041 
        10.        20.      170.0  0.1190476  0.0841794           E266100500042 
        10.        20.      174.0  0.1190476  0.0841794           E266100500043 
        10.        20.      178.0  0.1190476  0.0841794           E266100500044 
        10.        20.      182.0  0.0000000  0.0000000           E266100500045 
        10.        20.      186.0  0.1190476  0.0841794           E266100500046 
        10.        20.      190.0  0.0000000  0.0000000           E266100500047 
        10.        20.      194.0  0.0000000  0.0000000           E266100500048 
        10.        20.      198.0  0.0000000  0.0000000           E266100500049 
        20.        30.       42.0  0.0000000  0.0000000           E266100500050 
        20.        30.       46.0  0.0000000  0.0000000           E266100500051 
        20.        30.       50.0  0.0000000  0.0000000           E266100500052 
        20.        30.       54.0  0.0000000  0.0000000           E266100500053 
        20.        30.       58.0  0.0000000  0.0000000           E266100500054 
        20.        30.       62.0  0.2702703  0.0955550           E266100500055 
        20.        30.       66.0  0.2702703  0.0955550           E266100500056 
        20.        30.       70.0  0.2027027  0.0827530           E266100500057 
        20.        30.       74.0  0.2702703  0.0955550           E266100500058 
        20.        30.       78.0  0.4054054  0.1170305           E266100500059 
        20.        30.       82.0  0.8783783  0.1722642           E266100500060 
        20.        30.       86.0  1.0810810  0.1911099           E266100500061 
        20.        30.       90.0  1.6891891  0.2388874           E266100500062 
        20.        30.       94.0  3.1081080  0.3240427           E266100500063 
        20.        30.       98.0  4.1891890  0.3762003           E266100500064 
        20.        30.      102.0  4.0540538  0.3700828           E266100500065 
        20.        30.      106.0  3.3783784  0.3378378           E266100500066 
        20.        30.      110.0  2.8378377  0.3096335           E266100500067 
        20.        30.      114.0  1.3513513  0.2136674           E266100500068 
        20.        30.      118.0  1.0135134  0.1850414           E266100500069 
        20.        30.      122.0  1.0135134  0.1850414           E266100500070 
        20.        30.      126.0  1.3513513  0.2136674           E266100500071 
        20.        30.      130.0  2.8378377  0.3096335           E266100500072 
        20.        30.      134.0  3.3783784  0.3378378           E266100500073 
        20.        30.      138.0  4.0540538  0.3700828           E266100500074 
        20.        30.      142.0  4.1891890  0.3762003           E266100500075 
        20.        30.      146.0  3.1081080  0.3240427           E266100500076 
        20.        30.      150.0  1.6891891  0.2388874           E266100500077 
        20.        30.      154.0  1.0810810  0.1911099           E266100500078 
        20.        30.      158.0  0.8783783  0.1722642           E266100500079 
        20.        30.      162.0  0.4054054  0.1170305           E266100500080 
        20.        30.      166.0  0.2702703  0.0955550           E266100500081 
        20.        30.      170.0  0.2027027  0.0827530           E266100500082 
        20.        30.      174.0  0.2702703  0.0955550           E266100500083 
        20.        30.      178.0  0.2702703  0.0955550           E266100500084 
        20.        30.      182.0  0.0000000  0.0000000           E266100500085 
        20.        30.      186.0  0.0000000  0.0000000           E266100500086 
        20.        30.      190.0  0.0000000  0.0000000           E266100500087 
        20.        30.      194.0  0.0000000  0.0000000           E266100500088 
        20.        30.      198.0  0.0000000  0.0000000           E266100500089 
        30.        40.       42.0  0.0000000  0.0000000           E266100500090 
        30.        40.       46.0  0.0000000  0.0000000           E266100500091 
        30.        40.       50.0  0.0000000  0.0000000           E266100500092 
        30.        40.       54.0  0.0000000  0.0000000           E266100500093 
        30.        40.       58.0  0.0506073  0.0357848           E266100500094 
        30.        40.       62.0  0.0506073  0.0357848           E266100500095 
        30.        40.       66.0  0.1518219  0.0619810           E266100500096 
        30.        40.       70.0  0.3542510  0.0946776           E266100500097 
        30.        40.       74.0  0.3542510  0.0946776           E266100500098 
        30.        40.       78.0  0.6072874  0.1239620           E266100500099 
        30.        40.       82.0  0.6578947  0.1290238           E266100500100 
        30.        40.       86.0  1.3663968  0.1859430           E266100500101 
        30.        40.       90.0  2.2267206  0.2373692           E266100500102 
        30.        40.       94.0  2.5809717  0.2555543           E266100500103 
        30.        40.       98.0  4.5040483  0.3375927           E266100500104 
        30.        40.      102.0  3.6437247  0.3036437           E266100500105 
        30.        40.      106.0  3.4412954  0.2950886           E266100500106 
        30.        40.      110.0  2.3279352  0.2427040           E266100500107 
        30.        40.      114.0  1.7206477  0.2086592           E266100500108 
        30.        40.      118.0  0.9615384  0.1559821           E266100500109 
        30.        40.      122.0  0.9615384  0.1559821           E266100500110 
        30.        40.      126.0  1.7206477  0.2086592           E266100500111 
        30.        40.      130.0  2.3279352  0.2427040           E266100500112 
        30.        40.      134.0  3.4412954  0.2950886           E266100500113 
        30.        40.      138.0  3.6437247  0.3036437           E266100500114 
        30.        40.      142.0  4.5040483  0.3375927           E266100500115 
        30.        40.      146.0  2.5809717  0.2555543           E266100500116 
        30.        40.      150.0  2.2267206  0.2373692           E266100500117 
        30.        40.      154.0  1.3663968  0.1859430           E266100500118 
        30.        40.      158.0  0.6578947  0.1290238           E266100500119 
        30.        40.      162.0  0.6072874  0.1239620           E266100500120 
        30.        40.      166.0  0.3542510  0.0946776           E266100500121 
        30.        40.      170.0  0.3542510  0.0946776           E266100500122 
        30.        40.      174.0  0.1518219  0.0619810           E266100500123 
        30.        40.      178.0  0.0506073  0.0357848           E266100500124 
        30.        40.      182.0  0.0506073  0.0357848           E266100500125 
        30.        40.      186.0  0.0000000  0.0000000           E266100500126 
        30.        40.      190.0  0.0000000  0.0000000           E266100500127 
        30.        40.      194.0  0.0000000  0.0000000           E266100500128 
        30.        40.      198.0  0.0000000  0.0000000           E266100500129 
        40.        50.       42.0  0.0000000  0.0000000           E266100500130 
        40.        50.       46.0  0.0000000  0.0000000           E266100500131 
        40.        50.       50.0  0.0000000  0.0000000           E266100500132 
        40.        50.       54.0  0.0000000  0.0000000           E266100500133 
        40.        50.       58.0  0.0000000  0.0000000           E266100500134 
        40.        50.       62.0  0.0538793  0.0380984           E266100500135 
        40.        50.       66.0  0.1077586  0.0538793           E266100500136 
        40.        50.       70.0  0.2693965  0.0851907           E266100500137 
        40.        50.       74.0  0.5387931  0.1204778           E266100500138 
        40.        50.       78.0  0.4849138  0.1142953           E266100500139 
        40.        50.       82.0  1.6163793  0.2086737           E266100500140 
        40.        50.       86.0  1.2392241  0.1827136           E266100500141 
        40.        50.       90.0  2.7478447  0.2720771           E266100500142 
        40.        50.       94.0  2.6400864  0.2666890           E266100500143 
        40.        50.       98.0  3.6099138  0.3118490           E266100500144 
        40.        50.      102.0  3.7176723  0.3164693           E266100500145 
        40.        50.      106.0  2.4784482  0.2583961           E266100500146 
        40.        50.      110.0  2.2629311  0.2469060           E266100500147 
        40.        50.      114.0  1.3469827  0.1904921           E266100500148 
        40.        50.      118.0  1.8857758  0.2253933           E266100500149 
        40.        50.      122.0  1.8857758  0.2253933           E266100500150 
        40.        50.      126.0  1.3469827  0.1904921           E266100500151 
        40.        50.      130.0  2.2629311  0.2469060           E266100500152 
        40.        50.      134.0  2.4784482  0.2583961           E266100500153 
        40.        50.      138.0  3.7176723  0.3164693           E266100500154 
        40.        50.      142.0  3.6099138  0.3118490           E266100500155 
        40.        50.      146.0  2.6400864  0.2666890           E266100500156 
        40.        50.      150.0  2.7478447  0.2720771           E266100500157 
        40.        50.      154.0  1.2392241  0.1827136           E266100500158 
        40.        50.      158.0  1.6163793  0.2086737           E266100500159 
        40.        50.      162.0  0.4849138  0.1142953           E266100500160 
        40.        50.      166.0  0.5387931  0.1204778           E266100500161 
        40.        50.      170.0  0.2693965  0.0851907           E266100500162 
        40.        50.      174.0  0.1077586  0.0538793           E266100500163 
        40.        50.      178.0  0.0538793  0.0380984           E266100500164 
        40.        50.      182.0  0.0000000  0.0000000           E266100500165 
        40.        50.      186.0  0.0000000  0.0000000           E266100500166 
        40.        50.      190.0  0.0000000  0.0000000           E266100500167 
        40.        50.      194.0  0.0000000  0.0000000           E266100500168 
        40.        50.      198.0  0.0000000  0.0000000           E266100500169 
        50.        60.       42.0  0.0000000  0.0000000           E266100500170 
        50.        60.       46.0  0.0000000  0.0000000           E266100500171 
        50.        60.       50.0  0.0000000  0.0000000           E266100500172 
        50.        60.       54.0  0.0000000  0.0000000           E266100500173 
        50.        60.       58.0  0.0659631  0.0466429           E266100500174 
        50.        60.       62.0  0.0000000  0.0000000           E266100500175 
        50.        60.       66.0  0.1319261  0.0659631           E266100500176 
        50.        60.       70.0  0.4617414  0.1234056           E266100500177 
        50.        60.       74.0  0.5936675  0.1399288           E266100500178 
        50.        60.       78.0  0.7915567  0.1615758           E266100500179 
        50.        60.       82.0  1.1873350  0.1978892           E266100500180 
        50.        60.       86.0  1.7810026  0.2423638           E266100500181 
        50.        60.       90.0  2.3087070  0.2759433           E266100500182 
        50.        60.       94.0  3.2981532  0.3298153           E266100500183 
        50.        60.       98.0  2.5725594  0.2912850           E266100500184 
        50.        60.      102.0  2.6385224  0.2949958           E266100500185 
        50.        60.      106.0  2.6385224  0.2949958           E266100500186 
        50.        60.      110.0  2.3087070  0.2759433           E266100500187 
        50.        60.      114.0  1.7810026  0.2423638           E266100500188 
        50.        60.      118.0  2.4406333  0.2837178           E266100500189 
        50.        60.      122.0  2.4406333  0.2837178           E266100500190 
        50.        60.      126.0  1.7810026  0.2423638           E266100500191 
        50.        60.      130.0  2.3087070  0.2759433           E266100500192 
        50.        60.      134.0  2.6385224  0.2949958           E266100500193 
        50.        60.      138.0  2.6385224  0.2949958           E266100500194 
        50.        60.      142.0  2.5725594  0.2912850           E266100500195 
        50.        60.      146.0  3.2981532  0.3298153           E266100500196 
        50.        60.      150.0  2.3087070  0.2759433           E266100500197 
        50.        60.      154.0  1.7810026  0.2423638           E266100500198 
        50.        60.      158.0  1.1873350  0.1978892           E266100500199 
        50.        60.      162.0  0.7915567  0.1615758           E266100500200 
        50.        60.      166.0  0.5936675  0.1399288           E266100500201 
        50.        60.      170.0  0.4617414  0.1234056           E266100500202 
        50.        60.      174.0  0.1319261  0.0659631           E266100500203 
        50.        60.      178.0  0.0000000  0.0000000           E266100500204 
        50.        60.      182.0  0.0659631  0.0466429           E266100500205 
        50.        60.      186.0  0.0000000  0.0000000           E266100500206 
        50.        60.      190.0  0.0000000  0.0000000           E266100500207 
        50.        60.      194.0  0.0000000  0.0000000           E266100500208 
        50.        60.      198.0  0.0000000  0.0000000           E266100500209 
ENDDATA            202          0                                 E266100500210 
ENDSUBENT          209          0                                 E266100599999 
SUBENT        E2661006   20210604                             E131E266100600001 
BIB                  2          2                                 E266100600002 
REACTION   (92-U-238(8-O-18,7-N-17+F)MASS,ISP/PRE,FY)             E266100600003 
EN-SEC     (E-EXC,93-NP-239)                                      E266100600004 
ENDBIB               2          0                                 E266100600005 
NOCOMMON             0          0                                 E266100600006 
DATA                 5        200                                 E266100600007 
E-EXC-MIN  E-EXC-MAX  MASS       DATA       DATA-ERR              E266100600008 
MEV        MEV        NO-DIM     PC/FIS     PC/FIS                E266100600009 
        10.        20.       41.5  0.0000000  0.0000000           E266100600010 
        10.        20.       45.5  0.0000000  0.0000000           E266100600011 
        10.        20.       49.5  0.0000000  0.0000000           E266100600012 
        10.        20.       53.5  0.0202922  0.0143488           E266100600013 
        10.        20.       57.5  0.0608766  0.0248528           E266100600014 
        10.        20.       61.5  0.1420454  0.0379632           E266100600015 
        10.        20.       65.5  0.1420454  0.0379632           E266100600016 
        10.        20.       69.5  0.2232143  0.0475894           E266100600017 
        10.        20.       73.5  0.3652597  0.0608766           E266100600018 
        10.        20.       77.5  0.6493506  0.0811688           E266100600019 
        10.        20.       81.5  0.7711039  0.0884517           E266100600020 
        10.        20.       85.5  1.2987013  0.1147901           E266100600021 
        10.        20.       89.5  2.0900974  0.1456240           E266100600022 
        10.        20.       93.5  2.3133116  0.1532028           E266100600023 
        10.        20.       97.5  3.7743506  0.1956910           E266100600024 
        10.        20.      101.5  4.6672082  0.2176097           E266100600025 
        10.        20.      105.5  4.2207789  0.2069407           E266100600026 
        10.        20.      109.5  2.2727270  0.1518530           E266100600027 
        10.        20.      113.5  1.4610389  0.1217533           E266100600028 
        10.        20.      117.5  0.5275974  0.0731646           E266100600029 
        10.        20.      121.5  0.5275974  0.0731646           E266100600030 
        10.        20.      125.5  1.4610389  0.1217533           E266100600031 
        10.        20.      129.5  2.2727270  0.1518530           E266100600032 
        10.        20.      133.5  4.2207789  0.2069407           E266100600033 
        10.        20.      137.5  4.6672082  0.2176097           E266100600034 
        10.        20.      141.5  3.7743506  0.1956910           E266100600035 
        10.        20.      145.5  2.3133116  0.1532028           E266100600036 
        10.        20.      149.5  2.0900974  0.1456240           E266100600037 
        10.        20.      153.5  1.2987013  0.1147901           E266100600038 
        10.        20.      157.5  0.7711039  0.0884517           E266100600039 
        10.        20.      161.5  0.6493506  0.0811688           E266100600040 
        10.        20.      165.5  0.3652597  0.0608766           E266100600041 
        10.        20.      169.5  0.2232143  0.0475894           E266100600042 
        10.        20.      173.5  0.1420454  0.0379632           E266100600043 
        10.        20.      177.5  0.1420454  0.0379632           E266100600044 
        10.        20.      181.5  0.0608766  0.0248528           E266100600045 
        10.        20.      185.5  0.0202922  0.0143488           E266100600046 
        10.        20.      189.5  0.0000000  0.0000000           E266100600047 
        10.        20.      193.5  0.0000000  0.0000000           E266100600048 
        10.        20.      197.5  0.0000000  0.0000000           E266100600049 
        20.        30.       41.5  0.0000000  0.0000000           E266100600050 
        20.        30.       45.5  0.0151149  0.0106878           E266100600051 
        20.        30.       49.5  0.0151149  0.0106878           E266100600052 
        20.        30.       53.5  0.0302297  0.0151149           E266100600053 
        20.        30.       57.5  0.0604595  0.0213757           E266100600054 
        20.        30.       61.5  0.0604595  0.0213757           E266100600055 
        20.        30.       65.5  0.1209190  0.0302297           E266100600056 
        20.        30.       69.5  0.1662636  0.0354475           E266100600057 
        20.        30.       73.5  0.3022974  0.0477974           E266100600058 
        20.        30.       77.5  0.5592503  0.0650115           E266100600059 
        20.        30.       81.5  0.8917775  0.0820948           E266100600060 
        20.        30.       85.5  1.3452237  0.1008288           E266100600061 
        20.        30.       89.5  1.9195888  0.1204457           E266100600062 
        20.        30.       93.5  3.2043531  0.1556172           E266100600063 
        20.        30.       97.5  3.6880291  0.1669492           E266100600064 
        20.        30.      101.5  3.7031438  0.1672910           E266100600065 
        20.        30.      105.5  3.3252723  0.1585261           E266100600066 
        20.        30.      109.5  2.3428054  0.1330624           E266100600067 
        20.        30.      113.5  2.0102780  0.1232581           E266100600068 
        20.        30.      117.5  1.2394196  0.0967824           E266100600069 
        20.        30.      121.5  1.2394196  0.0967824           E266100600070 
        20.        30.      125.5  2.0102780  0.1232581           E266100600071 
        20.        30.      129.5  2.3428054  0.1330624           E266100600072 
        20.        30.      133.5  3.3252723  0.1585261           E266100600073 
        20.        30.      137.5  3.7031438  0.1672910           E266100600074 
        20.        30.      141.5  3.6880291  0.1669492           E266100600075 
        20.        30.      145.5  3.2043531  0.1556172           E266100600076 
        20.        30.      149.5  1.9195888  0.1204457           E266100600077 
        20.        30.      153.5  1.3452237  0.1008288           E266100600078 
        20.        30.      157.5  0.8917775  0.0820948           E266100600079 
        20.        30.      161.5  0.5592503  0.0650115           E266100600080 
        20.        30.      165.5  0.3022974  0.0477974           E266100600081 
        20.        30.      169.5  0.1662636  0.0354475           E266100600082 
        20.        30.      173.5  0.1209190  0.0302297           E266100600083 
        20.        30.      177.5  0.0604595  0.0213757           E266100600084 
        20.        30.      181.5  0.0604595  0.0213757           E266100600085 
        20.        30.      185.5  0.0302297  0.0151149           E266100600086 
        20.        30.      189.5  0.0151149  0.0106878           E266100600087 
        20.        30.      193.5  0.0151149  0.0106878           E266100600088 
        20.        30.      197.5  0.0000000  0.0000000           E266100600089 
        30.        40.       41.5  0.0177305  0.0125374           E266100600090 
        30.        40.       45.5  0.0177305  0.0125374           E266100600091 
        30.        40.       49.5  0.0177305  0.0125374           E266100600092 
        30.        40.       53.5  0.0177305  0.0125374           E266100600093 
        30.        40.       57.5  0.0177305  0.0125374           E266100600094 
        30.        40.       61.5  0.1063830  0.0307101           E266100600095 
        30.        40.       65.5  0.1241135  0.0331707           E266100600096 
        30.        40.       69.5  0.2836880  0.0501494           E266100600097 
        30.        40.       73.5  0.2836880  0.0501494           E266100600098 
        30.        40.       77.5  0.4255319  0.0614202           E266100600099 
        30.        40.       81.5  0.6560284  0.0762618           E266100600100 
        30.        40.       85.5  1.4539007  0.1135306           E266100600101 
        30.        40.       89.5  1.8085107  0.1266211           E266100600102 
        30.        40.       93.5  2.2872341  0.1423970           E266100600103 
        30.        40.       97.5  3.2092199  0.1686728           E266100600104 
        30.        40.      101.5  3.7411346  0.1821156           E266100600105 
        30.        40.      105.5  3.6879430  0.1808163           E266100600106 
        30.        40.      109.5  3.0673759  0.1649032           E266100600107 
        30.        40.      113.5  1.8971633  0.1296874           E266100600108 
        30.        40.      117.5  1.8794327  0.1290800           E266100600109 
        30.        40.      121.5  1.8794327  0.1290800           E266100600110 
        30.        40.      125.5  1.8971633  0.1296874           E266100600111 
        30.        40.      129.5  3.0673759  0.1649032           E266100600112 
        30.        40.      133.5  3.6879430  0.1808163           E266100600113 
        30.        40.      137.5  3.7411346  0.1821156           E266100600114 
        30.        40.      141.5  3.2092199  0.1686728           E266100600115 
        30.        40.      145.5  2.2872341  0.1423970           E266100600116 
        30.        40.      149.5  1.8085107  0.1266211           E266100600117 
        30.        40.      153.5  1.4539007  0.1135306           E266100600118 
        30.        40.      157.5  0.6560284  0.0762618           E266100600119 
        30.        40.      161.5  0.4255319  0.0614202           E266100600120 
        30.        40.      165.5  0.2836880  0.0501494           E266100600121 
        30.        40.      169.5  0.2836880  0.0501494           E266100600122 
        30.        40.      173.5  0.1241135  0.0331707           E266100600123 
        30.        40.      177.5  0.1063830  0.0307101           E266100600124 
        30.        40.      181.5  0.0177305  0.0125374           E266100600125 
        30.        40.      185.5  0.0177305  0.0125374           E266100600126 
        30.        40.      189.5  0.0177305  0.0125374           E266100600127 
        30.        40.      193.5  0.0177305  0.0125374           E266100600128 
        30.        40.      197.5  0.0177305  0.0125374           E266100600129 
        40.        50.       41.5  0.0000000  0.0000000           E266100600130 
        40.        50.       45.5  0.0000000  0.0000000           E266100600131 
        40.        50.       49.5  0.0266525  0.0188461           E266100600132 
        40.        50.       53.5  0.0533049  0.0266525           E266100600133 
        40.        50.       57.5  0.0266525  0.0188461           E266100600134 
        40.        50.       61.5  0.2132196  0.0533049           E266100600135 
        40.        50.       65.5  0.2398721  0.0565384           E266100600136 
        40.        50.       69.5  0.1599147  0.0461634           E266100600137 
        40.        50.       73.5  0.2931770  0.0625055           E266100600138 
        40.        50.       77.5  0.4264392  0.0753845           E266100600139 
        40.        50.       81.5  0.9861407  0.1146365           E266100600140 
        40.        50.       85.5  1.4658849  0.1397666           E266100600141 
        40.        50.       89.5  1.8390192  0.1565477           E266100600142 
        40.        50.       93.5  2.6385927  0.1875166           E266100600143 
        40.        50.       97.5  2.6119401  0.1865672           E266100600144 
        40.        50.      101.5  2.7452025  0.1912673           E266100600145 
        40.        50.      105.5  3.1982942  0.2064490           E266100600146 
        40.        50.      109.5  2.7718549  0.1921936           E266100600147 
        40.        50.      113.5  2.6652451  0.1884613           E266100600148 
        40.        50.      117.5  2.6385927  0.1875166           E266100600149 
        40.        50.      121.5  2.6385927  0.1875166           E266100600150 
        40.        50.      125.5  2.6652451  0.1884613           E266100600151 
        40.        50.      129.5  2.7718549  0.1921936           E266100600152 
        40.        50.      133.5  3.1982942  0.2064490           E266100600153 
        40.        50.      137.5  2.7452025  0.1912673           E266100600154 
        40.        50.      141.5  2.6119401  0.1865672           E266100600155 
        40.        50.      145.5  2.6385927  0.1875166           E266100600156 
        40.        50.      149.5  1.8390192  0.1565477           E266100600157 
        40.        50.      153.5  1.4658849  0.1397666           E266100600158 
        40.        50.      157.5  0.9861407  0.1146365           E266100600159 
        40.        50.      161.5  0.4264392  0.0753845           E266100600160 
        40.        50.      165.5  0.2931770  0.0625055           E266100600161 
        40.        50.      169.5  0.1599147  0.0461634           E266100600162 
        40.        50.      173.5  0.2398721  0.0565384           E266100600163 
        40.        50.      177.5  0.2132196  0.0533049           E266100600164 
        40.        50.      181.5  0.0266525  0.0188461           E266100600165 
        40.        50.      185.5  0.0533049  0.0266525           E266100600166 
        40.        50.      189.5  0.0266525  0.0188461           E266100600167 
        40.        50.      193.5  0.0000000  0.0000000           E266100600168 
        40.        50.      197.5  0.0000000  0.0000000           E266100600169 
        50.        60.       41.5  0.0000000  0.0000000           E266100600170 
        50.        60.       45.5  0.0000000  0.0000000           E266100600171 
        50.        60.       49.5  0.0544662  0.0385134           E266100600172 
        50.        60.       53.5  0.1089325  0.0544662           E266100600173 
        50.        60.       57.5  0.0000000  0.0000000           E266100600174 
        50.        60.       61.5  0.0544662  0.0385134           E266100600175 
        50.        60.       65.5  0.2723312  0.0861187           E266100600176 
        50.        60.       69.5  0.2178649  0.0770269           E266100600177 
        50.        60.       73.5  0.2723312  0.0861187           E266100600178 
        50.        60.       77.5  0.7080610  0.1388622           E266100600179 
        50.        60.       81.5  0.8714597  0.1540538           E266100600180 
        50.        60.       85.5  1.3071896  0.1886766           E266100600181 
        50.        60.       89.5  2.2331154  0.2466063           E266100600182 
        50.        60.       93.5  2.6143792  0.2668289           E266100600183 
        50.        60.       97.5  3.2135077  0.2958274           E266100600184 
