ENTRY            E1986   20130309                             E074E198600000001 
SUBENT        E1986001   20130309                             E074E198600100001 
BIB                 15         42                                 E198600100002 
TITLE      Measurement of neutron emission spectra in Li(d,xn)    E198600100003 
           reaction with thick and thin targets for 40-MeV        E198600100004 
           deuterons                                              E198600100005 
AUTHOR     (M.Hagiwara, T.Itoga, N.Kawata, N.Hirabayashi, T.Oishi,E198600100006 
            T.Yamauchi, M.Baba, M.Sugimoto, T.Muroga)             E198600100007 
INSTITUTE  (2JPNTOH) Cyclotron and Radioisotope Center            E198600100008 
           (2JPNJAE)                                              E198600100009 
           (2JPNNIF)                                              E198600100010 
REFERENCE  (J,FST,48,(3),1320,200511)                             E198600100011 
PART-DET   (N)                                                    E198600100012 
INC-SOURCE Beam intensity is 0.1 to 20 nA.                        E198600100013 
SAMPLE     - Target is natural.                                   E198600100014 
           - Chemical-form of target is element.                  E198600100015 
           - Physical-form of target is solid.                    E198600100016 
           - Backing-thickness: 30-mm diameter x 21.4-mm          E198600100017 
             thickness (thick target) and 30-mm diameter x        E198600100018 
             0.86-mm thickness (thin target)                      E198600100019 
METHOD     (TOF) Flight path of 11/3.45 m for high/low energy     E198600100020 
                 region                                           E198600100021 
FACILITY   (ISOCY,2JPNTOH) AVF cyclotron at Cyclotron and         E198600100022 
                           Radioisotope Center                    E198600100023 
DETECTOR   Solid angle of detector is less than 0.17 msr.         E198600100024 
           (SCIN) To detect neutrons emitted from targets (NE213) E198600100025 
CORRECTION Correction were performed for the effects of (a)       E198600100026 
           neutron attenuation in target and (b) neutron          E198600100027 
           attenuation in the air and the wall of target chamber. E198600100028 
ERR-ANALYS (ERR-1) Uncertainty of detector efficiency with the    E198600100029 
                   SCINFUL-R code                                 E198600100030 
           (ERR-2,,10.) Maximum uncertainty of attenuation in     E198600100031 
                        target (larger at backward angles and     E198600100032 
                        ranged up to 20% at low energy (<8 MeV)   E198600100033 
                        and generally several percent for the air E198600100034 
                        and chamber wall.) (<10%)                 E198600100035 
           (ERR-S,,10.) Maximum statistical uncertainty (larger   E198600100036 
                        than 20% at the highest energy (>40 MeV)) E198600100037 
                        (<10%)                                    E198600100038 
ADD-RES    (N-SPC) Neutron energy spectra from thin lithium       E198600100039 
                   target (Fig.10, p1326 in reference)            E198600100040 
STATUS     (APRVD) Proofread by Masayuki Hagiwara (2006.05.31)    E198600100041 
HISTORY    (20060530R) On. Received by e-mail from M.Hagiwara     E198600100042 
           (20060531C) Kc + On                                    E198600100043 
           (20130205A) MA. 004: REL-REF corrected                 E198600100044 
ENDBIB              42          0                                 E198600100045 
COMMON               1          3                                 E198600100046 
ERR-1                                                             E198600100047 
PER-CENT                                                          E198600100048 
 6.                                                               E198600100049 
ENDCOMMON            3          0                                 E198600100050 
ENDSUBENT           49          0                                 E198600199999 
SUBENT        E1986002   20070208                             E042E198600200001 
BIB                  5         13                                 E198600200002 
REL-REF    (A,,M.J.Saltmarsh+,J,NIM,145,81,1977)                  E198600200003 
           Good agreement with the present data on the whole up   E198600200004 
           to 40 MeV, but their data at 0 deg are rather smaller  E198600200005 
           than the present data and a little bit larger at other E198600200006 
           angles except for the data at 45 deg.                  E198600200007 
REACTION   (3-LI-0(D,X)0-NN-1,,TTY/PY/DA/DE)                      E198600200008 
EN-SEC     ANG is polar angle between beam and neutron in         E198600200009 
           laboratory system                                      E198600200010 
           (E,N)                                                  E198600200011 
ADD-RES    (COMP) Monte-Carlo method (Monte Carlo codes McDeLi,   E198600200012 
                  McDeLicious and MCNPX)                          E198600200013 
STATUS     (TABLE) Data (Fig.5, p1324 in reference) received by   E198600200014 
                   e-mail from M.Hagiwara (2006.05.30)            E198600200015 
ENDBIB              13          0                                 E198600200016 
COMMON               2          3                                 E198600200017 
EN         ANG-RSL                                                E198600200018 
MEV        ADEG                                                   E198600200019 
 40.        0.5                                                   E198600200020 
ENDCOMMON            3          0                                 E198600200021 
DATA                 5        769                                 E198600200022 
ANG        E          E-ERR      DATA       ERR-T                 E198600200023 
 20.        1.7         2.784E-02  8.447E+09  1.336E+09           E198600200305 
 20.        1.8         3.017E-02  8.185E+09  1.270E+09           E198600200306 
 20.        1.9         3.255E-02  7.959E+09  1.210E+09           E198600200307 
 20.        2.          3.499E-02  7.792E+09  1.165E+09           E198600200308 
 20.        2.1         3.750E-02  7.677E+09  1.133E+09           E198600200309 
 20.        2.2         4.005E-02  7.427E+09  1.077E+09           E198600200310 
 20.        2.3         4.267E-02  7.641E+09  1.088E+09           E198600200311 
 20.        2.4         4.533E-02  7.693E+09  1.079E+09           E198600200312 
 20.        2.5         4.805E-02  7.320E+09  1.013E+09           E198600200313 
 20.        2.6         5.082E-02  7.317E+09  9.991E+08           E198600200314 
 20.        2.7         5.365E-02  7.104E+09  9.587E+08           E198600200315 
 20.        2.8         5.652E-02  6.995E+09  9.346E+08           E198600200316 
 20.        2.9         5.944E-02  7.059E+09  9.294E+08           E198600200317 
 20.        3.          6.241E-02  7.000E+09  9.112E+08           E198600200318 
 20.        3.1         6.543E-02  7.026E+09  9.037E+08           E198600200319 
 20.        3.2         6.850E-02  6.815E+09  8.681E+08           E198600200320 
 20.        3.3         7.161E-02  6.837E+09  8.623E+08           E198600200321 
 20.        3.4         7.477E-02  6.821E+09  8.524E+08           E198600200322 
 20.        3.5         7.797E-02  6.641E+09  8.220E+08           E198600200323 
 20.        3.6         8.122E-02  6.374E+09  7.827E+08           E198600200324 
 20.        3.7         8.451E-02  6.234E+09  7.597E+08           E198600200325 
 20.        3.8         8.785E-02  6.011E+09  7.271E+08           E198600200326 
 20.        3.9         9.123E-02  5.725E+09  6.875E+08           E198600200327 
 20.        4.          9.465E-02  5.603E+09  6.676E+08           E198600200328 
 20.        4.1         9.811E-02  5.539E+09  6.559E+08           E198600200329 
 20.        4.2         1.016E-01  5.116E+09  6.023E+08           E198600200330 
 20.        4.3         1.052E-01  5.009E+09  5.855E+08           E198600200331 
 20.        4.4         1.087E-01  4.782E+09  5.559E+08           E198600200332 
 20.        4.5         1.124E-01  4.675E+09  5.405E+08           E198600200333 
 20.        4.6         1.160E-01  4.506E+09  5.180E+08           E198600200334 
 20.        4.7         1.197E-01  4.317E+09  4.936E+08           E198600200335 
 20.        4.8         1.235E-01  4.394E+09  4.994E+08           E198600200336 
 20.        4.9         1.273E-01  4.345E+09  4.916E+08           E198600200337 
 20.        5.          1.311E-01  3.650E+09  4.037E+08           E198600200338 
 20.        6.          1.713E-01  2.722E+09  2.990E+08           E198600200339 
 20.        7.          9.243E-02  2.896E+09  3.161E+08           E198600200340 
 20.        8.          1.122E-01  3.391E+09  3.682E+08           E198600200341 
 20.        9.          1.332E-01  3.220E+09  3.479E+08           E198600200342 
 20.        10.         1.553E-01  3.270E+09  3.513E+08           E198600200343 
 20.        11.         1.786E-01  3.182E+09  3.400E+08           E198600200344 
 20.        12.         2.030E-01  3.159E+09  3.362E+08           E198600200345 
 20.        13.         2.284E-01  3.132E+09  3.316E+08           E198600200346 
 20.        14.         2.549E-01  3.040E+09  3.203E+08           E198600200347 
 20.        15.         2.823E-01  2.926E+09  3.068E+08           E198600200348 
 20.        16.         3.107E-01  2.763E+09  2.885E+08           E198600200349 
 20.        17.         3.399E-01  2.609E+09  2.714E+08           E198600200350 
 20.        18.         3.701E-01  2.438E+09  2.526E+08           E198600200351 
 20.        19.         4.012E-01  2.172E+09  2.241E+08           E198600200352 
 20.        20.         4.331E-01  2.038E+09  2.095E+08           E198600200353 
 20.        21.         4.658E-01  1.820E+09  1.863E+08           E198600200354 
 20.        22.         4.994E-01  1.650E+09  1.683E+08           E198600200355 
 20.        23.         5.338E-01  1.469E+09  1.493E+08           E198600200356 
 20.        24.         5.689E-01  1.361E+09  1.378E+08           E198600200357 
 20.        25.         6.049E-01  1.195E+09  1.206E+08           E198600200358 
 20.        26.         6.416E-01  1.045E+09  1.051E+08           E198600200359 
 20.        27.         6.790E-01  9.203E+08  9.230E+07           E198600200360 
 20.        28.         7.172E-01  7.718E+08  7.724E+07           E198600200361 
 20.        29.         7.562E-01  6.446E+08  6.438E+07           E198600200362 
 20.        30.         7.958E-01  5.192E+08  5.178E+07           E198600200363 
 20.        31.         8.362E-01  4.448E+08  4.427E+07           E198600200364 
 20.        32.         8.772E-01  3.546E+08  3.528E+07           E198600200365 
 20.        33.         9.190E-01  3.082E+08  3.064E+07           E198600200366 
 20.        34.         9.614E-01  2.757E+08  2.738E+07           E198600200367 
 20.        35.         1.005E+00  2.535E+08  2.514E+07           E198600200368 
 20.        36.         1.048E+00  2.236E+08  2.217E+07           E198600200369 
 20.        37.         1.093E+00  1.699E+08  1.692E+07           E198600200370 
 20.        38.         1.138E+00  1.595E+08  1.587E+07           E198600200371 
 20.        39.         1.184E+00  1.479E+08  1.472E+07           E198600200372 
 20.        40.         1.230E+00  1.431E+08  1.423E+07           E198600200373 
 20.        41.         1.277E+00  1.417E+08  1.407E+07           E198600200374 
 20.        42.         1.325E+00  1.448E+08  1.434E+07           E198600200375 
 20.        43.         1.373E+00  1.345E+08  1.333E+07           E198600200376 
 20.        44.         1.422E+00  1.286E+08  1.275E+07           E198600200377 
 20.        45.         1.472E+00  1.272E+08  1.260E+07           E198600200378 
 20.        46.         1.522E+00  1.237E+08  1.223E+07           E198600200379 
 20.        47.         1.573E+00  1.145E+08  1.136E+07           E198600200380 
 20.        48.         1.624E+00  9.190E+07  9.200E+06           E198600200381 
 20.        49.         1.676E+00  7.435E+07  7.529E+06           E198600200382 
 20.        50.         1.729E+00  5.652E+07  5.843E+06           E198600200383 
 20.        51.         1.782E+00  4.218E+07  4.487E+06           E198600200384 
 20.        52.         1.835E+00  2.260E+07  2.626E+06           E198600200385 
 20.        53.         1.890E+00  1.486E+07  1.879E+06           E198600200386 
 20.        54.         1.945E+00  9.245E+06  1.323E+06           E198600200387 
 30.        1.          1.341E-02  8.373E+09  1.318E+09           E198600200388 
 30.        1.1         1.526E-02  8.142E+09  1.363E+09           E198600200389 
 30.        1.2         1.719E-02  7.874E+09  1.405E+09           E198600200390 
 30.        1.3         1.918E-02  7.534E+09  1.452E+09           E198600200391 
 30.        1.4         2.125E-02  7.240E+09  1.312E+09           E198600200392 
 30.        1.5         2.338E-02  6.960E+09  1.222E+09           E198600200393 
 30.        1.6         2.558E-02  6.936E+09  1.166E+09           E198600200394 
 30.        1.7         2.784E-02  6.701E+09  1.101E+09           E198600200395 
 30.        1.8         3.017E-02  6.650E+09  1.070E+09           E198600200396 
 30.        1.9         3.255E-02  6.484E+09  1.022E+09           E198600200397 
 30.        2.          3.499E-02  6.180E+09  9.571E+08           E198600200398 
 30.        2.1         3.750E-02  6.259E+09  9.561E+08           E198600200399 
 30.        2.2         4.005E-02  6.038E+09  9.054E+08           E198600200400 
 30.        2.3         4.267E-02  6.144E+09  9.043E+08           E198600200401 
 30.        2.4         4.533E-02  5.868E+09  8.509E+08           E198600200402 
 30.        2.5         4.805E-02  5.741E+09  8.207E+08           E198600200403 
 30.        2.6         5.082E-02  5.737E+09  8.085E+08           E198600200404 
 30.        2.7         5.365E-02  5.626E+09  7.831E+08           E198600200405 
 30.        2.8         5.652E-02  5.513E+09  7.594E+08           E198600200406 
 30.        2.9         5.944E-02  5.619E+09  7.621E+08           E198600200407 
 30.        3.          6.241E-02  5.428E+09  7.276E+08           E198600200408 
 30.        3.1         6.543E-02  5.460E+09  7.228E+08           E198600200409 
 30.        3.2         6.850E-02  5.500E+09  7.204E+08           E198600200410 
 30.        3.3         7.161E-02  5.274E+09  6.838E+08           E198600200411 
 30.        3.4         7.477E-02  5.221E+09  6.704E+08           E198600200412 
 30.        3.5         7.797E-02  5.184E+09  6.589E+08           E198600200413 
 30.        3.6         8.122E-02  4.893E+09  6.167E+08           E198600200414 
 30.        3.7         8.451E-02  4.650E+09  5.815E+08           E198600200415 
 30.        3.8         8.785E-02  4.545E+09  5.637E+08           E198600200416 
 30.        3.9         9.123E-02  4.359E+09  5.364E+08           E198600200417 
 30.        4.          9.465E-02  4.195E+09  5.121E+08           E198600200418 
 30.        4.1         9.811E-02  4.124E+09  5.000E+08           E198600200419 
 30.        4.2         1.016E-01  3.889E+09  4.683E+08           E198600200420 
 30.        4.3         1.052E-01  3.805E+09  4.547E+08           E198600200421 
 30.        4.4         1.087E-01  3.703E+09  4.397E+08           E198600200422 
 30.        4.5         1.124E-01  3.570E+09  4.215E+08           E198600200423 
 30.        4.6         1.160E-01  3.486E+09  4.090E+08           E198600200424 
 30.        4.7         1.197E-01  3.340E+09  3.893E+08           E198600200425 
 30.        4.8         1.235E-01  3.178E+09  3.686E+08           E198600200426 
 30.        4.9         1.273E-01  3.215E+09  3.709E+08           E198600200427 
 30.        5.          1.311E-01  2.726E+09  3.086E+08           E198600200428 
 30.        6.          1.713E-01  2.267E+09  2.550E+08           E198600200429 
 30.        7.          9.243E-02  2.397E+09  2.677E+08           E198600200430 
 30.        8.          1.122E-01  2.724E+09  3.026E+08           E198600200431 
 30.        9.          1.332E-01  2.585E+09  2.856E+08           E198600200432 
 30.        10.         1.553E-01  2.576E+09  2.830E+08           E198600200433 
 30.        11.         1.786E-01  2.461E+09  2.687E+08           E198600200434 
 30.        12.         2.030E-01  2.437E+09  2.649E+08           E198600200435 
 30.        13.         2.284E-01  2.346E+09  2.537E+08           E198600200436 
 30.        14.         2.549E-01  2.231E+09  2.400E+08           E198600200437 
 30.        15.         2.823E-01  2.057E+09  2.202E+08           E198600200438 
 30.        16.         3.107E-01  1.846E+09  1.968E+08           E198600200439 
 30.        17.         3.399E-01  1.660E+09  1.762E+08           E198600200440 
 30.        18.         3.701E-01  1.477E+09  1.561E+08           E198600200441 
 30.        19.         4.012E-01  1.271E+09  1.338E+08           E198600200442 
 30.        20.         4.331E-01  1.105E+09  1.159E+08           E198600200443 
 30.        21.         4.658E-01  9.451E+08  9.865E+07           E198600200444 
 30.        22.         4.994E-01  7.979E+08  8.304E+07           E198600200445 
 30.        23.         5.338E-01  6.907E+08  7.160E+07           E198600200446 
 30.        24.         5.689E-01  5.906E+08  6.100E+07           E198600200447 
 30.        25.         6.049E-01  5.145E+08  5.298E+07           E198600200448 
 30.        26.         6.416E-01  4.390E+08  4.508E+07           E198600200449 
 30.        27.         6.790E-01  3.683E+08  3.772E+07           E198600200450 
 30.        28.         7.172E-01  3.037E+08  3.106E+07           E198600200451 
 30.        29.         7.562E-01  2.544E+08  2.598E+07           E198600200452 
 30.        30.         7.958E-01  2.031E+08  2.073E+07           E198600200453 
 30.        31.         8.362E-01  1.704E+08  1.738E+07           E198600200454 
 30.        32.         8.772E-01  1.356E+08  1.384E+07           E198600200455 
 30.        33.         9.190E-01  1.215E+08  1.241E+07           E198600200456 
 30.        34.         9.614E-01  1.112E+08  1.134E+07           E198600200457 
 30.        35.         1.005E+00  9.760E+07  9.963E+06           E198600200458 
 30.        36.         1.048E+00  7.816E+07  8.020E+06           E198600200459 
 30.        37.         1.093E+00  6.608E+07  6.809E+06           E198600200460 
 30.        38.         1.138E+00  6.539E+07  6.725E+06           E198600200461 
 30.        39.         1.184E+00  6.843E+07  7.011E+06           E198600200462 
 30.        40.         1.230E+00  6.559E+07  6.716E+06           E198600200463 
 30.        41.         1.277E+00  6.265E+07  6.421E+06           E198600200464 
 30.        42.         1.325E+00  6.241E+07  6.386E+06           E198600200465 
 30.        43.         1.373E+00  6.184E+07  6.318E+06           E198600200466 
 30.        44.         1.422E+00  6.081E+07  6.208E+06           E198600200467 
 30.        45.         1.472E+00  5.767E+07  5.896E+06           E198600200468 
 30.        46.         1.522E+00  5.152E+07  5.292E+06           E198600200469 
 30.        47.         1.573E+00  4.562E+07  4.720E+06           E198600200470 
 30.        48.         1.624E+00  3.752E+07  3.936E+06           E198600200471 
 30.        49.         1.676E+00  2.734E+07  2.952E+06           E198600200472 
 30.        50.         1.729E+00  1.908E+07  2.156E+06           E198600200473 
 30.        51.         1.782E+00  1.252E+07  1.521E+06           E198600200474 
 30.        52.         1.835E+00  6.988E+06  9.723E+05           E198600200475 
 45.        1.          1.341E-02  7.693E+09  1.337E+09           E198600200476 
 45.        1.1         1.526E-02  7.401E+09  1.374E+09           E198600200477 
 45.        1.2         1.719E-02  7.146E+09  1.421E+09           E198600200478 
 45.        1.3         1.918E-02  6.687E+09  1.441E+09           E198600200479 
 45.        1.4         2.125E-02  6.539E+09  1.321E+09           E198600200480 
 45.        1.5         2.338E-02  6.396E+09  1.250E+09           E198600200481 
 45.        1.6         2.558E-02  6.429E+09  1.199E+09           E198600200482 
 45.        1.7         2.784E-02  6.046E+09  1.100E+09           E198600200483 
 45.        1.8         3.017E-02  5.961E+09  1.062E+09           E198600200484 
 45.        1.9         3.255E-02  5.819E+09  1.013E+09           E198600200485 
 45.        2.          3.499E-02  5.558E+09  9.495E+08           E198600200486 
 45.        2.1         3.750E-02  5.629E+09  9.474E+08           E198600200487 
 45.        2.2         4.005E-02  5.426E+09  8.951E+08           E198600200488 
 45.        2.3         4.267E-02  5.352E+09  8.652E+08           E198600200489 
 45.        2.4         4.533E-02  5.329E+09  8.475E+08           E198600200490 
 45.        2.5         4.805E-02  5.294E+09  8.289E+08           E198600200491 
 45.        2.6         5.082E-02  5.280E+09  8.138E+08           E198600200492 
 45.        2.7         5.365E-02  5.239E+09  7.966E+08           E198600200493 
 45.        2.8         5.652E-02  5.279E+09  7.934E+08           E198600200494 
 45.        2.9         5.944E-02  5.122E+09  7.570E+08           E198600200495 
 45.        3.          6.241E-02  4.999E+09  7.292E+08           E198600200496 
 45.        3.1         6.543E-02  4.994E+09  7.186E+08           E198600200497 
 45.        3.2         6.850E-02  4.874E+09  6.933E+08           E198600200498 
 45.        3.3         7.161E-02  4.911E+09  6.905E+08           E198600200499 
 45.        3.4         7.477E-02  4.735E+09  6.587E+08           E198600200500 
 45.        3.5         7.797E-02  4.559E+09  6.272E+08           E198600200501 
 45.        3.6         8.122E-02  4.434E+09  6.041E+08           E198600200502 
 45.        3.7         8.451E-02  4.270E+09  5.766E+08           E198600200503 
 45.        3.8         8.785E-02  4.102E+09  5.490E+08           E198600200504 
 45.        3.9         9.123E-02  3.923E+09  5.204E+08           E198600200505 
 45.        4.          9.465E-02  3.830E+09  5.034E+08           E198600200506 
 45.        4.1         9.811E-02  3.705E+09  4.834E+08           E198600200507 
 45.        4.2         1.016E-01  3.526E+09  4.565E+08           E198600200508 
 45.        4.3         1.052E-01  3.402E+09  4.368E+08           E198600200509 
 45.        4.4         1.087E-01  3.224E+09  4.111E+08           E198600200510 
 45.        4.5         1.124E-01  3.111E+09  3.942E+08           E198600200511 
 45.        4.6         1.160E-01  3.002E+09  3.776E+08           E198600200512 
 45.        4.7         1.197E-01  2.816E+09  3.518E+08           E198600200513 
 45.        4.8         1.235E-01  2.872E+09  3.564E+08           E198600200514 
 45.        4.9         1.273E-01  2.799E+09  3.454E+08           E198600200515 
 45.        5.          1.311E-01  2.328E+09  2.813E+08           E198600200516 
 45.        6.          1.713E-01  1.705E+09  2.045E+08           E198600200517 
 45.        7.          9.243E-02  1.755E+09  2.088E+08           E198600200518 
 45.        8.          1.122E-01  1.941E+09  2.295E+08           E198600200519 
 45.        9.          1.332E-01  1.785E+09  2.097E+08           E198600200520 
 45.        10.         1.553E-01  1.715E+09  2.002E+08           E198600200521 
 45.        11.         1.786E-01  1.569E+09  1.819E+08           E198600200522 
 45.        12.         2.030E-01  1.493E+09  1.723E+08           E198600200523 
 45.        13.         2.284E-01  1.372E+09  1.574E+08           E198600200524 
 45.        14.         2.549E-01  1.223E+09  1.395E+08           E198600200525 
 45.        15.         2.823E-01  1.070E+09  1.213E+08           E198600200526 
 45.        16.         3.107E-01  9.048E+08  1.021E+08           E198600200527 
 45.        17.         3.399E-01  7.800E+08  8.761E+07           E198600200528 
 45.        18.         3.701E-01  6.612E+08  7.391E+07           E198600200529 
 45.        19.         4.012E-01  5.403E+08  6.016E+07           E198600200530 
 45.        20.         4.331E-01  4.571E+08  5.065E+07           E198600200531 
 45.        21.         4.658E-01  3.808E+08  4.198E+07           E198600200532 
 45.        22.         4.994E-01  3.205E+08  3.522E+07           E198600200533 
 45.        23.         5.338E-01  2.775E+08  3.037E+07           E198600200534 
 45.        24.         5.689E-01  2.399E+08  2.614E+07           E198600200535 
 45.        25.         6.049E-01  2.001E+08  2.174E+07           E198600200536 
 45.        26.         6.416E-01  1.725E+08  1.868E+07           E198600200537 
 45.        27.         6.790E-01  1.461E+08  1.578E+07           E198600200538 
 45.        28.         7.172E-01  1.257E+08  1.356E+07           E198600200539 
 45.        29.         7.562E-01  1.071E+08  1.153E+07           E198600200540 
 45.        30.         7.958E-01  9.330E+07  1.003E+07           E198600200541 
 45.        31.         8.362E-01  8.490E+07  9.104E+06           E198600200542 
 45.        32.         8.772E-01  7.538E+07  8.074E+06           E198600200543 
 45.        33.         9.190E-01  7.311E+07  7.810E+06           E198600200544 
 45.        34.         9.614E-01  7.213E+07  7.682E+06           E198600200545 
 45.        35.         1.005E+00  6.340E+07  6.750E+06           E198600200546 
 45.        36.         1.048E+00  6.131E+07  6.515E+06           E198600200547 
 45.        37.         1.093E+00  5.808E+07  6.161E+06           E198600200548 
 45.        38.         1.138E+00  5.417E+07  5.742E+06           E198600200549 
 45.        39.         1.184E+00  5.348E+07  5.657E+06           E198600200550 
 45.        40.         1.230E+00  4.948E+07  5.232E+06           E198600200551 
 45.        41.         1.277E+00  4.824E+07  5.096E+06           E198600200552 
 45.        42.         1.325E+00  4.540E+07  4.796E+06           E198600200553 
 45.        43.         1.373E+00  4.088E+07  4.327E+06           E198600200554 
 45.        44.         1.422E+00  3.285E+07  3.510E+06           E198600200555 
 45.        45.         1.472E+00  2.951E+07  3.167E+06           E198600200556 
 45.        46.         1.522E+00  2.155E+07  2.360E+06           E198600200557 
 45.        47.         1.573E+00  1.250E+07  1.450E+06           E198600200558 
 45.        48.         1.624E+00  8.279E+06  1.022E+06           E198600200559 
 45.        49.         1.676E+00  4.373E+06  6.211E+05           E198600200560 
 45.        50.         1.729E+00  2.227E+06  3.920E+05           E198600200561 
 45.        51.         1.782E+00  7.573E+05  2.194E+05           E198600200562 
 60.        1.          1.341E-02  5.813E+09  9.696E+08           E198600200563 
 60.        1.1         1.526E-02  5.507E+09  9.786E+08           E198600200564 
 60.        1.2         1.719E-02  5.322E+09  1.010E+09           E198600200565 
 60.        1.3         1.918E-02  5.144E+09  1.055E+09           E198600200566 
 60.        1.4         2.125E-02  4.987E+09  9.612E+08           E198600200567 
 60.        1.5         2.338E-02  4.873E+09  9.095E+08           E198600200568 
 60.        1.6         2.558E-02  4.763E+09  8.503E+08           E198600200569 
 60.        1.7         2.784E-02  4.546E+09  7.927E+08           E198600200570 
 60.        1.8         3.017E-02  4.571E+09  7.806E+08           E198600200571 
 60.        1.9         3.255E-02  4.468E+09  7.462E+08           E198600200572 
 60.        2.          3.499E-02  4.372E+09  7.173E+08           E198600200573 
 60.        2.1         3.750E-02  4.287E+09  6.934E+08           E198600200574 
 60.        2.2         4.005E-02  4.197E+09  6.659E+08           E198600200575 
 60.        2.3         4.267E-02  4.174E+09  6.496E+08           E198600200576 
 60.        2.4         4.533E-02  4.146E+09  6.352E+08           E198600200577 
 60.        2.5         4.805E-02  4.118E+09  6.214E+08           E198600200578 
 60.        2.6         5.082E-02  4.054E+09  6.027E+08           E198600200579 
 60.        2.7         5.365E-02  3.987E+09  5.851E+08           E198600200580 
 60.        2.8         5.652E-02  4.036E+09  5.857E+08           E198600200581 
 60.        2.9         5.944E-02  3.872E+09  5.531E+08           E198600200582 
 60.        3.          6.241E-02  3.831E+09  5.403E+08           E198600200583 
 60.        3.1         6.543E-02  3.773E+09  5.253E+08           E198600200584 
 60.        3.2         6.850E-02  3.744E+09  5.155E+08           E198600200585 
 60.        3.3         7.161E-02  3.610E+09  4.916E+08           E198600200586 
 60.        3.4         7.477E-02  3.492E+09  4.708E+08           E198600200587 
 60.        3.5         7.797E-02  3.418E+09  4.559E+08           E198600200588 
 60.        3.6         8.122E-02  3.293E+09  4.353E+08           E198600200589 
 60.        3.7         8.451E-02  3.173E+09  4.158E+08           E198600200590 
 60.        3.8         8.785E-02  3.115E+09  4.046E+08           E198600200591 
 60.        3.9         9.123E-02  2.843E+09  3.663E+08           E198600200592 
 60.        4.          9.465E-02  2.744E+09  3.506E+08           E198600200593 
 60.        4.1         9.811E-02  2.624E+09  3.329E+08           E198600200594 
 60.        4.2         1.016E-01  2.466E+09  3.107E+08           E198600200595 
 60.        4.3         1.052E-01  2.379E+09  2.973E+08           E198600200596 
 60.        4.4         1.087E-01  2.243E+09  2.784E+08           E198600200597 
 60.        4.5         1.124E-01  2.091E+09  2.582E+08           E198600200598 
 60.        4.6         1.160E-01  2.059E+09  2.525E+08           E198600200599 
 60.        4.7         1.197E-01  1.943E+09  2.367E+08           E198600200600 
 60.        4.8         1.235E-01  1.901E+09  2.302E+08           E198600200601 
 60.        4.9         1.273E-01  1.806E+09  2.177E+08           E198600200602 
 60.        5.          1.311E-01  1.494E+09  1.762E+08           E198600200603 
 60.        6.          1.713E-01  1.172E+09  1.371E+08           E198600200604 
 60.        7.          9.243E-02  1.150E+09  1.336E+08           E198600200605 
 60.        8.          1.122E-01  1.204E+09  1.390E+08           E198600200606 
 60.        9.          1.332E-01  1.048E+09  1.203E+08           E198600200607 
 60.        10.         1.553E-01  9.416E+08  1.074E+08           E198600200608 
 60.        11.         1.786E-01  8.220E+08  9.318E+07           E198600200609 
 60.        12.         2.030E-01  7.395E+08  8.344E+07           E198600200610 
 60.        13.         2.284E-01  6.440E+08  7.225E+07           E198600200611 
 60.        14.         2.549E-01  5.499E+08  6.138E+07           E198600200612 
 60.        15.         2.823E-01  4.569E+08  5.072E+07           E198600200613 
 60.        16.         3.107E-01  3.729E+08  4.122E+07           E198600200614 
 60.        17.         3.399E-01  3.027E+08  3.332E+07           E198600200615 
 60.        18.         3.701E-01  2.495E+08  2.735E+07           E198600200616 
 60.        19.         4.012E-01  2.049E+08  2.238E+07           E198600200617 
 60.        20.         4.331E-01  1.717E+08  1.868E+07           E198600200618 
 60.        21.         4.658E-01  1.469E+08  1.591E+07           E198600200619 
 60.        22.         4.994E-01  1.259E+08  1.359E+07           E198600200620 
 60.        23.         5.338E-01  1.107E+08  1.191E+07           E198600200621 
 60.        24.         5.689E-01  9.344E+07  1.002E+07           E198600200622 
 60.        25.         6.049E-01  7.894E+07  8.440E+06           E198600200623 
 60.        26.         6.416E-01  6.809E+07  7.264E+06           E198600200624 
 60.        27.         6.790E-01  5.858E+07  6.237E+06           E198600200625 
 60.        28.         7.172E-01  5.100E+07  5.423E+06           E198600200626 
 60.        29.         7.562E-01  4.499E+07  4.777E+06           E198600200627 
 60.        30.         7.958E-01  4.066E+07  4.311E+06           E198600200628 
 60.        31.         8.362E-01  3.868E+07  4.091E+06           E198600200629 
 60.        32.         8.772E-01  3.753E+07  3.959E+06           E198600200630 
 60.        33.         9.190E-01  3.372E+07  3.555E+06           E198600200631 
 60.        34.         9.614E-01  2.830E+07  2.991E+06           E198600200632 
 60.        35.         1.005E+00  2.511E+07  2.655E+06           E198600200633 
 60.        36.         1.048E+00  2.298E+07  2.432E+06           E198600200634 
 60.        37.         1.093E+00  2.063E+07  2.186E+06           E198600200635 
 60.        38.         1.138E+00  1.932E+07  2.048E+06           E198600200636 
 60.        39.         1.184E+00  1.767E+07  1.878E+06           E198600200637 
 60.        40.         1.230E+00  1.500E+07  1.605E+06           E198600200638 
 60.        41.         1.277E+00  1.245E+07  1.348E+06           E198600200639 
 60.        42.         1.325E+00  9.882E+06  1.089E+06           E198600200640 
 60.        43.         1.373E+00  7.143E+06  8.126E+05           E198600200641 
 60.        44.         1.422E+00  4.096E+06  5.048E+05           E198600200642 
