EN         ANG-CM     DATA-CM    DATA-ERR                         T003100200021 
MEV        ADEG       MB/SR      MB/SR                            T003100200022 
 1.568     156.61089   3.46111    0.19260                         T003100300050 
 1.470      37.12177   1.98580    0.10832                         T003100300051 
 1.470      47.61601   2.38023    0.12817                         T003100300052 
 1.470      63.20448   1.92664    0.10338                         T003100300053 
 1.470      78.57465   1.82215    0.10662                         T003100300054 
 1.470      93.70100   1.81378    0.13027                         T003100300055 
 1.470     123.20457   1.60440    0.13905                         T003100300056 
 1.470     137.61603   1.80268    0.15389                         T003100300057 
 1.470     156.56314   1.94121    0.15801                         T003100300058 
 1.370      37.05289   1.97410    0.14489                         T003100300059 
 1.370      47.53108   1.98292    0.13770                         T003100300060 
 1.370      63.10034   1.84563    0.12241                         T003100300061 
 1.370      78.45821   1.94030    0.15522                         T003100300062 
 1.370      93.58118   2.12415    0.18035                         T003100300063 
 1.370     123.10056   1.53673    0.11739                         T003100300064 
 1.370     137.53113   1.25459    0.12053                         T003100300065 
 1.370     156.51244   1.19148    0.11240                         T003100300066 
 1.271      36.98172   1.68088    0.12720                         T003100300067 
 1.271      47.44331   2.35690    0.12889                         T003100300068 
 1.271      62.99290   1.82103    0.10379                         T003100300069 
 1.271      78.33855   1.88394    0.10682                         T003100300070 
 1.271      93.45726   1.95355    0.14026                         T003100300071 
 1.271     122.99301   1.52248    0.14905                         T003100300072 
 1.271     137.44337   1.48529    0.15290                         T003100300073 
 1.271     156.46002   1.07458    0.10074                         T003100300074 
 1.163      36.90028   1.60524    0.10945                         T003100300075 
 1.163      47.34293   2.06910    0.12932                         T003100300076 
 1.163      62.86986   1.85361    0.11349                         T003100300077 
 1.163      78.20096   1.69650    0.11666                         T003100300078 
 1.163      93.31464   1.69283    0.13022                         T003100300079 
 1.163      93.31464   1.59266    0.12020                         T003100300080 
 1.163     122.86995   1.21049    0.09556                         T003100300081 
 1.163     122.86995   1.25296    0.11680                         T003100300082 
 1.163     137.34294   1.13157    0.09792                         T003100300083 
 1.163     137.34294   1.15334    0.10881                         T003100300084 
 1.163     156.40002   1.08060    0.08912                         T003100300085 
 1.163     156.40002   1.10288    0.08912                         T003100300086 
 1.063      36.82088   1.46478    0.10070                         T003100300087 
 1.063      47.24500   1.50123    0.09267                         T003100300088 
 1.063      62.74986   1.15638    0.06635                         T003100300089 
 1.063      78.06725   1.26527    0.07786                         T003100300090 
 1.063      93.17628   1.20185    0.08012                         T003100300091 
 1.063     122.74994   0.97435    0.07414                         T003100300092 
 1.063     137.24500   0.98653    0.09757                         T003100300093 
 1.063     137.24500   0.91607    0.06505                         T003100300094 
 1.063     156.34154   0.91481    0.06653                         T003100300095 
 0.949      36.72495   0.79089    0.07357                         T003100300096 
 0.949      47.12668   0.85589    0.07442                         T003100300097 
 0.949      62.60490   0.79837    0.04752                         T003100300098 
 0.949      62.60490   0.85540    0.05703                         T003100300099 
 0.949      77.90546   0.72120    0.04873                         T003100300100 
 0.949      93.00897   0.71098    0.05007                         T003100300101 
 0.949     122.60506   0.63346    0.04223                         T003100300102 
 0.949     127.12672   0.75556    0.05397                         T003100300103 
 0.949     156.27086   0.63955    0.04411                         T003100300104 
 0.849      36.63525   0.51719    0.05541                         T003100300105 
 0.849      47.01611   0.49487    0.03735                         T003100300106 
 0.849      62.46933   0.47644    0.03812                         T003100300107 
 0.849      77.75426   0.42937    0.02928                         T003100300108 
 0.849      92.85210   0.43053    0.03004                         T003100300109 
 0.849      92.85210   0.41051    0.03004                         T003100300110 
 0.849     122.46960   0.47372    0.04211                         T003100300111 
 0.849     137.01613   0.38699    0.03225                         T003100300112 
 0.849     156.20479   0.42781    0.03291                         T003100300113 
 0.755      47.7       0.30       0.044                           T003100300114 
 0.755      77.        0.228      0.028                           T003100300115 
 0.755      92.5       0.220      0.020                           T003100300116 
 0.755     122.        0.212      0.028                           T003100300117 
 0.755     136.8       0.182      0.020                           T003100300118 
 0.755     156.        0.312      0.038                           T003100300119 
 0.660      47.        0.088      0.020                           T003100300120 
 0.660      76.8       0.062      0.022                           T003100300121 
 0.660      92.        0.084      0.020                           T003100300122 
 0.660     136.8       0.092      0.018                           T003100300123 
 0.660     156.        0.067      0.010                           T003100300124 
ENDDATA            107          0                                 T003100300125 
ENDSUBENT          124          0                                 T003100399999 
SUBENT        T0031004   19990729                             0000T003100400001 
BIB                  6          8                                 T003100400002 
REACTION   (3-LI-6(HE3,P)4-BE-8,PAR,DA)                           T003100400003 
SAMPLE     Thin films of 6LiF evaporated onto carbon disks.       T003100400004 
DETECTOR   (SOLST) Si surface barrier detector covered with       T003100400005 
            thin Al foil used to detect protons.                  T003100400006 
MONITOR    Normalized to 45 and 135 degree excitation functions.  T003100400007 
ERR-ANALYS (DATA-ERR) Uncertainty represents relative uncertainty T003100400008 
            due to counting statistics.                           T003100400009 
STATUS     Data received from A.J. Elwyn, 18 June 1999.           T003100400010 
ENDBIB               8          0                                 T003100400011 
COMMON               2          3                                 T003100400012 
E-LVL      E-LVL-NRM                                              T003100400013 
MEV        MEV                                                    T003100400014 
16.63       0.                                                    T003100400015 
ENDCOMMON            3          0                                 T003100400016 
DATA                 4         97                                 T003100400017 
EN         ANG-CM     DATA-CM    DATA-ERR                         T003100400018 
MEV        ADEG       MB/SR      MB/SR                            T003100400019 
 1.847      43.        1.72       0.10                            T003100400020 
 1.847      55.        1.615      0.10                            T003100400021 
 1.847      72.        1.63       0.09                            T003100400022 
 1.847      88.        1.45       0.10                            T003100400023 
 1.847     103.7       1.235      0.10                            T003100400024 
 1.847     133.        1.435      0.12                            T003100400025 
 1.847     144.7       1.185      0.12                            T003100400026 
 1.847     161.        1.65       0.12                            T003100400027 
 1.745      43.        1.61       0.10                            T003100400028 
 1.745      55.        1.50       0.09                            T003100400029 
 1.745      72.        1.46       0.07                            T003100400030 
 1.745      88.        1.40       0.10                            T003100400031 
 1.745     103.6       1.23       0.12                            T003100400032 
 1.745     132.        0.86       0.08                            T003100400033 
 1.745     161.        0.86       0.08                            T003100400034 
 1.648      43.        1.585      0.10                            T003100400035 
 1.648      55.        1.605      0.09                            T003100400036 
 1.648      72.        1.54       0.08                            T003100400037 
 1.648      88.        0.98       0.10                            T003100400038 
 1.648     103.5       1.11       0.11                            T003100400039 
 1.648     132.        1.01       0.07                            T003100400040 
 1.648     144.5       0.89       0.07                            T003100400041 
 1.648     161.        0.73       0.06                            T003100400042 
 1.568      42.71048   1.31091    0.09920                         T003100400043 
 1.568      54.20638   1.39057    0.09667                         T003100400044 
 1.568      71.68764   1.22234    0.08964                         T003100400045 
 1.568      88.05725   1.24660    0.09099                         T003100400046 
 1.568     103.52785   1.28567    0.10285                         T003100400047 
 1.568     131.68770   0.90871    0.09219                         T003100400048 
 1.568     144.52065   1.11248    0.10247                         T003100400049 
 1.568     160.67331   0.86813    0.09736                         T003100400050 
 1.470      42.67676   1.23463    0.07096                         T003100400051 
 1.470      54.47879   1.43686    0.08189                         T003100400052 
 1.470      71.63605   1.26815    0.07340                         T003100400053 
 1.470      87.99899   1.31070    0.08192                         T003100400054 
 1.470     103.46796   1.28535    0.09254                         T003100400055 
 1.470     131.63622   0.86797    0.09206                         T003100400056 
 1.470     144.47890   0.84737    0.10227                         T003100400057 
 1.470     160.64857   1.06838    0.11331                         T003100400058 
 1.370      42.63792   1.09088    0.08528                         T003100400059 
 1.370      54.43074   1.10331    0.08946                         T003100400060 
 1.370      71.57666   1.03666    0.08163                         T003100400061 
 1.370      87.93207   1.22010    0.10926                         T003100400062 
 1.370     103.39894   1.38777    0.12336                         T003100400063 
 1.370     131.57690   0.95847    0.10504                         T003100400064 
 1.370     144.43079   0.88194    0.10204                         T003100400065 
 1.370     160.62009   0.79099    0.09686                         T003100400066 
 1.271      42.59424   1.03229    0.08543                         T003100400067 
 1.271      54.37657   1.06392    0.06719                         T003100400068 
 1.271      71.50983   0.92332    0.05720                         T003100400069 
 1.271      87.85878   0.98375    0.06376                         T003100400070 
 1.271     103.32130   1.03793    0.08221                         T003100400071 
 1.271     131.51010   0.90430    0.10485                         T003100400072 
 1.271     144.37662   0.77796    0.10179                         T003100400073 
 1.271     160.58800   0.70806    0.08046                         T003100400074 
 1.163      42.53908   0.78842    0.06422                         T003100400075 
 1.163      54.30830   0.95000    0.06732                         T003100400076 
 1.163      71.42574   0.80997    0.05727                         T003100400077 
 1.163      87.76344   0.71996    0.05468                         T003100400078 
 1.163     103.22343   0.71907    0.06163                         T003100400079 
 1.163     103.22343   0.68825    0.06163                         T003100400080 
 1.163     131.42590   0.58840    0.05230                         T003100400081 
 1.163     131.42590   0.66686    0.07845                         T003100400082 
 1.163     144.30835   0.56534    0.07248                         T003100400083 
 1.163     144.30835   0.50736    0.07248                         T003100400084 
 1.163     160.54753   0.56102    0.06412                         T003100400085 
 1.163     160.54753   0.64116    0.06412                         T003100400086 
 1.063      42.47943   0.75099    0.05722                         T003100400087 
 1.063      54.23447   0.79455    0.05247                         T003100400088 
 1.063      71.33453   0.72916    0.04096                         T003100400089 
 1.063      87.66164   0.71123    0.04559                         T003100400090 
 1.063     103.11754   0.75983    0.05134                         T003100400091 
 1.063     131.33484   0.54782    0.05217                         T003100400092 
 1.063     144.23450   0.47676    0.05779                         T003100400093 
 1.063     144.23450   0.62123    0.04334                         T003100400094 
 1.063     160.50377   0.44691    0.04788                         T003100400095 
 0.949      42.39845   0.41619    0.04305                         T003100400096 
 0.949      54.13417   0.70659    0.06014                         T003100400097 
 0.949      71.21089   0.69771    0.04104                         T003100400098 
 0.949      71.21089   0.71413    0.04104                         T003100400099 
 0.949      87.52339   0.69351    0.04563                         T003100400100 
 0.949     102.97372   0.82096    0.05131                         T003100400101 
 0.949     131.21115   0.54598    0.03900                         T003100400102 
 0.949     144.13417   0.63278    0.04314                         T003100400103 
 0.949     160.44431   0.49989    0.03174                         T003100400104 
 0.849      42.31244   0.61927    0.05761                         T003100400105 
 0.849      54.02766   0.71624    0.05278                         T003100400106 
 0.849      71.07970   0.76492    0.04935                         T003100400107 
 0.849      87.37630   0.81278    0.04566                         T003100400108 
 0.849     102.82117   0.70764    0.04102                         T003100400109 
 0.849     102.82117   0.63585    0.04102                         T003100400110 
 0.849     131.07990   0.68653    0.05181                         T003100400111 
 0.849     144.02768   0.64404    0.04294                         T003100400112 
 0.849     160.38116   0.77289    0.04732                         T003100400113 
 0.750      53.89934   0.19673    0.02270                         T003100400114 
 0.750     102.63751   0.21521    0.02050                         T003100400115 
 0.750     143.89940   0.14229    0.01423                         T003100400116 
ENDDATA             99          0                                 T003100400117 
ENDSUBENT          116          0                                 T003100499999 
SUBENT        T0031005   19990729                             0000T003100500001 
BIB                  6          8                                 T003100500002 
REACTION   (3-LI-6(HE3,P)4-BE-8,PAR,DA)                           T003100500003 
SAMPLE     Thin films of 6LiF evaporated onto carbon disks.       T003100500004 
DETECTOR   (SOLST) Si surface barrier detector covered with       T003100500005 
            thin Al foil used to detect protons.                  T003100500006 
MONITOR    Normalized to 45 and 135 degree excitation functions.  T003100500007 
ERR-ANALYS (DATA-ERR) Uncertainty represents relative uncertainty T003100500008 
            due to counting statistics.                           T003100500009 
STATUS     Data received from A.J. Elwyn, 18 June 1999.           T003100500010 
ENDBIB               8          0                                 T003100500011 
COMMON               2          3                                 T003100500012 
E-LVL      E-LVL-NRM                                              T003100500013 
MEV        MEV                                                    T003100500014 
16.92       0.                                                    T003100500015 
ENDCOMMON            3          0                                 T003100500016 
DATA                 4         74                                 T003100500017 
EN         ANG-CM     DATA-CM    DATA-ERR                         T003100500018 
MEV        ADEG       MB/SR      MB/SR                            T003100500019 
 1.847      44.        1.15       0.07                            T003100500020 
 1.847      56.        1.04       0.12                            T003100500021 
 1.847      73.        0.88       0.05                            T003100500022 
 1.847      90.        0.88       0.065                           T003100500023 
