ENTRY            T0151   20010723                             0000T015100000001 
SUBENT        T0151001   20010723                             0000T015100100001 
BIB                 11         20                                 T015100100002 
INSTITUTE  (1USALRL)                                              T015100100003 
REFERENCE  (J,ZP/A,311,323,1983)                                  T015100100004 
           (R,HH-79-03,197911) Experimental Data.                 T015100100005 
AUTHOR     (W.SCOBEL,L.F.HANSEN,B.A.POHL,C.WONG,M.BLANN)          T015100100006 
TITLE      Double Differential Cross Sections for (p,xn) ReactionsT015100100007 
            of 64Zn, 65Cu and 89Y with 26 MeV Protons             T015100100008 
FACILITY   (CYGFF,1USALRL)                                        T015100100009 
METHOD     (TOF) 10.75 Meters Flight Path                         T015100100010 
           (BCINT)                                                T015100100011 
           (PSD) Neutron-Gamma Discrimination.                    T015100100012 
DETECTOR   (SCIN) NE213 scintillators, 11.4 cm diameter x 5.1 cm  T015100100013 
            length, shielded by 2-meters long water collimators.  T015100100014 
REL-REF    (R,,S.M.GRIMES+,J,PR/C,13,2224,1976)                   T015100100015 
           (R,,C.WONG+,J,PR/C,7,1895,1973) Both References were   T015100100016 
            Used For Detector Efficiency.                         T015100100017 
CORRECTION Corrected for background.                              T015100100018 
STATUS     Data taken from table in report HH-79-03.              T015100100019 
           (APRVD) Approved by W. Scobel, 14 March 2001.          T015100100020 
HISTORY    (20010212C) Converted from data set O0528 compiled by  T015100100021 
                       CAJaD and updated.                         T015100100022 
ENDBIB              20          0                                 T015100100023 
COMMON               1          3                                 T015100100024 
EN                                                                T015100100025 
MEV                                                               T015100100026 
  26.                                                             T015100100027 
ENDCOMMON            3          0                                 T015100100028 
ENDSUBENT           27          0                                 T015100199999 
SUBENT        T0151002   20010212                             0000T015100200001 
BIB                  5         15                                 T015100200002 
REACTION   (29-CU-65(P,X)0-NN-1,,DA/DE,,AV)                       T015100200003 
SAMPLE     Target thickness 13.63 mg/cm**2.                       T015100200004 
ANALYSIS   After background correction the time-of-flight spectra T015100200005 
            were converted with the kinematics of single nucleon  T015100200006 
            emission into energy spectra by applying the          T015100200007 
            efficiencies and then summed in 1 MeV bins.           T015100200008 
ERR-ANALYS (DATA-ERR) Uncertainties given result from             T015100200009 
           . counting statistics,                                 T015100200010 
           . statistical uncertainty of background subtraction,   T015100200011 
           . estimated error of detector efficiency (7%).         T015100200012 
COMMENT    - By Compiler -                                        T015100200013 
           Compiler could not read the data for 38.7 degrees,     T015100200014 
            because of the quality of text.                       T015100200015 
           Where no errors are gven, compiler could not read      T015100200016 
            uncertainty from tables.                              T015100200017 
ENDBIB              15          0                                 T015100200018 
NOCOMMON             0          0                                 T015100200019 
DATA                 5        368                                 T015100200020 
ANG        E-CM-MIN   E-CM-MAX   DATA-CM    DATA-ERR              T015100200021 
SUBENT        T0151004   20010212                             0000T015100400001 
BIB                  4         10                                 T015100400002 
REACTION   (30-ZN-64(P,X)0-NN-1,,DA/DE,,AV)                       T015100400003 
SAMPLE     Target thickness 4.96 mg/cm**2.                        T015100400004 
ANALYSIS   After background correction the time-of-flight spectra T015100400005 
           were converted with the kinematics of single nucleon   T015100400006 
           emission into energy spectra by applying the           T015100400007 
           efficiencies and then summed in 1 MeV bins.            T015100400008 
ERR-ANALYS (DATA-ERR) Uncertainties given result from             T015100400009 
           . counting statistics,                                 T015100400010 
           . statistical uncertainty of background subtraction,   T015100400011 
           . estimated error of detector efficiency (7%).         T015100400012 
ENDBIB              10          0                                 T015100400013 
NOCOMMON             0          0                                 T015100400014 
DATA                 5        401                                 T015100400015 
ANG        E-CM-MIN   E-CM-MAX   DATA-CM    DATA-ERR              T015100400016 
ADEG       MEV        MEV        MB/SR/MEV  MB/SR/MEV             T015100400017 
   3.5        4.         5.         8.93415    0.95009            T015100400018 
   3.5        5.         6.         5.81806    0.54651            T015100400019 
   3.5        6.         7.         2.67966    0.25475            T015100400020 
   3.5        6.         7.         4.25656    0.39073            T015100400021 
   3.5        7.         8.         3.30264    0.30667            T015100400022 
   3.5        9.        10.         2.25650    0.21809            T015100400023 
   3.5       10.        11.         2.09791    0.19761            T015100400024 
   3.5       11.        12.         1.89825    0.17922            T015100400025 
   3.5       12.        13.         1.60215    0.15909            T015100400026 
   3.5       13.        14.         1.23193    0.13682            T015100400027 
   3.5       14.        15.         1.30528    0.13437            T015100400028 
   3.5       15.        16.         1.27523    0.12935            T015100400029 
   3.5       16.        17.         4.98619    0.21152            T015100400030 
   3.5       17.        18.         1.02842    0.11097            T015100400031 
   3.5       18.        19.         0.40268    0.07631            T015100400032 
   3.5       19.        20.         0.11914    0.05606            T015100400033 
   3.5       20.        21.         0.08195    0.05134            T015100400034 
   3.5       21.        22.         0.05763    0.04792            T015100400035 
   3.5       22.        23.         0.01277    0.02238            T015100400036 
   3.5       23.        24.         0.04594    0.04474            T015100400037 
   3.5       24.        25.         0.02114    0.02134            T015100400038 
   3.5       25.        26.         0.00794    0.02053            T015100400039 
   3.5       26.        27.         0.00777    0.02017            T015100400040 
   3.5       27.        28.         0.00286    0.01846            T015100400041 
   3.5       29.        30.         0.00437    0.01877            T015100400042 
   3.5       30.        31.         0.00641    0.03512            T015100400043 
   9.2        4.         5.         8.57951    0.87731            T015100400044 
   9.2        5.         6.         4.86923    0.47757            T015100400045 
   9.2        6.         7.         1.96642    0.20861            T015100400046 
   9.2        6.         7.         2.28521    0.32841            T015100400047 
   9.2        7.         8.         2.45818    0.25271            T015100400048 
   9.2        9.        10.         1.64007    0.17802            T015100400049 
   9.2       10.        11.         1.58150    0.16430            T015100400050 
   9.2       11.        12.         1.40237    0.14729            T015100400051 
   9.2       12.        13.         1.16383    0.12926            T015100400052 
   9.2       13.        14.         0.91179    0.11136            T015100400053 
   9.2       14.        15.         1.07917    0.11559            T015100400054 
   9.2       15.        16.         1.95774    0.13440            T015100400055 
   9.2       16.        17.         2.75622    0.14900            T015100400056 
   9.2       17.        18.         0.71995    0.08822            T015100400057 
   9.2       18.        19.         0.13968    0.04454            T015100400058 
   9.2       19.        20.         0.03268    0.03122            T015100400059 
   9.2       20.        21.         0.02308    0.02882            T015100400060 
   9.2       21.        22.         0.02075    0.02770            T015100400061 
   9.2       22.        23.         0.00807    0.01372            T015100400062 
   9.2       23.        24.         0.00952    0.02495            T015100400063 
   9.2       24.        25.         0.00207    0.01212            T015100400064 
   9.2       25.        26.         0.00968    0.02380            T015100400065 
   9.2       27.        28.         0.00222    0.01078            T015100400066 
   9.2       29.        30.         0.00286    0.02136            T015100400067 
   9.2       30.        31.         0.00305    0.02049            T015100400068 
  16.7        4.         5.         7.54509    0.81530            T015100400069 
  16.7        5.         6.         4.51892    0.45409            T015100400070 
  16.7        6.         7.         3.00970    0.30997            T015100400071 
  16.7        7.         8.         2.22333    0.23735            T015100400072 
  16.7        8.         9.         1.71010    0.19217            T015100400073 
  16.7        9.        10.         1.50056    0.16780            T015100400074 
  16.7       10.        11.         1.35359    0.15012            T015100400075 
  16.7       11.        12.         1.19903    0.13463            T015100400076 
  16.7       12.        13.         1.08171    0.12256            T015100400077 
  16.7       13.        14.         0.81545    0.10293            T015100400078 
  16.7       14.        15.         0.83893    0.10094            T015100400079 
  16.7       15.        16.         0.89419    0.10064            T015100400080 
  16.7       16.        17.         1.99752    0.13136            T015100400081 
  16.7       17.        18.         0.56322    0.07701            T015100400082 
  16.7       18.        19.         0.11083    0.03646            T015100400083 
  16.7       19.        20.         0.02608    0.02468            T015100400084 
  16.7       20.        21.         0.02624    0.02416            T015100400085 
  16.7       21.        22.         0.01504    0.02120            T015100400086 
  16.7       22.        23.         0.01146    0.01141            T015100400087 
  16.7       23.        24.         0.00211    0.01774            T015100400088 
  16.7       24.        25.         0.00611    0.01818            T015100400089 
  16.7       27.        28.         0.00052    0.00773            T015100400090 
  16.7       28.        29.         0.00922    0.01760            T015100400091 
  16.7       29.        30.         0.00289    0.00807            T015100400092 
  16.7       30.        31.         0.00622    0.00860            T015100400093 
  23.8        4.         5.         7.60576    0.82902            T015100400094 
  23.8        5.         6.         4.58456    0.46142            T015100400095 
  23.8        6.         7.         2.96888    0.31038            T015100400096 
  23.8        7.         8.         2.08017    0.23121            T015100400097 
  23.8        8.         9.         1.71232    0.19294            T015100400098 
  23.8        9.        10.         1.43116    0.16475            T015100400099 
  23.8       10.        11.         1.25155    0.14529            T015100400100 
  23.8       11.        12.         1.10220    0.12984            T015100400101 
  23.8       12.        13.         1.00010    0.11861            T015100400102 
  23.8       13.        14.         0.72913    0.09822            T015100400103 
  23.8       14.        15.         0.79679    0.09881            T015100400104 
  23.8       15.        16.         0.86073    0.09785            T015100400105 
  23.8       16.        17.         0.80615    0.08896            T015100400106 
  23.8       17.        18.         0.41019    0.06585            T015100400107 
  23.8       18.        19.         0.03084    0.02091            T015100400108 
  23.8       19.        20.         0.03301    0.02678            T015100400109 
  23.8       20.        21.         0.01437    0.01653            T015100400110 
  23.8       21.        22.         0.01202    0.01767            T015100400111 
  23.8       23.        24.         0.00487    0.00909            T015100400112 
  23.8       24.        25.         0.00204    0.00781            T015100400113 
  23.8       25.        26.         0.00099    0.00602            T015100400114 
  23.8       26.        27.         0.00636    0.00904            T015100400115 
  23.8       27.        28.         0.00764    0.01400            T015100400116 
  23.8       29.        30.         0.00123    0.00869            T015100400117 
  32.3        4.         5.         7.52440    0.81904            T015100400118 
  32.3        5.         6.         4.24834    0.43989            T015100400119 
  32.3        6.         7.         2.80797    0.29854            T015100400120 
  32.3        7.         8.         1.91434    0.21857            T015100400121 
  32.3        8.         9.         1.47512    0.17659            T015100400122 
  32.3        9.        10.         1.21264    0.14903            T015100400123 
  32.3       10.        11.         1.02470    0.12902            T015100400124 
  32.3       11.        12.         0.93403    0.11732            T015100400125 
  32.3       12.        13.         0.74521    0.10067            T015100400126 
  32.3       13.        14.         0.57610    0.08522            T015100400127 
  32.3       14.        15.         0.50963    0.07786            T015100400128 
  32.3       15.        16.         0.44274    0.07038            T015100400129 
  32.3       16.        17.         0.42529    0.06593            T015100400130 
  32.3       17.        18.         0.28746    0.05456            T015100400131 
  32.3       18.        19.         0.04087    0.02193            T015100400132 
  32.3       19.        20.         0.01827    0.01642            T015100400133 
  32.3       20.        21.         0.01484    0.01517            T015100400134 
  32.3       21.        22.         0.01326    0.01456            T015100400135 
  32.3       22.        23.         0.00361    0.00426            T015100400136 
  32.3       23.        24.         0.00272    0.00365            T015100400137 
  32.3       24.        25.         0.01089    0.01285            T015100400138 
  32.3       25.        26.         0.00539    0.00505            T015100400139 
  32.3       26.        27.         0.00651    0.01097            T015100400140 
  32.3       27.        28.         0.00579    0.00446            T015100400141 
  32.3       28.        29.         0.00790    0.00509            T015100400142 
  32.3       29.        30.         0.00191    0.00313            T015100400143 
  32.3       30.        31.         0.00631    0.01050            T015100400144 
  38.7        4.         5.         7.86593    0.86326            T015100400145 
  38.7        5.         6.         4.27286    0.45094            T015100400146 
  38.7        6.         7.         2.70492    0.29878            T015100400147 
  38.7        7.         8.         1.83397    0.21852            T015100400148 
  38.7        8.         9.         1.51290    0.18253            T015100400149 
  38.7        9.        10.         0.60686    0.07568            T015100400150 
  38.7       10.        11.         0.98211    0.12965            T015100400151 
  38.7       11.        12.         0.93659    0.12029            T015100400152 
  38.7       12.        13.         0.79951    0.10658            T015100400153 
  38.7       13.        14.         0.57839    0.08769            T015100400154 
  38.7       14.        15.         0.56501    0.08433            T015100400155 
  38.7       15.        16.         0.51040    0.07750            T015100400156 
  38.7       16.        17.         0.38226    0.06415            T015100400157 
  38.7       17.        18.         0.25069    0.05328            T015100400158 
  38.7       18.        19.         0.03845    0.02698            T015100400159 
  38.7       19.        20.         0.01684    0.02251            T015100400160 
  38.7       20.        21.         0.00735    0.01806            T015100400161 
  38.7       21.        22.         0.00087    0.00841            T015100400162 
  38.7       23.        24.         0.00206    0.00644            T015100400163 
  38.7       24.        25.         0.00220    0.01664            T015100400164 
  38.7       25.        26.         0.00001    0.00775            T015100400165 
  38.7       26.        27.         0.00094    0.00584            T015100400166 
  38.7       27.        28.         0.00310    0.00661            T015100400167 
  38.7       28.        29.         0.00246    0.00550            T015100400168 
  38.7       29.        30.         0.00660    0.01410            T015100400169 
  38.7       30.        31.         0.00164    0.01255            T015100400170 
  46.3        4.         5.         6.84032    0.83113            T015100400171 
  46.3        5.         6.         3.91865    0.44080            T015100400172 
  46.3        6.         7.         2.46178    0.29068            T015100400173 
  46.3        7.         8.         1.67403    0.21296            T015100400174 
  46.3        8.         9.         1.28209    0.17163            T015100400175 
  46.3        9.        10.         0.99330    0.14136            T015100400176 
  46.3       10.        11.         0.82759    0.12182            T015100400177 
  46.3       11.        12.         0.76496    0.11132            T015100400178 
  46.3       12.        13.         0.68420    0.10097            T015100400179 
  46.3       13.        14.         0.49772    0.08384            T015100400180 
  46.3       14.        15.         0.47447    0.07946            T015100400181 
  46.3       15.        16.         0.50987    0.07923            T015100400182 
  46.3       16.        17.         0.56810    0.07781            T015100400183 
  46.3       17.        18.         0.28304    0.05831            T015100400184 
  46.3       18.        19.         0.04768    0.03067            T015100400185 
  46.3       19.        20.         0.02666    0.02699            T015100400186 
  46.3       20.        21.         0.01498    0.02445            T015100400187 
  46.3       21.        22.         0.01230    0.02321            T015100400188 
  46.3       22.        23.         0.00471    0.01191            T015100400189 
  46.3       23.        24.         0.00879    0.01227            T015100400190 
  46.3       24.        25.         0.00528    0.02008            T015100400191 
  46.3       26.        27.         0.00062    0.00836            T015100400192 
  46.3       26.        27.         0.00075    0.01869            T015100400193 
  46.3       29.        30.         0.00415    0.01846            T015100400194 
  46.3       30.        31.         0.00662    0.01847            T015100400195 
  53.7        1.         2.         7.52750    0.87534            T015100400196 
  53.7        5.         6.         4.05491    0.44725            T015100400197 
  53.7        6.         7.         2.45627    0.28837            T015100400198 
  53.7        7.         8.         1.66537    0.20997            T015100400199 
  53.7        8.         9.         1.22334    0.16561            T015100400200 
  53.7        9.        10.         0.97263    0.13788            T015100400201 
  53.7       10.        11.         0.77795    0.11632            T015100400202 
  53.7       11.        12.         0.70862    0.10559            T015100400203 
  53.7       12.        13.         0.61497    0.09424            T015100400204 
  53.7       13.        14.         0.44051    0.07744            T015100400205 
  53.7       14.        15.         0.42973    0.07401            T015100400206 
  53.7       15.        16.         0.53134    0.07809            T015100400207 
  53.7       16.        17.         0.54999    0.07569            T015100400208 
  53.7       17.        18.         0.22240    0.05020            T015100400209 
  53.7       18.        19.         0.03274    0.02491            T015100400210 
  53.7       19.        20.         0.01519    0.02049            T015100400211 
  53.7       20.        21.         0.01774    0.02080            T015100400212 
  53.7       21.        22.         0.00787    0.01785            T015100400213 
  53.7       23.        24.         0.00660    0.00888            T015100400214 
  53.7       25.        26.         0.00155    0.00731            T015100400215 
  53.7       28.        29.         0.00272    0.00727            T015100400216 
  53.7       29.        30.         0.00024    0.00660            T015100400217 
  53.7       30.        31.         0.00937    0.01527            T015100400218 
  61.4        4.         5.         6.71070    0.89076            T015100400219 
  61.4        5.         6.         3.62293    0.44988            T015100400220 
  61.4        6.         7.         2.17987    0.29020            T015100400221 
  61.4        7.         8.         1.49461    0.21328            T015100400222 
  61.4        8.         9.         1.12782    0.17138            T015100400223 
  61.4        9.        10.         0.86686    0.14148            T015100400224 
  61.4       10.        11.         0.66066    0.11798            T015100400225 
  61.4       11.        12.         0.69470    0.10653            T015100400226 
  61.4       12.        13.         0.47935    0.09272            T015100400227 
  61.4       13.        14.         0.38231    0.08117            T015100400228 
  61.4       14.        15.         0.35071    0.07551            T015100400229 
  61.4       15.        16.         0.36792    0.07400            T015100400230 
  61.4       16.        17.         0.59212    0.08294            T015100400231 
  61.4       17.        18.         0.20669    0.05674            T015100400232 
  61.4       18.        19.         0.03348    0.03720            T015100400233 
  61.4       19.        20.         0.00790    0.03235            T015100400234 
  61.4       21.        22.         0.00092    0.01625            T015100400235 
  61.4       22.        23.         0.00003    0.01568            T015100400236 
  61.4       23.        24.         0.00343    0.01569            T015100400237 
  61.4       25.        26.         0.00515    0.01284            T015100400238 
  61.4       26.        27.         0.00254    0.01464            T015100400239 
  61.4       27.        28.         0.00283    0.01441            T015100400240 
  61.4       28.        29.         0.00344    0.01422            T015100400241 
  61.4       29.        30.         0.00112    0.01134            T015100400242 
  61.4       30.        31.         0.00619    0.02503            T015100400243 
  68.7        4.         5.         7.45000    0.90716            T015100400244 
  68.7        5.         6.         3.84987    0.44248            T015100400245 
  68.7        6.         7.         2.24625    0.27865            T015100400246 
  68.7        7.         8.         1.48627    0.19989            T015100400247 
  68.7        8.         9.         1.05368    0.15448            T015100400248 
  68.7        9.        10.         0.80714    0.12581            T015100400249 
  68.7       10.        11.         0.63489    0.10530            T015100400250 
  68.7       11.        12.         0.53318    0.09158            T015100400251 
  68.7       12.        13.         0.43542    0.07942            T015100400252 
  68.7       13.        14.         0.32192    0.06632            T015100400253 
  68.7       14.        15.         0.28800    0.06068            T015100400254 
  68.7       15.        16.         0.36046    0.06374            T015100400255 
  68.7       16.        17.         0.25053    0.05148            T015100400256 
  68.7       17.        18.         0.10697    0.03474            T015100400257 
  68.7       18.        19.         0.01058    0.01669            T015100400258 
  68.7       19.        20.         0.01101    0.01642            T015100400259 
  68.7       20.        21.         0.00455    0.01412            T015100400260 
  68.7       21.        22.         0.00524    0.01365            T015100400261 
  68.7       24.        25.         0.00063    0.00618            T015100400262 
  68.7       25.        26.         0.00238    0.00601            T015100400263 
  68.7       26.        27.         0.00194    0.01142            T015100400264 
  68.7       27.        28.         0.00576    0.01265            T015100400265 
  68.7       28.        29.         0.00091    0.00556            T015100400266 
  68.7       29.        30.         0.00124    0.01094            T015100400267 
  68.7       30.        31.         0.00449    0.01167            T015100400268 
  83.4        4.         5.         6.41566    1.15329            T015100400269 
  83.4        5.         6.         3.56197    0.53956            T015100400270 
  83.4        6.         7.         1.96414    0.33782            T015100400271 
  83.4        7.         8.         1.31121    0.24892            T015100400272 
  83.4        8.         9.         0.87833    0.19511            T015100400273 
  83.4        9.        10.         0.67545    0.16384            T015100400274 
  83.4       10.        11.         0.52458    0.14001            T015100400275 
  83.4       11.        12.         0.40079    0.12163            T015100400276 
  83.4       12.        13.         0.37605    0.11198            T015100400277 
  83.4       13.        14.         0.28886    0.09970            T015100400278 
  83.4       14.        15.         0.23255    0.09077            T015100400279 
  83.4       15.        16.         0.23429    0.08651            T015100400280 
  83.4       16.        17.         0.34109    0.08842            T015100400281 
  83.4       17.        18.         0.11079    0.07142            T015100400282 
  83.4       18.        19.         0.03766    0.06320            T015100400283 
  83.4       19.        20.         0.01148    0.05908            T015100400284 
  83.4       21.        22.         0.00627    0.02910            T015100400285 
  83.4       22.        23.         0.00435    0.02819            T015100400286 
  83.4       23.        24.         0.01635    0.02576            T015100400287 
  83.4       24.        25.         0.01650    0.05152            T015100400288 
  83.4       25.        26.         0.01241    0.02682            T015100400289 
  83.4       26.        27.         0.01379    0.04924            T015100400290 
  83.4       27.        28.         0.01624    0.02613            T015100400291 
  83.4       28.        29.         0.00306    0.02464            T015100400292 
  83.4       29.        30.         0.00553    0.02451            T015100400293 
  83.4       30.        31.         0.01659    0.02268            T015100400294 
  98.7        4.         5.         6.88769    1.01536            T015100400295 
  98.7        5.         6.         3.57440    0.46008            T015100400296 
  98.7        6.         7.         1.97868    0.27755            T015100400297 
  98.7        7.         8.         1.23720    0.19244            T015100400298 
  98.7        8.         9.         0.85646    0.14676            T015100400299 
  98.7        9.        10.         0.60037    0.11515            T015100400300 
  98.7       10.        11.         0.47285    0.09641            T015100400301 
  98.7       11.        12.         0.36716    0.08113            T015100400302 
  98.7       12.        13.         0.29736    0.07015            T015100400303 
  98.7       13.        14.         0.19949    0.05715            T015100400304 
  98.7       14.        15.         0.20387    0.05509            T015100400305 
  98.7       15.        16.         0.17808    0.04981            T015100400306 
  98.7       16.        17.         0.19690    0.04913            T015100400307 
  98.7       17.        18.         0.07958    0.03465            T015100400308 
  98.7       18.        19.         0.01523    0.02252            T015100400309 
  98.7       19.        20.         0.00574    0.02003            T015100400310 
  98.7       20.        21.         0.00172    0.01827            T015100400311 
  98.7       22.        23.         0.00131    0.00930            T015100400312 
  98.7       23.        24.         0.00218    0.00911            T015100400313 
  98.7       24.        25.         0.00591    0.00993            T015100400314 
  98.7       25.        26.         0.00487    0.01688            T015100400315 
  98.7       27.        28.         0.00114    0.00739            T015100400316 
  98.7       29.        30.         0.00543    0.01575            T015100400317 
  98.7       30.        31.         0.00233    0.00734            T015100400318 
 113.2        4.         5.         6.03599    1.13183            T015100400319 
 113.2        5.         6.         2.88616    0.45867            T015100400320 
 113.2        6.         7.         1.67742    0.28091            T015100400321 
 113.2        7.         8.         0.98591    0.19177            T015100400322 
 113.2        8.         9.         0.66963    0.14671            T015100400323 
 113.2        9.        10.         0.49008    0.11900            T015100400324 
 113.2       10.        11.         0.32089    0.09464            T015100400325 
 113.2       11.        12.         0.26495    0.08277            T015100400326 
 113.2       12.        13.         0.18955    0.07021            T015100400327 
 113.2       13.        14.         0.16682    0.06304            T015100400328 
 113.2       14.        15.         0.11778    0.05569            T015100400329 
 113.2       15.        16.         0.11175    0.05248            T015100400330 
 113.2       16.        17.         0.12563    0.05144            T015100400331 
 113.2       17.        18.         0.05233    0.04160            T015100400332 
 113.2       18.        19.         0.00366    0.01811            T015100400333 
 113.2       19.        20.         0.00965    0.03026            T015100400334 
 113.2       20.        21.         0.00401    0.01697            T015100400335 
 113.2       21.        22.         0.00186    0.01608            T015100400336 
 113.2       22.        23.         0.00001    0.01547            T015100400337 
 113.2       23.        24.         0.00649    0.02897            T015100400338 
 113.2       24.        25.         0.00523    0.01536            T015100400339 
 113.2       25.        26.         0.00126    0.01260            T015100400340 
 113.2       26.        27.         0.00779    0.01335            T015100400341 
 113.2       27.        28.         0.00396    0.01429            T015100400342 
 113.2       28.        29.         0.00261    0.01380            T015100400343 
 113.2       29.        30.         0.01127    0.02613            T015100400344 
 113.2       30.        31.         0.00376    0.01359            T015100400345 
 128.7        4.         5.         8.90967    1.88139            T015100400346 
 128.7        5.         6.         3.82104    0.65389            T015100400347 
 128.7        6.         7.         1.98722    0.36972            T015100400348 
 128.7        7.         8.         1.23811    0.27775            T015100400349 
 128.7        8.         9.         0.78006    0.21380            T015100400350 
 128.7        9.        10.         0.58043    0.17832            T015100400351 
 128.7       10.        11.         0.40051    0.14960            T015100400352 
 128.7       11.        12.         0.32327    0.13168            T015100400353 
 128.7       12.        13.         0.21258    0.11486            T015100400354 
 128.7       13.        14.         0.14362    0.10256            T015100400355 
 128.7       14.        15.         0.13169    0.09536            T015100400356 
 128.7       15.        16.         0.10839    0.08855            T015100400357 
 128.7       16.        17.         0.10214    0.08368            T015100400358 
 128.7       17.        18.         0.02635    0.07489            T015100400359 
 128.7       18.        19.         0.02062    0.07129            T015100400360 
 128.7       19.        20.         0.00080    0.03193            T015100400361 
 128.7       20.        21.         0.00540    0.03111            T015100400362 
 128.7       22.        23.         0.00710    0.03247            T015100400363 
 128.7       24.        25.         0.00971    0.05848            T015100400364 
 128.7       25.        26.         0.00640    0.05691            T015100400365 
 128.7       28.        29.         0.01553    0.05419            T015100400366 
 128.7       29.        30.         0.01798    0.02613            T015100400367 
 128.7       30.        31.         0.00173    0.02712            T015100400368 
 143.9        4.         5.         8.52561    1.47421            T015100400369 
 143.9        5.         6.         3.62774    0.50299            T015100400370 
 143.9        6.         7.         1.80564    0.27942            T015100400371 
 143.9        7.         8.         1.12447    0.19045            T015100400372 
 143.9        8.         9.         0.69687    0.13632            T015100400373 
 143.9        9.        10.         0.49920    0.10781            T015100400374 
 143.9       10.        11.         0.35207    0.08582            T015100400375 
 143.9       11.        12.         0.26458    0.07101            T015100400376 
 143.9       12.        13.         0.17832    0.05709            T015100400377 
 143.9       13.        14.         0.13309    0.04835            T015100400378 
 143.9       14.        15.         0.09178    0.04028            T015100400379 
 143.9       15.        16.         0.07718    0.03615            T015100400380 
 143.9       16.        17.         0.06349    0.03192            T015100400381 
 143.9       17.        18.         0.02691    0.02471            T015100400382 
 143.9       18.        19.         0.00211    0.00969            T015100400383 
 143.9       19.        20.         0.00278    0.00847            T015100400384 
 143.9       20.        21.         0.00168    0.00883            T015100400385 
 143.9       21.        22.         0.00268    0.00888            T015100400386 
 143.9       23.        24.         0.00087    0.00804            T015100400387 
 143.9       24.        25.         0.00082    0.00688            T015100400388 
 143.9       25.        26.         0.00142    0.01438            T015100400389 
 143.9       27.        28.         0.00178    0.00667            T015100400390 
 143.9       28.        29.         0.00172    0.01356            T015100400391 
  159.        4.         5.         9.57818    3.86184            T015100400392 
  159.        5.         6.         5.27425    1.07425            T015100400393 
  159.        6.         7.         2.93582    0.64709            T015100400394 
  159.        7.         8.         1.35008    0.44982            T015100400395 
  159.        8.         9.         0.81528    0.35536            T015100400396 
  159.        9.        10.         0.65353    0.30265            T015100400397 
  159.       10.        11.         0.50609    0.26223            T015100400398 
  159.       11.        12.         0.93984    0.24879            T015100400399 
  159.       12.        13.         0.30191    0.20782            T015100400400 
  159.       13.        14.         0.17778    0.18815            T015100400401 
  159.       14.        15.         0.12419    0.17334            T015100400402 
  159.       15.        16.         0.13815    0.16343            T015100400403 
  159.       16.        17.         0.12570    0.15424            T015100400404 
  159.       17.        18.         0.13349    0.14772            T015100400405 
  159.       18.        19.         0.03844    0.06065            T015100400406 
  159.       19.        20.         0.04265    0.13230            T015100400407 
  159.       20.        21.         0.06158    0.12817            T015100400408 
  159.       21.        22.         0.01637    0.05346            T015100400409 
  159.       22.        23.         0.00936    0.06724            T015100400410 
  159.       23.        24.         0.00835    0.11496            T015100400411 
  159.       24.        25.         0.00357    0.06356            T015100400412 
  159.       25.        26.         0.03584    0.11070            T015100400413 
  159.       26.        27.         0.04184    0.10856            T015100400414 
  159.       27.        28.         0.01253    0.04583            T015100400415 
  159.       28.        29.         0.01312    0.04495            T015100400416 
  159.       29.        30.         0.01564    0.04433            T015100400417 
  159.       30.        31.         0.00278    0.05665            T015100400418 
ENDDATA            403          0                                 T015100400419 
ENDSUBENT          418          0                                 T015100499999 
SUBENT        T0151005   20010212                             0000T015100500001 
BIB                  4          6                                 T015100500002 
REACTION   (30-ZN-64(P,X)0-NN-1,,DE,,AV)                          T015100500003 
ANALYSIS   (INTAD)                                                T015100500004 
ERR-ANALYS Errors are estimated to be in the order of 10% in the  T015100500005 
            evaporation region and may be go up to 30% at the     T015100500006 
            highest neutron energies.                             T015100500007 
STATUS     (DEP,T0151004)                                         T015100500008 
ENDBIB               6          0                                 T015100500009 
NOCOMMON             0          0                                 T015100500010 
DATA                 3         27                                 T015100500011 
E-CM-MIN   E-CM-MAX   DATA-CM                                     T015100500012 
MEV        MEV        MB/MEV                                      T015100500013 
   4.         5.        93.1499                                   T015100500014 
   5.         6.        47.8460                                   T015100500015 
   6.         7.        27.5510                                   T015100500016 
   7.         8.        17.6075                                   T015100500017 
   8.         9.        12.4289                                   T015100500018 
   9.        10.         9.27774                                  T015100500019 
  10.        11.         7.49768                                  T015100500020 
  11.        12.         6.76167                                  T015100500021 
  12.        13.         5.22378                                  T015100500022 
  13.        14.         3.83937                                  T015100500023 
  14.        15.         3.53379                                  T015100500024 
  15.        16.         3.72062                                  T015100500025 
  16.        17.         4.43225                                  T015100500026 
  17.        18.         1.78105                                  T015100500027 
  18.        19.         0.34092                                  T015100500028 
  19.        20.         0.16504                                  T015100500029 
  20.        21.         0.117561                                 T015100500030 
  21.        22.         0.658109                                 T015100500031 
  22.        23.         0.034140                                 T015100500032 
  23.        24.         0.665271                                 T015100500033 
  24.        25.         0.733158                                 T015100500034 
  25.        26.         0.787299                                 T015100500035 
  26.        27.         0.764206                                 T015100500036 
  27.        28.         0.613141                                 T015100500037 
  28.        29.         0.53369                                  T015100500038 
  29.        30.         0.08072                                  T015100500039 
  30.        31.         0.66133                                  T015100500040 
