ENTRY            T0268   20230918                             C233T0268000    1 
SUBENT        T0268001   20230918                             C233T0268001    1 
BIB                  7         13                                 T0268001    2 
INSTITUTE  (1USAANL)                                              T0268001    3 
REFERENCE  (J,PR,133,B590,1964)                                   T0268001    4 
           #doi:10.1103/PhysRev.133.B590                          T0268001    5 
AUTHOR     (J.A.Weinman, L.Meyer-Schutzmeister, L.L.Lee Jr)       T0268001    6 
TITLE      States in 28Si with 12.7<E(x)<13.7 MeV by (alpha,gamma)T0268001    7 
            and (alpha,aalpha) reactions on 24Mg                  T0268001    8 
FACILITY   (VDG,1USAANL) Argonne 4.5-MeV Van de Graaff generator. T0268001    9 
ERR-ANALYS (EN-ERR) Error of relative a-particle energies.        T0268001   10 
HISTORY    (20030918C) VNIIEF + VM                                T0268001   11 
           (20081013A) NDS: reference on Phys.Rev. corrected.     T0268001   12 
                       PR/B,133,590,1964 ==> PR,133,B590,1964     T0268001   13 
           (20230914A) OS. REACTIONs corrected in subs.3,4,       T0268001   14 
            ERR-ANALYS updated in sub.2                           T0268001   15 
ENDBIB              13          0                                 T0268001   16 
COMMON               2          3                                 T0268001   17 
EN-ERR     EN-RSL                                                 T0268001   18 
MEV        MEV                                                    T0268001   19 
 0.2        0.1                                                   T0268001   20 
ENDCOMMON            3          0                                 T0268001   21 
ENDSUBENT           20          0                                 T026800199999 
SUBENT        T0268002   20230918                             C233T0268002    1 
BIB                  6         10                                 T0268002    2 
REACTION   (12-MG-24(A,EL)12-MG-24,,DA)                           T0268002    3 
SAMPLE     Magnesium metal, enriched to 99.7% 24Mg, evaporated    T0268002    4 
            onto thin carbon foils backings. Target thickness     T0268002    5 
            about 0.01 mg/cm2.                                    T0268002    6 
DETECTOR   (SOLST)                                                T0268002    7 
ERR-ANALYS (DATA-ERR) No information on source of uncertainty.    T0268002    8 
           (EN-ERR-DIG) Digitizing error in energy 0.005 MeV.     T0268002    9 
           (ERR-DIG) Digitizing error in data 0.005 mb/sr.        T0268002   10 
STATUS     (CURVE,,J.A.Weinman+,J,PR,133,B590,1964) Fig.6         T0268002   11 
HISTORY    (20230914A) COMMON added                               T0268002   12 
ENDBIB              10          0                                 T0268002   13 
COMMON               2          3                                 T0268002   14 
EN-ERR-DIG ERR-DIG                                                T0268002   15 
MEV        MB/SR                                                  T0268002   16 
  0.005      0.005                                                T0268002   17 
ENDCOMMON            3          0                                 T0268002   18 
DATA                 4        476                                 T0268002   19 
125.3       3.4321    0.14593    0.40446E-02                      T0268002  203 
125.3       3.4358    0.13950    0.32356E-02                      T0268002  204 
125.3       3.4404    0.13956    0.40445E-02                      T0268002  205 
125.3       3.4441    0.14203    0.32357E-02                      T0268002  206 
125.3       3.4496    0.13724    0.48535E-02                      T0268002  207 
125.3       3.4533    0.13809    0.48535E-02                      T0268002  208 
125.3       3.4570    0.13329    0.40445E-02                      T0268002  209 
125.3       3.4653    0.13500    0.48535E-02                      T0268002  210 
125.3       3.4727    0.13024    0.32356E-02                      T0268002  211 
125.3       3.4820    0.12226    0.32356E-02                      T0268002  212 
125.3       3.4895    0.11345    0.24267E-02                      T0268002  213 
125.3       3.4943    0.10056    0.32356E-02                      T0268002  214 
125.3       3.4990    0.93333E-010.32356E-02                      T0268002  215 
125.3       3.5035    0.99859E-010.32356E-02                      T0268002  216 
125.3       3.5069    0.11770    0.32356E-02                      T0268002  217 
125.3       3.5113    0.13070    0.32357E-02                      T0268002  218 
125.3       3.5157    0.14046    0.40445E-02                      T0268002  219 
125.3       3.5203    0.13970    0.32357E-02                      T0268002  220 
125.3       3.5240    0.13894    0.32356E-02                      T0268002  221 
125.3       3.5277    0.13494    0.32356E-02                      T0268002  222 
125.3       3.5332    0.13905    0.32357E-02                      T0268002  223 
125.3       3.5416    0.12863    0.32356E-02                      T0268002  224 
125.3       3.5498    0.13358    0.32357E-02                      T0268002  225 
125.3       3.5545    0.12798    0.32356E-02                      T0268002  226 
125.3       3.5581    0.12802    0.32356E-02                      T0268002  227 
125.3       3.5619    0.12483    0.32356E-02                      T0268002  228 
125.3       3.5666    0.11598    0.32356E-02                      T0268002  229 
125.3       3.5703    0.11279    0.24267E-02                      T0268002  230 
125.3       3.5750    0.10314    0.32356E-02                      T0268002  231 
125.3       3.5839    0.12590    0.32356E-02                      T0268002  232 
125.3       3.5875    0.12594    0.32357E-02                      T0268002  233 
125.3       3.5911    0.13165    0.24267E-02                      T0268002  234 
125.3       3.5965    0.13900    0.24267E-02                      T0268002  235 
125.3       3.6048    0.13748    0.32356E-02                      T0268002  236 
125.3       3.6140    0.13516    0.32357E-02                      T0268002  237 
125.3       3.6895    0.12312    0.40445E-02                      T0268002  238 
125.3       3.7152    0.12423    0.32356E-02                      T0268002  239 
125.3       3.7188    0.12670    0.32356E-02                      T0268002  240 
125.3       3.7226    0.12189    0.24267E-02                      T0268002  241 
125.3       3.7280    0.12519    0.24267E-02                      T0268002  242 
