E          E-ERR      E-LVL-INI  E-LVL-ERR  DATA       ERR-S      3158900200011 
KEV        KEV        KEV        KEV        PC/INC     PER-CENT   3158900200012 
 1657.1      0.10       2982.69     0.12       0.25       2.      3158900200243 
 1663.0      0.15       2988.34     0.06       0.11       5.      3158900200244 
 1670.8      0.10       3709.77     0.07       0.08      44.      3158900200245 
 1672.3      0.32       2920.69     0.10       0.04      60.      3158900200246 
 1675.6      0.13       3001.09     0.07       0.16       3.      3158900200247 
 1681.0      0.10       3774.66     0.34       0.02      87.      3158900200248 
 1691.0      0.10       2293.74     0.04       2.12       1.      3158900200249 
 1693.0      0.10       4439.35     0.41       0.06      50.      3158900200250 
 1697.1      0.12       2945.63     0.07       0.03      56.      3158900200251 
 1705.7      0.10       2308.41     0.13       0.66       1.      3158900200252 
 1708.9      0.10       2957.53     0.10       0.36       2.      3158900200253 
 1720.2      0.10       2322.96     0.07       2.37       1.      3158900200254 
 1729.1      0.33       3054.65     0.09       0.17      24.      3158900200255 
 1731.1      0.11       3056.49     0.14       0.06      55.      3158900200256 
 1734.3      0.26       2982.69     0.12       0.10      10.      3158900200257 
 1745.4      0.18       3628.49     0.08       0.06       8.      3158900200258 
 1752.2      0.13       3001.09     0.07       0.11       4.      3158900200259 
 1757.3      0.71       4505.63     0.39       0.05       9.      3158900200260 
 1766.3      0.12       3091.86     0.11       0.13       4.      3158900200261 
 1769.5      0.10       3095.07     0.06       0.33       1.      3158900200262 
 1770.5      0.51       3862.49     0.12       0.04      60.      3158900200263 
 1782.0      0.11       3107.60     0.09       0.14       4.      3158900200264 
 1793.0      0.21       3118.52     0.14       0.06      12.      3158900200265 
 1805.8      0.23       3054.65     0.09       0.10      26.      3158900200266 
 1807.3      0.29       3056.49     0.14       0.11      20.      3158900200267 
 1811.0      0.36       4911.31     0.20       0.04      19.      3158900200268 
 1817.8      0.13       3143.22     0.11       0.08       6.      3158900200269 
 1834.2      0.10       3082.77     0.10       0.38       1.      3158900200270 
 1837.7      0.28       3162.92     0.15       0.07      11.      3158900200271 
 1840.2      0.40       3088.53     0.08       0.08      20.      3158900200272 
 1842.3      0.14       3167.93     0.10       0.32       5.      3158900200273 
 1851.4      0.10       2454.06     0.05       0.89       2.      3158900200274 
 1860.7      0.11       3109.37     0.17       0.18       2.      3158900200275 
 1869.3      0.50       3118.52     0.14       0.02      31.      3158900200276 
 1884.0      0.78       4985.08     0.29       0.03      50.      3158900200277 
 1886.5      0.19       3212.25     0.07       0.16       6.      3158900200278 
 1893.6      0.10       3217.59     0.14       0.17      22.      3158900200279 
 1896.2      0.10       3220.72     0.17       0.09      42.      3158900200280 
 1914.2      0.32       3162.92     0.15       0.14      16.      3158900200281 
 1914.8      0.51       3240.89     0.22       0.04      50.      3158900200282 
 1918.6      0.10       2521.26     0.07       1.47       1.      3158900200283 
 1920.0      0.51       4010.95     0.14       0.03      50.      3158900200284 
 1920.2      0.81       3167.93     0.10       0.02      67.      3158900200285 
 1926.7      0.11       2529.44     0.10       0.54       2.      3158900200286 
 1932.3      0.15       3257.82     0.14       0.19       7.      3158900200287 
 1958.9      0.12       3284.25     0.14       0.11       3.      3158900200288 
 1962.3      0.41       3210.90     0.41       0.04      67.      3158900200289 
 1963.4      0.10       3288.90     0.09       0.23       1.      3158900200290 
 1967.2      0.81       4568.89     0.14       0.06       7.      3158900200291 
 1972.9      0.73       3220.72     0.17       0.02      39.      3158900200292 
 1992.4      0.22       3240.89     0.22       0.13      28.      3158900200293 
 1993.5      0.22       3318.97     0.15       0.14      27.      3158900200294 
 1998.2      0.10       2601.03     0.06       1.15       1.      3158900200295 
 2006.8      0.91       4099.66     0.14       0.04      24.      3158900200296 
 2008.9      0.41       3257.82     0.14       0.03      50.      3158900200297 
 2010.9      0.20       3336.51     0.13       0.06      14.      3158900200298 
 2015.9      0.11       2618.62     0.08       0.19       3.      3158900200299 
 2022.8      0.32       3348.70     0.26       0.13       9.      3158900200300 
 2038.5      0.10       2641.14     0.17       0.90      44.      3158900200301 
 2039.4      0.20       2039.425    0.004      1.10      36.      3158900200302 
 2045.6      0.55       3929.53     0.09       0.03      40.      3158900200303 
 2049.7      0.81       4142.21     0.13       0.01      67.      3158900200304 
 2053.5      0.61       4144.58     0.16       0.01      53.      3158900200305 
 2059.9      0.49       3308.49     0.49       0.06      26.      3158900200306 
 2062.8      0.81       4244.32     0.11       0.08      12.      3158900200307 
 2068.0      0.51       3393.69     0.15       0.12      25.      3158900200308 
 2074.2      0.23       3399.64     0.09       0.09       8.      3158900200309 
 2078.8      0.10       2681.49     0.07       0.92       1.      3158900200310 
 2088.0      0.17       3336.51     0.13       0.13       7.      3158900200311 
 2091.19     0.10       2091.54     0.05       1.05       1.      3158900200312 
 2092.4      0.15       2693.75     0.10       0.07      60.      3158900200313 
 2098.6      0.14       3755.72     0.05       0.40       6.      3158900200314 
 2104.9      0.28       4144.58     0.16       0.22      23.      3158900200315 
