 2521.4         0.4       0.05                                    3153900200312 
 2528.3         0.4       0.06                 50.                3153900200313 
 2550.4         0.8       0.02                                    3153900200314 
 2557.3         0.5       0.05                 50.                3153900200315 
 2567.1         0.8       0.12                                    3153900200316 
 2568.0         0.3       0.09                 44.                3153900200317 
 2574.5         0.5       0.11                                    3153900200318 
 2581.2         0.5       0.08                 30.                3153900200319 
 2596.68        0.10      0.17                 29.                3153900200320 
 2597.61        0.11      0.64                 28.                3153900200321 
 2597.7         0.7       0.09                 50.                3153900200322 
 2598.59        0.15      0.15                 33.                3153900200323 
 2602.2         0.7       0.04                 40.                3153900200324 
 2613.7         0.4       0.27                 37.                3153900200325 
 2626.30        0.23      0.16                 25.                3153900200326 
 2642.0         0.3       0.07                 29.                3153900200327 
 2642.5         0.8       0.23                                    3153900200328 
 2647.1         0.3       0.24                 25.                3153900200329 
 2686.2         0.6       0.2                                     3153900200330 
 2691.9         0.5       0.25                 32.                3153900200331 
 2692.4         0.5       0.10                                    3153900200332 
 2710.4         0.3       0.65                 29.        1.0     3153900200333 
 2719.09        0.23      0.16                 25.                3153900200334 
 2733.9         0.4       0.28                 29.                3153900200335 
 2742.9         0.3       0.33                 29.                3153900200336 
 2751.0         0.10      0.05                                    3153900200337 
 2758.6         0.5       0.38                 21.                3153900200338 
 2764.7         0.3       0.21                 19.                3153900200339 
 2772.0         0.3       0.17                 24.                3153900200340 
 2797.9         0.3       0.2                                     3153900200341 
 2805.25        0.20      0.14                 21.                3153900200342 
 2844.2         0.2       0.29                 30.                3153900200343 
 2844.70        0.20      0.13                 23.                3153900200344 
 2849.6         0.6       0.05                                    3153900200345 
 2861.1         0.3       0.24                 34.                3153900200346 
 2922.29        0.15      1.45                 10.                3153900200347 
 2930.17        0.28      0.59                 20.                3153900200348 
 2936.2         0.4       0.42                 19.                3153900200349 
 2938.1         0.5       0.15                 50.                3153900200350 
 2956.1         0.5       0.05                                    3153900200351 
 2983.56        0.20      0.19                 32.                3153900200352 
 3001.48        0.26      0.15                 50.                3153900200353 
 3001.8         0.3       0.20                 50.                3153900200354 
 3007.4         0.5       0.16                 29.                3153900200355 
 3016.6         0.7       0.08                                    3153900200356 
 3022.5         0.3       0.23                 26.                3153900200357 
 3051.00        0.20      0.22                 32.                3153900200358 
 3051.91        0.15      0.51                 29.                3153900200359 
 3068.16        0.20      0.49                 10.                3153900200360 
 3083.9         0.3       0.39                 10.                3153900200361 
 3094.1         0.6       0.33                 36.        1.0     3153900200362 
 3096.6         0.3       0.19                 21.                3153900200363 
 3119.40        0.20      0.23                 22.                3153900200364 
