ENTRY            32708   20140327                             31653270800000001 
SUBENT        32708001   20140327                             31653270800100001 
BIB                  9         27                                 3270800100002 
TITLE      Measurements of charge distributions of the fragments  3270800100003 
           in the low energy fission reaction                     3270800100004 
AUTHOR     (Taofeng Wang,Hongyin Han,Qinghua Meng,Liming Wang,    3270800100005 
           Liping Zhu,Haihong Xia)                                3270800100006 
INSTITUTE  (3CPRCPR) School of Physics and Nuclear Energy         3270800100007 
           Engineering, Beihang University, Beijing, China.       3270800100008 
           (3CPRAEP)                                              3270800100009 
REFERENCE  (J,NIM/A,697,7,2013)                                   3270800100010 
           #doi:10.1016/j.nima.2012.08.109                        3270800100011 
DETECTOR   (TELES,IOCH,SIBAR) Detector system consisting of a     3270800100012 
           grid ionization chamber and a Delta-E-E particle       3270800100013 
           telescope, in which a thin grid ionization chamber     3270800100014 
           served as the Delta-E section and the E section was    3270800100015 
           an Au-Si surface barrier detector.                     3270800100016 
SAMPLE     A Cf252 foil fission source with an activity of about  3270800100017 
           3000 fissions/s.                                       3270800100018 
METHOD     (EDE) The typical physical quantities of fragments,    3270800100019 
           such as mass number and kinetic energies as well as    3270800100020 
           the deposition in the gas Delta-E detector and E       3270800100021 
           detector were derived from the coincident measurement  3270800100022 
           data.                                                  3270800100023 
ANALYSIS   The charge distributions of the light fragments for    3270800100024 
           the fixed mass number A and total kinetic energy were  3270800100025 
           obtained by the least-squares fits for the response    3270800100026 
           functions of the Delta-E detector with multi-Gaussian  3270800100027 
           functions representing the different elements.         3270800100028 
HISTORY    (20140327C)Compiled by WANG Jimin (CNDC).              3270800100029 
ENDBIB              27          0                                 3270800100030 
NOCOMMON             0          0                                 3270800100031 
ENDSUBENT           30          0                                 3270800199999 
SUBENT        32708002   20140327                             31653270800200001 
BIB                  4          8                                 3270800200002 
REACTION   (98-CF-252(0,F)MASS,,ZP,,MSC)                          3270800200003 
           Fragment energy dependence of the most probable charge 3270800200004 
           Zp.                                                    3270800200005 
EN-SEC     (E,FF)                                                 3270800200006 
STATUS     (TABLE)Data were obtained from Hongyin Han.            3270800200007 
ERR-ANALYS (DATA-ERR) The errors of the parameters are due to     3270800200008 
           the statistics errors of the fits of the Gaussian      3270800200009 
           distributions.                                         3270800200010 
ENDBIB               8          0                                 3270800200011 
NOCOMMON             0          0                                 3270800200012 
DATA                 5        553                                 3270800200013 
MASS       E-MIN      E-MAX      DATA       DATA-ERR              3270800200014 
118.       114.       117.       47.46      0.03                  3270800200476 
118.       117.       120.       47.29      0.03                  3270800200477 
118.       120.       123.       47.02      0.04                  3270800200478 
118.       123.       126.       47.16      0.06                  3270800200479 
118.       126.       129.       47.22      0.10                  3270800200480 
119.       84.        87.        46.51      0.41                  3270800200481 
119.       87.        90.        46.55      0.23                  3270800200482 
119.       90.        93.        46.50      0.16                  3270800200483 
119.       93.        96.        46.69      0.09                  3270800200484 
119.       96.        99.        46.69      0.06                  3270800200485 
119.       99.        102.       46.76      0.04                  3270800200486 
119.       102.       105.       46.84      0.03                  3270800200487 
119.       105.       108.       46.90      0.03                  3270800200488 
119.       108.       111.       47.28      0.03                  3270800200489 
119.       111.       114.       47.18      0.02                  3270800200490 
119.       114.       117.       47.33      0.03                  3270800200491 
119.       117.       120.       47.26      0.03                  3270800200492 
119.       120.       123.       47.19      0.04                  3270800200493 
119.       123.       126.       46.93      0.06                  3270800200494 
119.       126.       129.       46.73      0.13                  3270800200495 
120.       84.        87.        46.23      0.40                  3270800200496 
120.       87.        90.        45.99      0.23                  3270800200497 
120.       90.        93.        46.28      0.15                  3270800200498 
120.       93.        96.        46.49      0.10                  3270800200499 
120.       96.        99.        46.61      0.07                  3270800200500 
120.       99.        102.       46.67      0.05                  3270800200501 
120.       102.       105.       46.83      0.09                  3270800200502 
120.       105.       108.       46.93      0.03                  3270800200503 
120.       108.       111.       47.21      0.03                  3270800200504 
120.       111.       114.       47.07      0.03                  3270800200505 
120.       114.       117.       46.86      0.02                  3270800200506 
120.       117.       120.       46.83      0.03                  3270800200507 
120.       120.       123.       46.99      0.07                  3270800200508 
120.       123.       126.       46.86      0.08                  3270800200509 
120.       126.       129.       47.19      0.17                  3270800200510 
121.       84.        87.        47.06      0.40                  3270800200511 
121.       87.        90.        46.69      0.30                  3270800200512 
121.       90.        93.        47.07      0.21                  3270800200513 
121.       93.        96.        47.01      0.12                  3270800200514 
121.       96.        99.        42.02      0.09                  3270800200515 
121.       99.        102.       47.18      0.06                  3270800200516 
121.       102.       105.       46.97      0.04                  3270800200517 
121.       105.       108.       46.97      0.04                  3270800200518 
121.       108.       111.       47.15      0.03                  3270800200519 
121.       111.       114.       47.13      0.03                  3270800200520 
121.       114.       117.       47.08      0.03                  3270800200521 
121.       117.       120.       46.96      0.04                  3270800200522 
121.       120.       123.       47.06      0.06                  3270800200523 
121.       123.       126.       46.96      0.10                  3270800200524 
121.       126.       129.       46.87      0.21                  3270800200525 
122.       84.        87.        47.14      0.47                  3270800200526 
122.       87.        90.        46.89      0.30                  3270800200527 
122.       90.        93.        47.10      0.21                  3270800200528 
122.       93.        96.        47.11      0.06                  3270800200529 
122.       96.        99.        47.18      0.08                  3270800200530 
122.       99.        102.       47.12      0.06                  3270800200531 
122.       102.       105.       47.07      0.05                  3270800200532 
122.       105.       108.       47.12      0.04                  3270800200533 
122.       108.       111.       47.26      0.04                  3270800200534 
122.       111.       114.       47.34      0.04                  3270800200535 
122.       114.       117.       47.04      0.05                  3270800200536 
122.       117.       120.       47.21      0.06                  3270800200537 
122.       120.       123.       46.97      0.09                  3270800200538 
122.       123.       126.       47.01      0.17                  3270800200539 
123.       84.        87.        47.22      0.55                  3270800200540 
123.       87.        90.        47.26      0.30                  3270800200541 
123.       90.        93.        47.30      0.21                  3270800200542 
123.       93.        96.        47.40      0.13                  3270800200543 
123.       96.        99.        47.46      0.10                  3270800200544 
123.       99.        102.       47.47      0.07                  3270800200545 
123.       102.       105.       47.49      0.05                  3270800200546 
123.       105.       108.       47.52      0.04                  3270800200547 
123.       108.       111.       47.41      0.04                  3270800200548 
123.       111.       114.       47.65      0.04                  3270800200549 
123.       114.       117.       47.53      0.05                  3270800200550 
123.       117.       120.       47.69      0.08                  3270800200551 
123.       120.       123.       47.65      0.13                  3270800200552 
123.       123.       126.       47.47      0.25                  3270800200553 
124.       96.        99.        47.44      0.24                  3270800200554 
124.       99.        102.       47.51      0.17                  3270800200555 
124.       102.       105.       47.11      0.09                  3270800200556 
124.       105.       108.       47.57      0.06                  3270800200557 
124.       108.       111.       47.67      0.05                  3270800200558 
124.       111.       114.       47.68      0.04                  3270800200559 
124.       114.       117.       47.85      0.05                  3270800200560 
124.       117.       120.       47.85      0.07                  3270800200561 
124.       120.       123.       47.90      0.13                  3270800200562 
124.       123.       126.       47.91      0.24                  3270800200563 
125.       105.       108.       47.84      0.09                  3270800200564 
125.       108.       111.       47.91      0.05                  3270800200565 
125.       111.       115.       47.97      0.06                  3270800200566 
125.       114.       118.       48.00      0.13                  3270800200567 
125.       117.       120.       47.97      0.21                  3270800200568 
ENDDATA            555          0                                 3270800200569 
ENDSUBENT          568          0                                 3270800299999 
ENDENTRY             2          0                                 3270899999999 
