ENTRY            A1183   19990319                             0000A118300000001 
SUBENT        A1183001   19990319                             0000A118300100001 
BIB                  8         11                                 A118300100002 
INSTITUTE  (2SWTETH)                                              A118300100003 
REFERENCE  (J,NP/A,324,(1),99,197907)                             A118300100004 
AUTHOR     (B.JENNY,W.GRUEBLER,V.KONIG,P.A.SCHMELZBACH,R.RISLER,  A118300100005 
           H.R.BURGI,D.O.BOERMA)                                  A118300100006 
TITLE      Analyzing power and cross-section measurements for     A118300100007 
           3He(d,d)3He scattering                                 A118300100008 
FACILITY   (VDGT)                                                 A118300100009 
SAMPLE     3He gas target (purity 99.9%)                          A118300100010 
DETECTOR   (SOLST) SILICON SURFACE-BARRIER                        A118300100011 
HISTORY    (19830818C) Compilation produced by Arzamas RFNC-VNIIEFA118300100012 
           (19990220U)CNPD: corrected 4-dig. year and lower cases.A118300100013 
ENDBIB              11          0                                 A118300100014 
NOCOMMON             0          0                                 A118300100015 
ENDSUBENT           14          0                                 A118300199999 
SUBENT        A1183002   19990319                             0000A118300200001 
BIB                  4          8                                 A118300200002 
REACTION   (2-HE-3(D,EL)2-HE-3,,DA,,,EXP)                         A118300200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             A118300200004 
           (DATA-ERR) Digitizing error                            A118300200005 
           (DATA-ERR1) Absolute error above 5 MeV                 A118300200006 
           (DATA-ERR2) Absolute error later 5 MeV                 A118300200007 
FLAG       (1.) REACTION (2-HE-3(D,EL)2-HE-3,,DA,D,EXP)           A118300200008 
           (2.) REACTION (2-HE-3(D,EL)2-HE-3,,DA,HE3,EXP)         A118300200009 
STATUS     (CURVE) fig 1                                          A118300200010 
ENDBIB               8          0                                 A118300200011 
COMMON               3          3                                 A118300200012 
ANG-ERR    DATA-ERR1  DATA-ERR2                                   A118300200013 
ADEG       PER-CENT   PER-CENT                                    A118300200014 
  1.         3.         7.                                        A118300200015 
ENDCOMMON            3          0                                 A118300200016 
DATA                 5        376                                 A118300200017 
EN         ANG-CM     DATA-CM    DATA-ERR   FLAG                  A118300200018 
     7.        21.14     608.2       29.57       2.               A118300200179 
     7.        25.65     463.5       22.54       2.               A118300200180 
     7.        30.21     393.1       19.11       2.               A118300200181 
     7.        34.72     299.6       14.57       2.               A118300200182 
     7.        38.08     228.5       11.11       2.               A118300200183 
     7.        42.61     183.7        8.933      2.               A118300200184 
     7.        47.1      132.7        6.453      2.               A118300200185 
     7.        49.28      96.07       4.671      2.               A118300200186 
     7.        53.77      69.4        3.374      2.               A118300200187 
     7.        57.08      47.57       2.313      2.               A118300200188 
     7.        61.55      32.57       1.584      2.               A118300200189 
     7.        66.13      29.14       1.417      2.               A118300200190 
     7.        69.67      34.11       1.659      2.               A118300200191 
     7.        74.36      39.89       1.939      2.               A118300200192 
     7.        77.94      51.96       2.526      2.               A118300200193 
     7.        81.47      60.82       2.957      2.               A118300200194 
     7.        86.19      75.03       3.648      2.               A118300200195 
     7.        89.7       83.24       4.047      2.               A118300200196 
     7.        93.19      87.55       4.257      2.               A118300200197 
     7.        96.66      87.27       4.243      2.               A118300200198 
     7.       100.1       82.47       4.01       2.               A118300200199 
     7.       103.6       86.73       4.217      2.               A118300200200 
     7.       105.8       73.71       3.584      2.               A118300200201 
     7.       109.3       66.03       3.21       2.               A118300200202 
     7.       112.7       59.14       2.876      2.               A118300200203 
     7.       116.1       47.6        2.314      1.               A118300200204 
     7.       118.3       42.68       2.075      2.               A118300200205 
     7.       120.6       38.27       1.861      1.               A118300200206 
     7.       125.2       36.12       1.756      2.               A118300200207 
     7.       127.5       36.05       1.753      1.               A118300200208 
     7.       129.9       40.04       1.947      1.               A118300200209 
     7.       129.9       40.04       1.947      2.               A118300200210 
     7.       133.4       46.86       2.279      2.               A118300200211 
     7.       134.6       54.97       2.673      2.               A118300200212 
     7.       137.        64.4        3.132      1.               A118300200213 
     7.       141.8      103.8        5.048      1.               A118300200214 
     7.       145.5      158.8        7.721      1.               A118300200215 
     7.       151.4      217.8       10.59       1.               A118300200216 
     7.       156.2      299.        14.54       1.               A118300200217 
