ENTRY            A1539   20180429                             A089A1539  0    1 
SUBENT        A1539001   20180429                             A089A1539  1    1 
BIB                 10         20                                 A1539  1    2 
INSTITUTE  (3CHFSHI)                                              A1539  1    3 
REFERENCE  (J,NP/A,275,93,197701)                                 A1539  1    4 
AUTHOR     (Chia-Shou Lin,Wan-Shou Hou,Min Wen,Jen-Chang Chou)    A1539  1    5 
TITLE      Cross section measurements for the 6Li(p,alpha)3He     A1539  1    6 
           reaction in the proton energy range 1.0 - 2.6 MeV      A1539  1    7 
FACILITY   (VDG,3CHFSHI)                                          A1539  1    8 
SAMPLE     (3-LI-6,ENR=0.9603) Lithium fluoride (96.03%) in 6Li   A1539  1    9 
           onto a carbon backing of about 35 mu-g/cm2. The        A1539  1   10 
           thickness of the 6LiF in the targets was 110+-5 mug/cm2A1539  1   11 
METHOD     (COINC,PHD)                                            A1539  1   12 
DETECTOR   (SIBAR) 500 mu-m silicon surface barrier detectors     A1539  1   13 
ERR-ANALYS (ERR-1) The uncertainty in target thickness            A1539  1   14 
           (ERR-2) the errors in current integrator calibration   A1539  1   15 
           (ERR-3) The errors in solid angle measurements         A1539  1   16 
HISTORY    (19800820C) Compilation produced by RFNC-VNIIEF Sarov  A1539  1   17 
           (19990323U)CNPD: corrected 4-dig. year and lower cases.A1539  1   18 
           (20130130A). Missing value was added in Sub.004 for    A1539  1   19 
           Data-section-sb                                        A1539  1   20 
           (20180429A) SD: REACTION code corrected in Subents     A1539  1   21 
           002,003. BIB, ERR-ANALYS was updated.                  A1539  1   22 
ENDBIB              20          0                                 A1539  1   23 
COMMON               3          3                                 A1539  1   24 
ERR-1      ERR-2      ERR-3                                       A1539  1   25 
PER-CENT   PER-CENT   PER-CENT                                    A1539  1   26 
  8.0       4.0         3.0                                       A1539  1   27 
ENDCOMMON            3          0                                 A1539  1   28 
ENDSUBENT           27          0                                 A1539  199999 
SUBENT        A1539002   20180429                             A089A1539  2    1 
BIB                  4          7                                 A1539  2    2 
REACTION   (3-LI-6(P,HE3)2-HE-4,,DA,A)                            A1539  2    3 
ERR-ANALYS (ERR-T) The error in absolute differential cross sect. A1539  2    4 
           (ERR-S,,3.) Statistical error                          A1539  2    5 
STATUS     (CURVE) Fig 4a,4b of J,NP/A,275,93,1977                A1539  2    6 
HISTORY    (20180429A) SD: SF7=A was added to REACTION code       A1539  2    7 
           according to comment from Dr. I.Thompson (2018-04-23). A1539  2    8 
           ANG-ERR -> ANG-ERR-D; DATA-ERR -> ERR-T.               A1539  2    9 
ENDBIB               7          0                                 A1539  2   10 
NOCOMMON             0          0                                 A1539  2   11 
DATA                 5        260                                 A1539  2   12 
EN         ANG-CM     ANG-ERR-D  DATA-CM    ERR-T                 A1539  2   13 
     1.95     117.6        1.098     13.46       0.3832           A1539  2  191 
     1.95     127.4        1.098     15.11       0.4303           A1539  2  192 
     1.95     141.2        1.098     16.06       0.4575           A1539  2  193 
     1.95     152.         1.098     17.06       0.4858           A1539  2  194 
     2.        22.87       1.837     13.14       0.3827           A1539  2  195 
     2.        35.46       1.837     12.83       0.3737           A1539  2  196 
     2.        47.11       1.837     11.49       0.3346           A1539  2  197 
     2.        58.73       1.837     11.54       0.3361           A1539  2  198 
     2.        70.35       1.837     11.26       0.328            A1539  2  199 
     2.        75.27       1.837      9.23       0.2688           A1539  2  200 
     2.        81.01       1.837     10.99       0.3201           A1539  2  201 
     2.        86.8        1.837     11.33       0.3301           A1539  2  202 
     2.        91.64       1.837     11.36       0.3307           A1539  2  203 
     2.        97.44       1.837     11.71       0.3411           A1539  2  204 
     2.       102.3        1.837     11.73       0.3417           A1539  2  205 
     2.       108.         1.837     13.19       0.3842           A1539  2  206 
     2.       119.6        1.837     14.86       0.4328           A1539  2  207 
     2.       131.2        1.837     16.74       0.4876           A1539  2  208 
     2.       142.8        1.837     17.81       0.5187           A1539  2  209 
     2.       154.4        1.837     17.89       0.521            A1539  2  210 
     2.1       22.         1.098     11.94       0.34             A1539  2  211 
     2.1       34.61       1.098     11.03       0.314            A1539  2  212 
     2.1       46.25       1.098     10.47       0.2982           A1539  2  213 
     2.1       57.9        1.098      9.398      0.2676           A1539  2  214 
     2.1       70.48       1.098      9.443      0.2689           A1539  2  215 
     2.1       76.32       1.098      8.699      0.2477           A1539  2  216 
     2.1       82.03       1.098     11.22       0.3196           A1539  2  217 
     2.1       85.92       1.098     10.63       0.3026           A1539  2  218 
     2.1       91.73       1.098     10.65       0.3033           A1539  2  219 
     2.1       95.58       1.098     11.28       0.3212           A1539  2  220 
     2.1      101.4        1.098     11.3        0.3219           A1539  2  221 
     2.1      107.2        1.098     10.71       0.305            A1539  2  222 
     2.1      117.8        1.098     13.09       0.3727           A1539  2  223 
     2.1      128.4        1.098     13.52       0.3849           A1539  2  224 
     2.1      140.         1.098     14.36       0.4089           A1539  2  225 
     2.1      153.5        1.098     15.26       0.4347           A1539  2  226 
     2.2       23.06       1.091     11.44       0.3238           A1539  2  227 
     2.2       35.69       1.091     10.28       0.291            A1539  2  228 
     2.2       47.35       1.091      8.981      0.2542           A1539  2  229 
     2.2       59.01       1.091      8.067      0.2283           A1539  2  230 
     2.2       71.52       1.091      9.853      0.2789           A1539  2  231 
     2.2       75.46       1.091      8.116      0.2297           A1539  2  232 
     2.2       81.23       1.091      9.094      0.2574           A1539  2  233 
     2.2       87.02       1.091      9.372      0.2653           A1539  2  234 
     2.2       93.74       1.091     10.8        0.3057           A1539  2  235 
