ENTRY            A0113   20210211                             A096A0113  0    1 
SUBENT        A0113001   20210211                             A096A0113  1    1 
BIB                 10         21                                 A0113  1    2 
TITLE      Projectile-fragment yields as a probe for the          A0113  1    3 
           collective enhancement in the nuclear level density    A0113  1    4 
AUTHOR     (A.R.Junghans, M.De Jong, H.-G.Clerc,                  A0113  1    5 
           A.V.Ignatyuk, G.A.Kudyaev, K.-H.Schmidt)               A0113  1    6 
INSTITUTE  (2GERTHD,4RUSFEI,2GERGSI)                              A0113  1    7 
REFERENCE  (J,NP/A,629,635,1998)                                  A0113  1    8 
REL-REF    (M,O0956001,H.-G.Clerc+,J,NP/A,590,785,1995)           A0113  1    9 
           (I,A0106001,M.de Jong+,J,NP/A,628,479,1998)            A0113  1   10 
FACILITY   (SYNCH,2GERGSI)                                        A0113  1   11 
           (OLMS,2GERGSI)                                         A0113  1   12 
METHOD     (SITA,OLMS,TOF,EDE)                                    A0113  1   13 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  A0113  1   14 
STATUS     (TABLE) All data were received from Web-site of GSI.   A0113  1   15 
HISTORY    (20010321C)                                            A0113  1   16 
           (20010613U) Last checking has been done.               A0113  1   17 
           (20200530A) SD: Corrections in all Subents. COMMENT    A0113  1   18 
           deleted (abstract of the article useless in the entry).A0113  1   19 
           Energy units in the COMMON changed. Subents 002-251    A0113  1   20 
           were merged.                                           A0113  1   21 
           (20210211A) SD: Subents 003-251 deleted (info moves to A0113  1   22 
           Subent 002).                                           A0113  1   23 
ENDBIB              21          0                                 A0113  1   24 
COMMON               1          3                                 A0113  1   25 
EN                                                                A0113  1   26 
MEV/A                                                             A0113  1   27 
        71.       159.        0.6       0.12                      A0113  2  252 
        71.       158.        0.5        0.1                      A0113  2  253 
        70.       166.       0.57       0.12                      A0113  2  254 
        70.       165.       1.01       0.19                      A0113  2  255 
        70.       164.        1.2       0.23                      A0113  2  256 
        70.       161.       2.87       0.55                      A0113  2  257 
        70.       160.        2.8       0.53                      A0113  2  258 
        70.       157.       0.94       0.18                      A0113  2  259 
        70.       156.       0.48        0.1                      A0113  2  260 
        70.       155.       0.19       0.04                      A0113  2  261 
ENDDATA            252          0                                 A0113  2  262 
ENDSUBENT          261          0                                 A0113  299999 
NOSUBENT      A0113003   20210211                             A096A0113  3    1 
NOSUBENT      A0113004   20210211                             A096A0113  4    1 
NOSUBENT      A0113005   20210211                             A096A0113  5    1 
NOSUBENT      A0113006   20210211                             A096A0113  6    1 
NOSUBENT      A0113007   20210211                             A096A0113  7    1 
NOSUBENT      A0113008   20210211                             A096A0113  8    1 
NOSUBENT      A0113009   20210211                             A096A0113  9    1 
NOSUBENT      A0113010   20210211                             A096A0113 10    1 
NOSUBENT      A0113011   20210211                             A096A0113 11    1 
NOSUBENT      A0113012   20210211                             A096A0113 12    1 
NOSUBENT      A0113013   20210211                             A096A0113 13    1 
NOSUBENT      A0113014   20210211                             A096A0113 14    1 
NOSUBENT      A0113015   20210211                             A096A0113 15    1 
NOSUBENT      A0113016   20210211                             A096A0113 16    1 
NOSUBENT      A0113017   20210211                             A096A0113 17    1 
NOSUBENT      A0113018   20210211                             A096A0113 18    1 
NOSUBENT      A0113019   20210211                             A096A0113 19    1 
NOSUBENT      A0113020   20210211                             A096A0113 20    1 
NOSUBENT      A0113021   20210211                             A096A0113 21    1 
NOSUBENT      A0113022   20210211                             A096A0113 22    1 
NOSUBENT      A0113023   20210211                             A096A0113 23    1 
NOSUBENT      A0113024   20210211                             A096A0113 24    1 
NOSUBENT      A0113025   20210211                             A096A0113 25    1 
NOSUBENT      A0113026   20210211                             A096A0113 26    1 
NOSUBENT      A0113027   20210211                             A096A0113 27    1 
NOSUBENT      A0113028   20210211                             A096A0113 28    1 
NOSUBENT      A0113029   20210211                             A096A0113 29    1 
NOSUBENT      A0113030   20210211                             A096A0113 30    1 
NOSUBENT      A0113031   20210211                             A096A0113 31    1 
NOSUBENT      A0113032   20210211                             A096A0113 32    1 
NOSUBENT      A0113033   20210211                             A096A0113 33    1 
NOSUBENT      A0113034   20210211                             A096A0113 34    1 
NOSUBENT      A0113035   20210211                             A096A0113 35    1 
NOSUBENT      A0113036   20210211                             A096A0113 36    1 
NOSUBENT      A0113037   20210211                             A096A0113 37    1 
NOSUBENT      A0113038   20210211                             A096A0113 38    1 
NOSUBENT      A0113039   20210211                             A096A0113 39    1 
NOSUBENT      A0113040   20210211                             A096A0113 40    1 
NOSUBENT      A0113041   20210211                             A096A0113 41    1 
NOSUBENT      A0113042   20210211                             A096A0113 42    1 
NOSUBENT      A0113043   20210211                             A096A0113 43    1 
NOSUBENT      A0113044   20210211                             A096A0113 44    1 
NOSUBENT      A0113045   20210211                             A096A0113 45    1 
NOSUBENT      A0113046   20210211                             A096A0113 46    1 
NOSUBENT      A0113047   20210211                             A096A0113 47    1 
NOSUBENT      A0113048   20210211                             A096A0113 48    1 
NOSUBENT      A0113049   20210211                             A096A0113 49    1 
NOSUBENT      A0113050   20210211                             A096A0113 50    1 
NOSUBENT      A0113051   20210211                             A096A0113 51    1 
NOSUBENT      A0113052   20210211                             A096A0113 52    1 
NOSUBENT      A0113053   20210211                             A096A0113 53    1 
NOSUBENT      A0113054   20210211                             A096A0113 54    1 
NOSUBENT      A0113055   20210211                             A096A0113 55    1 
NOSUBENT      A0113056   20210211                             A096A0113 56    1 
NOSUBENT      A0113057   20210211                             A096A0113 57    1 
NOSUBENT      A0113058   20210211                             A096A0113 58    1 
NOSUBENT      A0113059   20210211                             A096A0113 59    1 
NOSUBENT      A0113060   20210211                             A096A0113 60    1 
NOSUBENT      A0113061   20210211                             A096A0113 61    1 
