ENTRY            A1253   20120327                             A077A125300000001 
SUBENT        A1253001   20120327                             A077A125300100001 
BIB                  7         12                                 A125300100002 
INSTITUTE  (4RUSJIA)                                              A125300100003 
REFERENCE  (J,YF,29,(5),1137,1979)                                A125300100004 
           (J,SNP,29,585,1979) English translation                A125300100005 
AUTHOR     (I.Ja.Barit,Ju.G.Balashko,L.S.Dulkova,V.P.Zavarzina)   A125300100006 
TITLE      D-helium differential cross section scattering         A125300100007 
           in deuteron energy range 870 to 1430 keV               A125300100008 
FACILITY   (VDG)                                                  A125300100009 
SAMPLE     Gas targets- 4He (four series of exp.) and  4He+H.     A125300100010 
HISTORY    (19881214C) compilation produced by Arzamas RFNC-VNIIEFA125300100011 
           (19990315U)cnpd: corrected 4-dig. year and lower cases.A125300100012 
           (20120327A) BIB section upgrated                       A125300100013 
           English translation of 'YF' was added-sb               A125300100014 
ENDBIB              12          0                                 A125300100015 
NOCOMMON             0          0                                 A125300100016 
ENDSUBENT           15          0                                 A125300199999 
SUBENT        A1253002   19990322                             0000A125300200001 
BIB                  3          5                                 A125300200002 
REACTION   (2-HE-4(D,EL)2-HE-4,,DA,,,EXP)                         A125300200003 
ERR-ANALYS (EN-ERR) Digitizing error                              A125300200004 
           (DATA-ERR) Digitizing error                            A125300200005 
           (ERR-T) Absolute error                                 A125300200006 
STATUS     (CURVE) Fig 2                                          A125300200007 
ENDBIB               5          0                                 A125300200008 
COMMON               1          3                                 A125300200009 
EN-ERR                                                            A125300200010 
MEV                                                               A125300200011 
  0.001                                                           A125300200012 
ENDCOMMON            3          0                                 A125300200013 
DATA                 5        302                                 A125300200014 
EN         ANG-CM     ERR-T      DATA-CM    DATA-ERR              A125300200015 
     1.107     38.75       6.         1.407      0.0589           A125300200219 
     1.107     60.25       6.         0.2909     0.0014           A125300200220 
     1.107     90.         6.         0.1005     0.0007           A125300200221 
     1.109     48.9        6.         0.6059     0.0385           A125300200222 
     1.111     38.75       6.         1.304      0.0124           A125300200223 
     1.112     60.25       6.         0.2817     0.0153           A125300200224 
     1.112    125.        10.         0.2594     0.003            A125300200225 
     1.115     60.25       6.         0.2694     0.0123           A125300200226 
     1.116     48.9        6.         0.6131     0.0065           A125300200227 
     1.118     48.9        6.         0.5899     0.0065           A125300200228 
     1.119     38.75       6.         1.259      0.0587           A125300200229 
     1.119     60.25       6.         0.2725     0.0092           A125300200230 
     1.121     90.         6.         0.1096     0.0007           A125300200231 
     1.122     38.75       6.         1.156      0.0124           A125300200232 
     1.122     48.9        6.         0.5819     0.0308           A125300200233 
     1.124     48.9        6.         0.5587     0.0385           A125300200234 
     1.124     60.25       6.         0.2694     0.0123           A125300200235 
     1.125     38.75       6.         1.273      0.0587           A125300200236 
     1.128     48.9        6.         0.5892     0.0308           A125300200237 
     1.129    125.        10.         0.1498     0.003            A125300200238 
     1.131     38.75       6.         1.169      0.0587           A125300200239 
     1.132     48.9        6.         0.5505     0.0308           A125300200240 
     1.133     60.25       6.         0.2633     0.0014           A125300200241 
     1.136     48.9        6.         0.4886     0.0308           A125300200242 
     1.138     60.25       6.         0.2541     0.0153           A125300200243 
     1.138     90.         6.         0.1142     0.0045           A125300200244 
     1.139     48.9        6.         0.4961     0.0308           A125300200245 
     1.14      38.75       6.         1.065      0.0124           A125300200246 
     1.14      60.25       6.         0.2541     0.0153           A125300200247 
     1.142     48.9        6.         0.5498     0.0231           A125300200248 
     1.145     38.75       6.         1.064      0.0124           A125300200249 
     1.145     48.9        6.         0.5034     0.0309           A125300200250 
     1.146     60.25       6.         0.2572     0.0123           A125300200251 
     1.147     48.9        6.         0.5341     0.0065           A125300200252 
     1.149     90.         6.         0.1187     0.0076           A125300200253 
     1.15      48.9        6.         0.4877     0.0231           A125300200254 
     1.15      60.25       6.         0.2511     0.0014           A125300200255 
     1.151    125.        10.         0.137      0.003            A125300200256 
     1.152     38.75       6.         1.078      0.0124           A125300200257 
     1.152     90.         6.         0.1172     0.0045           A125300200258 
     1.155     60.25       6.         0.2664     0.0123           A125300200259 
     1.158     38.75       6.         1.048      0.0124           A125300200260 
     1.159     48.9        6.         0.4871     0.0065           A125300200261 
     1.16      38.75       6.         0.9743     0.0443           A125300200262 
     1.16      60.25       6.         0.2419     0.0153           A125300200263 
     1.162     48.9        6.         0.5023     0.0065           A125300200264 
     1.163     48.9        6.         0.4791     0.0065           A125300200265 
     1.163     60.25       6.         0.2481     0.0123           A125300200266 
     1.166     90.         6.         0.1248     0.0076           A125300200267 
     1.167     60.25       6.         0.2511     0.0014           A125300200268 
     1.168     38.75       6.         0.9586     0.0441           A125300200269 
     1.168    125.        10.         0.1307     0.003            A125300200270 
     1.17      48.9        6.         0.4864     0.0308           A125300200271 
     1.171     48.9        6.         0.494      0.0065           A125300200272 
     1.174     38.75       6.         0.9137     0.1026           A125300200273 
     1.174     48.9        6.         0.4553     0.0065           A125300200274 
     1.174     60.25       6.         0.245      0.0123           A125300200275 
