ENTRY            A0301   19870425                             0000A030100000001 
SUBENT        A0301001   19870425                             0000A030100100001 
BIB                  9         17                                 A030100100002 
INSTITUTE  (4CCPFEI)                                              A030100100003 
REFERENCE  (C,83KIEV,3,283,84)                                    A030100100004 
AUTHOR     (N.S.BIRYUKOV, B.V.ZHURAVLEV, A.P.RUDENKO,             A030100100005 
           O.A.SALNIKOV, V.I.TRYKOVA)                             A030100100006 
TITLE      NEUTRONS FROM (D,N) REACTION ON 115IN.                 A030100100007 
FACILITY   (CYCLO,4CCPFEI)                                        A030100100008 
METHOD     (TOF,BCINT,SITA)                                       A030100100009 
PART-DET   (N)                                                    A030100100010 
ERR-ANALYS (EN-ERR).ANY ADDITIONAL INFORMATION IS ABSENT.         A030100100011 
           (DATA-ERR).TOTAL UNCERTAINTY.                          A030100100012 
HISTORY    (860215C).BY AUTHORS.                                  A030100100013 
           (860517T).BY CAJAD.                                    A030100100014 
           (860620L).                                             A030100100015 
           (860915U)                                              A030100100016 
           (870422A). ACCORDING TO MEMO CP-D/161.                 A030100100017 
           (860915U)                                              A030100100018 
           (870425U)                                              A030100100019 
ENDBIB              17          0                                 A030100100020 
COMMON               2          3                                 A030100100021 
EN         EN-ERR                                                 A030100100022 
MEV        MEV                                                    A030100100023 
    22.3        0.3                                               A030100100024 
ENDCOMMON            3          0                                 A030100100025 
ENDSUBENT           24          0                                 A030100199999 
SUBENT        A0301002   19870425                             0000A030100200001 
BIB                  2          2                                 A030100200002 
REACTION   (49-IN-115(D,X)0-NN-1,,DA/DE,,,EXP)                    A030100200003 
SAMPLE     IN-115(99.98 PERCENT).THICKNESS OF FOIL=4.00E-3G/CM**2 A030100200004 
ENDBIB               2          0                                 A030100200005 
NOCOMMON             0          0                                 A030100200006 
DATA                 4        343                                 A030100200007 
E          ANG        DATA       DATA-ERR                         A030100200008 
MEV        ADEG       MB/SR/MEV  MB/SR/MEV                        A030100200009 
    9.85      30.        13.52       0.73                         A030100200230 
    9.85      60.         3.69       0.22                         A030100200231 
    9.85      90.         1.84       0.12                         A030100200232 
    9.85     120.         0.98       0.08                         A030100200233 
    9.85     150.         1.22       0.12                         A030100200234 
   10.10      30.        12.35       0.76                         A030100200235 
   10.10      60.         3.48       0.23                         A030100200236 
   10.10      90.         1.63       0.12                         A030100200237 
   10.10     120.         0.75       0.06                         A030100200238 
   10.10     150.         1.09       0.12                         A030100200239 
   10.36      30.        11.12       0.79                         A030100200240 
   10.36      60.         3.25       0.24                         A030100200241 
   10.36      90.         1.51       0.12                         A030100200242 
   10.36     120.         0.82       0.08                         A030100200243 
   10.36     150.         1.14       0.13                         A030100200244 
   10.63      30.        10.80       0.92                         A030100200245 
   10.63      60.         2.73       0.24                         A030100200246 
   10.63      90.         1.43       0.13                         A030100200247 
   10.63     120.         0.48       0.06                         A030100200248 
   10.63     150.         0.97       0.16                         A030100200249 
   10.92      30.         9.89       1.04                         A030100200250 
   10.92      60.         2.67       0.29                         A030100200251 
   10.92      90.         1.40       0.16                         A030100200252 
   10.92     120.         0.34       0.04                         A030100200253 
   10.92     150.         0.65       0.09                         A030100200254 
   11.21      30.         8.94       1.25                         A030100200255 
   11.21      60.         2.41       0.34                         A030100200256 
   11.21      90.         1.33       0.19                         A030100200257 
   11.21     120.         0.65       0.21                         A030100200258 
   11.21     150.         0.61       0.11                         A030100200259 
   11.52      30.         7.67       1.37                         A030100200260 
   11.52      60.         1.99       0.36                         A030100200261 
   11.52      90.         1.22       0.22                         A030100200262 
   11.52     120.         0.55       0.10                         A030100200263 
   11.52     150.         0.60       0.12                         A030100200264 
   11.84      30.         7.38       1.60                         A030100200265 
   11.84      60.         1.93       0.42                         A030100200266 
   11.84      90.         1.00       0.22                         A030100200267 
   11.84     120.         0.44       0.11                         A030100200268 
   11.84     150.         0.57       0.15                         A030100200269 
