ENTRY            A1486   19990324                             0000A148600000001 
SUBENT        A1486001   19990324                             0000A148600100001 
BIB                 12         24                                 A148600100002 
INSTITUTE  (1USARIC)                                              A148600100003 
REFERENCE  (J,NP,67,(3),517,196506)                               A148600100004 
AUTHOR     (P.D.FORSYTH,R.R.PERRY)                                A148600100005 
TITLE      The 7Li(HE3,ALPHA)6Li Reaction Between 1.3 and 5.5 MeV A148600100006 
FACILITY   (VDG)                                                  A148600100007 
SAMPLE     Metallic 7Li (99.99% PURITY) onto thin carbon foils    A148600100008 
           The various targets had thicknesses ranging between    A148600100009 
           30 and 60 mu-g/cm2 of lithium.                         A148600100010 
METHOD     (PHD)                                                  A148600100011 
DETECTOR   (SOLST)                                                A148600100012 
           A Fixed monitor counter at 90 degr. was used to check  A148600100013 
           target deterioration.                                  A148600100014 
MONITOR    (3-LI-7(P,EL)3-LI-7,,DA)                               A148600100015 
           For Li-7(HE3,A0)Li-6 Cross Sect. = 1.47+-0.2 Mb/Sr.    A148600100016 
MONIT-REF  (A1401001,WARTERS+,J,PR,91,917,1953) For Li-7          A148600100017 
           (,WEBB,J,PR,99,138,1955)   For F-19                    A148600100018 
ERR-ANALYS (DATA-ERR2) The relative error in the cross section forA148600100019 
           the alpha0 and alpha1 groups did not depend on the     A148600100020 
           normalizations.                                        A148600100021 
           (ERR-T) Absolute error on the cross section scale      A148600100022 
HISTORY    (19800829C) Compilation produced by RFNC-VNIIEF Sarov  A148600100023 
           (19970920A) Err-Analys is corrected by CAJAD.          A148600100024 
           (19970923U) Last checking has been done.               A148600100025 
           (19990321U)CNPD: corrected 4-dig. year and lower cases.A148600100026 
ENDBIB              24          0                                 A148600100027 
COMMON               4          3                                 A148600100028 
EN-NRM     ANG-NRM    DATA-ERR2  ERR-T                            A148600100029 
MEV        ADEG       PER-CENT   PER-CENT                         A148600100030 
  2.98       90.         10.        15.                           A148600100031 
ENDCOMMON            3          0                                 A148600100032 
ENDSUBENT           31          0                                 A148600199999 
SUBENT        A1486002   19990324                             0000A148600200001 
BIB                  4          8                                 A148600200002 
REACTION   (3-LI-7(HE3,A)3-LI-6,PAR,DA,,,EXP)                     A148600200003 
ERR-ANALYS (EN-ERR) Digitizing error                              A148600200004 
           (DATA-ERR) Digitizing error                            A148600200005 
           (DATA-ERR1) From graphic bars. The error bars indicate A148600200006 
           the relative errors associated with the cross section  A148600200007 
FLAG       (1.) 1961 data                                         A148600200008 
           (2.) 1963 data                                         A148600200009 
STATUS     (CURVE) Fig 1,2                                        A148600200010 
ENDBIB               8          0                                 A148600200011 
COMMON               2          3                                 A148600200012 
EN-ERR     DATA-ERR                                               A148600200013 
MEV        MB/SR                                                  A148600200014 
      0.007      0.005                                            A148600200015 
ENDCOMMON            3          0                                 A148600200016 
DATA                 6        275                                 A148600200017 
EN         E-LVL      ANG        DATA       DATA-ERR1  FLAG       A148600200018 
     2.14       2.18     108.8        0.4604     0.0331           A148600300090 
     2.14       2.18     118.1        0.4045     0.0256           A148600300091 
     2.14       2.18     127.3        0.3926     0.0294           A148600300092 
     2.14       2.18     136.4        0.4321     0.0294           A148600300093 
     2.14       2.18     145.1        0.4311     0.0294           A148600300094 
     2.14       2.18     153.3        0.4336     0.033            A148600300095 
     2.14       2.18     161.5        0.4067     0.0331           A148600300096 
     2.5        0.        16.38       0.6949     0.0255           A148600300097 
     2.5        0.        22.03       0.7404     0.0329           A148600300098 
     2.5        0.        28.08       0.8371     0.0291           A148600300099 
     2.5        0.        34.26       0.8682     0.0291           A148600300100 
     2.5        0.        39.91       0.9173     0.0329           A148600300101 
     2.5        0.        45.47       1.007      0.0256           A148600300102 
     2.5        0.        51.32       1.081      0.0329           A148600300103 
     2.5        0.        56.97       1.127      0.04             A148600300104 
     2.5        0.        62.69       1.264      0.0255           A148600300105 
     2.5        0.        67.52       1.345      0.0292           A148600300106 
     2.5        0.        73.41       1.271      0.0292           A148600300107 
     2.5        0.        78.22       1.235      0.0328           A148600300108 
     2.5        0.        89.01       1.213      0.0327           A148600300109 
     2.5        0.        98.97       1.227      0.0219           A148600300110 
     2.5        0.       108.5        1.179      0.0327           A148600300111 
     2.5        0.       118.5        1.175      0.0329           A148600300112 
     2.5        0.       127.6        1.152      0.0329           A148600300113 
     2.5        0.       136.5        1.191      0.0401           A148600300114 
     2.5        0.       145.3        1.161      0.0328           A148600300115 
     2.5        0.       153.9        1.211      0.0401           A148600300116 
     2.5        0.       158.5        1.176      0.0328           A148600300117 
     2.5        0.       166.8        1.036      0.0146           A148600300118 
     2.5        2.18      18.31       0.5561     0.0294           A148600300119 
     2.5        2.18      24.67       0.6319     0.0295           A148600300120 
     2.5        2.18      30.72       0.7666     0.0221           A148600300121 
     2.5        2.18      36.26       0.9122     0.0295           A148600300122 
     2.5        2.18      42.07       1.036      0.0257           A148600300123 
     2.5        2.18      47.75       1.056      0.0294           A148600300124 
     2.5        2.18      53.49       1.242      0.0184           A148600300125 
     2.5        2.18      58.79       1.174      0.0221           A148600300126 
     2.5        2.18      64.58       1.109      0.033            A148600300127 
     2.5        2.18      70.79       1.107      0.0258           A148600300128 
     2.5        2.18      75.98       1.12       0.0221           A148600300129 
     2.5        2.18      80.87       0.9776     0.0222           A148600300130 
     2.5        2.18      91.68       0.8702     0.0295           A148600300131 
     2.5        2.18     101.5        0.7588     0.0369           A148600300132 
     2.5        2.18     111.2        0.7175     0.0405           A148600300133 
     2.5        2.18     121.         0.6135     0.0333           A148600300134 
     2.5        2.18     130.3        0.5426     0.0294           A148600300135 
     2.5        2.18     138.5        0.5303     0.0295           A148600300136 
     2.5        2.18     147.2        0.5072     0.0332           A148600300137 
     2.5        2.18     155.6        0.543      0.0296           A148600300138 
     2.5        2.18     159.9        0.4926     0.0221           A148600300139 
     2.5        2.18     164.1        0.4866     0.0222           A148600300140 
     2.5        2.18     168.1        0.4657     0.0331           A148600300141 
     2.98       0.         9.059      0.4809     0.0219           A148600300142 
     2.98       0.        15.41       0.574      0.022            A148600300143 
     2.98       0.        20.83       0.6231     0.0255           A148600300144 
     2.98       0.        27.86       0.7639     0.0256           A148600300145 
     2.98       0.        32.52       0.8237     0.0255           A148600300146 
     2.98       0.        37.57       0.9494     0.0292           A148600300147 
     2.98       0.        44.32       1.112      0.0256           A148600300148 
     2.98       0.        50.38       1.234      0.0366           A148600300149 
     2.98       0.        55.62       1.404      0.0256           A148600300150 
     2.98       0.        57.96       1.339      0.0509           A148600300151 
     2.98       0.        61.48       1.489      0.0255           A148600300152 
     2.98       0.        67.31       1.601      0.0255           A148600300153 
     2.98       0.        69.1        1.572      0.0474           A148600300154 
     2.98       0.        72.46       1.496      0.0182           A148600300155 
     2.98       0.        77.97       1.651      0.0365           A148600300156 
     2.98       0.        80.05       1.597      0.0401           A148600300157 
     2.98       0.        83.06       1.584      0.0327           A148600300158 
     2.98       0.        88.6        1.552      0.0291           A148600300159 
     2.98       0.        90.56       1.582      0.0328           A148600300160 
     2.98       0.        93.56       1.579      0.0365           A148600300161 
     2.98       0.        98.51       1.439      0.0365           A148600300162 
     2.98       0.       100.3        1.589      0.0364           A148600300163 
     2.98       0.       103.8        1.407      0.033            A148600300164 
     2.98       0.       108.2        1.329      0.0292           A148600300165 
     2.98       0.       110.3        1.424      0.0401           A148600300166 
     2.98       0.       119.8        1.405      0.0402           A148600300167 
     2.98       0.       128.9        1.488      0.0365           A148600300168 
     2.98       0.       133.6        1.508      0.0473           A148600300169 
     2.98       0.       137.8        1.578      0.051            A148600300170 
     2.98       0.       147.         1.548      0.0547           A148600300171 
     2.98       0.       155.5        1.573      0.0475           A148600300172 
     2.98       0.       163.6        1.637      0.0694           A148600300173 
     2.98       2.18       7.94       0.7366     0.0365           A148600300174 
     2.98       2.18      14.28       0.921      0.0329           A148600300175 
     2.98       2.18      20.13       0.9776     0.0146           A148600300176 
     2.98       2.18      27.32       1.356      0.0328           A148600300177 
     2.98       2.18      31.79       1.357      0.0291           A148600300178 
     2.98       2.18      36.69       1.512      0.0328           A148600300179 
     2.98       2.18      43.76       1.58       0.0366           A148600300180 
     2.98       2.18      48.91       1.61       0.0366           A148600300181 
     2.98       2.18      54.93       1.583      0.0401           A148600300182 
     2.98       2.18      60.51       1.399      0.0328           A148600300183 
     2.98       2.18      66.14       1.437      0.0328           A148600300184 
     2.98       2.18      68.86       1.317      0.051            A148600300185 
     2.98       2.18      71.85       1.314      0.0366           A148600300186 
     2.98       2.18      77.13       1.404      0.0366           A148600300187 
     2.98       2.18      79.93       1.244      0.0365           A148600300188 
     2.98       2.18      82.49       1.208      0.0255           A148600300189 
     2.98       2.18      88.05       1.159      0.0256           A148600300190 
     2.98       2.18      90.09       1.258      0.0255           A148600300191 
     2.98       2.18      93.3        1.138      0.0255           A148600300192 
     2.98       2.18      98.38       1.082      0.0254           A148600300193 
     2.98       2.18     100.1        1.104      0.022            A148600300194 
     2.98       2.18     102.9        0.9078     0.0255           A148600300195 
     2.98       2.18     108.3        0.9642     0.0219           A148600300196 
     2.98       2.18     110.1        1.078      0.0256           A148600300197 
     2.98       2.18     119.9        0.8801     0.0366           A148600300198 
     2.98       2.18     128.9        0.8281     0.0292           A148600300199 
     2.98       2.18     133.5        0.877      0.0328           A148600300200 
     2.98       2.18     137.9        0.7944     0.0364           A148600300201 
     2.98       2.18     146.         0.7457     0.0292           A148600300202 
     2.98       2.18     154.2        0.7519     0.0329           A148600300203 
     2.98       2.18     162.2        0.6959     0.0365           A148600300204 
     3.64       0.         8.563      1.029      0.0404           A148600300205 
     3.64       0.        14.73       1.071      0.0403           A148600300206 
     3.64       0.        20.72       1.073      0.0367           A148600300207 
     3.64       0.        22.37       1.125      0.0476           A148600300208 
     3.64       0.        27.63       1.115      0.0404           A148600300209 
     3.64       0.        32.27       1.176      0.0478           A148600300210 
     3.64       0.        34.46       1.209      0.0368           A148600300211 
     3.64       0.        37.06       1.287      0.0404           A148600300212 
     3.64       0.        46.83       1.408      0.0442           A148600300213 
     3.64       0.        49.9        1.505      0.0441           A148600300214 
     3.64       0.        58.18       1.625      0.033            A148600300215 
     3.64       0.        61.99       1.725      0.0442           A148600300216 
     3.64       0.        69.6        1.661      0.0514           A148600300217 
     3.64       0.        73.47       1.729      0.0404           A148600300218 
     3.64       0.        79.84       1.657      0.0367           A148600300219 
     3.64       0.        83.84       1.518      0.0514           A148600300220 
     3.64       0.        90.87       1.495      0.0404           A148600300221 
     3.64       0.        94.15       1.338      0.0367           A148600300222 
     3.64       0.       100.9        1.333      0.0439           A148600300223 
     3.64       0.       104.1        1.223      0.055            A148600300224 
     3.64       0.       110.7        1.303      0.0221           A148600300225 
     3.64       0.       120.5        1.419      0.0404           A148600300226 
     3.64       0.       129.5        1.514      0.044            A148600300227 
     3.64       0.       138.4        1.712      0.0478           A148600300228 
     3.64       0.       146.9        1.843      0.044            A148600300229 
     3.64       0.       155.         2.231      0.0735           A148600300230 
     3.64       0.       163.3        2.326      0.0808           A148600300231 
     3.64       2.18       7.791      0.6403     0.0336           A148600300232 
     3.64       2.18      14.17       0.8052     0.0261           A148600300233 
     3.64       2.18      20.15       0.9182     0.0222           A148600300234 
     3.64       2.18      22.69       1.015      0.0296           A148600300235 
     3.64       2.18      27.67       1.132      0.0335           A148600300236 
     3.64       2.18      31.47       1.218      0.037            A148600300237 
     3.64       2.18      34.43       1.23       0.1895           A148600300238 
     3.64       2.18      36.54       1.419      0.0407           A148600300239 
     3.64       2.18      46.15       1.456      0.0369           A148600300240 
     3.64       2.18      49.13       1.457      0.0369           A148600300241 
     3.64       2.18      57.99       1.37       0.0445           A148600300242 
     3.64       2.18      60.81       1.323      0.037            A148600300243 
     3.64       2.18      68.16       1.248      0.0369           A148600300244 
     3.64       2.18      73.14       1.49       0.0444           A148600300245 
     3.64       2.18      80.15       1.337      0.0407           A148600300246 
     3.64       2.18      83.48       1.412      0.0408           A148600300247 
     3.64       2.18      90.1        1.454      0.0518           A148600300248 
     3.64       2.18      93.44       1.274      0.0407           A148600300249 
     3.64       2.18     100.8        1.306      0.0444           A148600300250 
     3.64       2.18     103.5        1.203      0.0409           A148600300251 
     3.64       2.18     110.1        1.238      0.037            A148600300252 
     3.64       2.18     120.         1.134      0.0408           A148600300253 
     3.64       2.18     129.5        0.8889     0.0406           A148600300254 
     3.64       2.18     137.8        0.9507     0.0407           A148600300255 
     3.64       2.18     146.3        0.783      0.0628           A148600300256 
     3.64       2.18     154.1        0.7225     0.0591           A148600300257 
     3.64       2.18     162.1        0.6842     0.0518           A148600300258 
     4.36       0.        10.27       2.381      0.0183           A148600300259 
     4.36       0.        16.74       2.211      0.0183           A148600300260 
     4.36       0.        22.67       2.062      0.022            A148600300261 
     4.36       0.        26.83       1.935      0.0256           A148600300262 
     4.36       0.        29.88       1.9        0.0294           A148600300263 
     4.36       0.        34.85       1.722      0.0183           A148600300264 
     4.36       0.        35.91       1.678      0.0182           A148600300265 
     4.36       0.        39.64       1.69       0.0291           A148600300266 
     4.36       0.        45.51       1.593      0.022            A148600300267 
     4.36       0.        52.01       1.58       0.0183           A148600300268 
     4.36       0.        57.32       1.531      0.0184           A148600300269 
     4.36       0.        62.56       1.532      0.0184           A148600300270 
     4.36       0.        68.24       1.585      0.0218           A148600300271 
     4.36       0.        73.55       1.532      0.0256           A148600300272 
     4.36       0.        76.67       1.434      0.022            A148600300273 
     4.36       0.        78.98       1.387      0.0183           A148600300274 
     4.36       0.        84.15       1.249      0.022            A148600300275 
     4.36       0.        93.35       1.087      0.0256           A148600300276 
     4.36       0.       103.5        0.9586     0.022            A148600300277 
     4.36       0.       106.6        0.9083     0.0256           A148600300278 
     4.36       0.       108.5        0.9601     0.022            A148600300279 
     4.36       0.       113.2        0.9652     0.022            A148600300280 
     4.36       0.       117.6        1.062      0.0256           A148600300281 
     4.36       0.       122.2        1.144      0.022            A148600300282 
     4.36       0.       126.3        1.259      0.0256           A148600300283 
     4.36       0.       131.1        1.403      0.0184           A148600300284 
     4.36       0.       138.9        1.768      0.0292           A148600300285 
     4.36       0.       147.2        2.151      0.0329           A148600300286 
     4.36       0.       153.5        2.432      0.0404           A148600300287 
     4.36       0.       161.5        2.665      0.0365           A148600300288 
     4.36       0.       169.3        2.986      0.0256           A148600300289 
     4.36       2.18       4.753      0.8635     0.0257           A148600300290 
     4.36       2.18      11.27       1.038      0.0331           A148600300291 
     4.36       2.18      16.89       1.176      0.0221           A148600300292 
     4.36       2.18      20.93       1.148      0.0257           A148600300293 
     4.36       2.18      23.83       1.48       0.0331           A148600300294 
     4.36       2.18      28.59       1.562      0.0257           A148600300295 
     4.36       2.18      29.73       1.706      0.0293           A148600300296 
     4.36       2.18      33.36       1.541      0.0403           A148600300297 
     4.36       2.18      40.47       1.679      0.0294           A148600300298 
     4.36       2.18      47.05       1.531      0.0258           A148600300299 
     4.36       2.18      50.98       1.447      0.0257           A148600300300 
     4.36       2.18      56.76       1.321      0.022            A148600300301 
     4.36       2.18      62.32       1.381      0.0294           A148600300302 
     4.36       2.18      67.85       1.25       0.0256           A148600300303 
     4.36       2.18      71.45       1.402      0.033            A148600300304 
     4.36       2.18      73.46       1.293      0.0331           A148600300305 
     4.36       2.18      78.92       1.393      0.0295           A148600300306 
     4.36       2.18      88.97       1.246      0.0258           A148600300307 
     4.36       2.18      98.97       1.12       0.022            A148600300308 
     4.36       2.18     102.         1.088      0.0295           A148600300309 
     4.36       2.18     104.         1.085      0.0221           A148600300310 
     4.36       2.18     108.8        0.8733     0.0332           A148600300311 
     4.36       2.18     112.9        0.9995     0.0258           A148600300312 
     4.36       2.18     117.6        0.909      0.033            A148600300313 
     4.36       2.18     121.7        0.8625     0.0293           A148600300314 
     4.36       2.18     126.5        0.7427     0.0295           A148600300315 
     4.36       2.18     134.6        0.6716     0.0332           A148600300316 
     5.13       0.         9.045      1.943      0.0368           A148600300317 
     5.13       0.        15.39       1.871      0.0441           A148600300318 
     5.13       0.        21.24       1.636      0.037            A148600300319 
     5.13       0.        28.92       1.51       0.0443           A148600300320 
     5.13       0.        33.84       1.393      0.0406           A148600300321 
     5.13       0.        38.66       1.343      0.037            A148600300322 
     5.13       0.        42.47       1.3        0.0369           A148600300323 
     5.13       0.        48.41       1.331      0.037            A148600300324 
     5.13       0.        60.55       1.062      0.0294           A148600300325 
     5.13       0.        71.68       0.9693     0.0404           A148600300326 
     5.13       0.        76.53       0.897      0.0405           A148600300327 
     5.13       0.        82.61       0.6737     0.0333           A148600300328 
     5.13       0.        93.18       0.6179     0.033            A148600300329 
     5.13       0.        98.65       0.6307     0.0369           A148600300330 
     5.13       0.       103.2        0.5768     0.0331           A148600300331 
     5.13       0.       106.4        0.6368     0.0332           A148600300332 
     5.13       0.       108.1        0.6705     0.0331           A148600300333 
     5.13       0.       113.4        0.6205     0.0331           A148600300334 
     5.13       0.       122.9        0.771      0.0332           A148600300335 
     5.13       0.       131.7        1.051      0.0406           A148600300336 
     5.13       0.       140.3        1.348      0.0406           A148600300337 
     5.13       0.       148.9        1.749      0.0664           A148600300338 
     5.13       0.       156.5        2.516      0.0811           A148600300339 
     5.13       0.       164.1        2.935      0.1292           A148600300340 
     5.13       2.18       9.413      0.9417     0.0443           A148600300341 
     5.13       2.18      16.03       0.833      0.0406           A148600300342 
     5.13       2.18      22.43       0.8682     0.0443           A148600300343 
     5.13       2.18      30.01       1.114      0.0479           A148600300344 
     5.13       2.18      34.16       1.163      0.0443           A148600300345 
     5.13       2.18      39.21       1.442      0.0479           A148600300346 
     5.13       2.18      43.01       1.391      0.0369           A148600300347 
     5.13       2.18      48.68       1.419      0.0368           A148600300348 
     5.13       2.18      60.75       1.319      0.0442           A148600300349 
     5.13       2.18      72.87       1.183      0.0333           A148600300350 
     5.13       2.18      77.44       1.114      0.0406           A148600300351 
     5.13       2.18      83.88       0.9535     0.0441           A148600300352 
     5.13       2.18      94.49       0.8313     0.0332           A148600300353 
     5.13       2.18      99.69       0.844      0.0442           A148600300354 
     5.13       2.18     105.1        0.912      0.0333           A148600300355 
     5.13       2.18     107.5        0.7984     0.0406           A148600300356 
     5.13       2.18     109.2        0.8063     0.0406           A148600300357 
     5.13       2.18     114.3        0.8669     0.0333           A148600300358 
     5.13       2.18     123.1        0.7995     0.0368           A148600300359 
ENDDATA            344          0                                 A148600300360 
ENDSUBENT          359          0                                 A148600399999 
SUBENT        A1486004   19990324                             0000A148600400001 
BIB                  4          7                                 A148600400002 
REACTION   (3-LI-7(HE3,A)3-LI-6,PAR,SIG,,,EXP)                    A148600400003 
ANALYSIS   (INTAD)                                                A148600400004 
ERR-ANALYS (EN-ERR) Digitizing error                              A148600400005 
           (DATA-ERR) Digitizing error                            A148600400006 
           (DATA-ERR1) From graphic bars. The error bars indicate A148600400007 
           the relative errors associated with the cross section  A148600400008 
STATUS     (CURVE) Fig 4                                          A148600400009 
ENDBIB               7          0                                 A148600400010 
COMMON               2          3                                 A148600400011 
EN-ERR     DATA-ERR                                               A148600400012 
MEV        MB                                                     A148600400013 
      0.007      0.035                                            A148600400014 
ENDCOMMON            3          0                                 A148600400015 
DATA                 4         14                                 A148600400016 
EN         E-LVL      DATA       DATA-ERR1                        A148600400017 
MEV        MEV        MB         MB                               A148600400018 
     1.814      0.         6.706      0.7274                      A148600400019 
     1.817      2.18       4.937      0.7617                      A148600400020 
     2.137      0.         9.893      0.9699                      A148600400021 
     2.141      2.18       7.119      0.9001                      A148600400022 
     2.497      2.18      10.3        1.004                       A148600400023 
     2.506      0.        14.33       0.9353                      A148600400024 
     2.986      0.        17.44       0.5196                      A148600400025 
     2.988      2.18      14.36       0.6578                      A148600400026 
     3.635      2.18      15.05       1.835                       A148600400027 
     3.639      0.        19.14       1.697                       A148600400028 
     4.349      0.        18.93       1.628                       A148600400029 
     4.353      2.18      14.53       1.523                       A148600400030 
     5.128      2.18      12.53       1.8                         A148600400031 
     5.129      0.        14.05       1.697                       A148600400032 
ENDDATA             16          0                                 A148600400033 
ENDSUBENT           32          0                                 A148600499999 
SUBENT        A1486005   19990324                             0000A148600500001 
BIB                  3          6                                 A148600500002 
REACTION   (3-LI-7(HE3,A)3-LI-6,PAR,DA,,,EXP)                     A148600500003 
ERR-ANALYS (EN-ERR) Digitizing error                              A148600500004 
           (DATA-ERR) Digitizing error                            A148600500005 
           (DATA-ERR1) From graphic bars. The error bars indicate A148600500006 
           the relative errors associated with the cross section  A148600500007 
STATUS     (CURVE) Fig 5                                          A148600500008 
ENDBIB               6          0                                 A148600500009 
COMMON               4          3                                 A148600500010 
EN-ERR     ANG        E-LVL      DATA-ERR                         A148600500011 
MEV        ADEG       MEV        MB/SR                            A148600500012 
      0.005        90.       3.56     0.0013                      A148600500013 
ENDCOMMON            3          0                                 A148600500014 
DATA                 3         47                                 A148600500015 
EN         DATA       DATA-ERR1                                   A148600500016 
MEV        MB/SR      MB/SR                                       A148600500017 
     1.273      0.2663     0.0159                                 A148600500018 
     1.365      0.3418     0.0172                                 A148600500019 
     1.475      0.3868     0.0185                                 A148600500020 
     1.586      0.4092     0.0185                                 A148600500021 
     1.697      0.4039     0.0199                                 A148600500022 
     1.811      0.4648     0.0238                                 A148600500023 
     2.         0.5217     0.0278                                 A148600500024 
     2.073      0.409      0.0225                                 A148600500025 
     2.139      0.4355     0.0318                                 A148600500026 
     2.206      0.4183     0.0225                                 A148600500027 
     2.28       0.4513     0.0225                                 A148600500028 
     2.395      0.4738     0.0238                                 A148600500029 
     2.458      0.4341     0.0185                                 A148600500030 
     2.533      0.4195     0.0278                                 A148600500031 
     2.59       0.4473     0.0265                                 A148600500032 
     2.661      0.4499     0.0185                                 A148600500033 
     2.744      0.5253     0.0225                                 A148600500034 
     2.806      0.5147     0.0252                                 A148600500035 
     2.89       0.5399     0.0185                                 A148600500036 
     2.964      0.6484     0.0225                                 A148600500037 
     3.014      0.5637     0.0199                                 A148600500038 
     3.111      0.5967     0.0185                                 A148600500039 
     3.176      0.6629     0.0291                                 A148600500040 
     3.247      0.6444     0.0238                                 A148600500041 
     3.301      0.6006     0.0384                                 A148600500042 
     3.328      0.5993     0.0384                                 A148600500043 
     3.407      0.6337     0.0344                                 A148600500044 
     3.47       0.586      0.0331                                 A148600500045 
     3.559      0.5449     0.0331                                 A148600500046 
     3.631      0.4508     0.0371                                 A148600500047 
     3.716      0.3859     0.0278                                 A148600500048 
     3.796      0.3594     0.0291                                 A148600500049 
     3.871      0.3408     0.0278                                 A148600500050 
     3.939      0.256      0.0199                                 A148600500051 
     3.991      0.2864     0.0265                                 A148600500052 
     4.027      0.2692     0.0305                                 A148600500053 
     4.111      0.2745     0.0238                                 A148600500054 
     4.182      0.2612     0.0252                                 A148600500055 
     4.267      0.2333     0.0225                                 A148600500056 
     4.351      0.1922     0.0185                                 A148600500057 
     4.373      0.2346     0.0238                                 A148600500058 
     4.432      0.1101     0.0146                                 A148600500059 
     4.511      0.1922     0.0238                                 A148600500060 
     4.582      0.1365     0.0159                                 A148600500061 
     4.662      0.1603     0.0185                                 A148600500062 
     4.75       0.151      0.0238                                 A148600500063 
     4.945      0.143      0.0238                                 A148600500064 
ENDDATA             49          0                                 A148600500065 
ENDSUBENT           64          0                                 A148600599999 
SUBENT        A1486006   19990324                             0000A148600600001 
BIB                  3          6                                 A148600600002 
REACTION   (3-LI-7(HE3,A)3-LI-6,PAR,DA,,,EXP)                     A148600600003 
ERR-ANALYS (ANG-ERR) Digitizing error                             A148600600004 
           (DATA-ERR) Digitizing error                            A148600600005 
           (DATA-ERR1) From graphic bars. The error bars indicate A148600600006 
           the relative errors associated with the cross section  A148600600007 
STATUS     (CURVE) Fig 6                                          A148600600008 
ENDBIB               6          0                                 A148600600009 
COMMON               3          3                                 A148600600010 
E-LVL      ANG-ERR    DATA-ERR                                    A148600600011 
MEV        ADEG       MB/SR                                       A148600600012 
       3.56        0.3      0.002                                 A148600600013 
ENDCOMMON            3          0                                 A148600600014 
DATA                 4         51                                 A148600600015 
EN         ANG-CM     DATA-CM    DATA-ERR1                        A148600600016 
MEV        ADEG       MB/SR      MB/SR                            A148600600017 
     1.81      23.57       0.074      0.073                       A148600600018 
     1.81      35.63       0.0731     0.073                       A148600600019 
     1.81      46.52       0.0678     0.0795                      A148600600020 
     1.81      58.29       0.3439     0.0794                      A148600600021 
     1.81      69.42       0.3837     0.0752                      A148600600022 
     1.81      80.51       0.4707     0.0751                      A148600600023 
     1.81      90.71       0.5641     0.073                       A148600600024 
     1.81     101.3        0.591      0.0752                      A148600600025 
     1.81     110.5        0.4888     0.0751                      A148600600026 
     1.81     120.8        0.462      0.0752                      A148600600027 
     1.81     129.5        0.3469     0.0773                      A148600600028 
     1.81     138.3        0.3113     0.0773                      A148600600029 
     1.81     146.9        0.2564     0.0752                      A148600600030 
     1.81     155.6        0.1757     0.0687                      A148600600031 
     1.81     163.2        0.1829     0.073                       A148600600032 
     2.5       18.12       0.021      0.0215                      A148600600033 
     2.5       24.3        0.0217     0.0215                      A148600600034 
     2.5       30.18       0.0223     0.0215                      A148600600035 
     2.5       36.57       0.079      0.0215                      A148600600036 
     2.5       42.16       0.0797     0.0216                      A148600600037 
     2.5       47.78       0.0652     0.0172                      A148600600038 
     2.5       53.64       0.0788     0.0237                      A148600600039 
     2.5       59.5        0.0967     0.0258                      A148600600040 
     2.5       65.07       0.1102     0.0258                      A148600600041 
     2.5       71.41       0.2014     0.0345                      A148600600042 
     2.5       76.42       0.1955     0.0302                      A148600600043 
     2.5       81.88       0.2801     0.0323                      A148600600044 
     2.5       92.09       0.3416     0.0431                      A148600600045 
     2.5      102.5        0.472      0.056                       A148600600046 
     2.5      112.7        0.5119     0.0538                      A148600600047 
     2.5      122.         0.4418     0.0431                      A148600600048 
     2.5      131.1        0.4278     0.0388                      A148600600049 
     2.5      139.9        0.4374     0.0388                      A148600600050 
     2.5      148.1        0.2853     0.0387                      A148600600051 
     2.5      156.2        0.2886     0.0389                      A148600600052 
     2.5      160.2        0.2824     0.041                       A148600600053 
     4.36      26.03       0.749      0.0388                      A148600600054 
     4.36      36.93       0.7417     0.0409                      A148600600055 
     4.36      46.71       0.8225     0.0366                      A148600600056 
     4.36      52.65       0.694      0.0388                      A148600600057 
     4.36      58.92       0.5526     0.0538                      A148600600058 
     4.36      63.62       0.4498     0.0453                      A148600600059 
     4.36      69.56       0.3214     0.0302                      A148600600060 
     4.36      74.         0.309      0.028                       A148600600061 
     4.36      80.18       0.3075     0.028                       A148600600062 
     4.36      84.89       0.1983     0.0237                      A148600600063 
     4.36     105.         0.2695     0.0301                      A148600600064 
     4.36     110.1        0.2227     0.0323                      A148600600065 
     4.36     147.6        0.4058     0.0516                      A148600600066 
     4.36     155.         0.5983     0.0624                      A148600600067 
     4.36     161.6        0.7734     0.0732                      A148600600068 
ENDDATA             53          0                                 A148600600069 
ENDSUBENT           68          0                                 A148600699999 
SUBENT        A1486007   19990324                             0000A148600700001 
BIB                  3          3                                 A148600700002 
REACTION   (3-LI-7(HE3,A)3-LI-6,PAR,SIG,,,EXP)                    A148600700003 
ERR-ANALYS (DATA-ERR3) Absolute error                             A148600700004 
STATUS     (TABLE) From Text P.525                                A148600700005 
ENDBIB               3          0                                 A148600700006 
COMMON               1          3                                 A148600700007 
E-LVL                                                             A148600700008 
MEV                                                               A148600700009 
       3.56                                                       A148600700010 
ENDCOMMON            3          0                                 A148600700011 
DATA                 3          2                                 A148600700012 
EN         DATA       DATA-ERR3                                   A148600700013 
MEV        MB         MB                                          A148600700014 
     1.81       5.5        1.5                                    A148600700015 
     2.5        3.6        1.                                     A148600700016 
ENDDATA              4          0                                 A148600700017 
ENDSUBENT           16          0                                 A148600799999 
ENDENTRY             7          0                                 A148699999999 
