ENTRY            A0490   20030602                             0000A049000000001 
SUBENT        A0490001   20030602                             0000A049000100001 
BIB                 11         36                                 A049000100002 
TITLE      Measurement and analysis of neutron spectra from thick A049000100003 
           targets of Al and Ti bombarded by 30-50 MeV            A049000100004 
           alpha-particles                                        A049000100005 
AUTHOR     (D.Dhar, S.N.Roy, T.Bandyopadhyay, P.K.Sarkar)         A049000100006 
REFERENCE  (J,PR/C,67,024607,2003)                                A049000100007 
INSTITUTE  (3INDIND) Department of physics, Visva-Bharati         A049000100008 
           university                                             A049000100009 
           (3INDVEC)                                              A049000100010 
METHOD     (SITA) The targets, 25 mm in diameter have been fixed  A049000100011 
           perpendicular to the beam axis.  The thickness of the  A049000100012 
           targets are such that the incident alphas are          A049000100013 
           completely stopped in the target while the scattering  A049000100014 
           and absorption of neutrons produced in the target are  A049000100015 
           negligible.                                            A049000100016 
           (EXTB) The beam energy resolution is about 200 KeV for A049000100017 
           30-50 MeV incident alphas.                             A049000100018 
DETECTOR   (SCIN) The neutrons are measured with a 52.4 mm        A049000100019 
           diameter X 2.4 mm NE-213 liquid scintillator kept at a A049000100020 
           distance of 1.4 m from the target.  The detector angle A049000100021 
           of acceptance is 2.14 degree and energy resolution is  A049000100022 
           about 20%.                                             A049000100023 
HISTORY    (20030527C)                                            A049000100024 
           (20030602U) Last checking has been done.               A049000100025 
ERR-ANALYS (ERR-T) The total error associated with unfolded       A049000100026 
           spectra consists of                                    A049000100027 
           1.  The statistical error associated with the          A049000100028 
           measurement,                                           A049000100029 
           2.  The error arising from discretization of the       A049000100030 
           continuous spectra and of the response function,       A049000100031 
           3.  The statistical error inherent in the MONTE CARLO  A049000100032 
           calculation.                                           A049000100033 
           (E-ERR) Data point reader uncertainty.                 A049000100034 
EN-SEC     (E,N)                                                  A049000100035 
ADD-RES    (COMP) with PEGAQ, PRECO-D2, ALICE91                   A049000100036 
STATUS     (UNOBT)                                                A049000100037 
           (CURVE) By CAJAD                                       A049000100038 
ENDBIB              36          0                                 A049000100039 
NOCOMMON             0          0                                 A049000100040 
ENDSUBENT           39          0                                 A049000199999 
SUBENT        A0490002   20030602                             0000A049000200001 
BIB                  3          8                                 A049000200002 
REACTION   (13-AL-27(A,X)0-NN-1,,PY/DA/DE,,TT)                    A049000200003 
SAMPLE     Aluminum target thickness = 3.5 +/- 0.05 mm.           A049000200004 
ERR-ANALYS (DATA-ERR1) Data point reader uncertainty for 0 degree A049000200005 
           at 30 and 40 MeV and 30 and 45 degrees at 50 MeV.      A049000200006 
           (DATA-ERR2) Data point reader uncertainty for 30 and 45A049000200007 
           degrees at 30 MeV and for 0 degree for 50 MeV.         A049000200008 
           (DATA-ERR3) Data point reader uncertainty for 30 and 45A049000200009 
           degrees at 40 MeV.                                     A049000200010 
ENDBIB               8          0                                 A049000200011 
COMMON               3          3                                 A049000200012 
DATA-ERR1  DATA-ERR2  DATA-ERR3                                   A049000200013 
PER-CENT   PER-CENT   PER-CENT                                    A049000200014 
         7.         6.         5.                                 A049000200015 
ENDCOMMON            3          0                                 A049000200016 
DATA                 6        243                                 A049000200017 
EN         ANG        E          E-ERR      DATA       ERR-T      A049000200018 
MEV        ADEG       MEV        MEV        P/IN/MEVSR PER-CENT   A049000200019 
        40.         0.  1.476E+01    1.4E-01   4.11E-07           A049000300078 
        40.         0.  1.581E+01    1.4E-01   3.23E-07           A049000300079 
        40.         0.  1.686E+01    1.4E-01   2.21E-07           A049000300080 
        40.         0.  1.792E+01    1.4E-01   2.09E-07           A049000300081 
        40.         0.  1.897E+01    1.4E-01   1.57E-07           A049000300082 
        40.         0.  1.982E+01    1.4E-01     1.E-07        30.A049000300083 
        40.         0.  2.088E+01    1.4E-01    8.1E-08        30.A049000300084 
        40.         0.  2.174E+01    1.4E-01    7.3E-08        26.A049000300085 
        40.         0.   2.29E+01    1.4E-01    7.9E-08        24.A049000300086 
        40.         0.  2.386E+01    1.4E-01    5.9E-08        30.A049000300087 
        40.         0.  2.491E+01    1.4E-01    4.4E-08        40.A049000300088 
        40.         0.  2.577E+01    1.4E-01    3.3E-08        40.A049000300089 
        40.         0.  2.692E+01    1.4E-01    2.5E-08        40.A049000300090 
        40.         0.  2.788E+01    1.4E-01    2.3E-08        40.A049000300091 
        40.         0.  2.893E+01    1.4E-01    1.9E-08        30.A049000300092 
        40.         0.  2.969E+01    1.4E-01    1.4E-08        40.A049000300093 
        40.        30.       1.97    1.4E-01    1.9E-05           A049000300094 
        40.        30.       3.03    1.4E-01   1.61E-05           A049000300095 
        40.        30.       4.08    1.4E-01   1.18E-05           A049000300096 
        40.        30.       5.04    1.4E-01     1.E-05           A049000300097 
        40.        30.        5.9    1.4E-01    7.7E-06           A049000300098 
        40.        30.       7.03    1.4E-01   3.75E-06           A049000300099 
        40.        30.       8.16    1.4E-01   1.57E-06           A049000300100 
        40.        30.       8.82    1.4E-01    9.9E-07           A049000300101 
        40.        30.       9.88    1.4E-01    7.6E-07           A049000300102 
        40.        30.  1.093E+01    1.4E-01    5.8E-07           A049000300103 
        40.        30.  1.188E+01    1.4E-01     4.E-07           A049000300104 
        40.        30.  1.294E+01    1.4E-01   3.11E-07           A049000300105 
        40.        30.  1.399E+01    1.4E-01   2.15E-07           A049000300106 
        40.        30.  1.485E+01    1.4E-01   1.93E-07           A049000300107 
        40.        30.  1.581E+01    1.4E-01   1.64E-07           A049000300108 
        40.        30.  1.677E+01    1.4E-01    1.2E-07        14.A049000300109 
        40.        30.  1.783E+01    1.4E-01   1.12E-07        21.A049000300110 
        40.        30.  1.898E+01    1.4E-01    9.5E-08        18.A049000300111 
        40.        30.  1.993E+01    1.4E-01     7.E-08        26.A049000300112 
        40.        30.  2.089E+01    1.4E-01    5.6E-08        40.A049000300113 
        40.        30.  2.205E+01    1.4E-01    5.3E-08        30.A049000300114 
        40.        30.  2.311E+01    1.4E-01    6.1E-08        16.A049000300115 
        40.        30.  2.416E+01    1.4E-01    4.2E-08        17.A049000300116 
        40.        30.  2.503E+01    1.4E-01    3.8E-08        24.A049000300117 
        40.        30.  2.598E+01    1.4E-01    2.6E-08        23.A049000300118 
        40.        30.  2.704E+01    1.4E-01     2.E-08        40.A049000300119 
        40.        30.   2.79E+01    1.4E-01    1.7E-08        40.A049000300120 
        40.        30.  2.905E+01    1.4E-01    1.4E-08        29.A049000300121 
        40.        30.  3.001E+01    1.4E-01    1.2E-08        30.A049000300122 
        40.        45.       1.94    1.4E-01   1.17E-05           A049000300123 
        40.        45.       2.91    1.4E-01    1.5E-05           A049000300124 
        40.        45.       3.87    1.4E-01     9.E-06           A049000300125 
        40.        45.       5.13    1.4E-01   1.09E-05           A049000300126 
        40.        45.       5.99    1.4E-01    6.8E-06           A049000300127 
        40.        45.       6.94    1.4E-01   3.15E-06           A049000300128 
        40.        45.       7.89    1.4E-01   1.78E-06           A049000300129 
        40.        45.       9.05    1.4E-01    1.3E-06           A049000300130 
        40.        45.       9.72    1.4E-01   1.06E-06           A049000300131 
        40.        45.  1.087E+01    1.4E-01    7.3E-07           A049000300132 
        40.        45.  1.184E+01    1.4E-01    6.6E-07           A049000300133 
        40.        45.   1.29E+01    1.4E-01    5.3E-07           A049000300134 
        40.        45.  1.415E+01    1.4E-01   3.88E-07           A049000300135 
        40.        45.  1.491E+01    1.4E-01   2.57E-07           A049000300136 
        40.        45.  1.597E+01    1.4E-01   1.87E-07           A049000300137 
        40.        45.  1.703E+01    1.4E-01   1.52E-07           A049000300138 
        40.        45.  1.799E+01    1.4E-01   1.29E-07           A049000300139 
        40.        45.  1.896E+01    1.4E-01    1.1E-07           A049000300140 
        40.        45.  2.002E+01    1.4E-01    9.4E-08           A049000300141 
        40.        45.  2.088E+01    1.4E-01    7.2E-08           A049000300142 
        40.        45.  2.194E+01    1.4E-01    6.8E-08           A049000300143 
        40.        45.  2.301E+01    1.4E-01    6.8E-08           A049000300144 
        40.        45.  2.388E+01    1.4E-01    6.8E-08           A049000300145 
        40.        45.  2.504E+01    1.4E-01    6.4E-08           A049000300146 
        40.        45.    2.6E+01    1.4E-01    4.4E-08           A049000300147 
        40.        45.  2.705E+01    1.4E-01   3.07E-08           A049000300148 
        40.        45.  2.782E+01    1.4E-01   2.62E-08           A049000300149 
        40.        45.  2.908E+01    1.4E-01   2.47E-08           A049000300150 
        40.        45.  3.003E+01    1.4E-01   1.26E-08           A049000300151 
        50.         0.       1.42    1.8E-01    4.9E-04           A049000300152 
        50.         0.       3.36    1.8E-01   2.25E-04           A049000300153 
        50.         0.       5.69    1.8E-01    1.1E-04           A049000300154 
        50.         0.       6.86    1.8E-01    6.2E-05           A049000300155 
        50.         0.        7.5    1.8E-01   3.82E-05           A049000300156 
        50.         0.       8.41    1.8E-01   2.36E-05           A049000300157 
        50.         0.       9.19    1.8E-01   2.36E-05           A049000300158 
        50.         0.  1.074E+01    1.8E-01   2.04E-05           A049000300159 
        50.         0.  1.126E+01    1.8E-01   1.61E-05           A049000300160 
        50.         0.  1.281E+01    1.8E-01    1.2E-05           A049000300161 
        50.         0.  1.384E+01    1.8E-01    9.9E-06           A049000300162 
        50.         0.  1.449E+01    1.8E-01     9.E-06           A049000300163 
        50.         0.  1.552E+01    1.8E-01    7.4E-06           A049000300164 
        50.         0.  1.656E+01    1.8E-01    6.4E-06           A049000300165 
        50.         0.  1.734E+01    1.8E-01    6.1E-06           A049000300166 
        50.         0.  1.798E+01    1.8E-01    5.5E-06           A049000300167 
        50.         0.  1.876E+01    1.8E-01     5.E-06           A049000300168 
        50.         0.  1.979E+01    1.8E-01    4.6E-06           A049000300169 
        50.         0.  2.031E+01    1.8E-01    4.8E-06           A049000300170 
        50.         0.  2.186E+01    1.8E-01   4.13E-06           A049000300171 
        50.         0.  2.251E+01    1.8E-01   3.41E-06           A049000300172 
        50.         0.  2.342E+01    1.8E-01   2.55E-06           A049000300173 
        50.         0.  2.432E+01    1.8E-01   2.67E-06           A049000300174 
        50.         0.  2.574E+01    1.8E-01   2.42E-06           A049000300175 
        50.         0.  2.626E+01    1.8E-01    2.1E-06           A049000300176 
        50.         0.   2.73E+01    1.8E-01    1.9E-06           A049000300177 
        50.         0.  2.833E+01    1.8E-01   1.57E-06           A049000300178 
        50.         0.   2.95E+01    1.8E-01   1.29E-06           A049000300179 
        50.         0.   3.04E+01    1.8E-01    7.6E-07           A049000300180 
        50.         0.   3.17E+01    1.8E-01    5.5E-07           A049000300181 
        50.         0.  3.273E+01    1.8E-01    4.7E-07           A049000300182 
        50.         0.  3.389E+01    1.8E-01   4.07E-07           A049000300183 
        50.         0.  3.467E+01    1.8E-01   2.91E-07           A049000300184 
        50.        30.       1.55    1.8E-01   4.03E-04           A049000300185 
        50.        30.       4.79    1.8E-01     3.E-04           A049000300186 
        50.        30.       6.99    1.8E-01    6.2E-05           A049000300187 
        50.        30.       7.89    1.8E-01   3.87E-05           A049000300188 
        50.        30.        8.8    1.8E-01   3.19E-05           A049000300189 
        50.        30.        9.7    1.8E-01   2.17E-05           A049000300190 
        50.        30.    1.1E+01    1.8E-01   2.06E-05           A049000300191 
        50.        30.  1.177E+01    1.8E-01   1.62E-05           A049000300192 
        50.        30.  1.268E+01    1.8E-01   1.28E-05           A049000300193 
        50.        30.  1.384E+01    1.8E-01    9.6E-06           A049000300194 
        50.        30.  1.488E+01    1.8E-01    7.9E-06           A049000300195 
        50.        30.  1.591E+01    1.8E-01    6.2E-06           A049000300196 
        50.        30.  1.682E+01    1.8E-01    4.6E-06           A049000300197 
        50.        30.  1.785E+01    1.8E-01   3.83E-06           A049000300198 
        50.        30.  1.902E+01    1.8E-01   3.31E-06           A049000300199 
        50.        30.  1.979E+01    1.8E-01   2.86E-06           A049000300200 
        50.        30.  2.083E+01    1.8E-01   2.59E-06           A049000300201 
        50.        30.  2.186E+01    1.8E-01   2.35E-06           A049000300202 
        50.        30.   2.29E+01    1.8E-01   1.85E-06           A049000300203 
        50.        30.  2.419E+01    1.8E-01   1.75E-06           A049000300204 
        50.        30.   2.51E+01    1.8E-01   1.45E-06           A049000300205 
        50.        30.  2.613E+01    1.8E-01   1.31E-06           A049000300206 
        50.        30.  2.704E+01    1.8E-01   1.13E-06           A049000300207 
        50.        30.  2.794E+01    1.8E-01    9.8E-07           A049000300208 
        50.        30.  2.872E+01    1.8E-01    8.1E-07           A049000300209 
        50.        30.  3.053E+01    1.8E-01   3.94E-07           A049000300210 
        50.        30.  3.286E+01    1.8E-01   3.91E-07           A049000300211 
        50.        30.  3.415E+01    1.8E-01   3.37E-07           A049000300212 
        50.        30.   3.48E+01    1.8E-01    2.3E-07           A049000300213 
        50.        45.       1.94    1.8E-01   2.27E-04           A049000300214 
        50.        45.       4.14    1.8E-01   1.56E-04           A049000300215 
        50.        45.       5.17    1.8E-01   2.48E-04           A049000300216 
        50.        45.       7.12    1.8E-01    5.5E-05           A049000300217 
        50.        45.       8.15    1.8E-01   3.14E-05           A049000300218 
        50.        45.       8.93    1.8E-01   2.48E-05           A049000300219 
        50.        45.       9.96    1.8E-01   1.96E-05           A049000300220 
        50.        45.  1.087E+01    1.8E-01   1.54E-05           A049000300221 
        50.        45.  1.203E+01    1.8E-01   1.28E-05           A049000300222 
        50.        45.  1.294E+01    1.8E-01   1.11E-05           A049000300223 
        50.        45.  1.384E+01    1.8E-01    7.6E-06           A049000300224 
        50.        45.  1.488E+01    1.8E-01    5.2E-06           A049000300225 
        50.        45.  1.617E+01    1.8E-01   3.93E-06           A049000300226 
        50.        45.  1.695E+01    1.8E-01   2.96E-06           A049000300227 
        50.        45.  1.798E+01    1.8E-01   2.69E-06           A049000300228 
        50.        45.  1.928E+01    1.8E-01   2.22E-06           A049000300229 
        50.        45.  2.031E+01    1.8E-01   1.93E-06           A049000300230 
        50.        45.  2.173E+01    1.8E-01   1.59E-06           A049000300231 
        50.        45.   2.29E+01    1.8E-01   1.45E-06           A049000300232 
        50.        45.  2.432E+01    1.8E-01   1.31E-06           A049000300233 
        50.        45.  2.497E+01    1.8E-01    1.2E-06           A049000300234 
        50.        45.    2.6E+01    1.8E-01   1.09E-06           A049000300235 
        50.        45.  2.704E+01    1.8E-01    6.8E-07           A049000300236 
        50.        45.  2.833E+01    1.8E-01    5.4E-07           A049000300237 
        50.        45.  2.911E+01    1.8E-01    4.6E-07           A049000300238 
        50.        45.  3.014E+01    1.8E-01   3.67E-07           A049000300239 
        50.        45.  3.105E+01    1.8E-01   3.33E-07           A049000300240 
        50.        45.  3.182E+01    1.8E-01    2.4E-07           A049000300241 
ENDDATA            228          0                                 A049000300242 
ENDSUBENT          241          0                                 A049000399999 
ENDENTRY             3          0                                 A049099999999 
