29.        64.        3.4        0.8                              A090800300134 
29.        65.        2.4        0.5                              A090800300135 
29.        66.        1.4        0.3                              A090800300136 
29.        67.        0.8        0.2                              A090800300137 
29.        68.        0.31       0.07                             A090800300138 
30.        63.        0.9        0.2                              A090800300139 
30.        64.        2.5        0.6                              A090800300140 
30.        65.        3.8        1.0                              A090800300141 
30.        66.        3.8        1.0                              A090800300142 
30.        67.        2.7        0.6                              A090800300143 
30.        68.        1.7        0.4                              A090800300144 
30.        69.        1.0        0.2                              A090800300145 
30.        70.        0.43       0.09                             A090800300146 
30.        71.        0.14       0.06                             A090800300147 
31.        65.        0.5        0.1                              A090800300148 
31.        66.        1.6        0.4                              A090800300149 
31.        67.        3.1        0.8                              A090800300150 
31.        68.        3.5        0.9                              A090800300151 
31.        69.        2.9        0.7                              A090800300152 
31.        70.        2.0        0.4                              A090800300153 
31.        71.        1.3        0.2                              A090800300154 
31.        72.        0.7        0.1                              A090800300155 
31.        73.        0.28       0.07                             A090800300156 
32.        67.        0.33       0.07                             A090800300157 
32.        68.        1.2        0.3                              A090800300158 
32.        69.        2.5        0.7                              A090800300159 
32.        70.        3.6        0.9                              A090800300160 
32.        71.        2.9        0.7                              A090800300161 
32.        72.        2.2        0.5                              A090800300162 
32.        73.        1.5        0.2                              A090800300163 
32.        74.        0.9        0.3                              A090800300164 
32.        75.        0.42       0.09                             A090800300165 
32.        76.        0.15       0.06                             A090800300166 
33.        69.        0.19       0.04                             A090800300167 
33.        70.        0.7        0.2                              A090800300168 
33.        71.        1.8        0.5                              A090800300169 
33.        72.        2.8        0.7                              A090800300170 
33.        73.        3.1        0.7                              A090800300171 
33.        74.        2.4        0.5                              A090800300172 
33.        75.        1.8        0.3                              A090800300173 
33.        76.        1.2        0.2                              A090800300174 
33.        77.        0.6        0.1                              A090800300175 
33.        78.        0.22       0.09                             A090800300176 
34.        71.        0.14       0.03                             A090800300177 
34.        72.        0.5        0.1                              A090800300178 
34.        73.        1.2        0.3                              A090800300179 
34.        74.        2.3        0.6                              A090800300180 
34.        75.        2.6        0.6                              A090800300181 
34.        76.        2.4        0.5                              A090800300182 
34.        77.        1.9        0.4                              A090800300183 
34.        78.        1.6        0.3                              A090800300184 
34.        79.        0.9        0.2                              A090800300185 
34.        80.        0.38       0.08                             A090800300186 
35.        74.        0.15       0.06                             A090800300187 
35.        75.        0.6        0.1                              A090800300188 
35.        76.        1.3        0.3                              A090800300189 
35.        77.        2.0        0.5                              A090800300190 
35.        78.        1.9        0.4                              A090800300191 
35.        79.        1.9        0.5                              A090800300192 
35.        80.        1.8        0.4                              A090800300193 
35.        81.        1.2        0.2                              A090800300194 
35.        82.        0.5        0.1                              A090800300195 
36.        81.        5.         1.                               A090800300196 
36.        82.        3.         1.                               A090800300197 
36.        83.        1.8        0.3                              A090800300198 
36.        84.        0.9        0.2                              A090800300199 
36.        85.        0.36       0.06                             A090800300200 
37.        84.        4.         1.                               A090800300201 
37.        85.        2.4        0.5                              A090800300202 
37.        86.        1.2        0.2                              A090800300203 
37.        87.        0.51       0.09                             A090800300204 
37.        88.        0.19       0.04                             A090800300205 
38.        86.        5.         1.                               A090800300206 
38.        87.        3.0        0.7                              A090800300207 
38.        88.        1.5        0.3                              A090800300208 
38.        89.        0.8        0.1                              A090800300209 
38.        90.        0.32       0.06                             A090800300210 
39.        88.        9.         1.                               A090800300211 
39.        89.        4.         1.                               A090800300212 
39.        90.        2.1        0.4                              A090800300213 
39.        91.        1.1        0.2                              A090800300214 
39.        92.        0.53       0.10                             A090800300215 
39.        93.        0.23       0.04                             A090800300216 
40.        90.        6.         2.                               A090800300217 
40.        91.        5.         2.                               A090800300218 
40.        92.        2.8        0.6                              A090800300219 
40.        93.        1.7        0.3                              A090800300220 
40.        94.        0.9        0.2                              A090800300221 
40.        95.        0.44       0.08                             A090800300222 
40.        96.        0.18       0.03                             A090800300223 
41.        92.        10.4       0.3                              A090800300224 
41.        93.        5.         2.                               A090800300225 
41.        94.        3.6        1.0                              A090800300226 
41.        95.        2.7        0.5                              A090800300227 
41.        96.        1.5        0.3                              A090800300228 
41.        97.        0.8        0.1                              A090800300229 
41.        98.        0.34       0.06                             A090800300230 
42.        95.        9.         1.                               A090800300231 
42.        96.        5.         1.                               A090800300232 
42.        97.        3.8        0.7                              A090800300233 
42.        98.        2.4        0.4                              A090800300234 
42.        99.        1.3        0.2                              A090800300235 
42.        100.       0.7        0.1                              A090800300236 
43.        97.        9.         2.                               A090800300237 
43.        98.        6.         3.                               A090800300238 
43.        99.        5.         1.                               A090800300239 
43.        100.       3.6        0.6                              A090800300240 
43.        101.       2.4        0.4                              A090800300241 
43.        102.       1.3        0.3                              A090800300242 
44.        99.        6.         1.                               A090800300243 
44.        100.       8.         1.                               A090800300244 
44.        101.       7.         1.                               A090800300245 
44.        102.       5.5        0.9                              A090800300246 
44.        103.       3.7        0.7                              A090800300247 
44.        104.       2.3        0.4                              A090800300248 
45.        102.       11.        3.                               A090800300249 
45.        103.       8.         2.                               A090800300250 
45.        104.       8.         1.                               A090800300251 
45.        105.       5.9        0.8                              A090800300252 
45.        106.       4.0        0.5                              A090800300253 
46.        104.       15.        6.                               A090800300254 
46.        105.       10.        4.                               A090800300255 
46.        106.       11.        2.                               A090800300256 
46.        107.       8.         1.                               A090800300257 
46.        108.       7.         1.                               A090800300258 
47.        106.       10.        3.                               A090800300259 
47.        107.       11.        2.                               A090800300260 
47.        108.       12.        2.                               A090800300261 
47.        109.       12.        1.                               A090800300262 
47.        110.       11.        3.                               A090800300263 
48.        109.       12.        5.                               A090800300264 
48.        110.       12.        4.                               A090800300265 
48.        111.       15.        6.                               A090800300266 
48.        112.       15.        6.                               A090800300267 
49.        111.       12.        3.                               A090800300268 
49.        112.       10.        2.                               A090800300269 
49.        113.       16.        2.                               A090800300270 
49.        114.       15.        3.                               A090800300271 
50.        113.       6.         2.                               A090800300272 
50.        114.       6.         1.                               A090800300273 
50.        115.       11.        2.                               A090800300274 
50.        116.       12.        5.                               A090800300275 
ENDDATA            268          0                                 A090800300276 
ENDSUBENT          275          0                                 A090800399999 
ENDENTRY             3          0                                 A090899999999 
