       11.5      40.87     0.2138      0.008                      A1536  2  253 
       11.5      45.24     0.2433      0.008                      A1536  2  254 
       11.5      49.62     0.2582      0.008                      A1536  2  255 
       11.5      54.75     0.2585      0.008                      A1536  2  256 
       11.5      59.87     0.2588      0.008                      A1536  2  257 
       11.5       62.8     0.2443      0.008                      A1536  2  258 
       11.5       67.2     0.2372      0.008                      A1536  2  259 
       11.5      71.59     0.2374      0.008                      A1536  2  260 
       11.5      75.97      0.245      0.008                      A1536  2  261 
       11.5      81.08     0.2672      0.008                      A1536  2  262 
       11.5      84.74     0.2674      0.008                      A1536  2  263 
       11.5      87.66     0.2822      0.008                      A1536  2  264 
ENDDATA            246          0                                 A1536  2  265 
ENDSUBENT          264          0                                 A1536  299999 
SUBENT        A1536003   20160707                             A085A1536  3    1 
BIB                  5          9                                 A1536  3    2 
REACTION   (3-LI-6(D,A)2-HE-4,,DA,,LEG)                           A1536  3    3 
SAMPLE     Targets were evaporated onto 2.2 mg/cm2 thick Ni foil  A1536  3    4 
           or thin carbon foil.                                   A1536  3    5 
           For EN>5 MeV 6Li thickness was 630 mu-g/cm2,           A1536  3    6 
           for EN<5 MeV 6Li thicknesses were 380 and 280 mu-g/cm2.A1536  3    7 
ERR-ANALYS (EN-ERR-DIG) Energy digitizing error                   A1536  3    8 
           (ERR-DIG)    Data digitizing error                     A1536  3    9 
HISTORY    (20160707A) SAMPLE was added. Data were redigitized.   A1536  3   10 
STATUS     (CURVE) Fig.2                                          A1536  3   11 
ENDBIB               9          0                                 A1536  3   12 
COMMON               3          3                                 A1536  3   13 
NUMBER     EN-ERR-DIG ERR-DIG                                     A1536  3   14 
NO-DIM     MEV        MB/SR                                       A1536  3   15 
         0.      0.027     0.0072                                 A1536  3   16 
ENDCOMMON            3          0                                 A1536  3   17 
DATA                 2         15                                 A1536  3   18 
EN         DATA                                                   A1536  3   19 
MEV        MB/SR                                                  A1536  3   20 
      1.023     1.9248                                            A1536  3   21 
      1.532     1.3548                                            A1536  3   22 
      2.015     1.1354                                            A1536  3   23 
      2.496     1.1399                                            A1536  3   24 
      3.036     1.3683                                            A1536  3   25 
      3.529     1.9558                                            A1536  3   26 
      4.008     2.0195                                            A1536  3   27 
      4.516     1.5424                                            A1536  3   28 
      5.002     1.1794                                            A1536  3   29 
      6.010     0.7702                                            A1536  3   30 
      6.995     0.5089                                            A1536  3   31 
      8.000     0.3785                                            A1536  3   32 
      9.003     0.3072                                            A1536  3   33 
     10.007     0.2614                                            A1536  3   34 
     11.490     0.2157                                            A1536  3   35 
ENDDATA             17          0                                 A1536  3   36 
ENDSUBENT           35          0                                 A1536  399999 
SUBENT        A1536004   20160707                             A085A1536  4    1 
BIB                  5          6                                 A1536  4    2 
