EN         ANG-CM     DATA-CM    DATA-ERR                         A111300200015 
MEV        ADEG       MB/SR      MB/SR                            A111300200016 
    10.57      30.88     153.8        5.596                       A111300200272 
    10.58     109.7       18.25       0.5617                      A111300200273 
    10.6       90.        44.63       0.5617                      A111300200274 
    10.62     109.7       17.65       0.5617                      A111300200275 
    10.66     164.4       79.42       0.5617                      A111300200276 
    10.67      90.        46.26       0.5617                      A111300200277 
    10.67     109.7       17.05       0.5617                      A111300200278 
    10.72      90.        45.1        0.5617                      A111300200279 
    10.75     164.4       81.03       0.5617                      A111300200280 
    10.78      90.        45.05       0.5617                      A111300200281 
    10.78     109.7       16.96       0.5617                      A111300200282 
    10.82     164.4       79.29       0.5617                      A111300200283 
    10.87      90.        44.97       0.5617                      A111300200284 
    10.87     109.7       18.01       0.5617                      A111300200285 
    10.9      164.4       78.09       0.5617                      A111300200286 
    10.93     109.7       17.39       0.5617                      A111300200287 
    10.98      90.        43.76       0.5617                      A111300200288 
    10.99     164.4       78.58       0.5617                      A111300200289 
    11.04     109.7       15.62       0.5617                      A111300200290 
    11.07      90.        42.56       0.5617                      A111300200291 
    11.08     164.4       77.95       0.5617                      A111300200292 
    11.11      90.        43.09       0.5617                      A111300200293 
    11.13     109.7       16.1        0.5617                      A111300200294 
ENDDATA            280          0                                 A111300200295 
ENDSUBENT          294          0                                 A111300299999 
SUBENT        A1113003   19990319                             0000A111300300001 
BIB                  2          2                                 A111300300002 
REACTION   (2-HE-4(P,EL)2-HE-4,,DA,,,EXP)                         A111300300003 
STATUS     (TABLE) Table 3                                        A111300300004 
ENDBIB               2          0                                 A111300300005 
NOCOMMON             0          0                                 A111300300006 
DATA                 3        260                                 A111300300007 
EN         ANG-CM     DATA-CM                                     A111300300008 
MEV        ADEG       MB/SR                                       A111300300009 
     1.997     25.1      501.                                     A111300300010 
     1.997     25.58     469.                                     A111300300011 
     1.997     30.89     318.                                     A111300300012 
     1.997     35.07     270.                                     A111300300013 
     1.997     40.07     254.                                     A111300300014 
     1.997     44.98     243.                                     A111300300015 
     1.997     49.03     230.                                     A111300300016 
     1.997     54.7      210.                                     A111300300017 
     1.997     60.       193.                                     A111300300018 
     1.997     65.       175.                                     A111300300019 
     1.997     70.1      159.                                     A111300300020 
     1.997     80.       135.                                     A111300300021 
     1.997     90.       126.                                     A111300300022 
     1.997    100.       133.                                     A111300300023 
     1.997    106.9      150.                                     A111300300024 
     1.997    109.9      161.                                     A111300300025 
     1.997    120.6      213.                                     A111300300026 
     1.997    122.8      217.                                     A111300300027 
     1.997    130.9      262.                                     A111300300028 
     1.997    140.8      321.                                     A111300300029 
     1.997    145.       336.                                     A111300300030 
     1.997    149.4      363.                                     A111300300031 
     1.997    154.9      393.                                     A111300300032 
     1.997    160.       417.                                     A111300300033 
     1.997    164.4      432.                                     A111300300034 
     3.006     25.1      919.                                     A111300300035 
     3.006     25.58     893.                                     A111300300036 
     3.006     30.89     728.                                     A111300300037 
     3.006     35.07     635.                                     A111300300038 
     3.006     40.07     576.                                     A111300300039 
     3.006     44.98     518.                                     A111300300040 
     3.006     49.03     468.                                     A111300300041 
     3.006     54.7      407.                                     A111300300042 
     3.006     60.       358.                                     A111300300043 
     3.006     65.       309.                                     A111300300044 
     3.006     70.1      268.                                     A111300300045 
     3.006     75.       226.                                     A111300300046 
     3.006     80.       205.                                     A111300300047 
     3.006     85.       174.                                     A111300300048 
     3.006     90.       155.                                     A111300300049 
     3.006    100.       125.                                     A111300300050 
     3.006    106.9      121.                                     A111300300051 
     3.006    109.9      124.                                     A111300300052 
     3.006    120.6      139.                                     A111300300053 
     3.006    122.8      144.                                     A111300300054 
     3.006    130.9      168.                                     A111300300055 
     3.006    140.8      202.                                     A111300300056 
     3.006    145.       222.                                     A111300300057 
     3.006    149.4      238.                                     A111300300058 
